no_cue,no_target,type,cue_type,target_type,no_cosine
kidnappe,bortføre,related,word,word,0.594535693422829
washington,boston,related,word,word,0.439503919323015
smal,bred,related,word,word,0.435367846394668
gass,brensel,related,word,word,0.414367535813099
telegram,brev,related,word,word,0.517889080531314
fyr,kompis,related,word,word,0.237918821936287
søster,bror,related,word,word,0.499538888879201
brudgom,brud,related,word,word,0.649903736979351
anvende,bruk,related,word,word,0.318497395547717
avfall,forbruke,related,word,word,0.371984528305299
forlovelse,bryllup,related,word,word,0.471425448705513
mage,bryst,related,word,word,0.403358635888803
topp,bunn,related,word,word,0.372732310767327
tog,buss,related,word,word,0.480751026287242
butikk,lager,related,word,word,0.188204482639908
ræv,rompe,related,word,word,0.443122125905453
hovedstad,by,related,word,word,0.221931926065669
konstruksjon,bygge,related,word,word,0.239646476636829
tårn,bygning,related,word,word,0.320138683019462
firma,byrå,related,word,word,0.440958308495505
piknik,camping,related,word,word,0.311162346476128
mil,centimeter,related,word,word,0.415939232431764
hjerne,cerebral,related,word,word,0.297559719380819
vin,champagne,related,word,word,0.521201375256706
typisk,klassisk,related,word,word,0.432472429998043
rom,konjakk,related,word,word,0.235826657528385
baron,grevinne,related,word,word,0.266601658991117
rodeo,cowboy,related,word,word,0.401560508600324
ørken,dal,related,word,word,0.341338530390577
lord,dame,related,word,word,0.111610027974234
danser,danse,related,word,word,0.72030021893962
god,dårlig,related,word,word,0.483267377152159
programvare,datamaskin,related,word,word,0.454178917283579
konsept,definisjon,related,word,word,0.350356142246687
hytte,dekk,related,word,word,0.178496614619963
frihet,demokrati,related,word,word,0.409760793857941
protest,demonstrasjon,related,word,word,0.395237207950644
ambassade,departement,related,word,word,0.329796825753759
stress,depresjon,related,word,word,0.38734755171016
her,der,related,word,word,0.731954091777032
november,desember,related,word,word,0.671675426476739
agent,detektiv,related,word,word,0.32867599540272
tekst,dikt,related,word,word,0.42954389270114
ping,ding,related,word,word,0.596517350123623
direkte,straks,related,word,word,0.239449153063018
samtale,diskusjon,related,word,word,0.48952204672641
fylke,distrikt,related,word,word,0.423635998398037
engel,djevel,related,word,word,0.411664472416459
lide,dø,related,word,word,0.409149565638721
i live,død,related,word,word,
kirurg,doktor,related,word,word,0.313392096267812
fil,dokument,related,word,word,0.330611123834325
pund,dollar,related,word,word,0.507359360197114
domstol,dømme,related,word,word,0.319564963025921
veldedighet,donasjon,related,word,word,0.361145149164422
vindu,dør,related,word,word,0.339303453319593
blind,døv,related,word,word,0.487332632811223
dytte,dra,related,word,word,0.262053665182041
gift,drepe,related,word,word,0.257274776947838
mareritt,drøm,related,word,word,0.48239325621171
naiv,dum,related,word,word,0.478941149486328
galskap,dumhet,related,word,word,0.382807914914488
krutt,dynamitt,related,word,word,0.413189156570124
beist,dyr,related,word,word,0.427586486797822
sverge,ed,related,word,word,0.13177039322586
innflytelse,effekt,related,word,word,0.310455348387306
nyttig,effektiv,related,word,word,0.270265546456587
faktisk,egentlig,related,word,word,0.42930444388277
rede,egg,related,word,word,0.193009228819689
eiendom,eier,related,word,word,0.25985185505351
briste,eksplodere,related,word,word,0.311515296070443
bombe,eksplosiv,related,word,word,0.463541311823126
jordskjelv,eksplosjon,related,word,word,0.351537322260864
ekte,sant,related,word,word,0.221453022473714
skilsmisse,ekteskap,related,word,word,0.463880674005536
fasjonabel,elegant,related,word,word,0.258767908563042
strøm,elektrisitet,related,word,word,0.537329544177865
magnetisk,elektrisk,related,word,word,0.458366688843426
faktor,element,related,word,word,0.309290820022346
fattigdom,elendighet,related,word,word,0.448964219819892
objekt,subjekt,related,word,word,0.655667005641845
mental,emosjonell,related,word,word,0.470222727707072
makt,energi,related,word,word,0.246597097451919
chip,enhet,related,word,word,0.0434667579982074
enkelt,enkel,related,word,word,0.571139248802154
stor,enorm,related,word,word,0.535223726594795
alene,ensom,related,word,word,0.463597952830081
millionær,entreprenør,related,word,word,0.272196103807134
pest,epidemi,related,word,word,0.391566896641177
serie,episode,related,word,word,0.341049441458492
orgasme,ereksjon,related,word,word,0.447288110821401
erstatte,erstatning,related,word,word,0.52611799676981
andre steder,et sted,related,word,word,
endelig,omsider,related,word,word,0.550765346798542
analytiker,etterforsker,related,word,word,0.364550147643272
kallenavn,etternavn,related,word,word,0.554860168932157
observasjon,evaluering,related,word,word,0.356741402812165
kapasitet,evnen,related,word,word,0.326117743488592
post,faks,related,word,word,0.230491853470167
forfalskning,falsk,related,word,word,0.475065950363797
klan,familie,related,word,word,0.314955976005548
gissel,fange,related,word,word,0.343464755563724
virkelighet,fantasi,related,word,word,0.498658816230921
herlig,fantastisk,related,word,word,0.601747720140214
imponerende,fantastisk,related,word,word,0.362360900225574
mor,far,related,word,word,0.749379218029267
risiko,fare,related,word,word,0.493507574639077
risikabelt,farlig,related,word,word,0.468659939891107
dødelig,fatal,related,word,word,0.291848085732846
hoste,feber,related,word,word,0.521812883765918
avvik,feil,related,word,word,0.171062637146144
suksess,fiasko,related,word,word,0.411229600088917
celle,fengsel,related,word,word,0.437909062543807
straff,fengsling,related,word,word,0.403128442154126
jul,ferie,related,word,word,0.327444451529008
karneval,festival,related,word,word,0.307324861278964
slektning,fetter,related,word,word,0.284306213697366
porno,film,related,word,word,0.360228389580373
banktjenester,finansiell,related,word,word,0.290556645303386
budsjett,finansiering,related,word,word,0.442213741028471
økonomisk,finansiering,related,word,word,0.456800196877039
dna,fingeravtrykk,related,word,word,0.548286609140844
søke,finne,related,word,word,0.355459553361023
to,fire,related,word,word,0.623221792063959
hai,fisk,related,word,word,0.444228184977011
jakte,fiske,related,word,word,0.387720133406805
høyde,fjell,related,word,word,0.170850064271093
tredje,fjerde,related,word,word,0.629944850580815
halv,fjerdedel,related,word,word,0.414095005829124
radio,fjernsyn,related,word,word,0.360690328974153
brann,flamme,related,word,word,0.397707823135283
glass,flaske,related,word,word,0.454650500140029
lag,flate,related,word,word,0.138510920361754
marine,flåte,related,word,word,0.36436794974015
utmerket,flott,related,word,word,0.401512266517535
flykte,flukt,related,word,word,0.463826154453405
land,fly,related,word,word,0.182025419466752
landing,flygning,related,word,word,0.535530614726039
terminal,flyplass,related,word,word,0.394668406204031
koloni,føderasjon,related,word,word,0.382135577335565
jubileum,fødselsdag,related,word,word,0.3818904554797
inntrykk,følelse,related,word,word,0.355942513468787
delikat,følsom,related,word,word,0.368712817751976
evig,for evig,related,word,word,
endring,forbedring,related,word,word,0.556702411005852
klar,forberede,related,word,word,0.327127448015644
framtid,fortid,related,word,word,0.511898249160394
tilknyting,forbindelse,related,word,word,
oppholde seg,forbli,related,word,word,
synd,forbrytelse,related,word,word,0.392310855719977
tyv,forbryter,related,word,word,0.379602019961853
forbudt,forby,related,word,word,0.381708355319198
seminar,foredrag,related,word,word,0.435469935802232
voksen,foreldre,related,word,word,0.272458035453018
fremstille,foreslås,related,word,word,0.196841610680361
dikter,forfatter,related,word,word,0.350326135985806
fersk,forfriske,related,word,word,0.217566163408625
permisjon,forlate,related,word,word,0.175701461013969
fornærmelse,fornærme,related,word,word,0.70871684227051
spion,forræder,related,word,word,0.419263335302438
geni,forsker,related,word,word,0.287809039857983
prøve,forsøk,related,word,word,0.410077021149251
innse,forstå,related,word,word,0.424341436330235
avbryte,forstyrre,related,word,word,0.545441181587862
beskytte,forsvare,related,word,word,0.582294050359865
død,forsvinning,related,word,word,0.359297860480164
langsom,fort,related,word,word,0.318431858074175
si,fortelle,related,word,word,0.564938498593196
allerede,fortsatt,related,word,word,0.310302031114725
gå videre,fortsette,related,word,word,
vente,forvente,related,word,word,0.439759401622738
kaos,forvirring,related,word,word,0.442954613328982
basketball,fotball,related,word,word,0.698452157407789
bilde,foto,related,word,word,0.484086901531629
autograf,fotograf,related,word,word,0.593320512245831
engelsk,fransk,related,word,word,0.644349380660191
tilstedeværelse,fravær,related,word,word,0.340227803000046
helt,redningsmann,related,word,word,0.124383049901192
prosess,fremgangsmåte,related,word,word,0.299709624636102
av seg selv,frivillig,related,word,word,
middag,frokost,related,word,word,0.592284694338349
eple,frukt,related,word,word,0.335156006471263
skrekk,frykt,related,word,word,0.407380502102914
forferdelig,fryktelig,related,word,word,0.728922261867725
smelte,fryse,related,word,word,0.36553923533982
sommerfugl,fugl,related,word,word,0.564375609480351
tom,full,related,word,word,0.180345158438078
edru,full,related,word,word,0.304748942517343
total,fullstendig,related,word,word,0.46853171526072
operativ,funksjonell,related,word,word,0.35777443443242
seksuell,fysisk,related,word,word,0.443118706958579
gå inn,gå,related,word,word,
løpe,gå,related,word,word,0.491587797807419
knuse,gå i stykker,related,word,word,
skje,gaffel,related,word,word,0.22305666220552
paranoid,gal,related,word,word,0.487841002883665
univers,galakse,related,word,word,0.417684546610708
verksted,garasje,related,word,word,0.35388593790061
vei,gate,related,word,word,0.262125793683248
kompliment,gave,related,word,word,0.398360663644577
by på,gi,related,word,word,
muliggjøre,gi,related,word,word,0.263039414636323
singel,gift,related,word,word,0.405335508435739
piano,gitar,related,word,word,0.475111595878499
dekke,gjemme seg,related,word,word,
vegg,gjerde,related,word,word,0.269452072767855
utføre,gjøre,related,word,word,0.425815539338846
nyte,glede,related,word,word,0.277589259107592
nasjonal,global,related,word,word,0.370858036213319
tillatelse,godkjenning,related,word,word,0.436191151848183
ape,gorilla,related,word,word,0.316496949984146
kilo,gram,related,word,word,0.488044276517514
fritt,gratis,related,word,word,0.199765005384373
grav,gravplass,related,word,word,0.52710755932149
romersk,gresk,related,word,word,0.445975735316279
ku,gris,related,word,word,0.382829349628427
lov,grunnlov,related,word,word,0.364992224436508
gjeng,gruppe,related,word,word,0.503389475063412
brutal,grusom,related,word,word,0.467207356758322
ond,grusomhet,related,word,word,0.304570903477061
gud,guddommelig,related,word,word,0.376393569806931
rød,gul,related,word,word,0.57452248561841
jente,gutt,related,word,word,0.657530278355799
hallo,ha det,related,word,word,
legion,hæren,related,word,word,0.322345127125893
illusjon,hallusinasjon,related,word,word,0.385040457310809
ring,halskjede,related,word,word,0.113145470458297
smørbrød,hamburger,related,word,word,0.443404525076748
stang,hammer,related,word,word,0.36573393334748
teppe,håndkle,related,word,word,0.42893729279652
gest,handling,related,word,word,0.37520284976491
vanskelig,hard,related,word,word,0.340988186202207
balanse,harmoni,related,word,word,0.3658013572636
avstand,hastighet,related,word,word,0.299585741892773
hjelm,hatt,related,word,word,0.249952823858203
sjø,hav,related,word,word,0.417568221330531
bukt,havn,related,word,word,0.319453502398774
forbannelse,heks,related,word,word,0.359591369521462
komme seg,helbrede,related,word,word,
ambulanse,helikopter,related,word,word,0.327455293629707
absolutt,komplett,related,word,word,0.196040770881544
paradis,helvete,related,word,word,0.284337796926139
gjengivelse,hengivenhet,related,word,word,0.477276611114414
henging,henrettelse,related,word,word,0.434494735881048
hyggelig,søt,related,word,word,0.374426775854591
herlig,herlighet,related,word,word,0.580701875226418
kokain,heroin,related,word,word,0.617886100528951
esel,hest,related,word,word,0.371476975076288
gratulere,hilse på,related,word,word,
himmel,himmelsk,related,word,word,0.702838438578729
aids,hiv,related,word,word,0.140614418787978
bein,hodeskalle,related,word,word,0.351913934956502
mening,holdning,related,word,word,0.35255782003131
lesbisk,homofil,related,word,word,0.434335975789445
klatre,hoppe,related,word,word,0.445476190247316
lytte,høre,related,word,word,0.505874306376171
vår,høst,related,word,word,0.187111143350716
sekundær,primær,related,word,word,0.409857184286462
base,hovedkvarter,related,word,word,0.250895998120917
vei,hovedvei,related,word,word,0.414849496944376
lav,høy,related,word,word,0.437510880351497
vekt,høyde,related,word,word,0.360591332369376
majestet,høyhet,related,word,word,0.458240238010171
sprekk,hull,related,word,word,0.422309344475964
tunfisk,hummer,related,word,word,0.515960582306375
tusen,hundre,related,word,word,0.620409895469675
hann,hunn,related,word,word,0.61716256979034
leietaker,huseier,related,word,word,0.423385198233053
barnepike,hushjelp,related,word,word,0.411477216723262
glemme,huske,related,word,word,0.503380065950454
tilfluktssted,husly,related,word,word,0.34840423076822
karbon,hydrogen,related,word,word,0.500669483522365
komfortabel,hyggelig,related,word,word,0.263389401204151
i dag,i går,related,word,word,
dumskalle,idiot,related,word,word,0.389875085401764
dynastiet,imperium,related,word,word,0.365111275767182
smigre,imponere,related,word,word,0.377269814627118
peke,indikere,related,word,word,0.247316543915366
person,individ,related,word,word,0.434218328891815
virus,infeksjon,related,word,word,0.424389706395708
kilde,informant,related,word,word,0.414359444542693
data,informasjon,related,word,word,0.364311136077657
rapportere,informere,related,word,word,0.461051665153835
dose,injeksjon,related,word,word,0.483581298542299
enhet,divisjon,related,word,word,0.399179152114182
utgang,inngang,related,word,word,0.517235347697316
inneholde,innhold,related,word,word,0.405347974359192
utsiden,innsiden,related,word,word,0.683754861789021
elv,innsjø,related,word,word,0.489160872622737
ta opp,innspilling,related,word,word,
profitt,inntekt,related,word,word,0.404645643158027
edderkopp,insekt,related,word,word,0.408447756087476
inspirere,inspirasjon,related,word,word,0.572719940245708
verktøy,instrument,related,word,word,0.289836858311353
smart,intelligent,related,word,word,0.466448647045065
hensikt,intensjon,related,word,word,0.498734033163313
spennende,interessant,related,word,word,0.544672582108276
personlig,intimt,related,word,word,0.346309545262432
instinkt,intuisjon,related,word,word,0.347495311160969
finansiere,investere,related,word,word,0.374620313814243
bankmann,investor,related,word,word,0.362523949890475
ironi,ironisk,related,word,word,0.684690257022631
følge,jage,related,word,word,0.217539172326219
mester,kriger,related,word,word,0.356129476259811
skjorte,jakke,related,word,word,0.629357501790027
gutter,jenter,related,word,word,0.697869624072865
banan,jordbær,related,word,word,0.472306245819767
reporter,journalist,related,word,word,0.57258145144104
melk,saft,related,word,word,0.546126238388207
juni,juli,related,word,word,0.547258348575535
romeo,juliet,related,word,word,0.397240434960781
senior,junior,related,word,word,0.529128763257636
diamant,juvel,related,word,word,0.350461361447946
kopp,kaffe,related,word,word,0.516893977735207
dessert,kake,related,word,word,0.488868455396227
varm,kald,related,word,word,0.560012521426365
turnering,kamp,related,word,word,0.399979246556088
rev,kanin,related,word,word,0.23380642394989
kirke,kapell,related,word,word,0.393189559895907
anarki,kapitalisme,related,word,word,0.411011775074273
kommandør,kaptein,related,word,word,0.445098636547648
biskop,kardinal,related,word,word,0.329842039022485
kompass,kart,related,word,word,0.44055579844277
mafia,kartell,related,word,word,0.399527648134518
hund,katt,related,word,word,0.526234692173454
keiserlig,keiser,related,word,word,0.782659372856783
leppe,kinn,related,word,word,0.405653655072812
operere,kirurgi,related,word,word,0.374425299420151
hat,kjærlighet,related,word,word,0.483470388908066
skjørt,kjole,related,word,word,0.381807511741985
selger,kjøper,related,word,word,0.581816375774156
kommersiell,kjøpmann,related,word,word,0.27041533401851
svinekjøtt,kjøtt,related,word,word,0.692014818448382
kyss,klem,related,word,word,0.528806754365069
pasient,klient,related,word,word,0.471076326189202
sykehus,klinikk,related,word,word,0.455087350915342
barnehjem,kloster,related,word,word,0.387236457697654
tempel,kloster,related,word,word,0.362403151625373
skulder,kne,related,word,word,0.339566902305974
sverd,kniv,related,word,word,0.410806453596362
stresskoffert,koffert,related,word,word,0.709067862376577
kjøkkensjef,kokk,related,word,word,0.493382049556761
falle,kollapse,related,word,word,0.374341612883669
drama,komedie,related,word,word,0.399709621926388
stekeovn,komfyr,related,word,word,0.42511596926786
kommisjon,komitee,related,word,word,
ankomme,komme,related,word,word,0.379610334445239
tilbake,komme tilbake,related,word,word,
inspektør,kommisjonær,related,word,word,0.265521886425684
navigasjon,kommunikasjon,related,word,word,0.435203878260874
rasist,kommunist,related,word,word,0.403557135337309
ektemann,kone,related,word,word,0.473709190201249
dronning,konge,related,word,word,0.592411055166035
fokusere,konsentrere,related,word,word,0.49190117889332
turné,konsert,related,word,word,0.399438771770612
pult,kontor,related,word,word,0.270233729029424
original,kopi,related,word,word,0.354607548969241
fantasi,kreativitet,related,word,word,0.338507014994649
svulst,kreft,related,word,word,0.472375751245353
soldat,kriger,related,word,word,0.455260901760489
situasjon,krise,related,word,word,0.418294093420284
katolikk,kristen,related,word,word,0.442633023203815
varm,kul,related,word,word,0.241075461319391
kaliber,kule,related,word,word,0.334020464833931
erfaring,kunnskap,related,word,word,0.399327011331556
naturlig,kunstig,related,word,word,0.279372702020804
rive,kutte opp,related,word,word,
kvantitet,kvalitet,related,word,word,0.581690333460597
diaré,kvalme,related,word,word,0.45215630435998
natt,kveld,related,word,word,0.538342176522889
enke,kvinne,related,word,word,0.271242690144226
naiv,kynisk,related,word,word,0.454660809298671
strand,kyst,related,word,word,0.287394340264695
tillate,la,related,word,word,0.333356744970431
lære,undervise,related,word,word,0.436299277716573
student,lærer,related,word,word,0.32579025470355
redde,sikre,related,word,word,0.202335817588638
leir,landsby,related,word,word,0.354661470084035
kreditt,låne,related,word,word,0.251800150845185
kort,lang,related,word,word,0.375118274371819
nær,fjern,related,word,word,0.136498662028191
nøkkel,låse,related,word,word,0.313533136990329
laste,last,related,word,word,0.671430741987293
jeep,lastebil,related,word,word,0.368279689554615
smil,latter,related,word,word,0.333634987236107
medlem,leder,related,word,word,0.346534166390849
eskortere,ledsage,related,word,word,0.342201792844214
alkohol,rusmiddel,related,word,word,0.405657194512378
myte,legende,related,word,word,0.449958176096351
ansette,leie,related,word,word,0.27876178843733
hus,leilighet,related,word,word,0.454963495691814
dukke,leketøy,related,word,word,0.305869059379827
størrelse,lengde,related,word,word,0.38630589257266
umulig,lett,related,word,word,0.361201341487807
nyre,lever,related,word,word,0.257957978152123
konservativ,liberal,related,word,word,0.486743981628201
entusiasme,lidenskap,related,word,word,0.367432750283707
kropp,lik,related,word,word,0.294685456329799
drosje,limousine,related,word,word,0.460889224889211
ming,ling,related,word,word,0.490971697716716
litt,liten,related,word,word,0.274994112090296
kunst,litteratur,related,word,word,0.399947347277971
å lyve,løgner,related,word,word,
hvitløk,løk,related,word,word,0.638234884033479
regional,lokal,related,word,word,0.354484556384517
briller,lokk,related,word,word,0.188057083566876
lomme,lommebok,related,word,word,0.690706125599161
klut,lommetørkle,related,word,word,0.423536349769727
pensjon,lønn,related,word,word,0.412783968311359
maraton,løp,related,word,word,0.305103785648441
kidnapper,løsepenger,related,word,word,0.355063915714287
garanti,å love,related,word,word,
drage,løve,related,word,word,0.3996403568175
elskerinne,elsker,related,word,word,0.369216000876761
ulovlig,lovlig,related,word,word,0.705036454199774
sersjant,løytnant,related,word,word,0.549002571195087
åpne,lukke,related,word,word,0.597004456950253
låst,lukket,related,word,word,0.461714657199058
åpning,lukning,related,word,word,
smak,lukt,related,word,word,0.35855428321329
matbit,lunsj,related,word,word,0.403165181992082
bråk,lyd,related,word,word,0.321704636122691
fornøyd,lykkelig,related,word,word,0.404675483821896
få til,lykkes,related,word,word,
mørke,lys,related,word,word,0.427663978156108
skinne,klart,related,word,word,0.219745751153468
ketchup,majones,related,word,word,0.562546651352869
minimum,maksimum,related,word,word,0.690609188418019
styrke,makt,related,word,word,0.387168050430944
hjelpeløs,maktesløs,related,word,word,0.542255372810295
kunstner,maler,related,word,word,0.426921234194877
kilometer,meter,related,word,word,0.684177614026788
mat,måltid,related,word,word,0.351425230943196
pappa,mamma,related,word,word,0.818794222421335
kontroll,manipulere,related,word,word,0.185544156481132
marine,marinen,related,word,word,0.811723041092921
reklame,markedsføring,related,word,word,0.388261833664934
robot,maskin,related,word,word,0.344387368805723
yoga,massasje,related,word,word,0.299990985918851
fysikk,matematikk,related,word,word,0.56721776633684
bie,maur,related,word,word,0.164317653477704
ved et uhell,med vilje,related,word,word,
trofé,medalje,related,word,word,0.321060022423586
gjenstand,medaljong,related,word,word,0.196201390629031
tålmodighet,medfølelse,related,word,word,0.401119962355517
teknisk,mekanisk,related,word,word,0.396718449611318
korn,mel,related,word,word,0.188690489884867
mann,menneske,related,word,word,0.395444257977921
befolkning,mennesker,related,word,word,0.378939288055569
konkurranse,mesterskap,related,word,word,0.350847100835625
jern,metall,related,word,word,0.349099237958074
kabel,metalltråd,related,word,word,0.351172794080232
midnatt,middagstid,related,word,word,0.421167679967983
kamera,mikrofon,related,word,word,0.369532214696537
teleskop,mikroskop,related,word,word,0.377197114776473
myk,mild,related,word,word,0.247134219302827
sivil,militær,related,word,word,0.423561265735961
million,milliard,related,word,word,0.617626910785518
ambassadør,minister,related,word,word,0.412212619973669
pluss,minus,related,word,word,0.482983900108575
sekund,minutt,related,word,word,0.580152960023579
tvil,mistenkt,related,word,word,0.188465482913327
edel,modig,related,word,word,0.438545209766616
selvmord,mord,related,word,word,0.457970671370914
drapsmann,morder,related,word,word,0.602478955328868
aspirin,morfin,related,word,word,0.47637444963566
i morgen,morgen,related,word,word,
skygge,mørk,related,word,word,0.368255978880146
vittig,morsom,related,word,word,0.493684248092438
skitten,ekkel,related,word,word,0.455034225556214
konferanse,møte,related,word,word,0.24966309415654
å se,å møte,related,word,word,
hotell,motell,related,word,word,0.723418853584634
tank,motor,related,word,word,0.256778434839091
motsatte,motsetning,related,word,word,0.359621672022909
fiende,motstander,related,word,word,0.365749063165774
sjanse,mulighet,related,word,word,0.665775233131789
bibliotek,museum,related,word,word,0.393134514431976
sanger,musiker,related,word,word,0.50476612343324
jazz,musikk,related,word,word,0.476178701308577
nerve,muskel,related,word,word,0.343814561760477
evolusjon,mutasjon,related,word,word,0.409022627988561
administrasjon,regjering,related,word,word,0.48549224924991
hemmelig,mysterium,related,word,word,0.206206203294411
tilgivelse,nåde,related,word,word,0.522780950234139
bar,naken,related,word,word,0.166727757780478
hals,nakke,related,word,word,0.443526099161457
land,nasjon,related,word,word,0.312151946495519
seier,nederlag,related,word,word,0.440779542490136
positiv,negativ,related,word,word,0.639374728765109
bekymret,nervøs,related,word,word,0.424071871174143
munn,nese,related,word,word,0.466461566065607
barnebarn,nevø,related,word,word,0.250424475715941
miste,nippe,related,word,word,0.262871388124361
akutt,nødsituasjon,related,word,word,0.364553195666701
ingenting,noe,related,word,word,0.517824301738982
aldri,noensinne,related,word,word,0.47431047471922
sør,nord,related,word,word,0.64534511507626
sunn,normal,related,word,word,0.377780111611242
atomisk,nukleær,related,word,word,0.525068696341673
velsmakende,nydelig,related,word,word,0.34849710559567
kanal,nyheter,related,word,word,0.246923310228317
bare,nylig,related,word,word,0.153763833671277
general,oberst,related,word,word,0.448489638246354
skjerm,observere,related,word,word,0.199846562456003
opprettelse,ødeleggelse,related,word,word,0.35796159247289
offisiell,offisielt,related,word,word,0.754009454351357
noen ganger,ofte,related,word,word,
frosk,øgle,related,word,word,0.394843877076875
luft,oksygen,related,word,word,0.517025516539517
september,oktober,related,word,word,0.444020295052438
drink,øl,related,word,word,0.537284714104796
kull,olje,related,word,word,0.350519949968094
ute,om,related,word,word,0.18912255028605
radius,omkrets,related,word,word,0.453463805945685
ned,opp,related,word,word,0.454653644664386
oppgave,oppdrag,related,word,word,0.397186325324875
forestilling,opptreden,related,word,word,0.431555437172444
grønn,oransje,related,word,word,0.436812626110637
øye,øre,related,word,word,0.316994715404017
arrangere,organisere,related,word,word,0.394363968254665
brød,ost,related,word,word,0.514848690751434
vest,øst,related,word,word,0.672900305989247
underdrive,overdrive,related,word,word,0.782481715590527
bevege seg,overføre,related,word,word,
bo,overleve,related,word,word,0.263269318308772
