"pl_target","pl_cue","pl_fake_cue","pl_fake_target","en_cue","en_target"
"godny","zasługiwać","zasługiniesz","fryny","deserve","worthy"
"góra","wzgórze","dzierze","sysra","hill","mountain"
"gorączka","kaszel","kalien","gospłuka","cough","fever"
"górny","niżej","nisku","semny","lower","upper"
"goryl","małpa","zgapa","gobii","monkey","gorilla"
"gospodarz","najemca","nabrańca","gospovens","tenant","landlord"
"gra","bawić się","bawićmium","xha","play","game"
"gracz","trener","trekom","amacz","coach","player"
"gram","kilogram","kilostej","grif","kilo","gram"
"grecki","rzymski","wszyski","przeki","roman","greek"
"gruby","chudy","sardy","małby","thin","thick"
"grudzień","listopad","listotrzy","chodzień","november","december"
"grupa","banda","groda","rzepa","gang","group"
"grzmot","błyskawica","uszkoskawica","grboot","lightning","thunder"
"gwiazda","sława","górwa","wieczda","celebrity","star"
"gwizdać","klakson","slonson","clindać","horn","whistle"
"halucynacja","iluzja","umozja","halucynazwiesz","illusion","hallucination"
"hamburger","kanapka","kaśrodka","oszaburger","sandwich","hamburger"
"harmonia","balansować","bathompsować","trzymonia","balance","harmony"
"harmonogram","kalendarz","kalenmiać","harmonothing","calendar","schedule"
"hasło","kod","izd","hanin","code","password"
"heroina","kokaina","kokalach","herosach","cocaine","heroin"
"hiv","aids","aihu","akv","aids","hiv"
"hojny","współczujący","tłuszczujący","fikny","compassionate","generous"
"homar","tuńczyk","rąbczyk","hoing","tuna","lobster"
"honor","przywilej","dziewilej","hodre","privilege","honor"
"hrabina","baron","basem","johnbina","baron","countess"
"idealny","ideał","błoał","funkalny","ideal","perfect"
"idiota","oszukać","oszules","chwata","fool","idiot"
"ilość","suma","perma","ubość","sum","amount"
"imperium","dynastia","dynaball","impetach","dynasty","empire"
"imponować","pochlebiać","poszłybiać","imponoksięż","flatter","impress"
"impreza","przyjęcie","dziejęcie","imzwiaza","reception","party"
"indyk","kurczak","kurkłaś","insos","chicken","turkey"
"indywidualny","osoba","milba","indywiduwdzięczny","person","individual"
"infekcja","wirus","wilio","instancja","virus","infection"
"informacja","dane","tywne","informathers","data","information"
"informator","źródło","kundło","informaczysz","source","informant"
"inny; różny","podobny","poręczny","inny; rśniam","similar","different"
"inspiracja","inspirować","indiachrować","inprzedracja","inspire","inspiration"
"instrument","narzędzie","narzętach","infragment","tool","instrument"
"inteligentny","mądry","mąmuj","intelistraszny","smart","intelligent"
"intuicja","instynkt","instrict","intusard","instinct","intuition"
"intymny","osobisty","osobiciem","inanalny","personal","intimate"
"inwestor","bankier","banrzej","inwemyśl","banker","investor"
"inwestować","finanse","fiexcuse","inweogrzewać","finance","invest"
"ironiczny","ironia","hienia","iroczalny","irony","ironic"
"iść","wchodzić","ignodzić","cmć","enter","go"
"jądrowy","atomowy","ogólmowy","jąchliwy","atomic","nuclear"
"jajko","gniazdo","gruszdo","gonko","nest","egg"
"jakość","ilość","kność","jakłem","quantity","quality"
"jasny","połysk","pobrok","jawił","shine","bright"
"jaszczurka","żaba","żanek","oklaczurka","frog","lizard"
"jazda","prowadzić","prowariat","cwada","drive","ride"
"jedna czwarta","połowa","pomniawa","jednazwiskrta","half","quarter"
"jeść","karmić","karchi","jebe","feed","eat"
"jesień","wiosna","wiołem","jetnie","spring","autumn"
"jezioro","rzeka","gruka","jechacro","river","lake"
"julia","romeo.","romógl","jugan","romeo","juliet"
"junior","senior","senand","judish","senior","junior"
"kaczka","gęś","yoś","nantka","goose","duck"
"kamień","głaz","głup","kakłeś","rock","stone"
"kapelusz","kask","kałą","kapeufać","helmet","hat"
"kapitalizm","anarchia","anarashi","kapitaśmach","anarchy","capitalism"
"kapitan","dowódca","dotknęca","kapiciem","commander","captain"
"kapłan","mnich","koich","kadang","monk","priest"
"kaplica","kościół","komścij","kazachca","church","chapel"
"kardynał","biskup","bisizm","kardyczyc","bishop","cardinal"
"kartel","mafia","maszu","karnię","mafia","cartel"
"kawa","filiżanka","filidziecka","stowa","cup","coffee"
"kazanie","przemówienie","współmówienie","kazatrzy","speech","sermon"
"kciuk","palec","pacik","sgiuk","finger","thumb"
"kelnerka","kelner","ofiner","chwynerka","waiter","waitress"
"kemping","piknik","todnik","złąping","picnic","camping"
"kierowca","pasażer","pasatrow","kiestępca","passenger","driver"
"kłamca","kłamać","kłatra","skomca","lie","liar"
"klasyczny","typowy","typochod","klatworny","typical","classic"
"klasztor","sierociniec","sierociskasz","prosztor","orphanage","convent"
"klasztor","świątynia","wkłatynia","prosztor","temple","monastery"
"klejnot","diament","lopment","klejrez","diamond","jewel"
"klient","pacjent","pachand","klnęnt","patient","client"
"klinika","szpital","wspatal","opłanika","hospital","clinic"
"kobieta","wdowa","bucwa","kogranta","widow","woman"
"kochanek","kochanka","koniutka","kodzionek","mistress","lover"
"kolano","ramię","razek","koprzyno","shoulder","knee"
"komedia","dramat","drakin","komeżysz","drama","comedy"
"komisarz","inspektor","inproctor","komicisk","inspector","commissioner"
"komisja","zamawiać","zamadłem","komiłach","commission","committee"
"kompletny","całkowity","śmietkowity","komzgodny","total","complete"
"komputer","oprogramowanie","grzeszgramowanie","kompuscic","software","computer"
"komunikacja","nawigacja","nawigabriel","komunikadziesz","navigation","communication"
"komunistyczny","rasistowski","rasidziejski","komuniświetlny","racist","communist"
"koń","osioł","oskół","zań","donkey","horse"
"koncentrować się","centrum","centarł","koncentrowaćszczyt","focus","concentrate"
"koncert","wycieczka","wyrzyszka","kondrei","tour","concert"
"koniak","rum","alm","korzać","rum","cognac"
"koniec","koniec","kovich","koszet","end","finish"
"konserwacja","usługa","spluga","konserwaszyng","service","maintenance"
"konstytucja","prawo","zerwo","konstytuarium","law","constitution"
"kontrola","badanie","badajesz","konśmiela","examination","inspection"
"kontyntynuj","kontynuować","kontynustrze","kontyntysięcz","proceed","continue"
"kopiuj","oryginalny","uczciginalny","kokies","original","copy"
"korporacja","spółka","szanka","dzienporacja","company","corporation"
"kot","pies","piął","unt","dog","cat"
"kowboj","rodeo","roxbu","kowtay","rodeo","cowboy"
"kreatura","potwór","poriów","kreichira","monster","creature"
"kreatywność","wyobraźnia","wyomdlenia","krepiękność","imagination","creativity"
"król","królowa","ustalowa","krśi","queen","king"
"królestwo","królewski","króchiński","królewych","royal","kingdom"
"królik","lis","rps","krókły","fox","rabbit"
"kropka","faza","fałeś","dzonka","phase","period"
"krupon","tyłek","tysie","kruoko","ass","butt"
"kryminalista","złodziej","złodrzeć","uczniaminalista","thief","criminal"
"kryzys","sytuacja","sytutwił","kryitą","situation","crisis"
"krzesło","stół","styz","krzegię","table","chair"
"książę","księżniczka","skromniczka","klamżę","princess","prince"
"książka","biblia","biliot","dziejka","bible","book"
"kuchenka","piekarnik","piekarsten","kuszyjka","oven","stove"
"kupiec","reklama w telewizji","reklama w telechlebstw","kuther","commercial","merchant"
"kupujący","sprzedawca","współdawca","szczepujący","seller","buyer"
"kurtka","koszula","kochwila","bratka","shirt","jacket"
"kuzyn","względny","wzroczny","kuimi","relative","cousin"
"kwatera główna","baza","gnoza","kwatera głóchciej","base","headquarters"
"kwiat","zakład","zakiet","kwest","plant","flower"
"ładunek","załaduj","załazien","ładuchow","load","cargo"
"las","dżungla","dżuntow","aus","jungle","forest"
"łaska","przebaczenie","współbaczenie","łanie","forgiveness","mercy"
"latać","grunt","groźt","laren","land","fly"
"łatwo","niemożliwy","niedzielliwy","łasmy","impossible","easy"
"łazienka","kabina prysznicowa","opryszczkabina prysznicowa","łaafryka","shower","bathroom"
"leczenie","terapia","teradach","lejesznie","therapy","treatment"
"legenda","mit","zęt","lecharda","myth","legend"
"lek","alkohol","alkonież","owk","alcohol","drug"
"lekarz","chirurg","chikong","lejach","surgeon","doctor"
"lekki","ciemność","unieność","piaki","darkness","light"
"lew","smok","smat","taw","dragon","lion"
"lewy","prawidłowy","prawiuczciwy","lecił","right","left"
"liberał","konserwatywny","konserwachlarzny","libeusze","conservative","liberal"
"lider","członek","ścionek","licji","member","leader"
"limuzyna","taxi","tadaż","otrzymuzyna","taxi","limousine"
"lina","łańcuch","łańłęcz","lismy","chain","rope"
"lipiec","czerwiec","oczywiec","lizisz","june","july"
"list","telegram","teleslie","limę","telegram","letter"
"literatura","sztuka","rzonka","liściachratura","art","literature"
"lizać","ssać","ośać","liwej","suck","lick"
"łódź","łódź podwodna","skunk podwodna","łóił","submarine","boat"
"lokalizacja","miejsce","miejrio","lokalizazdrosz","place","location"
"lokalny","regionalny","regiostyczny","loteczny","regional","local"
"lot","lądowanie","lądowarzysz","unt","landing","flight"
"lotnisko","terminal","skonminal","wciąnisko","terminal","airport"
"łóżko","sofa","socze","fruko","sofa","bed"
"ludzie","populacja","populations","lubież","population","people"
"lustro","odbicie","odbistym","luchło","reflection","mirror"
"łyk","upuść","upićć","znk","drop","sip"
"majonez","keczup","kedruk","majodżaj","ketchup","mayonnaise"
"mąka","ziarno","gralno","kacka","grain","flour"
"maksymalny","minimum","ministwa","stripsymalny","minimum","maximum"
"malarz","artysta","artyścią","mastru","artist","painter"
"mały","mało","marań","maceu","little","small"
"małżeństwo","rozwód","rozneś","małżeńdził","divorce","marriage"
"manipulować","kontrola","konxwella","manipulouisvil","control","manipulate"
"mapa","kompas","komfon","makie","compass","map"
"marketing","reklama","regresma","markeskaj","advertising","marketing"
"martwy","żywy","stowy","marbał","alive","dead"
"marynarka wojenna","morski","lijski","marynarka wojechlebstw","marine","navy"
"marynarz","pirat","piłom","marytlić","pirate","sailor"
"masaż","joga","bunga","mahul","yoga","massage"
"masło","kochanie","koprzynie","manin","honey","butter"
"maszyna","robot","roels","maroczna","robot","machine"
"matematyka","fizyka","fiplotka","mateatrzyktyka","physics","mathematics"
"materiał wybuchowy","bomba","pańba","materiał wybuchchlebstw","bomb","explosive"
"mdłości","biegunka","bieczewka","ciołści","diarrhea","nausea"
"mechaniczny","techniczny","chroniczny","mechasprawny","technical","mechanical"
"mecz","turniej","katniej","medo","tournament","match"
"medal","trofeum","troleźc","menii","trophy","medal"
"medalion","artefakt","arteboya","medanosc","artifact","medallion"
"metal","żelazo","żelarium","meset","iron","metal"
"metr","kilometr","kilozłam","mezz","kilometer","meter"
"mgła","chmura","pseura","ebła","cloud","fog"
"miasto","stolica","życzlica","mianam","capital","city"
"mięsień","nerw","newo","międium","nerve","muscle"
"mięso","mięso wieprzowe","mięso wieprzstarcz","pulso","pork","meat"
"mieszanina","połączenie","połąsłusznie","mieochotnina","combination","mixture"
"mikrofon","kamera","kamedycz","mikronieś","camera","microphone"
"mikroskop","teleskop","teleczen","mikrobiam","telescope","microscope"
"milczący","tatuś","tafey","starczący","daddy","mum"
"miliard","milion","mipiać","mimiast","million","billion"
"miłość","nienawidzić","nienawicjusz","miskać","hate","love"
"minister","ambasador","ambasachach","minikich","ambassador","minister"
"ministerstwo","ambasada","strzebasada","minichwalstwo","embassy","ministry"
"minus","plus","dzus","mirat","plus","minus"
"minuta","druga","terga","mifronta","second","minute"
"misja","zadanie","zadarzyć","miżać","task","mission"
"mistrzostwo","konkurencja","konkurenfield","michwalstwo","competition","championship"
"młody","stary","rozry","tardy","old","young"
"młot","kij","rej","fdot","stick","hammer"
"mocz","krew","krts","moak","blood","urine"
"mokry","suchy","suelo","mowiu","dry","wet"
"molwa","ming.","sung.","psuwa","ming","ling"
"monitor","ekran","wnran","monifest","screen","monitor"
"morderca","zabójca","zaznawca","morświeca","killer","murderer"
"morderca","najemnik","naczynnik","morświeca","mercenary","assassin"
"morderstwo","samobójstwo","samobójdzisz","morderbird","suicide","murder"
"morfina","aspiryna","kingryna","ustafina","aspirin","morphine"
"motel","hotel","hosco","mosco","hotel","motel"
"mówić","rozmowa","alarmowa","móman","talk","speak"
"mózgowy","mózg","mókl","mótrójwy","brain","cerebral"
"możliwość","szansa","charsa","możlistów","chance","possibility"
"mrówka","pszczoła","świńczoła","grifka","bee","ant"
"mundur","odznaka","odżeczka","munnoi","badge","uniform"
"mutacja","ewolucja","niemlucja","mutadzie","evolution","mutation"
"muzeum","biblioteka","biczwarteka","mupeye","library","museum"
"muzyk","piosenkarz","piosenling","mukój","singer","musician"
"muzyka","jazz","jacu","mułeczka","jazz","music"
"myć się","czysty","czyter","dża się","clean","wash"
"myśleć","rozważać","rozwakiem","mygląd","consider","think"
"na około","okrągły","opargły","na okdlać","round","around"
"na zawsze","wieczny","gwiazny","na zauważ","eternal","forever"
"naciskać","przycisk","przysing","nacignął","button","press"
"nadajnik","czujnik","channik","naosobnik","sensor","transmitter"
"nadal","już","zyż","naarl","already","still"
"nagi","nagi","nałeś","nałaś","nude","naked"
"nagły wypadek","pilne","słane","nagły wypostrza","urgent","emergency"
"nagranie","nagrywać","naśpiewać","nawiednie","record","recording"
"nagroda","nobel.","nofers","nawsiada","nobel","prize"
"nagroda","premia","presor","nawsiada","bonus","reward"
"najwyższy","finał","filów","najśliwszy","final","ultimate"
"napastnik","ofiara","uwięra","naczownik","victim","attacker"
"naprawa","naprawić","napraczył","naschowa","fix","repair"
"naprawdę","faktycznie","fakprzenie","nastejdę","actually","really"
"naród","kraj","krtt","naami","country","nation"
"nastolatek","nastoletni","nastostrzeni","natranslatek","teenage","teenager"
"naszyjnik","pierścień","pierrview","nalusznik","ring","necklace"
"nauczać","uczyć się","uczyćthią","nawrzeć","learn","teach"
"nauczyciel","student","studżać","nauczygnąć","student","teacher"
"nauki ścisłe","technologia","dziewnologia","nauki ścwrzyj","technology","science"
"naukowiec","geniusz","gesiądz","naukoszać","genius","scientist"
"nazwisko","przezwisko","strazwisko","napastsko","nickname","surname"
"negatywny","pozytywny","pozydzialny","negadzialny","positive","negative"
"nerwowy","zmartwiony","zmarnialny","zwiąwowy","worried","nervous"
"niebezpieczny","ryzykowny","ryzybliczny","niebezsprawny","risky","dangerous"
"niebiański","niebo","arabo","niezbędski","sky","heavenly"
"niebieski","brązowy","paszzowy","niebiegach","brown","blue"
"niedziela","sobota","socmenta","niezrówla","Saturday","Sunday"
"nieodpowiedzialny","nierozsądny","nierozpieczny","nieodpowieochrzczony","unreasonable","irresponsible"
"niepokoić się","obawa","lekwa","niepokoićuthern","concern","worry"
"niepowodzenie","sukces","sukbom","niepowościachnie","success","failure"
"nieprzyjemny","niewygodny","niewystrzeny","nieśmierjemny","uncomfortable","unpleasant"
"niesamowity","robi wrażenie","robi wrażtrzysz","wstrząsamowity","impressive","amazing"
"niespodziewanie","nagle","napek","niegrzeczdziewanie","suddenly","unexpectedly"
"niesprawiedliwy","niesprawiedliwość","niegrzeczwiedliwość","niegrzeczwiedliwy","injustice","unfair"
"nieszczęście","niefortunny","nieforgrzywny","niewznieście","unfortunate","misfortune"
"nieszczęście","ubóstwo","slestwo","niewznieście","poverty","misery"
"niezdolny","niemożność","niemożkach","nierządny","inability","unable"
"nieznany","anonimowy","uśmienimowy","niemiczny","anonymous","unknown"
"niezwykły","wyjątkowy","wystrzekowy","niezwypiał","exceptional","remarkable"
"normalna","zdrowy","zrzuwy","norteczna","healthy","normal"
"nos","usta","zyta","rms","mouth","nose"
"nowotwór","guz","ksz","nowonieć","tumor","cancer"
"nóż","miecz","miłyz","wtż","sword","knife"
"o","na zewnątrz","na zespiesz","dé","out","about"
"obcy","ufo.","ufcp","bójcy","ufo","alien"
"obiad","przekąska","niczkąska","obród","snack","lunch"
"obietnica","gwarancja","czujrancja","wszytnica","guarantee","promise"
"oblicz","liczyć","licjan","obrion","count","calculate"
"obowiązek","odpowiedzialność","odpowieostrożność","obowiąbiać","responsibility","duty"
"obrabować","skraść","heraść","obraboskiej","steal","rob"
"obracać się","skręcać","spóźcać","obracaćwiert","turn","rotate"
