"pl_cue","pl_target","type","cue_type","target_type","pl_cosine"
"stulecie","dekada","related","word","word",0.474908919060699
"miękki","delikatny","related","word","word",0.527477796694317
"wolność","demokracja","related","word","word",0.436893805036664
"protest","demonstracja","related","word","word",0.486199978148197
"stres","depresja","related","word","word",0.489266119841565
"agent","detektyw","related","word","word",0.443430728605796
"odwaga","determinacja","related","word","word",0.652102427745193
"chaos","dezorientacja","related","word","word",0.244983683794438
"anioł","diabeł","related","word","word",0.429005261892547
"świst","ding.","related","word","word",NA
"krótki","długi","related","word","word",0.517329427255282
"papier","długopis","related","word","word",0.516262691167022
"rozmiar","długość","related","word","word",0.554110569482747
"wolontariusz","dobrowolnie","related","word","word",0.272196828625874
"podziwiać","doceniać","related","word","word",0.608908782615932
"zysk","dochód","related","word","word",0.597242884023648
"dodatkowy","dodatkowy","related","word","word",1
"plik","dokument","related","word","word",0.438628812066419
"funt","dolar","related","word","word",0.503608666471483
"pustynia","dolina","related","word","word",0.484935531207546
"najlepszy","dolny","related","word","word",0.228016522477683
"dowód","dowód","related","word","word",1
"ofiara","drapieżnik","related","word","word",0.340189641009687
"kabel","drut","related","word","word",0.563388167655994
"krzak","drzewo","related","word","word",0.532488567683794
"okno","drzwi","related","word","word",0.558453360084255
"dusza","duch","related","word","word",0.535751351154684
"proch strzelniczy","dynamit","related","word","word",NA
"producent","dyrektor","related","word","word",0.401227721241134
"rozmowa","dyskusja","related","word","word",0.603886805326843
"piętro","dywan","related","word","word",0.196030659706006
"gest","działać","related","word","word",0.156943388912029
"młodzież","dzieciństwo","related","word","word",0.229085413522277
"dziecko","dziecko","related","word","word",1
"dziedzictwo","dziedziczyć","related","word","word",0.553731994702339
"wdzięczny","dziękować","related","word","word",0.638979716743357
"hrabstwo","dzielnica","related","word","word",0.288924242568078
"reporter","dziennikarz","related","word","word",0.802732591864307
"chłopcy.","dziewczyny","related","word","word",NA
"niezwykły","dziwne","related","word","word",0.359080129450019
"straszny","dziwny","related","word","word",0.672131875490283
"hałas","dźwięk","related","word","word",0.61245898166339
"zdrowie","edukacja","related","word","word",0.299142181160125
"wpływ","efekt","related","word","word",0.452911870678914
"użyteczne","efektywny","related","word","word",0.333427573430788
"pękać","eksplodować","related","word","word",0.390424056845943
"trzęsienie ziemi","eksplozja","related","word","word",NA
"modny","elegancki","related","word","word",0.576673399452465
"obecny","elektryczność","related","word","word",0.129705896119078
"magnetyczny","elektryczny","related","word","word",0.538029490644432
"czynnik","element","related","word","word",0.472603913697568
"psychiczny","emocjonalny","related","word","word",0.69546627558592
"moc","energia","related","word","word",0.512111476152116
"plaga","epidemia","related","word","word",0.598445403245383
"seria","epizod","related","word","word",0.271519467732517
"orgazm","erekcja","related","word","word",0.375208839288455
"ciepły","fajny","related","word","word",0.403498086450729
"poczta","faks","related","word","word",0.367941782293949
"podróbka","fałszywe","related","word","word",0.427000188364283
"wspaniały","fantastyczny","related","word","word",0.742841448558518
"rzeczywistość","fantazja","related","word","word",0.526829335381191
"śmiertelnie","fatalny","related","word","word",0.1378850558223
"kolonia","federacja","related","word","word",0.532204342620383
"karnawał","festiwal","related","word","word",0.512403735808307
"porno","film","related","word","word",0.404575441210726
"budżet","finansowanie","related","word","word",0.437847612774759
"materialnie","finansowanie","related","word","word",0.23412204279681
"seksualny","fizyczny","related","word","word",0.572979571511585
"morski","flota","related","word","word",0.279307634030752
"autograf","fotograf","related","word","word",0.479224091724409
"język angielski","francuski","related","word","word",NA
"operacyjny","funkcjonalny","related","word","word",0.34613492235435
"biurko","gabinet","related","word","word",0.426268858185285
"gabinet","gabinet","related","word","word",1
"wszechświat","galaktyka","related","word","word",0.572778932350841
"warsztat","garaż","related","word","word",0.533677035954664
"artykuł","gazeta","related","word","word",0.471457708723187
"gdzie indziej","gdzieś","related","word","word",NA
"fortepian","gitara","related","word","word",0.45942007071439
"zmęczony","głodny","related","word","word",0.61546336852924
"większość","głosować","related","word","word",0.177903114617765
"ślepy","głuchy","related","word","word",0.639585585989253
"naiwny","głupi","related","word","word",0.550821749534793
"szaleństwo","głupota","related","word","word",0.469428874264657
"duma","godność","related","word","word",0.411107474216783
"zasługiwać","godny","related","word","word",0.32431476260215
"wzgórze","góra","related","word","word",0.330092593089142
"kaszel","gorączka","related","word","word",0.467725661699315
"niżej","górny","related","word","word",0.258538829786389
"małpa","goryl","related","word","word",0.489603510658993
"najemca","gospodarz","related","word","word",0.396469618481274
"bawić się","gra","related","word","word",NA
"trener","gracz","related","word","word",0.489914737121323
"kilogram","gram","related","word","word",0.360520127259289
"rzymski","grecki","related","word","word",0.60201475919648
"chudy","gruby","related","word","word",0.672693811037739
"listopad","grudzień","related","word","word",0.638566209217728
"banda","grupa","related","word","word",0.606535829765787
"błyskawica","grzmot","related","word","word",0.502749139853864
"sława","gwiazda","related","word","word",0.333323072721456
"klakson","gwizdać","related","word","word",0.408335570357723
"iluzja","halucynacja","related","word","word",0.482755491861045
"kanapka","hamburger","related","word","word",0.525409847062117
"balansować","harmonia","related","word","word",0.309150552214784
"kalendarz","harmonogram","related","word","word",0.460917012422089
"kod","hasło","related","word","word",0.571504598221324
"kokaina","heroina","related","word","word",0.735571382978074
"aids","hiv","related","word","word",0.66524592470632
"współczujący","hojny","related","word","word",0.461400261554385
"tuńczyk","homar","related","word","word",0.515221049006843
"przywilej","honor","related","word","word",0.401813880105938
"baron","hrabina","related","word","word",0.346396807683245
"ideał","idealny","related","word","word",0.434107376830059
"oszukać","idiota","related","word","word",0.169210980948069
"suma","ilość","related","word","word",0.37550753718461
"dynastia","imperium","related","word","word",0.415619058299373
"pochlebiać","imponować","related","word","word",0.505815396296967
"przyjęcie","impreza","related","word","word",0.515434631396045
"kurczak","indyk","related","word","word",0.672654413870178
"osoba","indywidualny","related","word","word",0.279451611224548
"wirus","infekcja","related","word","word",0.532478305219068
"dane","informacja","related","word","word",0.379933286111139
"źródło","informator","related","word","word",0.31105617122117
"podobny","inny; różny","related","word","word",NA
"inspirować","inspiracja","related","word","word",0.556236596028389
"narzędzie","instrument","related","word","word",0.382576299182943
"mądry","inteligentny","related","word","word",0.708681473676065
"instynkt","intuicja","related","word","word",0.575363462191577
"osobisty","intymny","related","word","word",0.489153059716338
"bankier","inwestor","related","word","word",0.564455701850059
"finanse","inwestować","related","word","word",0.293787941540203
"ironia","ironiczny","related","word","word",0.481943806777784
"wchodzić","iść","related","word","word",0.394954705041911
"atomowy","jądrowy","related","word","word",0.693856479992353
"gniazdo","jajko","related","word","word",0.354104377588264
"ilość","jakość","related","word","word",0.522970353458173
"połysk","jasny","related","word","word",0.307052161883994
"żaba","jaszczurka","related","word","word",0.50971648937934
"prowadzić","jazda","related","word","word",0.184767290267585
"połowa","jedna czwarta","related","word","word",NA
"karmić","jeść","related","word","word",0.463307619767558
"wiosna","jesień","related","word","word",0.62072420065451
"rzeka","jezioro","related","word","word",0.493939571914095
"romeo.","julia","related","word","word",NA
"senior","junior","related","word","word",0.438999415339266
"gęś","kaczka","related","word","word",0.491072338497254
"głaz","kamień","related","word","word",0.595927416970682
"kask","kapelusz","related","word","word",0.567052463424408
"anarchia","kapitalizm","related","word","word",0.442919393838842
"dowódca","kapitan","related","word","word",0.603592985844802
"mnich","kapłan","related","word","word",0.514388113453525
"kościół","kaplica","related","word","word",0.480636683730738
"biskup","kardynał","related","word","word",0.46896856596945
"mafia","kartel","related","word","word",0.451904006766274
"filiżanka","kawa","related","word","word",0.517685652193648
"przemówienie","kazanie","related","word","word",0.619359214495126
"palec","kciuk","related","word","word",0.700419597191133
"kelner","kelnerka","related","word","word",0.700065792925053
"piknik","kemping","related","word","word",0.545661514114316
"pasażer","kierowca","related","word","word",0.563852310457048
"kłamać","kłamca","related","word","word",0.431627440946621
"typowy","klasyczny","related","word","word",0.613521411314459
"sierociniec","klasztor","related","word","word",0.520186911883223
"świątynia","klasztor","related","word","word",0.413138472263661
"diament","klejnot","related","word","word",0.639254341015322
"pacjent","klient","related","word","word",0.5088437003202
"szpital","klinika","related","word","word",0.589064473484509
"wdowa","kobieta","related","word","word",0.407353216180039
"kochanka","kochanek","related","word","word",0.49684618931239
"ramię","kolano","related","word","word",0.539961573536484
"dramat","komedia","related","word","word",0.478436556800879
"inspektor","komisarz","related","word","word",0.609632910467128
"zamawiać","komisja","related","word","word",0.0664716839591835
"całkowity","kompletny","related","word","word",0.620939165227978
"oprogramowanie","komputer","related","word","word",0.554872736842
"nawigacja","komunikacja","related","word","word",0.587677221663599
"rasistowski","komunistyczny","related","word","word",0.594441726465374
"osioł","koń","related","word","word",0.432556332922112
"centrum","koncentrować się","related","word","word",NA
"wycieczka","koncert","related","word","word",0.282996830476654
"rum","koniak","related","word","word",0.496676677232374
"koniec","koniec","related","word","word",1
"usługa","konserwacja","related","word","word",0.443491623145398
"prawo","konstytucja","related","word","word",0.42118862382283
"badanie","kontrola","related","word","word",0.270700599396464
"kontynuować","kontyntynuj","related","word","word",NA
"oryginalny","kopiuj","related","word","word",0.335952622488683
"spółka","korporacja","related","word","word",0.526392421567765
"pies","kot","related","word","word",0.751340433053434
"rodeo","kowboj","related","word","word",0.401292780149796
"potwór","kreatura","related","word","word",0.474451133530868
"wyobraźnia","kreatywność","related","word","word",0.503176175019374
"królowa","król","related","word","word",0.724538244113085
"królewski","królestwo","related","word","word",0.417620383008955
"lis","królik","related","word","word",0.526140156043091
"faza","kropka","related","word","word",0.246919373597265
"tyłek","krupon","related","word","word",NA
"złodziej","kryminalista","related","word","word",0.529630117397953
"sytuacja","kryzys","related","word","word",0.323086863470912
"stół","krzesło","related","word","word",0.444215846685104
"księżniczka","książę","related","word","word",0.599086098572933
"biblia","książka","related","word","word",0.51933496810259
"piekarnik","kuchenka","related","word","word",0.55666511746754
"reklama w telewizji","kupiec","related","word","word",NA
"sprzedawca","kupujący","related","word","word",0.485055344718097
"koszula","kurtka","related","word","word",0.699469184821699
"względny","kuzyn","related","word","word",0.13704866675517
"baza","kwatera główna","related","word","word",NA
"zakład","kwiat","related","word","word",0.179987374070313
"załaduj","ładunek","related","word","word",0.296312681200709
"dżungla","las","related","word","word",0.449723904423267
"przebaczenie","łaska","related","word","word",0.343745910576247
"grunt","latać","related","word","word",0.122871840783908
"niemożliwy","łatwo","related","word","word",0.226997119524516
"kabina prysznicowa","łazienka","related","word","word",NA
"terapia","leczenie","related","word","word",0.520580779215712
"mit","legenda","related","word","word",0.52022136863205
"alkohol","lek","related","word","word",0.343537346262115
"chirurg","lekarz","related","word","word",0.671392148859081
"ciemność","lekki","related","word","word",0.11910281662884
"smok","lew","related","word","word",0.502990970999447
"prawidłowy","lewy","related","word","word",0.364061032874717
"konserwatywny","liberał","related","word","word",0.569836558762305
"członek","lider","related","word","word",0.517475213733825
"taxi","limuzyna","related","word","word",0.401442587935513
"łańcuch","lina","related","word","word",0.286959027708101
"czerwiec","lipiec","related","word","word",0.625799302599875
"telegram","list","related","word","word",0.684314389448611
"sztuka","literatura","related","word","word",0.493443551878208
"ssać","lizać","related","word","word",0.603260928115986
"łódź podwodna","łódź","related","word","word",NA
"miejsce","lokalizacja","related","word","word",0.310696531809755
"regionalny","lokalny","related","word","word",0.560051597606674
"lądowanie","lot","related","word","word",0.501149854932352
"terminal","lotnisko","related","word","word",0.427700483382778
"sofa","łóżko","related","word","word",0.397698370845487
"populacja","ludzie","related","word","word",0.229022085503401
"odbicie","lustro","related","word","word",0.465334745841228
"upuść","łyk","related","word","word",0.202480168884432
"keczup","majonez","related","word","word",0.545675449069209
"ziarno","mąka","related","word","word",0.336607926321397
"minimum","maksymalny","related","word","word",0.466694309761005
"artysta","malarz","related","word","word",0.694948207484336
"mało","mały","related","word","word",0.234085628528745
"rozwód","małżeństwo","related","word","word",0.475555432034099
"kontrola","manipulować","related","word","word",0.177352528397557
"kompas","mapa","related","word","word",0.370845400765915
"reklama","marketing","related","word","word",0.37687873455924
"żywy","martwy","related","word","word",0.600596367214072
"morski","marynarka wojenna","related","word","word",NA
"pirat","marynarz","related","word","word",0.527415919286123
"joga","masaż","related","word","word",0.431093261855868
"kochanie","masło","related","word","word",0.233038448077283
"robot","maszyna","related","word","word",0.427471124822
"fizyka","matematyka","related","word","word",0.682743517957499
"bomba","materiał wybuchowy","related","word","word",NA
"biegunka","mdłości","related","word","word",0.491732579335752
"techniczny","mechaniczny","related","word","word",0.628836437761814
"turniej","mecz","related","word","word",0.572747007988173
"trofeum","medal","related","word","word",0.37449834888375
"artefakt","medalion","related","word","word",0.478367741613331
"żelazo","metal","related","word","word",0.533426097302638
"kilometr","metr","related","word","word",0.561549981856873
"chmura","mgła","related","word","word",0.562879693268348
"stolica","miasto","related","word","word",0.436501111527168
"nerw","mięsień","related","word","word",0.612808768006441
"mięso wieprzowe","mięso","related","word","word",NA
"połączenie","mieszanina","related","word","word",0.290782457618128
"kamera","mikrofon","related","word","word",0.472997854408749
"teleskop","mikroskop","related","word","word",0.566005049007333
"tatuś","milczący","related","word","word",0.140827168054653
"milion","miliard","related","word","word",0.735631002126845
"nienawidzić","miłość","related","word","word",0.248979886070111
"ambasador","minister","related","word","word",0.537711683573114
"ambasada","ministerstwo","related","word","word",0.35413302181295
"plus","minus","related","word","word",0.56679735578634
"druga","minuta","related","word","word",0.200156792468257
"zadanie","misja","related","word","word",0.410785866103365
"konkurencja","mistrzostwo","related","word","word",0.351729344602961
"stary","młody","related","word","word",0.451515550481599
"kij","młot","related","word","word",0.488160846452469
"krew","mocz","related","word","word",0.575517214986099
"suchy","mokry","related","word","word",0.572795536417235
"ming.","molwa","related","word","word",NA
"ekran","monitor","related","word","word",0.549243341860161
"zabójca","morderca","related","word","word",0.851417382278905
"najemnik","morderca","related","word","word",0.350090238958999
"samobójstwo","morderstwo","related","word","word",0.608476750352347
"aspiryna","morfina","related","word","word",0.592057854119112
"hotel","motel","related","word","word",0.738231927757697
"rozmowa","mówić","related","word","word",0.275632092625675
"mózg","mózgowy","related","word","word",0.498370937742435
"szansa","możliwość","related","word","word",0.50479655278981
"pszczoła","mrówka","related","word","word",0.540865556154571
"odznaka","mundur","related","word","word",0.457621587253731
"ewolucja","mutacja","related","word","word",0.589641036655423
"biblioteka","muzeum","related","word","word",0.359107119675256
"piosenkarz","muzyk","related","word","word",0.661919563945804
"jazz","muzyka","related","word","word",0.522734706617385
"czysty","myć się","related","word","word",NA
"rozważać","myśleć","related","word","word",0.457613995566541
"okrągły","na około","related","word","word",NA
"wieczny","na zawsze","related","word","word",NA
"przycisk","naciskać","related","word","word",0.427056521778123
"czujnik","nadajnik","related","word","word",0.63810280666574
"już","nadal","related","word","word",0.322813666033889
"nagi","nagi","related","word","word",1
"pilne","nagły wypadek","related","word","word",NA
"nagrywać","nagranie","related","word","word",0.46947413098598
"nobel.","nagroda","related","word","word",NA
"premia","nagroda","related","word","word",0.582428465595956
"finał","najwyższy","related","word","word",0.1891286461481
"ofiara","napastnik","related","word","word",0.469050208027725
"naprawić","naprawa","related","word","word",0.547704697064085
"faktycznie","naprawdę","related","word","word",0.553313294411622
"kraj","naród","related","word","word",0.643135829541532
"nastoletni","nastolatek","related","word","word",0.515962828497346
"pierścień","naszyjnik","related","word","word",0.534274324924244
"uczyć się","nauczać","related","word","word",NA
"student","nauczyciel","related","word","word",0.588136786906056
"technologia","nauki ścisłe","related","word","word",NA
"geniusz","naukowiec","related","word","word",0.472843626924601
"przezwisko","nazwisko","related","word","word",0.585527981502261
"pozytywny","negatywny","related","word","word",0.800737526201015
"zmartwiony","nerwowy","related","word","word",0.465263907672194
"ryzykowny","niebezpieczny","related","word","word",0.639592400733846
"niebo","niebiański","related","word","word",0.363990382644976
"brązowy","niebieski","related","word","word",0.696773496654119
"sobota","niedziela","related","word","word",0.748275634260044
"nierozsądny","nieodpowiedzialny","related","word","word",0.552631429165137
"obawa","niepokoić się","related","word","word",NA
"sukces","niepowodzenie","related","word","word",0.515109569286248
"niewygodny","nieprzyjemny","related","word","word",0.601333249330029
"robi wrażenie","niesamowity","related","word","word",NA
"nagle","niespodziewanie","related","word","word",0.610490093764169
"niesprawiedliwość","niesprawiedliwy","related","word","word",0.667878426235127
"niefortunny","nieszczęście","related","word","word",0.402176502611632
"ubóstwo","nieszczęście","related","word","word",0.344093119257416
"niemożność","niezdolny","related","word","word",0.440604054363031
"anonimowy","nieznany","related","word","word",0.378695865586734
"wyjątkowy","niezwykły","related","word","word",0.684464058695277
"zdrowy","normalna","related","word","word",0.308411017664281
"usta","nos","related","word","word",0.515779902320556
"guz","nowotwór","related","word","word",0.665333268976439
"miecz","nóż","related","word","word",0.629469731161482
"na zewnątrz","o","related","word","word",NA
"ufo.","obcy","related","word","word",NA
"przekąska","obiad","related","word","word",0.413000218119928
"gwarancja","obietnica","related","word","word",0.516681850361756
"liczyć","oblicz","related","word","word",0.182281766930745
"odpowiedzialność","obowiązek","related","word","word",0.395469004978183
"skraść","obrabować","related","word","word",0.46866497654926
"skręcać","obracać się","related","word","word",NA
"rana","obrażenia","related","word","word",0.294435177707283
"zniewaga","obrazić","related","word","word",0.390526698810608
"brudny","obrzydliwe","related","word","word",0.386448069426148
"popatrz","obserwować","related","word","word",0.219811571012237
"promień","obwód","related","word","word",0.491376660167134
"morze","ocean","related","word","word",0.653239394120354
"obserwacja","ocena","related","word","word",0.548098443102258
"czekać","oczekiwać","related","word","word",0.438362489653182
"wyraźnie","oczywiście","related","word","word",0.202932410098183
"dna.","odcisk palca","related","word","word",NA
"zarządzać","odnieść sukces","related","word","word",NA
"odpowiedź","odpowiadać","related","word","word",0.508238685026241
"świeży","odświeżać","related","word","word",0.339625742078767
"szlachetny","odważny","related","word","word",0.530467776640382
"naturalnie","ogólnie","related","word","word",0.259215802249946
"ściana","ogrodzenie","related","word","word",0.296525150788751
"mama","ojciec","related","word","word",0.540918526274719
"zło","okrucieństwo","related","word","word",0.483962587408854
"brutalny","okrutny","related","word","word",0.695834772497144
"porywacz","okup","related","word","word",0.462871451948791
"duża","olbrzymi","related","word","word",0.341643671264265
"węgiel","olej","related","word","word",0.40173278909082
"wybór","opcja","related","word","word",0.236603061289204
"profil","opis","related","word","word",0.496924611110139
"opór","oprzeć się","related","word","word",NA
"wychodzić","opuścić","related","word","word",0.388279711683762
"planeta","orbita","related","word","word",0.591261379595921
"nadczłowiek","ordynans","related","word","word",0.17177260216274
"skarga","oskarżenie","related","word","word",0.448991462902698
"postać","osobowość","related","word","word",0.499432107264464
"wreszcie","ostatecznie","related","word","word",0.380033339795048
"tylko","ostatnio","related","word","word",0.126606310351219
"komentarz","oświadczenie","related","word","word",0.387492828352239
"spisek","oszustwo","related","word","word",0.494516401060476
"pękać","otwór","related","word","word",0.144560145811848
"pająk","owad","related","word","word",0.586287490173403
"jabłko","owoc","related","word","word",0.482199620327951
"cześć","pa","related","word","word",0.529796204451542
"koperta","pakiet","related","word","word",0.201048742945329
"gaz","paliwo","related","word","word",0.415213193890887
"pan młody","panna młoda","related","word","word",NA
"tytoń","papieros","related","word","word",0.471322650848787
"nadprzyrodzony","paranormalne","related","word","word",0.480466721746524
"entuzjazm","pasja","related","word","word",0.414602615431935
"bilet","paszport","related","word","word",0.553203230595626
"strażnik","patrol","related","word","word",0.358776716429607
"wrzesień","październik","related","word","word",0.599742874622216
"pusty","pełny","related","word","word",0.549000588887296
"pochwa","penis","related","word","word",0.491955775445769
"emerytura","pensja","related","word","word",0.565337974569453
"pomadka","perfumy","related","word","word",0.316851457073505
"pogląd","perspektywiczny","related","word","word",0.26663960333782
"błoto","piasek","related","word","word",0.448728735209537
"raj","piekło","related","word","word",0.174685540349315
"czar","piękno","related","word","word",0.260474608506376
"ładny","piękny","related","word","word",0.713212262128397
"gotówka","pieniądze","related","word","word",0.41861966284232
"tablet","pigułka","related","word","word",0.397466636546705
"trzeźwy","pijany","related","word","word",0.582935859506487
"koszykówka","piłka nożna","related","word","word",NA
"astronauta","pilot","related","word","word",0.484563474498835
"album","piosenka","related","word","word",0.422180374906366
"czytać","pisać","related","word","word",0.695763287083861
"poeta","pisarz","related","word","word",0.608460425257667
"czytanie","pismo","related","word","word",0.365151173006467
"karabin","pistolet","related","word","word",0.710484482894588
"drink","piwo","related","word","word",0.495775930448166
"przygotowanie","planowanie","related","word","word",0.66640582040773
"cement","plastikowy","related","word","word",0.304963085262458
"mężczyzna","płeć żeńska","related","word","word",NA
"ogień","płomień","related","word","word",0.716579646082436
"płyn","płyn","related","word","word",1
"utopić","pływać","related","word","word",0.457293059159923
"uwaga","pociągać","related","word","word",0.120669494932434
"kaliber","pocisk","related","word","word",0.557709878018765
"rakieta","pocisk","related","word","word",0.475010100034665
"wątpliwość","podejrzany","related","word","word",0.160244070568623
"dumny","podekscytowany","related","word","word",0.456043591450455
"znaczek","podpis","related","word","word",0.328174954949503
"formularz","podpisać","related","word","word",0.55721177782611
"wtórny","podstawowa","related","word","word",0.198053939262653
"jednostka","podział","related","word","word",0.146464447222993
"trumna","pogrzeb","related","word","word",0.459248847141488
"kopać","pogrzebać","related","word","word",0.424485273399283
"raport","poinformować","related","word","word",0.323119531708872
"hazard","poker","related","word","word",0.542247518683811
"niania","pokojówka","related","word","word",0.455717337254584
"zwycięstwo","pokonać","related","word","word",0.310428191585421
"kontakt","połączenie","related","word","word",0.436473536187405
"arena","pole walki","related","word","word",NA
"warga","policzek","related","word","word",0.419354663782146
"krytyczny","polityczny","related","word","word",0.492391189986221
"polityka","polityk","related","word","word",0.587284762032927
"dziennikarstwo","polityka","related","word","word",0.342896185805406
"południe","północ","related","word","word",0.818397868057528
"środek nocy","południe","related","word","word",NA
"zielony","pomarańczowy","related","word","word",0.712157820163325
"ziemniak","pomidor","related","word","word",0.633349190646326
"reszta","poprawa","related","word","word",0.165831203337144
"kontrakt","porozumienie","related","word","word",0.486498041930431
