nl_cue,nl_target,type,cue_type,target_type,nl_cosine
maandag,dinsdag,related,word,word,0.789742951769842
direct,rechtstreeks,related,word,word,0.649210023160622
gesprek,discussie,related,word,word,0.564379669168506
eenheid,divisie,related,word,word,0.512241332218833
student,docent,related,word,word,0.622516354662706
dossier,document,related,word,word,0.61764185878417
vergiftigen,doden,related,word,word,0.42155169508643
hallo,doei,related,word,word,0.472327254387649
maken,doen,related,word,word,0.377350398204152
pond,dollar,related,word,word,0.577715666718962
naief,dom,related,word,word,0.594642139685831
krankzinnigheid,domheid,related,word,word,0.566580289358545
bliksem,donder,related,word,word,0.522258040847346
schaduw,donker,related,word,word,0.474003857382507
levend,dood,related,word,word,0.324826460635591
lijden,sterven,related,word,word,0.518543227327007
blind,doof,related,word,word,0.59713406290432
doorgaan,voortzetten,related,word,word,0.513377041379485
kamp,dorp,related,word,word,0.575324845331634
honger,dorst,related,word,word,0.720207196677295
kabel,draad,related,word,word,0.554218829708239
draai,draaien,related,word,word,0.711369261983861
een,drie,related,word,word,0.206198349603276
cirkel,driehoek,related,word,word,0.485579474191446
nuchter,dronken,related,word,word,0.525502780686761
nachtmerrie,droom,related,word,word,0.643229087621526
alcohol,drugs,related,word,word,0.621971592326325
puls,druk,related,word,word,0.177017545983454
knop,drukken,related,word,word,0.511249216888918
overduidelijk,duidelijk,related,word,word,0.723906218164721
vinger,duim,related,word,word,0.658003038335593
engel,duivel,related,word,word,0.577793929282434
buskruit,dynamiet,related,word,word,0.507528929669051
waar,echt,related,word,word,0.288190124315765
eigenlijk,echt,related,word,word,0.411651872145782
gans,eend,related,word,word,0.51339979883818
onmogelijk,eenvoudig,related,word,word,0.479025517736329
gewoon,eenvoudig,related,word,word,0.285247533997169
voorrecht,eer,related,word,word,0.534556309310717
redelijk,eerlijk,related,word,word,0.432582353418728
loyaliteit,eerlijkheid,related,word,word,0.624947006589508
invloed,effect,related,word,word,0.587929865078124
bruikbaar,effectief,related,word,word,0.420743197837252
eigenwijs,egoïstisch,related,word,word,0.615489779368538
nest,ei,related,word,word,0.472894563610997
eigenschap,eigenaar,related,word,word,0.131303561985036
modieus,elegant,related,word,word,0.517327477983159
stroom,elektriciteit,related,word,word,0.686326523862846
magnetisch,elektrisch,related,word,word,0.578363460082775
factor,element,related,word,word,0.358712947959703
miserabel,ellendig,related,word,word,0.676074116961159
mentaal,emotioneel,related,word,word,0.619741021570661
stroom,energie,related,word,word,0.561360869697978
eng,griezelig,related,word,word,0.735806437804139
pest,epidemie,related,word,word,0.473478568393298
orgasme,erectie,related,word,word,0.487567083160159
elders,ergens,related,word,word,0.371000050268249
erfenis,erven,related,word,word,0.496879721166424
voer,eten,related,word,word,0.263175356862352
observatie,evaluatie,related,word,word,0.469761582752866
fenomeen,evenement,related,word,word,0.356990724272732
vergeven,excuseren,related,word,word,0.406977158323586
ophangen,executie,related,word,word,0.232752997614953
aardbeving,explosie,related,word,word,0.58037522940474
bom,explosief,related,word,word,0.610478006152161
intern,extern,related,word,word,0.636726156805866
clan,familie,related,word,word,0.501065911869776
realiteit,fantasie,related,word,word,0.521655704363171
prachtig,fantastisch,related,word,word,0.750564526963063
dodelijk,fataal,related,word,word,0.628888397154183
mail,fax,related,word,word,0.556084579409931
kolonie,federatie,related,word,word,0.48195199536537
carnaval,festival,related,word,word,0.467091053590449
porno,film,related,word,word,0.487747698539435
bankieren,financieel,related,word,word,0.38331799222525
financieel,financiering,related,word,word,0.511127450949106
begroting,financiering,related,word,word,0.517806841433621
einde,finish,related,word,word,0.252179782264022
glas,fles,related,word,word,0.563413167922872
hoorn,fluit,related,word,word,0.445526802028134
oven,fornuis,related,word,word,0.632614337435266
afbeelding,foto,related,word,word,0.553207388119467
handtekening,fotograaf,related,word,word,0.225828651866888
engels,frans,related,word,word,0.754251695321456
complot,fraude,related,word,word,0.344703358560965
limonade,frisdrank,related,word,word,0.621161677860801
appel,fruit,related,word,word,0.49254044847296
vluchteling,voortvluchtige,related,word,word,0.633109739415814
operationeel,functioneel,related,word,word,0.616983642938533
seksueel,fysiek,related,word,word,0.556155417671669
binnenkomen,gaan,related,word,word,0.333007372496372
werkplaats,garage,related,word,word,0.575824022561662
scheur,gat,related,word,word,0.495614381515188
voordoen,gebeuren,related,word,word,0.308223195694272
toren,gebouw,related,word,word,0.433919317813978
normaal,gebruikelijk,related,word,word,0.403190007269293
normaliter,gebruikelijk,related,word,word,0.372808683511564
toepassen,gebruiken,related,word,word,0.448783475257125
tekst,gedicht,related,word,word,0.479096776267301
rood,geel,related,word,word,0.744875606953406
ziel,geest,related,word,word,0.6082063345501
paranoïde,gek,related,word,word,0.48699843075621
contant,geld,related,word,word,0.477967074851174
zweer,gelofte,related,word,word,0.278253851376195
filosofie,geloof,related,word,word,0.310268891296222
lawaai,geluid,related,word,word,0.668763239792177
samenleving,gemeenschap,related,word,word,0.66100458685598
vergiffenis,genade,related,word,word,0.639804045991112
medelijdend,genereus,related,word,word,0.301010947989101
herstellen,genezen,related,word,word,0.505557218827881
wraak,gerechtigheid,related,word,word,0.516823597970444
compliment,geschenk,related,word,word,0.475569164110141
afgesloten,gesloten,related,word,word,0.732105567282669
alleenstaand,getrouwd,related,word,word,0.471068196874874
getuige,getuigenis,related,word,word,0.569719021190274
smaak,geur,related,word,word,0.537958969087407
risico,gevaar,related,word,word,0.597961344896587
riskant,gevaarlijk,related,word,word,0.642995966749527
gegijzelde,gevangene,related,word,word,0.386489151105618
cel,gevangenis,related,word,word,0.738819770983844
straf,gevangenisstraf,related,word,word,0.70304166322748
gevecht,strijd,related,word,word,0.668790277719178
aanbieden,geven,related,word,word,0.414846024518116
indruk,gevoel,related,word,word,0.244200739412493
delicaat,gevoelig,related,word,word,0.500610073089384
indrukwekkend,geweldig,related,word,word,0.504405131035307
jurisdictie,gezag,related,word,word,0.512954024399533
vandaag,gisteren,related,word,word,0.610352562409144
piano,gitaar,related,word,word,0.626691078741005
nationaal,globaal,related,word,word,0.375669863368257
god,goddelijk,related,word,word,0.494061416918746
toestemming,goedkeuring,related,word,word,0.681733745075358
duur,goedkoop,related,word,word,0.5913276096458
aap,gorilla,related,word,word,0.620262402698269
kilo,gram,related,word,word,0.572205576569667
truc,grap,related,word,word,0.486906290964762
geestig,grappig,related,word,word,0.608437139815975
baron,gravin,related,word,word,0.340881111325847
romeins,grieks,related,word,word,0.438660695842018
bende,groep,related,word,word,0.562890568194018
wet,grondwet,related,word,word,0.640692090476474
excellent,geweldig,related,word,word,0.397731479269864
grootvader,grootmoeder,related,word,word,0.645703908809248
kikker,hagedis,related,word,word,0.511609433982676
illusie,hallucinatie,related,word,word,0.428140619058757
ring,halsketting,related,word,word,0.555473072840247
broodje,hamburger,related,word,word,0.591935617812305
stok,hamer,related,word,word,0.519988657271011
deken,handdoek,related,word,word,0.563513971272889
reclame,handelaar,related,word,word,0.165518622255113
gebaar,handelen,related,word,word,0.234540391556082
stempel,handtekening,related,word,word,0.533798431728831
balans,harmonie,related,word,word,0.43228524123261
baai,haven,related,word,word,0.573925572178688
extreem,heel,related,word,word,0.430463400364164
universum,heelal,related,word,word,0.851122592351965
glorieus,glorie,related,word,word,0.705748162476663
vloek,heks,related,word,word,0.507713103033841
paradijs,hel,related,word,word,0.422703287591291
schijnen,helder,related,word,word,0.366088351097765
ambulance,helikopter,related,word,word,0.524046943987089
helpen,assisteren,related,word,word,0.477284211071756
hemel,hemels,related,word,word,0.612212941206977
lente,herfst,related,word,word,0.753077610920993
cocaïne,heroïne,related,word,word,0.770215536252485
baan,werk,related,word,word,0.418386811706586
aids,hiv,related,word,word,0.568949540061816
helm,hoed,related,word,word,0.526160610402686
som,hoeveelheid,related,word,word,0.334405894303641
lesbienne,homo,related,word,word,0.586238062339424
duizend,honderd,related,word,word,0.730422896714506
moe,hongerig,related,word,word,0.525992628000452
basis,hoofdkwartier,related,word,word,0.321501838418028
laag,hoog,related,word,word,0.672524269467701
majesteit,hoogheid,related,word,word,0.691228424834234
gewicht,hoogte,related,word,word,0.311578227926227
luister,horen,related,word,word,0.317784027575564
kijk,horloge,related,word,word,0.172441696557442
voorkomen,stoppen,related,word,word,0.282473141856245
houden,bewaren,related,word,word,0.449775573034966
mening,houding,related,word,word,0.289877663235226
oppas,huishoudhulp,related,word,word,0.485890652847152
huren,huur,related,word,word,0.58060173167882
scheiding,huwelijk,related,word,word,0.518836237396417
gek,idioot,related,word,word,0.522370845746846
niets,iets,related,word,word,0.616338570882091
persoon,individueel,related,word,word,0.365095403497498
vleien,imponeren,related,word,word,0.469140315497721
virus,infectie,related,word,word,0.589324094851818
bron,informant,related,word,word,0.423710788491822
gegevens,informatie,related,word,word,0.630714563222172
rapporteren,informeren,related,word,word,0.529628369052505
uitgang,ingang,related,word,word,0.717625861631882
bevatten,inhoud,related,word,word,0.360312379360444
dosis,injectie,related,word,word,0.579026379086508
winst,inkomen,related,word,word,0.466397355763994
spin,insect,related,word,word,0.533405700007048
examinatie,inspectie,related,word,word,
inspireren,inspiratie,related,word,word,0.577260032139543
val,instorten,related,word,word,0.304835301390233
hulpmiddel,instrument,related,word,word,0.424694659769164
slim,intelligent,related,word,word,0.658346056142026
spannend,interessant,related,word,word,0.658423155912977
persoonlijk,intiem,related,word,word,0.342941990332452
instinct,intuïtie,related,word,word,0.715516618098269
financiëren,investeren,related,word,word,0.497379496695832
ironie,ironisch,related,word,word,0.595654901112493
oke,ja,related,word,word,0.604553727783357
shirt,jasje,related,word,word,0.707835619524027
jeugd,kindertijd,related,word,word,0.662196388150166
oud,jong,related,word,word,0.515908705450661
meisje,jongen,related,word,word,0.627581927415006
verslaggever,journalist,related,word,word,0.776541442844983
juni,juli,related,word,word,0.650350141898827
romeo,juliet,related,word,word,0.62352689399736
senior,junior,related,word,word,0.459045974377757
rok,jurk,related,word,word,0.674087182996398
diamant,juweel,related,word,word,0.536795256315467
lamp,kaars,related,word,word,0.604181740521061
kompas,kaart,related,word,word,0.412163671930279
brood,kaas,related,word,word,0.561049527767122
kip,kalkoen,related,word,word,0.672834085992671
stil,kalm,related,word,word,0.535198202622612
competitie,kampioenschap,related,word,word,0.576658479148015
tumor,kanker,related,word,word,0.609462126160157
bureau,kantoor,related,word,word,0.717867116623301
kerk,kapel,related,word,word,0.632015308721333
anarchie,kapitalisme,related,word,word,0.501270358308425
commandant,kapitein,related,word,word,0.645174188291021
bisschop,kardinaal,related,word,word,0.618393279165529
maffia,kartel,related,word,word,0.518612195967528
kabinet,kast,related,word,word,0.199592173304288
paleis,kasteel,related,word,word,0.62948673126545
hond,kat,related,word,word,0.713629687050368
zijde,katoen,related,word,word,0.265439452072832
slikken,kauwen,related,word,word,0.454376030373462
keizerlijk,keizer,related,word,word,0.667560179061276
ervaring,kennis,related,word,word,0.457332551410197
kandidaat,kiezer,related,word,word,0.499318090809043
baby,kind,related,word,word,0.654867650262252
typisch,klassiek,related,word,word,0.379095652145454
gering,klein,related,word,word,0.329397718355036
ziekenhuis,kliniek,related,word,word,0.614326779292353
tempel,klooster,related,word,word,0.521138148081991
weeshuis,klooster,related,word,word,0.534508748948611
kras,kneuzing,related,word,word,0.481495809716418
schouder,knie,related,word,word,0.554408024002754
kus,knuffel,related,word,word,0.625378802302009
warm,koel,related,word,word,0.575157063600435
aktentas,koffer,related,word,word,0.571668859543606
beker,koffie,related,word,word,0.323851328111795
kaliber,kogel,related,word,word,0.491067990472474
generaal,kolonel,related,word,word,0.660719612512279
drama,komedie,related,word,word,0.51679018757544
aankomen,komen,related,word,word,0.40720312734622
vos,konijn,related,word,word,0.539750482052834
koningin,koning,related,word,word,0.772566679081942
koninklijk,koninkrijk,related,word,word,0.451703165832432
aars,kont,related,word,word,0.50544656402717
hoest,koorts,related,word,word,0.579378286302304
verkoper,koper,related,word,word,0.600904731274797
origineel,kopie,related,word,word,0.436371442628237
heet,koud,related,word,word,0.331460237936146
sterkte,kracht,related,word,word,0.58446711707517
artikel,krant,related,word,word,0.523957038063466
tonijn,kreeft,related,word,word,0.536059575769607
natuurlijk,kunstmatig,related,word,word,0.263378715355495
strand,kust,related,word,word,0.513875620612144
kwantiteit,kwaliteit,related,word,word,0.591836125437416
half,kwart,related,word,word,0.505430405048283
eerst,laatst,related,word,word,0.383620864739237
glimlach,lachen,related,word,word,0.42046977350025
laden,lading,related,word,word,0.447030039778458
huurder,landheer,related,word,word,0.347790411789904
kort,lang,related,word,word,0.451267512127174
toestaan,laten,related,word,word,0.297860898443158
draak,leeuw,related,word,word,0.5062853278264
mythe,legende,related,word,word,0.644063543627007
legioen,leger,related,word,word,0.564457082467014
civiel,leger,related,word,word,0.213766765038906
lid,leider,related,word,word,0.477728060245348
walgelijk,lelijk,related,word,word,0.60071643871733
maat,lengte,related,word,word,0.307881214712615
krediet,lening,related,word,word,0.550863650556236
leren,onderwijzen,related,word,word,0.493184003741927
leugen,leugenaar,related,word,word,0.5750701683043
nier,lever,related,word,word,0.600350465303585
seminarium,lezing,related,word,word,0.352269894171461
conservatief,liberaal,related,word,word,0.558327259913149
duisternis,licht,related,word,word,0.452619926396041
album,liedje,related,word,word,0.508558800216635
leuk,lief,related,word,word,0.497773536999904
haat,liefde,related,word,word,0.379892653083657
lichaam,lijk,related,word,word,0.622401863627656
zuigen,likken,related,word,word,0.527906786644001
taxi,limousine,related,word,word,0.608532607919951
ming,ling,related,word,word,0.597555605873416
rechts,links,related,word,word,0.944203888740334
kunst,literatuur,related,word,word,0.542092143747389
tatoeëren,litteken,related,word,word,0.431848697755497
regionaal,lokaal,related,word,word,0.44006057055672
ontvoerder,losgeld,related,word,word,0.505869263569219
terminal,luchthaven,related,word,word,0.513851458259405
sergeant,luitenant,related,word,word,0.625877407228388
snack,lunch,related,word,word,0.50471967694932
voedsel,maaltijd,related,word,word,0.490737613583768
robot,machine,related,word,word,0.533017534235835
hulpeloos,machteloos,related,word,word,0.675648548400076
papa,mama,related,word,word,0.905229875686392
controleren,manipuleren,related,word,word,0.334312581608795
marine,zeemacht,related,word,word,0.593195985048474
reclame,marketing,related,word,word,0.47128349514544
kwelling,marteling,related,word,word,0.544117751844964
yoga,massage,related,word,word,0.539330301137606
piraat,matroos,related,word,word,0.4488679767064
minimum,maximum,related,word,word,0.633156113219045
ketchup,mayonaise,related,word,word,0.630071050930503
technisch,mechanisch,related,word,word,0.560755928403352
trofee,medaille,related,word,word,0.517203002125039
artefact,medaillon,related,word,word,0.424840498022698
geduld,medeleven,related,word,word,0.501955162995141
graan,meel,related,word,word,0.591770123000984
rivier,meer,related,word,word,0.168039154422916
jongens,meisjes,related,word,word,0.732685317579814
combinatie,mengsel,related,word,word,0.390408307932591
mens,menselijk,related,word,word,0.577471732961041
bevolking,mensen,related,word,word,0.409593563145613
zwaard,mes,related,word,word,0.577445720269952
ijzer,metaal,related,word,word,0.627658412045069
kilometer,meter,related,word,word,0.66300403451779
camera,microfoon,related,word,word,0.598523869644372
telescoop,microscoop,related,word,word,0.538002521692494
middernacht,middag,related,word,word,0.49583361229807
bij,mier,related,word,word,0.0945011102461073
miljoen,miljard,related,word,word,0.776255362016157
ambassadeur,minister,related,word,word,0.538004076965202
ambassade,ministerie,related,word,word,0.476831408501244
minnares,minnaar,related,word,word,0.678814506744787
plus,minus,related,word,word,0.492650680313555
seconde,minuut,related,word,word,0.764678808776689
armoede,ellende,related,word,word,0.499616982351206
zonde,misdaad,related,word,word,0.46801829189241
succes,mislukking,related,word,word,0.512997023535093
diarree,misselijkheid,related,word,word,0.594788197551259
taak,missie,related,word,word,0.507301096444407
wolk,mist,related,word,word,0.288856272569311
nobel,moedig,related,word,word,0.602032793169778
lastig,moeilijk,related,word,word,0.707275558884818
kans,mogelijkheid,related,word,word,0.660197653139124
knap,mooi,related,word,word,0.599481043771729
zelfmoord,moord,related,word,word,0.483673204231376
killer,moordenaar,related,word,word,0.480304791037243
aspirine,morfine,related,word,word,0.589077681459085
hotel,motel,related,word,word,0.739460009652615
tank,motor,related,word,word,0.515888615488949
bibliotheek,museum,related,word,word,0.441863893446871
zanger,musicus,related,word,word,0.545568705220517
evolutie,mutatie,related,word,word,0.500214313353134
jazz,muziek,related,word,word,0.581436613280239
geheim,mysterie,related,word,word,0.41335135765234
bloot,naakt,related,word,word,0.399851752932332
beschrijven,uitdrukken,related,word,word,0.416008824949326
droog,nat,related,word,word,0.604398538517259
land,natie,related,word,word,0.540524017380509
kleinzoon,neef,related,word,word,0.524666140058318
familielid,neef,related,word,word,0.381420101937713
invoegen,neerzetten,related,word,word,0.319909829389627
positief,negatief,related,word,word,0.767345809793257
keel,nek,related,word,word,0.507065498648606
bezorgd,nerveus,related,word,word,0.490100233220132
mond,neus,related,word,word,0.497903563182524
onvermogen,niet in staat,related,word,word,
kanaal,nieuws,related,word,word,0.275333795445973
al,nog steeds,related,word,word,
dringend,noodgeval,related,word,word,0.435471471100978
zuiden,noorden,related,word,word,0.852918880776774
gezond,normaal,related,word,word,0.430157439275816
atomisch,nucleair,related,word,word,0.479345824665993
zee,oceaan,related,word,word,0.794198066943976
morgen,ochtend,related,word,word,0.583483624321412
zonsondergang,zonsopgang,related,word,word,0.791761066244407
oefenen,oefening,related,word,word,0.457467016572157
officieel,beambte,related,word,word,0.0992457973798309
september,oktober,related,word,word,0.689869702902343
steenkool,olie,related,word,word,0.540981832378509
omlaag,omhoog,related,word,word,0.827418918420766
ongemakkelijk,onaangenaam,related,word,word,0.559665567582332
anoniem,onbekend,related,word,word,0.392689283987779
dienst,onderhoud,related,word,word,0.256738696833538
beschermen,onderhouden,related,word,word,0.413138430006404
bovenkant,onderkant,related,word,word,0.780138490369102
miljonair,ondernemer,related,word,word,0.442516129134202
voorwerp,onderwerp,related,word,word,0.445932790478374
examineren,onderzoeken,related,word,word,
analist,onderzoeker,related,word,word,0.52623924326539
onrecht,oneerlijk,related,word,word,0.487048258463226
conflict,onenigheid,related,word,word,0.445832093193908
incident,ongeluk,related,word,word,0.529402272311269
zojuist,onlangs,related,word,word,0.583465161400493
diner,ontbijt,related,word,word,0.631204409756876
vergeten,onthouden,related,word,word,0.501025888156109
conferentie,ontmoeting,related,word,word,0.41049388689841
uitbarsting,ontploffen,related,word,word,0.336052786788668
ontslag,ontheffing,related,word,word,0.442397890594326
vluchten,ontsnappen,related,word,word,0.521738614918834
kidnappen,ontvoeren,related,word,word,0.690568638986559
voortgang,ontwikkeling,related,word,word,0.392378765618249
onredelijk,onverantwoordelijk,related,word,word,0.531586081226567
plotseling,onverwacht,related,word,word,0.470513083213102
nooit,ooit,related,word,word,0.579972267136
oog,oor,related,word,word,0.476417368321351
reden,oorzaak,related,word,word,0.396486901880636
west,oosten-,related,word,word,
bewonderen,waarderen,related,word,word,0.527356239725198
terug,terugkeer,related,word,word,0.39021336512899
trots,opgewonden,related,word,word,0.316837112004304
gezondheid,opleiding,related,word,word,0.263242953482349
uitzonderlijk,opmerkelijk,related,word,word,0.666964112396528
vermelding,opname,related,word,word,0.25286328879916
laag,oppervlak,related,word,word,0.258651075861259
redden,opslaan,related,word,word,0.0500170474494945
keuze,optie,related,word,word,0.52978080837424
toevallig,opzettelijk,related,word,word,0.184270827569116
groen,oranje,related,word,word,0.650783630853053
afspreken,organiseren,related,word,word,0.235708436281122
volwassen,ouder,related,word,word,0.507202931082632
uit,over,related,word,word,0.220259084577259
natuurlijk,algemeen,related,word,word,0.273954186247829
verplaatsen,overdracht,related,word,word,0.293184526430895
onderschatten,overdrijven,related,word,word,0.475926694824724
toernooi,wedstrijd,related,word,word,0.576965670420996
leven,overleven,related,word,word,0.382331497777154
oom,pa,related,word,word,0.530545370979128
ezel,paard,related,word,word,0.596381798718617
route,pad,related,word,word,0.485148027632764
