zh_hk_cue,zh_hk_target,type,cue_type,target_type,zh_hk_cosine
幫忙,協助,related,word,word,
此處,那裏,related,word,word,
遺產,繼承,related,word,word,
英雄,救主,related,word,word,0.949522316532753
聘請,出租,related,word,word,
持有,保存,related,word,word,
蜜糖,牛油,related,word,word,
希望,信心,related,word,word,0.937860459993147
恐懼,害怕,related,word,word,0.851982358421297
打獵,釣魚,related,word,word,0.97383264344772
錯覺,幻覺,related,word,word,0.987969347493041
印象,感覺,related,word,word,0.941561624386416
產業,生意,related,word,word,0.923267173967562
不公義,不公平,related,word,word,
國際,世界,related,word,word,
吉普,貨車,related,word,word,
剛剛,最近,related,word,word,0.934562209272148
着陸,飛翔,related,word,word,
圖書館,博物館,related,word,word,0.983371193112702
閃電,行雷,related,word,word,
液體,流質,related,word,word,
少許,細小,related,word,word,
上鎖,關閉,related,word,word,0.938160983983368
看見,觀看,related,word,word,
主人,太太,related,word,word,0.946171112915127
輸家,贏家,related,word,word,0.976373883300029
低點,高處,related,word,word,
忠誠,誠實,related,word,word,0.956685435737609
魔法,巫師,related,word,word,0.970521078435346
磁場,電力,related,word,word,0.972573091949705
郵件,傳真,related,word,word,0.933494195765151
製作,執行,related,word,word,0.953182699296886
經理,老闆,related,word,word,0.848776077664245
男人,人類,related,word,word,0.896597353130616
火星,金星,related,word,word,0.825567725219239
物質,粒子,related,word,word,
可能,大概,related,word,word,0.94680612341006
意義,重要性,related,word,word,
醫學,心理,related,word,word,
英里,厘米,related,word,word,
牛奶,果汁,related,word,word,0.958408726645161
百萬,十億,related,word,word,0.956821183433661
明,凌,related,word,word,0.868186170360264
現代,傳統,related,word,word,0.977377115577475
移動,轉移,related,word,word,0.969837673446165
幼稚,愚蠢,related,word,word,0.978866114294637
姓名,稱謂,related,word,word,
國家,全球,related,word,word,0.945188703476266
附近,遙遠,related,word,word,0.957830245383533
必要,需要,related,word,word,
雀巢,雞蛋,related,word,word,
絕不,曾經,related,word,word,0.844037474211089
美好,可愛,related,word,word,0.855444096502627
忍者,武士,related,word,word,0.926711501901188
高貴,勇敢,related,word,word,0.923192991478223
一般,通常,related,word,word,0.951937858339375
沒有,有些,related,word,word,0.423886759338532
十一月,十二月,related,word,word,0.967548365946325
現在,知道,related,word,word,0.566660611693599
觀察,評估,related,word,word,0.957757376163612
提供,給予,related,word,word,0.918730471209466
好吖,係嘅,related,word,word,
年老,後生,related,word,word,
一條,三個,related,word,word,0.957447291699788
打開,關閉,related,word,word,0.817821362665507
開張,閉幕,related,word,word,
開刀,手術,related,word,word,
觀點,態度,related,word,word,
樂觀,實際,related,word,word,
樂團,樂隊,related,word,word,0.97671450365081
普通,平常,related,word,word,0.939710230509271
正本,影印,related,word,word,
出去,關於,related,word,word,0.70617650534534
外部,裏面,related,word,word,
上色,繪畫,related,word,word,
天堂,地獄,related,word,word,0.947100724909685
偏執,瘋狂,related,word,word,0.923160871413744
國會,參議院,related,word,word,
病人,客戶,related,word,word,0.908980616989816
人士,個人,related,word,word,
現象,事件,related,word,word,
哲學,宗教,related,word,word,0.953196459884825
物理,數學,related,word,word,0.980765787404176
野餐,露營,related,word,word,0.95781862884315
手槍,武器,related,word,word,0.919876841681592
地方,位置,related,word,word,0.922808435834634
行星,軌道,related,word,word,
花花公子,雜誌,related,word,word,0.962203001411787
加添,減少,related,word,word,
指出,表明,related,word,word,
毒死,殺害,related,word,word,
政策,政治家,related,word,word,
人口,大眾,related,word,word,
門口,閘門,related,word,word,
準備,規劃,related,word,word,
漂亮,美麗,related,word,word,0.844392129655027
獵物,捕獵者,related,word,word,
可能性,或許,related,word,word,0.906098009923438
進步,發展,related,word,word,0.0541788660186622
計劃,課程,related,word,word,
物業,業主,related,word,word,
自豪,興奮,related,word,word,0.961508544289203
酒吧,餐廳,related,word,word,0.799119158328992
脈搏,壓力,related,word,word,0.959106000270789
懲治,逮捕,related,word,word,
問題,發問,related,word,word,
種族主義,共產主義,related,word,word,0.931001817518549
閱讀,寫作,related,word,word,
理由,原因,related,word,word,0.97601110608595
認出,知道,related,word,word,
難民,逃犯,related,word,word,
親戚,表親,related,word,word,0.936493851538329
更換,代替,related,word,word,
報告,通知,related,word,word,0.932968381124872
尊重,信心,related,word,word,0.979577380657508
責任,義務,related,word,word,0.962112650595105
休息,睡覺,related,word,word,0.953982537355629
啟示,異象,related,word,word,
韻律,風格,related,word,word,
右邊,左邊,related,word,word,0.942308051688375
冒險,危險,related,word,word,0.876863512186482
街道,公路,related,word,word,0.947101758891978
圓形,圍繞,related,word,word,
皇室,王國,related,word,word,
規則,協議,related,word,word,0.971032362456675
冧酒,干邑,related,word,word,
傷心,悲慘,related,word,word,0.441500088971394
週六,星期日,related,word,word,0.968919843566585
說出,告訴,related,word,word,
刮傷,瘀腫,related,word,word,
螢幕,顯視器,related,word,word,
秒鐘,分鐘,related,word,word,
秘密,神秘,related,word,word,0.982401806749029
看見,遇到,related,word,word,
性別,身體,related,word,word,0.912619060517649
影子,黑暗,related,word,word,0.933173773855657
演出,表演,related,word,word,0.928488439651687
相似,不同,related,word,word,0.966428110598158
過錯,罪行,related,word,word,
單身,已婚,related,word,word,0.98287310354436
尺寸,長度,related,word,word,
天空,神聖,related,word,word,0.928255308865918
粉碎,打破,related,word,word,
吸煙,雪茄,related,word,word,0.912723539699527
有時,經常,related,word,word,0.943374013187052
湯水,沙律,related,word,word,
來源,線人,related,word,word,0.696792540242905
體育館,棒球,related,word,word,
偷竊,搶劫,related,word,word,0.987534356026491
棍棒,鎚仔,related,word,word,
氣力,力量,related,word,word,
壓力,抑鬱,related,word,word,
固執,自私,related,word,word,0.981139032688757
潛艇,小船,related,word,word,-0.00312573806962471
受苦,痛楚,related,word,word,
症狀,綜合症,related,word,word,
油缸,引擎,related,word,word,
的士,轎車,related,word,word,
撕開,切割,related,word,word,0.912261092505188
篇章,詩詞,related,word,word,
盜賊,罪犯,related,word,word,0.871071857526354
稀薄,濃厚,related,word,word,
第三,第四,related,word,word,0.982633705000258
多士,煙肉,related,word,word,
煙草,香煙,related,word,word,0.44137090582259
廁所,洗手盤,related,word,word,
明天,早晨,related,word,word,0.86980460293829
比賽,競爭,related,word,word,0.95355678405187
拖車,客貨車,related,word,word,
詭計,玩笑,related,word,word,
真確,真實,related,word,word,
信任,相信,related,word,word,0.843740628787098
嘗試,試圖,related,word,word,0.992311950139308
轉動,旋轉,related,word,word,0.930327233961722
兩對,四隻,related,word,word,
飛碟,外星人,related,word,word,
叔叔,爸爸,related,word,word,0.689429201936349
唔舒服,不適,related,word,word,
有用,有效,related,word,word,0.971358167330988
價值,價錢,related,word,word,
等待,預計,related,word,word,0.96752155064955
溫暖,涼爽,related,word,word,0.811020526842701
警告,信息,related,word,word,0.913314908472695
什麼,那個,related,word,word,0.587381623329755
威士忌,伏特加,related,word,word,0.967784819412318
寡婦,女士,related,word,word,0.684559597222631
機智,有趣,related,word,word,0.733006364041606
單詞,句子,related,word,word,
南方,北方,related,word,word,0.932403248652341
西方,東方,related,word,word,0.926772463365032
白色,黑色,related,word,word,0.959121117375109
積極,消極,related,word,word,
紅色,黃色,related,word,word,0.95208577066393
英語,法文,related,word,word,0.891731528455202
公主,王子,related,word,word,0.923441905518336
媽媽,爸爸,related,word,word,0.832911622112422
讀書,寫作,related,word,word,0.935406188908608
狗仔,花貓,related,word,word,
皇后,國王,related,word,word,0.960660069235755
強壯,虛弱,related,word,word,0.981181401765377
將軍,上校,related,word,word,0.868252149567357
總督,參議員,related,word,word,0.93765912412823
大夫,醫生,related,word,word,0.813657338267459
姐妹,兄弟,related,word,word,0.657250655522789
清白,有罪,related,word,word,0.194939191954085
學生,老師,related,word,word,0.816282263227073
自殺,謀殺,related,word,word,0.965793420594661
女生,男孩,related,word,word,0.891171138121359
醫院,診所,related,word,word,0.883125444680687
酒店,旅館,related,word,word,0.977969964917272
風險,危險,related,word,word,0.765008712877178
離婚,婚姻,related,word,word,0.939334650676765
指揮官,隊長,related,word,word,0.830186194044931
腫瘤,癌症,related,word,word,0.879279938970706
炎熱,寒冷,related,word,word,
火車,巴士,related,word,word,0.965402733827478
男性,女性,related,word,word,0.970491264681553
車輛,私家車,related,word,word,
鋼鐵,金屬,related,word,word,
可卡因,海洛英,related,word,word,
神話,傳奇,related,word,word,0.861421801220392
發電機,反應堆,related,word,word,0.971747761664614
主意,理論,related,word,word,0.869635612643245
恨惡,愛好,related,word,word,
書院,大學,related,word,word,
陣風,風暴,related,word,word,
夏天,冬天,related,word,word,0.968538322841031
炸彈,爆炸性,related,word,word,0.978949413099413
佩劍,利刀,related,word,word,
沙展,中尉,related,word,word,
同事,朋友,related,word,word,0.775376149829596
監製,導演,related,word,word,0.856046600572823
理想,完美,related,word,word,0.747960250697901
蝴蝶,雀鳥,related,word,word,
嬰兒,孩子,related,word,word,0.624683800067195
聆聽,聽見,related,word,word,0.886036476393851
買入,賣出,related,word,word,
戰爭,戰鬥,related,word,word,0.947681526530276
糟糕,可怕,related,word,word,0.873503134693103
骯髒,厭惡,related,word,word,0.924925571832535
黑熊,灰狼,related,word,word,
雨點,雪花,related,word,word,
成功,失敗,related,word,word,0.95678967544538
乾燥,潮濕,related,word,word,
噪音,聲音,related,word,word,0.851815328426738
在場,缺席,related,word,word,
技術,科學,related,word,word,0.952238542085382
秘書,助手,related,word,word,0.896733517467012
非法,合法,related,word,word,0.908249603411579
實驗,測試,related,word,word,0.840013432919519
研討會,會議,related,word,word,
舞蹈家,跳舞,related,word,word,0.905719438293047
任命,委員會,related,word,word,
最低,最高,related,word,word,
證實,確認,related,word,word,0.915361009813999
業餘,專業,related,word,word,0.799293368169116
九月,十月,related,word,word,0.941301583160352
開始,準備,related,word,word,0.959776959469604
女兒,兒子,related,word,word,0.816950504533839
子彈,射擊,related,word,word,0.965676000304958
忘記,記住,related,word,word,0.729711192697751
熱力,火焰,related,word,word,
短暫,長遠,related,word,word,
紙盒,膠袋,related,word,word,
窗戶,門口,related,word,word,0.962515879674925
戒指,項鍊,related,word,word,0.898103606996207
大海,汪洋,related,word,word,
宇宙,銀河,related,word,word,0.966664619690549
勝利,打敗,related,word,word,0.952461503469867
間諜,叛徒,related,word,word,0.97097168203757
文化,文明,related,word,word,0.979246759720522
異常,奇怪,related,word,word,0.740586024527797
高爾夫球,網球,related,word,word,0.971236650405614
非洲,美國,related,word,word,0.867411012751433
公里,公尺,related,word,word,
夜晚,黃昏,related,word,word,0.756757212978799
飲料,啤酒,related,word,word,0.936759380124953
數字,地址,related,word,word,0.967564016020727
遲來,早到,related,word,word,
學習,教導,related,word,word,0.944531201437383
貧窮,富有,related,word,word,0.979653445497069
飯枱,餐椅,related,word,word,
法庭,法官,related,word,word,0.694834096287541
美妙,極好,related,word,word,0.867738189294068
蠢材,笨蛋,related,word,word,0.831231635279563
微笑,大笑,related,word,word,0.811425913545502
特點,性格,related,word,word,0.878632947086234
水手,船隻,related,word,word,
襯衫,外套,related,word,word,0.971766343615595
過程,步驟,related,word,word,0.524998281862182
社會,社區,related,word,word,0.958978679766813
爺爺,嫲嫲,related,word,word,
小山,高山,related,word,word,0.992952677400359
藝術家,畫家,related,word,word,0.900578979737867
戲劇,笑片,related,word,word,
主播,記者,related,word,word,0.961569058159829
正式,官方,related,word,word,
英磅,美元,related,word,word,
積極,活動,related,word,word,0.950554779290942
雷達,衛星,related,word,word,0.860896868983816
電燈,蠟燭,related,word,word,0.98952305040429
儀式,典禮,related,word,word,
精神,情緒,related,word,word,0.967927222543094
講嘢,說話,related,word,word,
玩耍,遊戲,related,word,word,0.953528216904883
丈夫,妻子,related,word,word,0.895244663782376
公司,企業,related,word,word,
班別,學校,related,word,word,
保護,保衛,related,word,word,0.98226570250104
律師,檢控官,related,word,word,
搜索,尋找,related,word,word,0.958942529392033
味道,氣味,related,word,word,0.98679442106751
玻璃,瓶子,related,word,word,0.985763700442241
收音機,電視,related,word,word,0.978600695359887
緩慢,快速,related,word,word,0.932139754362718
怪獸,生物,related,word,word,0.939835428071276
軍人,戰士,related,word,word,0.941663514047744
骨頭,顱骨,related,word,word,
病毒,感染,related,word,word,0.91367950787449
鋼琴,結他,related,word,word,
混亂,困惑,related,word,word,0.966324949860847
世紀,十年,related,word,word,0.876960961259341
訂婚,婚禮,related,word,word,-0.0290689943456194
鯊魚,魚兒,related,word,word,0.400217342331427
僧人,牧師,related,word,word,
電報,信件,related,word,word,
星期一,禮拜二,related,word,word,
回來,返回,related,word,word,0.760813346598594
生活,生存,related,word,word,0.935167172953384
特別,獨特,related,word,word,0.967329291822884
情況,危機,related,word,word,0.946989213343312
疲勞,飢餓,related,word,word,0.94374025759498
月份,星期,related,word,word,
親吻,擁抱,related,word,word,0.977351881726203
靈魂,精神,related,word,word,0.978766705911103
鑰匙,門鎖,related,word,word,
牆壁,圍欄,related,word,word,
安靜,冷靜,related,word,word,0.782988891653889
敵人,對手,related,word,word,0.97390410677719
葡萄酒,香檳,related,word,word,0.991599544095977
河流,湖泊,related,word,word,
證人,見證,related,word,word,0.927776127185767
文件,檔案,related,word,word,0.977727513580081
職業,名聲,related,word,word,0.927204686840593
杯子,咖啡,related,word,word,0.889128023003958
眼瞎,耳聾,related,word,word,
合同,協議,related,word,word,0.870748206207962
現實,幻想,related,word,word,0.936833901124885
成員,領袖,related,word,word,0.945867428853987
麵包,芝士,related,word,word,0.981605913034957
爬行,跳躍,related,word,word,
流行,著名,related,word,word,
影響,作用,related,word,word,
直接,乾脆,related,word,word,0.967827661893857
惡夢,夢境,related,word,word,0.937308993861433
文章,報紙,related,word,word,0.963650262080409
有價值,重要,related,word,word,
治療,療程,related,word,word,
歌手,音樂家,related,word,word,0.95256185326958
貓頭鷹,老鼠,related,word,word,0.962297489750364
行家,專家,related,word,word,
人質,囚犯,related,word,word,0.969139693945419
女同性戀,男同志,related,word,word,
工程師,建築師,related,word,word,0.942400593234273
畫廊,展覽,related,word,word,
籃球,足球,related,word,word,0.961711834807617
主教,樞機,related,word,word,
爵士樂,音樂,related,word,word,0.919049942549866
灰燼,灰塵,related,word,word,0.939581744689079
聖經,書本,related,word,word,0.876009487339163
大街,街道,related,word,word,0.985075272091802
六月,七月,related,word,word,0.977112939153588
應答,回覆,related,word,word,
計劃,戰略,related,word,word,0.901981287083247
未來,過去,related,word,word,0.889429096210829
謊言,騙子,related,word,word,0.860608446348605
選擇,選項,related,word,word,-0.0377352559865296
發誓,誓言,related,word,word,0.740992194370086
接觸,聯繫,related,word,word,0.950266395042882
會所,酒吧,related,word,word,
對話,討論,related,word,word,0.852311252323789
自由,民主,related,word,word,0.950230919189566
大橋,隧道,related,word,word,
暗號,密碼,related,word,word,0.964120899155642
聚焦,集中,related,word,word,
春天,秋天,related,word,word,0.956619897816504
皇宮,城堡,related,word,word,
事件,意外,related,word,word,0.963401835937255
振奮,有趣,related,word,word,
寺廟,修院,related,word,word,
按鈕,按下,related,word,word,0.85903821278622
避免,停止,related,word,word,0.875177565397432
奴隸,僕人,related,word,word,0.902269621917741
出口,入口,related,word,word,0.943153178963144
滿足,快樂,related,word,word,0.926859040460265
高塔,大廈,related,word,word,
到埗,離開,related,word,word,
輪廓,描述,related,word,word,
棉被,毛巾,related,word,word,
電纜,電線,related,word,word,0.908491488330257
詩人,作家,related,word,word,0.976398884142686
叢林,樹木,related,word,word,0.960357520506429
侵略,攻擊,related,word,word,0.760329294843934
殭屍,吸血鬼,related,word,word,0.946014203966833
梳化,睡床,related,word,word,
華盛頓,波士頓,related,word,word,0.98331619751985
羅馬,希臘,related,word,word,0.97416313436162
跑步,行路,related,word,word,
站立,坐低,related,word,word,
力量,活力,related,word,word,0.972138963116819
血液,尿液,related,word,word,0.8457411063614
法律,憲法,related,word,word,0.97051365528659
頭髮,鬍鬚,related,word,word,0.932194600763876
嘴巴,鼻子,related,word,word,0.952784784873276
眼睛,耳朵,related,word,word,0.923292637351765
保障,安全,related,word,word,
浪費,支出,related,word,word,
樂趣,喜悅,related,word,word,0.927440109678761
不可能,簡單,related,word,word,0.822450769640311
熱力,溫度,related,word,word,
手指,拇指,related,word,word,
褲袋,銀包,related,word,word,
呷醋,激氣,related,word,word,
機票,護照,related,word,word,0.966239483871884
山墳,墓地,related,word,word,
陷阱,誘餌,related,word,word,0.711633895697026
榮耀,尊嚴,related,word,word,0.85637363477163
昂貴,平價,related,word,word,
傷口,受傷,related,word,word,0.971337618490062
詛咒,巫婆,related,word,word,0.982921784776025
青年,童年,related,word,word,0.948697494109627
警官,市長,related,word,word,0.861728397177112
乳牛,豬乸,related,word,word,
增加,減少,related,word,word,
利潤,收入,related,word,word,0.959266248300244
紋身,疤痕,related,word,word,0.955779462196133
降落,航班,related,word,word,
鑽石,珠寶,related,word,word,0.955305345566083
甜品,蛋糕,related,word,word,0.974400560682904
步槍,槍械,related,word,word,0.984314387524386
盾牌,盔甲,related,word,word,0.821347282327764
頭盔,帽子,related,word,word,0.987113412015232
盜竊,搶劫,related,word,word,0.967071000248956
石屎,鋼筋,related,word,word,
反射,鏡子,related,word,word,
頻率,信號,related,word,word,
軟件,電腦,related,word,word,0.976355802268147
劑量,注射,related,word,word,
紀念碑,雕像,related,word,word,0.839315469103936
良好,惡劣,related,word,word,
獨立屋,公寓,related,word,word,
大型,巨大,related,word,word,0.866908494775782
房間,臥室,related,word,word,0.972037646709415
錯誤,正確,related,word,word,0.906225535705445
機會,可能性,related,word,word,0.943894276404322
國家,民族,related,word,word,
晚膳,早餐,related,word,word,
活着,死亡,related,word,word,
圖像,照片,related,word,word,0.865924410926652
甜美,得意,related,word,word,0.929216297222805
關係,友誼,related,word,word,0.794871920699005
經驗,知識,related,word,word,0.968671224765458
醒目,聰明,related,word,word,
相機,咪高峰,related,word,word,
驚喜,失望,related,word,word,0.946701656551898
岩石,石頭,related,word,word,0.933040192239012
實踐,鍛煉,related,word,word,
研究,學習,related,word,word,0.975116096362015
氣體,燃料,related,word,word,0.491671597372604
幫派,團體,related,word,word,
沖涼,浴室,related,word,word,
巡迴,音樂會,related,word,word,
喉嚨,頸部,related,word,word,
一千,一百,related,word,word,0.981612243071696
系列,集數,related,word,word,
救援,拯救,related,word,word,0.867958999974306
肩膊,膝頭,related,word,word,
保證,承諾,related,word,word,0.877493745609792
賓語,主語,related,word,word,
任務,使命,related,word,word,0.986339064260198
網絡,系統,related,word,word,0.95886512044411
忠心,如實,related,word,word,
三文治,漢堡包,related,word,word,
戲院,劇場,related,word,word,
典型,經典,related,word,word,0.957838392462119
幫辦,專員,related,word,word,
火箭,導彈,related,word,word,0.960419423870941
佩服,驚嘆,related,word,word,
短裙,長裙,related,word,word,
狐狸,兔仔,related,word,word,
海盜,水手,related,word,word,0.85740485224707
行政,政府,related,word,word,0.967029788738489
殖民地,聯邦,related,word,word,
陰道,陰莖,related,word,word,0.969776859041543
化學,生物,related,word,word,0.966419655633399
化工,生理,related,word,word,
感應器,發射器,related,word,word,
定居,滯留,related,word,word,
範圍,區域,related,word,word,
意識到,理解,related,word,word,0.808449388542497
記錄,錄影,related,word,word,0.975332666374794
紙張,鉛筆,related,word,word,0.00757049046847942
艱難,辛苦,related,word,word,0.842969370262708
地面,地氈,related,word,word,
現金,金錢,related,word,word,0.946315750858727
淺顯,簡單,related,word,word,
藝術,文學,related,word,word,0.932501365716524
私人,私隱,related,word,word,
絕對,完全,related,word,word,0.941272127610652
雞仔,火雞,related,word,word,0.941971843063551
重量,高度,related,word,word,0.851062453168522
囚室,監獄,related,word,word,
挖掘,埋葬,related,word,word,
植物,花朵,related,word,word,-0.0234181730049726
單位,部門,related,word,word,
慢慢,迅速,related,word,word,0.957447744663502
糖果,朱古力,related,word,word,0.908007405566609
潛能,天賦,related,word,word,
鎖鏈,繩索,related,word,word,0.969546599283473
首都,城市,related,word,word,
公仔,玩具,related,word,word,0.907978485756206
圓形,三角,related,word,word,0.969198227889413
慈善機構,捐款,related,word,word,
安靜,緘默,related,word,word,
指甲,牙齒,related,word,word,0.97074009712277
日常,每週,related,word,word,
耐心,同情,related,word,word,0.972127582486388
方法,技術,related,word,word,0.914065997895921
專輯,歌曲,related,word,word,0.969474763443225
迫切,緊急,related,word,word,
禮貌,友善,related,word,word,0.981568557667724
週年,生日,related,word,word,0.929407005252853
狹窄,寬闊,related,word,word,
瘟疫,蔓延,related,word,word,
拍賣,銷售,related,word,word,0.900113873736873
讚揚,禮物,related,word,word,
野蠻,殘忍,related,word,word,0.977594214807875
乘客,司機,related,word,word,0.745430227436835
因素,成份,related,word,word,
內部,外在,related,word,word,
反話,諷刺,related,word,word,
南部,西部,related,word,word,0.934857982478428
黑手黨,販毒集團,related,word,word,
太空人,機師,related,word,word,
今天,昨日,related,word,word,0.836946869662374
職業,工作,related,word,word,0.907801354573662
身體,死屍,related,word,word,0.94339552129912
一半,四分之一,related,word,word,0.939521079188345
麻煩,問題,related,word,word,0.961757974705307
支持,幫助,related,word,word,0.898781640600199
報仇,正義,related,word,word,0.972394978429147
模型,樣版,related,word,word,
允許,批准,related,word,word,0.938531101478907
胃部,心口,related,word,word,
拒絕,接受,related,word,word,0.951656351448814
數據,資訊,related,word,word,0.77058519594021
總數,完全,related,word,word,
收藏,採集,related,word,word,
憤恨,狂怒,related,word,word,
下方,上面,related,word,word,
航線,路徑,related,word,word,
環境,氣氛,related,word,word,0.926714237479863
叢林,森林,related,word,word,0.872434782027149
機械人,機器,related,word,word,0.807239057123329
泥土,沙石,related,word,word,
徽章,制服,related,word,word,0.908886223530725
神經,肌肉,related,word,word,0.968337936403459
清醒,飲醉,related,word,word,
組合,混合物,related,word,word,
浸死,游水,related,word,word,
階段,時期,related,word,word,
陰謀,欺詐,related,word,word,0.929533848930035
閒話,醜聞,related,word,word,0.91068971347927
特權,榮譽,related,word,word,0.800941506550771
宗族,家庭,related,word,word,
鹹片,電影,related,word,word,
收銀員,侍應,related,word,word,
獎金,報酬,related,word,word,
蜘蛛,昆蟲,related,word,word,0.936470723077058
驢仔,馬匹,related,word,word,
腎臟,肝臟,related,word,word,0.943172485893723
月曆,日程,related,word,word,
退休金,人工,related,word,word,
熱血,激情,related,word,word,
隨意,自由,related,word,word,0.961722805572296
管轄權,權力,related,word,word,
軍團,軍營,related,word,word,
啟發,靈感,related,word,word,
客運大樓,機場,related,word,word,
瑜伽,按摩,related,word,word,0.934422800930298
騎兵,砲兵,related,word,word,
民間,軍用,related,word,word,
研討會,演講,related,word,word,
阿司匹靈,嗎啡,related,word,word,
光碟,影片,related,word,word,
凱撒,羅馬,related,word,word,0.871657197453855
安全,穩固,related,word,word,
修復,維修,related,word,word,
殺手,兇徒,related,word,word,
公平,合理,related,word,word,0.92226298303842
空洞,飽滿,related,word,word,
餵飼,進食,related,word,word,
雙倍,三倍,related,word,word,-0.0359230630723034
受苦,死亡,related,word,word,0.93520982309201
信用,貸款,related,word,word,0.837526036054788
半夜,中午,related,word,word,
打斷,騷擾,related,word,word,
