"sl_cue","sl_fake_cue","sl_target","sl_fake_target","en_cue","en_target"
"vino","vintev","šampanjec","osmanjec","wine","champagne"
"ustnica","ulince","lice","dirce","lip","cheek"
"kruh","krir","sir","ugrasur","bread","cheese"
"katolik","katolistjem","kristjan","učistjan","catholic","christian"
"dim","pem","cigara","cistu","smoke","cigar"
"tobak","tokre","cigareta","cigarekla","tobacco","cigarette"
"naiven","najbah","ciničen","cinišnjič","naive","cynical"
"živalski vrt","živrež","cirkus","cirljic","zoo","circus"
"kultura","oprotura","civilizacija","civilizaturja","culture","civilization"
"tipičen","tisnjen","klasičen","klazirčen","typical","classic"
"oseba","zveba","človek","člotaš","man","human"
"rum","tkum","konjak","konjurt","rum","cognac"
"sladkor","sladpah","čokolada","igralkolada","sugar","chocolate"
"podmornica","podkupčnica","čoln","čorp","submarine","boat"
"območje","obmoštvo","cona","coske","area","zone"
"podjetje","dotnije","korporacija","sivarpacija","company","corporation"
"telo","telbam","truplo","ščuplo","body","corpse"
"paranoičen","paranostnež","nor","nospaz","paranoid","crazy"
"telegram","telejota","črka","zlismo","telegram","letter"
"bela","bezela","črna","pačna","white","black"
"nenavaden","nenavabljen","čuden","čusta","unusual","strange"
"duševen","dukončen","čustven","čuvščen","mental","emotional"
"trgati","trdanati","rezati","ihezati","tear","cut"
"rastlina","rapravna","cvet","zvet","plant","flower"
"ponudba","pobrazba","dati","črati","offer","give"
"blizu","kdajizu","daleč","vzleč","near","far"
"lord","gord","dama","dalju","lord","lady"
"kompliment","komplišnjo","darilo","daristič","compliment","gift"
"suh","tuh","debel","dešljal","thin","thick"
"stoletje","knjiletje","desetletje","princetje","century","decade"
"november","novemnost","december","decelen","november","december"
"aktiven","akričen","aktivnost","prosivnost","active","activity"
"fantje","obetje","dekleta","dezrihta","boys","girls"
"kmet","zvomet","delavec","delastnež","farmer","worker"
"snov","snovar","delec","iplec","matter","particle"
"služba","kružba","delo","detalo","job","work"
"delujoč","operabljen","funkcionalen","deluškan","operational","functional"
"svoboda","zgraboda","demokracija","ustvarmokracija","freedom","democracy"
"protest","prokser","demonstracija","demonstroka","protest","demonstration"
"gotovina","gotošča","denar","desil","cash","money"
"žep","arp","denarnica","deključnica","pocket","wallet"
"stres","veres","depresija","desmanija","stress","depression"
"usoda","vzada","fortuna","fortača","fate","destiny"
"agent","uhent","detektiv","detekman","agent","detective"
"trpeti","trusmrti","umreti","uhneti","suffer","die"
"klenk","svenk","zven","zvec","ping","ding"
"diploma","ditravma","diplomant","diplokant","diploma","graduate"
"producent","produpnik","režiser","ustviser","producer","director"
"pogovor","pogodnji","diskusija","diskureja","conversation","discussion"
"okraj","okrema","območje","gromočje","county","district"
"enota","ščeta","del","delkun","unit","division"
"narediti","slelati","delati","nagreti","make","do"
"posebej","posemno","dodatno","dodačno","extra","additional"
"zgoditi se","ukvarjaviti","dogajati se","zgodpeti","occur","happen"
"pojav","pozij","dogodek","dogostom","phenomenon","event"
"dobiček","dobiznis","dohodek","dohovost","profit","income"
"dokazilo","dokašelj","dokaz","dokalp","evidence","proof"
"datoteka","magen","dokument","dokustos","file","document"
"funt","fugnu","dolar","dodes","pound","dollar"
"kratek","kratel","dolg","tekolg","short","long"
"puščava","puščarka","dolina","dolovica","desert","valley"
"velikost","velihtnost","dolžina","brezžina","size","length"
"odgovornost","odgovočje","dolžnost","dolžig","responsibility","duty"
"dobrodelnost","dobrodelegram","donacija","obravnacija","charity","donation"
"ponos","ponitev","dostojanstvo","dostoljstvo","pride","dignity"
"dovolj","dodro","zadosten","zadokrast","enough","sufficient"
"diamant","diater","dragulj","draškaj","diamond","jewel"
"slikati","slikrhati","risati","ridrati","paint","draw"
"nočna mora","nočnamizje","sanje","blanje","nightmare","dream"
"grm","grst","drevo","stevo","bush","tree"
"podoben","poderoč","drugačen","drugapav","similar","different"
"klan","ščan","družina","osvežina","clan","family"
"zvezen","zvezrt","država","držoga","federal","state"
"gos","govem","raca","ravto","goose","duck"
"menih","memon","duhovnik","duzračnik","monk","priest"
"zarjavel","zarječ","prašen","praščeč","rusty","dusty"
"smodnik","smodrama","dinamit","člamit","gunpowder","dynamite"
"zahod","zabin","vzhod","vzhojica","west","east"
"nemogoče","nemovključe","enostavno","enospolzko","impossible","easy"
"poseben","posetiški","edinstven","edirčen","special","unique"
"liga","bolga","ekipa","pinpa","league","team"
"počiti","izkrovati","eksplodirati","eksplobati","burst","explode"
"potres","povrov","eksplozija","eksplizika","earthquake","explosion"
"bomba","zlaba","eksploziven","eksplodrast","bomb","explosive"
"moden","modben","eleganten","elegrd","fashionable","elegant"
"magneten","magnil","električen","eleksast","magnetic","electric"
"tok","zuk","elektrika","zmiktrika","current","electricity"
"faktor","buhtor","element","stiment","factor","element"
"dinastija","dinasmica","imperij","impiščal","dynasty","empire"
"moč","coč","energija","zglegija","power","energy"
"preprosto","preprotno","enostavno","enočljivo","simply","simple"
"milijonar","ustvarjonar","podjetnik","podježak","millionaire","entrepreneur"
"kuga","kundra","epidemija","astrodemija","plague","epidemic"
"serija","seznica","epizoda","astrozoda","series","episode"
"orgazem","organjač","erekcija","erekvarij","orgasm","erection"
"opisati","opisniti","izraziti","izruhati","describe","express"
"pošta","poščica","faks","fakel","mail","fax"
"lažen","lažet","napačen","drsačen","fake","FALSE"
"dekle","delij","fant","falček","girl","boy"
"čudovito","čudovično","fantastično","fantamatično","wonderful","fantastic"
"realnost","realnija","fantazija","krantazija","reality","fantasy"
"kolonija","kolonetracija","federacija","ustvaracija","colony","federation"
"karneval","dnevneval","festival","festičnost","carnival","festival"
"pornografija","pornozaver","film","filjar","porn","movie"
"bančništvo","bančnitelj","finančen","finanov","banking","financial"
"finančno","finalitično","financiranje","finajliranje","financially","financing"
"proračun","proraskat","financiranje","finavijanje","budget","funding"
"konec","končar","cilj","cilček","end","finish"
"spolen","prvolen","fizičen","fizupen","sexual","physical"
"pomorski","pomonast","flota","štota","naval","fleet"
"tekočina","mrakočina","tekoče","mlekoče","liquid","fluid"
"pristati","ovistati","leteti","letrditi","land","fly"
"slika","valka","fotografija","brutografija","picture","photo"
"avtogram","avtošnja","fotograf","fotocent","autograph","photographer"
"angleščina","angležalka","francoščina","pecoščina","english","french"
"topiti se","topreti","zamrzovati","zamraščati","melt","freeze"
"vesolje","vesofon","galaksija","galakvarel","universe","galaxy"
"delavnica","delaviteljica","garaža","garastika","workshop","garage"
"lezbijka","tragijka","gej","jerg","lesbian","gay"
"koda","sanda","geslo","gedro","code","password"
"jazz","jast","glasba","agraba","jazz","music"
"pevec","jevec","glasbenik","strubenik","singer","musician"
"večina","zvočina","glas","glavru","majority","vote"
"kino","rabno","gledališče","zmanjdališče","cinema","theater"
"državen","držaljen","svetoven","svegiben","national","global"
"slep","dlep","gluh","glab","blind","deaf"
"zarota","zarilika","goljufija","goljuba","conspiracy","fraud"
"dol","nal","gor","zir","down","up"
"opica","opigma","gorila","predorila","monkey","gorilla"
"bencin","bencelj","gorivo","goriščaj","gas","fuel"
"pogovoriti se","pogonkati","govoriti","proriti","talk","speak"
"džungla","džunija","gozd","gokel","jungle","forest"
"palača","palafika","grad","hrad","palace","castle"
"konstrukcija","konstrakcija","graditi","paraditi","construction","build"
"kila","kilojekt","gram","grin","kilo","gram"
"nagnusen","nagnušč","grd","grpek","disgusting","ugly"
"rimski","rimatičen","grški","grsteč","roman","greek"
"strela","strečka","grmenje","grmestni","lightning","thunder"
"baron","bamal","grofica","grobrn","baron","countess"
"strašljivo","strašeren","grozljivo","grospreden","scary","creepy"
"strašen","plozen","grozen","preljupen","terrible","horrible"
"klavir","klaroj","kitara","kitilka","piano","guitar"
"iluzija","strezija","halucinacija","halucistka","illusion","hallucination"
"sendvič","barvič","hamburger","slaburger","sandwich","hamburger"
"palica","čelica","kladivo","bradivo","stick","hammer"
"ravnovesje","ravnočvirje","harmonija","oglejmonija","balance","harmony"
"okrevati","okraviti","zdraviti","zdrajati","recover","heal"
"rešilec","rešinc","helikopter","vlekopter","ambulance","helicopter"
"raj","enj","pekel","pekodil","paradise","hell"
"kokain","kokastri","heroin","heroga","cocaine","heroin"
"nizek","rozek","visok","visotrajen","low","high"
"počasen","počatek","hiter","hitalen","slow","fast"
"počasno","počaljast","hitro","hitočen","slowly","quickly"
"razdalja","skladalja","hitrost","hitkanost","distance","speed"
"aids","aibi","hiv","rav","aids","hiv"
"vroč","zmrče","hladen","berdno","hot","cold"
"tek","hlek","sprehod","jahod","run","walk"
"držati","drživeti","hraniti","peljaniti","hold","keep"
"angel","anvan","hudič","hupje","angel","devil"
"hvaležen","učinležen","hvala","ptila","grateful","thank"
"gostoljubnost","gostoskrajnost","hvaležnost","hvalatnina","hospitality","gratitude"
"igrati","igredeti","igra","zura","play","game"
"lutka","kerka","igrača","stača","doll","toy"
"avtor","avtik","igralec","splalec","author","actor"
"trener","trevan","igralec","igražar","coach","player"
"laskati se","laskopati","impresionirati","impreskati","flatter","impress"
"poročati","porožiti","obveščati","obvepevati","report","inform"
"podatki","pomenčki","informacije","instinktmacije","data","information"
"vir","cvir","obveščevalec","obveščastnik","source","informant"
"odmerek","odmeglje","injekcija","šiviljekcija","dose","injection"
"pregled","prečjem","inšpekcija","inšprava","examination","inspection"
"orodje","svadje","instrument","instrušnja","tool","instrument"
"pameten","udareten","inteligenten","inteligeniten","smart","intelligent"
"oseben","plaseben","intimen","intimenjen","personal","intimate"
"nagon","nanes","intuicija","rastlicija","instinct","intuition"
"financirati","fižati","investirati","inveskati","finance","invest"
"bančnik","pončnik","investitor","investisk","banker","investor"
"ironija","psičnija","ironičen","odliničen","irony","ironic"
"odločiti se","zadločiti","izbrati","izbotirati","choose","select"
"sprememba","plazmemba","izboljšava","izstrelšava","change","improvement"
"vohun","blohun","izdajalec","izdajaznež","spy","traitor"
"znamka","znamilo","izdelek","izdeskar","brand","product"
"smrt","uhrt","izginotje","izginodnost","death","disappearance"
"rezultat","rezukt","izid","grozid","result","outcome"
"komentar","komenolom","izjava","tvarjava","comment","statement"
"izjemen","nenavniški","izvrsten","izjevski","exceptional","remarkable"
"zdravje","zdrinje","izobraževanje","izobravanje","health","education"
"šteti","štemeniti","izračunati","račutiti","count","calculate"
"podkupiti","podkuvati","izsiljevati","izsičanje","bribe","blackmail"
"obešanje","obepričanje","izvedba","plovedba","hanging","execution"
"predstava","hrov","nastop","nastih","show","performance"
"ovira","ovrl","izziv","izaba","obstacle","challenge"
"okej","femedu","ja","črz","okay","yeah"
"banana","bapljena","jagoda","spregoda","banana","strawberry"
"gnezdo","obrzdo","jajce","snoce","nest","egg"
"srajca","majinka","jakna","jakalnica","shirt","jacket"
"tuna","tucika","jastog","javžig","tuna","lobster"
"atomsko","abraski","jedrski","jedaren","atomic","nuclear"
"beton","bekord","jeklo","jekno","concrete","steel"
"pomlad","poblin","jesen","jedal","spring","autumn"
"hraniti","hrančati","jesti","jesipati","feed","eat"
"ledvica","ledvina","jetra","jevit","kidney","liver"
"ljubosumen","ljubosiven","jezen","jezoren","jealous","angry"
"reka","omleka","jezero","jezemlje","river","lake"
"Romeo","romik","Julija","julisnih","romeo","juliet"
"junij","jukes","julij","julon","june","july"
"plezati","oklezati","skakati","skobariti","climb","jump"
"količina","kolila","kakovost","kakostim","quantity","quality"
"skala","skaska","kamen","kamotka","rock","stone"
"piknik","pibris","kampiranje","strelpiranje","picnic","camping"
"cerkev","cerbir","kapela","strupela","church","chapel"
"anarhija","ostuhija","kapitalizem","kapitalistnost","anarchy","capitalism"
"poveljnik","postvenik","stotnik","kapiljev","commander","captain"
"mafija","matvarja","kartel","dletel","mafia","cartel"
"skodelica","skokal","kava","njava","cup","coffee"
"rodeo","rodekop","kavboj","kavzla","rodeo","cowboy"
"nikoli","kratkoli","kadarkoli","efaj","never","ever"
"spomenik","spomeljev","kip","olp","monument","statue"
"zrak","olak","kisik","kisip","air","oxygen"
"bolnišnica","bolništeta","klinika","pralinika","hospital","clinic"
"čelada","čelaž","klobuk","klodnik","helmet","hat"
"rama","ranja","koleno","koleče","shoulder","knee"
"prikolica","prikolonica","kombi","stambi","trailer","van"
"drama","verma","komedija","sprejmedija","drama","comedy"
"inšpektor","indvajtor","komisar","komižnež","inspector","commissioner"
"komisija","bolečilo","odbor","komišljija","commission","committee"
"navigacija","nagonikacija","komunikacija","komunikalnica","navigation","communication"
"rasist","ravent","komunist","komustan","racist","communist"
"turneja","tuvil","koncert","koncebo","tour","concert"
"osel","osenk","konj","kozg","donkey","horse"
"tuš","vorš","kopalnica","kostrojnica","shower","bathroom"
"original","spodiginal","kopija","kopsiha","original","copy"
"drobec","dromom","kos","plos","fragment","piece"
"prigrizek","prigriščal","kosilo","kopljelo","snack","lunch"
"aktovka","akdarka","kovček","rirček","briefcase","suitcase"
"železo","želesto","kovina","kobljena","iron","metal"
"kraljica","svaljica","kralj","zgalj","queen","king"
"kraljev","blaljev","kraljestvo","gnestvo","royal","kingdom"
"vez","poveti","kravata","mlezati","bind","tie"
"tat","tajk","kriminalec","kriminajstnik","thief","criminal"
"nedolžen","nesljižen","kriv","kraz","innocent","guilty"
"situacija","nakuacija","kriza","krica","situation","crisis"
"brutalen","spatalen","krut","svut","brutal","cruel"
"zlo","plo","krutost","ototost","evil","cruelty"
"kuhar","kučaš","chef","href","cook","chef"
"topel","topleten","hladen","hlavilen","warm","cool"
"prodajalec","prodajaznost","kupec","kulec","seller","buyer"
"utrujen","igrajen","lačen","lafinjen","tired","hungry"
"posadka","požnivka","ladja","štoja","crew","ship"
"lastnina","lasest","lastnik","ladljiv","property","owner"
"laž","lasp","lažnivec","lažnitelj","lie","liar"
"član","žlan","vodja","vladran","member","leader"
"mit","mif","legenda","lečerja","myth","legend"
"lep","lef","čudovit","hladovit","pretty","beautiful"
"čar","čag","lepota","lepotenca","charm","beauty"
"pristanek","pristelja","let","int","landing","flight"
"terminal","oglaminal","letališče","letalidnost","terminal","airport"
"desna","destro","leva","lešip","right","left"
"konzervativen","konzerfekten","liberalen","poseralen","conservative","liberal"
"tema","telje","svetloba","sveščica","darkness","light"
"taksi","tajač","limuzina","likremzina","taxi","limousine"
"ming","mige","linj","lišu","ming","ling"
"zmaj","zmanit","lev","frev","dragon","lion"
"umetnost","rantnost","literatura","litesura","art","literature"
"sesanje","sesirati","lizanje","lizabiti","suck","lick"
"žaba","žafa","kuščar","kuščetek","frog","lizard"
"sovraštvo","braštvo","ljubezen","ljubestim","hate","love"
"ljubica","strebica","ljubimec","ljubiser","mistress","lover"
"prebivalstvo","prebivaljar","ljudje","ljuntje","population","people"
"kost","kolum","lobanja","lobavišče","bone","skull"
"kraj","krans","lokacija","igračkacija","place","location"
"regijski","regiobljen","lokalen","loljuben","regional","local"
"slediti","oprediti","loviti","troviti","follow","chase"
"lep","lenic","prijeten","priduvito","nice","lovely"
"razpoka","razpacka","luknja","luzenj","crack","hole"
"pes","nes","mačka","skika","dog","cat"
"playboy","plaboj","revija","revička","playboy","magazine"
"malo","mičkast","majhen","znajhen","little","small"
"kečap","kečnica","majoneza","maskrajneza","ketchup","mayonnaise"
"očka","gavka","mama","maba","daddy","mum"
"nadzirati","nadgajati","manipulirati","manipirati","control","manipulate"
"oglaševanje","ustreševanje","trženje","markeskom","advertising","marketing"
"med","merg","maslo","madir","honey","butter"
"fizika","fiprečka","matematika","prematika","physics","mathematics"
"trofeja","trokal","medalja","medatnim","trophy","medal"
"artefakt","artesleč","medaljon","medavnik","artifact","medallion"
"oblak","dulak","megla","merad","cloud","fog"
"tehničen","tehnilen","mehanski","mehazijski","technical","mechanical"
"komercialen","komeričen","trgovec","trglavec","commercial","merchant"
"kilometer","kilomegan","meter","mestvenik","kilometer","meter"
"svinjina","stlinska","meso","metno","pork","meat"
"prestolnica","prestorzija","mesto","melin","capital","city"
"teleskop","telefort","mikroskop","mikrostor","telescope","microscope"
"kamera","spremera","mikrofon","mikremik","camera","microphone"
"milijon","miligneš","milijarda","palijarda","million","billion"
"odpuščanje","odpuskrunitev","milost","mistot","forgiveness","mercy"
"veleposlanik","veleposter","minister","minišnik","ambassador","minister"
"veleposlaništvo","velepožnik","ministrstvo","ministrpnost","embassy","ministry"
"plus","trus","minus","miple","plus","minus"
"sekunda","vrekunda","minuta","mikvanta","second","minute"
"tih","špih","miren","mirodičen","quiet","calm"
"odsev","odsedlog","ogledalo","ognjedalo","reflection","mirror"
"revščina","revšilka","beda","sfeda","poverty","misery"
"živec","hrivec","mišica","mišiljka","nerve","muscle"
"naloga","praloga","misija","misizem","task","mission"
"starejši","staljubši","mlajši","uganši","senior","junior"
"star","člar","mlad","zdad","old","young"
"težek","lažek","težko","gročno","heavy","heavily"
"trdno","trdalsko","močno","mojavno","firmly","strongly"
"rjava","ljav","modra","mošeč","brown","blue"
"žito","žifo","moka","tarka","grain","flour"
"suh","fluh","moker","moset","dry","wet"
"zaslon","zafren","monitor","kranitor","screen","monitor"
"aspirin","aspivel","morfij","morfum","aspirin","morphine"
"plačanec","najemčanec","morilec","moritator","mercenary","assassin"
"marinec","morskinec","mornarica","ključnarica","marine","navy"
"hotel","hosned","motel","krotel","hotel","motel"
"prekiniti","prekinižnost","motiti","movljati","interrupt","disturb"
"zbiralnik","tarš","motor","movil","tank","engine"
"hrib","frib","gora","goza","hill","mountain"
"priložnost","prilodba","možnost","možnacija","chance","possibility"
"izbira","izkljura","možnost","fražnost","choice","option"
"čebela","gradbela","mravlja","cavlja","bee","ant"
"živ","fiv","mrtev","mrceč","alive","dead"
"trpinčenje","trplitev","mučenje","mučevelj","torment","torture"
"ubijalec","ubisker","morilec","morijač","killer","murderer"
"evolucija","oglucija","mutacija","muzantema","evolution","mutation"
"knjižnica","zvežnica","muzej","murman","library","museum"
"naravno","nastično","običajno","sploflikan","naturally","generally"
"priprava","primljiva","načrtovanje","načrtožba","preparation","planning"
"napredovati","naprežati","nadaljevati","nadaščiti","proceed","continue"
"zamenjati","zamestrapiti","nadomestiti","nadomagati","replace","substitute"
"glas","njas","naglas","naglif","voice","accent"
"dodatek","botus","nagrada","nagrablje","bonus","reward"
"nobelova","nosjon","nagrada","borada","nobel","prize"
"najeti","izpoigrati","najem","najšati","hire","rent"
"najemnik","najegral","najemodajalec","drvodajalec","tenant","landlord"
"najstniški","najsečniški","najstnik","delajstnik","teenage","teenager"
"iskati","iskaniti","najti","vorti","search","find"
"najmanj","blamanj","največ","najveknil","minimum","maximum"
"gol","gof","nag","zag","nude","naked"
"namen","namuk","namera","femera","purpose","intention"
"pomotoma","naklicno","namerno","nasnično","accidentally","intentionally"
"invazija","invaristika","napad","napeznost","invasion","attack"
"žrtev","žrtiček","napadalec","napadirka","victim","attacker"
"napaka","napaganda","pomota","pomara","error","mistake"
"čip","čif","naprava","leprava","chip","device"
"ukaz","špaz","zahteva","pihteva","command","order"
"pacient","pacijaž","stranka","straska","patient","client"
"ime","uce","naziv","nasnilo","name","title"
"številka","štežgečka","naslov","fraslov","number","address"
"sovražnik","sovrastal","nasprotnik","nasprijem","enemy","opponent"
"nasprotno","navzletno","kontradiktoren","kontraščen","opposite","contrary"
"natakar","natablet","natakarica","stekarica","waiter","waitress"
"država","drdljiva","narod","natoskem","country","nation"
"navdihniti","zamihniti","navdih","navkaš","inspire","inspiration"
"ponosen","ponomatičen","navdušen","plovdušen","proud","excited"
"nebo","cebo","nebeško","nebeglih","sky","heavenly"
"vnuk","gnuk","nečak","nezic","grandson","nephew"
"ravno","zgavno","nedavno","neznjeno","just","recently"
"sobota","kljubota","nedelja","nedvička","Saturday","Sunday"
"pozitiven","poziključen","negativen","negagranten","positive","negative"
"nič","cič","nekaj","nesaž","nothing","something"
"drugje","druleg","nekje","porekje","elsewhere","somewhere"
"nebogljen","negljen","nemočen","nemoljub","helpless","powerless"
"vedno","cmedno","nenehno","šelehno","always","constantly"
"nerazumno","neravilno","neodgovorno","sivovorno","unreasonable","irresponsible"
"neposreden","neposistiran","neposredno","čudosredno","direct","directly"
"nepravičnost","travičnost","krivičen","krivajajoč","injustice","unfair"
"nenadoma","nenadično","nepričakovano","nepodpovano","suddenly","unexpectedly"
"neudobno","neupljivno","neprijetno","nepritno","uncomfortable","unpleasant"
"zaskrbljen","zaskrstven","živčen","spovčen","worried","nervous"
"incident","celipetljaj","nesreča","nedeljča","incident","accident"
"nesrečen","nesričeč","nezgoda","flola","unfortunate","misfortune"
"naiven","zabaiven","neumen","neunjih","naïve","stupid"
"norost","nosnet","neumnost","iglumen","madness","stupidity"
"tvegano","znangano","nevarno","nebljeno","risky","dangerous"
"tveganje","znanganje","nevarnost","nevanišče","risk","danger"
"impresivno","impreključno","izvrstno","neverjemljiv","impressive","amazing"
"ženin","žebljen","nevesta","nevežinka","groom","bride"
"veter","fleter","nevihta","nedranta","wind","storm"
"mehek","trahek","nežen","negleč","soft","gentle"
"anonimen","anoničeln","neznan","nevščin","anonymous","unknown"
"nezmožnost","nezmostost","ni mogoče","plazmožen","inability","unable"
"košarka","koprička","nogomet","nogošnje","basketball","football"
"zdrav","tljav","normalen","norsničen","healthy","normal"
"usta","uslu","nos","fos","mouth","nose"
"rojstvo","prenojstvo","nosečnost","nosečitek","birth","pregnancy"
"zunaj","zuziš","notri","cotri","outside","inside"
"kanal","kazert","novice","novidlji","channel","news"
"poročevalec","poročašnik","novinar","flavinar","reporter","journalist"
"meč","ašč","nož","fož","sword","knife"
"priseči","prisestopiti","prisega","zapriškica","swear","oath"
"plaža","mneža","obala","znela","beach","coast"
"množica","sfožica","občinstvo","občimba","crowd","audience"
"vtis","ščis","občutek","občurek","impression","feeling"
"delikaten","deličevalno","občutljiv","vključutljivo","delicate","sensitive"
"faza","caza","obdobje","obdošča","phase","period"
"ponavadi","običarano","običajno","občavadi","normally","usually"
"navaden","bravadno","običajen","poličajno","ordinary","usual"
"poljub","poljacek","objem","obdar","kiss","hug"
"krilo","ekolo","obleka","vreka","skirt","dress"
"jamstvo","činstvo","obljuba","prijuba","guarantee","promise"
"hrana","sfana","obrok","hirok","food","meal"
"polmer","poldru","obseg","obhim","radius","perimeter"
"pritožba","prispevba","obtožba","oborcija","complaint","accusation"
"privlačen","privladajoč","očarljiv","smaljivo","attractive","charming"
"mati","hlati","oče","ope","mother","father"
"stric","horic","očka","aček","uncle","dad"
"morje","zurje","ocean","ocejevnik","sea","ocean"
"jasno","sfasno","očitno","očitesno","clearly","obviously"
"senzor","senpin","oddajnik","odkrnik","sensor","transmitter"
"odgovor","odgloba","odziv","bradziv","answer","reply"
"prihod","prišina","odhod","odhled","arrival","departure"
"pogum","kragum","odločnost","odločetnica","courage","determination"
"mnenje","mnevah","odnos","odman","opinion","attitude"
"dovoljenje","dovoljstvo","odobritev","ukrebritev","permission","approval"
"uspeh","usmuh","neuspeh","neuspokoj","success","failure"
"junak","jufec","rešitelj","odrešema","hero","savior"
"prisotnost","prisoblja","odsotnost","odsobljenost","presence","absence"
"odsek","oblavlje","odstavek","odstaziranje","section","paragraph"
"izločiti","odprajati","odstraniti","mastraniti","eliminate","remove"
"odpoved","krasoved","odpustitev","odpluskanje","resignation","dismissal"
"pisalna miza","kliza","pisarna","cisarna","desk","office"
