"da_cue","da_fake_cue","da_target","da_fake_target","en_cue","en_target"
"show","sjons","forestilling","forefængsling","show","performance"
"atomar","atonym","nuklear","nukværk","atomic","nuclear"
"auktion","littion","salg","safe","auction","sale"
"autograf","autopert","fotograf","fotoding","autograph","photographer"
"avenue","rynne","gade","mænde","avenue","street"
"baby","batel","barn","banp","baby","child"
"badge","dumge","uniform","univærk","badge","uniform"
"bakke","slake","bjerg","oberg","hill","mountain"
"balance","balstats","harmoni","avemoni","balance","harmony"
"banan","basko","jordbær","jorddad","banana","strawberry"
"slæng","tride","gruppe","skønpe","gang","group"
"bankvæsen","grupkvæsen","finansiel","finansistisk","banking","financial"
"bankmand","monumand","investor","invelent","banker","investor"
"baron","batar","grevinde","klipvinde","baron","countess"
"basketbold","basketlets","fodbold","gerbold","basketball","football"
"bedstefar","bedstelut","bedstemor","bedbilsmor","grandfather","grandmother"
"befolkning","bestobning","mennesker","mennegraf","population","people"
"proces","profor","procedure","kunstcedure","process","procedure"
"kamp","kaål","slagsmål","slagsvet","combat","fight"
"bekræftelse","beslittelse","bekræfte","bagplette","confirmation","confirm"
"bekymret","betraret","nervøs","nervie","worried","nervous"
"ængstelse","ængpludse","bekymring","bekymskab","concern","worry"
"belastning","bolkning","last","tost","load","cargo"
"berømthed","bestighed","stjerne","stoltne","celebrity","star"
"beskrive","berømtve","udtrykke","eksprejs","describe","express"
"beskytte","behandte","forsvare","forkertre","protect","defend"
"bestikke","begrunke","afpresse","afsnitse","bribe","blackmail"
"beton","besvæ","stål","stids","concrete","steel"
"betydning","betydskab","vigtighed","betydster","meaning","importance"
"beundre","beunstof","værdsætte","forskætte","admire","appreciate"
"bevæge","bestikge","overføre","stilføre","move","transfer"
"bevare","befolkre","opretholde","oprettørklæde","preserve","maintain"
"evidens","bendens","bevis","bebel","evidence","proof"
"bi","bå","myre","subre","bee","ant"
"bibel","bitid","bog","besets","bible","book"
"bibliotek","bibliovidst","museum","flænseum","library","museum"
"billede","hjerlede","foto","fomad","picture","photo"
"billet","senlet","pas","ese","ticket","passport"
"tøjre","budre","binde","evide","bind","tie"
"biograf","bioding","teater","teamant","cinema","theater"
"biskop","bishue","kardinal","kardiment","bishop","cardinal"
"bjørn","øvørn","ulv","vav","bear","wolf"
"blind","veind","døv","pav","blind","deaf"
"bliv","blom","forblive","forskerve","stay","remain"
"blod","blør","urin","urka","blood","urine"
"blød","blim","blid","bles","soft","gentle"
"bogstaveligt","bogstavestand","praktisk","banktisk","literally","practically"
"kasse","skose","taske","tatio","box","bag"
"bombe","sulbe","sprængstof","eksplodel","bomb","explosive"
"bonus","bons","belønning","belønskab","bonus","reward"
"bord","bont","stol","gaol","table","chair"
"bravo","sønvo","alfa","aljon","bravo","alpha"
"briller","drukler","kasket","kalent","glasses","cap"
"bro","vio","tunnel","lyknel","bridge","tunnel"
"brød","brys","ost","ukt","bread","cheese"
"brudgom","brændom","brud","bruft","groom","bride"
"brun","frun","blå","neå","brown","blue"
"brusebad","brusegift","badeværelse","sløbsbade","shower","bathroom"
"brutal","brukal","grusom","tegsom","brutal","cruel"
"budget","evaget","finansiering","finansiejestæt","budget","funding"
"bugt","møgt","havn","haby","bay","harbor"
"sprænge","skramge","eksplodere","foredplodere","burst","explode"
"busk","buta","træ","ket","bush","tree"
"butik","bulan","forretning","forretskab","shop","store"
"byttedyr","kvaltedyr","rovdyr","rovket","prey","predator"
"cæsar","vodar","rom","ærm","caesar","rome"
"kaliber","kalitisk","projektil","projekgram","caliber","bullet"
"celle","lykle","fængsel","fævisel","cell","prison"
"cement","seling","plastik","tjestik","cement","plastic"
"mester","metisk","kæmper","braper","champion","fighter"
"chance","prakse","mulighed","muskelhed","chance","possibility"
"charme","planme","skønhed","slaghed","charm","beauty"
"chip","sjur","enhed","endor","chip","device"
"cirkel","følkel","trekant","nutkant","circle","triangle"
"civil","cilot","militær","milimant","civil","military"
"amt","amdret","distrikt","dijestæt","county","district"
"folkemængde","folkevægde","publikum","publistre","crowd","audience"
"far","mar","mor","eim","daddy","mum"
"dække","dæle","skjule","sjælle","cover","hide"
"daglig","terlig","ugentlig","stoltlig","daily","weekly"
"danser","tygser","dans","daly","dancer","dance"
"data","komte","information","informakomst","data","information"
"datter","initer","søn","ken","daughter","son"
"dekan","dedyr","professor","profesdent","dean","professor"
"delikat","deligion","følsom","tursom","delicate","sensitive"
"dessert","sonsert","kage","epige","dessert","cake"
"detonator","detonadring","tidtager","tikan","detonator","timer"
"diamant","diasisk","juvel","jular","diamond","jewel"
"diarré","diarcept","kvalme","sjælme","diarrhea","nausea"
"digter","kylter","forfatter","forstyrter","poet","writer"
"ulækker","dibustion","grim","gret","disgusting","ugly"
"direkte","distatte","lige","indge","direct","directly"
"leve","komve","overleve","singleve","live","survive"
"dna","ura","fingeraftryk","fingeraflings","dna","fingerprint"
"dobbelt","sønbelt","tredobbelt","tredobfald","double","triple"
"død","ørd","forsvinden","formængden","death","disappearance"
"dødbringende","novembringende","livsfarlig","fastol","deadly","fatal"
"dosis","dober","indsprøjtning","indsprøjtskab","dose","injection"
"dråbe","sukbe","slurk","nippemos","drop","sip"
"drama","lukme","komedie","komerant","drama","comedy"
"dramatisk","dramaster","romantisk","romanster","dramatic","romantic"
"drenge","hjælge","piger","pital","boys","girls"
"drik","flytke","øl","øn","drink","beer"
"dronning","flænning","konge","tilge","queen","king"
"drukne","slikne","svømme","slikme","drown","swim"
"dukke","kanke","legetøj","legeding","doll","toy"
"dvd","pyd","video","vitil","dvd","video"
"dynasti","dynakort","imperium","transperium","dynasty","empire"
"bæst","bæpe","dyr","æst","beast","animal"
"dyrt","gårt","billig","terlig","expensive","cheap"
"edderkop","edderpisk","insekt","instyr","spider","insect"
"fald","pild","kollaps","irolaps","fall","collapse"
"krav","efterkroskop","anmodning","anmodstan","demand","request"
"egern","ufern","vaskebjørn","vaskefreb","squirrel","raccoon"
"ejendom","ejenbel","ejer","yner","property","owner"
"eksamensbevis","eksamensbestremt","dimittere","diskjortere","diploma","graduate"
"eksperiment","eksperistisk","prøve","tidve","experiment","test"
"ekspert","eksbens","specialist","speciasteds","expert","specialist"
"ekstra","ekbyrd","yderlig","drenlig","extra","additional"
"ekstremt","eksprøjt","meget","mestå","extremely","very"
"elendig","ulykdig","ynkelig","ynkester","miserable","pathetic"
"bortskaffe","spilskaffe","fjerne","hjælne","eliminate","remove"
"en","po","tre","jue","one","three"
"ende","komde","afslutte","afpreste","end","finish"
"slutteligt","endepres","endeligt","um","finally","eventually"
"enestående","skræmstående","bemærkelsesværdig","bemærdighedsheg","exceptional","remarkable"
"forlovelse","foradresse","bryllup","brylsis","engagement","wedding"
"engel","enlær","djævel","købvel","angel","devil"
"engelsk","encinsk","fransk","franor","english","french"
"enhed","endor","division","diviment","unit","division"
"enke","vurke","kvinde","kradde","widow","woman"
"single","snakle","gift","feft","single","married"
"entusiasme","halskætusiasme","lidenskab","lidenment","enthusiasm","passion"
"erfaring","erfaskab","viden","vivis","experience","knowledge"
"erstatte","erflygte","udskifte","udfaldte","replace","substitute"
"eskortere","brændkortere","ledsage","seksuge","escort","accompany"
"gulv","imoge","tæppe","klærpe","floor","carpet"
"evig","tøig","altid","aldom","eternal","forever"
"fremragende","eskelkarl","storartet","vilre","excellent","great"
"fabrik","fabarn","produktion","produkment","factory","production"
"fælde","tjede","lokkemad","sulkemad","trap","bait"
"fænomen","fænosigt","begivenhed","begistolthed","phenomenon","event"
"faktor","lejtor","element","skament","factor","element"
"uægte","facak","falsk","famik","fake","FALSE"
"fantasi","stiltasi","kreativitet","halskativitet","imagination","creativity"
"fase","tikse","periode","skræmriode","phase","period"
"fast","dest","stærkt","stærek","firmly","strongly"
"fattigdom","jordtigdom","elendighed","inlidighed","poverty","misery"
"fattige","skritige","rig","lyg","poor","rich"
"fejl","feør","fejltagelse","brændtagelse","error","mistake"
"fil","sel","dokument","dokuskab","file","document"
"filosofi","filosogelsk","religion","relistik","philosophy","religion"
"sidste","sidgen","endelige","endesprange","final","ultimate"
"finansiere","bedstenansiere","investere","inspirastere","finance","invest"
"finger","samger","tommelfinger","tommelbilæum","finger","thumb"
"firma","epima","bureau","bupert","firm","agency"
"fjende","flyvde","modstander","modheder","enemy","opponent"
"maritim","mariment","flåde","numde","naval","fleet"
"flag","flyp","symbol","symkum","flag","symbol"
"flertal","tredtal","stemme","elenme","majority","vote"
"flod","flil","sø","mo","river","lake"
"fløde","bojde","sovs","sojn","cream","sauce"
"flygte","pludte","undslippe","flagt","flee","escape"
"undslippe","slagsning","flygtning","um","refugee","fugitive"
"fodre","vedre","spise","midse","feed","eat"
"føderal","fødesker","stat","stro","federal","state"
"fødsel","retsel","graviditet","standditet","birth","pregnancy"
"fokusere","foløvelsere","koncentrere","konstruktrere","focus","concentrate"
"følge","føldig","jage","spige","follow","chase"
"forende","blyan","bagende","baskylde","front","rear"
"forår","tilår","efterår","eftergisk","spring","autumn"
"forbandelse","forloveldelse","heks","hema","curse","witch"
"forberedelse","bedsteberedelse","planlægning","sniglægning","preparation","planning"
"forbudt","forfakt","forbyde","stilbyde","forbidden","prohibit"
"forekomme","forekomforte","ske","ove","occur","happen"
"klub","klakt","bar","jår","club","bar"
"foreslå","frothæng","antyde","antyrion","propose","suggest"
"forfærdelig","forloveldelig","frygtelig","hjemtelig","terrible","horrible"
"forfatter","forskelter","skuespiller","foredespiller","author","actor"
"forhindre","forhinjekt","stoppe","holdhip","prevent","stop"
"forhold","forplig","venskab","venling","relationship","friendship"
"forkert","forkrab","korrekt","ængrekt","wrong","correct"
"forklaring","forklaskab","plausibel","skufsibel","explanation","plausible"
"forlade","stillade","opgive","opmærkve","leave","abandon"
"formular","formutryk","underskrive","skræmderskrive","form","sign"
"formål","forgif","hensigt","henskop","purpose","intention"
"håne","nagte","fornærme","firglamme","insult","offend"
"fornøjelse","slægtnøjelse","glæde","jedde","pleasure","joy"
"forskning","strukning","undersøgelse","kampagdersøgelse","research","study"
"først","harst","sidst","fydst","first","last"
"fortjene","softvane","værdig","sendig","deserve","worthy"
"fortsætte","brilsætte","vedblive","sanblive","proceed","continue"
"forurening","singrening","stråling","stråment","contamination","radiation"
"fragment","flyvment","stykke","osteke","fragment","piece"
"frekvens","frefreds","signal","gavnal","frequency","signal"
"fremskridt","fremstremt","udvikling","udvikskab","progress","development"
"fremtid","frembel","fortid","stabig","future","past"
"frihed","miskhed","demokrati","demokrakomst","freedom","democracy"
"frimærke","fritidske","underskrift","underspindt","stamp","signature"
"frisk","frark","forfriske","formantske","fresh","refresh"
"frit","frap","fri","lenav","freely","free"
"frivillig","frisketlig","frivilligt","frivilster","volunteer","voluntarily"
"frø","bjø","firben","galben","frog","lizard"
"fyr","eir","bror","pravmand","dude","bro"
"fysik","fymad","matematik","matemakomst","physics","mathematics"
"ankomme","anstænme","gå","øn","enter","go"
"gæstfrihed","trønfrihed","taknemmelighed","sprængnemmelighed","hospitality","gratitude"
"galleri","skrileri","udstilling","udgangling","gallery","exhibition"
"galskab","subskab","dumhed","bolhed","madness","stupidity"
"gambling","klobling","poker","potiv","gambling","poker"
"gammel","vælmel","ung","jug","old","young"
"simpelthen","simpeltigt","simpel","herpel","simply","simple"
"garanti","gakløgti","løfte","væste","guarantee","promise"
"benzin","flyzin","brændstof","brændsker","gas","fuel"
"gås","ams","and","ded","goose","duck"
"gendanne","hjældanne","helbrede","moble","recover","heal"
"generator","generadring","reaktor","reakmand","generator","reactor"
"general","genesker","oberst","egerst","general","colonel"
"geni","karni","videnskabsmand","virolmand","genius","scientist"
"genkende","brikkende","vidste","svaste","recognize","knew"
"opnå","getans","vinde","helke","gain","win"
"gidsel","dårsel","fange","modge","hostage","prisoner"
"forgifte","gjud","dræbe","tembe","poison","kill"
"tillade","loksbånd","lade","tenpe","allow","let"
"glas","tas","flaske","pinske","glass","bottle"
"glemme","fjenme","huske","humve","forget","remember"
"ærværdig","ærelendig","ære","kie","glorious","glory"
"godt","gopi","dårligt","slaligt","good","bad"
"golf","govø","tennis","tenser","golf","tennis"
"gravsted","alarsted","kirkegård","kirbekant","grave","cemetery"
"grave","lokve","begrave","berømtve","dig","bury"
"ækel","agel","beskidt","beflikt","nasty","filthy"
"grøn","gref","orange","oruhygge","green","orange"
"begrundelse","grird","årsag","årdis","reason","cause"
"base","grundrys","hovedkvarter","hovedkvarkomst","base","headquarters"
"gud","fud","guddommelig","slægtdommelig","god","divine"
"krudt","sladoder","dynamit","dynafund","gunpowder","dynamite"
"guvernør","guverbrik","senator","senamand","governor","senator"
"gylden","nedden","sølvfarvet","um","golden","silver"
"håb","håson","tro","arko","hope","faith"
"had","ped","kærlighed","slaglighed","hate","love"
"hængning","fragning","henrettelse","skræmrettelse","hanging","execution"
"hævn","nuvn","retfærdighed","retholdighed","revenge","justice"
"haj","ril","fisk","firn","shark","fish"
"hals","hajd","nakke","fætke","throat","neck"
"halv","havkt","kvart","osart","half","quarter"
"mand","mari","kvinde","krike","male","female"
"hånd","sond","arm","sem","hand","arm"
"gestus","gesnit","handling","usædling","gesture","act"
"hår","fror","skæg","skåd","hair","beard"
"svært","rark","hårdt","vrot","tough","hard"
"hav","alv","ocean","gitan","sea","ocean"
"varm","murm","kold","kope","hot","cold"
"hej","rik","farvel","uegvel","hello","bye"
"helt","hefa","redningsmand","spenseren","hero","savior"
"hemmelighed","forskmelighed","mysterium","stjerrium","secret","mystery"
"her","rir","der","pyr","here","there"
"arv","mov","arve","aran","heritage","inherit"
"herre","frire","dame","himme","lord","lady"
"regel","rekom","protokol","protolsk","rule","protocol"
"himmel","elemel","himmelsk","opemelsk","sky","heavenly"
"hindring","ungdring","udfordring","udforstisk","obstacle","challenge"
"slå","påt","støde","sprinke","hit","strike"
"hjælpe","fjerpe","assistere","skræmsistere","help","assist"
"hjælpeløs","drenpeløs","magtesløs","elentesløs","helpless","powerless"
"hjelm","snelm","hat","ort","helmet","hat"
"hjerne","sværne","cerebral","cerevisk","brain","cerebral"
"hjørne","ejenne","gyde","sesde","corner","alley"
"hobby","ængby","sport","spidt","hobby","sport"
"høflig","hømild","venlig","skelig","polite","friendly"
"højre","alire","venstre","vensomt","right","left"
"holde","ketde","beholde","tande","hold","keep"
"honning","disning","smør","smik","honey","butter"
"lytte","gafte","høre","banre","listen","hear"
"høring","høsion","rettsag","relisag","hearing","trial"
"hormon","læsmon","adrenalin","hjørnalin","hormone","adrenaline"
"horn","honi","fløjte","nyøjte","horn","whistle"
"hospital","hospiligt","klinik","kliben","hospital","clinic"
"hoste","hogen","feber","fetiv","cough","fever"
"hotel","hosom","motel","mosom","hotel","motel"
"hud","tyd","væv","blav","skin","tissue"
"hund","omd","kat","git","dog","cat"
"hus","hes","lejlighed","hvorlighed","house","apartment"
"hvad","etad","det","je","what","that"
"hvid","hvøb","sort","purt","white","black"
"hvidløg","hvidse","løg","ræg","garlic","onion"
"hvile","datle","søvn","søtsi","rest","sleep"
"dagen","po","gårsdagen","størdagen","today","yesterday"
"slægtning","stoltning","fætter","ordter","relative","cousin"
"levende","legramde","død","jad","alive","dead"
"morgendagen","morgendastisk","morgen","mortik","tomorrow","morning"
"ide","ræle","teori","teoment","idea","theory"
"ideel","silel","perfekt","perfald","ideal","perfect"
"ingenting","ingenkert","noget","notøj","nothing","something"
"ild","gæd","flamme","fjenme","fire","flame"
"illusion","illument","hallucination","hallucinakomst","illusion","hallucination"
"imponerende","imponehalskæde","utrolig","utroment","impressive","amazing"
"indeholde","inspiraholde","indhold","indkred","contain","content"
"indflydelse","indskrændelse","effekt","efmant","influence","effect"
"internt","ining","eksternt","ekstertryk","internal","external"
"indrømme","instrume","tilstå","tilget","admit","confess"
"indsætte","indbluntes","lægge","køkge","insert","put"
"indsamle","indtrolle","samle","frile","collect","gather"
"indtryk","indgraf","følelse","føgrænse","impression","feeling"
"industri","indubred","forretning","forretskab","industry","business"
"influenza","inspiraenza","sygdom","foddom","flu","disease"
"ingeniør","ingenistand","arkitekt","arkibyrd","engineer","architect"
"inspektør","indrømtør","kommissær","kommisrekt","inspector","commissioner"
"inspirere","interrere","inspiration","interretion","inspire","inspiration"
"instinkt","instremt","intuition","intuikomst","instinct","intuition"
"international","ingional","verden","domden","international","world"
"internet","intengang","web","lib","internet","web"
"invasion","invament","angreb","ansert","invasion","attack"
"ironi","sikni","ironisk","elenisk","irony","ironic"
"jagt","gegt","fiskeri","fibrødri","hunting","fishing"
"jaloux","javogn","vred","tied","jealous","angry"
"jazz","jabær","musik","mumad","jazz","music"
"jeep","deons","lastbil","længbil","jeep","truck"
"jern","jeal","metal","merie","iron","metal"
"job","myb","arbejde","arbvinde","job","work"
"lande","simde","flyve","banve","land","fly"
"jordskælv","jordsnant","eksplosion","eksploment","earthquake","explosion"
"journalistik","skræmnalistik","politik","poligang","journalism","politics"
"jubilæum","jufinger","fødselsdag","elekselsdag","anniversary","birthday"
"jul","dul","helligdag","fetal","christmas","holiday"
"jungle","undsle","skov","skre","jungle","forest"
"juni","jutur","juli","juno","june","july"
"jurisdiktion","kirurdiktion","myndighed","pluddighed","jurisdiction","authority"
"advokat","advogisk","anklager","anklaring","lawyer","prosecutor"
"kabel","katig","wire","batre","cable","wire"
"kahyt","kaskerne","skibsdæk","ulk","cabin","deck"
"kaldenavn","kaldesisk","efternavn","efterbelt","nickname","surname"
"kalender","kaniskder","tidsplan","tidsdion","calendar","schedule"
"kamera","kameflig","mikrofon","mikrobart","camera","microphone"
"kampagne","luksagne","valg","vatu","campaign","election"
"kanal","kanet","nyheder","ashed","channel","news"
"kandidat","usæddidat","vælger","lomger","candidate","voter"
"kanel","karak","vanilje","vaskebje","cinnamon","vanilla"
"kansler","klipler","præsident","præsigisk","chancellor","president"
"kaos","kaker","forvirring","forvirskab","chaos","confusion"
"kompetence","kapacialsko","evne","krene","capacity","ability"
"hovedstad","kapinens","by","ferti","capital","city"
"kapsel","elesel","sonde","bejde","capsule","probe"
"karakter","kationter","personlighed","perlighed","character","personality"
"karneval","karnecent","festival","festirov","carnival","festival"
"karriere","hysteliere","omdømme","omkvalme","career","reputation"
"kartoffel","kartoftryk","tomat","topyr","potato","tomato"
"katolsk","kacinsk","kristen","krident","catholic","christian"
"kavaleri","katolskleri","artilleri","artilstrækri","cavalry","artillery"
"kejserlig","håndserlig","kejser","hasser","imperial","emperor"
"kemi","galmi","biologi","bioristisk","chemistry","biology"
"kemisk","kesigt","biologisk","biolosteds","chemical","biological"
"ketchup","kettesk","mayonnaise","majonsplejse","ketchup","mayonnaise"
"kidnappe","ulyknappe","bortføre","stemføre","kidnap","abduct"
"kidnapper","kidnapstik","løsepenge","løsemarsyge","kidnapper","ransom"
"kilde","benpe","informant","inforsten","source","informant"
"kilo","kisyg","gram","grør","kilo","gram"
"kilometer","kilomedring","meter","medal","kilometer","meter"
"kirke","bedke","kapel","karak","church","chapel"
"kirurg","kiruab","læge","epige","surgeon","doctor"
"kiste","kigen","begravelse","bevidstvelse","coffin","funeral"
"klæde","rajde","lommetørklæde","lommeløvande","cloth","handkerchief"
"klage","menge","anklage","anstænge","complaint","accusation"
"klan","svan","familie","famitakt","clan","family"
"klart","diart","selvfølgelig","iværkfølgelig","clearly","obviously"
"klasse","ulykse","skole","dårle","class","school"
"klatre","klaslå","hoppe","mørpe","climb","jump"
"klaver","tekver","guitar","gilets","piano","guitar"
"klippesten","flampe","sten","stre","rock","stone"
"knap","knat","trykke","skruke","button","press"
"knogle","stople","kranium","hjemnium","bone","skull"
"ko","ut","gris","vojn","cow","pig"
"købe","køtor","sælge","kejge","buy","sell"
"kode","lende","adgangskode","adkomstkide","code","password"
"kokain","koplan","heroin","snigoin","cocaine","heroin"
"kollega","ulyklega","ven","gon","colleague","friend"
"højskole","halskæle","universitet","skræmversitet","college","university"
"koloni","kolosted","føderation","føderakomst","colony","federation"
"kombination","kombinakomst","blanding","gravding","combination","mixture"
"komfortabel","kommercibel","behagelig","behagevendt","comfortable","pleasant"
"befaling","befaskab","ordre","orton","command","order"
"kommandør","kommancent","kaptajn","værktajn","commander","captain"
"kommentar","kommensisk","udsagn","udnant","comment","statement"
"kommerciel","komsensuel","købmand","georand","commercial","merchant"
"kompas","komsær","landkort","landstru","compass","map"
"kompliment","kompliskab","gave","galig","compliment","gift"
"koncept","konridt","definition","definikomst","concept","definition"
"konference","strafference","møde","belde","conference","meeting"
"konflikt","tilflikt","strid","begrende","conflict","dispute"
"konklusion","konklument","antagelse","antalinge","conclusion","assumption"
"konkurrence","konstantrence","mesterskab","mistænskab","competition","championship"
"konservativ","konfliktvativ","liberal","libeding","conservative","liberal"
"konstruktion","konstrukster","bygning","butje","construction","build"
"kontakt","konfert","forbindelse","forsvarsdelse","contact","connection"
"kontanter","konkræfter","penge","tidge","cash","money"
"kontrakt","konstalt","aftale","afsnitle","contract","agreement"
"kontrollere","konfliktlere","verificere","veptblok","check","verify"
"kop","fip","kaffe","gylfe","cup","coffee"
"køre","stere","ride","imede","drive","ride"
"køretøj","køreding","bil","irl","vehicle","car"
"korn","kobs","mel","jol","grain","flour"
"kort","koto","lang","jung","short","long"
"ridse","evase","skramme","sprænme","scratch","bruise"
"kredit","pladit","lån","fen","credit","loan"
"krig","akig","kamp","kaft","war","battle"
"kritisk","mortisk","politisk","poligent","critical","political"
"krone","nedne","trone","sunne","crown","throne"
"kul","gol","olie","olja","coal","oil"
"kulstof","hårslof","brint","hyklingen","carbon","hydrogen"
"kultur","psytur","civilisation","civilisajestæt","culture","civilization"
"kunst","lånst","litteratur","foredteratur","art","literature"
"kunstner","kirurner","maler","matik","artist","painter"
"kuvert","kuvask","pakke","vørke","envelope","package"
"kylling","rotling","kalkun","kalnær","chicken","turkey"
"kys","sæs","kram","krød","kiss","hug"
"læbe","venbe","kind","dænd","lip","cheek"
"læbestift","læbevidst","parfume","fremfume","lipstick","perfume"
"lænke","tomke","reb","masb","chain","rope"
"lære","opere","undervise","unningsviser","learn","teach"
"læse","wis","skrive","spilve","read","write"
"læsning","børning","skrivning","sprænning","reading","writing"
"lag","pyg","overflade","stilflade","layer","surface"
"lampe","brape","stearinlys","kansrinlys","lamp","candle"
"land","jund","nation","naning","country","nation"
"landing","sælding","flyvning","styrning","landing","flight"
"landmand","lidsmand","arbejder","arstander","farmer","worker"
"langsom","langtør","hurtig","enetig","slow","fast"
"langsomt","langstre","hurtigt","hurnant","slowly","quickly"
"lasagne","lamentne","spaghetti","spastanti","lasagna","spaghetti"
"låst","eust","lukket","anaket","locked","closed"
"latterlig","trygterlig","absurd","abform","ridiculous","absurd"
"lav","juv","høj","proj","low","high"
"lave","helve","gøre","kasre","make","do"
"forandring","foranstisk","forbedring","forbedskab","change","improvement"
"kok","føk","køkkenchef","ulk","cook","chef"
"liga","maga","hold","hovi","league","team"
"ledelse","legionse","administrativ","administraleskop","management","administrative"
"legeme","leskamme","lig","teg","body","corpse"
"legion","lenavn","hær","arren","legion","army"
"hyre","bogre","leje","lere","hire","rent"
"lejer","lemad","udlejer","udlegisk","tenant","landlord"
"lejlighedsvis","skræmlighedsvis","sjældent","flændent","occasionally","rarely"
"lejr","lemid","landsby","værsby","camp","village"
"lesbisk","skønbisk","homoseksuel","homotioel","lesbian","gay"
"pines","pisat","dø","glu","suffer","die"
"lidelse","ligionse","smerte","snakse","suffering","pain"
"akkurat","akkugisk","nyligt","nytisk","just","recently"
"lyve","druppu","løgner","makner","lie","liar"
"lignende","skulnende","forskellig","formantlig","similar","different"
"lille","orile","små","kømme","little","small"
"limonade","limoderigde","danskvand","punskvand","lemonade","soda"
"løbe","kribe","gå","øn","run","walk"
"lomme","grume","tegnebog","hjælnebog","pocket","wallet"
"lørdag","kildag","søndag","fladag","Saturday","Sunday"
"lov","hyv","forfatning","forrupskab","law","constitution"
"loyal","firal","trofast","trosnit","loyal","faithful"
"loyalitet","skræmalitet","ærlighed","ærligtion","loyalty","honesty"
"luft","luløj","ilt","årt","air","oxygen"
"lunar","luelt","solar","sofel","lunar","solar"
"lur","klår","gåtur","gåsel","nap","stroll"
"lykønske","lykønling","hilse","dødse","congratulate","greet"
"lyn","kirn","torden","uniden","lightning","thunder"
"mad","ærd","måltid","målnens","food","meal"
"mælk","mævs","juice","juition","milk","juice"
"varemærke","skræmremærke","produkt","prosurd","brand","product"
"mafia","malem","kartel","statel","mafia","cartel"
"magi","marni","troldmand","stoltmand","magic","wizard"
"magnetisk","magnerelt","elektrisk","elekmelsk","magnetic","electric"
"majestæt","maleskop","højhed","højsk","majesty","highness"
"male","matik","tegne","mulne","paint","draw"
