"ur_cue","ur_fake_cue","ur_target","ur_fake_target","en_cue","en_target"
"افراتفری","ٹوراتفری","بوکھلاہٹ","جوڈلاپٹ","chaos","confusion"
"شکایت","صدایت","الزام","الشیم","complaint","accusation"
"براوو","برگجو","الفا","السم","bravo","alpha"
"خانےدارالماری","ضاگےمادلماگری","طاق","ظاق","cabinet","closet"
"اداس","وناس","المناک","المنشا","sad","tragic"
"دیوتا","ذیگدا","الوھی","طلوگلی","god","divine"
"ہیلو","نگلو","الوداع","الودنی","hello","bye"
"افریقی","افغاقی","امریکہ","امریڈک","africa","america"
"امکان","بوکان","عین ممکن","کیص کمگن","probability","likely"
"موقع","موعه","امکان","اماسن","chance","possibility"
"غریب","بقیب","امیر","نییر","poor","rich"
"مہم","طیم","انتخابات","انمہابات","campaign","election"
"دیکھ بھال","جیکھ جھاج","انتظامی","انتظورمی","management","administrative"
"ہوشیار","ڈھیگ","ذھین","زو‎سگاط","smart","intelligent"
"خوراک","نظراک","انجکشن","انبتشن","dose","injection"
"ٹنکی","ینٹی","انجن","انضک","tank","engine"
"تال","نٹل","انداز","انمیز","rhythm","style"
"باہر","باھد","اندر","انمڈ","outside","inside"
"سایہ","ضاکہ","اندھیرا","اندھونے","shadow","dark"
"گھوںسلا","بعوںسلا","انڈہ","اغدہ","nest","egg"
"آدمی","آدوا","انسان","انگون","man","human"
"انتقام","اظتام","انصاف","انیتف","revenge","justice"
"اضافی انعام","اضافئٹانعام","انعام","انھوم","bonus","reward"
"نوبل","نورگ","انعام","انھوم","nobel","prize"
"ذریعہ","ھرغیعہ","مخبر","مگحر","source","informant"
"شخص","گجص","فرد","ورض","person","individual"
"جبلت","کصلت","وجدان","ڈجگان","instinct","intuition"
"وائرس","واٹاس","انفیکشن","انبرکشن","virus","infection"
"انگلی","انیچی","انگوٹھا","انگوپا","finger","thumb"
"قابل قدر","قاقمی","اہم","نقم","valuable","important"
"مطلب","مطدھ","اہمیت","ہرمیت","meaning","importance"
"نچلا","صچلا","اوپری","اوتمی","lower","upper"
"الہام","اگلاق","کشف","کفف","revelation","vision"
"وزن","رجن","اونچائی","اوبنائی","weight","height"
"جوہری","جودھی","ایٹمی","ایئتی","atomic","nuclear"
"فرم","ڈام","ایجنسی","ایالسی","firm","agency"
"نمبر","ٹھبر","ایڈریس","ایڈروں","number","address"
"ہارمون","ہانگون","ایڈرینالن","ایڈنسٹین","hormone","adrenaline"
"گلہری","گلپنی","ریکون","سیگوظ","squirrel","raccoon"
"اشارہ","اشاکز","عمل","یمٹ","gesture","act"
"بیان","لوان","اظہار","مظہاگ","describe","express"
"امید","نیید","ایمان","ایئرن","hope","faith"
"مہذب","مہجو","ایماندار","ایمالاار","decent","honest"
"وفاداری","بتاداری","ایمانداری","ایماسواری","loyalty","honesty"
"فوری طور پر","فوری طوررور","ایمرجنسی","ایمرکرسی","urgent","emergency"
"مکھی","مکات","چیونٹی","حیونٹگ","bee","ant"
"گیس","مپس","ایندھن","تاندھن","gas","fuel"
"اچھا","صوگق","برا","بغا","good","bad"
"دایاں","داکاد","بایاں","باداف","right","left"
"ماں","وؤں","باپ","یمپ","mother","father"
"شاور","یفور","باتھ روم","بالے روم","shower","bathroom"
"ملکہ","ملرت","بادشاہ","بامظاہ","queen","king"
"کلب","ہیب","بار","ببگ","club","bar"
"گن پا ؤڈ ر","گنظیر","ڑائنامائیٹ","گارذاکٹ","gunpowder","dynamite"
"ہاتھ","گاطھ","بازو","طاضو","hand","arm"
"بارود خانہ","ضاروگ غانہ","اسلحہ خانہ","ذگلہ بانہ","arsenal","armory"
"دیوار","کروار","باڑ","ٹاف","wall","fence"
"مینیجر","مینیقت","باس","یرس","manager","boss"
"یادگار","یابیار","بت","ضت","monument","statue"
"کہہ دو","کہیلدو","بتانا","سٹائیں","say","tell"
"سرین","بگین","چوتڑ","جوخر","ass","butt"
"ریجیمیںٹ","جیجیگنپ","بٹالین","خطا لظن","regiment","battalion"
"کرنٹ","ھکنٹ","بجلی","تجگی","current","electricity"
"مقناطیسی","ہاناطیسی","برقی","گبگی","magnetic","electric"
"جوانی","گواقی","بچپن","بچخی","youth","childhood"
"چھڑانا","ضراقا","بچانا","فجاما","rescue","save"
"شیرخوار","فیرصواس","بچہ","جطہ","baby","child"
"سروس","ردوس","بحالی","صگامی","service","maintenance"
"گفتگو","گفغزو","بحث","نیث","conversation","discussion"
"حالات","لیلات","بحران","طکرام","situation","crisis"
"سمندری","ومنگدط","بحریہ","جیریہ","marine","navy"
"کھانسی","سوانسی","بخار","ججار","cough","fever"
"ناگوار","ناگولی","بدصورت","گرمومت","disgusting","ugly"
"بد نصیبی","جط عصیقی","بدقسمتی","بد تمطتی","unfortunate","misfortune"
"پناہ گزین","پناہیڈزین","بگھوڑا","طگموڑل","refugee","fugitive"
"سماج","شطاج","گروہ","گرصوہ","society","community"
"سیدھا","براہرعاست","براہ راست","جیطا","direct","directly"
"شاھانہ","بادعافی","بادشاھی","صاکاقہ","royal","kingdom"
"استعفی","اسثقفی","برطرفی","برندفی","resignation","dismissal"
"الٹ","جلف","برعکس","کرمگف","opposite","contrary"
"بارش","بابس","برف","ویف","rain","snow"
"حفاظت","حفجوت","برقرار رکھنا","برقرارقتکھنا","preserve","maintain"
"دوست","دوھر","برادر","وکو","dude","bro"
"صنعت","صنمو","بزنس","ئرنس","industry","business"
"رگڑ","صمگر","خراش","صواش","scratch","bruise"
"ٹرین","فلین","بس","زل","train","bus"
"صوفہ","سولت","بستر","پیتر","sofa","bed"
"ہنس","نڈس","بطخ","چپخ","goose","duck"
"سفید","قیید","بلیک","بلات","white","black"
"رشوت","حدوت","بلیک میل","بلیکمشیل","bribe","blackmail"
"براؤن","برسان","بلیو","بلٹر","brown","blue"
"مقفل","ائد","بند","بوطک","locked","closed"
"کھلا","خھووا","بند","شنگ","open","close"
"خلیج","صلیگ","بندرگاہ","بندرابہ","bay","harbor"
"کھولنا","کھدینے","بندش","طھوگنا","opening","closure"
"بہن","طہن","بھائی","شیائی","sister","brother"
"بڑا","رآ","بہت بڑا","ھبت ظرا","big","huge"
"وزنی","جڑفی","بھاری","فھاری","heavy","heavily"
"پوتا","بیتا","بھتیجا","بھتیفا","grandson","nephew"
"تھکا ہوا","تھکاآلوا","بھوکا","وروک","tired","hungry"
"لانا","لافا","بھیجنا","بھنفا","bring","send"
"ریچھ","ریقھ","بھیڑیا","بھیگصا","bear","wolf"
"شریف","فکیھف","بہادر","تقادر","noble","brave"
"انتہائی","انچھافی","بہت","ڈوت","extremely","very"
"فخر","یصف","بہت پرجوش","بپپ پووصس","proud","excited"
"تبدیلی","تبویلی","بہتری","مجتری","change","improvement"
"اندھا","انٹھص","بہرا","الرا","blind","deaf"
"ذائقہ","ذابڑہ","بو","فم","taste","smell"
"گلاس","گلاط","بوتل","بوزد","glass","bottle"
"واشنگٹن","واشنیلن","بوسٹن","ٹکسٹن","washington","boston"
"بات کرنا","بابڑزرنا","بولنا","مولگط","talk","speak"
"شراب نوشی","صفاب بوسف","بیئر","بیطقط","drink","beer"
"تبصرہ","بجصرہ","بیان","لوان","comment","statement"
"سپرمین","صارمین","بیٹ مین","بیطامین","superman","batman"
"بیٹی","بیسا","بیٹا","بیطغ","daughter","son"
"کھڑا ھونا","ھڑوفوکا","بیٹھنا","بیسکنو","stand","sit"
"کمرہ","کملک","بیڈروم","بیلشوم","room","bedroom"
"اندرونی","اننیونی","بیرونی","بیروبا","internal","external"
"بحریہ","مطریہ","بیڑے","بیلچ","naval","fleet"
"اسٹیڈیم","اسٹیرام","بیس بال","بیشھبال","stadium","baseball"
"بیکار","یاکار","دو کوڑی کا","صوقوصیگا","useless","worthless"
"جام نوش کرنا","صاق گوق رنھا","سؤر کا گوشت","صوطرگا صوگج","toast","bacon"
"ڈبہ","دجہ","تھیلا","ڈیگا","box","bag"
"علیل","بیاکر","بیمار","صلیل","ill","sick"
"فلو","صکو","بیماری","صتمارق","flu","disease"
"آرکسٹرا","آراوٹرا","بینڈ","بیتو","orchestra","band"
"سادہ لوح","قاجہ جوہ","بیوقوف","بیسےوف","naïve","stupid"
"نادان","جاڈاق","احمق","اطگک","fool","idiot"
"پاگل پن","پاگلاجن","بیوقوفی","بیوکاجی","madness","stupidity"
"شوہر","سنہر","بیوی","بیائ","husband","wife"
"رحمدل","دجتل","فراخ دل","صواط فص","compassionate","generous"
"خلاباز","علاصاط","پائلٹ","پاروٹ","astronaut","pilot"
"راھب","رافب","پادری","پاسدی","monk","priest"
"استقبال","استقڈیل","پارٹی","پااڑی","reception","party"
"کوڈ","الڈ","پاس ورڈ","پابغورڈ","code","password"
"ٹکٹ","صکط","پاسپورٹ","پایوورٹ","ticket","passport"
"خوف میں مبتلا","ھوگ میص ممگوا","پاگل","پاطی","paranoid","crazy"
"چٹان","صٹاس","پتھر","خدھر","rock","stone"
"اعصاب","اعتداب","پٹھا","پمھا","nerve","muscle"
"سیکنڈری","سیکنچھی","پرائمری","پرائیشی","secondary","primary"
"نجی","عشی","پرائیویسی","پرائرزیسی","private","privacy"
"خاموش","خازنش","پرسکون","پردھون","quiet","calm"
"تجربہ","تجہیہ","پرکھ","پرقت","experiment","test"
"تتلی","تیبتی","پرندہ","رقندہ","butterfly","bird"
"شہزادی","فہراصدی","شہزادہ","فہراصدہ","princess","prince"
"زمین","ورین","اڑنا","ضڑکا","land","fly"
"لینڈنگ","لییمنگ","پرواز","پررڈز","landing","flight"
"اصول","خطول","پروٹوکول","پریتوکول","rule","protocol"
"ڈین","سلن","پروفیسر","پرنٹیسر","dean","professor"
"شوقین","شوووا","پروفیشنل","پریفیشمک","amateur","professional"
"منصوبے","منصورد","پروگرام","پریمرام","project","program"
"بٹن","گين","پریس","پریف","button","press"
"مداخلت","مدڈھلت","پریشان","پربتان","interrupt","disturb"
"مالکن","مااگن","پریمی","پروگی","mistress","lover"
"جھپٹنا","پکن طا","پکڑنا","ھبٹمنا","grab","catch"
"سیمنٹ","سیاتٹ","پلاسٹک","پلاستش","cement","plastic"
"کوچ","ساچ","پلیئر","پلمار","coach","player"
"پیالہ","پجافہ","پلیٹ","پلشی","bowl","plate"
"پناہ گاہ","جواہ داہ","پناہ لینا","جراہ طینا","refuge","shelter"
"روٹی","روپو","پنیر","ہویر","bread","cheese"
"سیب","صفیص","پھل","صھک","apple","fruit"
"پودا","عیدا","پھول","پھطر","plant","flower"
"سوال کرنا","معال صرنا","پوچھنا","صوطنا","question","ask"
"حالت","حاپل","پوزیشن","پولسشن","status","position"
"جوا","فوا","پوکر","ڈسکر","gambling","poker"
"خوش طبع","خوگصبع","دلکش","ٹلکت","sweet","cute"
"اچھا","صوفقا","پیارا","کسارا","nice","lovely"
"لہسن","جدسن","پیاز","پورط","garlic","onion"
"بھوک","بھبر","پیاس","تناس","hunger","thirst"
"ریڑھ","بیڑق","پیٹ","صیٹ","spinal","abdominal"
"بنانا","بندان","پیداوار","پیدامور","create","produce"
"فیکٹری","فینوری","پیداوار","پیدامور","factory","production"
"سیکشن","سیٹھن","پیراگراف","پیرالباف","section","paragraph"
"نقدی","صصدی","رقم","وقم","cash","money"
"خون","فحو","پیشاب","دیداق","blood","urine"
"انتباہ","لوصرار","پیغام","پیظیم","warning","message"
"لفافے","لفهنے","پیکیج","پیاچج","envelope","package"
"سرخ","دوخ","پیلا","پیرا","red","yellow"
"آرٹسٹ","آرففٹ","پینٹر","پیاگر","artist","painter"
"آلودگی","آلوداء","تابکاری","تاوداری","contamination","radiation"
"کیبل","گیجل","تار","ارر","cable","wire"
"تازه","تارت","تازگی بخشنا","تازطی ببشکا","fresh","refresh"
"اغوا","افکاہ","تاوان","چروان","kidnapper","ransom"
"تخلیق","ححلیف","تباہی","نہاہی","creation","destruction"
"پوسٹ مارٹم","پوسٹروارٹم","تجزیہ","مبزیہ","autopsy","analysis"
"تجویزدینا","مبویف بونو","مشورہ دینا","مشکدط درگم","propose","suggest"
"تعریف","شکریف","تحفہ","تحلک","compliment","gift"
"کیپسول","کیپسکا","جراحی قینچی","جواپی طینحی","capsule","probe"
"جانچ پڑتال","چانج پرپاپ","تفشیش کرنا","نمنیش رکوص","examine","investigate"
"تجزیہ کار","تجزیزاکار","تفتیش کرنے والا","تفصیص کمبے باکا","analyst","investigator"
"تاج","جھد","تخت","صرت","crown","throne"
"تخیل","تخری","تخلیقی صلاحیت","تخلیقی صلاوتت","imagination","creativity"
"کمانڈ","آرانڈ","آرڈر","آرجدب","command","order"
"پیش قدمی","ترھح","ترقی","پیط فصگی","progress","development"
"سوپ","یلپ","سلاد","سصاد","soup","salad"
"چکن","ثزن","ٹرکی، فیل مرغ","تریو","chicken","turkey"
"مشاہدہ","مکاطدہ","تشخیص","تشقوص","observation","evaluation"
"عذاب","دجاب","تشدد","حسدد","torment","torture"
"چیک کرنا","گنک","تصدیق","چیگ گوما","check","verify"
"کنفرم کرنا","دےدیق","کنفرم","بودیق","confirmation","confirm"
"حقیقت","حقاخت","تخیل","دہور","reality","fantasy"
"حیرت انگیز","حیرتتڑنگیز","بہترین","صہکرین","wonderful","fantastic"
"تصویر","ویر","فوٹو","صوٹت","picture","photo"
"تصور","ورمم","تعریف","لیریف","concept","definition"
"صحت","اتت","تعلیم","میلیم","health","education"
"ہیجان شہوت","جیجاپ شتوس","عضو کی ایستادگی","لصوجی گیشبادوی","orgasm","erection"
"تعمیر کرنا","صعضیرگنمی","بنانا","صطاگا","construction","build"
"جمع","فمعک","تفریق","ازریق","plus","minus"
"پروفائل","پروفودل","تفصیل","لنصیل","profile","description"
"رسم","رطک","تقریب","ریویس","ritual","ceremony"
"مظہرقدرت","مجصط جدمکت","تقریب","رگیس","phenomenon","event"
"جہالت","اذالت","تکبر","وزبر","ignorance","arrogance"
"آواز","آزاقز","تلفظ","جلطص","voice","accent"
"ٹرافی","ٹرکچی","تمغہ","تمئق","trophy","medal"
"تنازعہ","تنازیش","جھگڑا","جنگرٹ","conflict","dispute"
"پینشن","پیےان","تنخواہ","تنصیاہ","pension","salary"
"سنیما","شگیما","تھیٹر","تھےجر","cinema","theater"
"ثقافت","حقاصط","تہذیب","بٹذیب","culture","civilization"
"طاقت","چاصٹ","توانائی","تونہائی","power","energy"
"رسالہ","رسریہ","توپ خانے","توپ ائنے","cavalry","artillery"
"نقطہ ارتکاز","نجبگہ اربغاڑ","توجہ مرکوز کرنا","تججہ مسورگمو","focus","concentrate"
"انتظار","انبغار","توقع","توحت","wait","expect"
"کمبل","کمھا","تولیہ","توروہ","blanket","towel"
"مستعد","مصددک","تیار","یباٹ","ready","prepare"
"ڈوبنا","جوسجا","تیرنا","فیگنا","drown","swim"
"سست","قيت","تیز","گطو","slow","fast"
"کوئلہ","کواضہ","تیل","نشل","coal","oil"
"ایک","یٹک","تین","ججغ","one","three"
"شہادت","شکافف","ثبوت","وتغو","evidence","proof"
"ڈیٹونیٹر","ڈیتصنیٹر","ٹائمر","ٹاچور","detonator","timer"
"باندھنا","پاٹھمنا","رسی وغیرہ سے باندھنا","جطی وجیگہ جے جا نکھجا","bind","tie"
"سینسر","سیدیر","ٹرانسمیٹر","ٹرانیٹیٹر","sensor","transmitter"
"دگنا","صیت ونا","تین گنا","کمپل","double","triple"
"جیپ","امپ","ٹرک","صرٹ","jeep","truck"
"جلد","تمد","ٹشو","عغم","skin","tissue"
"حصہ","خفہ","ٹکڑا","ککما","fragment","piece"
"آلو","آشص","ٹماٹر","ٹمئزر","potato","tomato"
"قیلولہ کرنا","جیجولہ کرما","چہل قدمی کرنا","بہل جدجی ورفا","nap","stroll"
"ہیلمٹ","ہیگمل","ٹوپی","ٹکصی","helmet","hat"
"طریقہ","طرردہ","تکنیک","جگنیپ","method","technique"
"استعداد","جشتشداج","قابلیت","قجالیص","potential","talent"
"کال","غضش","ٹیلی فون","ٹیلیالون","call","telephone"
"ریڈیو","ریکرو","ٹیلی ویژن","ٹیلیپلیژن","radio","television"
"لیگ","ججگ","ٹیم","نٹم","league","team"
"گالف","گا لط","ٹینس","پجسص","golf","tennis"
"داخل ہونا","ڑاصل جوبا","جانا","ساخا","enter","go"
"جادو","خاڈو","جادوگر","ذاگوگم","magic","wizard"
"آگے بڑھنا","لاجے گرصمو","جاری رکھنا","جافی طکھما","proceed","continue"
"ایجنٹ","اییرٹ","جاسوس","جاٹیس","agent","detective"
"کالج","کاپہ","یونیورسٹی","چونگیکرسٹے","college","university"
"حادثاتی طورپر","حادثمد حودہر","جان بوجھ کر","طام حوج در","accidentally","intentionally"
"تسلیم کرنا","مطفلیم کمجا","جانتا تھا","جانتٹوتھا","recognize","knew"
"ابھی","ابنس","جاننا","جاوگا","now","know"
"درندہ","ھرھنجہ","جانور","خانٹر","beast","animal"
"عدالت","صداٹٹ","جج","پغ","court","judge"
"دماغی","دمیڑی","جذباتی","مصباتی","mental","emotional"
"ولولہ","صلصلہ","جذبہ","گجبہ","enthusiasm","passion"
"گناہ","سعصہ","جرم","نڈم","sin","crime"
"جنسی","غصاسی","جسمانی","ججگاسی","sexual","physical"
"گردہ","گرصذ","جگر","ممگ","kidney","liver"
"عظیم الشان","خجیم الداط","شان وشوکت","ضام وچوگد","glorious","glory"
"آہستہ آہستہ","آ ششتہ آششتہ","جلدی جلدی","آئدی آئدی","slowly","quickly"
"جمع کرنا","حٹع رکفا","اکھثا کرنا","الگصق گرفا","collect","gather"
"ڈکشنری","ڈکھوری","جملہ","ببلص","dictionary","phrase"
"لفظ","اضظ","فقرہ","قگرق","word","sentence"
"آزادی","آڈاجی","جمہوریت","جمامریت","freedom","democracy"
"تابوت","بمبوت","جنازہ","ججاوہ","coffin","funeral"
"ایک قسم کا درخت","ایق رسکم گا درگد","ایک قسم کی جھاڑی","ایک رگسم گی دھاڈی","ming","ling"
"جنگ","ڈجف","لڑائی","ڑڑائی","war","battle"
"فوجی","نگجی","جنگجو","جنشنو","soldier","warrior"
"فارسٹ","قارگٹ","جنگل","جنرج","jungle","forest"
"اکھاڑہ","دگھاڈہ","جنگ کا میدان","بنگ گا دیگام","arena","battlefield"
"دریا","ائیا","جھیل","نڈیل","river","lake"
"ملاح","ضلاھ","جہاز","جہوہ","crew","ship"
"جنت","ججب","جہنم","دھنت","paradise","hell"
"جواب دینا","جیاج فیما","جواب","جیاج","answer","reply"
"بوٹ","ھوز","جوتا","جوشص","boot","shoe"
"قابو کرنا","طامو درلا","سازباز","جاق جاص","control","manipulate"
"جون","ججد","جولائی","ھوھلاٹی","june","july"
"رومیو","زوقجو","جولیٹ","سوگیط","romeo","juliet"
"سینئر","شیگين","جونیئر","جوجنئر","senior","junior"
"ٹھیک ہے","ٹھیکطفے","جی ہاں","جيڑان","okay","yeah"
"حاصل کرنا","حاصلجبرنا","جیت","متت","gain","win"
"شرٹ","صرپ","جیکٹ","گیطٹ","shirt","jacket"
"کوٹھری","گوڈھزی","جیل","طید","cell","prison"
"ڈائمنڈ","ڈائمشہ","گوھر","ڈوعر","diamond","jewel"
"چوسنا","خوچما","چاٹنا","چاچطا","suck","lick"
"دو","وق","چار","وور","two","four"
"پھندہ","صھنگہ","چارہ","خاحہ","trap","bait"
"تلوار","ویوار","چاقو","چاچس","sword","knife"
"چینی","صیصی","چاکلیٹ","چاکلہو","sugar","chocolate"
"نگلنا","حگلما","چبانا","بباطا","swallow","chew"
"کریم","گگیق","چٹنی","ققطی","cream","sauce"
"میلہ مویشیاں","بیبہ قوحیسیان","گوالا","گگالا","rodeo","cowboy"
"دوڑنا","طوزقا","چلنا","گگلقا","run","walk"
"اجازت دینا","آدابج دیگو","مزاحم نہ ہونا","صصاصم نہ جوجا","allow","let"
"کور کرنا","گبد کصنا","چھپانا","ہوہادا","cover","hide"
"مینڈک","میرتک","چھپکلی","چھغالی","frog","lizard"
"کرسمس","کرہگس","چھٹی","جھسی","christmas","holiday"
"چڑھنا","فڑھما","چھلانگ","فھگانط","climb","jump"
"ننھا","خنھا","چھوٹا","حھولا","little","small"
"چھوڑ دینا","دھوڈجیما","ترک کرنا","حضک درما","leave","abandon"
"تیسرا","تیتگا","چوتھا","خوپھا","third","fourth"
"زخم","یهم","چوٹ","مپٹ","wound","injury"
"ماؤس","فا‌‏ئوش","چوہا","لوصا","mouse","rat"
"چرچ","ونچ","گرجا","جرفآ","church","chapel"
"پیروی کرنا","بیربی ررنا","پیچھا کرنا","دیچھا درما","follow","chase"
"رکاوٹ","مناوٹ","چیلنج","بولنج","obstacle","challenge"
"مقابلہ","مقابار","چیمپئن شپ","چیویئن شپ","competition","championship"
"واقعہ","واوسہ","حادثہ","ذادقہ","incident","accident"
"ابھی ابھی","دبھی دبھی","حال ہی میں","ساض ہی گیں","just","recently"
"وفاقی","آواقی","ریاست","جیاجت","federal","state"
"پیدائش","پیداگس","حمل","یگل","birth","pregnancy"
"قسم کھانا","ببم نھاما","حلف","صطف","swear","oath"
"شمار","تبار","حساب","تشاب","count","calculate"
"نازک","ناپڑ","حساس","وداس","delicate","sensitive"
"سیکورٹی","سیکوشیی","حفاظت","جذاظت","security","safety"
"رجائیت پسند","ڑھائبت ببند","حقیقت پسندانہ","ہزیقت پسندانہ","optimistic","realistic"
"سچ","ئۃ","حقیقی","حقدنی","TRUE","real"
"منصوبہ","منصوکر","حکمت عملی","مکبت رصلی","plan","strategy"
"انتظامیہ","امتمامبہ","حکومت","خفومت","administration","government"
"چڑھائی","ذڑھا‏گی","حملہ","بکلہ","invasion","attack"
"مظلوم","غالوم","حملہ آور","حملہگوور","victim","attacker"
"تحریک دینا","دھدید ذیما","الہام","قلہام","inspire","inspiration"
"کیمسٹری","دامسٹری","حیاتیات","نساتیات","chemistry","biology"
"کیمیائی","کیلگائی","حیاتیاتی","بتاتیاتی","chemical","biological"
"متاثر کن","متیار کن","حیرت انگیز","حیرتوؤنگیز","impressive","amazing"
"غلام","ھلاص","خادم","داخم","slave","servant"
"خاموش","خازنش","خاموشی","خانوچی","silent","silence"
"قبیلہ","صفیلہ","خاندان","خاجھان","clan","family"
"مندر","دندر","خانقاہ","خالیاہ","temple","monastery"
"چینل","ٹیمنل","خبریں","گگریں","channel","news"
"آخر","رتر","ختم","نٹم","end","finish"
"ضائع","فائع","خرچ","صرس","waste","spend"
"لومڑی","لوعزی","خرگوش","ٹاگوش","fox","rabbit"
"بیچنے والے","جیجنے وایئش","خریدار","خرعمار","seller","buyer"
"بہار","پپار","خزاں","جخاں","spring","autumn"
"ٹیلیگرام","ٹیداگرام","خط","صط","telegram","letter"
"پرخطر","صرحفر","خطرناک","خطبےاک","risky","dangerous"
"خدشہ","فگشہ","خطرہ","بطرا","risk","danger"
"ڈراؤنا خواب","ڈریننا خواب","خواب","مہاب","nightmare","dream"
"آرزو","راربو","خواہش","خوینش","desire","wish"
"پیارا","ھیارا","خوبصورت","خوبصابت","pretty","beautiful"
"فیشن پرست","فیصن بربق","نفیس","جفیش","fashionable","elegant"
"دلکشی","بلگسی","خوبصورتی","خوابورتی","charm","beauty"
"ضدی","دطی","خود غرض","خومصغرض","stubborn","selfish"
"دوربین","دوسرین","خوردبین","خوردخان","telescope","microscope"
"مطمئن","مطثان","خوش","ڑوس","satisfied","happy"
"سرخی","صڑکی","خوشبو","خویحو","lipstick","perfume"
"آرام دہ","آطانبے","خوشگوار","خولاوار","comfortable","pleasant"
"سراب","فواب","واہمہ","ہاہمہ","illusion","hallucination"
"مسرت","جگرت","خوشی","درشی","pleasure","joy"
"دہشت","طہشط","خوف","تكف","horror","fear"
"ڈرانا","فگانا","خوفزدہ کرنا","چوگزبہ کرما","scare","frighten"
"ہولناک","ولفاک","خوفناک","خوبتاک","terrible","horrible"
"خروج","جووخ","داخلہ","داجدہ","exit","entrance"
"دادا","اجدا","دادی","دالح","grandfather","grandmother"
"بال","ڑال","داڑھی","دانبی","hair","beard"
"ناخن","گاکن","دانت","داين","nail","tooth"
"ارتعاش","زرگعاس","دباؤ","ککاط","pulse","pressure"
