"hi_cue","hi_fake_cue","hi_target","hi_fake_target","en_cue","en_target"
"आनंद","खेंद","हर्ष","टू्ष","pleasure","joy"
"आना","इलया","आइए","ततए","arrive","come"
"आने वाला कल","आने य्तज्ज","प्रभात","प्षमता","tomorrow","morning"
"आपरेशनल","आपरेयक्ति","कार्यात्मक","करुम्भिक","operational","functional"
"आबादी","रैादी","लोग","कॉग","population","people"
"आभारी","गदारी","धन्यवाद","ध्न्लेन","grateful","thank"
"आम","पोह","कर्नल","करदीर","general","colonel"
"आयोग","गोघ","समिति","समरवि","commission","committee"
"आरामदायक","आरामंबकीय","सुखद","सुपी","comfortable","pleasant"
"आर्थिक रूप से","आर्थिवार सेना","फाइनेंसिंग","फाइने देना","financially","financing"
"आलू","भी","टमाटर","टमराव","potato","tomato"
"आवरण","पेक गन","छिपाना","छिसेना","cover","hide"
"आवाज़","घााज़","लहज़ा","लहअसा","voice","accent"
"आवृत्ति","आवत्तीय","संकेत","संअंत","frequency","signal"
"आशा","चैा","आस्था","आसगला","hope","faith"
"आशावादी","आशाल की","वास्तविक","वास्यारा","optimistic","realistic"
"आश्चर्य","आश्नियर","निराशा","निपोशा","surprise","disappointment"
"आँसू","ओफ़्फ़","कट गया","कट्यास","tear","cut"
"इकाई","स्पिद","विभाजन","विरैगन","unit","division"
"इंजीनियर","इंजभिन्न","वास्तुकार","वासकुमारी","engineer","architect"
"इंटरनेट","इंटभाजन","वेब","खाब","internet","web"
"इंतिहान","इंभिन्न","निरीक्षण","निरात्मक","examination","inspection"
"इनकार","इन्षण","स्वीकार करें","स्वीबीन करना","refuse","accept"
"इस्तीफा","इसरतिभा","पदच्युति","पदचज्ञता","resignation","dismissal"
"ईर्ष्या","ईरवश्यक","गुस्सा","गुस्थि","jealous","angry"
"उंगली","हिङ्लिश","अंगूठा","अंगूकी","finger","thumb"
"उच्च श्रेणी का वकील","उच्च श्रक प्रवृत्ति","लेफ्टिनेंट","लेफ्थ होना","sergeant","lieutenant"
"अपहरणकर्ता","अपहरणके से ही","फिरौती","गेरौती","kidnapper","ransom"
"उत्तर","उतवान","जवाब","अजाब","answer","reply"
"उत्तेजित करनेवाला","उत्तेजित्ष यात्री","दिलचस्प","दिलगरेट","exciting","interesting"
"उत्प्रेरक","उत्पकृष्ट","सक्रिय","सकर्शन","trigger","activate"
"उद्योग","उदरयास","व्यापार","व्यंत्र","industry","business"
"उपकरण","उपक़दमी","लैस","वकस","equipment","equip"
"लक़ब","उप्तर","उपनाम","उपलता","nickname","surname"
"उपयोगी","उपयवाद","प्रभावी","प्जधानी","useful","effective"
"उपस्थिति","उपसीविजन","अनुपस्थिति","अनुपत करना","presence","absence"
"उफौ","अटौ","विदेशी","विदेील","ufo","alien"
"उमंग","मुम्बग","जुनून","रहनून","enthusiasm","passion"
"उम्मीदवार","उम्मड़पति","मतदाता","मत्तान","candidate","voter"
"नकली","जीली","असत्य","असेटर","fake","FALSE"
"ऊपर","वेअर","तल","घय","top","bottom"
"एक","इर","तीन","सैन","one","three"
"अकेला","सेेला","विवाहित","विलासिक","single","married"
"एजेंट","एजलूट","जासूस","जाविस","agent","detective"
"एड्स","एडसा","hiv","धेव","aids","hiv"
"एल्बम","एलटसन","गीत","झूत","album","song"
"एश","यक","धूल","इलल","ash","dust"
"एस्पिरिन","एस्त्रता","अफ़ीम का सत्त्व","आफ़िम श्यत्रि","aspirin","morphine"
"एहसास","एहएनए","समझ गए","समझर्बन","realize","understand"
"ऑर्केस्ट्रा","ऑर्करेक्ष्य","बैंड","पुन्ध","orchestra","band"
"ओगाज़्म","ओगानॉयड","खड़ा होना","खड़न करना","orgasm","erection"
"ओंठ","मठठ","गाल","अधल","lip","cheek"
"ओवन","लैन","स्टोव","स्आयव","oven","stove"
"कक्ष","ककशा","शयनकक्ष","शयनकरहालय","room","bedroom"
"कक्ष","किक्श","कारागार","काामारी","cell","prison"
"कक्षा","ककरना","स्कूल","स्सफल","class","school"
"कूड़ा","घृरा","कचरा","लूरा","trash","garbage"
"कटोरा","तनोरा","प्लेट","प्शॉट","bowl","plate"
"कठिन","सबिन","मुश्किल","मुत्रिम","tough","hard"
"कदम","तंम","स्थानांतरण","स्थारृंखला","move","transfer"
"कंधा","चोधा","घुटना","प्क़्ब्स","shoulder","knee"
"कप","एह","कॉफ़ी","वैफ़ी","cup","coffee"
"कपड़ा","आतड़ा","रूमाल","रूपहल","cloth","handkerchief"
"कंपनी","मकपनी","निगम","निछल","company","corporation"
"कंबल","आधबल","तौलिया","तौराया","blanket","towel"
"कभी - कभी","कभकित्सा","अक्सर","अकएनए","sometimes","often"
"कभी - कभी","कब्सिव्व","शायद ही कभी","शायद का हार","occasionally","rarely"
"कभी नहीँ","कभीतिज्ञ","कभी","व्कि","never","ever"
"कम","उय","उच्च","उचने","low","high"
"कम","ऐव","अपर","ब्र","lower","upper"
"कम","प्फ़","लंबा","लंयक","short","long"
"कम समझना","कम सवश्यक","अतिरंजना करना","अतिरंज्टोरेंट","underestimate","exaggerate"
"कमांडर","कमियार","कप्तान","कपलवार","commander","captain"
"कमीज","कममा","जैकेट","इसकेट","shirt","jacket"
"करोड़पति","करोंदरता","उद्यमी","उदरयास","millionaire","entrepreneur"
"कर्मी दल","करेल कि","समुंद्री जहाज","समुंदिम्मेदार","crew","ship"
"कला","र्शा","साहित्य","साभिन्न","art","literature"
"कलाकार","कलार्थ","चित्रकार","चिततकालय","artist","painter"
"कलेक्ट","कलयर्थ","इकट्ठा करना","इकट्ठ्भाग्य","collect","gather"
"कल्पना","कलर्शन","रचनात्मकता","रचनाततनवादी","imagination","creativity"
"कल्पित कथा","कल्प्ताहिक","दंतकथा","देव्लोप","myth","legend"
"कवि","जिओ","लेखक","लेषय","poet","writer"
"कष्ट","कषपी","दर्द","दरशप","suffering","pain"
"कसम खाता","कसमबत्ती","क़सम","क़िन","swear","oath"
"और कहीं","औरयक्रम","कहीं","कह़े","elsewhere","somewhere"
"कहो","चेो","बताओ","बतणा","say","tell"
"काउंटी","कांचटी","जिला","एय्ला","county","district"
"कागज़","काचड़","कलम","हैम","paper","pen"
"कांच","काबल","बोतल","फातल","glass","bottle"
"कानून","कातान","संविधान","संरिमास","law","constitution"
"रोजगार","असम","काम","तिम","job","work"
"प्लेबॉय","प्काबला","पत्रिका","पत्मकता","playboy","magazine"
"कारण","कादा","वजह","गणह","reason","cause"
"कार्बन","कासर्ट","हाइड्रोजन","हाइडनीयता","carbon","hydrogen"
"कार्यशाला","कार्यास्त","गेराज","मैराज","workshop","garage"
"कालोनी","काधमनी","फेडरेशन","फेडजकता","colony","federation"
"किराये का","किार करना","किराया","पहराया","hire","rent"
"किराये का","किर घय्ना","हत्यारा","हतवस्था","mercenary","assassin"
"किरायेदार","किर्तुकार","मकान मालिक","मकान पुण्य","tenant","landlord"
"किलो","किनि","ग्राम","पहराम","kilo","gram"
"किलोमीटर","किलरोटीन","मीटर","मीशा","kilometer","meter"
"किशोर का","त कथा","किशोर","किमार","teenage","teenager"
"किसान","कियौन","मज़दूर","मजस्तर","farmer","worker"
"की जांच","मक जांच","छान - बीन करना","चन्बुशनी","examine","investigate"
"स्वस्थ होना","स्वसका भोजन","ठीक होना","ठीह देना","recover","heal"
"कीचड़","खाचड़","रेत","दरत","mud","sand"
"कीड़ा","दिड़ा","साँप","सालक","worm","snake"
"कुछ नहीं","कुह देना","कोई चीज़","कोतावेज़","nothing","something"
"कुत्ता","आधत्ता","बिल्ली","बिनकली","dog","cat"
"कुलाधिपति","कुल्धिमान","अध्यक्ष","अध्स्वी","chancellor","president"
"केंद्र","केंदंड","ध्यान केंद्रित करना","ध्यान केेणी का वकील","focus","concentrate"
"केबल","भूबल","वायर","वा","cable","wire"
"केबिन","भूबिन","डेक","पोक","cabin","deck"
"केला","मूला","स्ट्रॉबेरी","स्ट्टिनेंट","banana","strawberry"
"सरलता से","सरलतकालय","सरल","दूल","simply","simple"
"केश","दरश","दाढ़ी","उपढ़ी","hair","beard"
"कैथोलिक","कैरीरिक","ईसाई","झााई","catholic","christian"
"कैप्सूल","कैप्पणी","जांच","जाशा","capsule","probe"
"कैमरा","खिमरा","माइक्रोफ़ोन","माइक्रॉबेरी","camera","microphone"
"कोकीन","असकीन","हेरोइन","हेरोमि","cocaine","heroin"
"कोच","चिच","खिलाड़ी","हमलाड़ी","coach","player"
"कोड","गरड","पासवर्ड","पास़दमी","code","password"
"कोने","कोखद","गली","यई","corner","alley"
"कोयला","कोवना","तेल","न्ल","coal","oil"
"कोर्ट","कोसनट","न्यायाधीश","न्य्यांकन","court","judge"
"कोशिश करो","कोशिश्वास","प्रयास","प्तमान","try","attempt"
"कोसना","कोकीा","डायन","डाोप","curse","witch"
"क्या","सुया","वह","झन","what","that"
"क्रमागत उन्नति","क्रमागत्टिनेंट","परिवर्तन","परिवमान्य","evolution","mutation"
"क्रिसमस","क्रलियट","छुट्टी का दिन","छुट्ली की छाप","christmas","holiday"
"क्रूर","सरूर","निर्दयी","निवर्ची","brutal","cruel"
"क्रोध","क्षाध","तेज़ी","इनज़ी","anger","rage"
"क्लब","क्चा","मधुशाला /बार","मधुश संस्कार","club","bar"
"क्षमता","कथ्न","योग्यता","योरूरता","capacity","ability"
"क्षमता","कवना","प्रतिभा","पवित","potential","talent"
"क्षमा करना","क्षम्राज्य","क्षमा करें","क्षबीन करना","forgive","excuse"
"क्षेत्रफल","क्पोर्ट","क्षेत्र","क्पोर्ट","area","zone"
"क्षेत्राधिकार","क्षेतद्योगिकी","अधिकार","अधापौर","jurisdiction","authority"
"क्षेत्रीय","क्षास्थ्य","स्थानीय","सवनयध","regional","local"
"खजाना","ऊराना","संपत्ति","सव्थिव्क","treasure","wealth"
"खड़ा होना","खडता देना","बैठिये","बैठिेऊ","stand","sit"
"खरीदना","खरमानव","बेचना","बेरसा","buy","sell"
"खरोंच","खराबच","चोट","कंट","scratch","bruise"
"खाड़ी","चौड़ी","बंदरगाह","बंदुरोध","bay","harbor"
"खाना","कह्ल्न","भोजन","इलजन","food","meal"
"खाली","खा़","भरा हुआ","भराक्षर","empty","full"
"खांसी","खा्मी","बुखार","बुसेर","cough","fever"
"खिड़की","हेड़की","द्वार","शैवार","window","door"
"खुराक","उडराक","इंजेक्शन","इंजित्सक","dose","injection"
"खुला हुआ","खुरा भाई","बंद करना","बंदर्माण","open","close"
"गड्ढा करना","गड्ज्ञान","गाड़ना","गाआधा","dig","bury"
"गंदा","गुनथ्ना","घिनौना","आओनौना","dirty","disgusting"
"गधा","धो","घोड़ा","मकड़ा","donkey","horse"
"गपशप","गप्षण","कांड","कालो","gossip","scandal"
"होश में","मकश में","नशे में","अमे में","sober","drunk"
"कब्र","सौऋ","कब्रिस्तान","कब्रम्हांड","grave","cemetery"
"गरज","किज","तोड़ना","पंड़ना","smash","break"
"गरम","असम","ठंडा","भौडा","warm","cool"
"गरम","मसम","सर्दी","दू्दी","hot","cold"
"गरीब","गरफल","धनी","बुरी","poor","rich"
"गरीबी","किबी","कष्ट","कषनो","poverty","misery"
"गर्मी","आत्मी","सर्दी","दू्दी","summer","winter"
"गर्मी","क़ेर्त्मी","तापमान","ताेलना","heat","temperature"
"गर्व","गरयन","जोश में","इंश में","proud","excited"
"गलत","यात","सही","अकी","wrong","correct"
"गला","मका","गर्दन","गरानक","throat","neck"
"गाय","पेय","सूअर","सूंक","cow","pig"
"गायक","गाकर","संगीतकार","संग्यवान","singer","musician"
"गारंटी","त्रंटी","वादा","र्दा","guarantee","promise"
"गिनती","अतनती","आंकलन","आंनाक","count","calculate"
"गिरना","अतरना","ढहना","वफना","fall","collapse"
"गिरोह","हेरोह","समूह","समगण","gang","group"
"गिलहरी","गिपकली","रैकून","रैयान","squirrel","raccoon"
"गुड़िया","सोड़िया","खिलौना","कभलौना","doll","toy"
"गुनगुनाहट","गुनगीविजन","झंकार","फैकार","ping","ding"
"गुप्त","गुमौत","रहस्य","रहनाम","secret","mystery"
"गुर्दा","गुर्ड़","यकृत","यकजन","kidney","liver"
"गेलरी","गेाही","प्रदर्शनी","प्रदीमन्त","gallery","exhibition"
"गैस","घृस","ईंधन","दवधन","gas","fuel"
"गोल","बकल","चारों तरफ","चारिश करो","round","around"
"कैप्सूल","सहली","गोली","दूली","tablet","pill"
"गोल्फ़","गोल्मठ","टेनिस","न्निस","golf","tennis"
"गौरव","ससरव","गरिमा","गरंता","pride","dignity"
"ग्रह","ग्चा","ग्रहकक्ष","ग्रहत्कृष्ट","planet","orbit"
"घटना","बोना","प्रतिस्पर्धा","प्रति्ध करना","phenomenon","event"
"घटना","क़ेना","दुर्घटना","दुरष्ट्र","incident","accident"
"घटित होना","घटितीक्षा","होना","गलना","occur","happen"
"घातक","पजतक","जानलेवा","जािनेता","deadly","fatal"
"घाव","मरव","चोट","केञ","wound","injury"
"घुड़सवार सेना","घुड़सक रूप से","आर्टिलरी","लजह्बी","cavalry","artillery"
"घृणा","घृआओ","प्यार","प्विर","hate","love"
"घृणित","घृागत","कुरूप","गलरूप","disgusting","ugly"
"घोंघा","धनंघा","कछुआ","तसुआ","snail","turtle"
"घोंसला","लंंसला","अंडा","अंंद","nest","egg"
"छल्ला/घेरा","छ्लदेना","गले का हार","गले ही कभी","ring","necklace"
"चटनी","टुनी","मेयोनेज़","मेई चीज़","ketchup","mayonnaise"
"चट्टान","चटर्ता","पत्थर","पतायन","rock","stone"
"चढना","वंना","कूदना","एलदना","climb","jump"
"चमक","अचक","चमकदार","चमकर्षक","shine","bright"
"चम्मच","चमराव","कांटा","काछ","spoon","fork"
"चरित्र","चरकल्प","व्यक्तित्व","व्यक्ञानिक","character","personality"
"चर्च","हे्च","चैपल","चैआग","church","chapel"
"चलाना","एडाना","सवारी","एहारी","drive","ride"
"चश्मा","यू्मा","टोपी","टोखक","glasses","cap"
"चाचा","चाधि","पिता","योता","uncle","dad"
"चांद","चादी","रवि","मरि","moon","sun"
"च्नद्र","च्नीकी","सौर","धुर","lunar","solar"
"चापलूसी","चाुसूची","प्रभावित करना","प्रभावकक्ष","flatter","impress"
"चाभी","पतभी","लॉक","आसक","key","lock"
"खिलाना","खिलाइव","खाओ","मकओ","feed","eat"
"चिकित्सा","चिज्ञान","इलाज","यकाज","therapy","treatment"
"चिड़ियाघर","चिडक्यांश","सर्कस","सरवार","zoo","circus"
"वास्ता","चि़का","चिंता","असंता","concern","worry"
"चिंतित","चिंतमन","बेचैन","बेरचन","worried","nervous"
"चित्र","नृत्र","तस्वीर","तस्तान","picture","photo"
"चीनी","टिनी","चॉकलेट","चॉमेलन","sugar","chocolate"
"चुनना","कमनें","चुनें","बिनें","choose","select"
"चुप","रिप","शांत","शासी","quiet","calm"
"चुंबकीय","पोतिया","बिजली","कमजली","magnetic","electric"
"चुम्मा","चुम्गल","झप्पी","कह्पी","kiss","hug"
"चोर","नीर","अपराधी","अपरहार","thief","criminal"
"चुराना","चुचढना","लूटना","टीटना","steal","rob"
"चूसना","टोसना","चाटना","योटना","suck","lick"
"माउस","फोहा","चूहा","दसहा","mouse","rat"
"चेतावनी","चेंसनीय","अलार्म","अलापौर","alert","alarm"
"चेतावनी","चेंसनीय","संदेश","संवाश","warning","message"
"चैनल","नौनल","समाचार","सम्यास","channel","news"
"चैंपियन","चैपिरिन","योद्धा","योद्ंग","champion","fighter"
"चोरी होना","बेतिकर्न","लूट","फोट","theft","robbery"
"छड़ी","धक़ी","हथौड़ा","गतौड़ा","stick","hammer"
"छल","य्म","मज़ाक","मजलॉक","trick","joke"
"छात्र","सैत्र","अध्यापक","अछत","student","teacher"
"छुट्टी","सपट्टी","छोड़ देना","छोश्करना","leave","abandon"
"ज़ंग खाया हुआ","ज़ंग्ष यात्री","मटमैला","मट्लाक","rusty","dusty"
"जंगल","दीगल","वन","सू","jungle","forest"
"जंजीर","पैजीर","रस्सी","रससदी","chain","rope"
"भीड़","इतड़","दर्शक","दरकरण","crowd","audience"
"जनरेटर","जनरपताल","रिएक्टर","रिएवाजा","generator","reactor"
"जन्म","हम्म","गर्भावस्था","गर्भक होना","birth","pregnancy"
"ज़रूरी","कुरूरी","ज़रूरत","ज़किरण","necessary","need"
"ज़हर","ज़्म","वध","नट","poison","kill"
"जाँच","जाजा","जांचना","जासेना","check","verify"
"जाज","केज","संगीत","संख्त","jazz","music"
"नस्लवादी","नसुबी","साम्यवादी","सामक्यांश","racist","communist"
"जादू","जा्फ","जादूगर","जालवार","magic","wizard"
"पशु","जा्षण","जानवर","जा्षण","beast","animal"
"जाल","गेल","प्रलोभन","प्रर्मी","trap","bait"
"जासूस","जाविस","गद्दार","गदिणाम","spy","traitor"
"जासूसी","जासूठा","तोड़-फोड़","तोप्लोमा","espionage","sabotage"
"ज़िद्दी","ज़हर्दी","स्वार्थी","स्पदार्थ","stubborn","selfish"
"ज़िम्मेदारी","ज़िद्वंद्वी","कर्तव्य","करेन्यी","responsibility","duty"
"जीप","नकप","ट्रक","मकरक","jeep","truck"
"जीवित","शरवित","मृत","कछत","alive","dead"
"जुआ","कृआ","पोकर","सफकर","gambling","poker"
"जून","ललन","जुलाई","फालाई","june","july"
"जेब","भवब","बटुआ","बटंह","pocket","wallet"
"जोखिम","फ़खिम","खतरा","चेरा","risk","danger"
"जोखिम भरा","जोखव भाव","खतरनाक","खतरकिरण","risky","dangerous"
"ज़ोंबी","ज़ोंनि","पिशाच","पिछलच","zombie","vampire"
"झंडा","शकडा","प्रतीक","प्रागत","flag","symbol"
"झपकी","खतकी","चहलक़दमी","चहलकलेबॉय","nap","stroll"
"झूठ","आपठ","झूठा","खुठा","lie","liar"
"टकराव","टकएटर","विवाद","विधवद","conflict","dispute"
"टैटू","टैुत","चोट का निसान","चोटबार","tattoo","scar"
"टर्मिनल","टर्वाहे","हवाई अड्डा","हवाईयोक्ता","terminal","airport"
"कार्य","कातिय","मकसद","मकनाम","task","mission"
"टिकट","गीकट","पासपोर्ट","पासमान्य","ticket","passport"
"टिप्पणी","टिपलूसी","बयान","हवएन","comment","statement"
"खंड","मतकड़ा","टुकड़ा","टुकडनी","fragment","piece"
"टुकड़ा","पेक्दा","युक्ति","आंक्ति","chip","device"
"टूना","अखना","लॉबस्टर","लॉबनसिक","tuna","lobster"
"टूर्नामेंट","टूर्रॉबेरी","मैच","कटच","tournament","match"
"मेज","युझ","कुर्सी","होर्सी","table","chair"
"टैंक","टैेद","यन्त्र","यनक्टर","tank","engine"
"टैक्सी","ध्क्सी","लिमोसिन","लिपिरिन","taxi","limousine"
"टोस्ट","रहस्ट","सूअर का मांस","सूअरंबु पानी","toast","bacon"
"ट्रेलर","ट्रैगन","वैन","हमन","trailer","van"
"ट्रॉफी","ट्रॉखक","पदक","जंक","trophy","medal"
"ठीक","गंक","हां","चैं","okay","yeah"
"ठीक करना","ठीकप्रिय","मरम्मत","मरमसबॉल","fix","repair"
"ठेठ","यनठ","क्लासिक","कथ्म्बिक","typical","classic"
"ठोस","चबस","इस्पात","इस्चिम","concrete","steel"
"डराना","गेना","डरना","पोन","scare","frighten"
"डरावनी","डरपकली","डर","क़ोह","horror","fear"
"डाक टिकट","डाकिविधि","हस्ताक्षर","हस्तस्ताव","stamp","signature"
"डालना","भयलना","रखना","आजना","insert","put"
"डिप्लोमा","डिरिल्ला","स्नातक","स्वाजा","diploma","graduate"
"डिब्बा","छाब्बा","थैला","घडला","box","bag"
"डीएनए","डीरतट","अंगुली की छाप","अंगु का मैदान","dna","fingerprint"
"डीन","सतन","प्रोफ़ेसर","प्रज़नदार","dean","professor"
"डीवीडी","डीवी्च","वीडियो","गधडियो","dvd","video"
"डूबना","तंबना","तैरना","ग्रना","drown","swim"
"डेस्क","सफस्क","कार्यालय","कारस्थान","desk","office"
"तकनीकी","तकन्ना","यांत्रिक","याेत्रीय","technical","mechanical"
"तन","शल","लाश","अतश","body","corpse"
"तनाव","नेाव","डिप्रेशन","डिप रचना","stress","depression"
"तंबाकू","मलबाकू","सिगरेट","सिगतना","tobacco","cigarette"
"द्रव","समल","तरल","युल","liquid","fluid"
"तरीका","तरवचा","तकनीक","तकएटर","method","technique"
"तलवार","तलोकन","चाकू","चाखद","sword","knife"
"तलाक","तलवध","शादी","शांड","divorce","marriage"
"तलाशी","वैाशी","पाना","हेना","search","find"
"ताकत","ताआज","बल","टी","strength","force"
"ताज","इंज","सिंहासन","सिरहालय","crown","throne"
"ताज़ा","ता्षा","ताज़ा करना","यजा बनना","fresh","refresh"
"ताबूत","ताणित","अंतिम संस्कार","अंतिमाला","coffin","funeral"
"तार","गिर","पत्र","पतंद","telegram","letter"
"ताल","वुल","अंदाज","वादाज","rhythm","style"
"तितली","ति़की","चिड़िया","रोड़िया","butterfly","bird"
"तीसरा","पंसरा","चौथा","धीथा","third","fourth"
"तूफान","नदफान","बवंडर","बवमान","hurricane","tornado"
"उद्यत","इंयार","तैयार","श्यार","ready","prepare"
"तैयारी","तैक्री","योजना","उपजना","preparation","planning"
"त्रुटि","त्रुतु","गलती","कंती","error","mistake"
"त्वचा","त्अपा","ऊतक","औरक","skin","tissue"
"थका हुआ","थकात्मक","भूखा","लिखा","tired","hungry"
"थोड़ा","ढाड़ा","छोटा","पकटा","little","small"
"दक्षिण","दक्त्व","उत्तर","उतस्य","south","north"
