"zh_cue","zh_fake_cue","zh_target","zh_fake_target","en_cue","en_target"
"族群","得种","大众","喻浅","population","people"
"入口","单天","大门","数拱","portal","gate"
"准备","贡洗","计划","亲碎","preparation","planning"
"漂亮","祸定","美丽","问水","pretty","beautiful"
"猎物","止众","猎手","还爹","prey","predator"
"可能","傲夫","大概","餐行","probability","likely"
"进步","使目","发展","席果","progress","development"
"项目","典内","程序","向倒","project","program"
"财产","于阴","物主","容估","property","owner"
"自豪","木意","兴奋","定品","proud","excited"
"酒吧","气胡","餐厅","到原","pub","restaurant"
"脉冲","进金","压力","兔量","pulse","pressure"
"惩治","抵灭","逮捕","排党","punish","arrest"
"质疑","杀还","询问","警得","question","ask"
"种族主义","及富绵杏","共产主义","治杂米听","racist","communist"
"阅读","鱼手","写作","乳铁","reading","writing"
"原因","耐客","理由","框羊","reason","cause"
"承认","特子","知道","来扉","recognize","knew"
"难民","光麦","逃犯","刊尘","refugee","fugitive"
"亲戚","可国","表哥","接慕","relative","cousin"
"替换","谶违","取代","愤诚","replace","substitute"
"报告","士趾","通知","久雷","report","inform"
"尊重","条傲","信任","篮勉","respect","confidence"
"责任","后猪","义务","账访","responsibility","duty"
"休息","捐坛","睡觉","盆字","rest","sleep"
"揭晓","冷喜","眼光","荒质","revelation","vision"
"韵律","公查","风格","访亡","rhythm","style"
"右边","壮来","左边","早区","right","left"
"风险","奏款","危险","讽碳","risky","dangerous"
"道路","声运","高速","具宵","road","highway"
"转圈","干撤","围绕","横单","round","around"
"皇室","掉早","王国","转城","royal","kingdom"
"规则","土抱","协议","存片","rule","protocol"
"朗姆酒","放鳔兲","白兰地","重成惘","rum","cognac"
"伤心","在祸","悲惨","封法","sad","tragic"
"周六","落言","周日","菜稿","saturday","sunday"
"说出","上湛","告诉","志而","say","tell"
"抓破","冲巢","挫伤","责直","scratch","bruise"
"屏幕","收攀","监控","本胃","screen","monitor"
"片刻","烟琢","分钟","读惶","second","minute"
"秘密","在为","谜团","免午","secret","mystery"
"看见","靠任","遇到","毛平","see","meet"
"性别","低得","身体","偿出","sexual","physical"
"阴影","讲门","黑暗","原交","shadow","dark"
"显示","电掉","表现","坞通","show","performance"
"相似","足次","不同","穷甲","similar","different"
"过错","老餐","犯罪","厌革","sin","crime"
"单身","滚册","已婚","积饭","single","married"
"尺寸","传官","长度","肉犯","size","length"
"天空","声起","天国","译围","sky","heavenly"
"粉碎","独托","打破","手卉","smash","break"
"烟雾","放打","雪茄","法纤","smoke","cigar"
"有时","工播","经常","派声","sometimes","often"
"汤羹","历茶","沙拉","逐赢","soup","salad"
"来源","况炮","线人","场钢","source","informant"
"赛场","债上","棒球","白陶","stadium","baseball"
"偷盗","编河","抢劫","侍路","steal","rob"
"棍棒","角报","锤子","娘久","stick","hammer"
"强度","证中","力气","夫毒","strength","force"
"压力","授候","抑郁","个书","stress","depression"
"固执","倒长","自私","使俭","stubborn","selfish"
"潜艇","拟心","轮船","后青","submarine","boat"
"苦难","紧主","疼痛","丧胚","suffering","pain"
"迹象","忙北","症候","头答","symptom","syndrome"
"坦克","鼓处","引擎","幽千","tank","engine"
"出租车","兵访孖","豪华车","烈宫","taxi","limousine"
"眼泪","证常","伤口","喜御","tear","cut"
"文本","考健","诗歌","动从","text","poem"
"小偷","墓眼","罪犯","民商","thief","criminal"
"薄","市撇","厚","理箱","thin","thick"
"第三","晚升","第四","应萄","third","fourth"
"吐司","色身","熏肉","肃位","toast","bacon"
"烟草","跃白","香烟","田过","tobacco","cigarette"
"厕所","凶攻","水槽","岳干","toilet","sink"
"明天","都书","早晨","剧投","tomorrow","morning"
"角逐","传鈪","竞争","预树","tournament","match"
"拖车","栅一","货车","拔课","trailer","van"
"戏弄","协坏","玩笑","好交","trick","joke"
"准确","疲判","真实","讽碳","true","real"
"信任","起型","相信","罪迸","trust","believe"
"尝试","密嫌","试图","进双","try","attempt"
"转动","非居","旋转","鞭喘","turn","rotate"
"两个","房于","四个","侵柜","two","four"
"飞碟","场良","外星人","客姜","ufo","alien"
"叔叔","拼军","爸爸","无庇","uncle","dad"
"不适","空望","难受","交凉","uncomfortable","unpleasant"
"有用","还戏","有效","黑时","useful","effective"
"价值","收歧","价钱","头生","value","price"
"等待","武赠","期待","点视","wait","expect"
"温暖","类秋","凉爽","道难","warm","cool"
"提示","注私","消息","诫头","warning","message"
"哪个","说街","那个","余水","what","that"
"威士忌","送鱻年","伏特加","国入趄","whiskey","vodka"
"寡妇","文下","女士","医运","widow","woman"
"机智","审口","有趣","蔬匣","witty","funny"
"单词","拍歌","句子","及名","word","sentence"
"南方","盈滑","北方","撬办","south","north"
"西方","世鸡","东方","意牌","west","east"
"白色","前嫂","黑色","游锦","white","black"
"积极","如整","消极","益景","positive","negative"
"红色","税掠","黄色","破稿","red","yellow"
"英语","瓜巴","法语","壮嘴","english","french"
"公主","稻柔","王子","选开","princess","prince"
"母亲","数败","父亲","奸飞","mother","father"
"阅读","视改","写作","河早","read","write"
"小狗","求凝","猫咪","脱面","dog","cat"
"女王","置走","国王","用子","queen","king"
"强壮","猜降","虚弱","划宅","strong","weak"
"将军","联场","上校","发修","general","colonel"
"省长","实惨","议员","了豚","governor","senator"
"医师","令惊","大夫","路疚","surgeon","doctor"
"姐妹","艺配","兄弟","循伴","sister","brother"
"清白","呛室","有罪","哲影","innocent","guilty"
"学生","刊恨","老师","巾事","student","teacher"
"自杀","耐闭","谋杀","眼论","suicide","murder"
"女孩","讳露","男孩","晚化","girl","boy"
"医院","台蟹","诊所","冲问","hospital","clinic"
"酒店","下出","旅馆","错平","hotel","motel"
"风险","重末","危险","重雀","risk","danger"
"分开","松池","婚姻","相衫","divorce","marriage"
"长官","个拿","队长","光乱","commander","captain"
"肿瘤","双清","癌症","好呼","tumor","cancer"
"温热","深链","寒冷","带海","hot","cold"
"火车","惊界","公交","距脉","train","bus"
"男性","愉卵","女性","迂线","male","female"
"车辆","损水","轿车","点慌","vehicle","car"
"铁器","子误","金属","幕舞","iron","metal"
"可卡因","浪巾","海洛因","成给","cocaine","heroin"
"神话","陶水","传奇","搥壳","myth","legend"
"发电机","上仙怹","反应堆","继念肄","generator","reactor"
"想法","耍截","理论","级词","idea","theory"
"憎恨","花袱","热爱","力卫","hate","love"
"学院","液操","大学","同卜","college","university"
"气流","单沮","风暴","住看","wind","storm"
"夏日","配探","冬天","房动","summer","winter"
"炸毁","食除","爆破","喜太","bomb","explosive"
"剑","殆单","刀","少喜","sword","knife"
"军士","犬依","中尉","觅羞","sergeant","lieutenant"
"同事","情板","朋友","心子","colleague","friend"
"制片","刻配","导演","兜肋","producer","director"
"理想","倒心","完美","演亮","ideal","perfect"
"蝴蝶","孤语","飞鸟","家题","butterfly","bird"
"婴儿","汐喜","孩子","要烛","baby","child"
"听见","东有","得知","盈冲","listen","hear"
"购买","瘀布","售卖","渴例","buy","sell"
"对抗","状琐","战斗","味停","war","battle"
"糟糕","品长","可怕","增饨","terrible","horrible"
"肮脏","宏地","厌恶","贪腿","dirty","disgusting"
"狗熊","迫瓜","灰狼","果脸","bear","wolf"
"小雨","受塑","大雪","抽舰","rain","snow"
"成功","俨预","失败","种对","success","failure"
"干燥","折她","湿润","空方","dry","wet"
"噪音","回弯","声响","破公","noise","sound"
"在场","刑停","缺席","迈幸","presence","absence"
"技术","饰上","科学","球胎","technology","science"
"秘书","进罕","助手","藏变","secretary","assistant"
"非法","学腹","合规","醉风","illegal","legal"
"实验","贞摸","测试","惊蕾","experiment","test"
"商讨","弃年","会议","旁有","conference","meeting"
"舞者","算声","跳舞","出申","dancer","dance"
"委任","落顺","委员","滋外","commission","committee"
"最小","寻载","最大","方掉","minimum","maximum"
"证实","月矮","确认","要长","confirmation","confirm"
"业余","巡独","专业","塘邪","amateur","professional"
"九月","抵歌","十月","戒入","september","october"
"就绪","弒教","准备","数圣","ready","prepare"
"女儿","构访","儿子","举口","daughter","son"
"开枪","制慈","射击","點毅","shot","shoot"
"忘却","产意","记住","转妈","forget","remember"
"点火","帐客","火焰","布营","fire","flame"
"短暂","加澎","长久","食盲","short","long"
"纸盒","修切","袋子","墨受","box","bag"
"窗户","见卖","大门","事落","window","door"
"戒指","秘羁","项链","经群","ring","necklace"
"海水","红险","海洋","铺丹","sea","ocean"
"宇宙","引凌","星系","首氧","universe","galaxy"
"胜利","语盖","失败","人丸","victory","defeat"
"间谍","替藉","叛徒","忍显","spy","traitor"
"文化","寿垄","文明","恶火","culture","civilization"
"异常","听刻","奇怪","乱股","unusual","strange"
"高尔夫","打受瞐","网球","少雷","golf","tennis"
"非洲","好毁","美国","独铁","africa","america"
"公里","前子","仪表","发底","kilometer","meter"
"夜间","口伍","晚上","用政","night","evening"
"饮料","途驱","啤酒","约冠","drink","beer"
"编号","弹认","地址","吞日","number","address"
"迟到","喊级","提前","禁君","late","early"
"学习","旁型","教导","霍安","learn","teach"
"贫困","友汁","富有","灵亮","poor","rich"
"方桌","属采","椅子","传形","table","chair"
"法庭","利色","法官","学毁","court","judge"
"精彩","通父","极好","团愤","wonderful","fantastic"
"傻子","疲给","笨蛋","名闲","fool","idiot"
"微笑","昏好","开心","强饰","smile","laugh"
"品质","种岗","性格","市愕","character","personality"
"水手","别会","轮船","足凡","crew","ship"
"衬衫","牧份","夹克","令巨","shirt","jacket"
"过程","用校","程序","量勉","process","procedure"
"社会","添净","社区","除通","society","community"
"爷爷","大从","奶奶","心涧","grandfather","grandmother"
"土堆","色像","高山","母正","hill","mountain"
"艺人","及美","画家","无验","artist","painter"
"戏剧","热娘","喜剧","竭污","drama","comedy"
"线人","成涨","记者","法题","reporter","journalist"
"正式","船隔","官方","浅死","officially","official"
"英镑","细衔","美元","发仁","pound","dollar"
"积极","拳鱼","活跃","火支","active","activity"
"雷达","除子","卫星","兵井","radar","satellite"
"灯具","稚刻","蜡烛","当善","lamp","candle"
"仪式","军甜","典礼","心页","ritual","ceremony"
"精神","饵色","情绪","济多","mental","emotional"
"讲话","首误","发言","不彼","talk","speak"
"玩耍","文米","游戏","势治","play","game"
"丈夫","料性","妻子","搞五","husband","wife"
"公司","陷初","企业","进罚","company","corporation"
"班级","宽暖","学校","连延","class","school"
"保护","田祈","守卫","随空","protect","defend"
"律师","草蛮","检察官","顺股","lawyer","prosecutor"
"搜索","指嚼","找到","观却","search","find"
"品尝","凶胞","闻到","来衣","taste","smell"
"玻璃","体契","瓶子","喉兄","glass","bottle"
"广播","赤储","电视","忙忌","radio","television"
"慢慢","比犯","快速","库杂","slow","fast"
"怪物","拓愚","生物","报风","monster","creature"
"军人","烟及","战士","查要","soldier","warrior"
"骨头","制招","颅骨","代容","bone","skull"
"病毒","职大","感染","带罚","virus","infection"
"钢琴","倾共","吉他","纸名","piano","guitar"
"混乱","身宫","困惑","溃料","chaos","confusion"
"世纪","听小","十年","寒中","century","decade"
"约会","手报","婚礼","务旧","engagement","wedding"
"白鲨","仅处","鱼类","轮示","shark","fish"
"僧侣","出断","牧师","加器","monk","priest"
"电报","哨皇","信件","医煤","telegram","letter"
"周一","郁中","周二","子通","monday","tuesday"
"回去","奶秀","返回","盘历","back","return"
"居住","骨结","生存","挑式","live","survive"
"特别","旧得","独特","许色","special","unique"
"形势","端话","危机","难残","situation","crisis"
"疲劳","许屈","饥饿","逼砸","tired","hungry"
"月份","扣报","星期","查感","month","week"
"亲吻","键墙","拥抱","白论","kiss","hug"
"灵魂","油住","精神","难资","soul","spirit"
"钥匙","释健","锁具","脱场","key","lock"
"墙壁","帽忧","栅栏","询戏","wall","fence"
"沉默","服遗","冷静","悬色","quiet","calm"
"敌人","分长","对手","回性","enemy","opponent"
"红酒","准吊","香槟","话代","wine","champagne"
"河流","美还","湖泊","愈方","river","lake"
"表明","谈两","证词","套赞","witness","testimony"
"卷宗","一松","文档","取静","file","document"
"职业","彻鱼","名声","儿爪","career","reputation"
"杯子","红夺","咖啡","提杂","cup","coffee"
"盲人","粒哀","聋子","树柱","blind","deaf"
"合同","反头","协议","答赋","contract","agreement"
"现实","脏恶","幻想","晋同","reality","fantasy"
"成员","监取","领导","捞案","member","leader"
"面包","煮星","起司","苦平","bread","cheese"
"攀登","明地","跳跃","接迈","climb","jump"
"流行","户息","知名","打缺","popular","famous"
"影响","难俗","影响","撑瞇","influence","effect"
"干脆","目章","直接","鱼讨","direct","directly"
"恶梦","纸助","睡梦","涌诉","nightmare","dream"
"文章","组解","报纸","练薪","article","newspaper"
"价值","墨丑","重要","轻承","valuable","important"
"疗法","玉操","医治","岸提","therapy","treatment"
"歌手","交沫","乐师","形鸭","singer","musician"
"老鼠","皮放","耗子","意嘴","mouse","rat"
"能手","域打","专家","得下","expert","specialist"
"人质","营脂","囚犯","清发","hostage","prisoner"
"拉拉","好代","男同","星阅","lesbian","gay"
"工程","郁说","建筑","叙盈","engineer","architect"
"画廊","喂站","展览","匣伪","gallery","exhibition"
"篮球","吃飘","足球","明侯","basketball","football"
"主教","睇边","红衣主教","情当","bishop","cardinal"
"爵士","防菜","音乐","带交","jazz","music"
"废墟","瓜法","灰尘","如票","ash","dust"
"圣经","联气","书籍","版秃","bible","book"
"大街","言时","道路","辩油","avenue","street"
"季夏","守命","七月","相爪","june","july"
"应答","单守","回复","豌板","answer","reply"
"计划","受如","战略","水大","plan","strategy"
"未来","租年","过去","家尬","future","past"
"说谎","当碍","骗子","相落","lie","liar"
"挑选","对毁","选项","装陷","choice","option"
"保证","差报","誓言","巡子","swear","oath"
"接触","子死","联系","街亮","contact","connection"
"夜店","衣悔","酒吧","好撩","club","bar"
"对话","确远","讨论","约凉","conversation","discussion"
"自由","直蔑","民主","起塘","freedom","democracy"
"桥梁","藏乔","隧道","亲汽","bridge","tunnel"
"代码","元手","密码","抄等","code","password"
"聚焦","奏喂","集中","仪回","focus","concentrate"
"春日","缅为","秋天","工欲","spring","autumn"
"宫殿","俐装","城堡","懒阴","palace","castle"
"事故","饮怨","意外","含光","incident","accident"
"兴奋","恶影","有趣","工版","exciting","interesting"
"寺庙","校蝎","修道院","推币","temple","monastery"
"按钮","曾球","挤压","机注","button","press"
"阻碍","常酥","停止","牙考","prevent","stop"
"奴隶","渴尘","仆人","感承","slave","servant"
"出路","宝车","入口","怪后","exit","entrance"
"满意","地诬","快乐","诱简","satisfied","happy"
"塔楼","点重","建筑","事细","tower","building"
"到达","药为","离开","训展","arrival","departure"
"概括","纬数","描述","交撤","profile","description"
"毯子","祖把","毛巾","性承","blanket","towel"
"电缆","屎报","导线","育占","cable","wire"
"诗人","坐渍","作家","盼施","poet","writer"
"丛林","指不","树木","杀字","bush","tree"
"侵略","下匠","攻击","灾慰","invasion","attack"
"僵尸","定回","吸血鬼","特訇毒","zombie","vampire"
"沙发","兄寰","床铺","眼队","sofa","bed"
"华盛顿","下白宣","波士顿","病一径","washington","boston"
"罗马","拥琐","希腊","光墨","roman","greek"
"跑步","致路","走路","步脱","run","walk"
"站立","折杀","坐下","繁佛","stand","sit"
"能量","合纸","活力","虫渔","power","energy"
"血液","用宝","尿液","景片","blood","urine"
"法律","画专","宪章","报爱","law","constitution"
"头发","签税","胡须","诵于","hair","beard"
"嘴巴","废骗","鼻子","派韵","mouth","nose"
"眼睛","杨抓","耳朵","玩申","eye","ear"
"安全","选浅","和平","惯致","security","safety"
"浪费","极子","消耗","白征","waste","spend"
"乐趣","总病","喜悦","弟料","pleasure","joy"
"困难","调鹅","简单","血用","impossible","easy"
"热量","知辈","温度","极燕","heat","temperature"
"手指","用哥","拇指","食拘","finger","thumb"
"口袋","位幼","钱包","萤结","pocket","wallet"
"嫉妒","自象","生气","湿推","jealous","angry"
"票券","吞异","护照","话赂","ticket","passport"
"坟包","潜贤","公墓","项气","grave","cemetery"
"陷阱","蛋艰","诱饵","技火","trap","bait"
"自豪","原轴","尊严","晚卖","pride","dignity"
"昂贵","颁众","便宜","人掩","expensive","cheap"
"损害","洞碎","受伤","遽凄","wound","injury"
"咒语","邻破","巫婆","调炼","curse","witch"
"青年","刚栈","儿时","太头","youth","childhood"
"警长","机传","市长","法竹","sheriff","mayor"
"奶牛","向树","肥猪","鞋去","cow","pig"
"增加","农现","减少","花罪","increase","reduce"
"利润","币棒","收入","疑抬","profit","income"
"纹身","月催","瘢痕","哀光","tattoo","scar"
"降落","人短","航班","房嫌","landing","flight"
"钻石","出挥","珠宝","肉须","diamond","jewel"
"点心","独水","蛋糕","尾选","dessert","cake"
"步枪","夸外","火炮","战礼","rifle","gun"
"盾牌","故割","盔甲","纺忆","shield","armor"
"头盔","去国","帽子","黄论","helmet","hat"
"盗窃","家解","抢劫","即人","theft","robbery"
"混凝土","虚艳恏","钢铁","全严","concrete","steel"
"反射","趣暗","镜子","道以","reflection","mirror"
"频率","犬家","信号","铺慎","frequency","signal"
"软件","开损","电脑","遮力","software","computer"
"剂量","上铜","注射","属扣","dose","injection"
"墓碑","堂成","雕像","愧可","monument","statue"
"真货","国贴","赝品","这起","good","bad"
"房子","亲灯","公寓","蛾贼","house","apartment"
"大的","弄巴","巨额","巡笨","big","huge"
"房间","链信","卧室","量例","room","bedroom"
"错误","珠查","正确","区告","wrong","correct"
"可能","中柳","大概","赶展","chance","possibility"
"国家","热市","国家","汽念","country","nation"
"晚饭","树饲","早餐","化橡","dinner","breakfast"
