"pt_cue","pt_fake_cue","pt_target","pt_fake_target","en_cue","en_target"
"observação","observanaugh","avaliação","grizzliação","observation","evaluation"
"vô","vu","avó","zó","grandfather","grandmother"
"castanho","preitanho","azul","azza","brown","blue"
"brinde","everde","bacon","banus","toast","bacon"
"calibre","calicais","bala","quila","caliber","bullet"
"orquestra","orlocktra","banda","verda","orchestra","band"
"chuveiro","chuamarro","banheiro","bakersro","shower","bathroom"
"caro","douro","barato","maratomas","expensive","cheap"
"cabelo","cabereis","barba","apaba","hair","beard"
"submarino","nightmarino","barco","lusco","submarine","boat"
"tripulação","atraíspe técnica","barco","lusco","crew","ship"
"clube","kunbe","bar","reira","club","bar"
"estádio","estágens","baseball","basenapps","stadium","baseball"
"guerra","iguara","batalha","batagens","war","battle"
"regimento","mergimentoma","batalhão","batabert","regiment","battalion"
"canela","bournela","baunilha","romônilha","cinnamon","vanilla"
"sóbrio","sótuir","bêbado","plasbado","sober","drunk"
"canto","histo","beco","belun","corner","alley"
"charme","cashme","beleza","beleques","charm","beauty"
"milhão","minhes","bilhão","biquei","million","billion"
"química","elécmica","biologia","biololhões","chemistry","biology"
"químico","tripmico","biológico","naulógico","chemical","biological"
"lábio","lágri","bochecha","bogrischa","lip","cheek"
"sobremesa","soquilômesa","bolo","deslo","dessert","cake"
"óculos","codir","boné","bokov","glasses","cap"
"doce","domin","meigo","bonitituíam","sweet","cute"
"washington","washingboud","boston","fruton","washington","boston"
"mão","jóo","braço","solço","hand","arm"
"brilhar","brinhos","brilhante","briamorte","shine","bright"
"boneca","boatraca","brinquedo","subsquedo","doll","toy"
"maldição","mingamentoma","bruxa","plexa","curse","witch"
"magia","maçal","bruxo","pisxo","magic","wizard"
"rabo","raibor","traseiro","mitdeiro","ass","butt"
"corpo","despo","cadáver","cadánais","body","corpse"
"mesa","tacharla","cadeira","calharra","table","chair"
"xícara","pleucara","café","caors","cup","coffee"
"jantar","mestar","café da manhã","fade ro tranhã","dinner","breakfast"
"contar","convic","calcular","prescular","count","calculate"
"quieto","traneto","calma","inima","quiet","calm"
"sofá","soleo","cama","perma","sofa","bed"
"jipe","colpe","caminhão","camiquez","jeep","truck"
"rota","peita","caminho","camições","route","path"
"competição","concorpiõescia","campeonato","campeonatomashevsky","competition","championship"
"arena","sosna","campo de batalha","campo de baolworth","arena","battlefield"
"tumor","tunut","câncer","grecer","tumor","cancer"
"papel","paast","caneta","caplanta","paper","pen"
"igreja","ideija","capela","prospela","church","chapel"
"anarquia","glasquia","capitalismo","capitakehayamo","anarchy","capitalism"
"comandante","comancheckte","capitão","capinhal","commander","captain"
"bispo","pêmto","cardeal","droideal","bishop","cardinal"
"frete","benga","carga","munga","load","cargo"
"veículo","stahculo","carro","dioro","vehicle","car"
"telegrama","teleatherma","carta","jecta","telegram","letter"
"bolso","cesso","carteira","preiteira","pocket","wallet"
"máfia","májar","cartel","carnor","mafia","cartel"
"solteiro","aterteiro","casado","caçõesdo","single","married"
"divórcio","digrescio","casamento","caçõesdo","divorce","marriage"
"noivado","agenvado","casamento","masamento","engagement","wedding"
"palácio","palásões","castelo","aprotelo","palace","castle"
"razão","raçõe","causa","exisa","reason","cause"
"burro","garmas","cavalo","cavações","donkey","horse"
"alho","albá","cebola","cecharla","garlic","onion"
"atrasado","gressado","cedo","dindo","late","early"
"céu","guá","celestial","ceatractial","sky","heavenly"
"cova","colom","cemitério","cemitélhões","grave","cemetery"
"mil","anl","centenas","centelefô","thousand","hundred"
"milha","mitis","centímetro","centímebacis","mile","centimeter"
"muro","muçul","cerca","brica","wall","fence"
"fora","meira","cerca de","cercaxeis","out","about"
"encéfalo","cérenais","cerebral","ceredish","brain","cerebral"
"ritual","rinhasal","cerimônia","ceucrania","ritual","ceremony"
"beber","benig","cerveja","tranveja","drink","beer"
"incêndio","insubadio","chama","perma","fire","flame"
"vinho","vidar","champanhe","agrepanhe","wine","champagne"
"suborno","sufresno","chantagem","acertagem","bribe","blackmail"
"capacete","capatruiste","chapéu","chaguá","helmet","hat"
"fumaça","fumaveis","charuto","querruto","smoke","cigar"
"gerente","getaiste","chefe","liffe","manager","boss"
"cozinheiro","cozipanthro","chefe de cozinha","chafo de coselati","cook","chef"
"vazio","vadei","cheio","toeio","empty","full"
"gosto","apoto","cheiro","apairo","taste","smell"
"açúcar","xaicar","chocolate","transcolate","sugar","chocolate"
"tatuagem","tatuamonds","cicatriz","cicamiäo","tattoo","scar"
"capital","capinhei","cidade","presdade","capital","city"
"tecnologia","aplaunologia","ciência","ciênções","technology","science"
"gênio","gêdem","cientista","cienglandta","genius","scientist"
"tabaco","tabalhei","cigarro","citreiro","tobacco","cigarette"
"ingênuo","ingêgett","cínico","starnico","naive","cynical"
"jardim zoológico","zardom loogerdico","circo","pulco","zoo","circus"
"operar","lhorar","cirurgia","ciatingia","operate","surgery"
"cultura","agratura","civilização","civilizanhar","culture","civilization"
"típica","olhaica","clássico","millsico","typical","classic"
"paciente","acresciente","cliente","loweente","patient","client"
"hospital","prenpital","clínica","avernica","hospital","clinic"
"verme","cheme","cobra","cosei","worm","snake"
"raposa","raamassa","coelho","coepera","fox","rabbit"
"cair","cavá","colapso","coemisso","fall","collapse"
"anel","ansa","colar","cotes","ring","necklace"
"cansado","gressado","faminto","famani","tired","hungry"
"perdoar","abandoar","desculpar","descloper","forgive","excuse"
"gás","cës","combustível","comonuetível","gas","fuel"
"drama","pisma","comédia","comésões","drama","comedy"
"alimentação","alimentaríeis","comer","covia","feed","eat"
"comercial","coplandcial","comerciante","canageiciante","commercial","merchant"
"inspetor","inspeland","comissário","conahansário","inspector","commissioner"
"comissão","colhersão","comitê","comigahl","commission","committee"
"paciência","paciênlhões","compaixão","compaicões","patience","compassion"
"absolutamente","absolucarra","completamente","comeniatamente","absolutely","completely"
"total","toney","completo","comkripto","total","complete"
"vendedor","vendepres","comprador","comguildor","seller","buyer"
"entender","entennhas","compreendo","transpreendo","realize","understand"
"tamanho","tamadras","comprimento","maprimento","size","length"
"comprimido","tácet","pílula","commonwemido","tablet","pill"
"programa","proqueimas","computador","computaríeis","software","computer"
"navegação","navegalahad","comunicação","comunicatalyst","navigation","communication"
"sociedade","socielinque","comunidade","comulinidade","society","community"
"racista","ralheita","comunista","comuaguenta","racist","communist"
"foco","fomen","concentrar","contraiatrado","focus","concentrate"
"barão","banas","condessa","contraísa","baron","countess"
"passageiro","passapanthro","condutor","conguções","passenger","driver"
"contato","prestato","conexão","conerius","contact","connection"
"admitir","adminais","confessar","conatrasar","admit","confess"
"respeito","restracto","confiança","kadafiança","respect","confidence"
"delicado","delivingado","confidencial","nerfidencial","delicate","sensitive"
"confirmação","conmahatmação","confirme","conaglome","confirmation","confirm"
"caos","racai","confusão","confurões","chaos","confusion"
"derreter","terreder","congelar","congenhei","melt","freeze"
"rum","uém","conhaque","coquerque","rum","cognac"
"vejo","vedam","conheça","cotrança","see","meet"
"agora","vilra","conhecer","coprancer","now","know"
"experiência","experinfluer","conhecimento","conhemamento","experience","knowledge"
"conselho","consenía","aconselhar","consenía","advice","advise"
"sempre","semsäo","constantemente","stephatantemente","always","constantly"
"lei","jei","constituição","baquátituição","law","constitution"
"torre","prire","construção","aprotrução","tower","building"
"construção","aprotrução","construir","consríeis","construction","build"
"dizer","dicos","contar","convic","say","tell"
"conter","convin","conteúdo","concluíte","contain","content"
"oposto","olímto","contrário","concluírio","opposite","contrary"
"orfanato","mesorfanato","convento","concripto","orphanage","convent"
"original","guarginal","cópia","cópiaratha","original","copy"
"nobre","nolen","corajoso","coraagresso","noble","brave"
"corrente","cakett","corda","lhada","chain","rope"
"general","doneral","coronel","corolhas","general","colonel"
"companhia","compaaçäo","corporação","transporação","company","corporation"
"errado","erguerdo","correto","truireto","wrong","correct"
"maratona","maranhõesna","corrida","truirida","marathon","race"
"rasgar","rasqui","cortar","guntar","tear","cut"
"praia","ploa","costa","neuta","beach","coast"
"osso","osval","crânio","rubnio","bone","skull"
"bebê","bedan","criança","ishaança","baby","child"
"imaginação","aprenginação","criatividade","criativilinque","imagination","creativity"
"monstro","apóstro","criatura","aguenatura","monster","creature"
"pecado","agricado","crime","marme","sin","crime"
"ladrão","laglas","criminoso","roquíminoso","thief","criminal"
"situação","situatrais","crise","rêsse","situation","crisis"
"católico","calhauslico","cristão","crisney","catholic","christian"
"detonador","detonatalya","cronômetro","calypmetro","detonator","timer"
"brutal","bruney","cruel","borel","brutal","cruel"
"mal","oul","crueldade","rapaeldade","evil","cruelty"
"inocente","adapcente","culpado","atrapado","innocent","guilty"
"recuperar","vacuperar","curar","culou","recover","heal"
"dançarino","apresçarino","dança","fraça","dancer","dance"
"oferta","fredta","dar","ñor","offer","give"
"século","exerculo","década","afircada","century","decade"
"comentário","cobrirte","declaração","desaphiração","comment","statement"
"dedo","desas","dedão","decal","finger","thumb"
"proteger","protenant","defender","destrider","protect","defend"
"conceito","corquanto","definição","definichiwa","concept","definition"
"permitir","permiguem","deixar","deimão","allow","let"
"direita","sulto","esquerda","deirai","right","left"
"saboroso","sapanthroso","delicioso","deliciosomething","tasty","delicious"
"renúncia","recriácia","demissão","denharsão","resignation","dismissal"
"liberdade","liaplaudade","democracia","demofluência","freedom","democracy"
"protesto","prokrypto","manifestação","derehamtração","protest","demonstration"
"unha","ungi","dente","orite","nail","tooth"
"estresse","eseloise","depressão","dericksão","stress","depression"
"vitória","vitóções","derrota","serrotal","victory","defeat"
"obstáculo","aguentáculo","desafio","desaquez","obstacle","challenge"
"desconfortável","desconsequêntável","desagradável","desagrudari","uncomfortable","unpleasant"
"morte","deute","desaparecimento","desapamase","death","disappearance"
"surpresa","tranpresa","desapontamento","mapontamento","surprise","disappointment"
"anônimo","clainimo","desconhecido","descosequêncido","anonymous","unknown"
"perfil","perloé","descrição","desinacção","profile","description"
"desejo","deseguem","desejar","desequem","desire","wish"
"pintar","atitar","desenhar","desequei","paint","draw"
"progresso","proaquoso","desenvolvimento","masolvimento","progress","development"
"fado","quantino","destino","quantino","fate","destiny"
"criação","alheação","destruição","desadopção","creation","destruction"
"coragem","coranhos","determinação","devonshiminação","courage","determination"
"agente","cointe","detetive","deexaustive","agent","detective"
"responsabilidade","linonsabilidade","dever","decam","responsibility","duty"
"fidelidade","lidefadade","devoção","devogler","fidelity","devotion"
"novembro","novemtões","dezembro","demandro","november","december"
"anjo","ansat","diabo","diaring","angel","devil"
"semelhante","smebacoste","diferente","difecluíste","similar","different"
"orgulho","orgurões","dignidade","aplaunidade","pride","dignity"
"pólvora","sayavora","dinamite","dinatalyate","gunpowder","dynamite"
"sibilar","pite","soar","cang","ping","ding"
"numerário","dicaisro","dinheiro","diamarro","cash","money"
"direto","maireto","diretamente","diretataíste","direct","directly"
"produtor","produrant","diretor","diregres","producer","director"
"conversação","conversatoshi","discussão","distraisão","conversation","discussion"
"chipe","apuca","dispositivo","alphonpositivo","chip","device"
"conflito","concausto","disputa","aproputa","conflict","dispute"
"próximo","tranximar","distante","plantante","near","far"
"município","municílhões","distrito","disquanto","county","district"
"deus","deki","divino","divilhar","god","divine"
"unidade","cluídade","divisão","divinhas","unit","division"
"caridade","calhausdade","doação","doalhei","charity","donation"
"arquivo","aratrevo","documento","documanscho","file","document"
"gripe","alope","doença","doentrei","flu","disease"
"enfermo","efernalate","doente","apreente","ill","sick"
"libra","lichi","dólar","dómen","pound","dollar"
"sábado","efecbado","domingo","dobrargo","Saturday","Sunday"
"sofrimento","masfrimento","dor","eir","suffering","pain"
"descanso","desaquoso","dormir","quamir","rest","sleep"
"cirurgião","cirurtéis","doutor","sistor","surgeon","doctor"
"primeiro","priabalro","último","duzes","first","last"
"difícil","difílers","duro","ceiro","tough","hard"
"saúde","kride","educação","aponcação","health","education"
"influência","inglewocia","efeito","chento","influence","effect"
"útil","útoi","eficaz","efisoe","useful","effective"
"teimoso","shanmoso","egoísta","truísta","stubborn","selfish"
"moda","modru","elegante","drugrante","fashionable","elegant"
"campanha","aperpanha","eleição","inesção","campaign","election"
"candidato","masenditado","eleitor","exaltor","candidate","voter"
"fator","faret","elemento","abdômento","factor","element"
"atual","breal","eletricidade","elesequêncidade","current","electricity"
"magnético","aprennético","elétrico","triptrico","magnetic","electric"
"em outro lugar","em outro cords","em algum lugar","em algum telly","elsewhere","somewhere"
"dados","daram","informação","em formdrais","data","information"
"urgente","urabaste","emergência","traugência","urgent","emergency"
"mental","menper","emocional","aprescional","mental","emotional"
"milionário","milionálandos","empreendedor","empreedeata","millionaire","entrepreneur"
"babá","bameu","empregada","emblagada","nanny","maid"
"crédito","babydito","empréstimo","embaquátimo","credit","loan"
"atraente","loveente","encantador","englistador","attractive","charming"
"legal","levens","amável","amaltador","nice","lovely"
"procurar","procupeis","encontrar","enconcluí","search","find"
"conferência","confeathercia","encontro","enconnais","conference","meeting"
"potência","ponhamcia","energia","atorgia","power","energy"
"inteligente","inteliatraíste","engraçado","endlessçado","witty","funny"
"aprender","dewinder","ensinar","ensiveis","learn","teach"
"escavação","escavanau","enterrar","entersect","dig","bury"
"saída","kimda","entrada","enacorda","exit","entrance"
"praga","falga","epidemia","adopdemia","plague","epidemic"
"series","sequeses","episódio","acessódio","series","episode"
"equipamento","transpamento","equipar","montpar","equipment","equip"
"liga","liber","equipe","exaspe","league","team"
"orgasmo","orachamo","ereção","giução","orgasm","erection"
"falta","sonro","erro","calro","error","mistake"
"fofoca","foqueica","escândalo","estigüidalo","gossip","scandal"
"fugir","funet","escapar","escaguem","flee","escape"
"classe","tuísse","escola","escobris","class","school"
"lendo","sumptura","escrevendo","escrebushido","reading","writing"
"leitura","sumptura","escrita","espulôver","read","write"
"poeta","squeeta","escritor","esalastor","poet","writer"
"escrivaninha","escrivanicos","escritório","estaçäotório","desk","office"
"lasanha","lasatéia","espaguete","espatrickte","lasagna","spaghetti"
"perito","pecialista","especialista","pecialistaca","expert","specialist"
"reflexão","refletriz","espelho","espegues","reflection","mirror"
"aguarde","almônde","esperar","espenhei","wait","expect"
"sensacional","sensaciodei","espetacular","epetacovai","sensational","spectacular"
"alma","quema","espírito","esmitiro","soul","spirit"
"passatempo","passaravaco","esporte","eslhaste","hobby","sport"
"marido","maabando","esposa","esamassa","husband","wife"
"plataforma","platalhõesma","estação","estagens","platform","station"
"federal","fedeflec","estado","espreido","federal","state"
"monumento","sumentoma","estátua","estáball","monument","statue"
"ritmo","erómo","estilo","estituir","rhythm","style"
"ovni","ufló","estrangeiro","españolgeiro","ufo","alien"
"incomum","incodric","estranho","esolhinho","unusual","strange"
"plano","presno","estratégia","espaltégia","plan","strategy"
"celebridade","celemansidade","estrela","escharla","celebrity","star"
"pirâmide","pinhõesmide","estrutura","espiõestura","pyramid","structure"
"pesquisa","pespressa","estudo","esprende","research","study"
"loucura","grescura","estupidez","estupitrais","madness","stupidity"
"ingênuo","ingêge","estúpido","espiõespido","naïve","stupid"
"carne de porco","parne di pitis","carne de boi","eupiã","pork","meat"
"fenômeno","huffmeno","evento","preito","phenomenon","event"
"finalmente","fiqueismente","eventualmente","sandwitualmente","finally","eventually"
"subestimar","subestilhões","exagerar","apergerar","underestimate","exaggerate"
"excelente","excetrackte","ótimo","excetrackte","excellent","great"
"especial","espequeñoal","exclusivo","extrairsivo","special","unique"
"enforcamento","aguardurado","execução","execupais","hanging","execution"
"prática","steitica","exercício","aliscício","practice","exercise"
"legião","leguiu","exército","braccito","legion","army"
"galeria","galeques","exibição","exibioquí","gallery","exhibition"
"explodido","exrecôndido","explodir","exbrandir","burst","explode"
"terremoto","tometor","explosão","exomissão","earthquake","explosion"
"bombear","guarbear","explosivo","exagressivo","bomb","explosive"
"descrever","deshanôver","expressar","exatrasar","describe","express"
"interno","inaquino","externo","exaquino","internal","external"
"espada","esacorda","faca","famin","sword","knife"
"impossível","impossítrais","fácil","fábri","impossible","easy"
"palestra","palessing","falar","fares","talk","speak"
"sucesso","suplanso","falha","fanes","success","failure"
"imitação","bússo","falso","praso","fake","FALSE"
"clã","zeã","família","famísões","clan","family"
"popular","popuxões","famoso","fapresso","popular","famous"
"realidade","vaealidade","fantasia","fantaques","reality","fantasy"
"maravilhoso","maravineardo","fantástico","fanbaquático","wonderful","fantastic"
"grão","gret","farinha de trigo","tarinha de jasthan","grain","flour"
"mortal","restal","fatal","famos","deadly","fatal"
"correspondência","seqüesrespondência","fax","oix","mail","fax"
"fazer","fagam","faz","oli","make","do"
"esperança","espequeñoça","fé","êm","hope","faith"
"tosse","spise","febre","femon","cough","fever"
"trancado","aprecado","fechado","featordo","locked","closed"
"abrir","abeur","fechar","fetria","open","close"
"abertura","criptura","fecho","feeld","opening","closure"
"colônia","crocnia","federação","federanhões","colony","federation"
"digusting","digusrifty","feio","ferdi","disgusting","ugly"
"satisfeito","matisfeito","feliz","fesac","satisfied","happy"
"masculino","madon","feminino","fêlak","male","female"
"natal","nanos","feriado","transriado","christmas","holiday"
"lesão","lesguarde","ferida","feguarda","wound","injury"
"recepção","retruição","festa","honta","reception","party"
"carnaval","carnanhou","festival","abratival","carnival","festival"
"leal","legra","fiel","siel","loyal","faithful"
"rim","muim","fígado","prongado","kidney","liver"
"filha","ficíl","filho","firam","daughter","son"
"pornô","pomaô","filme","janme","porn","movie"
"último","fizés","final","fires","final","ultimate"
"fim","õem","finalizar","finalivias","end","finish"
"bancário","aplicário","financeiro","finanpanthro","banking","financial"
"orçamento","moçamento","financiamento","manciamento","budget","funding"
"financeiramente","finamaramente","financeira","minanciamento","financially","financing"
"sexual","seatrial","físico","plassico","sexual","physical"
"planta","agartar","flor","fubi","plant","flower"
"selva","tinva","floresta","atenresta","jungle","forest"
"líquido","lípseudo","fluido","frendo","liquid","fluid"
"forno","bagno","fogão","folam","oven","stove"
"força","mança","vigor","vimança","strength","force"
"abelha","maylha","formiga","oquímiga","bee","ant"
"pesado","pedreido","fortemente","cluístemente","heavy","heavily"
"firmemente","exausmemente","fortemente","cluístemente","firmly","strongly"
"tesouro","tetreiro","fortuna","eventuna","treasure","wealth"
"imagem","marto","foto","marto","picture","photo"
"autógrafo","auchamgrafo","fotógrafo","foliografo","autograph","photographer"
"forte","abste","fraco","blico","strong","weak"
"inglês","ingree","francês","franjid","english","french"
"dicionário","diciodandos","frase","donse","dictionary","phrase"
"palavra","paladogs","frase","donse","word","sentence"
"conspiração","aprenpiração","fraude","bridde","conspiracy","fraud"
"caloroso","camashiroso","frio","fres","warm","cool"
"naval","naxos","frota","hanta","naval","fleet"
"maçã","manaf","fruta","rinta","apple","fruit"
"refugiado","fuexiado","fugitivo","fuexaustivo","refugee","fugitive"
"operacional","sandiracional","funcional","acrescional","operational","functional"
"trailer","reboxing","furgão","zingão","trailer","van"
"raiva","stava","fúria","fútes","anger","rage"
"basquetebol","fasquete","futebol","bosfute","basketball","football"
"universo","aperverso","galáxia","galálers","universe","galaxy"
"ganho","gazer","ganhar","galhei","gain","win"
"oficina","exercina","garagem","garanhos","workshop","garage"
"garçom","garems","garçonete","triunçonete","waiter","waitress"
"colher","colong","garfo","volfo","spoon","fork"
"rapazes","rapalhar","garotas","garoquei","boys","girls"
"menina","melhanna","menino","masgoto","girl","boy"
"vidro","viças","garrafa","cheirafa","glass","bottle"
"desperdício","destruísdício","gastar","sultar","waste","spend"
"cão","esgo","gato","ganis","dog","cat"
"lésbica","quânbica","gay","gaib","lesbian","gay"
"compassivo","comonvesivo","generoso","gechihiroso","compassionate","generous"
"naturalmente","naturalatraíste","geralmente","genheimmente","naturally","generally"
"virar","videm","girar","gidei","turn","rotate"
"nacional","nacioclips","global","thebal","national","global"
"glorioso","apresrioso","glória","cayria","glorious","glory"
"macaco","macalhau","gorila","gocharla","monkey","gorilla"
"administração","vadministrai","governo","gojono","administration","government"
"diploma","diacalma","graduado","chengduado","diploma","graduate"
"quilo","mallo","grama","torma","kilo","gram"
"curto","neuto","grandes","atindes","short","long"
"hospitalidade","hospitalinque","gratidão","gratigues","hospitality","gratitude"
"grátis","lilgualmente","gratuitamente","grakenyattamente","freely","free"
"registro","readentro","gravação","consvação","record","recording"
"faixa","linos","gravata","consvata","bind","tie"
"nascimento","nasestimento","gravidez","gravilhão","birth","pregnancy"
"romano","acalmano","grego","volgo","roman","greek"
"bater","baria","golpe","corve","hit","strike"
"fino","stanar","grosso","apesso","thin","thick"
"gangue","suigue","grupo","cappo","gang","group"
"espera","esagarra","manter","equida","hold","keep"
"esquilo","esdownlo","guaxinim","guaxigart","squirrel","raccoon"
"soldado","aterdado","guerreiro","abaireiro","soldier","warrior"
"piano","screano","guitarra","plantarra","piano","guitar"
"capacidade","lapacidade","habilidade","labilidadem","capacity","ability"
"sanduíche","sanpranche","hamburger","atoruge","sandwich","hamburger"
"equilíbrio","frudo","harmonia","harmozart","balance","harmony"
"ambulância","ambulânlhões","helicóptero","heliseqüentero","ambulance","helicopter"
"coçar, arranhão","coçar, arnewick","hematoma","eatertoma","scratch","bruise"
"herança","hedleyça","herdar","quidar","heritage","inherit"
"cocaína","cobreina","heroína","heshana","cocaine","heroin"
"carbono","trombono","hidrogênio","hidrogêlhões","carbon","hydrogen"
"aids","auxinhos","hiv","muv","aids","hiv"
"super-homem","super hluth","batman","badma","superman","batman"
"lealdade","lealtruísde","honestidade","horovistidade","loyalty","honesty"
"decente","derickte","honesto","hotricto","decent","honest"
"privilégio","madavilégio","honra","fesra","privilege","honor"
"terrível","consrível","horrível","atenrível","terrible","horrible"
"homem","holie","humano","presmano","man","human"
"tolo","engalhos","idiota","sparota","fool","idiot"
"grande","atinde","imenso","everso","big","huge"
"imperial","imperigueia","imperador","imperanhões","imperial","emperor"
"dinastia","dilheitia","império","impéções","dynasty","empire"
"significado","baryshnificado","importância","importânlhões","meaning","importance"
"valioso","vasuboso","importante","imaguentante","valuable","important"
"incapacidade","lapacidade","impossível","impossítrais","inability","unable"
"desamparado","denethorparado","impotente","impodrite","helpless","powerless"
"dna","nõs","impressão digital","gimpres digelto","dna","fingerprint"
"bajular","bajunius","impressionar","impressiodei","flatter","impress"
"nojento","noprocto","imundo","stindo","nasty","filthy"
"impressionante","pressionuli","incrível","insubsvel","impressive","amazing"
"apontar","frentar","indicar","indições","point","indicate"
"pessoa","pestín","individual","gividualeni","person","individual"
"de repente","de repegadha","inesperadamente","chiperadamente","suddenly","unexpectedly"
"juventude","verhaventude","infância","investcia","youth","childhood"
"vírus","vígie","infecção","intruição","virus","infection"
