target_word_unique,word_combo_related,cue_word_related,word_combo_unrelated,cue_word_unrelated
जानकारी,आंकड़ेजानकारी,आंकड़े,खांसीजानकारी,खांसी
आकर्षक,मनोहरआकर्षक,मनोहर,भुगतनाआकर्षक,भुगतना
सुंदरता,आकर्षणसुंदरता,आकर्षण,कंधासुंदरता,कंधा
लंबाई,आकारलंबाई,आकार,सलाहलंबाई,सलाह
स्वर्गीय,आकाशस्वर्गीय,आकाश,संपत्तिस्वर्गीय,संपत्ति
बिजली,आकाशीय विद्युतबिजली,आकाशीय विद्युत,कारणबिजली,कारण
हमला,आक्रमणहमला,आक्रमण,घोंघाहमला,घोंघा
कान,आंखकान,आंख,हास्यास्पदकान,हास्यास्पद
अंततः,आखिरकारअंततः,आखिरकार,पहचाननाअंततः,पहचानना
ज्योति,आगज्योति,आग,सींगज्योति,सींग
प्रस्थान,आगमनप्रस्थान,आगमन,सुअर का मांसप्रस्थान,सुअर का मांस
जारी रखें,आगे बढ़नाजारी रखें,आगे बढ़ना,मंत्रिमंडलजारी रखें,मंत्रिमंडल
बीता हुआ कल,आजबीता हुआ कल,आज,निगलनाबीता हुआ कल,निगलना
जनतंत्र,आजादीजनतंत्र,आजादी,लड़काजनतंत्र,लड़का
मुक्त,आज़ादी सेमुक्त,आज़ादी से,प्रबंधकमुक्त,प्रबंधक
प्रतिष्ठा,पेशाप्रतिष्ठा,पेशा,दस्तप्रतिष्ठा,दस्त
हत्या,आत्महत्याहत्या,आत्महत्या,प्रभावशालीहत्या,प्रभावशाली
आत्मा,प्राणआत्मा,प्राण,लेखआत्मा,लेख
आत्मविश्वास,आदर करनाआत्मविश्वास,आदर करना,विशेषआत्मविश्वास,विशेष
उत्तम,आदर्शउत्तम,आदर्श,हज़ारउत्तम,हज़ार
गण,आदेशगण,आदेश,चुंबकीयगण,चुंबकीय
त्रिमास,आधात्रिमास,आधा,संदेहत्रिमास,संदेह
मुख्यालय,आधारमुख्यालय,आधार,गारंटीमुख्यालय,गारंटी
अधिकारी,आधिकारिक तौर परअधिकारी,आधिकारिक तौर पर,नितंबअधिकारी,नितंब
दोपहर,आधी रातदोपहर,आधी रात,जासूसदोपहर,जासूस
परंपरागत,आधुनिकपरंपरागत,आधुनिक,सेकंडपरंपरागत,सेकंड
हर्ष,आनंदहर्ष,आनंद,विक्रेताहर्ष,विक्रेता
आइए,आनाआइए,आना,अंतरिक्ष यात्रीआइए,अंतरिक्ष यात्री
प्रभात,आने वाला कलप्रभात,आने वाला कल,फ़ैक्टरीप्रभात,फ़ैक्टरी
कार्यात्मक,आपरेशनलकार्यात्मक,आपरेशनल,नामकार्यात्मक,नाम
लोग,आबादीलोग,आबादी,जाललोग,जाल
धन्यवाद,आभारीधन्यवाद,आभारी,सूर्यास्तधन्यवाद,सूर्यास्त
कर्नल,आमकर्नल,आम,टकरावकर्नल,टकराव
समिति,आयोगसमिति,आयोग,गोल्फ़समिति,गोल्फ़
सुखद,आरामदायकसुखद,आरामदायक,उम्मीदवारसुखद,उम्मीदवार
फाइनेंसिंग,आर्थिक रूप सेफाइनेंसिंग,आर्थिक रूप से,रेगिस्तानफाइनेंसिंग,रेगिस्तान
टमाटर,आलूटमाटर,आलू,पहले से हीटमाटर,पहले से ही
छिपाना,आवरणछिपाना,आवरण,टिकटछिपाना,टिकट
लहज़ा,आवाज़लहज़ा,आवाज़,घुड़सवार सेनालहज़ा,घुड़सवार सेना
संकेत,आवृत्तिसंकेत,आवृत्ति,छलसंकेत,छल
आस्था,आशाआस्था,आशा,वाहनआस्था,वाहन
वास्तविक,आशावादीवास्तविक,आशावादी,वरिष्ठवास्तविक,वरिष्ठ
निराशा,आश्चर्यनिराशा,आश्चर्य,साक्षीनिराशा,साक्षी
कट गया,आँसूकट गया,आँसू,दूरबीनकट गया,दूरबीन
विभाजन,इकाईविभाजन,इकाई,योनिविभाजन,योनि
वास्तुकार,इंजीनियरवास्तुकार,इंजीनियर,नाज़ुकवास्तुकार,नाज़ुक
वेब,इंटरनेटवेब,इंटरनेट,वंशवेब,वंश
निरीक्षण,इंतिहाननिरीक्षण,इंतिहान,गरीबनिरीक्षण,गरीब
स्वीकार करें,इनकारस्वीकार करें,इनकार,मीनारस्वीकार करें,मीनार
पदच्युति,इस्तीफापदच्युति,इस्तीफा,मुंहपदच्युति,मुंह
गुस्सा,ईर्ष्यागुस्सा,ईर्ष्या,खंडगुस्सा,खंड
अंगूठा,उंगलीअंगूठा,उंगली,महिमाअंगूठा,महिमा
लेफ्टिनेंट,उच्च श्रेणी का वकीललेफ्टिनेंट,उच्च श्रेणी का वकील,गायकलेफ्टिनेंट,गायक
फिरौती,अपहरणकर्ताफिरौती,अपहरणकर्ता,मीलफिरौती,मील
जवाब,उत्तरजवाब,उत्तर,आंखजवाब,आंख
दिलचस्प,उत्तेजित करनेवालादिलचस्प,उत्तेजित करनेवाला,कंपनीदिलचस्प,कंपनी
सक्रिय,उत्प्रेरकसक्रिय,उत्प्रेरक,विश्लेषकसक्रिय,विश्लेषक
व्यापार,उद्योगव्यापार,उद्योग,भगवानव्यापार,भगवान
लैस,उपकरणलैस,उपकरण,बाहरलैस,बाहर
उपनाम,लक़बउपनाम,लक़ब,सीखनाउपनाम,सीखना
प्रभावी,उपयोगीप्रभावी,उपयोगी,थका हुआप्रभावी,थका हुआ
अनुपस्थिति,उपस्थितिअनुपस्थिति,उपस्थिति,अकारणअनुपस्थिति,अकारण
विदेशी,उफौविदेशी,उफौ,जेबविदेशी,जेब
जुनून,उमंगजुनून,उमंग,वेटरजुनून,वेटर
मतदाता,उम्मीदवारमतदाता,उम्मीदवार,इंजीनियरमतदाता,इंजीनियर
असत्य,नकलीअसत्य,नकली,सोमवारअसत्य,सोमवार
तल,ऊपरतल,ऊपर,जाँचतल,जाँच
तीन,एकतीन,एक,ठेठतीन,ठेठ
विवाहित,अकेलाविवाहित,अकेला,दर्शनविवाहित,दर्शन
जासूस,एजेंटजासूस,एजेंट,अक्षरशःजासूस,अक्षरशः
hiv,एड्सhiv,एड्स,धैर्यhiv,धैर्य
गीत,एल्बमगीत,एल्बम,आदर्शगीत,आदर्श
धूल,एशधूल,एश,नदीधूल,नदी
अफ़ीम का सत्त्व,एस्पिरिनअफ़ीम का सत्त्व,एस्पिरिन,जगहअफ़ीम का सत्त्व,जगह
समझ गए,एहसाससमझ गए,एहसास,आगसमझ गए,आग
बैंड,ऑर्केस्ट्राबैंड,ऑर्केस्ट्रा,अति उत्कृष्टबैंड,अति उत्कृष्ट
खड़ा होना,ओगाज़्मखड़ा होना,ओगाज़्म,साफखड़ा होना,साफ
गाल,ओंठगाल,ओंठ,कार्यशालागाल,कार्यशाला
स्टोव,ओवनस्टोव,ओवन,नतीजास्टोव,नतीजा
शयनकक्ष,कक्षशयनकक्ष,कक्ष,मेढकशयनकक्ष,मेढक
कारागार,कक्षकारागार,कक्ष,तैयारीकारागार,तैयारी
स्कूल,कक्षास्कूल,कक्षा,स्वाभाविक प्रवृत्तिस्कूल,स्वाभाविक प्रवृत्ति
कचरा,कूड़ाकचरा,कूड़ा,अवतरणकचरा,अवतरण
प्लेट,कटोराप्लेट,कटोरा,आधुनिकप्लेट,आधुनिक
मुश्किल,कठिनमुश्किल,कठिन,सृजन करनामुश्किल,सृजन करना
स्थानांतरण,कदमस्थानांतरण,कदम,शास्वतस्थानांतरण,शास्वत
घुटना,कंधाघुटना,कंधा,मिंगघुटना,मिंग
कॉफ़ी,कपकॉफ़ी,कप,ताकतकॉफ़ी,ताकत
रूमाल,कपड़ारूमाल,कपड़ा,निंजारूमाल,निंजा
निगम,कंपनीनिगम,कंपनी,गर्मीनिगम,गर्मी
तौलिया,कंबलतौलिया,कंबल,नवलतौलिया,नवल
अक्सर,कभी - कभीअक्सर,कभी - कभी,ठीकअक्सर,ठीक
शायद ही कभी,कभी - कभीशायद ही कभी,कभी - कभी,नसशायद ही कभी,नस
कभी,कभी नहीँकभी,कभी नहीँ,चीनीकभी,चीनी
उच्च,कमउच्च,कम,इनकारउच्च,इनकार
अपर,कमअपर,कम,ज़ंग खाया हुआअपर,ज़ंग खाया हुआ
लंबा,कमलंबा,कम,भागनालंबा,भागना
अतिरंजना करना,कम समझनाअतिरंजना करना,कम समझना,सक्षमअतिरंजना करना,सक्षम
कप्तान,कमांडरकप्तान,कमांडर,गलाकप्तान,गला
जैकेट,कमीजजैकेट,कमीज,राज्यपालजैकेट,राज्यपाल
उद्यमी,करोड़पतिउद्यमी,करोड़पति,फांसीउद्यमी,फांसी
समुंद्री जहाज,कर्मी दलसमुंद्री जहाज,कर्मी दल,लाइवसमुंद्री जहाज,लाइव
साहित्य,कलासाहित्य,कला,गायसाहित्य,गाय
चित्रकार,कलाकारचित्रकार,कलाकार,अधिकचित्रकार,अधिक
इकट्ठा करना,कलेक्टइकट्ठा करना,कलेक्ट,राजकुमारीइकट्ठा करना,राजकुमारी
रचनात्मकता,कल्पनारचनात्मकता,कल्पना,सुईरचनात्मकता,सुई
दंतकथा,कल्पित कथादंतकथा,कल्पित कथा,स्वस्थ होनादंतकथा,स्वस्थ होना
लेखक,कविलेखक,कवि,ओंठलेखक,ओंठ
दर्द,कष्टदर्द,कष्ट,रिश्तेदारदर्द,रिश्तेदार
क़सम,कसम खाताक़सम,कसम खाता,मुकाबलाक़सम,मुकाबला
कहीं,और कहींकहीं,और कहीं,चोरी होनाकहीं,चोरी होना
बताओ,कहोबताओ,कहो,राजवंशबताओ,राजवंश
जिला,काउंटीजिला,काउंटी,हत्याराजिला,हत्यारा
कलम,कागज़कलम,कागज़,समुद्रीकलम,समुद्री
बोतल,कांचबोतल,कांच,गुनगुनाहटबोतल,गुनगुनाहट
संविधान,कानूनसंविधान,कानून,शांतिप्रदसंविधान,शांतिप्रद
काम,रोजगारकाम,रोजगार,दृश्यकाम,दृश्य
पत्रिका,प्लेबॉयपत्रिका,प्लेबॉय,तरीकापत्रिका,तरीका
वजह,कारणवजह,कारण,अनाथालयवजह,अनाथालय
हाइड्रोजन,कार्बनहाइड्रोजन,कार्बन,चित्रहाइड्रोजन,चित्र
गेराज,कार्यशालागेराज,कार्यशाला,उंगलीगेराज,उंगली
फेडरेशन,कालोनीफेडरेशन,कालोनी,वर्षाफेडरेशन,वर्षा
किराया,किराये काकिराया,किराये का,क्रोधकिराया,क्रोध
हत्यारा,किराये काहत्यारा,किराये का,झंडाहत्यारा,झंडा
मकान मालिक,किरायेदारमकान मालिक,किरायेदार,अनुरक्षणमकान मालिक,अनुरक्षण
ग्राम,किलोग्राम,किलो,प्रस्तावग्राम,प्रस्ताव
मीटर,किलोमीटरमीटर,किलोमीटर,एल्बममीटर,एल्बम
किशोर,किशोर काकिशोर,किशोर का,रक्तकिशोर,रक्त
मज़दूर,किसानमज़दूर,किसान,हटानामज़दूर,हटाना
छान - बीन करना,की जांचछान - बीन करना,की जांच,शरीर रचनाछान - बीन करना,शरीर रचना
ठीक होना,स्वस्थ होनाठीक होना,स्वस्थ होना,मेलठीक होना,मेल
रेत,कीचड़रेत,कीचड़,किराये कारेत,किराये का
साँप,कीड़ासाँप,कीड़ा,मैराथनसाँप,मैराथन
कोई चीज़,कुछ नहींकोई चीज़,कुछ नहीं,बदकिस्मतकोई चीज़,बदकिस्मत
बिल्ली,कुत्ताबिल्ली,कुत्ता,तनावबिल्ली,तनाव
अध्यक्ष,कुलाधिपतिअध्यक्ष,कुलाधिपति,शामिल होनाअध्यक्ष,शामिल होना
ध्यान केंद्रित करना,केंद्रध्यान केंद्रित करना,केंद्र,लिपस्टिकध्यान केंद्रित करना,लिपस्टिक
वायर,केबलवायर,केबल,कोकीनवायर,कोकीन
डेक,केबिनडेक,केबिन,सक्रियडेक,सक्रिय
स्ट्रॉबेरी,केलास्ट्रॉबेरी,केला,एम्बुलेंसस्ट्रॉबेरी,एम्बुलेंस
सरल,सरलता सेसरल,सरलता से,रक्षासरल,रक्षा
दाढ़ी,केशदाढ़ी,केश,इंतिहानदाढ़ी,इंतिहान
ईसाई,कैथोलिकईसाई,कैथोलिक,प्रगतिईसाई,प्रगति
जांच,कैप्सूलजांच,कैप्सूल,साहसजांच,साहस
माइक्रोफ़ोन,कैमरामाइक्रोफ़ोन,कैमरा,कम समझनामाइक्रोफ़ोन,कम समझना
हेरोइन,कोकीनहेरोइन,कोकीन,गर्वहेरोइन,गर्व
खिलाड़ी,कोचखिलाड़ी,कोच,ओवनखिलाड़ी,ओवन
पासवर्ड,कोडपासवर्ड,कोड,शार्कपासवर्ड,शार्क
गली,कोनेगली,कोने,बढ़नागली,बढ़ना
तेल,कोयलातेल,कोयला,संबंधतेल,संबंध
न्यायाधीश,कोर्टन्यायाधीश,कोर्ट,अच्छान्यायाधीश,अच्छा
प्रयास,कोशिश करोप्रयास,कोशिश करो,ट्रेलरप्रयास,ट्रेलर
डायन,कोसनाडायन,कोसना,ठोसडायन,ठोस
वह,क्यावह,क्या,डीवीडीवह,डीवीडी
परिवर्तन,क्रमागत उन्नतिपरिवर्तन,क्रमागत उन्नति,वास्तापरिवर्तन,वास्ता
छुट्टी का दिन,क्रिसमसछुट्टी का दिन,क्रिसमस,मंशाछुट्टी का दिन,मंशा
निर्दयी,क्रूरनिर्दयी,क्रूर,प्रौद्योगिकीनिर्दयी,प्रौद्योगिकी
तेज़ी,क्रोधतेज़ी,क्रोध,केलातेज़ी,केला
मधुशाला /बार,क्लबमधुशाला /बार,क्लब,मानसिकमधुशाला /बार,मानसिक
योग्यता,क्षमतायोग्यता,क्षमता,ब्रीफ़केसयोग्यता,ब्रीफ़केस
प्रतिभा,क्षमताप्रतिभा,क्षमता,अंतिमप्रतिभा,अंतिम
क्षमा करें,क्षमा करनाक्षमा करें,क्षमा करना,स्वस्थक्षमा करें,स्वस्थ
क्षेत्र,क्षेत्रफलक्षेत्र,क्षेत्रफल,प्लेबॉयक्षेत्र,प्लेबॉय
अधिकार,क्षेत्राधिकारअधिकार,क्षेत्राधिकार,ट्यूमरअधिकार,ट्यूमर
स्थानीय,क्षेत्रीयस्थानीय,क्षेत्रीय,आनंदस्थानीय,आनंद
संपत्ति,खजानासंपत्ति,खजाना,डीनसंपत्ति,डीन
बैठिये,खड़ा होनाबैठिये,खड़ा होना,रेजिमेंटबैठिये,रेजिमेंट
बेचना,खरीदनाबेचना,खरीदना,लक़बबेचना,लक़ब
चोट,खरोंचचोट,खरोंच,बाधा डालनाचोट,बाधा डालना
बंदरगाह,खाड़ीबंदरगाह,खाड़ी,पागलपनबंदरगाह,पागलपन
भोजन,खानाभोजन,खाना,पश्चिमभोजन,पश्चिम
भरा हुआ,खालीभरा हुआ,खाली,भाषणभरा हुआ,भाषण
बुखार,खांसीबुखार,खांसी,शक्तिबुखार,शक्ति
द्वार,खिड़कीद्वार,खिड़की,सबूतद्वार,सबूत
इंजेक्शन,खुराकइंजेक्शन,खुराक,कभी - कभीइंजेक्शन,कभी - कभी
बंद करना,खुला हुआबंद करना,खुला हुआ,नायकबंद करना,नायक
गाड़ना,गड्ढा करनागाड़ना,गड्ढा करना,प्रोटीनगाड़ना,प्रोटीन
घिनौना,गंदाघिनौना,गंदा,भूकंपघिनौना,भूकंप
घोड़ा,गधाघोड़ा,गधा,आरामदायकघोड़ा,आरामदायक
कांड,गपशपकांड,गपशप,डीएनएकांड,डीएनए
नशे में,होश मेंनशे में,होश में,औजारनशे में,औजार
कब्रिस्तान,कब्रकब्रिस्तान,कब्र,लागूकब्रिस्तान,लागू
तोड़ना,गरजतोड़ना,गरज,स्टेडियमतोड़ना,स्टेडियम
ठंडा,गरमठंडा,गरम,विरूपण साक्ष्यठंडा,विरूपण साक्ष्य
सर्दी,गरमसर्दी,गरम,प्रयोजनसर्दी,प्रयोजन
धनी,गरीबधनी,गरीब,शल्य चिकित्सकधनी,शल्य चिकित्सक
कष्ट,गरीबीकष्ट,गरीबी,रात का खानाकष्ट,रात का खाना
सर्दी.1,गर्मीसर्दी,गर्मी,ओगाज़्मसर्दी,ओगाज़्म
तापमान,गर्मीतापमान,गर्मी,टूनातापमान,टूना
जोश में,गर्वजोश में,गर्व,किशोर काजोश में,किशोर का
सही,गलतसही,गलत,यशस्वीसही,यशस्वी
गर्दन,गलागर्दन,गला,आओगर्दन,आओ
सूअर,गायसूअर,गाय,क्षमतासूअर,क्षमता
संगीतकार,गायकसंगीतकार,गायक,गिरनासंगीतकार,गिरना
वादा,गारंटीवादा,गारंटी,असलीवादा,असली
आंकलन,गिनतीआंकलन,गिनती,शहदआंकलन,शहद
ढहना,गिरनाढहना,गिरना,शिकार करनाढहना,शिकार करना
समूह,गिरोहसमूह,गिरोह,प्राकृतिकसमूह,प्राकृतिक
रैकून,गिलहरीरैकून,गिलहरी,च्नद्ररैकून,च्नद्र
खिलौना,गुड़ियाखिलौना,गुड़िया,अपरिवर्तनवादीखिलौना,अपरिवर्तनवादी
झंकार,गुनगुनाहटझंकार,गुनगुनाहट,यहांझंकार,यहां
रहस्य,गुप्तरहस्य,गुप्त,फोड़नारहस्य,फोड़ना
यकृत,गुर्दायकृत,गुर्दा,दुश्मनयकृत,दुश्मन
प्रदर्शनी,गेलरीप्रदर्शनी,गेलरी,कल्पित कथाप्रदर्शनी,कल्पित कथा
ईंधन,गैसईंधन,गैस,कैप्सूलईंधन,कैप्सूल
चारों तरफ,गोलचारों तरफ,गोल,हाव - भावचारों तरफ,हाव - भाव
गोली,कैप्सूलगोली,कैप्सूल,गिनतीगोली,गिनती
टेनिस,गोल्फ़टेनिस,गोल्फ़,खालीटेनिस,खाली
गरिमा,गौरवगरिमा,गौरव,हरागरिमा,हरा
ग्रहकक्ष,ग्रहग्रहकक्ष,ग्रह,एस्पिरिनग्रहकक्ष,एस्पिरिन
प्रतिस्पर्धा,घटनाप्रतिस्पर्धा,घटना,गलतप्रतिस्पर्धा,गलत
दुर्घटना,घटनादुर्घटना,घटना,प्रस्तावदुर्घटना,प्रस्ताव
होना,घटित होनाहोना,घटित होना,यौनहोना,यौन
जानलेवा,घातकजानलेवा,घातक,अभीजानलेवा,अभी
चोट.1,घावचोट,घाव,जंगलचोट,जंगल
आर्टिलरी,घुड़सवार सेनाआर्टिलरी,घुड़सवार सेना,अवरोधितआर्टिलरी,अवरोधित
प्यार,घृणाप्यार,घृणा,वातावरणप्यार,वातावरण
कुरूप,घृणितकुरूप,घृणित,शिकारकुरूप,शिकार
कछुआ,घोंघाकछुआ,घोंघा,प्रगतिकछुआ,प्रगति
अंडा,घोंसलाअंडा,घोंसला,माफियाअंडा,माफिया
गले का हार,छल्ला/घेरागले का हार,छल्ला/घेरा,काउंटीगले का हार,काउंटी
मेयोनेज़,चटनीमेयोनेज़,चटनी,आगे बढ़नामेयोनेज़,आगे बढ़ना
पत्थर,चट्टानपत्थर,चट्टान,केबिनपत्थर,केबिन
कूदना,चढनाकूदना,चढना,व्हिस्कीकूदना,व्हिस्की
चमकदार,चमकचमकदार,चमक,सोफ़ाचमकदार,सोफ़ा
कांटा,चम्मचकांटा,चम्मच,वसंतकांटा,वसंत
व्यक्तित्व,चरित्रव्यक्तित्व,चरित्र,अंधाव्यक्तित्व,अंधा
चैपल,चर्चचैपल,चर्च,राक्षसचैपल,राक्षस
सवारी,चलानासवारी,चलाना,टुकड़ासवारी,टुकड़ा
टोपी,चश्माटोपी,चश्मा,चिकित्साटोपी,चिकित्सा
पिता,चाचापिता,चाचा,घटित होनापिता,घटित होना
रवि,चांदरवि,चांद,आकर्षणरवि,आकर्षण
सौर,च्नद्रसौर,च्नद्र,भारसौर,भार
प्रभावित करना,चापलूसीप्रभावित करना,चापलूसी,रीढ़ की हड्डी मेंप्रभावित करना,रीढ़ की हड्डी में
लॉक,चाभीलॉक,चाभी,पेशालॉक,पेशा
खाओ,खिलानाखाओ,खिलाना,अंधेराखाओ,अंधेरा
इलाज,चिकित्साइलाज,चिकित्सा,मुस्कुराओइलाज,मुस्कुराओ
सर्कस,चिड़ियाघरसर्कस,चिड़ियाघर,पालन ​​करनासर्कस,पालन ​​करना
चिंता,वास्ताचिंता,वास्ता,कमीजचिंता,कमीज
बेचैन,चिंतितबेचैन,चिंतित,संस्कृतिबेचैन,संस्कृति
तस्वीर,चित्रतस्वीर,चित्र,ठहरनातस्वीर,ठहरना
चॉकलेट,चीनीचॉकलेट,चीनी,अर्थचॉकलेट,अर्थ
चुनें,चुननाचुनें,चुनना,तारचुनें,तार
शांत,चुपशांत,चुप,आवृत्तिशांत,आवृत्ति
बिजली.1,चुंबकीयबिजली,चुंबकीय,बुराबिजली,बुरा
झप्पी,चुम्माझप्पी,चुम्मा,घटनाझप्पी,घटना
अपराधी,चोरअपराधी,चोर,और कहींअपराधी,और कहीं
लूटना,चुरानालूटना,चुराना,बिल्कुललूटना,बिल्कुल
चाटना,चूसनाचाटना,चूसना,वर्णन करनाचाटना,वर्णन करना
चूहा,माउसचूहा,माउस,निजीचूहा,निजी
अलार्म,चेतावनीअलार्म,चेतावनी,अज्ञानअलार्म,अज्ञान
संदेश,चेतावनीसंदेश,चेतावनी,गरीबीसंदेश,गरीबी
समाचार,चैनलसमाचार,चैनल,थोड़ासमाचार,थोड़ा
योद्धा,चैंपियनयोद्धा,चैंपियन,महीनायोद्धा,महीना
लूट,चोरी होनालूट,चोरी होना,आबादीलूट,आबादी
हथौड़ा,छड़ीहथौड़ा,छड़ी,लिफ़ाफ़ाहथौड़ा,लिफ़ाफ़ा
मज़ाक,छलमज़ाक,छल,हाथमज़ाक,हाथ
अध्यापक,छात्रअध्यापक,छात्र,बूंदअध्यापक,बूंद
छोड़ देना,छुट्टीछोड़ देना,छुट्टी,गंदाछोड़ देना,गंदा
मटमैला,ज़ंग खाया हुआमटमैला,ज़ंग खाया हुआ,कममटमैला,कम
वन,जंगलवन,जंगल,बातचीतवन,बातचीत
रस्सी,जंजीररस्सी,जंजीर,भूरारस्सी,भूरा
दर्शक,भीड़दर्शक,भीड़,चेतावनीदर्शक,चेतावनी
रिएक्टर,जनरेटररिएक्टर,जनरेटर,पहाड़ीरिएक्टर,पहाड़ी
