zh_cue,zh_target,en_cue,en_target,zh_fake_cue,zh_fake_target
你好,再见,hello,bye,酵歌,蚀软
帮忙,协助,help,assist,骨警,有起
这里,那儿,here,there,革哮,突实
遗产,继承,heritage,inherit,清给,供士
英雄,救主,hero,savior,近茶,痛误
聘请,租赁,hire,rent,字荼,奴惯
抓住,保持,hold,keep,地承,嫂隐
蜜糖,黄油,honey,butter,市指,饭自
希望,信仰,hope,faith,征腻,家折
恐怖,害怕,horror,fear,所繁,小身
打猎,钓鱼,hunting,fishing,念美,彻观
错觉,幻觉,illusion,hallucination,空干,素训
印象,感觉,impression,feeling,纽看,魔闭
工业,商业,industry,business,要臼,钟调
冤屈,不公,injustice,unfair,等口,条示
国际,世界,international,world,印纲,汇雾
吉普,卡车,jeep,truck,题人,望缠
刚才,最近,just,recently,冰修,拆友
着陆,起飞,land,fly,司好,对屯
图书馆,博物馆,library,museum,成焚,木良
电闪,雷鸣,lightning,thunder,业右,耍新
液体,流质,liquid,fluid,帮弃,尖族
很少,很小,little,small,打焙,侄车
锁定,关闭,locked,closed,刑喂,化炮
看见,手表,look,watch,诫猎,师藏
主人,夫人,lord,lady,受酸,粗寄
输家,胜者,loser,winner,白耳,缺触
低,高,low,high,紧子,金景
忠心,诚实,loyalty,honesty,烧侦,会甲
魔法,巫师,magic,wizard,助宝,某游
磁的,电的,magnetic,electric,声荒,摇璀
邮件,传真,mail,fax,化常,皇斑
制作,做到,make,do,事活,藉玄
经理,老板,manager,boss,偏香,因炊
男子,人类,man,human,猛实,足终
火星,金星,mars,venus,手者,场然
物质,粒子,matter,particle,好枝,芳视
可能,大概,maybe,probably,跌北,以答
意义,重要,meaning,importance,走压,破分
医疗的,心理的,medical,psychological,堂充,出粒
英里,厘米,mile,centimeter,食走,战拨
牛奶,果汁,milk,juice,店捐,时人
百万,十亿,million,billion,睾传,加爹
明,凌,ming,ling,码闭,饮街
现代,传统,modern,traditional,结嗓,胃角
移动,转移,move,transfer,烧抚,皇价
天真,愚蠢,naïve,stupid,余曲,下灭
姓名,称号,name,title,压而,个线
国家,全球,national,global,礼下,呆管
近处,远方,near,far,确寂,在监
必要,需要,necessary,need,男赶,出枢
巢,蛋,nest,egg,法驱,非洗
绝不,曾经,never,ever,费疫,咁子
美好,可爱,nice,lovely,奠异,累童
忍者,武士,ninja,samurai,气期,板时
崇高,勇敢,noble,brave,现桥,钢泡
一般,通常,normally,usually,部兴,义加
没有,某物,nothing,something,归争,世鼻
十一月,十二月,november,december,手喇管,剂很矿
现在,知道,now,know,圣灾,横价
观察,评估,observation,evaluation,陷水,牛夫
提供,给予,offer,give,棚笨,孙他
好的,是的,okay,yeah,示祇,早同
苍老,年轻,old,young,滥办,餬屑
一,三,one,three,除女,色铐
打开,关闭,open,close,拔散,开记
开端,结尾,opening,closure,线市,取怪
操作,手术,operate,surgery,需揽,开跌
观点,看法,opinion,attitude,靠山,范鲜
乐观,切实,optimistic,realistic,小貌,迁夜
管弦,乐队,orchestra,band,倡迭,陀木
平常,通常,ordinary,usual,飞隐,听挤
原件,副本,original,copy,示子,谬精
外边,周围,out,about,成赛,身食
外部,里面,outside,inside,美平,着更
绘画,素描,paint,draw,错鸣,榨抑
天堂,地狱,paradise,hell,梦庵,代弱
偏执,疯狂,paranoid,crazy,词步,质彩
国会,议院,parliament,senate,伏催,美嘱
患者,客户,patient,client,重隐,墓冰
私人,个人,person,individual,罚辈,绝僭
现象,事件,phenomenon,event,赠光,农关
哲学,宗教,philosophy,religion,单错,柳伏
物理,数学,physics,mathematics,汇观,重股
野餐,露营,picnic,camping,湿础,节相
手枪,武器,pistol,weapon,煞边,掠庶
地点,位置,place,location,印虎,尾舅
行星,轨道,planet,orbit,通实,王损
花花公子,杂志,playboy,magazine,今跳孟纯,但叶
加法,减法,plus,minus,难金,姿刀
指出,表明,point,indicate,票痛,味半
毒害,杀死,poison,kill,珍标,评山
政策,政治家,policy,politician,县片,台迭
族群,大众,population,people,得种,喻浅
入口,大门,portal,gate,单天,数拱
准备,计划,preparation,planning,贡洗,亲碎
漂亮,美丽,pretty,beautiful,祸定,问水
猎物,猎手,prey,predator,止众,还爹
可能,大概,probability,likely,傲夫,餐行
进步,发展,progress,development,使目,席果
项目,程序,project,program,典内,向倒
财产,物主,property,owner,于阴,容估
自豪,兴奋,proud,excited,木意,定品
酒吧,餐厅,pub,restaurant,气胡,到原
脉冲,压力,pulse,pressure,进金,兔量
惩治,逮捕,punish,arrest,抵灭,排党
质疑,询问,question,ask,杀还,警得
种族主义,共产主义,racist,communist,及富绵杏,治杂米听
阅读,写作,reading,writing,鱼手,乳铁
原因,理由,reason,cause,耐客,框羊
承认,知道,recognize,knew,特子,来扉
难民,逃犯,refugee,fugitive,光麦,刊尘
亲戚,表哥,relative,cousin,可国,接慕
替换,取代,replace,substitute,谶违,愤诚
报告,通知,report,inform,士趾,久雷
尊重,信任,respect,confidence,条傲,篮勉
责任,义务,responsibility,duty,后猪,账访
休息,睡觉,rest,sleep,捐坛,盆字
揭晓,眼光,revelation,vision,冷喜,荒质
韵律,风格,rhythm,style,公查,访亡
右边,左边,right,left,壮来,早区
风险,危险,risky,dangerous,奏款,讽碳
道路,高速,road,highway,声运,具宵
转圈,围绕,round,around,干撤,横单
皇室,王国,royal,kingdom,掉早,转城
规则,协议,rule,protocol,土抱,存片
朗姆酒,白兰地,rum,cognac,放鳔兲,重成惘
伤心,悲惨,sad,tragic,在祸,封法
周六,周日,saturday,sunday,落言,菜稿
说出,告诉,say,tell,上湛,志而
抓破,挫伤,scratch,bruise,冲巢,责直
屏幕,监控,screen,monitor,收攀,本胃
片刻,分钟,second,minute,烟琢,读惶
秘密,谜团,secret,mystery,在为,免午
看见,遇到,see,meet,靠任,毛平
性别,身体,sexual,physical,低得,偿出
阴影,黑暗,shadow,dark,讲门,原交
显示,表现,show,performance,电掉,坞通
相似,不同,similar,different,足次,穷甲
过错,犯罪,sin,crime,老餐,厌革
单身,已婚,single,married,滚册,积饭
尺寸,长度,size,length,传官,肉犯
天空,天国,sky,heavenly,声起,译围
粉碎,打破,smash,break,独托,手卉
烟雾,雪茄,smoke,cigar,放打,法纤
有时,经常,sometimes,often,工播,派声
汤羹,沙拉,soup,salad,历茶,逐赢
来源,线人,source,informant,况炮,场钢
赛场,棒球,stadium,baseball,债上,白陶
偷盗,抢劫,steal,rob,编河,侍路
棍棒,锤子,stick,hammer,角报,娘久
强度,力气,strength,force,证中,夫毒
压力,抑郁,stress,depression,授候,个书
固执,自私,stubborn,selfish,倒长,使俭
潜艇,轮船,submarine,boat,拟心,后青
苦难,疼痛,suffering,pain,紧主,丧胚
迹象,症候,symptom,syndrome,忙北,头答
坦克,引擎,tank,engine,鼓处,幽千
出租车,豪华车,taxi,limousine,兵访孖,烈宫
眼泪,伤口,tear,cut,证常,喜御
文本,诗歌,text,poem,考健,动从
小偷,罪犯,thief,criminal,墓眼,民商
薄,厚,thin,thick,市撇,理箱
第三,第四,third,fourth,晚升,应萄
吐司,熏肉,toast,bacon,色身,肃位
烟草,香烟,tobacco,cigarette,跃白,田过
厕所,水槽,toilet,sink,凶攻,岳干
明天,早晨,tomorrow,morning,都书,剧投
角逐,竞争,tournament,match,传鈪,预树
拖车,货车,trailer,van,栅一,拔课
戏弄,玩笑,trick,joke,协坏,好交
准确,真实,true,real,疲判,讽碳
信任,相信,trust,believe,起型,罪迸
尝试,试图,try,attempt,密嫌,进双
转动,旋转,turn,rotate,非居,鞭喘
两个,四个,two,four,房于,侵柜
飞碟,外星人,ufo,alien,场良,客姜
叔叔,爸爸,uncle,dad,拼军,无庇
不适,难受,uncomfortable,unpleasant,空望,交凉
有用,有效,useful,effective,还戏,黑时
价值,价钱,value,price,收歧,头生
等待,期待,wait,expect,武赠,点视
温暖,凉爽,warm,cool,类秋,道难
提示,消息,warning,message,注私,诫头
哪个,那个,what,that,说街,余水
威士忌,伏特加,whiskey,vodka,送鱻年,国入趄
寡妇,女士,widow,woman,文下,医运
机智,有趣,witty,funny,审口,蔬匣
单词,句子,word,sentence,拍歌,及名
南方,北方,south,north,盈滑,撬办
西方,东方,west,east,世鸡,意牌
白色,黑色,white,black,前嫂,游锦
积极,消极,positive,negative,如整,益景
红色,黄色,red,yellow,税掠,破稿
英语,法语,english,french,瓜巴,壮嘴
公主,王子,princess,prince,稻柔,选开
母亲,父亲,mother,father,数败,奸飞
阅读,写作,read,write,视改,河早
小狗,猫咪,dog,cat,求凝,脱面
女王,国王,queen,king,置走,用子
强壮,虚弱,strong,weak,猜降,划宅
将军,上校,general,colonel,联场,发修
省长,议员,governor,senator,实惨,了豚
医师,大夫,surgeon,doctor,令惊,路疚
姐妹,兄弟,sister,brother,艺配,循伴
清白,有罪,innocent,guilty,呛室,哲影
学生,老师,student,teacher,刊恨,巾事
自杀,谋杀,suicide,murder,耐闭,眼论
女孩,男孩,girl,boy,讳露,晚化
医院,诊所,hospital,clinic,台蟹,冲问
酒店,旅馆,hotel,motel,下出,错平
风险,危险,risk,danger,重末,重雀
分开,婚姻,divorce,marriage,松池,相衫
长官,队长,commander,captain,个拿,光乱
肿瘤,癌症,tumor,cancer,双清,好呼
温热,寒冷,hot,cold,深链,带海
火车,公交,train,bus,惊界,距脉
男性,女性,male,female,愉卵,迂线
车辆,轿车,vehicle,car,损水,点慌
铁器,金属,iron,metal,子误,幕舞
可卡因,海洛因,cocaine,heroin,浪巾,成给
神话,传奇,myth,legend,陶水,搥壳
发电机,反应堆,generator,reactor,上仙怹,继念肄
想法,理论,idea,theory,耍截,级词
憎恨,热爱,hate,love,花袱,力卫
学院,大学,college,university,液操,同卜
气流,风暴,wind,storm,单沮,住看
夏日,冬天,summer,winter,配探,房动
炸毁,爆破,bomb,explosive,食除,喜太
剑,刀,sword,knife,殆单,少喜
军士,中尉,sergeant,lieutenant,犬依,觅羞
同事,朋友,colleague,friend,情板,心子
制片,导演,producer,director,刻配,兜肋
理想,完美,ideal,perfect,倒心,演亮
蝴蝶,飞鸟,butterfly,bird,孤语,家题
婴儿,孩子,baby,child,汐喜,要烛
听见,得知,listen,hear,东有,盈冲
购买,售卖,buy,sell,瘀布,渴例
对抗,战斗,war,battle,状琐,味停
糟糕,可怕,terrible,horrible,品长,增饨
肮脏,厌恶,dirty,disgusting,宏地,贪腿
狗熊,灰狼,bear,wolf,迫瓜,果脸
小雨,大雪,rain,snow,受塑,抽舰
成功,失败,success,failure,俨预,种对
干燥,湿润,dry,wet,折她,空方
噪音,声响,noise,sound,回弯,破公
在场,缺席,presence,absence,刑停,迈幸
技术,科学,technology,science,饰上,球胎
秘书,助手,secretary,assistant,进罕,藏变
非法,合规,illegal,legal,学腹,醉风
实验,测试,experiment,test,贞摸,惊蕾
商讨,会议,conference,meeting,弃年,旁有
舞者,跳舞,dancer,dance,算声,出申
委任,委员,commission,committee,落顺,滋外
最小,最大,minimum,maximum,寻载,方掉
证实,确认,confirmation,confirm,月矮,要长
业余,专业,amateur,professional,巡独,塘邪
九月,十月,september,october,抵歌,戒入
就绪,准备,ready,prepare,弒教,数圣
女儿,儿子,daughter,son,构访,举口
开枪,射击,shot,shoot,制慈,點毅
忘却,记住,forget,remember,产意,转妈
点火,火焰,fire,flame,帐客,布营
短暂,长久,short,long,加澎,食盲
纸盒,袋子,box,bag,修切,墨受
窗户,大门,window,door,见卖,事落
戒指,项链,ring,necklace,秘羁,经群
海水,海洋,sea,ocean,红险,铺丹
宇宙,星系,universe,galaxy,引凌,首氧
胜利,失败,victory,defeat,语盖,人丸
间谍,叛徒,spy,traitor,替藉,忍显
文化,文明,culture,civilization,寿垄,恶火
异常,奇怪,unusual,strange,听刻,乱股
高尔夫,网球,golf,tennis,打受瞐,少雷
非洲,美国,africa,america,好毁,独铁
公里,仪表,kilometer,meter,前子,发底
夜间,晚上,night,evening,口伍,用政
饮料,啤酒,drink,beer,途驱,约冠
编号,地址,number,address,弹认,吞日
迟到,提前,late,early,喊级,禁君
学习,教导,learn,teach,旁型,霍安
贫困,富有,poor,rich,友汁,灵亮
方桌,椅子,table,chair,属采,传形
法庭,法官,court,judge,利色,学毁
精彩,极好,wonderful,fantastic,通父,团愤
傻子,笨蛋,fool,idiot,疲给,名闲
微笑,开心,smile,laugh,昏好,强饰
品质,性格,character,personality,种岗,市愕
水手,轮船,crew,ship,别会,足凡
衬衫,夹克,shirt,jacket,牧份,令巨
过程,程序,process,procedure,用校,量勉
社会,社区,society,community,添净,除通
爷爷,奶奶,grandfather,grandmother,大从,心涧
土堆,高山,hill,mountain,色像,母正
艺人,画家,artist,painter,及美,无验
戏剧,喜剧,drama,comedy,热娘,竭污
线人,记者,reporter,journalist,成涨,法题
正式,官方,officially,official,船隔,浅死
英镑,美元,pound,dollar,细衔,发仁
积极,活跃,active,activity,拳鱼,火支
雷达,卫星,radar,satellite,除子,兵井
灯具,蜡烛,lamp,candle,稚刻,当善
仪式,典礼,ritual,ceremony,军甜,心页
精神,情绪,mental,emotional,饵色,济多
讲话,发言,talk,speak,首误,不彼
玩耍,游戏,play,game,文米,势治
丈夫,妻子,husband,wife,料性,搞五
公司,企业,company,corporation,陷初,进罚
班级,学校,class,school,宽暖,连延
保护,守卫,protect,defend,田祈,随空
律师,检察官,lawyer,prosecutor,草蛮,顺股
搜索,找到,search,find,指嚼,观却
品尝,闻到,taste,smell,凶胞,来衣
玻璃,瓶子,glass,bottle,体契,喉兄
广播,电视,radio,television,赤储,忙忌
慢慢,快速,slow,fast,比犯,库杂
怪物,生物,monster,creature,拓愚,报风
军人,战士,soldier,warrior,烟及,查要
骨头,颅骨,bone,skull,制招,代容
病毒,感染,virus,infection,职大,带罚
钢琴,吉他,piano,guitar,倾共,纸名
混乱,困惑,chaos,confusion,身宫,溃料
世纪,十年,century,decade,听小,寒中
约会,婚礼,engagement,wedding,手报,务旧
白鲨,鱼类,shark,fish,仅处,轮示
僧侣,牧师,monk,priest,出断,加器
电报,信件,telegram,letter,哨皇,医煤
周一,周二,monday,tuesday,郁中,子通
回去,返回,back,return,奶秀,盘历
居住,生存,live,survive,骨结,挑式
特别,独特,special,unique,旧得,许色
形势,危机,situation,crisis,端话,难残
疲劳,饥饿,tired,hungry,许屈,逼砸
月份,星期,month,week,扣报,查感
亲吻,拥抱,kiss,hug,键墙,白论
灵魂,精神,soul,spirit,油住,难资
钥匙,锁具,key,lock,释健,脱场
墙壁,栅栏,wall,fence,帽忧,询戏
沉默,冷静,quiet,calm,服遗,悬色
敌人,对手,enemy,opponent,分长,回性
红酒,香槟,wine,champagne,准吊,话代
河流,湖泊,river,lake,美还,愈方
表明,证词,witness,testimony,谈两,套赞
卷宗,文档,file,document,一松,取静
职业,名声,career,reputation,彻鱼,儿爪
杯子,咖啡,cup,coffee,红夺,提杂
盲人,聋子,blind,deaf,粒哀,树柱
合同,协议,contract,agreement,反头,答赋
现实,幻想,reality,fantasy,脏恶,晋同
成员,领导,member,leader,监取,捞案
面包,起司,bread,cheese,煮星,苦平
攀登,跳跃,climb,jump,明地,接迈
流行,知名,popular,famous,户息,打缺
影响,影响,influence,effect,难俗,撑瞇
干脆,直接,direct,directly,目章,鱼讨
恶梦,睡梦,nightmare,dream,纸助,涌诉
文章,报纸,article,newspaper,组解,练薪
价值,重要,valuable,important,墨丑,轻承
疗法,医治,therapy,treatment,玉操,岸提
歌手,乐师,singer,musician,交沫,形鸭
老鼠,耗子,mouse,rat,皮放,意嘴
能手,专家,expert,specialist,域打,得下
人质,囚犯,hostage,prisoner,营脂,清发
拉拉,男同,lesbian,gay,好代,星阅
工程,建筑,engineer,architect,郁说,叙盈
画廊,展览,gallery,exhibition,喂站,匣伪
篮球,足球,basketball,football,吃飘,明侯
主教,红衣主教,bishop,cardinal,睇边,情当
爵士,音乐,jazz,music,防菜,带交
废墟,灰尘,ash,dust,瓜法,如票
圣经,书籍,bible,book,联气,版秃
大街,道路,avenue,street,言时,辩油
季夏,七月,june,july,守命,相爪
应答,回复,answer,reply,单守,豌板
计划,战略,plan,strategy,受如,水大
未来,过去,future,past,租年,家尬
说谎,骗子,lie,liar,当碍,相落
挑选,选项,choice,option,对毁,装陷
保证,誓言,swear,oath,差报,巡子
接触,联系,contact,connection,子死,街亮
夜店,酒吧,club,bar,衣悔,好撩
对话,讨论,conversation,discussion,确远,约凉
自由,民主,freedom,democracy,直蔑,起塘
桥梁,隧道,bridge,tunnel,藏乔,亲汽
代码,密码,code,password,元手,抄等
聚焦,集中,focus,concentrate,奏喂,仪回
春日,秋天,spring,autumn,缅为,工欲
宫殿,城堡,palace,castle,俐装,懒阴
事故,意外,incident,accident,饮怨,含光
兴奋,有趣,exciting,interesting,恶影,工版
寺庙,修道院,temple,monastery,校蝎,推币
按钮,挤压,button,press,曾球,机注
阻碍,停止,prevent,stop,常酥,牙考
奴隶,仆人,slave,servant,渴尘,感承
出路,入口,exit,entrance,宝车,怪后
满意,快乐,satisfied,happy,地诬,诱简
塔楼,建筑,tower,building,点重,事细
到达,离开,arrival,departure,药为,训展
概括,描述,profile,description,纬数,交撤
毯子,毛巾,blanket,towel,祖把,性承
电缆,导线,cable,wire,屎报,育占
诗人,作家,poet,writer,坐渍,盼施
丛林,树木,bush,tree,指不,杀字
侵略,攻击,invasion,attack,下匠,灾慰
僵尸,吸血鬼,zombie,vampire,定回,特訇毒
沙发,床铺,sofa,bed,兄寰,眼队
华盛顿,波士顿,washington,boston,下白宣,病一径
罗马,希腊,roman,greek,拥琐,光墨
跑步,走路,run,walk,致路,步脱
站立,坐下,stand,sit,折杀,繁佛
能量,活力,power,energy,合纸,虫渔
血液,尿液,blood,urine,用宝,景片
法律,宪章,law,constitution,画专,报爱
头发,胡须,hair,beard,签税,诵于
嘴巴,鼻子,mouth,nose,废骗,派韵
眼睛,耳朵,eye,ear,杨抓,玩申
安全,和平,security,safety,选浅,惯致
浪费,消耗,waste,spend,极子,白征
乐趣,喜悦,pleasure,joy,总病,弟料
困难,简单,impossible,easy,调鹅,血用
热量,温度,heat,temperature,知辈,极燕
手指,拇指,finger,thumb,用哥,食拘
口袋,钱包,pocket,wallet,位幼,萤结
嫉妒,生气,jealous,angry,自象,湿推
票券,护照,ticket,passport,吞异,话赂
坟包,公墓,grave,cemetery,潜贤,项气
陷阱,诱饵,trap,bait,蛋艰,技火
自豪,尊严,pride,dignity,原轴,晚卖
昂贵,便宜,expensive,cheap,颁众,人掩
损害,受伤,wound,injury,洞碎,遽凄
咒语,巫婆,curse,witch,邻破,调炼
青年,儿时,youth,childhood,刚栈,太头
警长,市长,sheriff,mayor,机传,法竹
奶牛,肥猪,cow,pig,向树,鞋去
增加,减少,increase,reduce,农现,花罪
利润,收入,profit,income,币棒,疑抬
纹身,瘢痕,tattoo,scar,月催,哀光
降落,航班,landing,flight,人短,房嫌
钻石,珠宝,diamond,jewel,出挥,肉须
点心,蛋糕,dessert,cake,独水,尾选
步枪,火炮,rifle,gun,夸外,战礼
盾牌,盔甲,shield,armor,故割,纺忆
头盔,帽子,helmet,hat,去国,黄论
盗窃,抢劫,theft,robbery,家解,即人
混凝土,钢铁,concrete,steel,虚艳恏,全严
反射,镜子,reflection,mirror,趣暗,道以
频率,信号,frequency,signal,犬家,铺慎
软件,电脑,software,computer,开损,遮力
剂量,注射,dose,injection,上铜,属扣
墓碑,雕像,monument,statue,堂成,愧可
真货,赝品,good,bad,国贴,这起
房子,公寓,house,apartment,亲灯,蛾贼
大的,巨额,big,huge,弄巴,巡笨
房间,卧室,room,bedroom,链信,量例
错误,正确,wrong,correct,珠查,区告
可能,大概,chance,possibility,中柳,赶展
国家,国家,country,nation,热市,汽念
晚饭,早餐,dinner,breakfast,树饲,化橡
活的,死的,alive,dead,泥色,社强
图画,照片,picture,photo,育资,滋人
甜美,可爱,sweet,cute,空毒,要操
关系,友谊,relationship,friendship,吸程,妇搅
经验,知识,experience,knowledge,权友,不校
聪明,智能,smart,intelligent,烟登,体扯
相机,话筒,camera,microphone,下炮,长糖
惊喜,失望,surprise,disappointment,配探,述婿
岩块,石头,rock,stone,向撞,重观
实践,锻炼,practice,exercise,信取,条奴
研究,学习,research,study,承片,院吊
气体,燃料,gas,fuel,段嘴,壳首
帮派,团体,gang,group,端胆,力皮
洗澡,浴室,shower,bathroom,此传,肉航
观光,音乐会,tour,concert,收贬,会斑
喉咙,脖子,throat,neck,漏弱,俗心
千个,一百,thousand,hundred,暴穿,患联
系列,片段,series,episode,例高,词定
救援,搭救,rescue,save,军课,轰扣
肩膀,膝盖,shoulder,knee,灯相,示求
保证,承诺,guarantee,promise,色蜂,处节
目的,主题,object,subject,店授,气吉
任务,使命,task,mission,悉课,地拨
网络,系统,network,system,掉邮,子身
忠诚,可信,loyal,faithful,门为,程领
三明治,汉堡包,sandwich,hamburger,嘂比爷,土徜下
电影,剧院,cinema,theater,售腰,俗哨
代表,经典,typical,classic,市脸,片赶
督察,委员,inspector,commissioner,白离,数玉
火箭,导弹,rocket,missile,瞒赐,分跳
感人,惊人,impressive,amazing,爱出,撤编
短裙,裙子,skirt,dress,度闲,纸家
狐狸,兔子,fox,rabbit,票睡,府迁
海盗,水手,pirate,sailor,补头,多股
行政,政府,administration,government,附微,情乐
殖民地,联邦体,colony,federation,征客,法携
阴道,阳具,vagina,penis,域评,子情
化学,生物,chemistry,biology,求挂,心熊蒯
化学的,生物的,chemical,biological,测匝场,黠焊收
传感器,发射机,sensor,transmitter,言同玊,堪衔猥
支撑,保持,stay,remain,滑颁,尚向
区域,地带,area,zone,冲追,垢慌
发觉,理解,realize,understand,盖办,胡等
记载,录制,record,recording,谋侄,镇任
纸张,港币,paper,pen,拆大,变勤
艰难,困苦,tough,hard,锋岂,注游
地面,毛毯,floor,carpet,批压,吻油
现金,钞票,cash,money,眺线,探疤
简单,容易,simply,simple,情惠,爆之
艺术,文学,art,literature,瘩燥,现球
秘密,隐私,private,privacy,酿政,面航
绝对,完全,absolutely,completely,拳寒,到以
懦夫,笨蛋,chicken,turkey,博利,创匠
重量,高度,weight,height,言用,熟罐
