target_word_unique,word_combo_related,cue_word_related,word_combo_unrelated,cue_word_unrelated
voimaton,avutonvoimaton,avuton,kiväärivoimaton,kivääri
mansikka,banaanimansikka,banaani,tiemansikka,tie
palkinto,bonuspalkinto,bonus,toissijainenpalkinto,toissijainen
tuote,brändituote,brändi,lauantaituote,lauantai
alfa,bravoalfa,bravo,alaalfa,ala
rahoitus,budjettirahoitus,budjetti,syöttäärahoitus,syöttää
rooma,caesarrooma,caesar,itsepäinenrooma,itsepäinen
yliopisto,collegeyliopisto,college,mahdotonyliopisto,mahdoton
reikä,halkeamareikä,halkeama,menestysreikä,menestys
professori,dekaaniprofessori,dekaani,kunnioittaminenprofessori,kunnioittaminen
sormenjälki,dnasormenjälki,dna,junasormenjälki,juna
komedia,draamakomedia,draama,kohdekomedia,kohde
romanttinen,dramaattinenromanttinen,dramaattinen,yskäromanttinen,yskä
video,dvdvideo,dvd,hiljainenvideo,hiljainen
valtakunta,dynastiavaltakunta,dynastia,suihkuvaltakunta,suihku
takaosa,etuosatakaosa,etuosa,amatööritakaosa,amatööri
jatkaa,edetäjatkaa,edetä,komerojatkaa,komero
kehitys,edistyminenkehitys,edistyminen,sairaalakehitys,sairaala
äänestäjä,ehdokasäänestäjä,ehdokas,näkymääänestäjä,näkymä
ehdottaa,esittääehdottaa,esittää,aavikkoehdottaa,aavikko
täysin,ehdottomastitäysin,ehdottomasti,hyvätäysin,hyvä
koskaan,ei koskaankoskaan,ei koskaan,sokerikoskaan,sokeri
jotain,ei mitäänjotain,ei mitään,valitettavajotain,valitettava
selvitä,elääselvitä,elää,protestiselvitä,protesti
sirkus,eläintarhasirkus,eläintarha,seuratasirkus,seurata
palkka,eläkepalkka,eläke,anteeksiantopalkka,anteeksianto
esitys,eleesitys,ele,vastuullisuusesitys,vastuullisuus
teatteri,elokuvateatteri,elokuva,oravateatteri,orava
kuollut,elossakuollut,elossa,lisätäkuollut,lisätä
rakastaja,rakastajatarrakastaja,rakastajatar,välttämätönrakastaja,välttämätön
ranska,englantiranska,englanti,tutkintotodistusranska,tutkintotodistus
paholainen,enkelipaholainen,enkeli,kysymyspaholainen,kysymys
äänite,ennätysäänite,ennätys,muodikasäänite,muodikas
viimeinen,ensimmäinenviimeinen,ensimmäinen,rakastajatarviimeinen,rakastajatar
epäilty,epäilläepäilty,epäillä,heijastusepäilty,heijastus
epämiellyttävä,epämukavaepämiellyttävä,epämukava,saapuaepämiellyttävä,saapua
epäoikeudenmukainen,epäoikeudenmukaisuusepäoikeudenmukainen,epäoikeudenmukaisuus,kilpiepäoikeudenmukainen,kilpi
outo,epätavallinenouto,epätavallinen,ambulanssiouto,ambulanssi
ainutlaatuinen,erikoinenainutlaatuinen,erikoinen,luuainutlaatuinen,luu
loistava,erinomainenloistava,erinomainen,marsloistava,mars
hyvin,erittäinhyvin,erittäin,työntäähyvin,työntää
hylkääminen,eroaminenhylkääminen,eroaminen,salkkuhylkääminen,salkku
seurata,saattaaseurata,saattaa,hautaseurata,hauta
tapahtua,esiintyätapahtua,esiintyä,seksuaalinentapahtua,seksuaalinen
tekijä,kohdetekijä,kohde,autografitekijä,autografi
medaljonki,artefaktimedaljonki,artefakti,pankkitoimintamedaljonki,pankkitoiminta
lopettaa,estäälopettaa,estää,sellilopettaa,selli
haaste,estehaaste,este,internethaaste,internet
nopeus,etäisyysnopeus,etäisyys,innostaanopeus,innostaa
kilpikonna,etanakilpikonna,etana,komentokilpikonna,komento
pohjoinen,eteläpohjoinen,etelä,tuottajapohjoinen,tuottaja
läntinen,eteläinenläntinen,eteläinen,säilyttääläntinen,säilyttää
kunnia,etuoikeuskunnia,etuoikeus,kilometrikunnia,kilometri
mutaatio,evoluutiomutaatio,evoluutio,koskeamutaatio,koskea
älykäs,fiksuälykäs,fiksu,ketsuppiälykäs,ketsuppi
uskonto,filosofiauskonto,filosofia,tappavauskonto,tappava
sairaus,flunssasairaus,flunssa,painikesairaus,painike
asema,laituriasema,laituri,sinkkuasema,sinkku
matematiikka,fysiikkamatematiikka,fysiikka,kauppamatematiikka,kauppa
näyttely,gallerianäyttely,galleria,leskinäyttely,leski
reaktori,generaattorireaktori,generaattori,collegereaktori,college
tennis,golftennis,golf,tyhjätennis,tyhjä
vamma,haavavamma,haava,valkoinenvamma,valkoinen
löytää,etsiälöytää,etsiä,sotalöytää,sota
kala,haikala,hai,henkilökohtainenkala,henkilökohtainen
hallitus,hallintohallitus,hallinto,hidashallitus,hidas
onnistua,hallitaonnistua,hallita,vihaonnistua,viha
hälytys,varoitushälytys,varoitus,selkäranganhälytys,selkärangan
hyönteinen,hämähäkkihyönteinen,hämähäkki,suurlähettiläshyönteinen,suurlähettiläs
mekko,hamemekko,hame,jättäämekko,jättää
ankka,hanhiankka,hanhi,miljoonaankka,miljoona
ohjelma,hankeohjelma,hanke,järjestääohjelma,järjestää
treenata,harjoitellatreenata,harjoitella,ennätystreenata,ennätys
ajatella,harkitaajatella,harkita,lähdeajatella,lähde
urheilu,harrastusurheilu,harrastus,generaattoriurheilu,generaattori
hautausmaa,hautahautausmaa,hauta,soveltaahautausmaa,soveltaa
arviointi,havaintoarviointi,havainto,vuosisataarviointi,vuosisata
voittaja,häviäjävoittaja,häviäjä,pehmeävoittaja,pehmeä
hei hei,heihei hei,hei,munuainenhei hei,munuainen
peili,heijastuspeili,heijastus,ideapeili,idea
yksilö,henkilöyksilö,henkilö,vahvistusyksilö,vahvistus
intiimi,henkilökohtainenintiimi,henkilökohtainen,kilointiimi,kilo
emotionaalinen,henkinenemotionaalinen,henkinen,tiukastiemotionaalinen,tiukasti
periä,perintöperiä,perintö,palatsiperiä,palatsi
herkkä,haurasherkkä,hauras,kuvataherkkä,kuvata
lihas,hermolihas,hermo,leimalihas,leima
rouva,herrarouva,herra,hyödyllinenrouva,hyödyllinen
nopea,hidasnopea,hidas,kaksinopea,kaksi
vety,hiilivety,hiili,kuvavety,kuva
rotta,hiirirotta,hiiri,yksityinenrotta,yksityinen
rauhallinen,hiljainenrauhallinen,hiljainen,luokkarauhallinen,luokka
hiljaisuus,hiljainenhiljaisuus,hiljainen,noutaahiljaisuus,noutaa
toivoa,himoitatoivoa,himoita,harjoitellatoivoa,harjoitella
olento,hirviöolento,hirviö,kieltäytyäolento,kieltäytyä
nopeasti,hitaastinopeasti,hitaasti,laukausnopeasti,laukaus
parta,hiuksetparta,hiukset,tutkiminenparta,tutkiminen
hoito,terapiahoito,terapia,suuhoito,suu
idiootti,hölmöidiootti,hölmö,puntaidiootti,punta
adrenaliini,hormoniadrenaliini,hormoni,maalataadrenaliini,maalata
motelli,hotellimotelli,hotelli,tietämättömyysmotelli,tietämättömyys
pohja,huippupohja,huippu,kilpailupohja,kilpailu
uida,hukkuauida,hukkua,voittouida,voitto
tyhmyys,hulluustyhmyys,hulluus,tekstityhmyys,teksti
voi,hunajavoi,hunaja,runoilijavoi,runoilija
hermostunut,huolestunuthermostunut,huolestunut,kulttuurihermostunut,kulttuuri
aamu,huomennaaamu,huomenna,tehdasaamu,tehdas
houkutella,huomiohoukutella,huomio,taisteluhoukutella,taistelu
makuuhuone,huonemakuuhuone,huone,normaalistimakuuhuone,normaalisti
rikas,köyhärikas,köyhä,koripallorikas,koripallo
tornado,hurrikaanitornado,hurrikaani,orjatornado,orja
poski,huuliposki,huuli,kuulusteluposki,kuulustelu
hajuvesi,huulipunahajuvesi,huulipuna,kunniamerkkihajuvesi,kunniamerkki
myynti,huutokauppamyynti,huutokauppa,tilannemyynti,tilanne
nauru,hymynauru,hymy,keisarillinennauru,keisarillinen
tehokas,hyödyllinentehokas,hyödyllinen,virtatehokas,virta
arvoton,hyödytönarvoton,hyödytön,kuppiarvoton,kuppi
huono,hyvähuono,hyvä,salaliittohuono,salaliitto
lahjoitus,hyväntekeväisyyslahjoitus,hyväntekeväisyys,päivittäinlahjoitus,päivittäin
teoria,ideateoria,idea,huutokauppateoria,huutokauppa
arvostaa,ihaillaarvostaa,ihailla,toivoarvostaa,toivo
fantastinen,ihanafantastinen,ihana,taksifantastinen,taksi
täydellinen,ihanteellinentäydellinen,ihanteellinen,tuhattäydellinen,tuhat
kudos,ihokudos,iho,nobelkudos,nobel
ovi,ikkunaovi,ikkuna,kokaiiniovi,kokaiini
ruma,ikuinenruma,ikuinen,saalisruma,saalis
iäisyys,ikuineniäisyys,ikuinen,kapeaiäisyys,kapea
likainen,ilkeälikainen,ilkeä,tilalikainen,tila
aamiainen,illallinenaamiainen,illallinen,pahaaamiainen,paha
hallusinaatio,illuusiohallusinaatio,illuusio,kukkulahallusinaatio,kukkula
happi,ilmahappi,ilma,afrikkahappi,afrikka
tapahtuma,ilmiötapahtuma,ilmiö,väärätapahtuma,väärä
ilo,nautintoilo,nautinto,myyjäilo,myyjä
nuolla,imeänuolla,imeä,moderninuolla,moderni
inspiraatio,innostaainspiraatio,innostaa,vauvainspiraatio,vauva
intohimo,innostusintohimo,innostus,mahtavaintohimo,mahtava
arkkitehti,insinööriarkkitehti,insinööri,kemiallinenarkkitehti,kemiallinen
verkko,internetverkko,internet,klaaniverkko,klaani
ironinen,ironiaironinen,ironia,viljaironinen,vilja
äiti,isääiti,isä,rituaaliäiti,rituaali
valtava,isovaltava,iso,tytärvaltava,tytär
kaupunki,pääkaupunkikaupunki,pääkaupunki,laittaakaupunki,laittaa
isoäiti,isoisäisoäiti,isoisä,kypäräisoäiti,kypärä
todella,oikeastaantodella,oikeastaan,etuosatodella,etuosa
murha,itsemurhamurha,itsemurha,vaikuttavamurha,vaikuttava
itsekäs,itsepäinenitsekäs,itsepäinen,rautaitsekäs,rauta
kohta,jaksokohta,jakso,kiitollinenkohta,kiitollinen
kakku,jälkiruokakakku,jälkiruoka,alueellinenkakku,alueellinen
urhea,jalourhea,jalo,huuliurhea,huuli
istua,seisoaistua,seisoa,rykmenttiistua,rykmentti
mielenkiintoinen,jännittävämielenkiintoinen,jännittävä,laskumielenkiintoinen,lasku
järjestellä,järjestääjärjestellä,järjestää,kansallinenjärjestellä,kansallinen
johtaja,jäsenjohtaja,jäsen,kauheajohtaja,kauhea
veli,jätkäveli,jätkä,kommenttiveli,kommentti
luopua,jättääluopua,jättää,likainenluopua,likainen
käyttää,tuhlatakäyttää,tuhlata,voileipäkäyttää,voileipä
musiikki,jazzmusiikki,jazz,postimusiikki,posti
kuorma-auto,jeeppikuorma-auto,jeeppi,repiäkuorma-auto,repiä
ryhmä,jengiryhmä,jengi,viehättäväryhmä,viehättävä
edelleen,joedelleen,jo,syntymäedelleen,syntymä
työ,tehtävätyö,tehtävä,luonnollinentyö,luonnollinen
pomo,johtajapomo,johtaja,kriittinenpomo,kriittinen
hallinnollinen,johtohallinnollinen,johto,kasvainhallinnollinen,kasvain
oletus,johtopäätösoletus,johtopäätös,ratsuväkioletus,ratsuväki
järvi,jokijärvi,joki,sarjajärvi,sarja
hieronta,joogahieronta,jooga,huomennahieronta,huomenna
usein,joskususein,joskus,okeiusein,okei
loma,joululoma,joulu,himoitaloma,himoita
politiikka,journalismipolitiikka,journalismi,naulapolitiikka,naula
tähti,julkkistähti,julkkis,myöntäätähti,myöntää
julma,raakajulma,raaka,tekniikkajulma,tekniikka
jumalallinen,jumalajumalallinen,jumala,kesäjumalallinen,kesä
olut,juodaolut,juoda,laukaistaolut,laukaista
skandaali,juoruskandaali,juoru,dnaskandaali,dna
kävellä,juostakävellä,juosta,kanavakävellä,kanava
sekaannus,kaaossekaannus,kaaos,kaapelisekaannus,kaapeli
lanka,kaapelilanka,kaapeli,raitislanka,raitis
kaappi,komerokaappi,komero,reportterikaappi,reportteri
polttoaine,kaasupolttoaine,kaasu,tablettipolttoaine,tabletti
valmis,kokovalmis,koko,sieluvalmis,sielu
haudata,kaivaahaudata,kaivaa,proteiinihaudata,proteiini
neljä,kaksineljä,kaksi,mestarineljä,mestari
kolminkertainen,kaksinkertainenkolminkertainen,kaksinkertainen,eläintarhakolminkertainen,eläintarha
ajoittaa,kalenteriajoittaa,kalenteri,eteläajoittaa,etelä
bullet,kaliiperibullet,kaliiperi,kreivibullet,kreivi
halpa,kallishalpa,kallis,puhuahalpa,puhua
mikrofoni,kameramikrofoni,kamera,aliarvioidamikrofoni,aliarvioida
vaalit,kampanjavaalit,kampanja,flunssavaalit,flunssa
kalkkuna,kanakalkkuna,kana,ylpeyskalkkuna,ylpeys
uutiset,kanavauutiset,kanava,vähänuutiset,vähän
vanilja,kanelivanilja,kaneli,hermovanilja,hermo
nenäliina,kangasnenäliina,kangas,ninjanenäliina,ninja
maailma,kansainvälinenmaailma,kansainvälinen,paljastusmaailma,paljastus
maailmanlaajuinen,kansallinenmaailmanlaajuinen,kansallinen,pistoolimaailmanlaajuinen,pistooli
kyky,kapasiteettikyky,kapasiteetti,avioerokyky,avioero
leveä,kapealeveä,kapea,tappajaleveä,tappaja
pala,kappalepala,kappale,satunnaisestipala,satunnaisesti
luotain,kapseliluotain,kapseli,sulhanenluotain,sulhanen
susi,karhususi,karhu,myöhäänsusi,myöhään
festivaali,karnevaalifestivaali,karnevaali,juostafestivaali,juosta
kuolla,kärsiäkuolla,kärsiä,ilmiökuolla,ilmiö
kipu,kärsimyskipu,kärsimys,sukulainenkipu,sukulainen
kiduttaa,piinatakiduttaa,piinata,yksikiduttaa,yksi
myötätunto,kärsivällisyysmyötätunto,kärsivällisyys,pyramidimyötätunto,pyramidi
varsi,käsivarsi,käsi,potentiaalivarsi,potentiaali
menettely,prosessimenettely,prosessi,kuumamenettely,kuuma
syöpä,kasvainsyöpä,kasvain,rakettisyöpä,raketti
raha,käteinenraha,käteinen,menetelmäraha,menetelmä
kristillinen,katolinenkristillinen,katolinen,haikristillinen,hai
katsella,katsoakatsella,katsoa,setäkatsella,setä
kamala,kauheakamala,kauhea,vartijakamala,vartija
pelko,kauhupelko,kauhu,hankepelko,hanke
kauppias,kaupallinenkauppias,kaupallinen,tasapainokauppias,tasapaino
käyttää.1,soveltaakäyttää,soveltaa,innostuskäyttää,innostus
poliitikko,käytäntöpoliitikko,käytäntö,minimipoliitikko,minimi
keisari,keisarillinenkeisari,keisarillinen,aikuinenkeisari,aikuinen
salaatti,keittosalaatti,keitto,tässäsalaatti,tässä
biologia,kemiabiologia,kemia,tanssijabiologia,tanssija
biologinen,kemiallinenbiologinen,kemiallinen,washingtonbiologinen,washington
kerätä,noutaakerätä,noutaa,prinsessakerätä,prinsessa
kastike,kermakastike,kerma,vannoakastike,vannoa
pinta,kerrospinta,kerros,nukkepinta,nukke
luutnantti,kersanttiluutnantti,kersantti,paitaluutnantti,paita
talvi,kesätalvi,kesä,tarkoitustalvi,tarkoitus
heinäkuu,kesäkuuheinäkuu,kesäkuu,perintöheinäkuu,perintö
häiritä,keskeyttäähäiritä,keskeyttää,saapashäiritä,saapas
keskittyä,keskittääkeskittyä,keskittää,monumenttikeskittyä,monumentti
keskipäivä,keskiyökeskipäivä,keskiyö,suosittukeskipäivä,suosittu
keskustelu,puhelukeskustelu,puhelu,ruskeakeskustelu,ruskea
köysi,ketjuköysi,ketju,viiniköysi,viini
majoneesi,ketsuppimajoneesi,ketsuppi,edetämajoneesi,edetä
kani,kettukani,kettu,radiokani,radio
syksy,kevätsyksy,kevät,voimasyksy,voima
kieltää,kiellettykieltää,kielletty,viidakkokieltää,viidakko
hyväksyä,kieltäytyähyväksyä,kieltäytyä,tornihyväksyä,torni
konsertti,kiertuekonsertti,kiertue,käteinenkonsertti,käteinen
omistaja,kiinteistöomistaja,kiinteistö,jälkiruokaomistaja,jälkiruoka
hätä,kiireellinenhätä,kiireellinen,mallihätä,malli
kiittää,kiitollinenkiittää,kiitollinen,auringonlaskukiittää,auringonlasku
hypätä,kiivetähypätä,kiivetä,viskihypätä,viski
gramma,kilogramma,kilo,esittäägramma,esittää
metri,kilometrimetri,kilometri,albumimetri,albumi
mestaruus,kilpailumestaruus,kilpailu,siskomestaruus,sisko
panssari,kilpipanssari,kilpi,arvopanssari,arvo
käytännössä,kirjaimellisestikäytännössä,kirjaimellisesti,tänäänkäytännössä,tänään
museo,kirjastomuseo,kirjasto,korjatamuseo,korjata
paketti,kirjekuoripaketti,kirjekuori,dramaattinenpaketti,dramaattinen
kappeli,kirkkokappeli,kirkko,hirviökappeli,hirviö
noita,kirousnoita,kirous,betoninoita,betoni
lääkäri,kirurgilääkäri,kirurgi,maililääkäri,maili
ihana,kivaihana,kiva,ympyräihana,ympyrä
ase,kivääriase,kivääri,tarkastajaase,tarkastaja
öljy,kivihiiliöljy,kivihiili,suhdeöljy,suhde
perhe,klaaniperhe,klaani,ilmaperhe,ilma
baari,klubibaari,klubi,henkinenbaari,henkinen
testata,koetestata,koe,puskatestata,puska
osoittaa,kohtaosoittaa,kohta,kanaosoittaa,kana
kohtalo,sallimuskohtalo,sallimus,mahdollistaakohtalo,mahdollistaa
lahja,kohteliaisuuslahja,kohteliaisuus,ulkonalahja,ulkona
ystävällinen,kohteliasystävällinen,kohtelias,suunnitelmaystävällinen,suunnitelma
vastuuton,kohtuutonvastuuton,kohtuuton,valitusvastuuton,valitus
kissa,koirakissa,koira,kaupallinenkissa,kaupallinen
heroiini,kokaiiniheroiini,kokaiini,ylpeäheroiini,ylpeä
tieto,kokeatieto,kokea,ensimmäinentieto,ensimmäinen
keittiömestari,kokkikeittiömestari,kokki,melukeittiömestari,melu
pituus,kokopituus,koko,neuvopituus,neuvo
ystävä,kollegaystävä,kollega,pornoystävä,porno
neljäs,kolmasneljäs,kolmas,muutosneljäs,muutos
kapteeni,komentajakapteeni,komentaja,kurkkukapteeni,kurkku
käsky,komentokäsky,komento,sadekäsky,sade
komitea,komissiokomitea,komissio,golfkomitea,golf
lausunto,kommenttilausunto,kommentti,myrkyttäälausunto,myrkyttää
kartta,kompassikartta,kompassi,anarkiakartta,anarkia
tapaaminen,konferenssitapaaminen,konferenssi,ostaatapaaminen,ostaa
riita,konfliktiriita,konflikti,hämähäkkiriita,hämähäkki
teräs,betoniteräs,betoni,vastaanottoteräs,vastaanotto
määritelmä,käsitemääritelmä,käsite,sukellusvenemääritelmä,sukellusvene
liberaali,konservatiivinenliberaali,konservatiivinen,urosliberaali,uros
salasana,koodisalasana,koodi,vanhempisalasana,vanhempi
jalkapallo,koripallojalkapallo,koripallo,kaivaajalkapallo,kaivaa
korjaus,korjatakorjaus,korjata,vapauskorjaus,vapaus
korvata,vaihtaakorvata,vaihtaa,tuomioistuinkorvata,tuomioistuin
huoli,koskeahuoli,koskea,roomalainenhuoli,roomalainen
oikeus,kostooikeus,kosto,vilttioikeus,viltti
bussi,junabussi,juna,pojanpoikabussi,pojanpoika
kova,sitkeäkova,sitkeä,luodakova,luoda
kurjuus,köyhyyskurjuus,köyhyys,ulkopuolellakurjuus,ulkopuolella
laskea,kreivilaskea,kreivi,hunajalaskea,hunaja
poliittinen,kriittinenpoliittinen,kriittinen,perhonenpoliittinen,perhonen
valtaistuin,kruunuvaltaistuin,kruunu,havaintovaltaistuin,havainto
märkä,kuivamärkä,kuiva,riskimärkä,riski
vuori,kukkulavuori,kukkula,kuunnellavuori,kuunnella
lautanen,kulholautanen,kulho,anatomialautanen,anatomia
kuja,kulmakuja,kulma,lisääntyäkuja,lisääntyä
hopea,kultainenhopea,kultainen,painajainenhopea,painajainen
sivilisaatio,kulttuurisivilisaatio,kulttuuri,kermasivilisaatio,kerma
kuningas,kuningatarkuningas,kuningatar,tupakkakuningas,tupakka
kuningaskunta,kuninkaallinenkuningaskunta,kuninkaallinen,navigointikuningaskunta,navigointi
univormu,kunniamerkkiunivormu,kunniamerkki,esteunivormu,este
luottamus,kunnioittaminenluottamus,kunnioittaminen,väsynytluottamus,väsynyt
rehellinen,kunnollinenrehellinen,kunnollinen,laitteetrehellinen,laitteet
katoaminen,kuolemakatoaminen,kuolema,loppukatoaminen,loppu
kahvi,kuppikahvi,kuppi,hauraskahvi,hauras
säälittävä,kurjasäälittävä,kurja,koesäälittävä,koe
kaula,kurkkukaula,kurkku,kontaktikaula,kontakti
aurinko,kuuaurinko,kuu,yksinkertaisestiaurinko,yksinkertaisesti
viikko,kuukausiviikko,kuukausi,naiiviviikko,naiivi
oikeudenkäynti,kuulusteluoikeudenkäynti,kuulustelu,tuhlataoikeudenkäynti,tuhlata
kylmä,kuumakylmä,kuuma,orgasmikylmä,orgasmi
auringon,kuunauringon,kuun,lastataauringon,lastata
kuulla,kuunnellakuulla,kuunnella,lasitkuulla,lasit
valokuva,kuvavalokuva,kuva,pysyävalokuva,pysyä
ilmaista,kuvatailmaista,kuvata,syytönilmaista,syytön
senaattori,kuvernöörisenaattori,kuvernööri,tuoresenaattori,tuore
hattu,kypärähattu,kypärä,lääketieteellinenhattu,lääketieteellinen
kysyä,kysymyskysyä,kysymys,sopimuskysyä,sopimus
pyyntö,kysyntäpyyntö,kysyntä,leiripyyntö,leiri
kykenemätön,kyvyttömyyskykenemätön,kyvyttömyys,miekkakykenemätön,miekka
psykologinen,lääketieteellinenpsykologinen,lääketieteellinen,odottaapsykologinen,odottaa
seutu,lääniseutu,lääni,jeeppiseutu,jeeppi
laukku,laatikkolaukku,laatikko,kunnollinenlaukku,kunnollinen
rahti,lastatarahti,lastata,kirousrahti,kirous
tiedonantaja,lähdetiedonantaja,lähde,lukeatiedonantaja,lukea
satama,lahtisatama,lahti,edistyminensatama,edistyminen
kaukana,lähelläkaukana,lähellä,rommikaukana,rommi
kiristää,lahjoakiristää,lahjoa,viljelijäkiristää,viljelijä
laillinen,laitonlaillinen,laiton,tuodalaillinen,tuoda
varustaa,laitteetvarustaa,laitteet,ainevarustaa,aine
perustuslaki,lakiperustuslaki,laki,työpajaperustuslaki,työpaja
syyttäjä,lakimiessyyttäjä,lakimies,lippusyyttäjä,lippu
viileä,lämminviileä,lämmin,uloskäyntiviileä,uloskäynti
lämpötila,lämpölämpötila,lämpö,vanhalämpötila,vanha
kynttilä,lamppukynttilä,lamppu,rakentaminenkynttilä,rakentaminen
itä,länsiitä,länsi,rangaistusitä,rangaistus
spagetti,lasagnespagetti,lasagne,läsnäolospagetti,läsnäolo
pullo,lasipullo,lasi,pingpullo,ping
korkki,lasitkorkki,lasit,raporttikorkki,raportti
valtimo,laskimovaltimo,laskimo,nuorisovaltimo,nuoriso
lento,laskulento,lasku,saadalento,saada
poissaolo,läsnäolopoissaolo,läsnäolo,lohikäärmepoissaolo,lohikäärme
piika,lastenhoitajapiika,lastenhoitaja,ympäristöpiika,ympäristö
matto,lattiamatto,lattia,epätavallinenmatto,epätavallinen
sunnuntai,lauantaisunnuntai,lauantai,vainoharhainensunnuntai,vainoharhainen
aktivoida,laukaistaaktivoida,laukaista,analyytikkoaktivoida,analyytikko
ampua,laukausampua,laukaus,koodiampua,koodi
muusikko,laulajamuusikko,laulaja,pudotamuusikko,pudota
asenne,mielipideasenne,mielipide,säiliöasenne,säiliö
armeija.1,legioonaarmeija,legioona,paahtoleipäarmeija,paahtoleipä
sika,lehmäsika,lehmä,kapasiteettisika,kapasiteetti
allekirjoitus,leimaallekirjoitus,leima,tavallinenallekirjoitus,tavallinen
juusto,leipäjuusto,leipä,virhejuusto,virhe
kylä,leirikylä,leiri,tutkimuskylä,tutkimus
homo,lesbohomo,lesbo,siirtomaahomo,siirtomaa
nainen,leskinainen,leski,huippunainen,huippu
nukkua,levätänukkua,levätä,ruttonukkua,rutto
tiimi,liigatiimi,liiga,avatatiimi,avata
siirtää,liikkuasiirtää,liikkua,ikuinensiirtää,ikuinen
presidentti,liittokansleripresidentti,liittokansleri,sisältääpresidentti,sisältää
osavaltio,liittovaltionosavaltio,liittovaltion,hitaastiosavaltio,hitaasti
