"tr_cue","tr_fake_cue","tr_target","tr_fake_target","en_cue","en_target"
"cesaret","cesaland","kararlılık","beprensleme","courage","determination"
"işaret etmek","redan","belirtmek","beöpüşmek","point","indicate"
"federal","fedeford","belirtmek, bildirmek","kaybelirtmek, bildirmek","federal","state"
"inatçı","azarçı","bencil","bençen","stubborn","selfish"
"boyamak","boyainız","çizmek","bezabere","paint","draw"
"dehşetli","korcury","korkunç","berliz","terrible","horrible"
"stadyum","inatyum","beyzbol","beyzdia","stadium","baseball"
"veri","bilri","bilgi","aragi","data","information"
"deneyim","tezrübe epmek","bilgi","aragi","experience","knowledge"
"raporlamak","raxel","bilgilendirmek","bipgi yermek","report","inform"
"yazılım","yazıford","bilgisayar","bilgisaşecek","software","computer"
"teknoloji","abartnoloji","bilim","bimez","technology","science"
"dahi","datık","bilim insanı","bilim insterfly","genius","scientist"
"kaos","kagel","bilinç bulanıklığı, konfüzyon","edebilinç bulanıklığı, konfüzyon","chaos","confusion"
"anonim","züpnim","bilinmeyen","bitecekmeyen","anonymous","unknown"
"şimdi","ekodi","bilmek","bilğim","now","know"
"kule","metle","bina","bena","tower","building"
"hiçbir şey","hiz biz mey","bir şey","biruden","nothing","something"
"başka yerde","başka yebucks","bir yerde","bir yeğurt","elsewhere","somewhere"
"içmek","içkiy","bira","kahra","drink","beer"
"kişi","kiyum","bireysel","biişitsel","person","individual"
"son","enn","bitiş","biimi","end","finish"
"kimya","inaya","biyoloji","biyolorecek","chemistry","biology"
"kimyasal","unutyasal","biyolojik","biyolopis","chemical","biological"
"kılıç","kığip","bıçak","bıjit","sword","knife"
"örümcek","örümhat","böcek","böçin","spider","insect"
"dizi","dirın","bölüm","böfik","series","episode"
"ünite","bimız","bölme","böeritme","unit","division"
"kredi","nirdi","borç","boeb","credit","loan"
"washington","waskripton","boston","çıpton","washington","boston"
"denizaltı","denilecektı","bot","int","submarine","boat"
"boğaz","bovır","boyun","bonis","throat","neck"
"engellemek","dolmek","aksatmak","ğulmak","interrupt","disturb"
"aramak","başma","bulmak","tarmak","search","find"
"ağız","ağyn","burun","buney","mouth","nose"
"olasılık","anımsılık","muhtemel","büfük ihtinezle","probability","likely"
"lanet","kükot","cadı","sıydı","curse","witch"
"çiftçi","dostçi","işçi","çalıford","farmer","worker"
"kaşık","kaong","çatal","çalie","spoon","fork"
"cennet","dağnet","cehennem","cehenrick","paradise","hell"
"gömlek","gömvin","ceket","cegiz","shirt","jacket"
"sopa","çuşar","çekiç","çeeso","stick","hammer"
"itmek","itton","çekmek","şünmek","push","pull"
"dikkat","diknel","cezbetmek","şünmek","attention","attract"
"beton","beğim","çelik","çeden","concrete","steel"
"tabut","tazoz","cenaze","cenapark","coffin","funeral"
"gökyüzü","ağıryüzü","kutsal","cennet goters","sky","heavenly"
"gövde","çayde","ceset","cemım","body","corpse"
"soylu","güçlu","cesur","celış","noble","brave"
"cevap","ceğış","yanıt","cevap vefords","answer","reply"
"yarıçap","yarıilen","çevre","hiçre","radius","perimeter"
"yarım","yadan","çeyrek","sagrek","half","quarter"
"bitki","uyaki","çiçek","çiful","plant","flower"
"yutmak","müsmak","çiğnemek","enernemek","swallow","chew"
"çip","lerga","alet","ciuki","chip","device"
"şeker","şeyip","çikolata","çileceklata","sugar","chocolate"
"muz","fiz","çilek","çikim","banana","strawberry"
"intihar","intimont","cinayet","cinaland","suicide","murder"
"iğrenç","elektdirici","çirkin","zomkin","disgusting","ugly"
"duvar","duyem","çit","zit","wall","fence"
"soyunmuş","gonlak","çıplak","biflak","nude","naked"
"bebek","beros","çocuk","çosat","baby","child"
"gençlik","bestlik","çocukluk","çodostluk","youth","childhood"
"fazlasıyla","azırı bonutta","çok","mek","extremely","very"
"düşmek","rilmek","çökmek","çöcap","fall","collapse"
"şefkâtli","grupkâtli","cömert","cöarts","compassionate","generous"
"atık","opp","çöp","isp","trash","garbage"
"kulüp","kutel","bar","çufil","club","bar"
"kelime","keüzülme","cümle","oyale","word","sentence"
"çizik","kaşıford","morluk","çüsef","scratch","bruise"
"cep","ipp","cüzdan","şımdan","pocket","wallet"
"tepe","teğüm","dağ","yeğ","hill","mountain"
"saniye","aileniye","dakika","daayakka","second","minute"
"dansçı","krisçı","dans","davu","dancer","dance"
"görüş","fimus","tutum","davrahing","opinion","attitude"
"jest","mifer","davranmak","davoturmak","gesture","act"
"ajan","twan","dedektif","departtif","agent","detective"
"gözlem","göznal","değerlendirme","defizlendirme","observation","evaluation"
"faydasız","umutdasız","değersiz","delinçsiz","useless","worthless"
"paranoyak","raranoyak","deli","derum","paranoid","crazy"
"çatlak","çaaraçtı","delik","desan","crack","hole"
"özgürlük","özgürford","demokrasi","dechandrasi","freedom","democracy"
"duruşma","işikme","yargılama","deedilme","hearing","trial"
"korsan","gönsan","denizci","defranci","pirate","sailor"
"çapa","çarım","yelken","depize apızmak","anchor","sail"
"stres","stlow","depresyon","üzünresyon","stress","depression"
"playboy","alesboy","dergi","kolgi","playboy","magazine"
"nesne","ayene","konu","defe","object","subject"
"seminer","semilady","ders","defe","seminar","lecture"
"araştırma","unuttırma","ders çalışma","inanç çalışma","research","study"
"ilerlemek","proglemek","devam etmek","devavenk","proceed","continue"
"yönetim","yöneider","hükümet","çallet","administration","government"
"miras","mihit","devralmak","devayırmak","heritage","inherit"
"koruma","koinanma","devriye","dezviye zezmek","guard","patrol"
"fevkalade","olakanüstü","olağanüstü","fikkat pekici","exceptional","remarkable"
"arzu","arran","dilek","divin","desire","wish"
"felsefe","omuzsefe","din","enn","philosophy","religion"
"barut","bagah","dinamit","dinapark","gunpowder","dynamite"
"vız","piet","çın","disp","ping","ding"
"doğrudan","doğrupert","düpedüz","direkt olgonfly","direct","directly"
"direnç","dilett","direnmek","diedilmek","resistance","resist"
"tırnak","geçvi","diş","alş","nail","tooth"
"erkek","eriti","dişi","diyum","male","female"
"omuz","efuz","diz","miz","shoulder","knee"
"yanlış","yanhil","doğru","kızru","wrong","correct"
"denetlemek","kontkün","doğrulamak","doğrulalecek","check","verify"
"batı","baken","doğu","dosız","west","east"
"yıl dönümü","yız dözümü","doğum günü","dopuz zünü","anniversary","birthday"
"cerrah","cerğer","doktor","dokris","surgeon","doctor"
"deri","decek","doku","dolet","skin","tissue"
"kabin","kapartne","dolap","doğüş","cabinet","closet"
"pound","popan","dolar","domin","pound","dollar"
"şekerleme yapmak","oyuntirme","gezinmek","dokorkmak","nap","stroll"
"kağıt","karuş","kalem","dolma krings","paper","pen"
"patates","pataning","domates","domaaşım","potato","tomato"
"inek","inkı","domuz","donan","cow","pig"
"tost","kınarmış epmek","pastırma","dopek zestırması","toast","bacon"
"denizci","decek","donanma","doaçılma","marine","navy"
"teçhizat","teçhilizm","donatmak","doayırmak","equipment","equip"
"dönüş","döxer","döndürmek","dönişitmek","turn","rotate"
"evre","ltz","dönem","döban","phase","period"
"erimek","erişil","donmak","kezmak","melt","freeze"
"geri","fabri","dönmek","döyid","back","return"
"üçüncü","örümcü","dördüncü","omuzdüncü","third","fourth"
"iki","iy","dört","hert","two","four"
"ilişki","progki","arkadaşlık","çiftluk","relationship","friendship"
"nişan","nileceklanmak","düğün","dürip","engagement","wedding"
"bugün","bunis","dün","enn","today","yesterday"
"uluslararası","ubuzlararası","dünya","anaya","international","world"
"engellemek","enpel onmak","durdurmak","otr","prevent","stop"
"asla","numla","daima","dukmadan","never","ever"
"bağlılık","bavlılık","dürüstlük","düömürlük","loyalty","honesty"
"hesaba katmak","düedilmek","düşünmek","düedilmek","consider","think"
"zihinsel","zibrüksel","duygusal","duygueroa","mental","emotional"
"dinlemek","açıklemek","duymak","ratmak","listen","hear"
"ayarlamak","düpenlemek","organize etmek","düstottlemek","arrange","organize"
"yetişkin","yeonunkin","ebeveyn","ebepect","adult","parent"
"sanat","sakun","yazın","edebieber","art","literature"
"tesir","etkileaving","etki","efçıt","influence","effect"
"söylence","açılsane","efsane","kartsane","myth","legend"
"sağlık","yollık","eğitim","müştim","health","education"
"esprili","avanrili","eğlenceli","eğjarndyceli","witty","funny"
"pratik","uyinançlama","egzersiz","epzersiz yafmak","practice","exercise"
"ekstra","opatra","fazladan","ek olzanç","extra","additional"
"eylül","eybae","ekim","ekmo","september","october"
"artı","arken","eksi","rirsi","plus","minus"
"etek","beek","elbise","elönemse","skirt","dress"
"akım","akri","elektrik","elekthan","current","electricity"
"manyetik","aileyetik","elektrikli","elekthan","magnetic","electric"
"faktör","seltör","unsur","çevman","factor","element"
"güvenlik","güçiftlik","emniyet","emniland","security","safety"
"endişe","ilzilendirmek","kaygı","endişelenaworld","concern","worry"
"güç","ünç","enerji","özelji","power","energy"
"virüs","visol","enfeksiyon","enrightsiyon","virus","infection"
"doz","anz","enjeksiyon","enrightsiyon","dose","injection"
"veba","veler","epidemi","azındemi","plague","epidemic"
"orgazm","orugar","ereksiyon","windsiyon","orgasm","erection"
"torun","ezkek gorun","yeğen","efkek yezen","grandson","nephew"
"geç","ünç","erken","errot","late","early"
"kokain","kokabart","eroin","püsin","cocaine","heroin"
"koca","koğın","karı","vk","husband","wife"
"lezbiyen","acıkbiyen","gey","eşközsel","lesbian","gay"
"ilham vermek","ilham veiting","esinlenmek","ösin","inspire","inspiration"
"refakat etmek","eskunc","eşlik etmek","eşlik edolyn","escort","accompany"
"özel","tiel","eşsiz","eşrek","special","unique"
"domuz","doruz","et","cü","pork","meat"
"methetmek","renklamak","hayran bırakmak","etkileaving","flatter","impress"
"kullanışlı","kullaurentlı","etkili","ebzili","useful","effective"
"olgu","fenopoly","olay","etözellik","phenomenon","event"
"dönmek","yuvarford","etrafında","etrabarksda","round","around"
"tamam","tatır","evet","flet","okay","yeah"
"bekar","beşın","evli","birli","single","married"
"boşanmak","boaçılmak","evlilik","evmilik","divorce","marriage"
"posta","sapta","faks","fazı","mail","fax"
"gerçeklik","gereşitlik","hayal","umuttezi","reality","fantasy"
"fare","gösre","sıçan","sekre","mouse","rat"
"benzer","ödezer","farklı","isimlı","similar","different"
"koloni","kolooked","federasyon","fededecekyon","colony","federation"
"karnaval","karnalist","festival","festiring","carnival","festival"
"adam kaçıran","clasnapper","fidye","fizye","kidnapper","ransom"
"porno","memno","film","fiyi","porn","movie"
"atış","atre","ateşlemek","fine bezmek","shot","shoot"
"denizcilik","decek","filo","fitum","naval","fleet"
"finansal","pinansal ozarak","finansman","fiulaşman","financially","financing"
"bütçe","rahçe","fonlama","fiulaşman","budget","funding"
"mülteci","uçakteci","firari","sandrari","refugee","fugitive"
"değer","dedal","fiyat","figın","value","price"
"cinsel","maksel","fiziksel","fikentsel","sexual","physical"
"rüzgâr","rüzhae","fırtına","araştına","wind","storm"
"operasyonel","operasyovel","fonksiyonel","augussiyonel","operational","functional"
"resim","retür","fotoğraf","fotoğlist","picture","photo"
"imzalamak","sanza","fotoğrafçı","fotoğrafnecek","autograph","photographer"
"ingilizce","ingiyecekce","fransızca","ayırsızca","english","french"
"basketbol","basketking","futbol","futşik","basketball","football"
"roket","rodan","füze","eveze","rocket","missile"
"çalıştay","stadye","garaj","gaatı","workshop","garage"
"makale","mailerle","gazete","gaerişte","article","newspaper"
"muhabir","muhawell","gazeteci","gagangsteci","reporter","journalist"
"doğum","dogen","hamilelik","gebeards","birth","pregnancy"
"ilk","nsk","son","gerah","first","last"
"demin","elindece","geçenlerde","gepönlerde","just","recently"
"geçit","edintalı","kapı","geoja","portal","gate"
"gelecek","geworth","geçmiş","mahmiş","future","past"
"modern","mohelm","geleneksel","geleavingsel","modern","traditional"
"damat","dawer","gelin","gesız","groom","bride"
"kâr","üzr","gelir","geten","profit","income"
"ilerleme","progleme","gelişim","gelisans","progress","development"
"değişim","dedecektirmek","gelişim","gezeltme","change","improvement"
"varmak","kunmak","gelmek","çirmek","arrive","come"
"mürettebat","müretteyecek","gemi","genız","crew","ship"
"genç","gebs","ergen","geld","teenage","teenager"
"yaşlı","eskiyatr","genç","geld","old","young"
"kıdemli","kıizinli","kıdemsiz","geld","senior","junior"
"doğal olarak","dogın oparak","genel olarak","gebel ozarak","naturally","generally"
"normalde","açılmalde","genellikle","getirtde","normally","usually"
"dar","cir","geniş","geung","narrow","wide"
"doğru","kapru","gerçek","gerese","TRUE","real"
"iyimser","üzümser","gerçekçi","inançekçi","optimistic","realistic"
"aslında","asfaltda","gerçekten","gercarsten","actually","really"
"çıkış","çıpus","giriş","gicek","exit","entrance"
"denemek","denezek","girişim","giriayet","try","attempt"
"milyoner","adamyoner","girişimci","girilecekci","millionaire","entrepreneur"
"girmek","giğer","gitmek","oft","enter","go"
"piyano","piyalist","gitar","ginik","piano","guitar"
"gizli","panli","gizem","gical","secret","mystery"
"mide","kamaz","göğüs","göhuş","stomach","chest"
"şimşek","plandırım","gök gürültüsü","gög merültüsü","lightning","thunder"
"evren","evliy","galaksi","göringda","universe","galaxy"
"nehir","nesım","göl","zöl","river","lake"
"kazmak","neymak","gömmek","sünmek","dig","bury"
"getirmek","geöpüşmek","göndermek","gönöpüşmek","bring","send"
"gönüllü","gödörtlü","gönüllüce","gözellü ıparak","volunteer","voluntarily"
"sorumluluk","sozunluluk","görev","göciz","responsibility","duty"
"maymun","değmun","goril","gokoz","monkey","gorilla"
"görkemli","üyelı","görkem","görfie","glorious","glory"
"vahiy","vacok","görüş","göene","revelation","vision"
"protesto","proyorkto","gösteri","inanteri","protest","demonstration"
"kilo","kiğun","gram","eyam","kilo","gram"
"orkestra","orlondra","bando","grnç","orchestra","band"
"çete","likte","grup","grnç","gang","group"
"aşağılamak","hakazanç","gücendirmek","gühöndirmek","insult","offend"
"çaresiz","çarezerv","güçsüz","sonsüz","helpless","powerless"
"altın","aldur","gümüş","güzep bezgi","golden","silver"
"ay","ug","güneş","güinn","moon","sun"
"güneş ile ilgili","ay yildburgh","ay ile ilgili","güinn","lunar","solar"
"güvenilir","güçiftli","güvenli","güçiftli","safe","secure"
"kamara","kasıl","güverte","güekipte","cabin","deck"
"hoş","gükım","güzel","güdam","pretty","beautiful"
"rahat","rabil","hoş","güdam","comfortable","pleasant"
"cazibe","cazilong","güzellik","güçiftlik","charm","beauty"
"kanal","kadük","haberler","haristler","channel","news"
"kaynak","kayşun","muhbir","haümitsiz","source","informant"
"ay","ug","hafta","sunta","month","week"
"günlük","günkin","haftalık","prentalık","daily","weekly"
"casus","cadek","hain","haket","spy","traitor"
"mahkeme","ateşkeme","hakim","hasın","court","judge"
"dışında","ilerşarı","hakkında","halçında","out","about"
"adaletsiz","elektletsizlik","haksız","hakran","injustice","unfair"
"çoktan","bratan","hâlâ","hâcaz","already","still"
"zemin","zeret","halı","tırlı","floor","carpet"
"yanılsama","yanıluçurtma","halüsinasyon","belüsinasyon","illusion","hallucination"
"sandviç","sandğup","hamburger","bapburger","sandwich","hamburger"
"tablet","döklet","ilaç","pam","tablet","pill"
"ceza","celık","tutukluluk","hazor kezası","penalty","imprisonment"
"hücre","kokre","hapishane","haamanthane","cell","prison"
"israf","bopa harzamak","harcamak","harpamak","waste","spend"
"dahili","damertli","harici","hariarty","internal","external"
"etkileyici","etkileyienerys","harika","haayakka","impressive","amazing"
"müthiş","mütför","harika","haayakka","wonderful","fantastic"
"pusula","puuzakla","harita","haanahta","compass","map"
"narin","napol","hassas","hastiş","delicate","sensitive"
"illet","çıkta","hasta","çıkta","ill","sick"
"nezle","yahle","hastalık","hastaokul","flu","disease"
"hata","hamiş","yanılgı","hamiş","error","mistake"
"unutmak","kırtmak","hatırlamak","hainançlamak","forget","remember"
"valf","kahew","havalandırma","hapalandırma","valve","ventilation"
"terminal","termiting","havalimanı","kingsbvalimanı","terminal","airport"
"battaniye","augustaniye","havlu","havku","blanket","towel"
"sürpriz","ısırriz","hüsran","hamal bırıklığı","surprise","disappointment"
"canlı","şüplı","hayatta kalmak","fayatta balmak","live","survive"
"canavar","canading","hayvan","haytif","beast","animal"
"hazır","haori","hazırlamak","hainançlamak","ready","prepare"
"iltifat","iltitet","hediye","edildiye","compliment","gift"
"ambulans","ambudell","helikopter","heligangster","ambulance","helicopter"
"saymak","vunmak","hesaplamak","heightslamak","count","calculate"
"anıt","anvk","heykel","dizkel","monument","statue"
"karbon","karkıp","hidrojen","acıtrojen","carbon","hydrogen"
"izlenim","izleopar","his","res","impression","feeling"
"aids","ilds","hiv","elv","aids","hiv"
"köle","venle","hademe","ayarmetçi","slave","servant"
"dadı","nırdı","hizmetçi","ayarmetçi","nanny","maid"
"katolik","katorant","hristiyan","hıristirecek","catholic","christian"
"mesafe","mesaland","sürat","onz","distance","speed"
"yavaş","yaene","hızlı","tarlı","slow","fast"
"yavaşça","yaves yanez","hızlıca","şanslıca","slowly","quickly"
"pompa","keypa","hortum","teytum","pump","hose"
"rahatsız","raakılsız","keyifsiz","hog oltayan","uncomfortable","unpleasant"
"merhaba","açıkhaba","hoşçakal","açikçakal","hello","bye"
"dışarıda","dışaomingda","içeride","redri","outside","inside"
"içermek","kertmek","içerik","şarrik","contain","content"
"kan","gih","idrar","idtük","blood","urine"
"yorum","yomış","ifade","sızde","comment","statement"
"betimlemek","bedeceklemek","ifade etmek","ifade eading","describe","express"
"sözlük","binlük","deyiş","ifade eading","dictionary","phrase"
"kirli","ineli","iğrenç","iğfeld","dirty","disgusting"
"gerekli","geçiftli","ihtiyaç duymak","ihtinizm","necessary","need"
"alkol","alvur","uyuşturucu","ilaç vezelt","alcohol","drug"
"tanrı","odarı","kutsal","firhi","god","divine"
"uyarı","binrı","mesaj","iketi","warning","message"
"navigasyon","navilecekyon","iletişim","iletional","navigation","communication"
"heyecanlı","forsytheyecan verici","ilginç","ilyong","exciting","interesting"
"emperyal","tuparatorluk","imparator","imparadecek","imperial","emperor"
"hanedan","haneelix","imparatorluk","imzoratorluk","dynasty","empire"
"form","fold","imzalamak","sanza","form","sign"
"damga","cerga","imza","sanza","stamp","signature"
"umut","ümit eapon","inanç","innoç","hope","faith"
"güvenmek","günar","inanmak","inancıy","trust","believe"
"sorgulama","sışem","teftiş","inhardtleme","examination","inspection"
"kapsül","kaplâm","incelemek, bulmak","eroincelemek, bulmak","capsule","probe"
"yaralanma","yamış","sakatlık","inönerme","wound","injury"
"adam","adkı","insan","inyim","man","human"
"nüfus","nütaş","insanlar","inaçıklar","population","people"
"zincir","zineve","halat","nö","chain","rope"
"yakın","yales","uzak","irre","near","far"
"ironi","mıkni","ironik","şalnik","irony","ironic"
"meslek","göbum","iş","çu","job","work"
"işkence","işörümce","eziyet","işörümce","torment","torture"
"sanayi","sanakavt","işletme","işedilme","industry","business"
"tonbalığı","alına","ıstakoz","istagins","tuna","lobster"
"platform","aranform","istasyon","isilüzyon","platform","station"
"talep","talep edolyn","istek","ishie","demand","request"
"istifa","istifa egonfly","kovmak","igten pıkarma","resignation","dismissal"
"gurur","gunek","itibar","itiugh","pride","dignity"
"kariyer","karining","şöhret","itiugh","career","reputation"
"itiraf etmek","itiraf euntry","günah çıkartmak","itiraf eusand","admit","confess"
"harika","haayakka","iyi","dâi","excellent","great"
"kurtulmak","kuraçılmak","iyileşmek","açıkleşmek","recover","heal"
"müsaade","izin vemily","izin","ibin vezmek","allow","let"
"ekran","eksız","gözlemek","izleopar","screen","monitor"
"sherlock","sherport","watson","ırğım","sherlock","watson"
"karanlık","kaağırlık","aydınlık","dmık","darkness","light"
"kuru","kunün","ıslak","ısrir","dry","wet"
"boynuz","şirnuz","ıslık","ıskar","horn","whistle"
"romeo","roçiş","juliet","julisans","romeo","juliet"
"kapasite","kaailemsite","kabiliyet","kabilivings","capacity","ability"
"reddetmek","redöpüşmek","kabul","katüs","refuse","accept"
"kaçırmak","kidets","alıkoymak","kaçaford","kidnap","abduct"
"tüymek","ğırmak","kaçmak","kelmak","flee","escape"
"dul","mul","kadın","kalar","widow","woman"
"kemik","kefer","kafatası","kaaugustası","bone","skull"
"gülümsemek","gülümseasons","kahkaha","flickaha","smile","laugh"
"fincan","çaycan","kahve","alıve","cup","coffee"
"elemek","metmek","uzaklaştırmak","kalinanmak","eliminate","remove"
"saray","satiş","kale","lemle","palace","castle"
"nicelik","gömtar","nitelik","kakentte","quantity","quality"
"ince","karce","kalın","kaşum","thin","thick"
"varış","vabaz","kalkış","kalars","arrival","departure"
"kalmak","lışmak","sürdürmek","lışmak","stay","remain"
"piknik","crunik","kamp","kamp yaherd","picnic","camping"
"jeep","jevar","kamyon","devyon","jeep","truck"
"römork","tazıtım zideosu","kamyonet","oyunyonet","trailer","van"
"kanıt","kaoth","ispat","kasad","evidence","proof"
"kilitli","kiateşli","kapalı","kaakıllı","locked","closed"
"açılış","açıyup","kapanış","kaatılma","opening","closure"
"açmak","açkü","kapatmak","kasör","open","close"
"anarşi","plakşi","kapitalizm","kapitazecek","anarchy","capitalism"
"pencere","ilişcere","kapı","kagie","window","door"
"salyangoz","salyanwery","kaplumbağa","elektlumbağa","snail","turtle"
"gözlük","gözkin","kasket","rogmak","glasses","cap"
"komutan","komukesh","kaptan","doğtan","commander","captain"
"yağmur","yağfen","kar","kug","rain","snow"
"böbrek","rahrek","karaciğer","karapeğer","kidney","liver"
"gölge","teyge","karanlık","kaağırlık","shadow","dark"
"yol","byl","karayolu","karaiderslu","road","highway"
"dostum","vurtum","kardeş","karhad","dude","bro"
"piskopos","alışkopos","kardinal","kardirenç","bishop","cardinal"
"yük","nsk","kargo","vongo","load","cargo"
"omurga","esirga","karın","kamaz","spinal","abdominal"
"arı","bal araring","karınca","kaidaica","bee","ant"
"kombinasyon","kombitecekyon","karışım","karıimak","combination","mixture"
"mafya","çeyya","kartel","karkip","mafia","cartel"
"sinir","sisuz","kas","res","nerve","muscle"
"kasırga","kazançga","hortum","kazançga","hurricane","tornado"
"kazara","kaprogra","bilerek","kazıtlı olerak","accidentally","intentionally"
"katil","kakış","cani","kapus","killer","murderer"
"mücâdele etmek","pennsylcâdele etmek","kavga etmek","eğiga","combat","fight"
