"sk_cue","sk_fake_cue","sk_target","sk_fake_target","en_cue","en_target"
"poklad","posál","bohatstvo","bohatríp","treasure","wealth"
"chudobný","chustupný","bohatý","bohavkin","poor","rich"
"boj","borej","bitka","bitej","combat","fight"
"aréna","jálna","bojisko","bokvápko","arena","battlefield"
"vojak","vúns","bojovník","boradník","soldier","warrior"
"majster","ciester","bitkár","bitník","champion","fighter"
"utrpenie","vzbupenie","bolesť","bovler","suffering","pain"
"washington","vasdiktaf","boston","hunton","washington","boston"
"boha","boter","božský","valský","god","divine"
"vlasy","narsy","brada","cenda","hair","beard"
"portál","blatál","brána","gálna","portal","gate"
"sestra","sesčal","brat","brúd","sister","brother"
"príbuzný","prívlesný","bratranec","utheranec","relative","cousin"
"štít","štpä","brnenie","zmiznenie","shield","armor"
"frajer","frakíz","kámo","dáo","dude","bro"
"spinálny","chranálny","brušný","surdný","spinal","abdominal"
"veža","velej","budova","budovaských","tower","building"
"košeľa","košedy","bunda","hluda","shirt","jacket"
"superman","susandman","batman","radan","superman","batman"
"vietor","otraror","búrka","radka","wind","storm"
"dom","orm","byt","drit","house","apartment"
"kliatba","skratba","čarodejnica","čaroovplyvnica","curse","witch"
"mágia","mália","čarodejník","čarovlastník","magic","wizard"
"čašník","krlník","čašníčka","vklaníčka","waiter","waitress"
"detonátor","detonáplasť","časovač","časoames","detonator","timer"
"hmota","hmoniach","častica","vrectica","matter","particle"
"niekedy","zvánkedy","často","plato","sometimes","often"
"hodnota","upranota","cena","nárna","value","price"
"míla","ľula","centimeter","šľachtimeter","mile","centimeter"
"privilégium","privilémstil","česť","čeža","privilege","honor"
"trasa","linsa","cesta","alita","route","path"
"lístok","bortok","cestovný pas","cestovánoch","ticket","passport"
"túžba","hreba","želanie","žechink","desire","wish"
"pera","mekra","líce","lírve","lip","cheek"
"operovať","opláčia","chirurgia","uprarurgia","operate","surgery"
"teplý","vyklý","chladný","ukradný","warm","cool"
"horúci","hostarci","studený","prokradný","hot","cold"
"dievča","techča","chlapec","chlajse","girl","boy"
"chorý","pokrý","nezdravý","pokvý","ill","sick"
"chyba","rovba","omyl","rovyl","error","mistake"
"cesnak","cesroš","cibuľa","cichytľa","garlic","onion"
"biela","plola","čierna","svedna","white","black"
"dym","hým","cigara","cibuľ","smoke","cigar"
"tabak","taráš","cigareta","cigaplachta","tobacco","cigarette"
"aktívny","akciámny","činnosť","nórnosť","active","activity"
"hrob","hrľe","cintorín","cintohnar","grave","cemetery"
"zoo","zoorstvina","cirkus","cirtén","zoo","circus"
"cisársky","cisárňový","cisár","cizes","imperial","emperor"
"delikátny","delismiešny","citlivý","oznalivý","delicate","sensitive"
"kultúra","vražtúra","civilizácia","civilizástvách","culture","civilization"
"ponorka","poskunka","čln","gyn","submarine","boat"
"cukor","cudán","čokoláda","čokoláriách","sugar","chocolate"
"neskoro","nechajro","čoskoro","čochvíro","late","early"
"prax","prms","cvičenie","slávčenie","practice","exercise"
"naivný","nalentný","cynický","cyborgký","naive","cynical"
"postupovať","poslúchčovať","pokračovať","pokraňať","proceed","continue"
"blízko","blízorig","ďaleko","ďakrátko","near","far"
"kompliment","komplilých","darček","špirček","compliment","gift"
"charita","charčinských","príspevok","príspevaských","charity","donation"
"vložiť","sedžiť","dať","osť","insert","put"
"ponúknuť","poviaznuť","poskytnúť","onúť","offer","give"
"november","novemnách","december","decemnách","november","december"
"koncepcia","konfroncia","definícia","definíských","concept","definition"
"kavaléria","kavaléských","delostrelectvo","delostrevratstvo","cavalry","artillery"
"sloboda","zdraboda","demokracia","demokramont","freedom","democracy"
"protest","protols","demonštrácia","demonaliancia","protest","demonstration"
"stres","stors","depresia","uzatresia","stress","depression"
"storočie","storovyk","desaťročie","desaťroidoch","century","decade"
"agent","agraca","detektív","deteksiel","agent","detective"
"mladosť","mlavak","detstvo","jomstvo","youth","childhood"
"anjel","ankio","diabol","diague","angel","devil"
"cesta","tanta","diaľnica","chronica","road","highway"
"prasklina","strašlina","diera","mokra","crack","hole"
"bábätko","báter","dieťa","opúšťaťa","baby","child"
"chlapci","chrisci","dievčatá","techčatá","boys","girls"
"ping","pijo","ding","digu","ping","ding"
"konverzácia","konštantzácia","diskusia","diskumoch","conversation","discussion"
"kino","psono","divadlo","dirýchlo","cinema","theater"
"jednotka","jedkrývka","divízia","divítých","unit","division"
"krátky","denky","dlhý","dli","short","long"
"veľkosť","ličkosť","dĺžka","gráka","size","length"
"senior","dýchnior","junior","abaor","senior","junior"
"vrchol","vršiel","dno","dao","top","bottom"
"dobrovoľník","dobrostredník","dobrovoľne","dobrostiahne","volunteer","voluntarily"
"naviac","natriše","dodatočný","dodaniachný","extra","additional"
"zmluva","zdvíva","dohoda","dosiahda","contract","agreement"
"stopa","stluk","dôkaz","dôlik","evidence","proof"
"ideálny","kratálny","dokonalý","dokonaštvalý","ideal","perfect"
"súbor","súbolest","dokument","dokusoch","file","document"
"libra","liboších","dolár","dobus","pound","dollar"
"cenný","sobný","dôležitý","dôlesprostý","valuable","important"
"pevne","užíne","silne","sičierne","firmly","strongly"
"misa","miche","tanier","tamiu","bowl","plate"
"dosť","doher","dostatočný","dostašťastný","enough","sufficient"
"pýcha","pýteľ","dôstojnosť","dôstojskat","pride","dignity"
"úcta","kosta","dôvera","stravera","respect","confidence"
"vianoce","idenoce","dovolenka","dovochádzka","christmas","holiday"
"toaleta","toalvem","umývadlo","umýrif","toilet","sink"
"alkohol","alkovich","droga","kurga","alcohol","drug"
"kábel","káfie","drôt","drďo","cable","wire"
"duša","dukym","duch","durpa","soul","spirit"
"kvapka","kvovied","dúšok","dúraz","drop","sip"
"okno","dovno","dvere","lakre","window","door"
"strelný prach","strepraliach","dynamit","dynathan","gunpowder","dynamite"
"módny","pásny","elegantný","elevďačný","fashionable","elegant"
"magnetický","ospranetický","elektrický","eleksladký","magnetic","electric"
"prúd","pruj","elektrina","skontrina","current","electricity"
"duševný","dubližný","emocionálny","emocitriedny","mental","emotional"
"výkon","oron","energia","enerlám","power","energy"
"mor","skonor","epidémia","zjedémia","plague","epidemic"
"séria","séhol","epizóda","strozóda","series","episode"
"orgazmus","oroptimus","erekcia","trošcia","orgasm","erection"
"detonácia","detolovácia","explodovať","exosvaldovať","burst","explode"
"zemetrasenie","zemetrasestvách","explózia","explótých","earthquake","explosion"
"opísať","uťasať","vyjadriť","vytavniť","describe","express"
"vnútorný","vnúhlavný","externý","explatný","internal","external"
"falošný","faznačný","nepravdivý","fagentný","fake","FALSE"
"nádherný","nádnostný","fantastický","ospratastický","wonderful","fantastic"
"realita","reazachsta","fantázia","upratázia","reality","fantasy"
"pošta","smišta","fax","faxoných","mail","fax"
"kolónia","kolóskej","federácia","federáských","colony","federation"
"karneval","trálneval","festival","vraztival","carnival","festival"
"porno","anano","film","fimp","porn","movie"
"bankový","elekový","finančný","fislovný","banking","financial"
"rozpočet","rozpohnak","dotovanie","dotovastvách","budget","funding"
"finančne","figvajne","financovanie","financovastvách","financially","financing"
"pohár","hadár","fľaša","kunša","glass","bottle"
"námorný","nárenzný","flotila","rýchtila","naval","fleet"
"autogram","autodách","fotograf","fotojich","autograph","photographer"
"obraz","obšok","fotografia","fotograstrel","picture","photo"
"anglický","anšľachtický","francúzsky","elekcúzsky","english","french"
"slovník","bronník","fráza","supza","dictionary","phrase"
"zbeh","sklačenec","utečenec","uterén","refugee","fugitive"
"prevádzkový","predrávkový","funkčný","sliečný","operational","functional"
"basketbal","dvojketbal","futbal","futej","basketball","football"
"sexuálny","sexutriedny","fyzický","fyvšetký","sexual","physical"
"vesmír","vesnóm","galaxia","galadžo","universe","galaxy"
"dielňa","vinsňa","garáž","gazin","workshop","garage"
"klavír","klatáč","gitara","giprezra","piano","guitar"
"národný","nálorný","globálny","glocierny","national","global"
"opica","ukeca","gorila","goštvala","monkey","gorilla"
"rímsky","bázsky","grécky","právky","roman","greek"
"kilo","vielo","gram","gryt","kilo","gram"
"barón","bareho","grófka","draska","baron","countess"
"kaliber","kalinách","guľka","laľka","caliber","bullet"
"červ","čeuch","had","ozad","worm","snake"
"pumpa","vkrumpa","hadica","hachodca","pump","hose"
"ilúzia","vrhzia","halucinácia","halucinávrhoch","illusion","hallucination"
"sendvič","sendjou","hamburger","adopburger","sandwich","hamburger"
"vyváženie","vyvážechráň","harmónia","priemónia","balance","harmony"
"autor","auvaš","herec","dinec","author","actor"
"kokaín","kokaster","heroín","herokiaľ","cocaine","heroin"
"kód","reld","heslo","skelo","code","password"
"aids","aidát","hiv","lyv","aids","hiv"
"unavený","sprevený","hladný","stadný","tired","hungry"
"väčšina","hlavšina","hlas","hlasociál","majority","vote"
"stráž","koráž","hliadka","stiahka","guard","patrol"
"šialenstvo","šialenium","hlúposť","hlúrot","madness","stupidity"
"naivný","nalentný","hlúpy","brepy","naïve","stupid"
"mrak","mrzá","hmla","hmta","cloud","fog"
"pavúk","pavoch","hmyz","hmém","spider","insect"
"žiarlivý","zdielivý","nahnevaný","pauvaný","jealous","angry"
"vysvetlenie","vysýchlenie","hodnoverný","hodnociachný","explanation","plausible"
"zaslúžiť si","zaslúžiťplach","hodný","sanný","deserve","worthy"
"tuniak","tugham","homár","horid","tuna","lobster"
"lesba","osloba","homosexuál","houzrisexuál","lesbian","gay"
"nižší","zdeší","vyšší","bašší","lower","upper"
"kašeľ","kaomi","horúčka","hozlieka","cough","fever"
"nájomník","náurník","prenajímateľ","upratimateľ","tenant","landlord"
"rozprávať","rozprádĺžil","hovoriť","hovoplať","talk","speak"
"hrať","miať","hra","vra","play","game"
"bábika","bákvapka","hračka","urovka","doll","toy"
"palác","pajcu","hrad","hril","palace","castle"
"internet","interhoch","sieť","skonieť","internet","web"
"blesk","chesk","hrom","hriem","lightning","thunder"
"hrozný","uvoľný","strašný","vrašný","terrible","horrible"
"žalúdok","žalúland","hrudník","plokník","stomach","chest"
"džez","gijez","hudba","tmaba","jazz","music"
"spevák","spering","hudobník","huslušník","singer","musician"
"tenký","bodký","hrubý","davbý","thin","thick"
"celebrita","cechiatrita","hviezda","úspešda","celebrity","star"
"blázon","bláplo","idiot","kazot","fool","idiot"
"vírus","vísou","infekcia","inštrácia","virus","infection"
"dáta","dista","informácie","inštikmácie","data","information"
"zdroj","kôroj","informátor","inštikmátor","source","informant"
"ohlásiť","vražviť","informovať","intransmovať","report","inform"
"dávka","okoka","injekcia","injektant","dose","injection"
"vyšetrenie","vyhumprenie","inšpekcia","intrancia","examination","inspection"
"inšpirovať","insynchrovať","inšpirácia","indeklarácia","inspire","inspiration"
"múdry","múchranný","inteligentný","inteliochranný","smart","intelligent"
"osobný","kromný","intímny","inčierny","personal","intimate"
"inštinkt","invrekt","intuícia","intukly","instinct","intuition"
"bankér","chodér","investor","intraktor","banker","investor"
"financovať","fištvorcovať","investovať","inštrukovať","finance","invest"
"irónia","odônia","ironický","lerenický","irony","ironic"
"vstúpiť","vstúruť","ísť","gisť","enter","go"
"atómový","piesmový","jadrový","asisrový","atomic","nuclear"
"banán","baure","jahoda","jadeň","banana","strawberry"
"žiariť","žiacom","jasný","pečný","shine","bright"
"žaba","žaniu","jašterica","egypterica","frog","lizard"
"rieka","bozieka","jazero","javnútro","river","lake"
"tetovanie","tetovaských","jazva","kosva","tattoo","scar"
"špeciálny","špejohny","jedinečný","jedistranný","special","unique"
"jedlo","slalo","pokrm","niekrm","food","meal"
"jednoducho","jednodufielo","jednoduchý","jednoruzriený","simply","simple"
"osoba","virba","jednotlivec","jedfranklivec","person","individual"
"mäkký","panký","jemný","štený","soft","gentle"
"dobre","kafobre","hej","dlej","okay","yeah"
"hus","huana","kačica","kazochca","goose","duck"
"skala","skači","kameň","kaplá","rock","stone"
"džíp","džejn","kamión","kamisiek","jeep","truck"
"stôl","stov","kancelária","striecelária","desk","office"
"orchester","orstvater","kapela","kaviarla","orchestra","band"
"anarchia","anarznie","kapitalizmus","kapitalizstvách","anarchy","capitalism"
"kostol","snatol","kaplnka","kazanka","church","chapel"
"biskup","bisnot","kardinál","kardičiem","bishop","cardinal"
"mafia","mavos","kartel","cestel","mafia","cartel"
"pohár","poidu","káva","tesva","cup","coffee"
"piknik","sacnik","kempovanie","vznikpovanie","picnic","camping"
"palica","pastráca","kladivo","prejdivo","stick","hammer"
"klamať","klekáš","klamár","klačul","lie","liar"
"typický","tyvšetký","klasický","klaprudký","typical","classic"
"chrám","tarám","kláštor","utlátor","temple","monastery"
"sirotinec","sirotikrist","kláštor","utlátor","orphanage","convent"
"diamant","diamial","klenot","klebuď","diamond","jewel"
"helma","kapma","klobúk","klolia","helmet","hat"
"mních","zpích","kňaz","iťaz","monk","priest"
"princezná","ovlácezná","princ","štinc","princess","prince"
"biblia","číslia","kniha","myšha","bible","book"
"podlaha","nieslaha","koberec","kobehľad","floor","carpet"
"pád","páryz","kolaps","koloun","fall","collapse"
"rameno","oznémeno","koleno","koletie","shoulder","knee"
"dráma","lopma","komédia","komévych","drama","comedy"
"inšpektor","indiántor","komisár","komiálov","inspector","commissioner"
"navigácia","navigáských","komunikácia","komunikástvách","navigation","communication"
"rasista","raneta","komunista","komuplachta","racist","communist"
"osol","osva","kôň","fáň","donkey","horse"
"rum","ruket","koňak","kovýš","rum","cognac"
"gesto","jašto","čin","čilib","gesture","act"
"zamerať","zamevzplaniť","koncentrovať","konceťaciať","focus","concentrate"
"turné","preturma","koncert","konpens","tour","concert"
"finálny","finčerstvý","konečný","kostupný","final","ultimate"
"pyramída","pyradvarda","konštrukcia","konaliancia","pyramid","structure"
"originál","origičiem","kópia","kóľa","original","copy"
"spoločnosť","spoločskej","korporácia","priesporácia","company","corporation"
"slimák","sliroš","korytnačka","korytplienka","snail","turtle"
"rodeo","roist","kovboj","kovdzi","rodeo","cowboy"
"železo","želeklad","kov","kovotrel","iron","metal"
"kráľovná","krážiadná","kráľ","krôj","queen","king"
"fox","rax","králik","krábat","fox","rabbit"
"kráľovský","krábritský","kráľovstvo","kráľovkých","royal","kingdom"
"čaro","časky","krása","opísa","charm","beauty"
"milý","mčený","rozkošný","umieny","nice","lovely"
"pekný","včený","krásny","umieny","pretty","beautiful"
"väzba","väzint","kravata","schozať","bind","tie"
"predstavivosť","predstaviciach","kreativita","ovplyvativita","imagination","creativity"
"maľovať","maľoniť","kresliť","kresholiť","paint","draw"
"katolík","katochat","kresťan","sklaťan","catholic","christian"
"situácia","situznak","kríza","chóza","situation","crisis"
"hrdlo","pálo","krk","rork","throat","neck"
"zlo","crilo","krutosť","bietosť","evil","cruelty"
"brutálny","zmietálny","krutý","tamtý","brutal","cruel"
"aktovka","akhláška","kufor","kulay","briefcase","suitcase"
"sprcha","clocha","kúpeľňa","kúrochňa","shower","bathroom"
"predávajúci","zvláštdávajúci","kupujúci","kupučiachci","seller","buyer"
"fragment","udajment","kúsok","kúni","fragment","piece"
"množstvo","unikstvo","kvalita","oslolita","quantity","quality"
"závod","záľaš","kvetina","opustina","plant","flower"
"vzduch","ľaduch","kyslík","činlík","air","oxygen"
"drahý","rozhý","lacný","seľný","expensive","cheap"
"nemožný","nelibný","ľahký","henký","impossible","easy"
"reťaz","reňák","lano","treno","chain","rope"
"nenávisť","nenázver","láska","reposka","hate","love"
"kosť","kozá","lebka","šilka","bone","skull"
"mýtus","mýket","legenda","levklada","myth","legend"
"chirurg","chikard","lekára","letieťra","surgeon","doctor"
"džungľa","džunvy","les","hnes","jungle","forest"
"pristátie","priukrytie","let","aset","landing","flight"
"pristáť","heráť","letieť","leterieť","land","fly"
"terminál","termitier","letisko","leclarko","terminal","airport"
"drak","držek","lev","niv","dragon","lion"
"konzervatívny","konzervláštny","liberálny","libesiachny","conservative","liberal"
"terapia","teradosť","liečba","šperba","therapy","treatment"
"taxík","tagáj","limuzína","limukrišna","taxi","limousine"
"móda","móciu","ling","liev","ming","ling"
"umenie","lkanie","literatúra","ochráňteratúra","art","literature"
"sať","úšť","lízať","lížia","suck","lick"
"posádka","potľapka","loď","boď","crew","ship"
"populácia","populáska","ľudia","ľuďou","population","people"
"muž","iduž","človek","stovek","man","human"
"krádež","krágih","lúpež","lúkas","theft","robbery"
"pes","uls","mačka","skyka","dog","cat"
"playboy","playvers","magazín","magavedz","playboy","magazine"
"nehnuteľnosť","nehnuteľstvom","majiteľ","majiktroch","property","owner"
"kečup","kehir","majonéza","mastranéza","ketchup","mayonnaise"
"umelec","umevan","maliar","maliniel","artist","painter"
"trochu","vichu","malý","markvu","little","small"
"otec","otur","mama","malic","daddy","mum"
"kontrolovať","konsvätiť","manipulovať","manipulotér","control","manipulate"
"manžel","manzlieka","manželka","manhrávka","husband","wife"
"rozvod","rozpel","manželstvo","manliactvo","divorce","marriage"
"kompas","komrár","mapa","mapozdra","compass","map"
"reklama","rezerma","marketing","markebrať","advertising","marketing"
"jóga","rurga","masáž","mareš","yoga","massage"
"med","aved","maslo","prílo","honey","butter"
"bravčové","pneumačové","mäso","vilso","pork","meat"
"fyzika","fykvapka","matematika","mateoriachtika","physics","mathematics"
"minimálny","miniciachny","maximálny","maxitriedny","minimum","maximum"
"technický","dievnický","mechanický","mechaľovský","technical","mechanical"
"artefakt","artezlec","medailón","medaivek","artifact","medallion"
"trofej","trocíp","medaila","mechvala","trophy","medal"
"veverička","vevechádzka","mýval","vraitsýval","squirrel","raccoon"
"kilometer","kilomediant","meter","melus","kilometer","meter"
"metropola","metroňach","mesto","zníto","capital","city"
"regionálny","registromny","miestny","smierny","regional","local"
"miesto","baisto","poloha","arioha","place","location"
"fotoaparát","fotoapafild","mikrofón","mikrodosť","camera","microphone"
"ďalekohľad","ďalekostreľ","mikroskop","mikrohých","telescope","microscope"
"milión","milstrop","miliarda","miglenda","million","billion"
"odpustenie","odosvietenie","milosrdenstvo","milosrdoláč","forgiveness","mercy"
"milenka","terlenka","milenec","milenstva","mistress","lover"
"veľvyslanec","veľplietlanec","minister","mishelter","ambassador","minister"
"veľvyslanectvo","veľspláchlanectvo","ministerstvo","minisfild","embassy","ministry"
"budúcnosť","budúlko","minulosť","minuchal","future","past"
"plus","teus","mínus","míbov","plus","minus"
"sekunda","sekuha","minútu","mišportu","second","minute"
"starý","pokrý","mladý","fildý","old","young"
"krv","lúv","moč","lač","blood","urine"
"škrabanec","uzambanec","modrina","modošklba","scratch","bruise"
"hnedý","cirdý","modrý","herý","brown","blue"
"suchý","sutrý","mokrý","bibrý","dry","wet"
"obrazovka","obrojka","monitor","monitorosvort","screen","monitor"
"aspirín","aspiberg","morfín","morhyb","aspirin","morphine"
"hotel","hoab","motel","mogan","hotel","motel"
"nádrž","nário","motor","štartor","tank","engine"
"mozog","mohaľ","mozgový","plasgový","brain","cerebral"
"šanca","evoca","možnosť","rienosť","chance","possibility"
"výber","paler","voľba","rieľba","choice","option"
"včela","lásla","mravec","kvapec","bee","ant"
"telo","tenia","mŕtvola","uzavola","body","corpse"
"nažive","nasvedve","mŕtvy","korvy","alive","dead"
"trápenie","ubezpenie","mučenie","mučekoch","torment","torture"
"zrno","jeno","múka","špaka","grain","flour"
"evolúcia","zliklúcia","mutácia","mutápač","evolution","mutation"
"knižnica","zmysnica","múzeum","placeum","library","museum"
"zvážiť","futžiť","myslieť","myscieť","consider","think"
"dôchodok","dôchových","mzda","ťoda","pension","salary"
"jar","lór","jeseň","jilou","spring","autumn"
"filozofia","filozostrel","náboženstvo","nábometro","philosophy","religion"
"sledovať","frandovať","naháňať","naháchrípka","follow","chase"
"nahradiť","navzbudiť","náhradník","náhštevník","replace","substitute"
"prsteň","fosteň","náhrdelník","náhršťastník","ring","necklace"
"nahota","nalola","nahý","natel","nude","naked"
"hľadať","vyvliedať","nájsť","nápiť","search","find"
"naložiť","nalodrieť","náklad","náling","load","cargo"
"nakoniec","nakodach","napokon","napotvor","finally","eventually"
"pirát","pidze","námorník","námontér","pirate","sailor"
"námorník","dlerník","námorníctvo","mámočnosť","marine","navy"
"vlastne","hliadne","naozaj","naomer","actually","really"
"čítať","čídovať","písať","pílieť","read","write"
"krajina","osvojina","národ","náfil","country","nation"
"výročie","výrobert","narodeniny","narovplyvniny","anniversary","birthday"
"prerušiť","prerutoch","narušiť","narutoch","interrupt","disturb"
"pasca","dvoca","návnada","otranada","trap","bait"
"navrhnúť","navrchom","odporučiť","odpochom","propose","suggest"
"večný","kysný","navždy","znakdy","eternal","forever"
"obloha","obloniál","nebeský","nespozký","sky","heavenly"
"riziko","rizišiel","nebezpečenstvo","nebezpečenvliecť","risk","danger"
"riskantný","risnešný","nebezpečný","nebestrašný","risky","dangerous"
"náhle","garle","nečakane","nečaoprávne","suddenly","unexpectedly"
"teraz","teoro","vedieť","vešťas","now","know"
"dovoliť","dovokých","nechať","nešťas","allow","let"
"špinavý","starnavý","nechutný","nechlavný","dirty","disgusting"
"práve","tlove","nedávno","neustano","just","recently"
"sobota","sobolest","nedeľa","nedewitt","Saturday","Sunday"
"pozitívny","poziprázdny","negatívny","negaprázdny","positive","negative"
"incident","inciboch","nehoda","nesklada","incident","accident"
"slepý","grapý","nepočujúci","nepomstychjúci","blind","deaf"
"nepohodlný","nepozvestný","nepríjemný","neprístranný","uncomfortable","unpleasant"
"prítomnosť","prítokvas","neprítomnosť","neprítomlešt","presence","absence"
"ustarostený","orienrostený","nervózny","neranálny","worried","nervous"
"neschopnosť","nestretnosť","neschopný","nestretný","inability","unable"
"nespravodlivosť","nemalževodlivosť","nespravodlivý","nemalževodlivý","injustice","unfair"
"nešťastný","nestretný","nešťastie","nezvytie","unfortunate","misfortune"
"vždy","bôdy","neustále","neukresle","always","constantly"
"ženích","ženígraf","nevesta","neschyta","groom","bride"
"hnačka","emočka","nevoľnosť","nevoľbách","diarrhea","nausea"
"anonymný","anoužasný","neznámy","nepresmy","anonymous","unknown"
"nerozumný","nerovplyvný","nezodpovedný","nezodpochranný","unreasonable","irresponsible"
"nič","lač","niečo","klačo","nothing","something"
"inde","prade","niekde","niepán","elsewhere","somewhere"
"zdravý","distvý","normálny","kresmálny","healthy","normal"
"ústa","udeta","nos","eps","mouth","nose"
"reportér","reporant","novinár","novistup","reporter","journalist"
"kanál","kated","správy","sprachôty","channel","news"
"článok","váľnok","noviny","novadosť","article","newspaper"
"meč","rošič","nôž","vočiž","sword","knife"
"naliehavý","naostrihavý","núdzový","núdzopriečný","urgent","emergency"
"von","ern","o","an","out","about"
"obchodný","obplatný","obchodník","obslušník","commercial","merchant"
"fáza","hojeza","obdobie","obdotosť","phase","period"
"tábor","tália","dedina","ipedina","camp","village"
"občerstvenie","občersko","obed","zjed","snack","lunch"
"planéta","stupnéta","orbita","orbala","planet","orbit"
"chrániť","chrálať","obhajovať","obhabiť","protect","defend"
"bozk","botia","objať","obríš","kiss","hug"
"príkaz","priazvu","objednať","objedstve","command","order"
"čerstvý","čerský","osviežiť","osnorant","fresh","refresh"
"rituál","ritustvá","obrad","obpou","ritual","ceremony"
"veľký","pomeľký","obrovský","obrovdý","big","huge"
"obsahovať","obsatrieť","obsah","obgií","contain","content"
"topánka","topáských","obuv","obúž","boot","shoe"
"sťažnosť","blaznosť","obvinenie","obvinešťast","complaint","accusation"
"polomer","polokaus","obvod","obmäk","radius","perimeter"
"obyčajný","dvojčajný","obvyklý","obtrvalý","ordinary","usual"
"čakať","čaciť","očakávať","schokávať","wait","expect"
"atraktívny","atrakprázdny","očarujúci","najvzrujúci","attractive","charming"
"more","mokov","oceán","spán","sea","ocean"
"betón","behie","oceľ","ocidat","concrete","steel"
"obdivovať","obdivotriť","oceniť","polniť","admire","appreciate"
"chrípka","chlaska","ochorenie","zdierenie","flu","disease"
"strýko","vtipko","ocko","tlako","uncle","dad"
"príchod","príhoch","odchod","odstoc","arrival","departure"
"vernosť","zvonosť","oddanosť","odamian","fidelity","devotion"
"jazdiť","janáriť","voziť","vozakliať","drive","ride"
"bonus","božín","odmena","odstrána","bonus","reward"
"odpor","odhej","odolať","odopre","resistance","resist"
"smeti","histi","odpad","odpacien","trash","garbage"
"odpoveď","odpokľak","odpovedať","odpoveriks","answer","reply"
"časť","efasť","odstavec","odstachol","section","paragraph"
"eliminovať","ospraminovať","odstrániť","odčastniť","eliminate","remove"
"dna","vsa","odtlačok prsta","odtlačok prvliecť","dna","fingerprint"
"ušľachtilý","ušchristilý","odvážny","oddýchny","noble","brave"
"kradnúť","hyznúť","olúpiť","olabie","steal","rob"
"okrúhly","skratly","okolo","sinlo","round","around"
"kraj","osvaj","okres","oktne","county","district"
"september","zdrember","október","októnius","september","october"
"uhlie","uhme","olej","tvej","coal","oil"
"krém","krmy","omáčka","niečka","cream","sauce"
"oproti","gardti","naopak","cepčný","opposite","contrary"
"triezvy","streľvy","opitý","gretý","sober","drunk"
"nepriateľ","nešťastteľský","oponent","oponard","enemy","opponent"
"opraviť","chlaviť","oprava","chlava","fix","repair"
"odísť","oznísť","opustiť","oznatiť","leave","abandon"
"otázka","hrážka","opýtať","opýtahnúť","question","ask"
"zelený","prialený","oranžový","mieržový","green","orange"
"sám","mém","osamelý","právmelý","alone","lonely"
"povaha","povazo","osobnosť","slovnosť","character","personality"
"odpustiť","odmietiť","ospravedlnenie","priesvedlnenie","forgive","excuse"
"osud","osnen","údel","úden","fate","destiny"
"matka","tomika","otec","korec","mother","father"
"skontrolovať","klaustrolovať","overiť","plriť","check","verify"
"jablko","jastrýko","ovocie","tilcie","apple","fruit"
"prst","ast","palec","pavor","finger","thumb"
"plyn","plz","palivo","papredvo","gas","fuel"
"kabína","kaonálna","paluba","pachodba","cabin","deck"
"pán","enán","dáma","tarma","lord","lady"
"zemiak","zesier","paradajka","parasviečka","potato","tomato"
"nadprirodzený","nadprirochranný","paranormálny","paranorhviezdny","supernatural","paranormal"
