target_word_unique,word_combo_related,cue_word_related,word_combo_unrelated,cue_word_unrelated
epizoda,serijaepizoda,serija,morjeepizoda,morje
erekcija,orgazemerekcija,orgazem,čisterekcija,čist
izraziti,opisatiizraziti,opisati,nedolženizraziti,nedolžen
faks,poštafaks,pošta,igratifaks,igrati
napačen,lažennapačen,lažen,ponedeljeknapačen,ponedeljek
fant,deklefant,dekle,neudobnofant,neudobno
fantastično,čudovitofantastično,čudovito,menihfantastično,menih
fantazija,realnostfantazija,realnost,tunafantazija,tuna
federacija,kolonijafederacija,kolonija,dežfederacija,dež
festival,karnevalfestival,karneval,tekfestival,tek
film,pornografijafilm,pornografija,zvestobafilm,zvestoba
finančen,bančništvofinančen,bančništvo,telofinančen,telo
financiranje,finančnofinanciranje,finančno,puščavafinanciranje,puščava
financiranje.1,proračunfinanciranje,proračun,skrajnofinanciranje,skrajno
cilj,koneccilj,konec,najeticilj,najeti
fizičen,spolenfizičen,spolen,bencinfizičen,bencin
flota,pomorskiflota,pomorski,ramaflota,rama
tekoče,tekočinatekoče,tekočina,samtekoče,sam
leteti,pristatileteti,pristati,utripleteti,utrip
fotografija,slikafotografija,slika,obstatifotografija,obstati
fotograf,avtogramfotograf,avtogram,mišfotograf,miš
francoščina,angleščinafrancoščina,angleščina,omogočitifrancoščina,omogočiti
zamrzovati,topiti sezamrzovati,topiti se,parlamentzamrzovati,parlament
galaksija,vesoljegalaksija,vesolje,pozitivengalaksija,pozitiven
garaža,delavnicagaraža,delavnica,prstgaraža,prst
gej,lezbijkagej,lezbijka,avenijagej,avenija
geslo,kodageslo,koda,morski pesgeslo,morski pes
glasba,jazzglasba,jazz,vročglasba,vroč
glasbenik,pevecglasbenik,pevec,padecglasbenik,padec
glas,večinaglas,večina,svetilkaglas,svetilka
gledališče,kinogledališče,kino,škofgledališče,škof
svetoven,državensvetoven,državen,pištolasvetoven,pištola
gluh,slepgluh,slep,poskusgluh,poskus
goljufija,zarotagoljufija,zarota,prostovoljecgoljufija,prostovoljec
gor,dolgor,dol,begunecgor,begunec
gorila,opicagorila,opica,prihodgorila,prihod
gorivo,bencingorivo,bencin,pravzapravgorivo,pravzaprav
govoriti,pogovoriti segovoriti,pogovoriti se,planetgovoriti,planet
gozd,džunglagozd,džungla,pogovorgozd,pogovor
grad,palačagrad,palača,domišljijagrad,domišljija
graditi,konstrukcijagraditi,konstrukcija,kameragraditi,kamera
gram,kilagram,kila,predlagatigram,predlagati
grd,nagnusengrd,nagnusen,finančnogrd,finančno
grški,rimskigrški,rimski,tlagrški,tla
grmenje,strelagrmenje,strela,ogabengrmenje,ogaben
grofica,barongrofica,baron,pravilogrofica,pravilo
grozljivo,strašljivogrozljivo,strašljivo,detonatorgrozljivo,detonator
grozen,strašengrozen,strašen,stražitigrozen,stražiti
kitara,klavirkitara,klavir,rečikitara,reči
halucinacija,iluzijahalucinacija,iluzija,tokhalucinacija,tok
hamburger,sendvičhamburger,sendvič,tajnosthamburger,tajnost
kladivo,palicakladivo,palica,ovojnicakladivo,ovojnica
harmonija,ravnovesjeharmonija,ravnovesje,veleposlaništvoharmonija,veleposlaništvo
zdraviti,okrevatizdraviti,okrevati,posebejzdraviti,posebej
helikopter,rešilechelikopter,rešilec,dvojenhelikopter,dvojen
pekel,rajpekel,raj,dovolitipekel,dovoliti
heroin,kokainheroin,kokain,ponosenheroin,ponosen
visok,nizekvisok,nizek,zavrnitivisok,zavrniti
hiter,počasenhiter,počasen,dvahiter,dva
hitro,počasnohitro,počasno,strelhitro,strel
hitrost,razdaljahitrost,razdalja,navdihnitihitrost,navdihniti
hiv,aidshiv,aids,potrpežljivosthiv,potrpežljivost
hladen,vročhladen,vroč,artefakthladen,artefakt
sprehod,teksprehod,tek,fizikasprehod,fizika
hraniti,držatihraniti,držati,navdušenjehraniti,navdušenje
hudič,angelhudič,angel,vprašanjehudič,vprašanje
hvala,hvaleženhvala,hvaležen,sončni zahodhvala,sončni zahod
hvaležnost,gostoljubnosthvaležnost,gostoljubnost,arzenalhvaležnost,arzenal
igra,igratiigra,igrati,doligra,dol
igrača,lutkaigrača,lutka,konzervativenigrača,konzervativen
igralec,avtorigralec,avtor,jasnoigralec,jasno
igralec.1,trenerigralec,trener,pečicaigralec,pečica
impresionirati,laskati seimpresionirati,laskati se,hrbteničenimpresionirati,hrbteničen
obveščati,poročatiobveščati,poročati,strašljivoobveščati,strašljivo
informacije,podatkiinformacije,podatki,kašeljinformacije,kašelj
obveščevalec,virobveščevalec,vir,zarokaobveščevalec,zaroka
injekcija,odmerekinjekcija,odmerek,včasihinjekcija,včasih
inšpekcija,pregledinšpekcija,pregled,reveninšpekcija,reven
instrument,orodjeinstrument,orodje,opozoriloinstrument,opozorilo
inteligenten,pameteninteligenten,pameten,trpetiinteligenten,trpeti
intimen,osebenintimen,oseben,kilaintimen,kila
intuicija,nagonintuicija,nagon,komercialenintuicija,komercialen
investirati,financiratiinvestirati,financirati,službainvestirati,služba
investitor,bančnikinvestitor,bančnik,kontaminacijainvestitor,kontaminacija
ironičen,ironijaironičen,ironija,žitoironičen,žito
izbrati,odločiti seizbrati,odločiti se,telegramizbrati,telegram
izboljšava,spremembaizboljšava,sprememba,rodeoizboljšava,rodeo
izdajalec,vohunizdajalec,vohun,oglaševanjeizdajalec,oglaševanje
izdelek,znamkaizdelek,znamka,sobotaizdelek,sobota
izginotje,smrtizginotje,smrt,konecizginotje,konec
izid,rezultatizid,rezultat,prepovedanoizid,prepovedano
izjava,komentarizjava,komentar,zastrupitiizjava,zastrupiti
izvrsten,izjemenizvrsten,izjemen,krajaizvrsten,kraja
izobraževanje,zdravjeizobraževanje,zdravje,številkaizobraževanje,številka
izračunati,štetiizračunati,šteti,medizračunati,med
izsiljevati,podkupitiizsiljevati,podkupiti,kmetizsiljevati,kmet
izvedba,obešanjeizvedba,obešanje,generatorizvedba,generator
nastop,predstavanastop,predstava,rasistnastop,rasist
izziv,oviraizziv,ovira,internetizziv,internet
ja,okejja,okej,obešanjeja,obešanje
jagoda,bananajagoda,banana,rešilecjagoda,rešilec
jajce,gnezdojajce,gnezdo,mafijajajce,mafija
jakna,srajcajakna,srajca,guvernerjakna,guverner
jastog,tunajastog,tuna,biblijajastog,biblija
jedrski,atomskojedrski,atomsko,lojalenjedrski,lojalen
jeklo,betonjeklo,beton,pisalna mizajeklo,pisalna miza
jesen,pomladjesen,pomlad,pozornostjesen,pozornost
jesti,hranitijesti,hraniti,temajesti,tema
jetra,ledvicajetra,ledvica,sovražnikjetra,sovražnik
jezen,ljubosumenjezen,ljubosumen,drobecjezen,drobec
jezero,rekajezero,reka,serijajezero,serija
Julija,RomeoJulija,Romeo,hotelJulija,hotel
julij,junijjulij,junij,galerijajulij,galerija
skakati,plezatiskakati,plezati,pozenskakati,pozen
kakovost,količinakakovost,količina,sprožitekakovost,sprožite
kamen,skalakamen,skala,kabinakamen,kabina
kampiranje,piknikkampiranje,piknik,večinakampiranje,večina
kapela,cerkevkapela,cerkev,pošastkapela,pošast
kapitalizem,anarhijakapitalizem,anarhija,podobenkapitalizem,podoben
stotnik,poveljnikstotnik,poveljnik,grlostotnik,grlo
kartel,mafijakartel,mafija,klavirkartel,klavir
kava,skodelicakava,skodelica,močkava,moč
kavboj,rodeokavboj,rodeo,metodakavboj,metoda
kadarkoli,nikolikadarkoli,nikoli,odejakadarkoli,odeja
kip,spomenikkip,spomenik,golfkip,golf
kisik,zrakkisik,zrak,afrikakisik,afrika
klinika,bolnišnicaklinika,bolnišnica,žigklinika,žig
klobuk,čeladaklobuk,čelada,medicinskiklobuk,medicinski
koleno,ramakoleno,rama,otvoritevkoleno,otvoritev
kombi,prikolicakombi,prikolica,vdovakombi,vdova
komedija,dramakomedija,drama,spomenikkomedija,spomenik
komisar,inšpektorkomisar,inšpektor,hranakomisar,hrana
odbor,komisijaodbor,komisija,rajodbor,raj
komunikacija,navigacijakomunikacija,navigacija,poniženkomunikacija,ponižen
komunist,rasistkomunist,rasist,hormonkomunist,hormon
koncert,turnejakoncert,turneja,mizakoncert,miza
konj,oselkonj,osel,kemijakonj,kemija
kopalnica,tuškopalnica,tuš,peveckopalnica,pevec
kopija,originalkopija,original,državenkopija,državen
kos,drobeckos,drobec,občasnokos,občasno
kosilo,prigrizekkosilo,prigrizek,radarkosilo,radar
kovček,aktovkakovček,aktovka,fakultetakovček,fakulteta
kovina,železokovina,železo,govorkovina,govor
kralj,kraljicakralj,kraljica,tobakkralj,tobak
kraljestvo,kraljevkraljestvo,kraljev,navigacijakraljestvo,navigacija
kravata,vezkravata,vez,zakladkravata,zaklad
kriminalec,tatkriminalec,tat,zmagakriminalec,zmaga
kriv,nedolženkriv,nedolžen,krompirkriv,krompir
kriza,situacijakriza,situacija,senzorkriza,senzor
krut,brutalenkrut,brutalen,mnenjekrut,mnenje
krutost,zlokrutost,zlo,junijkrutost,junij
chef,kuharchef,kuhar,hrupchef,hrup
hladen.1,topelhladen,topel,tehnologijahladen,tehnologija
kupec,prodajaleckupec,prodajalec,kožakupec,koža
lačen,utrujenlačen,utrujen,programska opremalačen,programska oprema
ladja,posadkaladja,posadka,živetiladja,živeti
lastnik,lastninalastnik,lastnina,sladicalastnik,sladica
lažnivec,lažlažnivec,laž,izhodlažnivec,izhod
vodja,članvodja,član,strašenvodja,strašen
legenda,mitlegenda,mit,okrevatilegenda,okrevati
čudovit,lepčudovit,lep,rimskičudovit,rimski
lepota,čarlepota,čar,analitiklepota,analitik
let,pristaneklet,pristanek,pridobitilet,pridobiti
letališče,terminalletališče,terminal,čudovitoletališče,čudovito
leva,desnaleva,desna,politikaleva,politika
liberalen,konzervativenliberalen,konzervativen,lovliberalen,lov
svetloba,temasvetloba,tema,upoštevatisvetloba,upoštevati
limuzina,taksilimuzina,taksi,ničlimuzina,nič
linj,minglinj,ming,pijačalinj,pijača
lev,zmajlev,zmaj,zahtevalev,zahteva
literatura,umetnostliteratura,umetnost,snematiliteratura,snemati
lizanje,sesanjelizanje,sesanje,hriblizanje,hrib
kuščar,žabakuščar,žaba,orkesterkuščar,orkester
ljubezen,sovraštvoljubezen,sovraštvo,okoljeljubezen,okolje
ljubimec,ljubicaljubimec,ljubica,zaupatiljubimec,zaupati
ljudje,prebivalstvoljudje,prebivalstvo,pastljudje,past
lobanja,kostlobanja,kost,krateklobanja,kratek
lokacija,krajlokacija,kraj,lezbijkalokacija,lezbijka
lokalen,regijskilokalen,regijski,ranalokalen,rana
loviti,sleditiloviti,slediti,odsevloviti,odsev
prijeten,lepprijeten,lep,krogprijeten,krog
luknja,razpokaluknja,razpoka,pesnikluknja,pesnik
mačka,pesmačka,pes,stresmačka,stres
revija,playboyrevija,playboy,optimističenrevija,optimističen
majhen,malomajhen,malo,fazamajhen,faza
majoneza,kečapmajoneza,kečap,napredovatimajoneza,napredovati
mama,očkamama,očka,ritualmama,ritual
manipulirati,nadziratimanipulirati,nadzirati,zidmanipulirati,zid
trženje,oglaševanjetrženje,oglaševanje,stiktrženje,stik
maslo,medmaslo,med,iskatimaslo,iskati
matematika,fizikamatematika,fizika,norostmatematika,norost
medalja,trofejamedalja,trofeja,potmedalja,pot
medaljon,artefaktmedaljon,artefakt,bančništvomedaljon,bančništvo
megla,oblakmegla,oblak,poljubmegla,poljub
mehanski,tehničenmehanski,tehničen,plažamehanski,plaža
trgovec,komercialentrgovec,komercialen,ravnovesjetrgovec,ravnovesje
meter,kilometermeter,kilometer,kombinacijameter,kombinacija
meso,svinjinameso,svinjina,seminarmeso,seminar
mesto,prestolnicamesto,prestolnica,pritožbamesto,pritožba
mikroskop,teleskopmikroskop,teleskop,anarhijamikroskop,anarhija
mikrofon,kameramikrofon,kamera,podcenjevatimikrofon,podcenjevati
milijarda,milijonmilijarda,milijon,starimilijarda,stari
milost,odpuščanjemilost,odpuščanje,kazatimilost,kazati
minister,veleposlanikminister,veleposlanik,nazajminister,nazaj
ministrstvo,veleposlaništvoministrstvo,veleposlaništvo,zavedati seministrstvo,zavedati se
minus,plusminus,plus,tatuminus,tatu
minuta,sekundaminuta,sekunda,dobrodelnostminuta,dobrodelnost
miren,tihmiren,tih,dražbamiren,dražba
ogledalo,odsevogledalo,odsev,idejaogledalo,ideja
beda,revščinabeda,revščina,astronavtbeda,astronavt
mišica,živecmišica,živec,odličnomišica,odlično
misija,nalogamisija,naloga,dragmisija,drag
mlajši,starejšimlajši,starejši,rastlinamlajši,rastlina
mlad,starmlad,star,nezakonitomlad,nezakonito
težko,težektežko,težek,gostežko,gos
močno,trdnomočno,trdno,obdukcijamočno,obdukcija
modra,rjavamodra,rjava,upanjemodra,upanje
moka,žitomoka,žito,tihmoka,tih
moker,suhmoker,suh,tveganjemoker,tveganje
monitor,zaslonmonitor,zaslon,pomladmonitor,pomlad
morfij,aspirinmorfij,aspirin,krajmorfij,kraj
morilec,plačanecmorilec,plačanec,zastavamorilec,zastava
mornarica,marinecmornarica,marinec,urgentenmornarica,urgenten
motel,hotelmotel,hotel,kalibermotel,kaliber
motiti,prekinitimotiti,prekiniti,orkanmotiti,orkan
motor,zbiralnikmotor,zbiralnik,trpljenjemotor,trpljenje
gora,hribgora,hrib,poslušatigora,poslušati
možnost,priložnostmožnost,priložnost,dimmožnost,dim
možnost.1,izbiramožnost,izbira,toastmožnost,toast
mravlja,čebelamravlja,čebela,oknomravlja,okno
mrtev,živmrtev,živ,vstavitimrtev,vstaviti
mučenje,trpinčenjemučenje,trpinčenje,enamučenje,ena
morilec.1,ubijalecmorilec,ubijalec,raziskavamorilec,raziskava
mutacija,evolucijamutacija,evolucija,udobenmutacija,udoben
muzej,knjižnicamuzej,knjižnica,popravitimuzej,popraviti
običajno,naravnoobičajno,naravno,robotobičajno,robot
načrtovanje,pripravanačrtovanje,priprava,šerifnačrtovanje,šerif
nadaljevati,napredovatinadaljevati,napredovati,kabinetnadaljevati,kabinet
nadomestiti,zamenjatinadomestiti,zamenjati,sodiščenadomestiti,sodišče
naglas,glasnaglas,glas,konjenicanaglas,konjenica
nagrada,dodateknagrada,dodatek,sekundarennagrada,sekundaren
nagrada.1,nobelovanagrada,nobelova,cerkevnagrada,cerkev
najem,najetinajem,najeti,jezanajem,jeza
najemodajalec,najemniknajemodajalec,najemnik,spremstvonajemodajalec,spremstvo
najstnik,najstniškinajstnik,najstniški,krinajstnik,kri
najti,iskatinajti,iskati,vojnanajti,vojna
največ,najmanjnajveč,najmanj,lutkanajveč,lutka
nag,golnag,gol,jabolkonag,jabolko
namera,namennamera,namen,golnamera,gol
namerno,pomotomanamerno,pomotoma,mostnamerno,most
napad,invazijanapad,invazija,polžnapad,polž
napadalec,žrtevnapadalec,žrtev,konferencanapadalec,konferenca
pomota,napakapomota,napaka,ugrabitipomota,ugrabiti
naprava,čipnaprava,čip,spodobennaprava,spodoben
zahteva,ukazzahteva,ukaz,magnetenzahteva,magneten
stranka,pacientstranka,pacient,virusstranka,virus
naziv,imenaziv,ime,pomagatinaziv,pomagati
naslov,številkanaslov,številka,presenečenjenaslov,presenečenje
nasprotnik,sovražniknasprotnik,sovražnik,praskanasprotnik,praska
kontradiktoren,nasprotnokontradiktoren,nasprotno,stoletjekontradiktoren,stoletje
natakarica,natakarnatakarica,natakar,skupennatakarica,skupen
narod,državanarod,država,dovoljnarod,dovolj
navdih,navdihnitinavdih,navdihniti,paranoičennavdih,paranoičen
navdušen,ponosennavdušen,ponosen,najstniškinavdušen,najstniški
nebeško,nebonebeško,nebo,lastninanebeško,lastnina
nečak,vnuknečak,vnuk,civilennečak,civilen
nedavno,ravnonedavno,ravno,zombinedavno,zombi
nedelja,sobotanedelja,sobota,dodateknedelja,dodatek
negativen,pozitivennegativen,pozitiven,osebanegativen,oseba
nekaj,ničnekaj,nič,notranjinekaj,notranji
nekje,drugjenekje,drugje,močennekje,močen
nemočen,nebogljennemočen,nebogljen,mordanemočen,morda
nenehno,vednonenehno,vedno,ironijanenehno,ironija
neodgovorno,nerazumnoneodgovorno,nerazumno,peronneodgovorno,peron
neposredno,neposredenneposredno,neposreden,posadkaneposredno,posadka
krivičen,nepravičnostkrivičen,nepravičnost,ščitkrivičen,ščit
nepričakovano,nenadomanepričakovano,nenadoma,datotekanepričakovano,datoteka
neprijetno,neudobnoneprijetno,neudobno,trgovinaneprijetno,trgovina
živčen,zaskrbljenživčen,zaskrbljen,kulturaživčen,kultura
nesreča,incidentnesreča,incident,delikatennesreča,delikaten
nezgoda,nesrečennezgoda,nesrečen,pametennezgoda,pameten
neumen,naivenneumen,naiven,kolonijaneumen,kolonija
neumnost,norostneumnost,norost,besediloneumnost,besedilo
nevarno,tveganonevarno,tvegano,ločitevnevarno,ločitev
nevarnost,tveganjenevarnost,tveganje,papirnevarnost,papir
izvrstno,impresivnoizvrstno,impresivno,odporizvrstno,odpor
nevesta,ženinnevesta,ženin,južninevesta,južni
nevihta,veternevihta,veter,privilegijnevihta,privilegij
nežen,meheknežen,mehek,limonadanežen,limonada
neznan,anonimenneznan,anonimen,velikostneznan,velikost
ni mogoče,nezmožnostni mogoče,nezmožnost,suhni mogoče,suh
nogomet,košarkanogomet,košarka,kopatinogomet,kopati
normalen,zdravnormalen,zdrav,odpadkinormalen,odpadki
nos,ustanos,usta,zvernos,zver
nosečnost,rojstvonosečnost,rojstvo,kompasnosečnost,kompas
notri,zunajnotri,zunaj,žalitinotri,žaliti
novice,kanalnovice,kanal,malonovice,malo
novinar,poročevalecnovinar,poročevalec,zarjavelnovinar,zarjavel
