"ja_cue","ja_fake_cue","ja_target","ja_fake_target","en_cue","en_target"
"オーブン","オー段票","ストーブ","ストナフ","oven","stove"
"防ぐ","ボネ","止める","土ぬろ","prevent","stop"
"打つ","麦現","ストライク","ジャライク","hit","strike"
"計画","矛定","戦略","襌路","plan","strategy"
"ラザニア","忽須ニア","スパゲッティ","杯可ゲッティ","lasagna","spaghetti"
"印象的","提宴約","すばらしい","申じらじい","impressive","amazing"
"趣味","取未","スポーツ","作ローツ","hobby","sport"
"作る","ムイ","行う","レシ","make","do"
"競売","競士","セール","唄北レ","auction","sale"
"繊細","車結","センシティブ","センシテ学圴","delicate","sensitive"
"マイル","スパル","センチメートル","ライチメートル","mile","centimeter"
"クリーム","汝性ーム","ソース","ほこス","cream","sauce"
"レモネード","他図ネード","ソーダ","必理ダ","lemonade","soda"
"範囲","輝転","ゾーン","床能ン","area","zone"
"ここ","査捜","そこの","正不の","here","there"
"円形","肘罪","その周り","その近約","round","around"
"何","なこ","それ","いむ","what","that"
"縛る","サラ","結ぶ","がは","bind","tie"
"アウト","アワト","だいたい","だい囚人","out","about"
"名前","イド","タイトル","コートル","name","title"
"火薬","ラ土","ダイナマイト","ユニナマイト","gunpowder","dynamite"
"雷管","雨官","タイマー","槍造マー","detonator","timer"
"毛布","ソビ","タオル","吏用ル","blanket","towel"
"潜在的","強グ的","才能","十熊","potential","talent"
"踊り子","恐ラ子","ダンス","勝肉ス","dancer","dance"
"パン","パシ","チーズ","ナーズ","bread","cheese"
"同盟","米間","チーム","ドフム","league","team"
"教会","前尺","チャペル","チャッノ","church","chapel"
"障害物","章宙勿","障害","同寺","obstacle","challenge"
"競争","土ク","チャンピオンシップ","スタンピオンシップ","competition","championship"
"シュガー","ショカー","チョコレート","漬色コレート","sugar","chocolate"
"十代","虫自","ティーンエイジャー","チィーンエイジャー","teenage","teenager"
"実験","地人","テスト","チスト","experiment","test"
"キャビン","キャフシ","デッキ","工暢キ","cabin","deck"
"ゴルフ","コレフ","テニス","箏脈ス","golf","tennis"
"チップ","馳区プ","デバイス","孫敵イス","chip","device"
"抗議する","チョるす","デモンストレーション","陣命ンストレーション","protest","demonstration"
"無線","撫糸","テレビ","洗ビう","radio","television"
"窓","ピー","ドア","ろ恐","window","door"
"シャワー","シャヴー","トイレ","トネレ","shower","bathroom"
"カエル","鳥又ル","トカゲ","ト万ゲ","frog","lizard"
"他の場所で","也の土斤で","どこかに","かん死に","elsewhere","somewhere"
"非常に","併型に","とても","昨家も","extremely","very"
"じゃがいも","狭がいもい","トマト","乗ト組","potato","tomato"
"尋問","戸久","裁判","トフイアル","hearing","trial"
"ジープ","驚戒プ","トラック","圭物ック","jeep","truck"
"ダブル","タフル","トリプル","ヘロプル","double","triple"
"ポンド","シニド","ドル","だき","pound","dollar"
"スカート","若下ート","ドレス","存級ス","skirt","dress"
"橋","仕の","トンネル","ヴィネル","bridge","tunnel"
"剣","争米","ナイフ","汐部フ","sword","knife"
"何もない","及血","なにか","刻体か","nothing","something"
"値する","乗るり","ふさわしい","じゃさわしい","deserve","worthy"
"チャンネル","チャせる","ニュース","スポース","channel","news"
"ポジティブ","交化ティブ","ネガティブ","湿っティブ","positive","negative"
"ハツカネズミ","わかみ","ドブネズミ","ナイみ","mouse","rat"
"指輪","え整","ネックレス","イヴクレス","ring","necklace"
"クラブ","減謝ブ","バー","必地","club","bar"
"歓迎会","又信","パーティ","茅らティ","reception","party"
"宇宙飛行士","魂法飛街土","パイロット","究ロ戦ット","astronaut","pilot"
"浅はか","囚か人","バカ","十ク","naïve","stupid"
"ばかげている","お交げてろい","不合理な","爆登げてろい","ridiculous","absurd"
"接吻","偉法","ハグ","ノグ","kiss","hug"
"電車","流勲","バス","ボル","train","bus"
"チケット","鏡撃ット","パスポート","パスケット","ticket","passport"
"コード","ユード","パスワード","シェワード","code","password"
"蜂蜜","芹静","バター","シーガ","honey","butter"
"箱","問越","バッグ","ウグ","box","bag"
"封筒","園尺","パッケージ","殺じケーシ","envelope","package"
"スーパーマン","パース―ヒー","バットマン","不河トンマ","superman","batman"
"満足した","是起","ハッピー","乗ピーる","satisfied","happy"
"シナモン","スクモン","バニラ","知職ラ","cinnamon","vanilla"
"ショー","レーー","パフォーマンス","スミョーセンマ","show","performance"
"トレーラー","難ラーしー","バン","平ぬ","trailer","van"
"布","木手","ハンカチ","ハン見実","cloth","handkerchief"
"オーケストラ","オーケス男生","バンド","うへド","orchestra","band"
"サンドイッチ","サントイ二―","ハンバーガー","スバパーガー","sandwich","hamburger"
"棒","塾達","ハンマー","ハンべ","stick","hammer"
"破片","即田","断片","ピス","fragment","piece"
"酒類","ンー","ビール","暴揆ル","drink","beer"
"髪","ヴィ","あごひげ","可大","hair","beard"
"タンパク質","ボスパク質","ビタミン","是供ミン","protein","vitamin"
"ディスク","ベイア","ビデオ","トオ","dvd","video"
"重い","柿兵","どっかりと","マラかりと","heavy","heavily"
"錠剤","レトッ","ピル","放を","tablet","pill"
"郵便物","すぐ物","ファックス","ボォラッオ","mail","fax"
"現実","話お","ファンタジー","タンファケ","reality","fantasy"
"印象","うぃ","フィーリング","移働グーリン","impression","feeling"
"植民地","ヴィニー","同盟","いを","colony","federation"
"壁","大毎","フェンス","必妻ンス","wall","fence"
"スプーン","コンーカ","フォーク","偏隼ーク","spoon","fork"
"バスケットボール","口国ケットホール","フットボール","バルトホール","basketball","football"
"着陸","ビー","フライト","重妥イト","landing","flight"
"プライベート","プラアトーパ","プライバシー","セイバシ―","private","privacy"
"セメント","木物ント","プラスチック","プララクッブ","cement","plastic"
"白","ウォ","ブラック","ブライイ","white","black"
"英語","ゾー","フランス語","ボンス語","english","french"
"りんご","事夫ご","フルーツ","子生ーツ","apple","fruit"
"コーチ","チライ","プレーヤー","タヤーイー","coach","player"
"脈拍","非利","プレッシャー","プレッシ章害","pulse","pressure"
"礼儀正しい","武正壮いし","フレンドリー","ヘビンドリー","polite","friendly"
"事業","ヒね","プログラム","プドローム","project","program"
"ルール","ぜル","プロトコル","ストコル―","rule","protocol"
"モデル","手行ル","プロトタイプ","プロトタ件夕","model","prototype"
"アマチュア","争岡チェア","プロフェッショナル","ミロコプッショルナ","amateur","professional"
"トースト","門じスト","ベーコン","オコン","toast","bacon"
"ソファー","ソフ死本","ベッド","ぺド","sofa","bed"
"部屋","杉雨","ベッドルーム","文子ドムール","room","bedroom"
"いも虫","住虫所","ヘビ","流重","worm","snake"
"救急車","環鏡車","ヘリコプター","二和コプター","ambulance","helicopter"
"コカイン","貝様イン","ヘロイン","単門イン","cocaine","heroin"
"紙","召常","ペン","複を","paper","pen"
"ギャンブル","ライルブン","ポーカー","カッベー","gambling","poker"
"ポンプ","高交プ","ホース","会土ス","pump","hose"
"潜水艦","天皇艦","ボート","症気ト","submarine","boat"
"警笛","シェン","ホイッスル","堅くッスル","horn","whistle"
"灰","テモ","ほこり","シェり","ash","dust"
"さびた","口東た","ほこりの多い","ほのこりィブ","rusty","dusty"
"マネージャー","冒子ージャー","ボス","チ二","manager","boss"
"ワシントン","告広ントン","ボストン","お父ント","washington","boston"
"グラス","操何ス","ボトル","液明ル","glass","bottle"
"クリスマス","意目スマス","休日","ルフ","christmas","holiday"
"広告","議貝","マーケティング","救思ケティグン","advertising","marketing"
"カメラ","軍転ラ","マイク","感射ク","camera","microphone"
"プラス","スーロ","マイナス","マイヤ","plus","minus"
"すでに","秘曹に","まだ","いい","already","still"
"ヨガ","維侍","マッサージ","出揆サージ","yoga","massage"
"トーナメント","トーレントタ","試合","代里","tournament","match"
"ケチャップ","門光ィップ","マヨネーズ","多暮ネーズ","ketchup","mayonnaise"
"会議","気未","ミーティング","次みティグン","conference","meeting"
"ロケット","刀期ット","ミサイル","ジイル","rocket","missile"
"タスク","チョタ","ミッション","ケション","task","mission"
"キロメートル","ゲメトルー","メートル","ジェター","kilometer","meter"
"乳母","金隔","メイド","デモド","nanny","maid"
"人工物","アーティファム―","大メダル","維待ルダ","artifact","medallion"
"トロフィー","継片フィー","メダル","痛ルみ","trophy","medal"
"警告","払も","メッセージ","浩発セージ","warning","message"
"たまに","生格に","めったに","めっ犬身","occasionally","rarely"
"サービス","トラスビ","メンテナンス","畿戒ステナン","service","maintenance"
"ホテル","明知ル","モーテル","モーヤ","hotel","motel"
"説明","さー","もっともらしい","総給とらもしい","explanation","plausible"
"画面","こぬ","モニター","貨易ター","screen","monitor"
"アスピリン","兵土ピリン","モルヒネ","ルモ召公","aspirin","morphine"
"バッジ","白由ジ","ユニフォーム","ムーキーフォ","badge","uniform"
"ドラゴン","ドラ違版","ライオン","ライ繊田","dragon","lion"
"暗闇","スク","光","言じ","darkness","light"
"リス","さふ","アライグマ","ここイマグ","squirrel","raccoon"
"軽食","ると","ランチ","選沢チ","snack","lunch"
"要求する","近月むる","リクエスト","池獄ゥトス","demand","request"
"貧しい","田武い","リッチ","橙場チ","poor","rich"
"保守的","主留的","リベラル","ヨラル","conservative","liberal"
"タクシー","余去シー","リムジン","全属ンジ","taxi","limousine"
"ミン","南業","リン","ラー","ming","ling"
"パブ","林友","レストラン","お内トラン","pub","restaurant"
"主人","長券","婦人","悦出ゥ","lord","lady"
"地域の","のタワ","ローカル","ロー業矛","regional","local"
"鎖","探も","ロープ","ジャプ","chain","rope"
"帝王","褒ぬ","ローマ","ディマ","caesar","rome"
"クレジット","孝えトッジ","ローン","シトン","credit","loan"
"鍵","与え","ロック","庁為ク","key","lock"
"盗み","楽ぬ","強奪する","示典むろ","steal","rob"
"ツナ","化牛","ロブスター","徒るスータ","tuna","lobster"
"劇的","エー","ロマンチック","玉会ンチック","dramatic","romantic"
"農家","漫蛇","ワーカー","残告カー","farmer","worker"
"ケーブル","弓きブル","ワイヤー","ワイ言報","cable","wire"
"匿名","火冬","わからない","消余らいな","anonymous","unknown"
"解毒剤","皮れ剤","ワクチン","スチン","antidote","vaccine"
"シャーロック","シャーロイイ","ワトソン","職くソン","sherlock","watson"
"当然","兼虚","一般的","エク的","naturally","generally"
"ピン","銭認","ディン","司教ン","ping","ding"
"チキン","温又ン","七面鳥","典刑鳥","chicken","turkey"
"一","刀り","三","素滴","one","three"
"円","りよ","三角形","糸合形","circle","triangle"
"下","太通","上","ルモ","down","up"
"議会","台働","上院","払る","parliament","senate"
"知事","神束","上院議員","役口議貝","governor","senator"
"頂上","ヌテ","ふもと","千私","top","bottom"
"不正","トヌ","不公平な","寺完平てす","injustice","unfair"
"不可","斬報","不可能","バッ能","inability","unable"
"出席","とて","欠席","話度","presence","absence"
"不幸な","ハゴな","不幸","不操","unfortunate","misfortune"
"気持ちの悪い","刻兵でいな","不快な","里十","uncomfortable","unpleasant"
"不快な","家雨な","不潔な","提丁","nasty","filthy"
"提案する","シェなへ","与える","る食お","offer","give"
"インターナショナル","グンターナシンイル","世界","売い","international","world"
"軍曹","顕徴","中尉","伝佐","sergeant","lieutenant"
"外部","替在","内部","告性","outside","inside"
"二次","三欠","主要な","突犬な","secondary","primary"
"物体","広辛","主題","所街","object","subject"
"運転する","正目もへ","乗る","華る","drive","ride"
"遮る","さえ玉族","乱す","謙虎","interrupt","disturb"
"待つ","一於","予想する","子懇すろ","wait","expect"
"結論","紹倫","仮説","阪詛","conclusion","assumption"
"出来事","ティシトンテ","事件","経徒","incident","accident"
"人口","うせ","人々","人解","population","people"
"自然の","呆険ユラル","人工的な","囚工玉鉄","natural","artificial"
"マラソン","一覗ソン","レース","タソヌ","marathon","race"
"男","戚し","人間","符意","man","human"
"産業","又け","ビジネス","跡り","industry","business"
"業務","堯役","仕事","跨り","job","work"
"交換する","丸稿","代わりの","妖軽りの","replace","substitute"
"考え","ミ吾","仮説","超斬","idea","theory"
"お前","は即","仲間の","の方両","dude","bro"
"準備","従つ","企画","強ば","preparation","planning"
"見る","去え","会う","安主","see","meet"
"現代の","理ン絵","伝統の","明的石","modern","traditional"
"神話","ネカ","伝説","タハ","myth","legend"
"男爵","確是","伯爵","算念","baron","countess"
"場所","タシ","位置","ネフ","place","location"
"スターテス","チャーテス","身分","ひに","status","position"
"番号","核当","住所","ブロ","number","address"
"液体","ずで","流動体","ネッ体","liquid","fluid"
"詩人","相象","作家","感青","poet","writer"
"適用する","処里すに","使用する","トアすに","apply","use"
"価値","土民","価格","数目","value","price"
"おさえておく","おさつて立え","保つ","ディ","hold","keep"
"救援","捜且","救う","ルラ","rescue","save"
"信頼","稿低","信じる","決是る","trust","believe"
"望み","手泉","信仰","軽し","hope","faith"
"周波数","革下枚","信号","議民","frequency","signal"
"修理する","ト二もた","修復する","遂丁わも","fix","repair"
"孤児院","誰民陪","女子修道院","大気修首完","orphanage","convent"
"寺","真未","男子修道院","追億院","temple","monastery"
"著者","健て","俳優","ヌト","author","actor"
"人","雑早","個人","アェ","person","individual"
"特別な","旦伝な","ユニークな","音視白","special","unique"
"無知","問の","傲慢","プー","ignorance","arrogance"
"入れ墨","性各墨","傷跡","プイ","tattoo","scar"
"柔らかい","柔ら出日","優しい","那靴い","soft","gentle"
"思いやりある","君やりのるあ","気前のよい","那靭い","compassionate","generous"
"姉妹","也元","兄弟","メー","sister","brother"
"学生","手己","先生","カハ","student","teacher"
"出口","日る","入口","誰展","exit","entrance"
"人種差別主義者","るね工別主我日","共産主義者","葉師主我日","racist","communist"
"最小","車倫","最大","生頓","minimum","maximum"
"ひどい","ヘヒい","恐ろしい","うふ","terrible","horrible"
"最後に","におあ","最終的に","上記的","finally","eventually"
"騙す","恨川","冗談を言う","歩哨","trick","joke"
"画像","らは","写真","字査","picture","photo"
"サイン","コシシ","写真家","庵の稼","autograph","photographer"
"夏","待別","冬","りも","summer","winter"
"治療","ラエ","処理","完号","therapy","treatment"
"到着","ネヌ","出発","原巾","arrival","departure"
"秒","貝り","分","じお","second","minute"
"単位","無未","分割","たげ","unit","division"
"検死","段且","分析","源子","autopsy","analysis"
"引き裂く","引さ兼亜","切る","音殻","tear","cut"
"刑罰","文誰ルティ","投獄","昔り戸","penalty","imprisonment"
"独房","申り","刑務所","借り断","cell","prison"
"除去する","序す年ろ","取り除く","耳り畿会","eliminate","remove"
"想像力","カプ力","創造性","ウェ性","imagination","creativity"
"強さ","ヤア","力","見の","strength","force"
"影響","次館","効果","花烏","influence","effect"
"使える","と吾る","効果的","淳詞的","useful","effective"
"オーガズム","オーフーム","勃起","嫁た","orgasm","erection"
"高潔な","傭丘な","勇敢","臣大","noble","brave"
"調査","査腸","研究","あた","research","study"
"獣","建の","動物","頻似","beast","animal"
"静脈","職夕","動脈","恋り","vein","artery"
"得る","総土","勝つ","話う","gain","win"
"敗者","吉い","勝者","冬え","loser","winner"
"味","暇加","匂い","桶か","taste","smell"
"南","全券","北","二越","south","north"
"郡","弧焦","地区","末忘","county","district"
"外科医","モデ矢","医者","匠者","surgeon","doctor"
"百万","十彩百","十億","お際","million","billion"
"満足","沸迫","十分","禾欠","enough","sufficient"
"百年","仲唏","十年","乙吽","century","decade"
"卒業証書","亥裏賍唐","卒業生","亭枼圧","diploma","graduate"
"単に","菜け","単純","巣絆","simply","simple"
"お世辞を言う","ね丗辟そ誉つ","感動させる","恵勘きむろ","flatter","impress"
"難局","雅尼","危機","卮践","situation","crisis"
"危険","卮陰","危機","卮銭","risk","danger"
"危ない","卮にお","危険な","卮践け","risky","dangerous"
"巣","巠","卵","夘","nest","egg"
"薄い","藩り","厚い","原り","thin","thick"
"理由","現申","原因","厚困","reason","cause"
"関係","間俊","友情","反惟","relationship","friendship"
"同僚","向働","友達","反遠","colleague","friend"
"発生器","登毛品","反応炉","友庭路","generator","reactor"
"ごみ","たゐ","受け入れる","学は久わろ","refuse","accept"
"機会","践企","可能性","何胞抂","chance","possibility"
"契約","奨紂","合意","台恵","contract","agreement"
"レズビアン","ルグゲンヲ","ゲイ","グナ","lesbian","gay"
"護衛","談街","同行する","回荇むさ","escort","accompany"
"特権","物標","恩恵","思息","privilege","honor"
"下痢","丁療","吐き気","叶さ風","diarrhea","nausea"
"ゾンビ","惑悔ブ","吸血鬼","吹皿魔","zombie","vampire"
"苦情","若惜","告発","吾登","complaint","accusation"
"認める","詔ぬむ","打ち明ける","托さ時はろ","admit","confess"
"範囲","箱因","外周","多廻","radius","perimeter"
"惨めな","情ぬは","痛ましい","痩きろに","miserable","pathetic"
"量","畫","質","貭","quantity","quality"
"商業の","啇棄め","商人","啇亼","commercial","merchant"
"問題","閔類","課題","諌類","trouble","problem"
"満足","溝疋","歓喜","欺嘉","pleasure","joy"
"戦闘","戯閥","喧嘩","唾唯","combat","fight"
"飲む","飽ぬ","噛む","嘔め","swallow","chew"
"人質","以貨","囚人","団以","hostage","prisoner"
"二","亏","四","囙","two","four"
"変化する","亦北みろ","回転させる","固軟ちみろ","turn","rotate"
"地方","坂兮","国家","囹宴","country","nation"
"方位磁石","兮仏碌右","地図","埋囲","compass","map"
"楽園","棊圃","地獄","埋獲","paradise","hell"
"宮","寤","城","壃","palace","castle"
"掘る","揩う","埋める","埆みう","dig","bury"
"砕く","磁し","割る","剰う","smash","break"
"驚くべき","謄しぐを","壮観な","佐親ぬ","sensational","spectacular"
"意見","愚貝","声明","売昨","comment","statement"
"買う","貢ろ","売る","壱す","buy","sell"
"普通でない","晋逋ぞみに","変わった","節九ゃに","unusual","strange"
"内部の","再部ゆ","外部の","多都ゆ","internal","external"
"夜","佻","晩","晰","night","evening"
"夕暮れ","寸書わ","夜明け","佻昨り","sunset","dawn"
"悪夢","患霎","夢","霎","nightmare","dream"
"大将","夭漑","大佐","夭伍","general","colonel"
"単科大学","巣秩夭季","総合大学","練含夭季","college","university"
"首相","盾柱","大統領","夭続頂","chancellor","president"
"大使","夭速","大臣","夭巨","ambassador","minister"
"太平洋の","夭干汗ぬ","大西洋の","夭茜汗ぬ","pacific","atlantic"
"連隊","逋階","大隊","夭階","regiment","battalion"
"空","窕","天の","夬ぬ","sky","heavenly"
"皇室","皐宣","天皇","夬皐","imperial","emperor"
"月の","毌ぬ","太陽の","夭隍","lunar","solar"
"月","毌","太陽","千隍","moon","sun"
"成功","我加","失敗","夷散","success","failure"
"驚き","騫ち","失望","夷菫","surprise","disappointment"
"男の子","畄ぬ字","女の子","妥ぬ字","boys","girls"
"男性","畄怯","女性","妥怯","male","female"
"未亡人","朱亢以","女性","妥怖","widow","woman"
"誕生","諚圧","妊娠","妖娃","birth","pregnancy"
"夫","夬","妻","婁","husband","wife"
"あだ名","ゆぢ各","姓","卦","nickname","surname"
"委任状","李伝条","委員会","李唐企","commission","committee"
"赤ちゃん","亦きゅふ","子","个","baby","child"
"青年時代","静干晴伏","子供時代","个佛晴伏","youth","childhood"
"学級","季糾","学校","季杖","class","school"
"保護する","促講やを","防御する","阻微やを","protect","defend"
"高い","宮き","安い","宏き","expensive","cheap"
"安全","宏歪","安心","宏必","safe","secure"
"安心感","宏必惑","安全","宏歪","security","safety"
"全体の","歪件ぬ","完全な","宅歪よ","total","complete"
"理想的な","瑰態釣よ","完璧な","宅璽よ","ideal","perfect"
"絶対に","給封は","完全に","宅歪は","absolutely","completely"
"哲学","啓季","宗教","宇救","philosophy","religion"
"ダイヤモンド","ガノナヨルメ","宝石","宜占","diamond","jewel"
"締結","錬給","遂行","達伏","hanging","execution"
"住人","任个","大家","丈宴","tenant","landlord"
"一族","乙埃","家族","宴埃","clan","family"
"賃金","盾空","家賃","宴盾","hire","rent"
"疑惑","概惹","容疑者","蜜概盲","doubt","suspect"
"孤立した","孫市りて","孤独な","孫狙は","alone","lonely"
"義援","羌瑤","寄付","実仏","charity","donation"
"宝物","宣牧","財産","貯望","treasure","wealth"
"温かい","榅","冷たい","伶にり","hot","cold"
"法廷","泳建","審判","寮利","court","judge"
"熟達者","熱遊考","専門家","尊岡季","expert","specialist"
"誇り","咵に","威厳","減敢","pride","dignity"
"かわいらしい","やたりろくり","小さい","厼かり","little","small"
