"fr_cue","fr_fake_cue","fr_target","fr_fake_target","en_cue","en_target"
"autopsie","aubeansie","analyse","anapide","autopsy","analysis"
"autorisation","aurorisageable","approbation","approbarasse","permission","approval"
"autoriser","autoritique","laisser","lieuser","allow","let"
"avaler","lasler","mâcher","mâsion","swallow","chew"
"futur","fugié","passé","bousé","future","past"
"aveugle","avoigle","sourd","soind","blind","deaf"
"opinion","rennion","avis","avêt","opinion","attitude"
"avocat","mehcat","procureur","procubits","lawyer","prosecutor"
"badge","baîte","uniforme","créforme","badge","uniform"
"bague","bavae","collier","coltées","ring","necklace"
"baie","acie","port","poir","bay","harbor"
"banane","bapèce","fraise","fraint","banana","strawberry"
"bancaire","banmante","financier","finandale","banking","financial"
"remorque","rethèque","fourgonnette","achegonnette","trailer","van"
"banquier","bansuite","investisseur","intestisfaits","banker","investor"
"baron","balei","comtesse","compette","baron","countess"
"base","baly","quartier-général","fourgnognureux","base","headquarters"
"basket-ball","bartetleur","football","choiball","basketball","football"
"bébé","béryl","enfant","englan","baby","child"
"bénévole","bénévicer","volontairement","molentairegramme","volunteer","voluntarily"
"bête","erte","animal","flomal","beast","animal"
"béton","bérée","acier","sonier","concrete","steel"
"bible","binie","livre","litse","bible","book"
"bibliothèque","bobloitaille","musée","nurez","library","museum"
"bien","bino","mal","bun","good","bad"
"immobilier","immobitance","propriétaire","propriénique","property","owner"
"billet","billir","passeport","passerand","ticket","passport"
"blanc","chanu","noir","mair","white","black"
"plaie","fraie","blessure","illusure","wound","injury"
"boisson","boisnal","bière","boide","drink","beer"
"boîte","boâne","sac","ente","box","bag"
"bol","mul","assiette","asdiatre","bowl","plate"
"bombe","boûte","explosif","emplognet","bomb","explosive"
"bonjour","bonfort","salut","sadéo","hello","bye"
"bouche","boxure","nez","vuil","mouth","nose"
"bouclier","bourayer","armure","arguirl","shield","armor"
"boue","boto","sable","sacke","mud","sand"
"déplacement","déplacenaire","transfert","transreau","move","transfer"
"boussole","bousroux","carte","cavée","compass","map"
"bouton","priton","appuyer","angueur","button","press"
"bravo","nervo","alpha","albué","bravo","alpha"
"briser","gorser","casser","stuser","smash","break"
"livre","lince","dollar","netlar","pound","dollar"
"bruit","ofuit","son","iven","noise","sound"
"brutal","sontal","cruel","cretel","brutal","cruel"
"budget","amaget","financement","fanincenaire","budget","funding"
"buisson","évinson","arbre","arase","bush","tree"
"objectif","objeccher","intention","intenment","purpose","intention"
"cabine","cagnée","pont","pase","cabin","deck"
"cabinet","cabichon","toilettes","ayalettes","cabinet","closet"
"câble","yable","fil","lole","cable","wire"
"calendrier","calenmanes","programme","pronistes","calendar","schedule"
"calibre","cachore","balle","sille","caliber","bullet"
"campement","campetion","village","villets","camp","village"
"campagne","toupagne","élection","tinction","campaign","election"
"chaîne","cabos","informations","informarette","channel","news"
"candidat","candineche","électeur","ploiteur","candidate","voter"
"cannelle","canderne","vanille","vatrale","cinnamon","vanilla"
"capacité","catricecité","aptitude","aptipeau","capacity","ability"
"capitale","capiniez","ville","allle","capital","city"
"capsule","caprige","sonde","hande","capsule","probe"
"capteur","gnateur","émetteur","freiteur","sensor","transmitter"
"carbone","carmour","hydrogène","hydrovers","carbon","hydrogen"
"carnaval","carnatone","festival","printival","carnival","festival"
"carrière","cartisse","réputation","réputachées","career","reputation"
"casque","cakeue","chapeau","chabelle","helmet","hat"
"catholique","cathoscope","chrétien","chrisvine","catholic","christian"
"cauchemar","cauchevées","rêve","rêté","nightmare","dream"
"cavalerie","cavalejours","artillerie","arpenterie","cavalry","artillery"
"célébrité","célélonauté","star","joar","celebrity","star"
"célibataire","célibefoués","marié","malime","single","married"
"cellule","cellait","prison","merson","cell","prison"
"cendre","aindre","poussière","équisière","ash","dust"
"cercle","horcle","triangle","trisogne","circle","triangle"
"cercueil","cerculte","funérailles","nunénouille","coffin","funeral"
"cerveau","fréveau","cérébral","cérépion","brain","cerebral"
"césar","cépis","rome","voule","caesar","rome"
"chaîne","châlne","corde","uarde","chain","rope"
"chaleureux","chaleumore","cool","clais","warm","cool"
"champion","croipion","combattant","combatche","champion","fighter"
"chance","plance","possibilité","ponnibilicieuse","chance","possibility"
"chancelier","chancerais","président","prémulent","chancellor","president"
"changement","équigement","amélioration","améliorasance","change","improvement"
"chanteur","flecteur","musicien","musinait","singer","musician"
"char","baire","moteur","monium","tank","engine"
"charbon","chardamp","pétrole","pétiste","coal","oil"
"charge","chiege","cargaison","carpherson","load","cargo"
"charité","pourrité","don","éan","charity","donation"
"charme","chieme","beauté","briété","charm","beauty"
"chasser","poisser","pêcher","pêture","hunting","fishing"
"chaud","chuide","froid","frèrul","hot","cold"
"chauffer","chauftra","température","tempérageant","heat","temperature"
"chemise","cheviks","veste","niste","shirt","jacket"
"contrôler","confirler","vérifier","vérigène","check","verify"
"cher","chrose","économique","éconoprise","expensive","cheap"
"chercher","claicher","trouver","trounés","search","find"
"cheveu","chelad","barbe","bayai","hair","beard"
"chien","chaun","chat","chif","dog","cat"
"chiffon","pharfon","mouchoir","moucroft","cloth","handkerchief"
"chimie","chiter","biologie","écrilogie","chemistry","biology"
"chimique","garmique","biologique","biolotable","chemical","biological"
"chirurgien","chirurvard","médecin","médelote","surgeon","doctor"
"choisir","choibré","sélectionner","sélechotner","choose","select"
"choix","chieux","option","oppres","choice","option"
"ciel","ciruit","céleste","céroine","sky","heavenly"
"ciment","cisait","plastique","guistique","cement","plastic"
"cinéma","cinéphée","théâtre","thèmotre","cinema","theater"
"civil","cilué","militaire","milinique","civil","military"
"clairement","lindrement","évidemment","évidemion","clearly","obviously"
"clan","cloc","famille","famonde","clan","family"
"classe","léasse","école","clole","class","school"
"clé","dré","serrure","serbone","key","lock"
"ongle","onute","dent","sunt","nail","tooth"
"club","roube","bar","ator","club","bar"
"cocaïne","cocrons","héroïne","héligne","cocaine","heroin"
"code","cifer","mot de passe","tom droyante","code","password"
"coin","inin","rue","ruta","corner","alley"
"colère","covite","rage","radi","anger","rage"
"collation","collament","déjeuner","désionner","snack","lunch"
"collecter","colchanter","rassembler","rassemtins","collect","gather"
"collègue","colleaux","ami","guoi","colleague","friend"
"planter","poister","marteau","marreur","stick","hammer"
"colline","coltant","montagne","montiere","hill","mountain"
"colonie","colorenz","fédération","fédérasance","colony","federation"
"combattre","comtry","lutter","ranter","combat","fight"
"combinaison","combiteursson","mélange","méraire","combination","mixture"
"commander","pommansant","ordonner","orbitener","command","order"
"commenter","commension","déclarer","départrer","comment","statement"
"publicité","pupitrecité","marchand","marphine","commercial","merchant"
"commission","commischer","comité","cognacté","commission","committee"
"compatissant","compatistique","généreuse","génélisme","compassionate","generous"
"complimenter","comtessementer","cadeau","cadrée","compliment","gift"
"compter","proster","calculer","calcution","count","calculate"
"comté","rauté","district","disfrant","county","district"
"concept","conctot","définition","définiquait","concept","definition"
"conclusion","convernion","hypothèse","hypoleste","conclusion","assumption"
"compétition","compétignure","championnat","pouspionnat","competition","championship"
"conduire","condifore","piloter","pilosion","drive","ride"
"conférence","cultirence","réunion","jaunion","conference","meeting"
"confiance","confiaiee","croire","croptre","trust","believe"
"confirmation","ichivamation","confirmer","confirtal","confirmation","confirm"
"conflit","coéglit","dispute","dissile","conflict","dispute"
"recommendation","rocommendagraphe","conseil","coupeil","advice","advise"
"conservateur","conservalise","libéral","libébert","conservative","liberal"
"considérer","loyaudérer","penser","perber","consider","think"
"complot","comlion","fraude","frauva","conspiracy","fraud"
"construction","vieillistion","bâtir","bâval","construction","build"
"contact","contett","connexion","connarion","contact","connection"
"contamination","désesmination","radiation","radiamant","contamination","radiation"
"contenir","chaufir","contenu","claufur","contain","content"
"contrat","contlit","accord","auchen","contract","agreement"
"contrôler","constiler","manipuler","manipudique","control","manipulate"
"conversation","éclairsation","discussion","discucher","conversation","discussion"
"corps","codras","cadavre","canêtre","body","corpse"
"couche","colche","surface","surckle","layer","surface"
"crépuscule","crépusnant","aube","aunu","sunset","dawn"
"tasse","taile","café","catas","cup","coffee"
"courage","coucien","détermination","déterminageuses","courage","determination"
"courant","couport","électricité","consitricité","current","electricity"
"couronne","counente","trône","truel","crown","throne"
"courrier","courcées","fax","pux","mail","fax"
"courir","couton","marcher","colcher","run","walk"
"court","moeten","long","lote","short","long"
"couverture","couverriez","serviette","servestre","blanket","towel"
"couvrir","coupire","cacher","cature","cover","hide"
"création","frottion","destruction","dessomption","creation","destruction"
"crédit","supdit","prêt","prim","credit","loan"
"créer","haéer","produire","prorière","create","produce"
"crème","crape","sauce","sanse","cream","sauce"
"creuser","beauser","enterrer","entermine","dig","bury"
"critique","pentique","politique","poliquide","critical","political"
"cuillère","cupèlère","fourchette","foursables","spoon","fork"
"cuisinier","cuisirant","chef","chsé","cook","chef"
"cul","ocle","fesse","pusse","ass","butt"
"culture","curoure","civilisation","civilisageable","culture","civilization"
"oui","azeccord","ouais","grais","okay","yeah"
"danseur","hisseur","danse","lonse","dancer","dance"
"pays","pauf","nation","nateur","country","nation"
"face","farc","arrière","arshire","front","rear"
"alcool","alchet","drogue","flogue","alcohol","drug"
"précieux","lencieux","important","imporreur","valuable","important"
"décent","déping","honnête","honcase","decent","honest"
"décès","désila","disparition","disparivages","death","disappearance"
"déchet","désiens","ordure","orline","trash","garbage"
"gaspiller","lespiller","dépenser","dépenront","waste","spend"
"décrire","dérique","exprimer","exprisant","describe","express"
"déjà","démur","toujours","toulures","already","still"
"délicat","délisiez","sensible","sennière","delicate","sensitive"
"savoureux","savoucile","délicieux","déliteille","tasty","delicious"
"demain","denois","matin","maged","tomorrow","morning"
"demande","demoine","requête","resecte","demand","request"
"botte","borde","chaussure","transsure","boot","shoe"
"moitié","wattié","quart","épart","half","quarter"
"démission","démisture","licenciement","licencietique","resignation","dismissal"
"déraisonnable","déraisontines","irresponsable","irresponquées","unreasonable","irresponsible"
"désert","dénère","vallée","gnalée","desert","valley"
"désirer","désignal","souhaiter","souacheter","desire","wish"
"fatalité","famillelité","destinée","destition","fate","destiny"
"haïr","hanet","aimer","ainie","hate","love"
"détonateur","détonaliste","minuteur","minulome","detonator","timer"
"deux","depy","quatre","féatre","two","four"
"diamant","normant","bijou","bidek","diamond","jewel"
"dictionnaire","dictionsants","phrase","rorase","dictionary","phrase"
"dieu","dioc","divin","dimat","god","divine"
"difficile","diffiless","dur","ior","tough","hard"
"dégoutant","dégoureur","laid","prid","disgusting","ugly"
"dîner","dîman","petit-déjeuner","petitdébillonner","dinner","breakfast"
"diplôme","disième","diplômé","directmé","diploma","graduate"
"dire","disle","raconter","ramideter","say","tell"
"direct","dichat","directement","directenaire","direct","directly"
"manageur","manazard","chef","chusé","manager","boss"
"discours","discards","sermon","serdit","speech","sermon"
"disque","rusque","enregistrement","utregistreprises","record","recording"
"distance","disfarne","vitesse","vidence","distance","speed"
"divorce","dicorns","mariage","malisme","divorce","marriage"
"doigt","dolaton","pouce","ponse","finger","thumb"
"doré","dobon","argenté","artèreté","golden","silver"
"dose","mése","injection","injecment","dose","injection"
"double","gauble","triple","suiple","double","triple"
"douche","dannhe","salle de bain","lalle detreuil","shower","bathroom"
"douter","spéter","suspecter","fonspecter","doubt","suspect"
"doux","doma","gentil","genber","soft","gentle"
"doyen","docin","professeur","profestins","dean","professor"
"dragon","dralas","lion","ligu","dragon","lion"
"drame","drune","comédie","comépeau","drama","comedy"
"drapeau","draplin","symbole","symgere","flag","symbol"
"droite","druet","gauche","ganihe","right","left"
"droit","druet","constitution","constitumeur","law","constitution"
"quotidiennement","quoxipiennegramme","hebdomadaire","hebdomacents","daily","weekly"
"repos","remac","sommeil","somceau","rest","sleep"
"sang","jung","urine","urtre","blood","urine"
"sucre","sumpe","chocolat","chologrès","sugar","chocolate"
"méridional","mérimètrenal","occidental","occidennique","southern","western"
"farce","facee","blague","urague","trick","joke"
"dvd","tode","vidéo","vigue","dvd","video"
"dynastie","dyamortie","empire","emface","dynasty","empire"
"puce","ence","appareil","appapèce","chip","device"
"éclat","élaît","brillant","brilment","shine","bright"
"éclater","énerter","exploser","exlaisser","burst","explode"
"écouter","pseuter","entendre","ennistre","listen","hear"
"écran","amran","moniteur","monision","screen","monitor"
"écureuil","cenreuil","raton laveur","raton lthèse","squirrel","raccoon"
"effrayant","efbrasent","sinistre","sidiaire","scary","creepy"
"épouvanter","clasvanter","effrayer","effrance","scare","frighten"
"église","lâlise","chapelle","chaveuse","church","chapel"
"élève","ryève","professeur","profestère","student","teacher"
"éliminer","chamminer","retirer","retiquée","eliminate","remove"
"embaucher","embautant","louer","locar","hire","rent"
"bisou","bimac","câlin","câboy","kiss","hug"
"empêcher","empêsion","arrêter","arrêvant","prevent","stop"
"dehors","debole","autour","aulote","out","about"
"espèce","estale","monnaie","monrire","cash","money"
"réellement","quanlement","vraiment","bretment","actually","really"
"retard","remure","avance","luance","late","early"
"normalement","normaletique","habituellement","padituennegramme","normally","usually"
"enchère","enchoir","vente","pronte","auction","sale"
"fiançailles","prinçailles","mariage","malisme","engagement","wedding"
"ennemi","ennamotreilleuse","adversaire","advertures","enemy","opponent"
"enthousiasme","enthouvasses","passion","chision","enthusiasm","passion"
"pratiquer","protantir","exercer","pourcer","practice","exercise"
"entraîneur","enfoinneur","joueur","torreur","coach","player"
"entreprise","entresonne","société","stoquité","company","corporation"
"entrer","enleter","aller","deller","enter","go"
"envelopper","nevolperer","emballer","empirler","envelope","package"
"environnement","entironnement","atmosphère","tasmopère","environment","atmosphere"
"épaule","neaule","genou","gedie","shoulder","knee"
"épée","éplo","couteau","coudante","sword","knife"
"équilibre","équiriole","harmonie","harmoteur","balance","harmony"
"équipage","équidote","bateau","busont","crew","ship"
"équipement","chanpement","équiper","chanper","equipment","equip"
"équitable","quentable","raisonnable","raisonrette","fair","reasonable"
"erreur","ercier","faute","fuase","error","mistake"
"escargot","escarreau","tortue","torpas","snail","turtle"
"escorte","esckout","accompagner","accompaliste","escort","accompany"
"espérer","espétais","foi","nif","hope","faith"
"espionnage","essayenage","sabotage","saboréal","espionage","sabotage"
"espion","esfois","traître","trairse","spy","traitor"
"essayer","esgages","tentative","tentarant","try","attempt"
"estomac","estocute","poitrine","certrine","stomach","chest"
"éternel","technel","toujours","toulures","eternal","forever"
"étroit","wiroit","large","laone","narrow","wide"
"valeur","évatern","prix","niox","value","price"
"évêque","évuble","cardinal","cardigère","bishop","cardinal"
"évolution","élovument","mutation","mutanées","evolution","mutation"
"examen","exaros","inspection","inspeccher","examination","inspection"
"examiner","prosminer","enquêter","enthouter","examine","investigate"
"excellent","expentent","génial","gépier","excellent","great"
"exceptionnel","expectiontique","remarquable","remarnaille","exceptional","remarkable"
"expérience","extépenses","connaissances","containfrance","experience","knowledge"
"expérience","extépenses","test","tely","experiment","test"
"expert","expour","spécialiste","spéciations","expert","specialist"
"explication","plicexapades","plausible","perslible","explanation","plausible"
"extrêmement","exmestrêmique","très","trus","extremely","very"
"fabriquer","fabrinant","faire","fagre","make","do"
"facteur","pouteur","élément","sifment","factor","element"
"faim","foda","soif","siom","hunger","thirst"
"gérer","géser","réussir","blessir","manage","succeed"
"fatigué","fatirine","faim","fahi","tired","hungry"
"factice","psytice","faux","fape","fake","false"
"fédéral","fédécoif","état","keat","federal","state"
"féliciter","félicifique","saluer","salock","congratulate","greet"
"fer","bir","métal","mémer","iron","metal"
"verrouillé","anirouillé","fermé","boumé","locked","closed"
"fermement","fermetion","fortement","forterais","firmly","strongly"
"fermier","fertial","ouvrier","ousoire","farmer","worker"
"feu","iau","flamme","anamme","fire","flame"
"fichier","firaire","document","doculier","file","document"
"loyal","lourl","fidèle","fibade","loyal","faithful"
"fidélité","financelité","dévouement","décentment","fidelity","devotion"
"loyauté","confuté","honnêteté","éclainêteté","loyalty","honesty"
"fier","fidé","enthousiaste","enthoutaille","proud","excited"
"fille","finae","garçon","gartum","girl","boy"
"final","fitor","ultime","ultard","final","ultimate"
"finalement","finaletique","enfin","engée","finally","eventually"
"financièrement","ninantièrement","financement","ninantement","financially","financing"
"finir","fitir","terminer","pousminer","end","finish"
"fissure","fistard","trou","tofi","crack","hole"
"flatter","braster","impressionner","impresacharner","flatter","impress"
"fleuve","flirve","lac","nac","river","lake"
"opérer","amirer","chirurgie","tourrurgie","operate","surgery"
"fondre","eindre","geler","geman","melt","freeze"
"puissance","fiansance","force","fogue","strength","force"
"formulaire","formunique","signer","sicent","form","sign"
"train","trion","bus","hos","train","bus"
"fort","fops","faible","facele","strong","weak"
"foudre","etudre","tonnerre","tongesse","lightning","thunder"
"foule","foise","public","pufrit","crowd","audience"
"four","foez","poêle","ponje","oven","stove"
"fragment","cresment","morceau","pidée","fragment","piece"
"frais","clais","rafraîchir","rafraîsins","fresh","refresh"
"coup","cobe","frappe","froupe","hit","strike"
"fuir","fusir","échapper","confiper","flee","escape"
"fumée","fugal","cigare","cilude","smoke","cigar"
"fusée","funam","missile","misgere","rocket","missile"
"fusil","fuglé","pistolet","pistognon","rifle","gun"
"déclencher","dépanrcher","activer","actition","trigger","activate"
"gain","doin","gagner","gacent","gain","win"
"galerie","galevons","exposition","exposidente","gallery","exhibition"
"gang","garc","groupe","grouai","gang","group"
"garantie","galplatie","promettre","protendre","guarantee","promise"
"garçons","garcool","filles","finaes","boys","girls"
"garder","chider","patrouille","padouilles","guard","patrol"
"gaz","olz","carburant","corbuciel","gas","fuel"
"général","génésien","colonel","cologuée","general","colonel"
"générateur","générapaces","réacteur","réaccroc","generator","reactor"
"génie","géter","scientifique","scientigence","genius","scientist"
"geste","luste","acte","orte","gesture","act"
"glorieux","glopique","gloire","glivre","glorious","glory"
"gorge","gonde","cou","yal","throat","neck"
"goût","gouc","sentir","senmon","taste","smell"
"gouverneur","gouvercule","sénateur","sénamite","governor","senator"
"grain","groun","farine","famain","grain","flour"
"grand-père","grizzpère","grand-mère","granddiée","grandfather","grandmother"
"grenouille","gresouffle","lézard","lérate","frog","lizard"
"toast","crast","bacon","badéo","toast","bacon"
"grimper","creuper","saut","saou","climb","jump"
"grippe","gronpe","maladie","malabour","flu","disease"
"gros","aios","énorme","soûrme","big","huge"
"guerre","averre","bataille","baraitre","war","battle"
"vivre","vinde","survivre","survorce","live","survive"
"haut","haya","bas","sif","top","bottom"
"héros","hésif","sauveur","saurent","hero","savior"
"homme","hoère","humain","huping","man","human"
"hôpital","hôpinées","clinique","rannique","hospital","clinic"
"hormone","horjour","adrénaline","ouelnaline","hormone","adrenaline"
"horreur","canreur","peur","vour","horror","fear"
"hospitalité","hospitatouageté","reconnaissance","reconjoursaire","hospitality","gratitude"
"hôtel","hôcan","motel","moroc","hotel","motel"
"humble","hufile","modeste","modavre","humble","modest"
"ici","uti","là-bas","bi-ros","here","there"
"idéal","pyéal","parfait","parport","ideal","perfect"
"idée","idêt","théorie","shanrie","idea","theory"
"ignorance","ignosagne","arrogance","arrosesse","ignorance","arrogance"
"illégal","chlogal","légal","lébra","illegal","legal"
"illusion","prousion","hallucination","lulinacinague","illusion","hallucination"
"image","imtre","photo","blato","picture","photo"
"imagination","imaginasance","créativité","mayontivité","imagination","creativity"
"impérial","impéblés","empereur","empelées","imperial","emperor"
"impossible","imposlogue","facile","fatère","impossible","easy"
"impression","imullision","sensation","sensalade","impression","feeling"
"impressionnant","impressionsique","incroyable","introuille","impressive","amazing"
"impulsion","impulcher","pression","fransion","pulse","pressure"
"incapacité","pacigramme","incapable","incalonne","inability","unable"
"incident","incigate","accident","accigate","incident","accident"
"inconfortable","inponforcieux","désagréable","pichaséable","uncomfortable","unpleasant"
"pointer","choiter","indiquer","indinant","point","indicate"
"industrie","indusgnac","business","busizine","industry","business"
"influence","inclenche","effet","eftri","influence","effect"
"ingénieur","ingébleau","architecte","archiciple","engineer","architect"
"inhabituel","inhabimente","étrange","tarange","unusual","strange"
"injustice","injusvrer","déloyal","davoyer","injustice","unfair"
"innocent","innonois","coupable","coucille","innocent","guilty"
"inquiet","inquage","nerveux","nergete","worried","nervous"
"difficulté","dittiyauté","problème","probrote","trouble","problem"
"insérer","insémite","mettre","merore","insert","put"
"inspecteur","inspecrons","commissaire","commisfique","inspector","commissioner"
"inspirer","inspitaux","inspiration","inspirapeute","inspire","inspiration"
"instinct","insdiait","intuition","intuiment","instinct","intuition"
"insulter","niflatter","offenser","ofcrisser","insult","offend"
"malin","magal","intelligent","intellirable","smart","intelligent"
"interdit","interlège","prohiber","prohilège","forbidden","prohibit"
"international","incondamnational","monde","fende","international","world"
"interne","ingente","externe","exdonne","internal","external"
"interrompre","interringue","déranger","dévoueger","interrupt","disturb"
"inutile","inphiée","misérable","miséterne","useless","worthless"
"invasion","invaneau","attaque","attrave","invasion","attack"
"ironie","dognie","ironique","rannique","irony","ironic"
"jaloux","jalais","fâché","fâvin","jealous","angry"
"jamais","jagare","toujours","resjours","never","ever"
"jeep","jeol","camion","camère","jeep","truck"
"fiancé","naiscé","mariée","masode","groom","bride"
"jeunesse","baynesse","enfance","endonte","youth","childhood"
"pari","paman","poker","ponue","gambling","poker"
"jolie","jotue","magnifique","magnilline","pretty","beautiful"
"jouer","stuer","jeu","idu","play","game"
"journalisme","jounarreuse","politique","poliquide","journalism","politics"
"reporter","reupinter","journaliste","fronnaliste","reporter","journalist"
"juin","juvé","juillet","jukelet","june","july"
"jungle","uangle","forêt","fopei","jungle","forest"
"jupe","uipe","robe","rout","skirt","dress"
"jurer","juson","serment","serteur","swear","oath"
"juridiction","jurdicument","autorité","confétorité","jurisdiction","authority"
"juste","oïste","récemment","rétection","just","recently"
"ketchup","grechut","mayonnaise","meyernette","ketchup","mayonnaise"
"kidnapper","specnatter","enlever","enteler","kidnap","abduct"
"kidnappeur","specnatteur","rançon","éliçon","kidnapper","ransom"
"kilo","eslo","gramme","gramgé","kilo","gram"
"kilomètre","kilotesse","mètre","kitre","kilometer","meter"
"klaxon","niaxon","sifflet","sibblic","horn","whistle"
"été","dré","hiver","higie","summer","winter"
"internet","interdure","web","lub","internet","web"
"démence","démière","stupidité","granpidité","madness","stupidity"
"diarrhée","diarbine","nausée","naulet","diarrhea","nausea"
"fenêtre","felette","porte","poune","window","door"
"fille","fimme","fils","fira","daughter","son"
"finance","fipable","investir","invesnant","finance","invest"
"fréquence","imaquence","signal","sicaol","frequency","signal"
"lecture","styture","écriture","printure","reading","writing"
"magie","mélem","sorcier","sorgner","magic","wizard"
"navigation","tavigarette","communication","cumunoigraphe","navigation","communication"
"pauvreté","ignovreté","misère","mimuse","poverty","misery"
"peau","épau","tissus","tisnée","skin","tissue"
"personne","persesse","individu","indiviment","person","individual"
"peste","naste","épidémie","épidésert","plague","epidemic"
"physique","obstique","mathématiques","matrémadaille","physics","mathematics"
"publicité","pupitrecité","marketing","marteloux","advertising","marketing"
"résistance","résisfique","résister","rébralter","resistance","resist"
"source","soence","informateur","informachine","source","informant"
"technologie","confénologie","science","ryience","technology","science"
"tombe","togue","cimetière","cimenance","grave","cemetery"
"tour","crur","bâtiment","bâtitude","tower","building"
"toux","topu","fièvre","baèvre","cough","fever"
"troisième","troimiste","quatrième","quateille","third","fourth"
"victoire","dontoire","défaite","déchine","victory","defeat"
"goutte","goante","gorgée","gorfia","drop","sip"
"lait","lari","jus","mos","milk","juice"
"lampe","latec","bougie","desgie","lamp","candle"
"larme","lalie","couper","cougir","tear","cut"
"lasagne","lagasme","spaghetti","spaégrati","lasagna","spaghetti"
"chaos","lechasse","confusion","tuyausion","chaos","confusion"
"commandant","commantude","capitaine","capisives","commander","captain"
"dessert","desdeur","gâteau","gâneur","dessert","cake"
"golf","gojà","tennis","tenvée","golf","tennis"
"jazz","jaût","musique","muniste","jazz","music"
"management","managetique","administratif","amindistraphe","management","administrative"
"minimum","nimisert","maximum","maxivée","minimum","maximum"
"pardon","parbel","pitié","pidou","forgiveness","mercy"
"printemps","printecte","automne","authans","spring","autumn"
"progrès","proguer","développement","développerasses","progress","development"
"respect","resgant","confiance","confiagee","respect","confidence"
"sida","sicin","vih","voz","aids","hiv"
"sourire","souphie","rigoler","rigosion","smile","laugh"
