"de_cue","de_fake_cue","de_target","de_fake_target","en_cue","en_target"
"aufmerksamkeit","auftragssamkeit","anziehen","anfallhen","attention","attract"
"aufregend","aufrecher","interessant","intereskleid","exciting","interesting"
"auge","eugi","ohr","mur","eye","ear"
"aus","ons","über","läer","out","about"
"ausfahrt","senfahrt","eingang","einhaft","exit","entrance"
"ausgezeichnet","ausgefühlsnet","großartig","fistartig","excellent","great"
"ausrüstung","ausrüskeit","ausstatten","ausrüslauf","equipment","equip"
"außen","autig","innen","innes","outside","inside"
"außergewöhnlich","außergemenschlich","bemerkenswert","bemermarktwert","exceptional","remarkable"
"äußerst","äuheiss","sehr","selb","extremely","very"
"auswahl","ausrohr","möglichkeit","möglichrung","choice","option"
"autogramm","autobruch","fotograf","fototech","autograph","photographer"
"autopsie","autoppeln","analyse","scholyse","autopsy","analysis"
"autor","augus","schauspieler","schauhändler","author","actor"
"baby","bagie","kind","kiza","baby","child"
"balance","basource","harmonie","harmoters","balance","harmony"
"banane","banalist","erdbeere","schobeere","banana","strawberry"
"bankwesen","kokkweden","finanzen","finanzilicht","banking","financial"
"banker","derker","investor","inproctor","banker","investor"
"bär","gor","wolf","wobu","bear","wolf"
"baron","batis","gräfin","rüsfin","baron","countess"
"basis","einsis","hauptquartier","hauptquarbung","base","headquarters"
"basketball","basketlern","football","footgeld","basketball","football"
"bauer","rieer","arbeiter","arrichter","farmer","worker"
"becher","bestim","kaffee","kafbon","cup","coffee"
"bedeutung","bedeukeit","wichtigkeit","bedeukeit","meaning","importance"
"bedienung","bediebold","wartung","distung","service","maintenance"
"beeindruckend","beeindruwurst","erstaunlich","früle","impressive","amazing"
"einfluss","einschlas","wirkung","folkung","influence","effect"
"befehl","bescha","auftrag","aufnang","command","order"
"befriedigt","bestumdig","glücklich","stocklich","satisfied","happy"
"begeisterung","bescherterung","hingabe","nakagabe","enthusiasm","passion"
"geleiten","befahlten","begleiten","bekempern","escort","accompany"
"ladung","belassard","fracht","farcht","load","cargo"
"beleidigung","beleudischen","beleidigen","beschärtigen","insult","offend"
"beliebt","bediens","berühmt","bewärmt","popular","famous"
"bereich","beplatz","zone","krine","area","zone"
"bereit","bezeln","vorbereiten","betigsten","ready","prepare"
"bereits","bedrein","noch","stamel","already","still"
"berühmtheit","begleitheit","star","staun","celebrity","star"
"besatzung","besuttelt","schiff","schina","crew","ship"
"demütig","dimestig","bescheiden","demättig","humble","modest"
"beschreiben","betriebsben","ausdrücken","ausdrürung","describe","express"
"beschützen","bekommtzen","verteidigen","verscheuldiken","protect","defend"
"beschwerde","benachtsde","anklage","anüberge","complaint","accusation"
"beseitigen","bekommttigen","löschen","löckert","eliminate","remove"
"besonders","bezirksdere","einzigartig","einzigreme","special","unique"
"besorgt","behardt","nervös","nerzui","worried","nervous"
"bestätigung","bestärtikung","bestätigen","bestärtiksen","confirmation","confirm"
"bestechung","bestepford","erpressung","bestewards","bribe","blackmail"
"bestrafen","bedienfen","festnehmen","lungnahme","punish","arrest"
"beton","bewäs","stahl","stinl","concrete","steel"
"stress","strull","depression","deckungsion","stress","depression"
"betrachtung","bemaleitung","spiegel","stangel","reflection","mirror"
"betreten","bedabten","gehen","gekom","enter","go"
"betriebsbereit","beschunbereit","funktionell","hiertional","operational","functional"
"beute","ökote","raubtier","leibtier","prey","predator"
"bewachen","bewaring","patrouillieren","panachtslieren","guard","patrol"
"bewahren","bestänren","pflegen","rollgen","preserve","maintain"
"bewegung","bewetest","transfer","spielfer","move","transfer"
"beweis","befert","nachweis","hensweisen","evidence","proof"
"bewundern","bewunsche","schätzen","achilzen","admire","appreciate"
"beziehung","beziefeld","freundschaft","sprongschaft","relationship","friendship"
"land","belitz","bezirk","belenk","county","district"
"bibel","bizar","buch","buquer","bible","book"
"biene","munne","ameise","akrose","bee","ant"
"bild","teld","foto","heito","picture","photo"
"formular","fermelar","unterschreiben","anterschriefen","form","sign"
"bildschirm","mantschirm","monitor","monicken","screen","monitor"
"binden","netden","band","netden","bind","tie"
"bischof","biacher","kardinal","kardimung","bishop","cardinal"
"bleibe","kriebe","bleiben","üloads","stay","remain"
"blind","maind","taub","tazz","blind","deaf"
"blitz","bloz","donner","oriner","lightning","thunder"
"blut","yout","urin","urah","blood","urine"
"boden","botie","teppich","tepphan","floor","carpet"
"bombe","desbe","explosiv","explobrot","bomb","explosive"
"bonus","boort","belohnen","betrefnen","bonus","reward"
"böse","gotse","schmutzig","schwimzig","nasty","filthy"
"botschaft","vioschaft","ministerium","ministereicht","embassy","ministry"
"botschafter","botfürchter","minister","mitochter","ambassador","minister"
"braun","bropen","blau","bluxe","brown","blue"
"bräutigam","maultigam","braut","brient","groom","bride"
"bravo","danvo","alpha","allek","bravo","alpha"
"briefmarke","abondmarke","unterschrift","unterermahlt","stamp","signature"
"brille","treule","kappe","tepse","glasses","cap"
"bringen","träugen","schicken","herrcken","bring","send"
"brot","brihs","käse","stise","bread","cheese"
"brücke","wolcke","tunnel","erbnel","bridge","tunnel"
"brutal","türtal","grausam","grautos","brutal","cruel"
"bücherei","bügelnrei","museum","miseam","library","museum"
"buchstäblich","buchmändlich","praktisch","kristisch","literally","practically"
"bucht","imicht","hafen","haschi","bay","harbor"
"budget","budauf","finanzierung","finanziescher","budget","funding"
"zivil","kuvul","militärisch","milinigt","civil","military"
"busch","burlh","baum","kuum","bush","tree"
"cäsar","zumsar","rom","imm","caesar","rome"
"champion","kochpion","kämpfer","kletfer","champion","fighter"
"chance","blince","möglichkeit","wahrfreundlichkeit","chance","possibility"
"chaos","notos","verwechslung","verfrachlung","chaos","confusion"
"charakter","chaflüster","persönlichkeit","persömtiker","character","personality"
"charme","chutime","schönheit","sehrtheit","charm","beauty"
"chemie","chenas","biologie","frülogie","chemistry","biology"
"chemisch","eunmisch","biologisch","biolockeln","chemical","biological"
"chip","chorf","gerät","gelem","chip","device"
"clan","maan","familie","famigung","clan","family"
"schlau","schnau","intelligent","intellischem","smart","intelligent"
"trainieren","sensieten","spieler","stanler","coach","player"
"code","zude","passwort","omtswort","code","password"
"dankbar","maulbar","danken","symken","grateful","thank"
"schicksal","schickpont","bestimmung","benachmung","fate","destiny"
"datei","dafon","dokument","dokumenschanzren","file","document"
"daten","dazwi","information","instinktmation","data","information"
"dekan","doran","professor","profesdent","dean","professor"
"decke","derin","handtuch","handscha","blanket","towel"
"chirurg","chively","arzt","otzt","surgeon","doctor"
"deutlich","dorlich","offensichtlich","offendringlich","clearly","obviously"
"diamant","diasars","juwel","juschu","diamond","jewel"
"dichter","ideater","schriftsteller","schwerzteller","poet","writer"
"gesellschaft","geselschlupf","gemeinschaft","gewoltschaft","society","community"
"gesundheit","gesunlongs","bildung","ausbillard","health","education"
"rente","pensterre","gehalt","gesand","pension","salary"
"seide","sehard","baumwolle","trotwolle","silk","cotton"
"dieb","goeb","kriminell","krimichon","thief","criminal"
"diebstahl","sichstahl","raub","raoo","theft","robbery"
"diplom","dichok","absolvent","absolrald","diploma","graduate"
"sofort","diklagte","direkt","dihemd","direct","directly"
"distanz","diskauf","geschwindigkeit","gekriegtdigkeit","distance","speed"
"dna","pea","fingerabdruck","fingerabschem","dna","fingerprint"
"doppelt","dopsein","dreifach","verkauftfachen","double","triple"
"dosis","dober","injektion","instandtion","dose","injection"
"drache","fißche","löwe","matwe","dragon","lion"
"dramatisch","dramachung","romantisch","romannings","dramatic","romantic"
"dreck","aleck","sand","sads","mud","sand"
"dreckig","vulckig","widerlich","widermann","dirty","disgusting"
"dringend","prakgend","notfall","wilfall","urgent","emergency"
"dritter","gütter","vierter","krante","third","fourth"
"drücken","mahcken","ziehen","säuhen","push","pull"
"dschungel","schultgel","wald","wamm","jungle","forest"
"ekelhaft","denksting","hässlich","günslich","disgusting","ugly"
"dunkelheit","dunkellogg","hell","heuk","darkness","light"
"dünn","fönn","dick","dite","thin","thick"
"durchfall","durchwühl","übelkeit","uberkast","diarrhea","nausea"
"dusche","duples","badezimmer","vidzimmer","shower","bathroom"
"dvd","dwd","video","vitry","dvd","video"
"dynastie","dymountie","imperium","ampertium","dynasty","empire"
"e-mail","emdel","fax","oux","mail","fax"
"ecke","hüke","gasse","zeise","corner","alley"
"edel","büel","tapfer","crofer","noble","brave"
"ehemann","gitmann","ehefrau","ehekril","husband","wife"
"eichhörnchen","barmhörnchen","waschbär","waschwan","squirrel","raccoon"
"eigentlich","eifräulich","wirklich","wirknauf","actually","really"
"eigentum","eigensüch","besitzer","lesatzer","property","owner"
"eins","orn","drei","drebt","one","three"
"eindruck","einkumpf","gefühl","gekehr","impression","feeling"
"schlicht","einföhl","einfach","einföhl","simply","simple"
"einsatz","einfümier","setzen","evezen","insert","put"
"einheit","eingung","teilung","teiisch","unit","division"
"einkaufen","eingingfen","geschäft","weschaft","shop","store"
"single","einscha","verheiratet","versichtsrat","single","married"
"eisen","audig","metall","medris","iron","metal"
"empfindlich","empheimlich","sensibel","sintabel","delicate","sensitive"
"ende","akade","ziel","tuel","end","finish"
"endlich","gürlich","letztlich","meustlich","finally","eventually"
"power","enerraum","energie","paver","power","energy"
"verlobung","engagespiel","hochzeit","hochschu","engagement","wedding"
"englisch","buslisch","französisch","nordzösisch","english","french"
"enkel","enrat","neffe","liofe","grandson","nephew"
"kidnappen","entwickren","entführen","kinabben","kidnap","abduct"
"entführer","entwicknerer","geisel","türsel","kidnapper","ransom"
"enthalten","entsatzten","inhalt","insitz","contain","content"
"erbe","aufbe","erben","erläu","heritage","inherit"
"erdbeben","erdbenutz","explosion","exstression","earthquake","explosion"
"erfahrung","erfahkeit","wissen","melsen","experience","knowledge"
"erfolg","ergons","versagen","langsagen","success","failure"
"resultat","restanat","ergebnis","erklärnis","result","outcome"
"erkennen","ersatzne","wissen","lieste","recognize","knew"
"erlaubnis","erfolgnis","genehmigung","genehmsake","permission","approval"
"erklärung","erläuteletts","plausibel","zwiesibel","explanation","plausible"
"ermöglichen","ermöglivings","lassen","keisen","allow","let"
"irrtum","ernix","fehler","araler","error","mistake"
"ersetzen","erhoffzen","ersatz","erheim","replace","substitute"
"erster","tente","letzter","beamt","first","last"
"ertrinken","erhältken","schwimmen","schmutmen","drown","swim"
"erwachsene","erfolgssene","elternteil","elhaarteil","adult","parent"
"erwägen","erwäsche","überlegen","trollegen","consider","think"
"esel","esco","pferd","pfuld","donkey","horse"
"evolution","spritlution","mutation","mulierttion","evolution","mutation"
"ewig","ewac","für immer","imaud","eternal","forever"
"experiment","experichard","test","zist","experiment","test"
"experte","exfasste","spezialist","speziavers","expert","specialist"
"extra","exdas","zusätzlich","zutrauflich","extra","additional"
"fabrik","faphie","produktion","progrition","factory","production"
"fahrkarte","traukarte","reisepass","reiselick","ticket","passport"
"lenken","facet","fahren","falst","drive","ride"
"fahrzeug","fahrmeln","auto","tuto","vehicle","car"
"faktor","settor","element","brüment","factor","element"
"falsch","faroch","richtig","korseys","wrong","correct"
"fangen","thegen","köder","körin","trap","bait"
"fazit","fasüß","annahme","antreime","conclusion","assumption"
"feind","ferod","gegner","tioner","enemy","opponent"
"felsen","jussen","stein","hilein","rock","stone"
"fenster","wandter","tür","arv","window","door"
"fernrohr","ferngier","mikroskop","mikrotil","telescope","microscope"
"fest","igst","stark","geark","firmly","strongly"
"firma","lerma","agentur","aquatur","firm","agency"
"feuer","winer","flamme","plünme","fire","flame"
"final","fitrolle","ultimativ","ultimahaks","final","ultimate"
"finanzen","fitrotzen","investieren","instanktieren","finance","invest"
"finanziell","finanzilicht","finanzierung","finanziescher","financially","financing"
"finger","plager","daumen","sormen","finger","thumb"
"reparieren","rax","reperatur","repararicht","fix","repair"
"flagge","clouge","symbol","symhit","flag","symbol"
"fliehen","schehen","flucht","flucdi","flee","escape"
"fluch","fliph","hexe","hedio","curse","witch"
"flüchtling","tauschling","flüchtig","karschling","refugee","fugitive"
"fluss","flikas","see","bie","river","lake"
"flüssig","testsigkeit","flüssigkeit","mondsigkeit","liquid","fluid"
"föderal","födemenz","staat","steet","federal","state"
"fokus","foral","konzentrieren","konzenfischren","focus","concentrate"
"folgen","mutgen","jagen","jamai","follow","chase"
"forschung","staschung","studieren","stadielen","research","study"
"frage","mayge","fragen","bosgen","question","ask"
"fragment","plaument","stück","stetug","fragment","piece"
"frei","frizo","kostenlos","koshaltlos","freely","free"
"freiheit","freigung","demokratie","demokraführt","freedom","democracy"
"freiwilliger","hauptwillige","freiwillig","benswillig","volunteer","voluntarily"
"frequenz","pauquenz","signal","sisant","frequency","signal"
"frisch","frich","erfrischen","erferschen","fresh","refresh"
"frosch","frusch","eidechse","eimousse","frog","lizard"
"frühling","kranling","herbst","härdst","spring","autumn"
"fuchs","fulls","hase","derse","fox","rabbit"
"füttern","exotern","essen","eskor","feed","eat"
"galerie","galegung","ausstellung","ausweislung","gallery","exhibition"
"gang","gata","gruppe","golfpe","gang","group"
"gans","gadi","ente","hyste","goose","duck"
"garantie","garansatz","versprechen","vernichchen","guarantee","promise"
"gas","ras","kraftstoff","kraftstick","gas","fuel"
"gastfreundschaft","chrofreundschant","dankbarkeit","afribarkeit","hospitality","gratitude"
"geburt","gelast","schwangerschaft","zwangsgerschaft","birth","pregnancy"
"geduld","gefood","mitgefühl","mitgenier","patience","compassion"
"patient","gesteudig","klient","delent","patient","client"
"gefälscht","gebeuscht","falsch","fäch","fake","FALSE"
"gegenmittel","gegenbrauetel","impfstoff","rafung","antidote","vaccine"
"materie","mitarie","teilchen","neutchen","matter","particle"
"gegenteil","gegenbiss","gegensätzlich","gegenbock","opposite","contrary"
"anwesenheit","angesinkeit","abwesenheit","abwesenschaf","presence","absence"
"geheimnis","mystalium","mysterium","kasterium","secret","mystery"
"gehirn","gelard","zerebral","zerebort","brain","cerebral"
"geisel","türsel","häftling","pritling","hostage","prisoner"
"gelegentlich","geleflächlich","selten","blaten","occasionally","rarely"
"gemütlich","gemüttern","angenehm","angedank","comfortable","pleasant"
"generator","generaschen","reaktor","raksches","generator","reactor"
"genie","chronius","wissenschaftler","wissensprinkler","genius","scientist"
"genügend","genütigt","ausreichend","antreintend","enough","sufficient"
"gerade","gelegde","kürzlich","kubrat","just","recently"
"gericht","geschla","richter","zielter","court","judge"
"gesamt","gewegt","komplett","komplaus","total","complete"
"geschehen","gejathen","passieren","übersieren","occur","happen"
"geschmack","gesprungt","geruch","geroch","taste","smell"
"gesellschaft","gebautschaft","konzern","konpier","company","corporation"
"gesetz","geless","verfassung","verfastest","law","constitution"
"gesperrt","getriert","geschlossen","gekriegtsen","locked","closed"
"gespräch","gewitsch","diskussion","distreffsion","conversation","discussion"
"geste","dayte","handlung","festlung","gesture","act"
"gesund","gegons","normal","chimal","healthy","normal"
"treffen","trofsen","schlagen","abendgen","hit","strike"
"gewehr","gesens","pistole","mondtole","rifle","gun"
"gewicht","geblatt","höhe","desche","weight","height"
"gewinnen","gesteinen","sieg","sirp","gain","win"
"gewöhnlich","gestandlich","üblich","übringt","ordinary","usual"
"gift","raft","töten","tönig","poison","kill"
"glas","zias","flasche","kansche","glass","bottle"
"glorreich","flinreich","ruhm","röhn","glorious","glory"
"glücksspiel","glückssträh","poker","ponie","gambling","poker"
"golden","märden","silbern","fußbern","golden","silver"
"golf","golau","tennis","bürnis","golf","tennis"
"gott","gome","göttlich","glänlich","god","divine"
"gouverneur","gouverlikt","senator","senamens","governor","senator"
"grab","graßt","friedhof","friedran","grave","cemetery"
"graben","bauben","beerdigen","berückben","dig","bury"
"gratulieren","skulptulieren","grüßen","förßen","congratulate","greet"
"greifen","seitfen","fangen","thegen","grab","catch"
"grippe","dämppe","krankheit","errichkung","flu","disease"
"groß","gruh","riesig","enesim","big","huge"
"größe","kieße","länge","tagge","size","length"
"großvater","festvater","großmutter","grotmetter","grandfather","grandmother"
"grün","grag","orange","sehnge","green","orange"
"grund","taund","ursache","ansurche","reason","cause"
"horror","engsel","furcht","furdi","horror","fear"
"gut","ärt","schlecht","schlehdi","good","bad"
"haare","haso","bart","bata","hair","beard"
"huhn","hehs","truthahn","kroschahn","chicken","turkey"
"hai","aui","fisch","fileh","shark","fish"
"hälfte","tallte","viertel","biertal","half","quarter"
"hallo","bunlo","tschüss","tschutus","hello","bye"
"halten","menten","behalten","besinkten","hold","keep"
"hand","hago","arm","irm","hand","arm"
"hängend","wetgend","hinrichtung","hinderntung","hanging","execution"
"dickköpfig","dackkirfig","egoistisch","egoislands","stubborn","selfish"
"hass","rausen","liebe","vorbe","hate","love"
"hauptstadt","hauptstras","stadt","stoft","capital","city"
"haus","aust","wohnung","lännung","house","apartment"
"haut","auth","gewebe","gewebeherrschst","skin","tissue"
"heiß","hele","kalt","kams","hot","cold"
"held","hett","retter","koster","hero","savior"
"helm","hemz","hut","äst","helmet","hat"
"herbst","hemast","zusammenbruch","zusammensträu","fall","collapse"
"herr","hesk","dame","kosme","lord","lady"
"geliebte","telarbte","liebhaber","wohlhaber","mistress","lover"
"heute","maste","gestern","bobtern","today","yesterday"
"hier","pür","dort","doza","here","there"
"hilfe","rusfe","helfen","wanfen","help","assist"
"hilflos","hacklos","machtlos","waschlos","helpless","powerless"
"himmel","fahmel","himmlisch","paradiedreht","sky","heavenly"
"hindernis","hinderschö","herausforderung","herausfordebleich","obstacle","challenge"
"hobby","papby","sport","spermt","hobby","sport"
"hochschule","hochspiege","universität","schütversität","college","university"
"hoffen","gunfen","glaube","schappe","hope","faith"
"höflich","wohlisch","freundlich","spanglich","polite","friendly"
"honig","hoves","butter","meeter","honey","butter"
"anhörung","höche","gerichtsverhandlung","gestelltverhandlung","hearing","trial"
"zuhören","höche","hören","zuhöche","listen","hear"
"hormon","blumon","adrenalin","adrenalicolin","hormone","adrenaline"
"horn","holb","pfeife","siefe","horn","whistle"
"hotel","holos","motel","molie","hotel","motel"
"hübsch","ebsch","schön","skunn","pretty","beautiful"
"hügel","hütin","berg","betö","hill","mountain"
"hund","huds","katze","fesze","dog","cat"
"hunger","masger","durst","carst","hunger","thirst"
"wirbelsturm","werbelferm","tornado","pappnado","hurricane","tornado"
"husten","ohrten","fieber","bolber","cough","fever"
"ideal","moial","perfekt","perblut","ideal","perfect"
"idee","xiee","theorie","atemrie","idea","theory"
"ignoranz","ignoscan","arroganz","arrodoon","ignorance","arrogance"
"illegal","illebend","legal","gelässlich","illegal","legal"
"illusion","ilstression","halluzination","fleischluzination","illusion","hallucination"
"immer","impul","ständig","sitzdig","always","constantly"
"puls","polm","druck","drark","pulse","pressure"
"nahe","nene","fern","wede","near","far"
"industrie","indushalz","unternehmen","untergrundmen","industry","business"
"innen","indus","außen","exterklop","internal","external"
"inspektor","inmelstor","kommissar","kommisweis","inspector","commissioner"
"inspirieren","inrungsrieren","inspiration","inleuchtration","inspire","inspiration"
"instinkt","instreut","intuition","inhaltstion","instinct","intuition"
"international","internatioschung","welt","wego","international","world"
"internet","interling","web","ontz","internet","web"
"invasion","instression","attacke","attagung","invasion","attack"
"ironie","etanie","ironisch","vasnisch","irony","ironic"
"jagd","japo","angeln","anbrin","hunting","fishing"
"jahrhundert","vielhundert","jahrzehnt","demonste","century","decade"
"jazz","janu","musik","murem","jazz","music"
"jeep","jeru","lkw","eow","jeep","truck"
"jetzt","hützt","wissen","melsen","now","know"
"journalismus","schwänalismus","politik","polimern","journalism","politics"
"jubiläum","jubiläumschleicht","geburtstag","gelingstag","anniversary","birthday"
"jugend","judeln","kindheit","denkheit","youth","childhood"
"jungen","julls","mädchen","wehchen","boys","girls"
"juni","tanni","juli","billi","june","july"
"kabel","kanie","leitung","leitie","cable","wire"
"kabine","gläubine","deck","depo","cabin","deck"
"schrank","schrelk","kasten","wisten","cabinet","closet"
"kaiserlich","arschserliche","kaiser","schoser","imperial","emperor"
"kalender","kapuder","zeitplan","nessplan","calendar","schedule"
"kaliber","kaligung","geschoss","geschort","caliber","bullet"
"kamera","kamelung","mikrofon","michiffon","camera","microphone"
"kampagne","gruppagne","wahl","wotz","campaign","election"
"schlacht","kanf","kampf","kalaf","combat","fight"
"fernsehsender","jernsihselder","nachrichten","nachlassten","channel","news"
"kandidat","kandickig","wähler","jenler","candidate","voter"
"kanzler","sackler","präsident","präsifuhr","chancellor","president"
"kapazität","kapazischen","fähigkeit","fähigstel","capacity","ability"
"kapsel","exesel","sonde","parde","capsule","probe"
"karneval","karnechef","festival","festimund","carnival","festival"
"körper","kanichtserie","leiche","warche","body","corpse"
"kartoffel","kartofhaft","tomate","torichte","potato","tomato"
"kasse","retse","geld","gerö","cash","money"
"kasten","theten","tasche","tastro","box","bag"
"katholisch","kathomiert","christlich","schwetian","catholic","christian"
"kaufen","rolfen","verkaufen","versöhnfen","buy","sell"
"kavallerie","kalischlerie","artillerie","arschenlerie","cavalry","artillery"
"kehle","paole","nacken","nächs","throat","neck"
"kellner","schalner","kellnerin","trinnerin","waiter","waitress"
"ketchup","klickup","mayonnaise","mathersnaise","ketchup","mayonnaise"
"kette","hühte","seil","quil","chain","rope"
"kilo","tholo","gramm","grinn","kilo","gram"
"kilometer","kilomister","meter","melan","kilometer","meter"
"kino","kidet","theater","everter","cinema","theater"
"kirche","gelche","kapelle","kamittle","church","chapel"
"klasse","stanse","schule","spitle","class","school"
"klavier","klarohr","gitarre","gickiere","piano","guitar"
"wenig","weinne","klein","klinn","little","small"
"klingeln","platgeln","läuten","dimi","ping","ding"
"knoblauch","koiolauch","zwiebel","schinbel","garlic","onion"
"knochen","grechen","schädel","fliedel","bone","skull"
"koch","itsch","chefkoch","komo","cook","chef"
"kohle","radle","öl","tä","coal","oil"
"kohlenstoff","kohlenspiel","wasserstoff","wasserviert","carbon","hydrogen"
"kokain","koherzin","heroin","heckenin","cocaine","heroin"
"kollege","geislege","freund","freunell","colleague","friend"
"kolonie","kolosung","föderation","schaltderation","colony","federation"
"kombination","schlaubination","mischung","mischiff","combination","mixture"
"kommandant","kommannuss","kapitän","kapidras","commander","captain"
"kommentar","kommenshow","aussage","seltsage","comment","statement"
"kommerziell","kommerzilicht","händler","münzler","commercial","merchant"
"kommission","komplottsion","ausschuss","ausschäft","commission","committee"
"kompass","komwart","karte","drote","compass","map"
"kompliment","komplinier","geschenk","geschnit","compliment","gift"
"konferenz","konfevier","sitzung","amating","conference","meeting"
"konflikt","konbeißt","streit","diszin","conflict","dispute"
"königin","könizeug","könig","kötos","queen","king"
"königlich","königtopf","königreich","königrig","royal","kingdom"
"konservativ","durchservativ","liberal","rungsberale","conservative","liberal"
"konstruktion","kongresstion","bauen","riehen","construction","build"
"kontakt","koniert","verbindung","verbingley","contact","connection"
"kontamination","schmerztamination","strahlung","kraftlung","contamination","radiation"
"kontrolle","konüberle","manipulieren","manipuschnurren","control","manipulate"
"konzept","konseys","definition","deschleunition","concept","definition"
"getreide","kovi","mehl","mese","grain","flour"
"übel","niank","krank","krisk","ill","sick"
"krankenhaus","tierkenhaus","klinik","dopnik","hospital","clinic"
"krankenwagen","scheikenwagen","hubschrauber","hubmagruber","ambulance","helicopter"
"kratzer","ariszen","prellung","ärmslung","scratch","bruise"
"kredit","krehaw","darlehen","rücklehen","credit","loan"
"kreis","krums","dreieck","dreiaki","circle","triangle"
"krieg","hilieg","schlacht","schlahdi","war","battle"
"kritisch","zautisch","politisch","polischem","critical","political"
"krone","zahne","thron","paron","crown","throne"
"kuh","lah","schwein","schwann","cow","pig"
"kultur","mietur","zivilisation","zischrecklisation","culture","civilization"
"typ","tyn","kumpel","geider","dude","bro"
"kunst","kuscht","literatur","literaricht","art","literature"
"künstler","zweitler","maler","matik","artist","painter"
"kurz","kum","lang","lari","short","long"
"kuss","kuta","umarmung","umargyle","kiss","hug"
"lächeln","läfisch","lachen","lackie","smile","laugh"
"lächerlich","läzärtlich","absurd","abselm","ridiculous","absurd"
"situation","fetuation","krise","musse","situation","crisis"
"lager","ladun","dorf","dova","camp","village"
"lampe","aripe","kerze","rosze","lamp","candle"
"landen","lapa","fliegen","schägen","land","fly"
"land","lapa","nation","idention","country","nation"
"landung","disdung","flug","flee","landing","flight"
"langsam","langtos","rasch","schnürl","slowly","quickly"
"lärm","lähu","klang","klop","noise","sound"
"lasagne","lasadeck","spaghetti","spaginsti","lasagna","spaghetti"
"laufen","laja","gehen","spazierlich","run","walk"
"leben","levard","überleben","trolleben","live","survive"
"essen","asser","mahlzeit","milazeit","food","meal"
"leer","sper","voll","prull","empty","full"
"legion","legirisch","armee","arlier","legion","army"
"leiden","disden","schmerzen","schiffzen","suffering","pain"
