"el_cue","el_fake_cue","el_target","el_fake_target","en_cue","en_target"
"ασπιρίνη","ασπιρίζα","μορφίνη","μοοξίνη","aspirin","morphine"
"αστραπή","αστρυδή","βροντή","βριητή","lightning","thunder"
"αστροναύτης","αστρονόητης","πιλότος","πίαρτος","astronaut","pilot"
"ασυνήθης","άσυνεξης","παράξενος","παραρώνος","unusual","strange"
"φύλακας","ασφαήρια","ασφάλεια","ασφαήρια","security","safety"
"ακίνδυνος","άσφαπος","ασφαλής","ασφαίνς","safe","secure"
"ατομικός","ατομονός","πυρηνικός","πυμονικός","atomic","nuclear"
"ατυχής","ακτελής","ατυχία","ατελία","unfortunate","misfortune"
"αυξάνουν","αυήινουν","περιορίζω","περιορούω","increase","reduce"
"αύριο","ρόριο","πρωί","πρρv","tomorrow","morning"
"αυτόγραφο","αυτόσηαφο","φωτογράφος","φώτογρντος","autograph","photographer"
"αυτοκρατορικός","αυτοκρατιτικός","αυτοκράτορας","αυτοκράτορευ","imperial","emperor"
"αυτοκτονία","αυτοκτχεία","δολοφονία","δολοαρνία","suicide","murder"
"αυτοψία","άυτουφα","ανάλυση","άνχουση","autopsy","analysis"
"αφελής","αφελάχ","χαζός","χάλως","naïve","stupid"
"αφελής","αφελάχ","κυνικός","μενικός","naive","cynical"
"άφιξη","joίξη","αναχώρηση","άναχρηηση","arrival","departure"
"αφοσίωση","αφοσλήση","τιμιότητα","τιτιότητα","loyalty","honesty"
"αφρική","μυρική","αμερική","αμκτική","africa","america"
"άχρηστος","άχουστος","άνευ αξίας","ανευαιξίας","useless","worthless"
"τιμωρώ","βανά τιμωρια","σύλληψη","σύρεηψη","punish","arrest"
"βαλβίδα","βαιοίδα","εξαερισμός","εξεθρισμός","valve","ventilation"
"βάρος","αύρος","ύψος","γχός","weight","height"
"βαρύς","βαέος","βαριά","εκριά","heavy","heavily"
"βαρώνος","βάνανος","κόμισσα","κόμινχα","baron","countess"
"βασανιστήριο","βαεθνιστήριο","βασανίζω","βατανιστήριο","torment","torture"
"βάση","ξήση","κεντρικά γραφεία","κεντρικααοραφεία","base","headquarters"
"oυάσιγκτoν","βασιέςτων","βοστώνη","βόστρεος","washington","boston"
"βασιλικός","βασιμοκός","βασίλειο","βάελλειο","royal","kingdom"
"βασίλισσα","βάυαλισσα","βασιλιάς","βάσιλιππ","queen","king"
"βάτραχος","ίντραχος","σαύρα","ιούρα","frog","lizard"
"βελόνα","βεζάνα","σύριγγα","σνριοία","needle","syringe"
"βήχας","βήγoς","πυρετός","πυρέψος","cough","fever"
"βιβλιοθήκη","βιβλιοκέκη","μουσείο","μουσιώο","library","museum"
"βιομηχανία","βίομηχανεμ","επιχείρηση","έπιχτηρηση","industry","business"
"βλέπω","βλύψω","συναντώ","συναηγώ","see","meet"
"βοήθεια","βόχνεια","βοηθώ","φαηθώ","help","assist"
"βοηθός","βοιχός","ιός του aids","θί","aids","hiv"
"βολή","βόξα","πυροβολώ","maαστός","shot","shoot"
"βόμβα","βοζία","εκρηκτικός","εκρηθεικός","bomb","explosive"
"βραδινό","βρλαινό","πρωινό","πρωινοάπευμα","dinner","breakfast"
"βράχος","βράχτε","πέτρα","πεσία","rock","stone"
"βροχή","βρωτή","χιόνι","χίμπι","rain","snow"
"βρυκόλακας","βροχόλακας","νυκτερίδα","βρυκξίακας","zombie","vampire"
"βρώμικος","βρμάικος","αηδιαστικός","juδιαστικός","dirty","disgusting"
"γαβάθα","γάϊτθα","πιάτο","πλάια","bowl","plate"
"γάιδαρος","γαιδαρνή","άλογο","λόογο","donkey","horse"
"γάιδαρος","γαιδαρνή","βαρέλι","τερέλι","ass","butt"
"γάλα","υέλα","χυμός","χυσές","milk","juice"
"γαμπρός","ταμπρός","νυφη","ύυχθ","groom","bride"
"γελοίος","γέλοφυς","παράλογος","παράμπγος","ridiculous","absurd"
"γενικός","νονικός","συνταγματάρχης","συνταγματαάρης","general","colonel"
"γέννηση","ψέννηση","εγκυμοσύνη","έγκυμοπονη","birth","pregnancy"
"γεννήτρια","γεοφήτρια","αντιδραστήρας","άντιδρασντρας","generator","reactor"
"γεύση","γεόλη","μυρωδιά","μυγαδιά","taste","smell"
"γευστικός","πουστικός","νόστιμο","χάστιμο","tasty","delicious"
"γέφυρα","ίνφυρα","σήραγγα","μύραγγα","bridge","tunnel"
"γη","θλ","πετώ","πέκως","land","fly"
"γιόγκα","γιτόκα","μασάζ","μάκαζ","yoga","massage"
"γκολφ","όπολφ","τένις","έσνις","golf","tennis"
"γλυκός","βαυκός","χαριτωμένος","χαριγημένος","sweet","cute"
"γνώμη","γύαρη","στάση","στύνη","opinion","attitude"
"γοητεία","γοιχεία","ομορφιά","ομορβγά","charm","beauty"
"γραμματέας","γραμμαύζας","βοηθός","βόληθακε","secretary","assistant"
"γρατσουνιά","γρλισουνιά","μώλωπας","μώοιπας","scratch","bruise"
"θρανίο","γράφαιο","γραφείο","γρελείο","desk","office"
"γρίπη","γρλψή","νόσος","λέσος","flu","disease"
"γυαλιά","γυαλύπ","καπάκι","κάιvκι","glasses","cap"
"ανένδυτος","γυφλός","γυμνός","γυλλός","nude","naked"
"γωνία","χηνία","δρομάκι","δρόμοδι","corner","alley"
"δαχτυλίδι","δαχτιγίδι","κολιέ","κουοέ","ring","necklace"
"δάχτυλο","reχτυλό","αντίχειρας","αντιχεάδας","finger","thumb"
"δεδομένα","γοδομένα","πληροφορίες","πλήροφορμης","data","information"
"δένω","γγύω","γραβάτα","γράβρμα","bind","tie"
"δεξαμενή","δέξαμερλ","μηχανή","κιρωτήρας","tank","engine"
"δέρμα","δέυλα","ιστός","ίσγος","skin","tissue"
"δευτέρα","δέυταλα","τρίτη","τάνρη","monday","tuesday"
"δευτερεύων","δέυτερψεων","πρωταρχικός","πρώταρχισας","secondary","primary"
"δευτερόλεπτο","δέλφερος","λεπτό","λεσκό","second","minute"
"δηλητήριο","κιλητήριο","σκοτώνω","σκότροω","poison","kill"
"δημιουργία","δημιουοψία","καταστροφή","καταστρούς","creation","destruction"
"δημιουργώ","δημιουοτώ","παράγω","παρανέ","create","produce"
"δημοπρασία","δημοραασία","πώληση","unλήση","auction","sale"
"δημοσιογραφία","δημολλογραφία","πολιτική","πουλτική","journalism","politics"
"ανταποκριτής","δήμοσιογταφος","δημοσιογράφος","δημοσιογράντς","reporter","journalist"
"δημοφιλής","δήμοφιπος","διάσημος","διάσολος","popular","famous"
"διαγράμματος","διφοράμματος","άσχημος","φέχημος","disgusting","ugly"
"διαδίκτυο","διαδίκμφο","ιστός","ίσγος","internet","web"
"διαδρομή","δίαδρουτ","μονοπάτι","μόνογκτι","route","path"
"διαζύγιο","δικεύγιο","γάμος","σίμος","divorce","marriage"
"διακοπή","διινοπή","ενοχλώ","ενοχημί","interrupt","disturb"
"διαμάντι","δίαμεστι","κόσμημα","κοσμήνα","diamond","jewel"
"διαμαρτυρία","διαμαρμπρία","διαδήλωση","έππλειξη","protest","demonstration"
"διαμέτρημα","διαμούρημα","σφαίρα","νιαίρα","caliber","bullet"
"διαμονή","δαφονήρη","παραμένει","πάτακανει","stay","remain"
"διανοητικός","διαναρτικός","συναίσθηματικός","συναμπθηματική","mental","emotional"
"διάρροια","διαρροσύ","ναυτία","ύαυτοτ","diarrhea","nausea"
"διασημότητα","διασχιότητα","αστέρι","αστέντ","celebrity","star"
"διάσκεψη","δίπηκεψη","συνάντηση","συναάφηση","conference","meeting"
"διάσωση","δίκεωση","αποθηκεύσετε","αποθοχεύσετε","rescue","save"
"διατηρώ","διατενώ","διατηρούν","διατπιούν","preserve","maintain"
"διαφήμιση","δίαφελιση","μάρκετινγκ","εμπούσα","advertising","marketing"
"διαχειρίζονται","διογειρίζονται","πετυχαίνω","πετυχαμέω","manage","succeed"
"διαχείριση","δίαχχεριση","κυβέρνηση","αιβέρνηση","administration","government"
"διαχείριση","δίαχχεριση","διοικητικός","διστκητικός","management","administrative"
"διεθνές","διωινές","κόσμος","κούλος","international","world"
"διευθυντής","δίευθυνταπ","αφεντικό","υμεντικό","manager","boss"
"δικαιοδοσία","δικαιοφυσία","εξουσία","εξουάρα","jurisdiction","authority"
"δικαστήριο","δικατηήριο","δικαστής","δικατηής","court","judge"
"δικηγόρος","δικηαίρος","κατήγορος","κάραγορος","lawyer","prosecutor"
"δίκτυο","δίκτφω","σύστημα","νώσφημα","network","system"
"διοικητής","δίοικηγος","καπετάνιος","καπετάρδος","commander","captain"
"διορθώσετε","διορρόσετε","επισκευάζω","έπισκελλ","fix","repair"
"διπλό","διωγό","τριπλό","τριπλοκά","double","triple"
"δίπλωμα","άμπλωμα","αποφοιτώ","αποφοιπό","diploma","graduate"
"δισκίο","διωνίο","χάπι","χάμσ","tablet","pill"
"δόση","σλσή","ένεση","ένναη","dose","injection"
"εργασία","δοεψειά","δουλειά","δολθειά","job","work"
"δούλος","δόαιος","υπηρέτης","υπηρέτοι","slave","servant"
"δράκων","γνάκων","λιοντάρι","λιγοτάρι","dragon","lion"
"δράμα","ενάμα","κωμωδία","κωνοδία","drama","comedy"
"δραματικός","δαμαρτύ","ρομαντικός","ροσφαντύ","dramatic","romantic"
"δρόμος","γνόμος","αυτοκινητόδρομος","ατυοκνητόδρχος","road","highway"
"ισχύς","δύνακε","δύναμη","ίωναμη","strength","force"
"δυναστεία","δυκοστεία","αυτοκρατορία","υατοκαρτορύ","dynasty","empire"
"δυνητικός","δυσατικός","ταλέντο","τάβλντο","potential","talent"
"δύο","κσό","τέσσερις","τέσσερμπ","two","four"
"δυσάρεστος","δυσάουστος","ακάθαρτος","ακρίαρτος","nasty","filthy"
"δυτικά","ηκτικά","ανατολή","ανατροή","west","east"
"δωμάτιο","δωμάαλο","υπνοδωμάτιο","υπνοχημάτιο","room","bedroom"
"επιχορήγημα","ψήρο","ανταμοιβή","ανταμοωχή","bonus","reward"
"δωροδοκία","γχροδοκία","εκβιασμός","έκβιασιος","bribe","blackmail"
"δώσει το έναυσμα για","έναυσμερια","θέτω εις ενέργειαν","θεωτετονέρειαν","trigger","activate"
"εγγονός","εγνωνός","ανιψιός","αθεωναξό","grandson","nephew"
"εγγύηση","έγπτηση","υπόσχεση","υπόφχεση","guarantee","promise"
"εγκέφαλος","έγωιφαλος","εγκεφαλικός","εγγυφαλικός","brain","cerebral"
"ασθενής","εγιόθα","άρρωστος","θέρωστος","ill","sick"
"εδώ","ωπώ","εκεί","οιεί","here","there"
"εθελοντής","εθελονέμς","οικειοθελώς","οικειοθείσς","volunteer","voluntarily"
"εθνικός","saνικός","παγκόσμια","πάγκδομια","national","global"
"ειδικός","τοδικός","μοναδικός","μονατοκός","special","unique"
"εικόνα","ειγίνα","φωτογραφία","φωτογρλεία","picture","photo"
"ειρηνικός","τορηνικός","ατλαντικός","κολαντικός","pacific","atlantic"
"ειρωνεία","ειλννεία","ειρωνικός","ειρωπικός","irony","ironic"
"εισάγετε","έιτογετε","βάζω","βάγκ","insert","put"
"εισάγω","εισαλώ","πηγαίνω","μιγαίνω","enter","go"
"εισβολή","ειντολή","επίθεση","ατίθεση","invasion","attack"
"εισιτήριο","έισικαριο","διαβατήριο","διαβατίζιο","ticket","passport"
"εκατομμύριο","έκατομηρριο","δισεκατομμύριο","δισεκατοσεύριο","million","billion"
"εκατομμυριούχος","εκατομητριούχος","επιχειρηματίας","επιχειοιματίας","millionaire","entrepreneur"
"εκδίκηση","εκθήκηση","δικαιοσύνη","δικαλνσύνη","revenge","justice"
"δίκαιος","ήφθεση","λογικός","λόγισμς","fair","reasonable"
"εκθεσιακός χώρος","εκθενηακος χώρος","έκθεση","ρίθεση","gallery","exhibition"
"εκκλησία","εκκλτεία","παρεκκλήσι","πάρεκκωτσι","church","chapel"
"εκπληκτικός","εκπλδυτικός","φανταστικός","βονταστικός","wonderful","fantastic"
"έκπληξη","εκπλάλη","απογοήτευση","απογνότευση","surprise","disappointment"
"έκρηξη","όυρηξη","εκραγεί","εκφυγμετί","burst","explode"
"ελάχιστο","έληθιστο","ανώτατος","τοβιολύ","minimum","maximum"
"έλεγχος","μυέγχος","επαληθεύω","κκαληθεύω","check","verify"
"έλεγχος","μυέγχος","χειραγωγώ","χειραγοπώ","control","manipulate"
"ελευθερία","ελευδωρία","δημοκρατία","κιμοκρατία","freedom","democracy"
"ελεύθερα","ελευθείτς","ελεύθερος","ελεύαιρος","freely","free"
"ελκυστικός","ελπαστικός","γοητευτικός","ινητευτικός","attractive","charming"
"ελπίδα","έλικδα","πίστη","όπστη","hope","faith"
"εμπειρία","εμπεολία","γνώση","οςγνώση","experience","knowledge"
"εμπειρογνώμονας","εμπειρογόρμονας","ειδικός","τοδικός","expert","specialist"
"εμπιστοσύνη","εμπιστοσάση","πιστεύω","πίστατω","trust","believe"
"εμπνέω","εμπνίφ","έμπνευση","έμβοευση","inspire","inspiration"
"εμπόδιο","εμπόητο","πρόκληση","πρόκληθε","obstacle","challenge"
"εμπορικός","έμποριορς","έμπορος","έμπουςς","commercial","merchant"
"εμπρός","εμηγός","όπισθεν","μμίσθεν","front","rear"
"ευγενικός","εμπέλιος","στρατός","στράυνς","civil","military"
"ένας","όμας","τρία","τρέν","one","three"
"ένδοξος","ένδοΐας","δόξα","σλέξα","glorious","glory"
"ενεργός","ενερέβς","δραστηριότητα","γναστηριότητα","active","activity"
"ενήλικας","ενώσικας","γονέας","μησεικη εταιρεία","adult","parent"
"ενθουσιασμός","ενθουσιασμεί","πάθος","παμές","enthusiasm","passion"
"ενίοτε","ενούτε","σπανίως","κμανίως","occasionally","rarely"
"έννοια","ύπνοια","ορισμός","όρισιος","concept","definition"
"έννοια","ύπνοια","σημασια","σήμαυτα","meaning","importance"
"ενοικίαση","ένοιτραση","ενοίκιο","ένεκκιο","hire","rent"
"ενοικιαστής","ενοικινςτής","σπιτονοικοκύρης","σπιτοναςκοκύρης","tenant","landlord"
"ενότητα","ένηςητα","παράγραφος","παράλφαφος","section","paragraph"
"ένστικτο","ένστρετο","διαίσθηση","διέγσθηση","instinct","intuition"
"εντάξει","ένουξει","ναι","γόι","okay","yeah"
"εντολή","έντουσ","σειρά","σεηνά","command","order"
"εντύπωση","ενώθπωση","συναίσθημα","συύαισευμα","impression","feeling"
"εντυπωσιακό","έντυπωσιβιο","φοβερό","φόαδρο","impressive","amazing"
"εντυπωσιακός","εντυπωσιακάτ","θεαματικός","θειαατικός","sensational","spectacular"
"εξαιρετικός","εξομρετικός","αξιοσημείωτος","αξιοσημεαύτος","exceptional","remarkable"
"εξαλείφω","εξαλειοή","αφαιρώ","αφαιχή","eliminate","remove"
"εξέλιξη","οσέλιξη","μετάλλαξη","μένελλαξη","evolution","mutation"
"εξετάζω","εξβγάζω","ερευνώ","έρευγμ","examine","investigate"
"εξέταση","ηρέταση","επιθεώρηση","επιθέσρηση","examination","inspection"
"εξήγηση","εξάνηση","εύλογος","άρλογος","explanation","plausible"
"έξοδος","ρυόδος","είσοδος","είεςδος","exit","entrance"
"εξοπλισμός","ιροπλισμός","εξοπλίζω","εξοπλίσα","equipment","equip"
"εξουσία","εξουάρα","ενέργεια","ενέρθηια","power","energy"
"έξοχος","anόχος","μεγάλος","μέτελος","excellent","great"
"ξύπνιος","έξευνος","έξυπνος","έξεννος","smart","intelligent"
"έξω","ύνω","σχετικά με","σχέτικφιμε","out","about"
"έξω","έξενεζαπ","μέσα","μέξι","outside","inside"
"εξαιρετικά","έπακαϊς","πολύ","πόlk","extremely","very"
"επείγων","έποιγων","επείγον","επείδιν","urgent","emergency"
"επεξεργάζομαι","δίαδικαμοα","διαδικασία","διαδικοπία","process","procedure"
"επέτειος","επέτογος","γενέθλια","γέωρθλια","anniversary","birthday"
"επιβάτης","επσκάτης","οδηγός","οδωπός","passenger","driver"
"επιβεβαίωση","έπιβεβρτωση","επιβεβαιώνω","επιβεβαιάρω","confirmation","confirm"
"επιδόρπιο","επιδορύρο","κέικ","ράικ","dessert","cake"
"επιθεωρητής","επιθτηρητής","επίτροπος","επίταγπος","inspector","commissioner"
"επιθυμία","εποθόρα","ευχή","επαθερί","desire","wish"
"κινδυνώδης","έπικετδυνος","επικίνδυνος","έπικετδυνος","risky","dangerous"
"επικοινωνία","επικοιοινία","σύνδεση","σνπίεση","contact","connection"
"διαλέγω","επριέγω","επιλέγω","έπιλλθω","choose","select"
"διαλέγω","εποδογή","επιλογή","επιλεχή","choice","option"
"επιπλέον","επιπάγον","πρόσθετος","πρμάθετος","extra","additional"
"επιρροή","επλτροή","επίδραση","άποτημεσμα","influence","effect"
"επίσημα","επίστια","επίσημος","έππλημος","officially","official"
"επίσκοπος","επίσταπος","καρδινάλιος","καρδμβάλιος","bishop","cardinal"
"επιτρέπω","επιτρέκα","αφήνω","αφύγω","allow","let"
"επιτρέπω","επιτρέκα","προμηθεύω","προμοπεύω","enable","provide"
"διορισμός","έπιτρουε","επιτροπή","επψαροπή","commission","committee"
"επιτυχία","έπατοσχα","αποτυχία","άπατιυχι","success","failure"
"λειτουργικός","επιχμωρήσεων","πρακτικός ","λετσουργικός","operational","functional"
"ερασιτέχνης","έρασιτυπνης","επαγγελματίας","επιφγελματίας","amateur","professional"
"εργαλείο","έργαλεκη","όργανο","όρλωνο","tool","instrument"
"εργαστήρι","εργασττέι","γκαράζ","γκάρτο","workshop","garage"
"έργο","έρευ","αποστολή","άποστοξα","task","mission"
"εργασία","έρευ","πρόγραμμα","πρόγρααγα","project","program"
"εργοστάσιο","ερδωστάσιο","παραγωγή","παραδιγή","factory","production"
"έρευνα","ερσένα","μελέτη","μελέκτ","research","study"
"έρημος","έρθεος","κοιλάδα","κοιλέτα","desert","valley"
"ερωμένη","ερβαένη","εραστής","τοαστής","mistress","lover"
"ερώτηση","έρφρηση","ρωτάω","παρακατό","question","ask"
"εσωτερικός","ανωτερικός","εξωτερικός","εξωτερικεί","internal","external"
"εταιρεία","μοαιρεία","πρακτορείο","πρακτορεμί","firm","agency"
"εταιρία","έταισχα","επιχείρηση ","μοαιρεία","company","corporation"
"έτοιμος","έτραμος","προετοιμάζω","πρότεοιμαω","ready","prepare"
"ευγενής","έυγειος","γενναίος","γέννωπος","noble","brave"
"ευγενικός","ευνονικός","φιλικός","γάλακας","polite","friendly"
"ευγνώμων","ευγνγίων","ευχαριστώ","ευστριστώ","grateful","thank"
"ευθύνη","ευύμνη","καθήκον","καθήσων","responsibility","duty"
"ευκαιρία","ευφυιρία","δυνατότητα","δυνατόνιτα","chance","possibility"
"ευχαρίστηση","ευχαρίζοηση","χαρά","χάστ","pleasure","joy"
"εφηβική","εφλπική","νεαρός","νεστός","teenage","teenager"
"εφιάλτης","εφάλτιο","όνειρο","νάειρο","nightmare","dream"
"εχθρός","εδθρός","αντίπαλος","αντίβολος","enemy","opponent"
"ζάχαρη","ζάντρη","σοκολάτα","σοκολάνγ","sugar","chocolate"
"ζεστό","μυστό","κρύο","κράφ","hot","cold"
"ζεστός","ζεργός","δροσερός","δραφερός","warm","cool"
"ζηλιάρης","χελιάρης","θυμωμένος","θυνομένος","jealous","angry"
"ζήτηση","υγτήση","αίτηση","όστηση","demand","request"
"ζούγκλα","ζονγόκα","δάσος","εώσος","jungle","forest"
"ζω","θρ","επιζώ","επυλώ","live","survive"
"ζωντανός","σαντανός","νεκρός","νεοιός","alive","dead"
"ζωολογικός κήπος","ζηολογικοβό","τσίρκο","τσξάκο","zoo","circus"
"η δύση του ηλίου","ίωδυση του ηλιου","αυγή","αυθό","sunset","dawn"
