en_target,en_cue,en_fake_cue,en_fake_target,cs_cue,cs_target,cs_fake_target,cs_fake_cue,da_cue,da_target,da_fake_target,da_fake_cue,de_cue,de_target,de_fake_target,de_fake_cue,ja_target,ja_cue,ja_fake_target,ja_fake_cue,ko_target,ko_cue,ko_fake_cue,ko_fake_target,ru_target,ru_cue,ru_fake_cue,ru_fake_target,tr_target,tr_cue,tr_fake_cue,tr_fake_target,en_word_combo,en_target_word_unique,cs_word_combo,cs_target_word_unique,ja_word_combo,ja_target_word_unique,ko_word_combo,ko_target_word_unique,tr_word_combo,tr_target_word_unique,ru_word_combo,ru_target_word_unique
accompany,escort,escalf,acgrandpany,eskortovat,doprovázet,doprovákojmí,eskortostroj,eskortere,ledsage,seksuge,brændkortere,geleiten,begleiten,bekempern,befahlten,同行する,護衛,回荇むさ,談街,동반하다,호위,늬가,비텅하다,сопровождать,эскорт,эсмонс,сопрожордать,eşlik etmek,refakat etmek,eskunc,eşlik edolyn,escortaccompany,accompany,eskortovatdoprovázet,doprovázet,護衛同行する,同行する,호위동반하다,동반하다,refakat etmekeşlik etmek,eşlik etmek,эскортсопровождать,сопровождать
accusation,complaint,comtrains,accusahadev,stížnost,obvinění,obprázdnění,smetnost,klage,anklage,anstænge,menge,beschwerde,anklage,anüberge,benachtsde,告発,苦情,吾登,若惜,비난,불평,탕을,수류,обвинение,жалоба,жаложеба,обвинество,suçlama,şikayet,şikazanç,inanlama,complaintaccusation,accusation,stížnostobvinění,obvinění,苦情告発,告発,불평비난,비난,şikayetsuçlama,suçlama,жалобаобвинение,обвинение
act,gesture,cheture,vut,gesto,čin,lůžto,kán,gestus,handling,usædling,gesnit,geste,handlung,festlung,dayte,行為,ジェスチャー,孝旅,状財ケヒホ,행동,몸짓,스해,샤바,поступок,жест,жета,дейтесьвать,davranmak,jest,mifer,davoturmak,gestureact,act,gestočin,čin,ジェスチャー行為,行為,몸짓행동,행동,jestdavranmak,davranmak,жестпоступок,поступок
activate,trigger,grapger,actiskin,spustit,aktivovat,spusem,spouěm,udløse,aktivere,ledsativere,udstilse,auslöser,aktivieren,astivieren,abweh,起動する,始動させる,信袍そに,館ほぬせけ,활성화,방아쇠,그럽진,화신화,активировать,вызывать,вызындать,активироулингс,etkinleştirmek,tetiklemek,tespermlemek,breaktif hale getirmek,triggeractivate,activate,spustitaktivovat,aktivovat,始動させる起動する,起動する,방아쇠활성화,활성화,tetiklemeketkinleştirmek,etkinleştirmek,вызыватьактивировать,активировать
activity,active,acless,accrossity,aktivní,aktivita,aklantní,akcentní,aktiv,aktivitet,aktividring,akker,aktiv,aktivität,aktividenz,aklon,アクティビティ,アクティブ,クラティビティ,いつティブ,활동,활동적인,혼강적운,디면,активность,активный,акнальный,актительность,aktivite,aktif,aklat,aktirecekte,activeactivity,activity,aktivníaktivita,aktivita,アクティブアクティビティ,アクティビティ,활동적인활동,활동,aktifaktivite,aktivite,активныйактивность,активность
actor,author,autash,accep,autor,herec,henus,auvit,forfatter,skuespiller,foredespiller,forskelter,autor,schauspieler,schauhändler,augus,俳優,著者,ヌト,健て,배우,작가,걱자,릿을,актер,автор,авкам,акним,aktör,yazar,yalün,akmis,authoractor,actor,autorherec,herec,著者俳優,俳優,작가배우,배우,yazaraktör,aktör,авторактер,актер
additional,extra,exent,addinatesal,doplňkový,dodatečný,dodaskromný,doztroskový,ekstra,yderlig,drenlig,ekbyrd,extra,zusätzlich,zutrauflich,exdas,追加の,余分の,鮫戦の,泉素の,부가적인,추가의,장주,역반의,дополнительный,добавочный,добратечный,добратьснительный,fazladan,ekstra,opatra,ek olzanç,extraadditional,additional,doplňkovýdodatečný,dodatečný,余分の追加の,追加の,추가의부가적인,부가적인,ekstrafazladan,fazladan,добавочныйдополнительный,дополнительный
address,number,ricber,addates,číslo,adresa,uvězresa,hmolo,nummer,adresse,jurisse,plamer,nummer,adresse,aschwirt,nammel,住所,番号,ブロ,核当,주소,번호,로움,미하,адрес,номер,нохкер,адчия,adres,numara,korkmara,adyüm,numberaddress,address,čísloadresa,adresa,番号住所,住所,번호주소,주소,numaraadres,adres,номерадрес,адрес
administrative,management,managetive,administravenous,řízení,správní,uprchní,říhlavní,ledelse,administrativ,administraleskop,legionse,management,administrativ,administraschlag,minangement,管理の,管理,該香ち,卸け,행정,관리,프는,아에,административный,управление,незналение,администрачатенный,yönetimsel,yönetmek,yöezilmek,yöneider,managementadministrative,administrative,řízenísprávní,správní,管理管理の,管理の,관리행정,행정,yönetmekyönetimsel,yönetimsel,управлениеадминистративный,административный
adrenaline,hormone,horbolt,reseraline,hormon,adrenalin,oplznalin,horžít,hormon,adrenalin,hjørnalin,læsmon,hormon,adrenalin,adrenalicolin,blumon,アドレナリン,ホルモン,アトナレリン,ルホモン,아드레날린,호르몬,저연먼,날가겠레린,адреналин,гормон,горбжон,адренапасть,adrenalin,hormon,makmon,adrenayecek,hormoneadrenaline,adrenaline,hormonadrenalin,adrenalin,ホルモンアドレナリン,アドレナリン,호르몬아드레날린,아드레날린,hormonadrenalin,adrenalin,гормонадреналин,адреналин
advise,advice,adlake,adines,rada,radit,ratón,rasis,råd,rådgive,ståmegive,gjolm,rat,beraten,berabatt,oht,アドバイス,助言,ドアバイス,力言,충고하다,조언,큐를,지낼다,советовать,совет,совеко,советоплесс,öğüt vermek,tavsiye,progsiye,idiy vermek,adviceadvise,advise,radaradit,radit,助言アドバイス,アドバイス,조언충고하다,충고하다,tavsiyeöğüt vermek,öğüt vermek,советсоветовать,советовать
agency,firm,fizi,whency,firma,agentura,vtiptura,vlhma,firma,bureau,bupert,epima,firma,agentur,aquatur,lerma,エージェンシー,ファーム,バルジェンシー,ノマーム,대행사,기업,한는봤,해다사,агентство,фирма,фирмама,азертство,ajans,firma,ilama,krans,firmagency,agency,firmaagentura,agentura,ファームエージェンシー,エージェンシー,기업대행사,대행사,firmaajans,ajans,фирмаагентство,агентство
agreement,contract,congrate,greatment,smlouva,dohoda,doovláda,sekunva,kontrakt,aftale,afsnitle,konstalt,vertrag,vereinbarung,zurechmung,verning,合意,契約,台恵,奨紂,합의,계약,예할,스이,соглашение,договор,догобишь,согменьшение,anlaşma,sözleşme,uyanleşme,andersma,contractagreement,agreement,smlouvadohoda,dohoda,契約合意,合意,계약합의,합의,sözleşmeanlaşma,anlaşma,договорсоглашение,соглашение
airport,terminal,termities,fanport,terminál,letiště,lenosttě,lenostě,terminal,lufthavn,længhavn,funkminal,terminal,flughafen,handhafen,termimung,空港,駅,トヌ,斉椎,공항,터미널,똥에기,끊비,аэропорт,терминал,термиринал,здрапорт,havalimanı,terminal,termiting,kingsbvalimanı,terminalairport,airport,terminálletiště,letiště,駅空港,空港,터미널공항,공항,terminalhavalimanı,havalimanı,терминалаэропорт,аэропорт
alarm,alert,idert,allim,poplach,alarm,onarm,poflikt,advare,alarmere,brilmere,bjert,warnen,alarm,allom,wasnen,警報,警戒している,落じ,弥賛るてしう,경보,알림,배당다,질걸,тревога,оповещение,оповествение,вествога,alarm,tetikte,alipm,learm,alertalarm,alarm,poplachalarm,alarm,警戒している警報,警報,알림경보,경보,tetiktealarm,alarm,оповещениетревога,тревога
alibi,motive,modate,aliwell,motiv,alibi,dřebi,movol,motiv,alibi,fælbi,smoder,motiv,alibi,selbi,molon,アリバイ,動機,アリリろ,言欠ず,구실,동기,맏얼,니날,алиби,мотив,мочрезв,дайби,mazeret,güdü,kristive,kılbi,motivealibi,alibi,motivalibi,alibi,動機アリバイ,アリバイ,동기구실,구실,güdümazeret,mazeret,мотивалиби,алиби
alien,ufo,rão,alyin,ufo,mimozemšťan,mimotrestat,špo,ufo,alien,loken,nødo,ufo,alien,itein,vöo,エイリアン,宇宙船,減謝リアン,字由舶,외계인,미확인 배행물체,안톤인 동캐재,비오인,пришелец,нло,рбо,пошелец,uzaylı,ufo,övo,yaakılcı,ufoalien,alien,ufomimozemšťan,mimozemšťan,宇宙船エイリアン,エイリアン,미확인 배행물체외계인,외계인,ufouzaylı,uzaylı,нлопришелец,пришелец
alley,corner,vulner,alfon,roh,alej,suh,ush,hjørne,gyde,sesde,ejenne,ecke,gasse,zeise,hüke,路地,角,さひ,ベー,골목,구석,번쯤리,치럭,аллея,угол,угух,алнён,sokak,köşe,kögan,sodeş,corneralley,alley,rohalej,alej,角路地,路地,구석골목,골목,köşesokak,sokak.1,уголаллея,аллея
alpha,bravo,offvo,albey,bravo,alfa,alnáš,přívo,bravo,alfa,aljon,sønvo,bravo,alpha,allek,danvo,アルファ,ブラボー,アル改羊,ブラ込む,알파의,브라보,이동보,까의먹,анна,борис,толрис,фанфа,alfa,bravo,colvo,alrik,bravoalpha,alpha,bravoalfa,alfa,ブラボーアルファ,アルファ,브라보알파의,알파의,bravoalfa,alfa,борисанна,анна
amazing,impressive,impreshead,flating,impozantní,úžasný,znamný,impovstupní,imponerende,utrolig,utroment,imponehalskæde,beeindruckend,erstaunlich,früle,beeindruwurst,すばらしい,印象的,申じらじい,提宴約,놀라운,인상깊은,적렀들인,거였운,удивительный,впечатляющий,впескорбляющий,удивидучтоно,harika,etkileyici,etkileyienerys,haayakka,impressiveamazing,amazing,impozantníúžasný,úžasný,印象的すばらしい,すばらしい,인상깊은놀라운,놀라운,etkileyiciharika,harika,впечатляющийудивительный,удивительный
america,africa,yurica,hartica,afrika,amerika,oslarika,uvolrika,afrika,amerika,hvidrika,fortka,afrika,amerika,feldrika,breika,アメリカ,アフリカ,州のリカ,糸急リカ,미국,아프리카,아프시스,워야,америка,африка,светрика,польрика,amerika,afrika,sürprika,ilişrika,africaamerica,america,afrikaamerika,amerika,アフリカアメリカ,アメリカ,아프리카미국,미국,afrikaamerika,amerika,африкаамерика,америка
amount,sum,asm,amouhi,součet,množství,ujížství,souříš,sum,beløb,bekus,håm,summe,betrag,halge,prome,額,合計,きと,見袋,양,총,있질합,거창,сумма,итог,октог,сумнаж,miktar,toplam,adamlamak,ititar,sumamount,amount,součetmnožství,množství,合計額,額,총양,양,toplammiktar,miktar,итогсумма,сумма
analysis,autopsy,acurtsy,apolosis,pitva,analýza,techlýza,vatva,obduktion,analyse,mellyse,obdukment,autopsie,analyse,scholyse,autoppeln,分析,検死,源子,段且,분석,부검,앞으,식들,анализ,вскрытие,вскрымым,аначут,analiz,otopsi,eteksi,anabar,autopsyanalysis,analysis,pitvaanalýza,analýza,検死分析,分析,부검분석,분석,otopsianaliz,analiz,вскрытиеанализ,анализ
angry,jealous,quadous,antot,žárlivý,rozzlobený,gentlebený,zvětlivý,jaloux,vred,tied,javogn,eifersüchtig,wütend,wübank,völdisch,腹を立てて,嫉妬深い,復さ市ちさ,姥始梨せ,화난,질투하는,숨카하는,짱이,сердитый,ревнивый,ревнистрый,сердиджея,kızgın,kıskanç,kısrack,sibizli,jealousangry,angry,žárlivýrozzlobený,rozzlobený,嫉妬深い腹を立てて,腹を立てて,질투하는화난,화난,kıskançkızgın,kızgın,ревнивыйсердитый,сердитый
animal,beast,trast,aniness,bestie,zvíře,linře,hintie,bæst,dyr,æst,bæpe,biest,tier,tika,gört,動物,獣,頻似,建の,동물,짐승,증어,즈는,животное,зверь,жоерь,жигнусное,hayvan,canavar,canading,haytif,beastanimal,animal,bestiezvíře,zvíře,獣動物,動物,짐승동물,동물,canavarhayvan,hayvan,зверьживотное,животное
ant,bee,οse,anc,včela,mravenec,vzpovenec,larla,bi,myre,subre,bå,biene,ameise,akrose,munne,蟻,蜂,ナッ,兄出,개미,벌,찌꺼,장창,муравей,пчела,сатла,мурамий,karınca,arı,bal araring,kaidaica,beeant,ant,včelamravenec,mravenec,蜂蟻,蟻,벌개미,개미,arıkarınca,karınca,пчеламуравей,муравей
apartment,house,honke,blastment,dům,byt,ont,lum,hus,lejlighed,hvorlighed,hes,haus,wohnung,lännung,aust,アパート,家,パアート,弓え,아파트,집,었썼,취파충,квартира,дом,дил,мертира,apartman,ev,ıl,inançman,houseapartment,apartment,důmbyt,byt,家アパート,アパート,집아파트,아파트,evapartman,apartman,домквартира,квартира
appreciate,admire,adsas,apprecisions,obdivovat,vážit si,vážitchvy,vážchvy si,beundre,værdsætte,forskætte,beunstof,bewundern,schätzen,achilzen,bewunsche,感謝する,称賛する,恕射ゆね,弥贄ゆね,고마워하다,존경하다,배대내키,맛도워하다,ценить,восхищаться,восхитаться,цеклеть,takdir etmek,beğenmek,beişitmek,tagbir ebmek,admireappreciate,appreciate,obdivovatvážit si,vážit si,称賛する感謝する,感謝する.1,존경하다고마워하다,고마워하다,beğenmektakdir etmek,takdir etmek,восхищатьсяценить,ценить
approval,permission,permistors,apphoned,povolení,schválení,uzdralení,poslechlení,tilladelse,godkendelse,skilskendelse,skræmladelse,erlaubnis,genehmigung,genehmsake,erfolgnis,承認,許可,券葱,訳竒,승인,허가,우랜,렀죠,одобрение,разрешение,разрешествие,класрение,onay,izin,vain,onhe,permissionapproval,approval,povoleníschválení,schválení,許可承認,承認,허가승인,승인,izinonay,onay,разрешениеодобрение,одобрение
architect,engineer,engiboro,archilish,inženýr,architekt,archienix,inževích,ingeniør,arkitekt,arkibyrd,ingenistand,ingenieur,architekt,archinith,idenniker,設計者,技術者,鋭訂考,岐剎考,건축가,엔지니어,엔지빈스,사청가,архитектор,инженер,инжествель,архитекгнать,mimar,mühendis,mühenlard,mirey,engineerarchitect,architect,inženýrarchitekt,architekt,技術者設計者,設計者,엔지니어건축가,건축가,mühendismimar,mimar,инженерархитектор,архитектор
arm,hand,iend,irm,ruka,paže,patit,nička,hånd,arm,sem,sond,hand,arm,irm,hago,腕,手,イバ,デザ,팔,손,할겁,위단,рука,ладонь,ладоля,лочка,kol,el,çe,byl,handarm,arm,rukapaže,paže,手腕,腕,손팔,팔,elkol,kol,ладоньрука,рука
armor,shield,shakod,arnum,štít,zbroj,icroj,šted,skjold,rustning,støtning,skjogi,schild,rüstung,mootung,safeld,鎧,盾,令み,視見,갑옷,방패,트칠,탕발,броня,щит,щят,лезня,zırh,kalkan,kalgim,zoğa,shieldarmor,armor,štítzbroj,zbroj,盾鎧,鎧,방패갑옷,갑옷,kalkanzırh,zırh,щитброня,броня
armory,arsenal,arseberg,aroney,arzenál,zbrojnice,struknice,arzevost,arsenal,våbenkammer,våbenkamligt,arsefest,arsenal,waffenkammer,waffenreichmer,arsespre,武装,武器庫,移荘,際週仔,무기고,병기고,걸고고,발정고,оружейный склад,арсенал,арселон,окружежный шклед,tüfekhane,cephanelik,mönhanelik,zoğa,arsenalarmory,armory,arzenálzbrojnice,zbrojnice,武器庫武装,武装,병기고무기고,무기고,cephaneliktüfekhane,tüfekhane,арсеналоружейный склад,оружейный склад
army,legion,leride,eamy,legie,armáda,arfielda,lepen,legion,hær,arren,lenavn,legion,armee,arlier,legirisch,軍,軍団,留ま,タホ,군대,부대,폼에,히기,армия,легион,легитель,арцах,ordu,lejyon,zilyon,lundu,legionarmy,army,legiearmáda,armáda,軍団軍,軍,부대군대,군대,lejyonordu,ordu,легионармия,армия
around,round,roned,arand,kolo,kolem,kosat,koneč,rundt,omkring,omstand,gyndt,rund,herum,umfunkrum,carden,その周り,円形,その近約,肘罪,주위에,둥근,탓입,코끼에,около,вокруг,мозгруг,филло,etrafında,dönmek,yuvarford,etrabarksda,roundaround,around,kolokolem,kolem,円形その周り,その周り,둥근주위에,주위에,dönmeketrafında,etrafında,вокругоколо,около
arrest,punish,savish,arnels,potrestat,zatknout,pokoustat,zachvele,straffe,anholde,ansvarde,astrofe,bestrafen,festnehmen,lungnahme,bedienfen,逮捕する,罰する,花家さほ,毎田る,체포,벌하다,빈둥다,틱스,арестовывать,наказывать,наказыствовать,арбатывать,tutuklamak,cezalandırmak,cezalandırenerys,tuinançlamak,punisharrest,arrest,potrestatzatknout,zatknout,罰する逮捕する,逮捕する,벌하다체포,체포,cezalandırmaktutuklamak,tutuklamak,наказыватьарестовывать,арестовывать
arrogance,ignorance,ignohawks,arropared,neznalost,arogance,hlavgance,neznamech,uvidenhed,arrogance,arrogankomst,trygdenhed,ignoranz,arroganz,arrodoon,ignoscan,傲慢,無知,プー,問の,거만,무지함,자젠,초만,высокомерие,невежество,одолжество,высокомемкнуть,kibir,cehalet,cehaving,kigun,ignorancearrogance,arrogance,neznalostarogance,arogance,無知傲慢,傲慢,무지함거만,거만,cehaletkibir,kibir,невежествовысокомерие,высокомерие
artery,vein,vuin,artelf,žíla,tepna,rárna,snála,vene,pulsåre,pulsøge,skilk,vene,arterie,artetert,forne,動脈,静脈,恋り,職夕,동맥,정맥,블카,락이,артерия,вена,венто,артезать,atardamar,toplardamar,xon,ardia,veinartery,artery,žílatepna,tepna,静脈動脈,動脈,정맥동맥,동맥,toplardamaratardamar,atardamar,венаартерия,артерия
artificial,natural,shipural,artifimates,přírodní,umělý,příchotní,přístupní,naturlig,kunstig,mærstig,naskellig,natürlich,künstlich,schentlich,natürchen,人工的な,自然の,囚工玉鉄,呆険ユラル,인공의,자연스러운,사중년업운,탕좋의,искусственный,естественный,компаственный,искусклассный,yapay,doğal,dopoc,yahım,naturalartificial,artificial,přírodníumělý,umělý,自然の人工的な,人工的な,자연스러운인공의,인공의,doğalyapay,yapay,естественныйискусственный,искусственный
artillery,cavalry,sidealry,arsellers,kavalerie,dělostřelectvo,dělothbroklectvo,děloborolectvo,kavaleri,artilleri,artilstrækri,katolskleri,kavallerie,artillerie,arschenlerie,kalischlerie,砲兵,騎兵,ちぞ,モべ,포술,기병대,로미대,얼씨,артиллерия,кавалерия,кавалествия,ароформлерия,topçu,süvari,bratvari,kukçu,cavalryartillery,artillery,kavaleriedělostřelectvo,dělostřelectvo,騎兵砲兵,砲兵,기병대포술,포술,süvaritopçu,topçu,кавалерияартиллерия,артиллерия
ask,question,weektion,ulk,vyslýchat,ptát se,vtip se,vyslýstup,spørgsmål,spørge,stjæge,spørgsken,frage,fragen,bosgen,mayge,尋ねる,質問,文ねる,抗討,물어보기,의문,올렛,통아지길,спрашивать,вопрос,востоп,прослуш,sormak,soru,sonün,soh,questionask,ask,vyslýchatptát se,ptát se,質問尋ねる,尋ねる,의문물어보기,물어보기,sorusormak,sormak,вопросспрашивать,спрашивать
assassin,mercenary,mercepled,assasnees,žoldák,asasín,brýsín,žolšel,lejesoldat,snigmorder,jomdroder,lejesolstisk,söldner,attentäter,attentrichter,sauener,暗殺者,傭兵,失配者,蚕契,암살자,용병,벅허,짐자승,ассасин,наемник,наемлость,асабрин,suikastçi,paralı asker,paağırlı,asinersin,mercenaryassassin,assassin,žoldákasasín,asasín,傭兵暗殺者,暗殺者,용병암살자,암살자,paralı askersuikastçi,suikastçi,наемникассасин,ассасин
assist,help,helk,asfice,zabránit,pomoct,pojekt,zachonit,hjælpe,assistere,skræmsistere,fjerpe,hilfe,helfen,wanfen,rusfe,支援する,助ける,予暖むの,祖にむ,원조하다,도움,인에,언스,содействовать,помогать,погомать,кобействовать,destek olmak,yardım etmek,yardım banks,tutdım,helpassist,assist,zabránitpomoct,pomoct,助ける支援する,支援する,도움원조하다,원조하다,yardım etmekdestek olmak,destek olmak,помогатьсодействовать,содействовать
assistance,support,suplent,assiscians,podpora,asistence,sekunstence,rychpora,støtte,hjælp,øvælp,snavte,unterstützung,hilfe,unife,unterzeichzung,援助,支援,暖勉,予暖,보조,지원하다,나아하다,악감,содействие,поддержка,неопрежка,содеймость,yardım,destek,desque,tutdım,supportassistance,assistance,podporaasistence,asistence,支援援助,援助,지원하다보조,보조,destekyardım,yardım,поддержкасодействие,содействие
assistant,secretary,secreveal,assishole,sekretářka,asistent,asischař,sekrezkouška,sekretær,assistent,assibling,sekrebold,sekretärin,assistent,assisnon,sekregels,アシスタント,秘書,ガレスタント,じに,조수,비서,기과,진범스턴트,ассистент,секретарь,секрекрыл,ассирознь,asistan,sekreter,çiftreter,akiztan,secretaryassistant,assistant,sekretářkaasistent,asistent,秘書アシスタント,アシスタント,비서조수,조수,sekreterasistan,asistan,секретарьассистент,ассистент
assumption,conclusion,conclutors,astroltion,závěr,předpoklad,předpočích,zálad,konklusion,antagelse,antalinge,konklument,fazit,annahme,antreime,fasüß,仮説,結論,阪詛,紹倫,추정,결론,트씨,좌를,предположение,заккючение,заключепец,оскорбложение,varsayım,çıkarım,çötez,varsaatin,conclusionassumption,assumption,závěrpředpoklad,předpoklad,結論仮説,仮説,결론추정,추정,çıkarımvarsayım,varsayım,заккючениепредположение,предположение
atlantic,pacific,patrasic,attantes,pacifik,atlantik,atlangley,pacicech,stillehavet,atlanterhavet,atlanterhabilæum,fjernlehavet,pazifik,atlantik,atlandungs,pazitreu,大西洋の,太平洋の,夭茜汗ぬ,夭干汗ぬ,대서양,태평양,양거본,더새양,атлантический,тихоокеанский,тихоокеандерский,атмультический,atlantik,pasifik,pasiburg,attirttik,pacificatlantic,atlantic,pacifikatlantik,atlantik,太平洋の大西洋の,大西洋の,태평양대서양,대서양,pasifikatlantik,atlantik,тихоокеанскийатлантический,атлантический
atmosphere,environment,environhouse,atmosrence,prostředí,atmosféra,sekunmosféra,protěžedí,miljø,atmosfære,skræmmosfære,eksøj,umwelt,atmosphäre,atmodernsre,emwalt,雰囲気,環境,徒る気,横た,공기,환경,좀실,긷기,атмосфера,обстановка,обстановкла,атморазыгра,atmosfer,çevre,önere,atmoskins,environmentatmosphere,atmosphere,prostředíatmosféra,atmosféra,環境雰囲気,雰囲気,환경공기,공기,çevreatmosfer,atmosfer,обстановкаатмосфера,атмосфера
attack,invasion,invacant,attort,invaze,útok,útíč,zprávaze,invasion,angreb,ansert,invament,invasion,attacke,attagung,instression,攻撃,侵入,改繋,侍卜,공격,침략,다며,실과,атака,вторжение,мерзжение,атангшка,saldırı,istila,isaraçla,ayırdırı,invasionattack,attack,invazeútok,útok,侵入攻撃,攻撃,침략공격,공격,istilasaldırı,saldırı,вторжениеатака,атака
attacker,victim,vicads,atkeiner,oběť,útočník,úžasník,obho,offer,angriber,angriskab,ofkal,opfer,angreifer,anthrofer,oplos,加害者,被害者,架吉者,単場者,공격자,피해자,짓이자,때문자,атакующий,жертва,охотва,школькующий,saldırgan,kurban,kurnem,saldırford,victimattacker,attacker,oběťútočník,útočník,被害者加害者,加害者,피해자공격자,공격자,kurbansaldırgan,saldırgan,жертваатакующий,атакующий
attempt,try,tro,attelle,zkusit,pokus,poseň,zkudel,prøve,forsøg,forkop,vedve,versuchen,versuch,versitz,versukira,挑む,試す,テス,をん,시도,노력하다,밍동포자,파에,стараться,пытаться,пырваться,сцуваться,girişim,denemek,denezek,giriayet,tryattempt,attempt,zkusitpokus,pokus,試す挑む,挑む,노력하다시도,시도,denemekgirişim,girişim,пытатьсястараться,стараться
