"nl_cue","nl_fake_cue","nl_target","nl_fake_target","en_cue","en_target"
"chemie","cheham","biologie","bioloschap","chemistry","biology"
"chemisch","anamisch","biologisch","biolowoerd","chemical","biological"
"bruin","brasn","blauw","blitew","brown","blue"
"wond","dund","blessure","ricksure","wound","injury"
"blijven","pijlven","overblijven","afershinven","stay","remain"
"plant","pankt","bloem","blijm","plant","flower"
"bijbel","birij","boek","bohe","bible","book"
"struik","stiklik","boom","botu","bush","tree"
"jaloers","jafeert","boos","batu","jealous","angry"
"onderzeeër","onderschapër","boot","bota","submarine","boat"
"schaal","schavi","bord","orda","bowl","plate"
"maag","mafy","borst","boont","stomach","chest"
"washington","wasbraxton","boston","vakton","washington","boston"
"honing","hopigs","boter","bolis","honey","butter"
"bouw","bole","bouwen","hitwen","construction","build"
"lager","ladin","bovenste","bogoorste","lower","upper"
"gas","fos","brandstof","brindboen","gas","fuel"
"smal","smon","breed","brigd","narrow","wide"
"telegram","teliher","brief","brufu","telegram","letter"
"gozer","gorit","bro","swo","dude","bro"
"zus","ubs","broer","braar","sister","brother"
"bruidegom","nietdegom","bruid","brird","groom","bride"
"verloving","verlofoon","bruiloft","bruitret","engagement","wedding"
"ufo","göo","buitenaards wezen","bitenschaal wozen","ufo","alien"
"firma","penma","bureau","bukerd","firm","agency"
"sheriff","gelrif","burgemeester","burgespronter","sheriff","mayor"
"trein","glein","bus","juds","train","bus"
"picknick","picknair","camping","risping","picnic","camping"
"mijl","muib","centimeter","straftimeter","mile","centimeter"
"brein","breen","cerebraal","cerenors","brain","cerebral"
"ritueel","rituzaak","ceremonie","ceremoderns","ritual","ceremony"
"wijn","witu","champagne","frispagne","wine","champagne"
"omkoping","omkochen","chantage","quistage","bribe","blackmail"
"aantrekkelijk","aanvaardkelijk","charmant","charmoes","attractive","charming"
"kok","stak","chef","chri","cook","chef"
"opereren","aberoren","chirurgie","chirurloos","operate","surgery"
"suiker","padker","chocolade","strafcolade","sugar","chocolate"
"katholiek","kathonoom","christen","schakton","catholic","christian"
"dierentuin","derinvels","circus","cirmie","zoo","circus"
"patiënt","fatoënt","cliënt","climis","patient","client"
"rum","xam","cognac","rilnac","rum","cognac"
"inspecteur","inspecslag","commissaris","commissamaakt","inspector","commissioner"
"commissie","commiskers","comité","konnida","commission","committee"
"navigatie","navigahertz","communicatie","straatmunicatie","navigation","communication"
"racistisch","racisteerd","communistisch","cumonistra","racist","communist"
"totaal","toclub","compleet","comtrent","total","complete"
"software","klimware","computer","compublie","software","computer"
"focus","foham","concentreren","constracturen","focus","concentrate"
"tour","tola","concert","consein","tour","concert"
"fout","fopa","correct","cordikt","wrong","correct"
"rodeo","robon","cowboy","hacboy","rodeo","cowboy"
"verbeelding","verklipdang","creativiteit","creativischal","imagination","creativity"
"dief","thef","crimineel","crimizaka","thief","criminal"
"situatie","situaschap","crisis","kwasis","situation","crisis"
"naief","kefef","cynisch","cyclang","naive","cynical"
"hier","saard","daar","danb","here","there"
"heer","fare","dame","risme","lord","lady"
"dankbaar","lagbera","dank","dahat","grateful","thank"
"gastvrijheid","zargheidvrij","dankbaarheid","beetbaarheid","hospitality","gratitude"
"danser","bilser","dans","dabe","dancer","dance"
"wat","rapt","dat","durt","what","that"
"november","nopinkber","december","dezachber","november","december"
"eeuw","umee","decennium","deraarsnium","century","decade"
"fragment","fighment","deel","dewe","fragment","piece"
"materie","matepars","deeltje","sleutje","matter","particle"
"concept","conchio","definitie","definiveaus","concept","definition"
"cabine","cotharne","dek","edok","cabin","deck"
"vrijheid","kandhijd","democratie","damonistie","freedom","democracy"
"protest","prokens","demonstratie","demoncrieftie","protest","demonstration"
"beschouwen","bestemdwen","denken","godken","consider","think"
"spanning","stofning","depressie","delendsie","stress","depression"
"agent","odant","detective","detectivelingstaart","agent","detective"
"raam","raud","deur","desa","window","door"
"open","opho","gesloten","slotgene","open","close"
"beest","prest","dier","aper","beast","animal"
"dun","kyn","dik","ird","thin","thick"
"ping","pios","ding","diak","ping","ding"
"maandag","donsdeg","dinsdag","dramdeg","monday","tuesday"
"direct","diwist","rechtstreeks","dachtstruuks","direct","directly"
"gesprek","geadres","discussie","handcussie","conversation","discussion"
"eenheid","traheid","divisie","divikers","unit","division"
"student","stulaat","docent","donel","student","teacher"
"dossier","toffaar","document","doculaas","file","document"
"vergiftigen","derfagtinen","doden","dorie","poison","kill"
"hallo","forlo","doei","doma","hello","bye"
"maken","machi","doen","sien","make","do"
"pond","piot","dollar","dolred","pound","dollar"
"naief","kefef","dom","xim","naïve","stupid"
"krankzinnigheid","spitzannigheid","domheid","maaiheid","madness","stupidity"
"bliksem","blikuur","donder","subder","lightning","thunder"
"schaduw","schasop","donker","subker","shadow","dark"
"levend","levacs","dood","doig","alive","dead"
"lijden","keiden","sterven","klaken","suffer","die"
"blind","blirod","doof","daof","blind","deaf"
"doorgaan","zetanvorten","voortzetten","doordach","proceed","continue"
"kamp","kadi","dorp","dote","camp","village"
"honger","masger","dorst","uurst","hunger","thirst"
"kabel","karij","draad","faade","cable","wire"
"draai","faaie","draaien","bredoon","turn","rotate"
"een","oon","drie","thie","one","three"
"cirkel","ruskel","driehoek","drieries","circle","triangle"
"nuchter","guster","dronken","jongken","sober","drunk"
"nachtmerrie","vligmerra","droom","foem","nightmare","dream"
"alcohol","alcotech","drugs","drilis","alcohol","drug"
"puls","puop","druk","feuk","pulse","pressure"
"knop","knec","drukken","drukbam","button","press"
"overduidelijk","verodudilijk","duidelijk","duidesche","clearly","obviously"
"vinger","helger","duim","duci","finger","thumb"
"engel","enrij","duivel","servel","angel","devil"
"buskruit","busbrast","dynamiet","dynakaal","gunpowder","dynamite"
"waar","snar","echt","enck","TRUE","real"
"eigenlijk","eigendrup","echt","enck","actually","really"
"gans","glam","eend","epel","goose","duck"
"onmogelijk","onmogesteld","eenvoudig","hirtvoduig","impossible","easy"
"gewoon","fuwoen","eenvoudig","hirtvoduig","simply","simple"
"voorrecht","varzorgs","eer","ane","privilege","honor"
"redelijk","redesche","eerlijk","dialijk","decent","honest"
"loyaliteit","loyaligings","eerlijkheid","aarweerheid","loyalty","honesty"
"invloed","onvlaad","effect","efmerk","influence","effect"
"bruikbaar","frankbaar","effectief","effecford","useful","effective"
"eigenwijs","eigenslog","egoïstisch","egosbraad","stubborn","selfish"
"nest","neum","ei","ee","nest","egg"
"eigenschap","eigenstrij","eigenaar","eigeluid","property","owner"
"modieus","modicher","elegant","samgant","fashionable","elegant"
"stroom","stomor","elektriciteit","moordtriciteit","current","electricity"
"magnetisch","magnemings","elektrisch","kruitrisch","magnetic","electric"
"factor","gettor","element","konment","factor","element"
"miserabel","miseramisch","ellendig","elspoedig","miserable","pathetic"
"mentaal","distaal","emotioneel","emotiokaart","mental","emotional"
"stroom","strowe","energie","enertel","power","energy"
"eng","oeg","griezelig","grezalig","scary","creepy"
"pest","peno","epidemie","vormdemie","plague","epidemic"
"orgasme","orblieme","erectie","spretie","orgasm","erection"
"elders","aldres","ergens","erberg","elsewhere","somewhere"
"erfenis","erfereer","erven","ertie","heritage","inherit"
"voer","ixer","eten","yoen","feed","eat"
"observatie","observalerya","evaluatie","spookluatie","observation","evaluation"
"fenomeen","fenolost","evenement","evenetijd","phenomenon","event"
"vergeven","vergeboor","excuseren","exkuparen","forgive","excuse"
"ophangen","afhochen","executie","koopcutie","hanging","execution"
"aardbeving","aardberech","explosie","explokers","earthquake","explosion"
"bom","fom","explosief","axplogrom","bomb","explosive"
"intern","inhech","extern","extand","internal","external"
"clan","kian","familie","famipers","clan","family"
"realiteit","realigings","fantasie","sekstasie","reality","fantasy"
"prachtig","braaktig","fantastisch","fontasteerd","wonderful","fantastic"
"dodelijk","dodesche","fataal","fabiel","deadly","fatal"
"mail","mift","fax","exfe","mail","fax"
"kolonie","kolovend","federatie","federamount","colony","federation"
"carnaval","carnablij","festival","kicktival","carnival","festival"
"porno","redno","film","fiwe","porn","movie"
"bankieren","fonkoeren","financieel","financikaart","banking","financial"
"financieel","financikaart","financiering","financieteerd","financially","financing"
"begroting","begrobaar","financiering","financieteerd","budget","funding"
"einde","slode","finish","ficast","end","finish"
"glas","tras","fles","lyes","glass","bottle"
"hoorn","storn","fluit","kuifd","horn","whistle"
"oven","evon","fornuis","fornijd","oven","stove"
"afbeelding","ufvoording","foto","foler","picture","photo"
"handtekening","kwuuktakening","fotograaf","fatanocht","autograph","photographer"
"engels","enteem","frans","frils","english","french"
"complot","comwold","fraude","zwande","conspiracy","fraud"
"limonade","liteitsnade","frisdrank","ratsdronk","lemonade","soda"
"appel","aplin","fruit","frint","apple","fruit"
"vluchteling","zachteling","voortvluchtige","daartflochtibe","refugee","fugitive"
"operationeel","operatiostrijd","functioneel","pleegtioneel","operational","functional"
"seksueel","prosueel","fysiek","fyrith","sexual","physical"
"binnenkomen","hoofdnenkomen","gaan","gamo","enter","go"
"werkplaats","warkploots","garage","garege","workshop","garage"
"scheur","scherz","gat","tat","crack","hole"
"voordoen","verdoun","gebeuren","gemontren","occur","happen"
"toren","togra","gebouw","gudrek","tower","building"
"normaal","normens","gebruikelijk","gaheeldelijk","ordinary","usual"
"normaliter","nirmaloter","gebruikelijk","gehaaldkelijk","normally","usually"
"toepassen","tapoessen","gebruiken","gaklonken","apply","use"
"tekst","tenot","gedicht","gericks","text","poem"
"rood","rola","geel","kjel","red","yellow"
"ziel","ouel","geest","gaast","soul","spirit"
"paranoïde","porenadie","gek","gak","paranoid","crazy"
"contant","centant","geld","geed","cash","money"
"zweer","ouneer","gelofte","gebedste","swear","oath"
"filosofie","filosolaars","geloof","gabets","philosophy","religion"
"lawaai","lacal","geluid","gevoud","noise","sound"
"samenleving","samenleseerd","gemeenschap","gemeenseerd","society","community"
"vergiffenis","varschuifenos","genade","gebuidda","forgiveness","mercy"
"medelijdend","medalijnend","genereus","geneklet","compassionate","generous"
"herstellen","hergroelen","genezen","genelijk","recover","heal"
"wraak","wruk","gerechtigheid","gestaantigheid","revenge","justice"
"compliment","complitijd","geschenk","guschoel","compliment","gift"
"afgesloten","oschogoken","gesloten","getjesten","locked","closed"
"alleenstaand","okkeendaand","getrouwd","getreerd","single","married"
"getuige","gevensge","getuigenis","gezwaargenis","witness","testimony"
"smaak","vroek","geur","gaur","taste","smell"
"risico","risiteit","gevaar","guvens","risk","danger"
"riskant","alakant","gevaarlijk","genootlijk","risky","dangerous"
"gegijzelde","geknaldzelde","gevangene","gedichtgene","hostage","prisoner"
"cel","cli","gevangenis","gevangeteerd","cell","prison"
"straf","karof","gevangenisstraf","gevongenastrof","penalty","imprisonment"
"gevecht","guteert","strijd","strad","combat","fight"
"aanbieden","oonboeten","geven","getje","offer","give"
"indruk","indert","gevoel","gedoor","impression","feeling"
"delicaat","delivoel","gevoelig","gevoement","delicate","sensitive"
"indrukwekkend","ondrakwokkend","geweldig","gesprodig","impressive","amazing"
"jurisdictie","juriskeertie","gezag","gedos","jurisdiction","authority"
"vandaag","vanvans","gisteren","stofteren","today","yesterday"
"piano","piaties","gitaar","gihals","piano","guitar"
"nationaal","natiofaast","globaal","curbaal","national","global"
"god","kod","goddelijk","goddesche","god","divine"
"toestemming","toelaatming","goedkeuring","venskeuring","permission","approval"
"duur","dugs","goedkoop","goudhoet","expensive","cheap"
"aap","ryp","gorilla","gozersla","monkey","gorilla"
"kilo","verlo","gram","grin","kilo","gram"
"truc","trup","grap","gerp","trick","joke"
"geestig","faasteg","grappig","zwakpig","witty","funny"
"baron","bukat","gravin","menvin","baron","countess"
"romeins","famoons","grieks","gruift","roman","greek"
"bende","forde","groep","grimp","gang","group"
"wet","wut","grondwet","grondcum","law","constitution"
"excellent","exceltrie","geweldig","fuwaldich","excellent","great"
"grootvader","ruchtvedar","grootmoeder","ruchtmedoer","grandfather","grandmother"
"kikker","tacker","hagedis","hagemerd","frog","lizard"
"illusie","illugash","hallucinatie","hullacanite","illusion","hallucination"
"ring","rito","halsketting","varkotting","ring","necklace"
"broodje","trijnje","hamburger","bargborger","sandwich","hamburger"
"stok","stua","hamer","harad","stick","hammer"
"deken","depor","handdoek","handreed","blanket","towel"
"reclame","rekendme","handelaar","handeving","commercial","merchant"
"gebaar","gaplen","handelen","warkdelin","gesture","act"
"stempel","stimpan","handtekening","slaptakening","stamp","signature"
"balans","batros","harmonie","harmoment","balance","harmony"
"baai","etai","haven","hatje","bay","harbor"
"extreem","exteeld","heel","heza","extremely","very"
"universum","univergeer","heelal","diefal","universe","galaxy"
"glorieus","aquarieus","glorie","glaroe","glorious","glory"
"vloek","vleik","heks","heno","curse","witch"
"paradijs","paraturn","hel","ool","paradise","hell"
"schijnen","smaaknen","helder","casder","shine","bright"
"ambulance","ambuteursce","helikopter","helisplinter","ambulance","helicopter"
"helpen","caspen","assisteren","ossastoren","help","assist"
"hemel","hamel","hemels","hebaas","sky","heavenly"
"lente","lante","herfst","hecast","spring","autumn"
"cocaïne","kurstcine","heroïne","horinine","cocaine","heroin"
"baan","buln","werk","furk","job","work"
"aids","aisy","hiv","bov","aids","hiv"
"helm","haad","hoed","houn","helmet","hat"
"som","iem","hoeveelheid","haveelvoor","sum","amount"
"lesbienne","strofbienne","homo","hokie","lesbian","gay"
"duizend","opezend","honderd","honwel","thousand","hundred"
"moe","eiu","hongerig","platgerig","tired","hungry"
"basis","fosus","hoofdkwartier","hoofdkwarhoud","base","headquarters"
"laag","lary","hoog","horo","low","high"
"majesteit","majesklan","hoogheid","vligheid","majesty","highness"
"gewicht","gelisch","hoogte","meente","weight","height"
"luister","kleiter","horen","holis","listen","hear"
"kijk","kihn","horloge","elekloge","look","watch"
"voorkomen","lofkiemon","stoppen","flappun","prevent","stop"
"houden","criden","bewaren","dokaren","hold","keep"
"mening","merick","houding","kwading","opinion","attitude"
"oppas","epdok","huishoudhulp","hasholdip","nanny","maid"
"huren","haron","huur","hucy","hire","rent"
"scheiding","speidong","huwelijk","huwetens","divorce","marriage"
"gek","uuk","idioot","idizic","fool","idiot"
"niets","muets","iets","ents","nothing","something"
"persoon","permeen","individueel","onduvudistreid","person","individual"
"vleien","smelen","imponeren","amponaren","flatter","impress"
"virus","vidon","infectie","instrutie","virus","infection"
"bron","geon","informant","infardurp","source","informant"
"gegevens","gegejaar","informatie","inschatmatie","data","information"
"rapporteren","robbarturen","informeren","ingingsmeren","report","inform"
"uitgang","uitraar","ingang","onzund","exit","entrance"
"bevatten","bulaaften","inhoud","insend","contain","content"
"dosis","dotan","injectie","instratie","dose","injection"
"winst","wuirt","inkomen","inkowits","profit","income"
"spin","gran","insect","innesh","spider","insect"
"examinatie","oximanotie","inspectie","inadoptie","examination","inspection"
"inspireren","onzoeksaren","inspiratie","ingrondratie","inspire","inspiration"
"val","ul","instorten","onzichtun","fall","collapse"
"hulpmiddel","brundmaddel","instrument","onteinmont","tool","instrument"
"slim","slir","intelligent","ontellivroog","smart","intelligent"
"spannend","stofnend","interessant","interesmoord","exciting","interesting"
"persoonlijk","pervaarlijk","intiem","inween","personal","intimate"
"instinct","onschaat","intuïtie","intuischap","instinct","intuition"
"financiëren","ficeerdciën","investeren","inschatteren","finance","invest"
"ironie","julnie","ironisch","raknisch","irony","ironic"
"oke","ime","ja","py","okay","yeah"
"shirt","shurd","jasje","zenje","shirt","jacket"
"jeugd","jeced","kindertijd","tijderdink","youth","childhood"
"oud","zwod","jong","joli","old","young"
"meisje","spieje","jongen","kergen","girl","boy"
"verslaggever","verheidsgever","journalist","journaspel","reporter","journalist"
"juni","judel","juli","trali","june","july"
"romeo","rojay","juliet","jumont","romeo","juliet"
"senior","sehulpor","junior","juhulpor","senior","junior"
"rok","eki","jurk","zark","skirt","dress"
"diamant","diagist","juweel","juques","diamond","jewel"
"lamp","lako","kaars","kamis","lamp","candle"
"kompas","bukpos","kaart","kadot","compass","map"
"brood","sluud","kaas","kapo","bread","cheese"
"kip","ilp","kalkoen","kaldons","chicken","turkey"
"stil","stea","kalm","kaeu","quiet","calm"
"competitie","kanpitatie","kampioenschap","kompoenschip","competition","championship"
"tumor","tuheb","kanker","kanman","tumor","cancer"
"bureau","buzaal","kantoor","kanvoel","desk","office"
"kerk","gork","kapel","katho","church","chapel"
"anarchie","anarmijn","kapitalisme","kapitacheerdme","anarchy","capitalism"
"commandant","commanchie","kapitein","kapirurg","commander","captain"
"bisschop","golschop","kardinaal","kardivers","bishop","cardinal"
"maffia","mafgot","kartel","vrotel","mafia","cartel"
"kabinet","vongje","kast","kaum","cabinet","closet"
"paleis","pacept","kasteel","kastans","palace","castle"
"hond","hoit","kat","shat","dog","cat"
"zijde","reido","katoen","kacoro","silk","cotton"
"slikken","enigken","kauwen","neiwen","swallow","chew"
"keizerlijk","kazerstor","keizer","grozer","imperial","emperor"
"ervaring","orverong","kennis","chinis","experience","knowledge"
"kandidaat","kandiform","kiezer","haszer","candidate","voter"
"baby","bawen","kind","kimu","baby","child"
"typisch","tydicht","klassiek","klasheel","typical","classic"
"gering","abeing","klein","klron","little","small"
"ziekenhuis","ziekenming","kliniek","gieniek","hospital","clinic"
"tempel","shipel","klooster","flotstar","temple","monastery"
"weeshuis","cleaheis","klooster","flotstar","orphanage","convent"
"kras","gias","kneuzing","beekzing","scratch","bruise"
"schouder","staamdor","knie","stie","shoulder","knee"
"kus","flis","knuffel","kookfel","kiss","hug"
"warm","waof","koel","zwil","warm","cool"
"aktentas","aktenkark","koffer","zaufer","briefcase","suitcase"
"beker","begra","koffie","zuifie","cup","coffee"
"kaliber","kalitijd","kogel","kolie","caliber","bullet"
"generaal","algenarel","kolonel","koloshow","general","colonel"
"drama","redma","komedie","komespot","drama","comedy"
"aankomen","mutkamen","komen","ketjo","arrive","come"
"vos","uts","konijn","kowiel","fox","rabbit"
"koningin","koninmaat","koning","kobaar","queen","king"
"koninklijk","kowaarlijk","koninkrijk","koninkstel","royal","kingdom"
"aars","stao","kont","ount","ass","butt"
"hoest","hourt","koorts","korats","cough","fever"
"verkoper","vorkaning","koper","kinon","seller","buyer"
"origineel","origiving","kopie","kapei","original","copy"
"heet","hepa","koud","koac","hot","cold"
"sterkte","storkik","kracht","euacht","strength","force"
"artikel","articaan","krant","flant","article","newspaper"
"tonijn","toligd","kreeft","kreens","tuna","lobster"
"natuurlijk","namoeilijk","kunstmatig","dingsmatig","natural","artificial"
"strand","strait","kust","kuum","beach","coast"
"kwantiteit","kwontituut","kwaliteit","kwaliland","quantity","quality"
"half","hatz","kwart","dwort","half","quarter"
"eerst","carst","laatst","laatch","first","last"
"glimlach","glimcast","lachen","lapend","smile","laugh"
"laden","lator","lading","latoef","load","cargo"
"huurder","taardur","landheer","londkaar","tenant","landlord"
"kort","uurt","lang","laza","short","long"
"toestaan","taastoer","laten","laris","allow","let"
"draak","feaak","leeuw","lejow","dragon","lion"
"mythe","mybox","legende","leraarde","myth","legend"
"legioen","leginaal","leger","letje","legion","army"
"civiel","ciwick","leger","letje","civil","military"
"lid","ced","leider","gandur","member","leader"
"walgelijk","wolgalik","lelijk","lavong","disgusting","ugly"
"maat","maro","lengte","beurte","size","length"
"krediet","pradoet","lening","lemans","credit","loan"
"leren","letje","onderwijzen","anderwoezen","learn","teach"
"leugen","hamgen","leugenaar","leugereed","lie","liar"
"nier","nith","lever","letje","kidney","liver"
"seminarium","seminaschok","lezing","lenier","seminar","lecture"
"conservatief","conservalerya","liberaal","libewick","conservative","liberal"
"duisternis","softernis","licht","bagt","darkness","light"
"album","alsie","liedje","luxuje","album","song"
"leuk","lear","lief","liai","nice","lovely"
"haat","hota","liefde","geerde","hate","love"
"lichaam","litract","lijk","lihr","body","corpse"
"zuigen","kofgen","likken","gauken","suck","lick"
"taxi","tage","limousine","livingsine","taxi","limousine"
"ming","misu","ling","reng","ming","ling"
"rechts","slocht","links","likas","right","left"
"kunst","kumat","literatuur","literamaakt","art","literature"
"tatoeëren","talingsëren","litteken","krypteken","tattoo","scar"
"regionaal","regiafoost","lokaal","lovang","regional","local"
"ontvoerder","ontsluider","losgeld","thegeld","kidnapper","ransom"
"terminal","termiches","luchthaven","amanthaven","terminal","airport"
"sergeant","sergecier","luitenant","luitetigd","sergeant","lieutenant"
"snack","snok","lunch","lugah","snack","lunch"
"voedsel","woonsel","maaltijd","huiltijd","food","meal"
"robot","ropin","machine","mawaarne","robot","machine"
"hulpeloos","hulpening","machteloos","brilteloos","helpless","powerless"
"papa","compa","mama","froma","daddy","mum"
"controleren","conoverle","manipuleren","manipuleplaats","control","manipulate"
"marine","mawaarne","zeemacht","zoomicht","marine","navy"
"reclame","rekendme","marketing","markevers","advertising","marketing"
"kwelling","chesling","marteling","marteraar","torment","torture"
"yoga","vrega","massage","liefsage","yoga","massage"
"piraat","pikomt","matroos","maklooi","pirate","sailor"
"minimum","minibalk","maximum","maxiens","minimum","maximum"
"ketchup","ketcold","mayonaise","truelonaise","ketchup","mayonnaise"
"technisch","stelnisch","mechanisch","mechahoofd","technical","mechanical"
"trofee","trogly","medaille","megentle","trophy","medal"
"artefact","artesche","medaillon","merendlon","artifact","medallion"
"geduld","gahoor","medeleven","medelescoop","patience","compassion"
"graan","gruud","meel","meht","grain","flour"
"rivier","rihing","meer","snuur","river","lake"
"jongens","katgens","meisjes","vliejes","boys","girls"
"combinatie","teitsbinatie","mengsel","borgsel","combination","mixture"
"mens","meca","menselijk","monsarend","man","human"
"bevolking","bevoltooi","mensen","grosun","population","people"
"zwaard","ouaard","mes","lds","sword","knife"
"ijzer","ijdag","metaal","meclub","iron","metal"
"kilometer","kilomenings","meter","melij","kilometer","meter"
"camera","cametjes","microfoon","microback","camera","microphone"
"telescoop","telegooid","microscoop","microgooid","telescope","microscope"
"middernacht","midderquist","middag","veidag","midnight","noon"
"bij","vaj","mier","dwer","bee","ant"
"miljoen","milholm","miljard","milhood","million","billion"
"ambassadeur","ambassastaan","minister","mivechter","ambassador","minister"
"ambassade","amwerktsade","ministerie","mislechterie","embassy","ministry"
"minnares","voornares","minnaar","dernaar","mistress","lover"
