"ru_cue","ru_fake_cue","ru_target","ru_fake_target","en_cue","en_target"
"руководитель","брутоводитель","босс","боек","manager","boss"
"вашингтон","вахэмптон","бостон","бостена","washington","boston"
"развод","разпай","брак","деак","divorce","marriage"
"чувак","чутян","братан","толтан","dude","bro"
"щит","щят","броня","лезня","shield","armor"
"карман","картош","бумажник","бушляпник","pocket","wallet"
"ветер","верей","буря","бунит","wind","storm"
"стакан","стадан","бутылка","буоценка","glass","bottle"
"медленный","правленный","быстрый","банкрый","slow","fast"
"медленно","правленно","быстро","банкро","slowly","quickly"
"супермен","супержэм","бэтмен","оземен","superman","batman"
"наконец","накомишь","в итоге","в кстоге","finally","eventually"
"безусловно","ужасственно","как правило","ла кравило","naturally","generally"
"фактически","дреоттически","действительно","явиствительно","actually","really"
"зомби","фасби","вампир","вампис","zombie","vampire"
"значение","штачение","важность","эленость","meaning","importance"
"ценный","клуный","важный","лодный","valuable","important"
"противоядие","противодетие","вакцина","джемцина","antidote","vaccine"
"прицеп","слецеп","фургон","фурвонь","trailer","van"
"корица","копатьца","ваниль","васнуль","cinnamon","vanilla"
"душевая","эпшевая","ванная","вомныя","shower","bathroom"
"выбор","выкла","вариант","варинюнт","choice","option"
"вниз","дeиз","вверх","лжерх","down","up"
"вдохновлять","спряновлять","вдохновение","странновение","inspire","inspiration"
"интернет","интерскен","веб","эмб","internet","web"
"проклятие","проклистие","ведьма","сальма","curse","witch"
"марс","мавт","венера","странера","mars","venus"
"клапан","клаард","вентиляция","стриптиляция","valve","ventilation"
"надежда","надемонда","вера","убира","hope","faith"
"цепь","цейч","веревка","весморка","chain","rope"
"назад","накод","вернуть","верство","back","return"
"преданный","предорный","верный","сячный","loyal","faithful"
"скорая помощь","скорая пскрищь","вертолет","вертональ","ambulance","helicopter"
"ниже","нимут","выше","вевя","lower","upper"
"остроумный","остроумствен","забавный","весежусь","witty","funny"
"ночь","ногь","вечер","веджа","night","evening"
"лопаться","лоренцся","взрываться","взовлечься","burst","explode"
"землетрясение","оскорблетрясение","взрыв","везрв","earthquake","explosion"
"бомба","оцемба","взрывной","вздошной","bomb","explosive"
"видеодиск","видеоид","видео","вилак","dvd","video"
"ложка","фяжка","вилка","шанка","spoon","fork"
"невиновный","влюбновный","виновный","вивредный","innocent","guilty"
"протеин","протебер","витамин","витастин","protein","vitamin"
"спид","спay","вич","люч","aids","hiv"
"финансы","фипульсы","инвестировать","инвенчиродать","finance","invest"
"вкусный","вратный","лакомый","лагдомый","tasty","delicious"
"имущество","имущция","владелец","определец","property","owner"
"сухой","сухожой","влажный","флирный","dry","wet"
"юрисдикция","укладикция","власть","хёасть","jurisdiction","authority"
"внутренний","удобренний","внешний","трашний","internal","external"
"снаружи","предеружи","внутри","вспори","outside","inside"
"пассажир","пассатижир","водитель","водиства","passenger","driver"
"виски","болки","водка","нушка","whiskey","vodka"
"углерод","углебот","водород","водобишь","carbon","hydrogen"
"морской","цинской","военно-морской","паренноморбрый","marine","navy"
"гражданский","хозяданский","военный","военвать","civil","military"
"гордый","гордатый","возбужденный","возностьденный","proud","excited"
"фаворитка","вклюворитка","любовница","небовница","mistress","lover"
"шанс","шатт","возможность","возможство","chance","possibility"
"солдат","соллум","воин","дезин","soldier","warrior"
"медведь","медвине","волк","волск","bear","wolf"
"беспокойство","беспокойгно","волнение","волновение","concern","worry"
"магия","магиена","волшебник","волрюльник","magic","wizard"
"портал","ототал","ворота","воровота","portal","gate"
"суббота","кварбота","воскресенье","воскресествие","Saturday","Sunday"
"запад","запойд","восток","воесте","west","east"
"обольщать","обойщать","впечатлять","впеформлять","flatter","impress"
"поворачивать","пересклоначивать","вращать","врарвать","turn","rotate"
"видеться","вичить","встречаться","встрестваться","see","meet"
"конференция","конференность","встреча","неприча","conference","meeting"
"понедельник","понественник","вторник","клонник","monday","tuesday"
"выход","высан","вход","йрод","exit","entrance"
"сегодня","серененя","вчера","жёлра","today","yesterday"
"кампания","вступания","выборы","выбостон","campaign","election"
"подбирать","незбирать","выбирать","выварать","choose","select"
"жить","рэть","выживать","выжильвать","live","survive"
"похищение","похищество","выкуп","вытег","kidnapper","ransom"
"прибытие","пребыдение","отправление","отпрагнение","arrival","departure"
"диплом","диклиш","выпускной","выпулькной","diploma","graduate"
"описывать","описыскивать","выражать","выжарать","describe","express"
"кашель","кажаль","озноб","оцножб","cough","fever"
"низкий","помкий","высокий","высотруд","low","high"
"невежество","одолжество","высокомерие","высокомемкнуть","ignorance","arrogance"
"вес","сво","рост","звост","weight","height"
"величество","велигнество","высочество","высочегнсво","majesty","highness"
"галерея","галелота","выставка","выуспока","gallery","exhibition"
"бухта","бухаз","гавань","гаворт","bay","harbor"
"статья","стаёшья","газета","гагранта","article","newspaper"
"вселенная","всепокная","галактика","гастриптика","universe","galaxy"
"иллюзия","иллюбoвь","галлюцинация","галлюцинасквозь","illusion","hallucination"
"привязывать","привязыскивать","завязывать","галмейк","bind","tie"
"сэндвич","деньвич","гамбургер","стойбургер","sandwich","hamburger"
"мастерская","маландская","гараж","гачел","workshop","garage"
"равновесие","равностройствие","гармония","гармозван","balance","harmony"
"в другом месте","в другом салль","где-то","cлyто","elsewhere","somewhere"
"лесбиянка","оскорбиянка","гей","pый","lesbian","gay"
"кокаин","кокастрю","героин","героимость","cocaine","heroin"
"фортепиано","пейтепиано","гитара","зультара","piano","guitar"
"база","базаство","штаб","швапь","base","headquarters"
"национальный","нациовстречный","глобальный","глотентный","national","global"
"капля","кейля","глоток","крыток","drop","sip"
"безумие","ерунмие","глупость","глудрать","madness","stupidity"
"слепой","обопой","глухой","бархой","blind","deaf"
"следить","ободить","гнаться","сфалься","follow","chase"
"усталый","стрялый","голодный","гоопытный","tired","hungry"
"большинство","опрешинство","голосование","голосьбратие","majority","vote"
"обнаженный","обнюзный","голый","гонии","nude","naked"
"холм","хоап","гора","стера","hill","mountain"
"обезьяна","обебряна","горилла","гоуспела","monkey","gorilla"
"столица","опублица","город","голие","capital","city"
"килограмм","килобом","грамм","съёмма","kilo","gram"
"барон","бапал","графиня","недофиня","baron","countess"
"римский","докский","греческий","гречелось","roman","greek"
"молния","стания","гром","грай","lightning","thunder"
"живот","жилувот","грудная клетка","грезьжная глекка","stomach","chest"
"погрузка","погронка","грузовик","грузочмик","load","cargo"
"джип","джилт","фура","фыва","jeep","truck"
"банда","глуда","группировка","друммизовка","gang","group"
"оркестр","оркасть","группа","сестпа","orchestra","band"
"противный","промальный","вонючий","тричный","nasty","filthy"
"окей","теркей","угу","юту","okay","yeah"
"пульс","путыс","давление","жертление","pulse","pressure"
"близко","дилло","далеко","дагромко","near","far"
"оферта","офернек","давать","лоть","offer","give"
"окно","дитно","дверь","цвергь","window","door"
"бак","хяб","двигатель","двигаства","tank","engine"
"родственник","родклассник","кузен","тузенк","relative","cousin"
"мальчики","удивчики","девочки","декладки","boys","girls"
"жест","жета","поступок","дейтесьвать","gesture","act"
"ноябрь","нофиль","декабрь","деравль","november","december"
"совершать","кавершать","делать","дестим","make","do"
"свобода","бейсбода","демократия","демосвязьтия","freedom","democracy"
"протест","протepec","демонстрация","деандрестрация","protest","demonstration"
"годовщина","гостильщина","день рождения","день рождстоль","anniversary","birthday"
"наличные","насрезные","деньги","френги","cash","money"
"стресс","стрешт","депрессия","дебиопсия","stress","depression"
"лагерь","лагнурь","деревня","деступня","camp","village"
"куст","куэн","дерево","дерерить","bush","tree"
"держать","офижать","хранить","найжать","hold","keep"
"век","ерк","десятилетие","десятилекарствие","century","decade"
"агент","агост","детектив","детекнусь","agent","detective"
"молодежь","моломинс","детство","ошиство","youth","childhood"
"дорогой","довагой","дешевый","дешестёр","expensive","cheap"
"активный","акнальный","активность","актительность","active","activity"
"ромео","роуль","джульетта","джуадапта","romeo","juliet"
"порох","поска","динамит","динакорм","gunpowder","dynamite"
"свист","сбост","звон","диху","ping","ding"
"продюсер","прореспер","режиссер","дистратор","producer","director"
"размер","разсит","длина","тенна","size","length"
"короткий","коротатый","длинный","сладная","short","long"
"привет","причто","пока","до свиддресс","hello","bye"
"доброволец","волондоне","добровольно","добропраздно","volunteer","voluntarily"
"иногда","инороу","часто","чаблуо","sometimes","often"
"свидетельство","свиденрество","доказательство","доказательмкнуть","evidence","proof"
"хирург","ханрург","доктор","снятор","surgeon","doctor"
"файл","фабь","документ","докувишь","file","document"
"обязанность","обязанство","долг","дорх","responsibility","duty"
"пустыня","пуклоня","долина","долвина","desert","valley"
"фунт","фуйл","доллар","долект","pound","dollar"
"добавочный","добратечный","дополнительный","добратьснительный","extra","additional"
"маршрут","грамрут","путь","докличка","route","path"
"довольно","достапраздно","достаточный","достасмертный","enough","sufficient"
"гордость","горплость","достоинство","достоинфаркт","pride","dignity"
"заслуживать","захламживать","достойный","добранный","deserve","worthy"
"выгода","выстрада","доход","дощал","profit","income"
"бриллиант","бриллиарк","драгоценность","драгоценство","diamond","jewel"
"коллега","стралега","друг","дрюи","colleague","friend"
"отношение","отношасс","дружба","чрезба","relationship","friendship"
"вежливый","сконливый","дружелюбный","дружестройный","polite","friendly"
"расценивать","расцелинивать","думать","дунишь","consider","think"
"душа","дусва","дух","мых","soul","spirit"
"помада","помало","духи","орихи","lipstick","perfume"
"щель","ведель","дыра","увора","crack","hole"
"ангел","анвык","дьявол","дьягун","angel","devil"
"еда","лиа","питание","плитанье","food","meal"
"белка","билька","енот","хунот","squirrel","raccoon"
"кормить","контить","есть","эсдь","feed","eat"
"уже","юсе","еще","дзе","already","still"
"голод","госяк","жажда","жизда","hunger","thirst"
"несчастный","несчамецный","жалкий","бизкий","miserable","pathetic"
"глотать","бентать","жевать","жетесь","swallow","chew"
"желание","желадель","стремление","скрабление","desire","wish"
"красный","краснильный","желтый","никтый","red","yellow"
"муж","дуж","жена","комна","husband","wife"
"холостой","холостиный","женатый","женкарый","single","married"
"мужской","необчина","женский","утоский","male","female"
"вдова","угава","женщина","ставщина","widow","woman"
"суровый","сурневый","трудный","пенький","tough","hard"
"грубый","грежбый","жестокий","жекраткий","brutal","cruel"
"зло","лмо","жестокость","жесторонне","evil","cruelty"
"зверь","жоерь","животное","жигнусное","beast","animal"
"жидкость","учекость","флюид","флюнкость","liquid","fluid"
"плейбой","ойплейб","журнал","флонал","playboy","magazine"
"репортер","репорвитер","журналист","журнасверчка","reporter","journalist"
"ужин","хнин","завтрак","завталк","dinner","breakfast"
"название","выязвание","заглавие","загланелл","name","title"
"билет","битклет","паспорт","патереск","ticket","passport"
"передний","передкост","задний","улоний","front","rear"
"кредит","кренем","заем","задат","credit","loan"
"команда","коосужда","приказ","забым","command","order"
"заложник","зачельник","узник","завзвинченный","hostage","prisoner"
"открытие","открыдень","закрытие","закрыдешь","opening","closure"
"заблокированный","заткнукированный","закрытый","занекото","locked","closed"
"заменять","застемять","замена","заместей","replace","substitute"
"исккючительный","исключастельный","выдающийся","замечуместный","exceptional","remarkable"
"ккюч","клой","задвижка","забегжка","key","lock"
"дворец","двобер","замок","зарем","palace","castle"
"таять","тамошить","замерзать","замороствие","melt","freeze"
"южный","южешный","западный","зачтенный","southern","western"
"вкус","eмус","запах","заний","taste","smell"
"читать","чискать","писать","записыство","read","write"
"записывать","записыствать","запись","зафилд","record","recording"
"забывать","забыскивать","помнить","запомскать","forget","remember"
"запретный","запрерватьный","запрещать","запрельщать","forbidden","prohibit"
"требование","трексование","запрос","запьем","demand","request"
"пенсия","пенсинь","зарплата","уклаплата","pension","salary"
"сенсационный","ричардсационный","захватывающий","зательвтывающий","sensational","spectacular"
"оберегать","оберестать","защищать","защистил","protect","defend"
"знаменитость","знамениральд","звезда","древда","celebrity","star"
"шум","aeм","звук","жмук","noise","sound"
"отражение","отражество","зеркало","ускокало","reflection","mirror"
"лето","почто","зима","ресма","summer","winter"
"червь","чейзь","змея","енея","worm","snake"
"распознавать","распознаваствать","знал","нaал","recognize","knew"
"опыт","опби","знание","значен","experience","knowledge"
"бал","бейл","балл","укать","now","know"
"регион","регивант","область","грена","area","zone"
"капсула","олимсула","пробник","зодбник","capsule","probe"
"откровение","открыдение","видение","плюние","revelation","vision"
"ноготь","слоготь","зуб","вуб","nail","tooth"
"играть","игнирать","игра","черра","play","game"
"тренер","тречил","игрок","игбит","coach","player"
"кукла","ларла","игрушка","игсверка","doll","toy"
"идеально","глоально","совершенно","встуально","ideal","perfect"
"дурак","дупык","идиот","войот","fool","idiot"
"входить","утодить","идти","внети","enter","go"
"кандидат","кандитовь","избиратель","избиранешчель","candidate","voter"
"популярный","попутральный","известный","изтальный","popular","famous"
"прощать","пробрать","извинять","извинествять","forgive","excuse"
"стена","льона","изгородь","изголавр","wall","fence"
"исследовать","иснеправдовать","учиться","легчать","research","study"
"имперский","импергерский","император","имперамаунт","imperial","emperor"
"династия","динапряж","империя","импетать","dynasty","empire"
"банкир","банжой","инвестор","инвеликс","banker","investor"
"персона","персочин","личность","индивидолестный","person","individual"
"нло","рбо","пришелец","пошелец","ufo","alien"
"инструмент","инфрагмент","прибор","инструвишь","tool","instrument"
"волнующий","тельнующий","интересный","интестолкно","exciting","interesting"
"личный","астный","интимный","инубойный","personal","intimate"
"инстинкт","инмстинкт","интуиция","интуимость","instinct","intuition"
"вирус","вижах","инфекция","инфикция","virus","infection"
"данные","съенные","информация","информастрия","data","information"
"источник","истильник","информатор","инфороулингс","source","informant"
"доза","донжа","инъекция","плейекция","dose","injection"
"ирония","пайния","ироничный","подысничный","irony","ironic"
"естественный","компаственный","искусственный","искусклассный","natural","artificial"
"повешение","помершение","казнь","сказонь","hanging","execution"
"применять","приместять","использовать","использоствать","apply","use"
"препятствие","препятмость","вызов","вызроф","obstacle","challenge"
"чемпион","плотпион","боец","бордец","champion","fighter"
"результат","реплантат","исход","истья","result","outcome"
"смерть","эферть","исчезновение","исстрастновение","death","disappearance"
"июнь","еинь","июль","уэль","june","july"
"обыкновенно","обышественно","обычно","обыстро","normally","usually"
"ужасный","клятсный","чудовищный","зловищный","terrible","horrible"
"скала","скекла","камень","кадерс","rock","stone"
"церковь","цердырь","часовня","часогня","church","chapel"
"анархия","анаррия","капитализм","капитаверне","anarchy","capitalism"
"командир","команьир","капитан","капичин","commander","captain"
"епископ","пческоп","кардинал","кардиджел","bishop","cardinal"
"компас","комлуй","карта","цепта","compass","map"
"мафия","мафул","картель","стотель","mafia","cartel"
"количество","количегнаство","качество","качелюство","quantity","quality"
"дом","дил","квартира","мертира","house","apartment"
"пикник","ломник","кемпинг","идупинг","picnic","camping"
"воздух","возтeр","кислород","кислорон","air","oxygen"
"могила","мовергла","кладбище","одесбище","grave","cemetery"
"типичный","типлудный","классический","партсический","typical","classic"
"пациент","пацистие","клиент","клирья","patient","client"
"больница","следница","клиника","спраника","hospital","clinic"
"банан","баетс","клубника","внедника","banana","strawberry"
"клятва","некстатва","присяга","ближва","swear","oath"
"библия","улелия","книга","тарга","bible","book"
"родео","роэйд","ковбой","ковгёрл","rodeo","cowboy"
"пол","елл","ковер","котой","floor","carpet"
"никогда","нилегда","когда-либо","конеумолибо","never","ever"
"плечо","туччо","колено","ставлено","shoulder","knee"
"итог","октог","сумма","сумнаж","sum","amount"
"лига","лирва","сборная","уморбная","league","team"
"драма","скома","комедия","коменюсь","drama","comedy"
"инспектор","инспедитор","комиссар","комисучим","inspector","commissioner"
"комиссия","комистесия","комитет","комихаль","commission","committee"
"навигация","навигарольд","коммуникация","коммуникастрюля","navigation","communication"
"расист","рапинг","коммунист","коммунистичель","racist","communist"
"программное обеспечение","программное обесройство","компьютер","компьюкрёст","software","computer"
"закон","завун","конституция","конгресстуция","law","constitution"
"приватный","кретный","приватность","приватвлетность","private","privacy"
"фокусироваться","фофисироваться","концентрироваться","конценстыл","focus","concentrate"
"тур","сур","концерт","конконт","tour","concert"
"ром","кеом","коньяк","корьез","rum","cognac"
"экипаж","экимяк","корабль","коравль","crew","ship"
"королева","ковступлева","король","котром","queen","king"
"компания","компалания","корпорация","корпорадость","company","corporation"
"собака","соусбака","кошка","ковшка","dog","cat"
"кружка","омужка","кофе","котофе","cup","coffee"
"очарование","устрование","красота","спонсота","charm","beauty"
"падение","гведение","обвал","обналд","fall","collapse"
"воображение","вобратжение","креативность","креативствость","imagination","creativity"
"ситуация","ситуаность","кризис","кривон","situation","crisis"
"диван","дитом","кровать","коровать","sofa","bed"
"лиса","лифас","кролик","раблик","fox","rabbit"
"мышь","усшь","крыса","венса","mouse","rat"
"рубашка","рубьемка","пиджак","учрежак","shirt","jacket"
"фрагмент","окрамент","кусок","кунях","fragment","piece"
"дракон","драсер","лев","вов","dragon","lion"
"миф","афф","легенда","леральда","myth","legend"
"невозможный","охранможный","легкий","легвое","impossible","easy"
"лорд","лорчтет","леди","леней","lord","lady"
"сержант","сернотт","лейтенант","лейтелогг","sergeant","lieutenant"
"семинар","семилоть","лекция","ввеция","seminar","lecture"
"джунгли","джуньи","лес","ютс","jungle","forest"
"приземляться","прихриляться","летать","леграмать","land","fly"
"терапия","терадаст","лечение","леческение","therapy","treatment"
"восстанавливаться","восстасыпаться","лечить","лестве","recover","heal"
"ложь","лоэсь","лжец","ссец","lie","liar"
"консервативный","конфольсвативный","либеральный","либесмертный","conservative","liberal"
"участник","уснестник","лидер","линят","member","leader"
"сосать","отсать","лизать","либзать","suck","lick"
"такси","клюси","лимузин","лимуграф","taxi","limousine"
"год","миод","кот","кмот","ming","ling"
"искусство","исзельство","литература","литературательство","art","literature"
"характер","хотьктер","натура","натулость","character","personality"
"штраф","штерф","заточение","запячение","penalty","imprisonment"
"хватать","охотать","ловить","лоствить","grab","catch"
"охота","фурта","рыбалка","рыпаншка","hunting","fishing"
"субмарина","лотмарина","судно","шечка","submarine","boat"
"поддельный","подопыльный","ложный","вилкный","fake","FALSE"
"осел","осбо","лошадь","гошань","donkey","horse"
"чеснок","хорнок","лук","зуск","garlic","onion"
"ненавидеть","принвидеть","любить","люгерить","hate","love"
"население","населеграмм","люди","преди","population","people"
"кетчуп","кеторт","майонез","майоус","ketchup","mayonnaise"
"минимум","минивзвол","максимум","максидвик","minimum","maximum"
"девочка","деклетка","мальчик","мальвык","girl","boy"
"папочка","паласька","мамочка","маласька","daddy","mum"
"контролировать","кондольф","манипулировать","манипулитepeть","control","manipulate"
"реклама","ресмотма","маркетинг","маркезель","advertising","marketing"
"мед","мюд","масло","своло","honey","butter"
"уголь","фанголь","нефть","дафть","coal","oil"
"йога","рейга","массаж","масбур","yoga","massage"
"физика","фиуловка","математика","матеманевестка","physics","mathematics"
"робот","ронес","машина","маленьна","robot","machine"
"транспортное средство","транспортное сретepecвo","автомобиль","автомоброженое","vehicle","car"
"трофей","тропяп","медаль","мединь","trophy","medal"
"артефакт","артегилл","медальон","медазине","artifact","medallion"
"посольство","погрузство","министерство","справструство","embassy","ministry"
"феномен","феношон","событие","собыствятие","phenomenon","event"
"живой","жимевой","мертвый","спровый","alive","dead"
"региональный","региовстречный","местный","братный","regional","local"
"место","межато","местоположение","местополождпяствие","place","location"
"железо","желестер","металл","мегерл","iron","metal"
"километр","килозвал","метр","мебс","kilometer","meter"
"технический","техорический","механический","механиратский","technical","mechanical"
"кошмар","кошдие","сон","срон","nightmare","dream"
"коробка","кодентка","мешок","мечхок","box","bag"
"телескоп","телегоп","микроскоп","микротерс","telescope","microscope"
"камера","тканьмера","микрофон","светрофон","camera","microphone"
"миллион","франлион","миллиард","миллистье","million","billion"
"прощение","вooбщение","милосердие","милосербрать","forgiveness","mercy"
"милый","мисятый","прелестный","прелепестный","sweet","cute"
"будущее","будувание","прошлое","гормое","future","past"
"посол","поэлх","министр","мичесть","ambassador","minister"
"плюс","плол","минус","мибам","plus","minus"
"секунда","генкунда","минута","мипланта","second","minute"
"международный","остальдународный","мир","абр","international","world"
"задача","задачаща","миссия","дарсия","task","mission"
"старший","стариштый","младший","сканший","senior","junior"
"старый","стастый","молодой","моломакс","old","young"
"палка","сунка","молоток","молоурен","stick","hammer"
"детский дом","детский гром","монастырь","монадвинь","orphanage","convent"
"храм","омам","обитель","обизень","temple","monastery"
"экран","фиран","монитор","мониров","screen","monitor"
"аспирин","аспиталь","морфий","морсяч","aspirin","morphine"
"пират","леджрат","моряк","мобяк","pirate","sailor"
"отель","отпель","мотель","мостель","hotel","motel"
"кровь","кремь","моча","мошча","blood","urine"
"заговор","загочей","мошенничество","мошенничекво","conspiracy","fraud"
"библиотека","разыглиотека","музей","мужёр","library","museum"
"джаз","дшас","музыка","муослика","jazz","music"
"певец","перетц","музыкант","музыгит","singer","musician"
"зерно","рийно","мука","стека","grain","flour"
"пчела","сатла","муравей","мурамий","bee","ant"
"отбросы","отхайсы","мусор","мурос","trash","garbage"
"эволюция","эволюсень","мутация","мутатия","evolution","mutation"
"нерв","кренв","мышцы","убоца","nerve","muscle"
"шериф","шерью","мэр","мэж","sheriff","mayor"
"свинина","мельнина","мясо","мяра","pork","meat"
"может быть","может блишь","наверное","наврарное","maybe","probably"
"вечность","русность","навсегда","научатгда","eternal","forever"
"бонус","бомум","награда","наубежда","bonus","reward"
"кнопка","кмоцка","нажимать","нажистать","button","press"
"поиск","понэм","найти","гетти","search","find"
"цель","цейт","намерение","намерестение","purpose","intention"
"случайно","слувдохно","намеренно","наместитьно","accidentally","intentionally"
"ударить","лыарить","сразить","сдвазить","hit","strike"
"противоположный","противопосчастный","обратный","рократный","opposite","contrary"
"прямой","посрямой","напрямую","напряфорд","direct","directly"
"страшить","пустершить","пугать","пугакать","scare","frighten"
"паук","пахук","насекомое","насекостыль","spider","insect"
"наследство","нахульство","наследовать","наследоукинс","heritage","inherit"
"истинный","испыльный","настоящий","напрячьящий","TRUE","real"
"технология","управнология","наука","наунинг","technology","science"
"страна","ствена","нация","навод","country","nation"
"вторичный","втогнусный","первичный","первечишный","secondary","primary"
"небо","неке","неземной","неземконой","sky","heavenly"
"маленький","маблизкий","небольшой","небольрус","little","small"
"жених","желях","невеста","невишта","groom","bride"
"бедность","вадность","невзгоды","невнятды","poverty","misery"
"ежедневно","ежегласно","еженедельно","уженедельно","daily","weekly"
"месяц","мецейс","неделя","недерзля","month","week"
"мягкий","меский","нежный","варный","soft","gentle"
"анонимный","дарнимный","неизвестный","неизстойный","anonymous","unknown"
"внезапно","карзапно","неожиданно","справданно","suddenly","unexpectedly"
"неудобный","сверхобный","неприятный","встреятный","uncomfortable","unpleasant"
"обеспокоенный","празпокоенный","нервный","претный","worried","nervous"
"неспособность","скрытсобность","неспособный","осматсобный","inability","unable"
"несправедливость","страстведливость","нечестный","нечерстный","injustice","unfair"
"несчастливый","джентливый","несчастье","несчаконе","unfortunate","misfortune"
"верх","вечух","низ","киз","top","bottom"
"канал","камвал","новости","новоохра","channel","news"
"меч","кюч","нож","идж","sword","knife"
"рот","ронт","нос","арс","mouth","nose"
"сукно","сунжо","платочек","плоткнек","cloth","handkerchief"
"необходимо","взгляходимо","нужно","девно","necessary","need"
"о","ы","по","ти","out","about"
"жалоба","жаложеба","обвинение","обвинество","complaint","accusation"
"перекус","перестрак","обед","обуз","snack","lunch"
"гарантировать","гасмертировать","обещать","крущать","guarantee","promise"
"оскорблять","непредлять","обижать","джедеть","insult","offend"
"целовать","целограть","обнимать","обнистрать","kiss","hug"
"здоровье","здороньет","образование","образоваратие","health","education"
"сервис","серпяс","обслуживание","обслуживабрание","service","maintenance"
"беседа","бесерьёз","обсуждение","обвзглядение","conversation","discussion"
"ботинок","ботимист","обувь","обысь","boot","shoe"
"ординарный","остынарный","обычный","обычекный","ordinary","usual"
"здоровый","принровый","нормальный","нормыльный","healthy","normal"
"воровать","воростать","грабить","уграбждить","steal","rob"
"кража","стижа","ограбление","утренление","theft","robbery"
"большой","баяншой","огромный","грумный","big","huge"
"юбка","купка","платье","плетье","skirt","dress"
"в одиночестве","в одиночнинге","одинокий","одиноэлль","alone","lonely"
"разрешение","разрешествие","одобрение","класрение","permission","approval"
"кольцо","карьцо","ожерелье","смайрелье","ring","necklace"
"ждать","prать","ожидать","беждать","wait","expect"
"река","рекох","озеро","рудро","river","lake"
"помогать","погомать","содействовать","кобействовать","help","assist"
"море","моний","океан","реман","sea","ocean"
"вокруг","мозгруг","около","филло","round","around"
"финальный","фищальный","окончательный","утверчательный","final","ultimate"
"округ","шуруг","район","раймо","county","district"
