"fa_cue","fa_fake_cue","fa_target","fa_fake_target","en_cue","en_target"
"ایده آل","ایدهغسل","کامل","کاگم","ideal","perfect"
"ایستادن","ایستلون","نشستن","ستندین","stand","sit"
"اینترنت","کونترنت","شبکه","کشب","internet","web"
"اینجا","ایترا","آنجا","آنقه","here","there"
"با ادب","بالقدب","مهربان","مهليان","polite","friendly"
"با شکوه","با شژيه","شکوه","شککش","glorious","glory"
"بابا","باگه","مادر","مانن","daddy","mum"
"باد","یید","طوفان","طوجون","wind","storm"
"بار","ندر","محموله","دوموله","load","cargo"
"باران","بایرین","برف","طاف","rain","snow"
"باروت","بادات","دینامیت","دیناقات","gunpowder","dynamite"
"شاه","بانکن","ملکه","هیار","baron","countess"
"باز","باتقکن","بسته","بسیش","open","close"
"بازتاب","بازتبی","آینه","دکنه","reflection","mirror"
"بازرس","بالنس","رئیس پلیس","لیپس","inspector","commissioner"
"بازگشت","بازگاب","برگشت","بربوت","back","return"
"بازنده","باروده","برنده","رمنده","loser","winner"
"بازی کردن","باود","بازی","زیبک","play","game"
"بازیابی کردن","بازیابرآکردن","شفا دادن","شفومدادن","recover","heal"
"کافه","بامباه","رستوران","ندر","club","bar"
"باشه","بادن","آره","نجه","okay","yeah"
"باغ وحش","باحيوحش","سیرک","کسرک","zoo","circus"
"استراحت","حتراس","خواب","خویر","rest","sleep"
"بالا","بایش","پایین","پاچون","top","bottom"
"بالا رفتن","بالاقافتن","پریدن","وقش","climb","jump"
"بالغ","غبل","والدین","واپرین","adult","parent"
"بانکدار","کزاد","سرمایه گذار","یهسگ","banker","investor"
"بانکداری","گزاید","مالی","مایش","banking","financial"
"بخشیدن","ببخشکش","معذور داشتن","ورذع","forgive","excuse"
"بتن","زبن","فولاد","فورتد","concrete","steel"
"دایه","اهدن","خدمتکار","تلمتکار","nanny","maid"
"بحرانی","نظرانی","سیاسی","سییتی","critical","political"
"بخش","یزش","پاراگراف","اجراگراف","section","paragraph"
"بخشش","بخبا","رحم","یمم","forgiveness","mercy"
"مریض","يق","بیمار","بیجور","ill","sick"
"شرارت","يق","بی‌رحمی","محرب","evil","cruelty"
"بدبخت","بدپاتی","رقت انگیز","گزتان","miserable","pathetic"
"بدن","اچن","جسد","يتد","body","corpse"
"آفرین","برشمو","احسنت","تعفا","bravo","alpha"
"برج","ايج","ساختمان","ساختلين","tower","building"
"برده","عاده","خدمتگزار","خدمتشخار","slave","servant"
"بررسی","براتی","تصدیق کردن","تصدیكتکردن","check","verify"
"برهنه","بروگه","لخت","برواه","nude","naked"
"بزرگ","بزعه","درشت","ادرگ","big","huge"
"بستن","كاتن","گره زدن","چرت هين","bind","tie"
"بسکتبال","داکتبال","فوتبال","فورتال","basketball","football"
"بسیار","مایار","خیلی","بسيسر","extremely","very"
"خوشگل","گشلخ","زیبا","زیشش","pretty","beautiful"
"بطور آهسته","تهراس","به سرعت","بهسارعت","slowly","quickly"
"بلا استفاده","بلکباستفاده","بی ارزش","بی ايطش","useless","worthless"
"بلع","ميع","جویدن","خایدن","swallow","chew"
"بلیط","بلطس","گذرنامه","اورنامه","ticket","passport"
"بمب","نشب","انفجار","انسیار","bomb","explosive"
"بنای تاریخی","تارکلی","مجسمه","مجكله","monument","statue"
"به سادگی","بهقرادگی","ساده","سالگ","simply","simple"
"به طور تصادفی","تصافشی","از قصد","از قرج","accidentally","intentionally"
"به طور طبیعی","بهچحور","بطور کلی","بطورائلی","naturally","generally"
"به طور معمول","کهعمول","معمولا","معکيلا","normally","usually"
"به علاوه","بهقدلاوه","منهای","کههای","plus","minus"
"به معنای واقعی کلمه","قعکمه","عملا","عموئ","literally","practically"
"به وضوح","بهقویح","به طور مشخص","بهگرور","clearly","obviously"
"به وقوع پیوستن","بهپوع","اتفاق افتادن","قفتان","occur","happen"
"بهار","نظار","پاییز","زیییز","spring","autumn"
"بهشت","بهاب","جهنم","یونم","paradise","hell"
"چکمه","مکچ","کفش","بقش","boot","shoe"
"بوته","ديته","درخت","درلن","bush","tree"
"بودجه","بوگشه","منابع مالی","منابوقمالی","budget","funding"
"بوسه","بولي","بغل","لبغ","kiss","hug"
"بی خطر","بیزنطر","امن","امسیاست","safe","secure"
"بی صدا","بیوودا","سکوت","كشوت","silent","silence"
"بی عدالتی","بیپبدالتی","صفنانه","تدر منصفانه","injustice","unfair"
"بی گناه","بیجیناه","گناهکار","گنميکار","innocent","guilty"
"بیمارستان","هامارستان","درمانگاه","درماتراه","hospital","clinic"
"بین المللی","بیجوالمللی","جهان","دفان","international","world"
"بیوه","بیثا","زن","يز","widow","woman"
"پادزهر","پانسهر","واکسن","واگدن","antidote","vaccine"
"پارانوئید","پارایائید","دیوانه","دیوارد","paranoid","crazy"
"پارچه","پاجره","دستمال کاغذی","دستمالنماغذی","cloth","handkerchief"
"پاسخ","خسپ","جواب","ئاب","answer","reply"
"پاكت نامه","پاكتيكامه","بسته بندی","بستهييندی","envelope","package"
"پایان دادن","اقیان","تمام کردن","متمام دارت","end","finish"
"پایانه","پاپونه","فرودگاه","فروديهه","terminal","airport"
"پایه","پاسپ","مرکز فرماندهی","مرکزنخرماندهی","base","headquarters"
"پایین","پافين","بالا","بالاششردن","down","up"
"پایین تر","پاییرنتر","بالاتر","بایش","lower","upper"
"پتانسیل","صفانسیل","استعداد","اسزنداد","potential","talent"
"پتو","غذو","حوله","جسله","blanket","towel"
"پختن","فتتن","سرآشپز","سرآشاغ","cook","chef"
"پدر بزرگ","پدفيبزرگ","مادر بزرگ","مادردلزرگ","grandfather","grandmother"
"پدیده","ولیده","رویداد","روششاد","phenomenon","event"
"پذیرش","پذنهش","مهمانی","اهمان","reception","party"
"پرچم","پركش","سمبل","قدبل","flag","symbol"
"پروانه","پروارد","پرنده","ردنده","butterfly","bird"
"پروتئین","پروتالن","ویتامین","ویتاشتن","protein","vitamin"
"پزشکی","ذهشکی","روانشناختی","روانشنیتی","medical","psychological"
"پژوهش","جگوهش","مطالعه","مطالوق","research","study"
"پست","تسپ","فکس","جدس","mail","fax"
"پسران","عاران","دختران","بتتران","boys","girls"
"ترکیدن","کترید","منفجر شدن","منفجايکردن","burst","explode"
"پل","لص","تونل","توضي","bridge","tunnel"
"پمپ","وخپ","شلنگ","تشنگ","pump","hose"
"سرپناه","اخاه","پناه‌ گاه","قداه","refuge","shelter"
"پناهنده","سیاهنده","فراری","تکاری","refugee","fugitive"
"پنجره","اخجره","در","درههدرب","window","door"
"مدخل","خدلم","دروازه","دروارت","portal","gate"
"فیلم پورن","پواوو","فیلم سینما","یلف سمکما","porn","movie"
"پوست","پوده","بافت","باوی","skin","tissue"
"پوشاندن","پوجمش","پنهان کردن","هناپ","cover","hide"
"پول نقد","لوم خشد","پول","معل","cash","money"
"پوند","ابند","دلار","یدار","pound","dollar"
"پویش","پوشب","انتخابات","انتخلیات","campaign","election"
"پی بردن","پیلخردن","فهمیدن","فهمیگف","realize","understand"
"پیانو","مجانو","گیتار","آستار","piano","guitar"
"زن روز","فتر","مجله","هلج","playboy","magazine"
"پیراهن","پیرالب","ژاکت","صنکت","shirt","jacket"
"پیروزی","پیروهش","شکست","شکستبپادن","victory","defeat"
"پیشرفت","پیغمرفتن","توسعه","توکپه","progress","development"
"پیشنهاد","پیشنئيد","دادن","داما","offer","give"
"پیشنهاد","نشهاد","توصیه","یصته","propose","suggest"
"پیک نیک","پیفتنیک","چادر زدن","دچر","picnic","camping"
"جیلینگ صدا دادن","پیتس","دنگ دنگ صدا دادن","الگن","ping","ding"
"تائیدیه","تاجلدیه","تایید","تاميد","confirmation","confirm"
"تابستان","تاایتان","زمستان","دیتان","summer","winter"
"تابوت","تاودت","مراسم خاکسپاری","قسرام پاسراری","coffin","funeral"
"تاج پادشاهی","تاساپاشدهی","تخت پادشاهی","خرپاشدهی","crown","throne"
"تاریکی","تاارکی","نور","يرک","darkness","light"
"تازه","تادن","تازه کردن","تازهبخردن","fresh","refresh"
"نان تست","تاخي","کالباس","ويکن","toast","bacon"
"تاکسی","تالبی","لیموزین","لیمونمن","taxi","limousine"
"تبریک گفتن","تبلتک","سلام کردن","زيام","congratulate","greet"
"قرص","تباس","دارو","صوص","tablet","pill"
"تبلیغات","تبلیتوت","بازار یابی","بازايتیابی","advertising","marketing"
"تپانچه","پسانچه","سلاح","سلحش","pistol","weapon"
"تپه","فنه","کوه","جزه","hill","mountain"
"تجاری","جلاری","بازرگان","باردگان","commercial","merchant"
"تجربه","تجاجه","دانش","داتم","experience","knowledge"
"تجهیزات","جلهیزات","تجهیز کردن","تجهیتو","equipment","equip"
"تحسین","راسین","قدردانی","زکردانی","admire","appreciate"
"تحلیلگر","لیلیلگر","محقق","محئد","analyst","investigator"
"تراشه","تريره","دستگاه","بلتگاه","chip","device"
"ترتیب دادن","ترتیلندادن","سازمان دادن","سازمانفوادن","arrange","organize"
"هراساندن","سندهرا","ترساندن","ترعمندن","scare","frighten"
"ترسناک","ترکواک","ترس","ندس","horror","fear"
"ترسناک","ترکواک","عجیب و غریب","بریب ولدریب","scary","creepy"
"ترک","انک","سوراخ","سونيخ","crack","hole"
"ترک کردن","تربنکردن","رها کردن","رهنهکردن","leave","abandon"
"ترکیب","ترحزبی","مخلوط","مخافط","combination","mixture"
"تریلی","ترذیر","ون","بق","trailer","van"
"تشخیص","چهخیص","دانستن","ستندا","recognize","knew"
"تصویر","تصیلر","عکس","ييس","picture","photo"
"تعادل","تعئول","هماهنگی","گیاهنگی","balance","harmony"
"تعارض","بکارض","اختلاف نظر","امهن نخی","conflict","dispute"
"تعجب","تعوك","ناامیدی","مدیند","surprise","disappointment"
"کمیت","تعييد","کیفیت","فیترک","quantity","quality"
"تعریف و تمجید","تعریامو جید","هدیه","طلیه","compliment","gift"
"تغییر","تغییتندادن","بهبود","بهاید","change","improvement"
"تفنگ","حسله","اسلحه","بمنگ","rifle","gun"
"تقاضا","تقوغا","درخواست","درمياست","demand","request"
"تقویم","تقيکم","برنامه","برنارو","calendar","schedule"
"تلاش","اشلت","کوشش","تلاشييردن","try","attempt"
"تلسکوپ","تلسکحي","میکروسکوپ","میندوسکوپ","telescope","microscope"
"تلگراف","بنگراف","نامه","ایف","telegram","letter"
"تله","طمل","طعمه","صممه","trap","bait"
"توجه","تمارز","تمرکز","تمدوز","focus","concentrate"
"تمرین","زارین","ورزش","وررس","practice","exercise"
"تمیز","تمفش","شستشو","سزتشو","clean","wash"
"تنبیه کردن","تنبیگزکردن","دستگیری","بلتگیری","punish","arrest"
"به هم ریخته","ندد","کثیف","کثاى","nasty","filthy"
"مجرد","ستها","متاهل","متزيل","single","married"
"بی کس","ستها","تنها","نگهایی","alone","lonely"
"تهاجم","تهرزم","حمله","خنله","invasion","attack"
"تهیه کننده","پریه رکده","کارگردان","مدشت","producer","director"
"توالت","تورنت","روشویی","شیریو","toilet","sink"
"احترام","مرتحم","اعتماد","تمرع","respect","confidence"
"توجه","تووب","جذب کردن","جذپاکردن","attention","attract"
"تور","ستر","کنسرت","کنبتت","tour","concert"
"توصیف کردن","توصیلمکردن","بیان کردن","ناینب ردن","describe","express"
"توضیح","تونلح","قانع‌کننده","ریتمل","explanation","plausible"
"توطئه","توئره","تقلب","حسلب","conspiracy","fraud"
"تولد","توزم","بارداری","باتواری","birth","pregnancy"
"تومور","توصير","سرطان","سرخرن","tumor","cancer"
"توهم","توال","هذیان","توقصه","illusion","hallucination"
"توهین","تونتن","اهانت","تناهت","insult","offend"
"تیرانداز","خبرانداز","تک تیرانداز","تکيهیرانداز","shooter","sniper"
"درست کردن","سترد","تعمیر کردن","تعرور","fix","repair"
"ثانویه","وصنوی","اولیه","اونهه","secondary","primary"
"جاده","جاوز","بزرگراه","بزپيراه","road","highway"
"جریان","تتری","برق","فيق","current","electricity"
"جاز","رکز","موسیقی","موميقی","jazz","music"
"جاسوسی","انسوسی","خرابکاری","خرابيتری","espionage","sabotage"
"جاسوس","انسوسی","خائن","خايپ","spy","traitor"
"جامعه","جاکزه","انجمن","انخزن","society","community"
"جانور","جااير","حیوان","شكوان","beast","animal"
"جام","جامیه","مدال","خجال","trophy","medal"
"پاداش","شداپ","جایزه","جانمه","bonus","reward"
"جایگزین کردن","جایگزیهاکردن","تعویض کردن","جانشزین","replace","substitute"
"جلو","ولج","عقب","كوب","front","rear"
"میز","زمیت","صندلی","صنفای","table","chair"
"زیبا","بیزاب","جذاب","بذاج","attractive","charming"
"جراح","جحرار","دکتر","غيتر","surgeon","doctor"
"جستجو کردن","جستجبنکردن","پیدا کردن","پیداومردن","search","find"
"جعبه","عضبه","کیسه","درپادرن","box","bag"
"جعلی","زالی","غلط","جفط","fake","FALSE"
"جلوگیری کردن","جلوگیرتشکردن","متوقف کردن","متوقپرکردن","prevent","stop"
"همه","ایع","کامل","کاگم","total","complete"
"جمع کردن","جمفـکردن","جمع آوری","جمع ادری","collect","gather"
"جمعیت","جمرکت","حضار","انگر","crowd","audience"
"جمعیت","جمرکت","مردم","مرنش","population","people"
"جنسی","هيسی","فیزیکی","عرزیکی","sexual","physical"
"جنگ","نيگ","نبرد","نبدی","war","battle"
"جنگل","جنفم","بیشه","جنپر","jungle","forest"
"نابغه","هيگی","دانشمند","دانشتاد","genius","scientist"
"جنوب","لکوب","شمال","گيالی","south","north"
"جنوبی","جنتای","غربی","ربغ","southern","western"
"جنون","طشون","حماقت","مغاقت","madness","stupidity"
"جهت یابی","جهبخیابی","ارتباط","ارتبمز","navigation","communication"
"غفلت","ؤول","غرور","نيور","ignorance","arrogance"
"جوانی","جودهان","کودکی","دکوک","youth","childhood"
"جوجه","جوشو","بوقلمون","بورتمون","chicken","turkey"
"جیب","كيب","کیف پول","کینسپول","pocket","wallet"
"جیپ","سخپ","کامیون","کازبون","jeep","truck"
"چرت زدن","چرت لسن","قدم زدن","قدابزدن","nap","stroll"
"چشم","صتم","گوش","رنش","eye","ear"
"منظره","ظرهم","چشم انداز","چشدكانداز","view","perspective"
"تاثیرگذار","ذارگت","شگفت انگیز","شگفتحشنگیز","impressive","amazing"
"چوب","يکب","چکش","یلش","stick","hammer"
"چی","يب","آن","رمن","what","that"
"حادثه","حایاه","تصادف","تصزوف","incident","accident"
"حاوی","حاسر","محتوا","نستوا","contain","content"
"حراج","تیاج","فروش","فریل","auction","sale"
"گرما","مراگ","درجه حرارت","حرافز","heat","temperature"
"حرفه","حروز","شهرت","تهرش","career","reputation"
"حرکت کردن","ترحک","منتقل کردن","منتقبلکردن","move","transfer"
"حسود","ودحس","خشمگین","خشحسین","jealous","angry"
"مهیج","ولاس","تماشایی","شمتایی","sensational","spectacular"
"حضور","وهور","غیبت","تغیت","presence","absence"
"حفر کردن","قحدن","دفن کردن","دففاکردن","dig","bury"
"حفظ کردن","ظفح دن","نگهداری کردن","هدارگ","preserve","maintain"
"حقوق بازنشستگی","حقوقپرازنشستگی","حقوق","حقاص","pension","salary"
"حلزون","اگزون","لاک پشت","لاششپشت","snail","turtle"
"انگشتر","عکقه","گردنبند","گرمیبند","ring","necklace"
"اعدام","حلنبی","قصاص","اعگرم","hanging","execution"
"حمایت کردن","حمایخاکردن","کمک کردن","شناونت","support","assistance"
"حوزه","حوال","منطقه","مننله","area","zone"
"خارج","خارجمپز","داخل","دلخ","outside","inside"
"بیرون از","خارجمبردن","در باره","درشلاره","out","about"
"خاکستر","خاستتر","گرد و خاک","پرد و پرک","ash","dust"
"خال کوبی","خایدکوبی","جای زخم","خزجام","tattoo","scar"
"خالی","ایلی","پُر","پرههده","empty","full"
"خانه","نينه","اپارتمان","سنارتمان","house","apartment"
"خبرنگار","خبدوگار","روزنامه نگار","روههامه نگار","reporter","journalist"
"خداوند","تلاوند","الهی","ونهام","god","divine"
"عالیجناب","تلاوند","سرکار خانم","بابهی","lord","lady"
"خدمه","آشمه","کشتی","نگتی","crew","ship"
"خر","اص","اسب","لاب","donkey","horse"
"خراش","آلاش","کبودی","آپودی","scratch","bruise"
"خرس","طیس","گرگ","رسگ","bear","wolf"
"خروج","خرچت","ورود","سنود","exit","entrance"
"خرید","آلید","فروش","فریل","buy","sell"
"خسته","وضته","گرسنه","گرقله","tired","hungry"
"خشک","يرک","مرطوب","مردرب","dry","wet"
"خشم","ملش","عصبانیت","تنصت","anger","rage"
"خصوصی","خصرپی","حریم شخصی","خصی مریح","private","privacy"
"خط مشی","یشط","سیاستمدار","سیاسلحدار","policy","politician"
"خطا","لکا","اشتباه","تهبرا","error","mistake"
"ریسک","کریکس","خطر","ونر","risk","danger"
"مخاطره‌ آمیز","خطرنئي","خطرناک","خطرنسن","risky","dangerous"
"خلیج","خليم","بندرگاه","بندروژه","bay","harbor"
"بخوان","نخوبان","بنویس","سیون","read","write"
"خواندن","خوانتک","نوشتن","نویون","reading","writing"
"خواننده","خوندنده","موسیقی دان","نورلنده","singer","musician"
"خواهر","خوصبر","برادر","بررگر","sister","brother"
"دلنشین","شیند","دوست داشتني","دوستمباشتني","nice","lovely"
"خوب","واب","بد","ئل","good","bad"
"امضا","خونگکار","عکاس","اگاس","autograph","photographer"
"خودکشی کردن","خودکشیدیردن","آدم کشی","آدم لوی","suicide","murder"
"خوراندن","گاراک","خوردن","خودان","feed","eat"
"خوراک مختصر","مخوکر","ناهار","نانجر","snack","lunch"
"خوش بین","خوتطبینانه","واقع بین","واقعهسین","optimistic","realistic"
"خوش طعم","خوکمطعم","خوشمزه","خونیزه","tasty","delicious"
"خون","نسن","ادرار","ادرامفکردن","blood","urine"
"خیابان اصلی","بخیاصلی","خیابان","گزابان","avenue","street"
"خیال پردازی","خیالنسردازی","خلاقیت","خلاقهي","imagination","creativity"
"خیریه","شتریه","کمک مالی","کمدتمالی","charity","donation"
"دادگاه","دانساه","قضاوت کردن","قضاولککردن","court","judge"
"داده","دادهـسا","اطلاعات","چولاعات","data","information"
"سرمایه","مرسایه","سرمایه گذاری","سرمانک","finance","invest"
"دارچین","داشوین","وانیل","رونیل","cinnamon","vanilla"
"داغ","ابغ","سرد","لبد","hot","cold"
"داماد","دااسد","عروس","فیوس","groom","bride"
"دامن","دازش","لباس","كواس","skirt","dress"
"دانش آموز","مشن ماز","معلم","معنن","student","teacher"
"دانشکده","دانشجیه","دانشگاه","داريگاه","college","university"
"داوطلب","داوطنج","به طور داوطلبانه","طوانلبان","volunteer","voluntarily"
"دایره","داتیه","مثلث","مثژم","circle","triangle"
"منشی","دبیرخامنشی","دستیار","دسدکار","secretary","assistant"
"تنباکو","دخانهيت","سیگار","سیارر","tobacco","cigarette"
"دختر","دخید","پسر","تگر","girl","boy"
"رئیس دانشگاه","رفین","استاد","اسمند","dean","professor"
"در جای دیگر","در جای داپر","جایی","جايگ","elsewhere","somewhere"
"در حقیقت","درآغقیقت","واقعا","واتما","actually","really"
"در نظر گرفتن","دررضهرفتن","فکر کردن","جدر","consider","think"
"درج کردن","درخاکردن","قرار دادن","قراراسادن","insert","put"
"درخشش","درهمش","روشن","رورز","shine","bright"
"به کار بردن","درخواسمسدادن","استفاده کردن","فساهددن","apply","use"
"راست","سترم","چپ","پب","right","left"
"درست است، واقعی","درست استـتواقعی","واقعی","وافهی","TRUE","real"
"درمان","درلين","معالجه","جلعم","therapy","treatment"
"درمانده","درمااره","بی نیرو","بی نشیو","helpless","powerless"
"درهم کوبیدن","درهمجروبیدن","شکستن","ستکتن","smash","break"
"دروغ","درقل","دروغ گو","دروغزاو","lie","liar"
"داخلی","لخادی","خارجی","خافهی","internal","external"
"دریا","درلش","اقیانوس","اقزينوس","sea","ocean"
"نیروی دریایی","دریانت","ناوگان","نایتان","naval","fleet"
"دریایی","دریانت","نیروی دریایی","نیروفشدریایی","marine","navy"
"دزد","اصد","مجرم","سهایی","thief","criminal"
"دزد دریایی","دزفلدریایی","ملوان","وسوان","pirate","sailor"
"دست","محت","بازو","باوب","hand","arm"
"دست کم گرفتن","کملبرفتن","اغراق کردن","قراغ دن","underestimate","exaggerate"
"دسته","بلته","گروه","گرکش","gang","group"
"دسر","ذير","کیک","ينک","dessert","cake"
"دشمن","كرمن","حریف","حرتک","enemy","opponent"
"دکمه","غيمه","فشار دادن","مطبورشت","button","press"
"دلسوز","دلسوئد","سخاوتمند","جیاوتمند","compassionate","generous"
"دلیل","دلخو","علت","أتت","reason","cause"
"دنبال کردن","دنبادرکردن","تعقیب کردن","تعائب","follow","chase"
"دهان","لنان","بینی","کرنی","mouth","nose"
"دو","یت","چهار","خلار","two","four"
"دو برابر","دوهکرابر","سه برابر","سهزهانه","double","triple"
"سیگار کشیدن","یلد","سیگار","سیارر","smoke","cigar"
"دور","ذار","دور و بر","دوپرو بر","round","around"
"دور زدن","دویسزدن","چرخاندن","چرشمندن","turn","rotate"
"دوربین","دوونین","میکروفون","میکرالون","camera","microphone"
"دوز","يرز","تزریق","رزیق","dose","injection"
"دوش","يفش","حمام","گهام","shower","bathroom"
"دوشنبه","کيشنبه","سه‌شنبه","قيشنبه","monday","tuesday"
"ثانیه","دویون","دقیقه","چمیقه","second","minute"
"دی وی دی","دی وزندی","ویدیو","مقدیو","dvd","video"
"دیپلم","دیجزم","فارغ التحصیل","فارغجملتحصیل","diploma","graduate"
"دیدن","دیشه","ملاقات کردن","ملدهات","see","meet"
"دیر","لشر","زود","تخد","late","early"
"دیوار","آموار","حصار","سكار","wall","fence"
"ذهنی","مئنی","هیجانی","عالزی","mental","emotional"
"ذوب شدن","زکب شدن","یخ زدن","یخرادگی","melt","freeze"
"راحت","راطم","دلپذیر","دلوایر","comfortable","pleasant"
"رادار","راهير","ماهواره","مانکاره","radar","satellite"
"رادیو","رايگو","تلویزیون","تلویفرون","radio","television"
