"ar_cue","ar_fake_cue","ar_target","ar_fake_target","en_cue","en_target"
"فرصة","فورات","إمكانية","ببكانرة","chance","possibility"
"مصنع","مصرقم","إنتاج","إنطلج","factory","production"
"حذِر","إنوير","إنذار","إنوير","alert","alarm"
"رأي","سباتق","وجة نظر","إنجياع","view","perspective"
"افتتاح","افتزو","إغلاق","فعهاء","opening","closure"
"أمل","آمل تج","إيمان","لكمانت","hope","faith"
"رشوة","هموة","ابتزاز","ألتزاز","bribe","blackmail"
"ابنة","يكت","ابن","مجنش","daughter","son"
"حفيد","كبيد","ابن شقيق","مجنض","grandson","nephew"
"مستعمرة","مشتعلف","اتحاد","اتورد","colony","federation"
"عقد","اغدز","اتفاق","كوفاق","contract","agreement"
"شكوى","شكفا","اتهام","علهام","complaint","accusation"
"يمسك","معات","يحتفظ","احاحظ","hold","keep"
"تجربة - قام بتجارب","بتحمرب","اختبار","بيتبار","experiment","test"
"أخذ","يوف","يختطف","بيتطف","kidnap","abduct"
"موت","الزات","اختفاء","بيتفاء","death","disappearance"
"اختيار","وهار","خيار","بيتيار","choice","option"
"ليل","سنل","المساء","الصلار","night","evening"
"أدخل","أدطف","اذهب","نلهب","enter","go"
"فوضى","فواك","ارتباك","اردراك","chaos","confusion"
"وزن","آنن","ارتفاع","اريساع","weight","height"
"يقود","قاجى","ركوب","ارزك","drive","ride"
"حل محل","وكتبدل","يستبدل","اسبادل","replace","substitute"
"المالية","الوتلية","يستثمر","استثدير","finance","invest"
"منعطف _ دور","منغصف","استدارة","اسوبارة","turn","rotate"
"تحطيم","تحنجم","تكسير","استركية","smash","break"
"تطبيق","شعبيق","استعمال","استعيشل","apply","use"
"تقدم","تقوك","استمر","اسوفر","proceed","continue"
"عدد السكان","عداط","اشخاص","نفخاص","population","people"
"أعمى","أعجوخ","اطرش","خررش","blind","deaf"
"يعترف","مخترف","يقرّ","اعطيف","admit","confess"
"يجامل","بطثر","يبهر","نفجاب","flatter","impress"
"صناعة","تطاعة","اعمال","يكمالح","industry","business"
"الخدمات","الذهمات","اعمال صيانة","اعماج","service","maintenance"
"خاتمة","خاذبة","افتراض","افترـل","conclusion","assumption"
"اقرأ","اقظف","اكتب","اكاش","read","write"
"المجموع","الموعف","كامل","عدتمال","total","complete"
"سبتمبر","سبتمزج","اكتوبر","يوجوبر","september","october"
"أم","ازقف","أب","الخه","mother","father"
"بالغ","الظهاك","أحد الوالدين","السووين","adult","parent"
"يوم السبت","يوحيالسبت","الأحد","الشدد","Saturday","Sunday"
"هرمون","ضحمون","الأدرينالين","الأدروينا","hormone","adrenaline"
"قبيلة","عشيركل","الأسرة","العورة","clan","family"
"أعلى","أعدنغ","سفلي","الأساع","top","bottom"
"كابل","كارم","الأسلاك","الأسيدك","cable","wire"
"أحمر","كامرث","الأصفر","التأفر","red","yellow"
"رادار","احدار","قمر صناعي","الشباعية","radar","satellite"
"هواء","هودي","الأكسجين","الأكأمين","air","oxygen"
"بلد","غادف","الأمة","الدوزاة","country","nation"
"الخدمات المصرفية","الخدمار","ماليّ","الأمور المالتك","banking","financial"
"فم","قرهات","أنف","الاصف","mouth","nose"
"ذو قيمة","قوتيمة","مهم","الجذيمية","valuable","important"
"تواصل","اتكم","الإتصال","الحسالق","contact","connection"
"خاص","يطرخاك","خصوصية","البأمالية","private","privacy"
"قناة","توثاة","أخبار","التدبارية","channel","news"
"يسب","حجانة","يهين","البلاوان","insult","offend"
"تكرر","تكيط","الإشارة","الرسارة","frequency","signal"
"الربح","اضح","الدخل","الإيراحلت","profit","income"
"التنقل","التنسي","التواصل","الكوصالات","navigation","communication"
"أول","اطلش","الأخير","الأبيرث","first","last"
"المستشعر","المستشلع","جهاز إرسال","الارطول","sensor","transmitter"
"رجل","اضلخ","إنسان","الانوين","man","human"
"جلد","لودج","الانسجة","الانرثة","skin","tissue"
"غريزه","غرئده","البديهة","البدفحة","instinct","intuition"
"أخضر","لوحاسف","برتقالي","البركالي","green","orange"
"حار","القرقض","بارد","الدافح","hot","cold"
"مقزز","مقـس","بشع","الزيعوق","disgusting","ugly"
"حِمل","لسل","البضائع","الإعائع","load","cargo"
"العمود الفقري","الفاضتي","البطني","الكرناي","spinal","abdominal"
"دم","عياك","البول","المزل","blood","urine"
"ملعب","تتجاعب","البيسبول","البينقول","stadium","baseball"
"سمع","اصع","التجربة","التجيئة","hearing","trial"
"يختبر","يخوفر","يحقق","التحونف","examine","investigate"
"تشريح الجثة","تشرجف","تحليل","التحضرلات","autopsy","analysis"
"الصحة","الأصة","التعليم","التعسلم","health","education"
"عصري","تهريقوف","تقليدي","العمليديين","modern","traditional"
"مذياع","اكياع","التلفاز","التلكهز","radio","television"
"ميزانية","تبلو","تمويل","التمجال","budget","funding"
"ختم","تفحاجم","التوقيع","التوفزع","stamp","signature"
"احترام","ينترام","الثقة","الغرة","respect","confidence"
"جنة","ثاقة","الجحيم","الخجيم","paradise","hell"
"العمل","المؤلق","الجراحة","الرواخة","operate","surgery"
"مدني","أفنيز","حربي","المضش","civil","military"
"البرمجيات","البرأكيات","الحاسوب","الحاديب","software","computer"
"يكره","باره","يحب","التغ","hate","love"
"عنكبوت","الاركبوت","حشرة","الأضرات","spider","insect"
"ثقافة","آناره","الحضارة","النكاراز","culture","civilization"
"يحمي","الحفاجط","يحفظ","الحفخد","preserve","maintain"
"الربيع","الزييف","الخريف","المثيف","spring","autumn"
"العدو","النزوص","الخصم","الشبم","enemy","opponent"
"يحمي","هاميط","يدافع","الزاع","protect","defend"
"ماذا او ما","البضام","الذي - التي","الحزالي","what","that"
"فوضى سياسية","فوضكيك","الرأسمالية","الرأيرالية","anarchy","capitalism"
"سنجاب","سنونب","الراكون","الراهمن","squirrel","raccoon"
"سوبرمان","ختبرمن","الرجل الوطواط","الرجديح","superman","batman"
"إجابه","بباته","الرد","الوطق","answer","reply"
"بشكل رسمي","بشكص","الرسمية","الحوزمية","officially","official"
"الفيزياء","الفيعباء","الرياضيات","العداضيات","physics","mathematics"
"النينجا","الجزنجا","الساموراي","السامولسي","ninja","samurai"
"يغرق","يغنورة","يسبح","الفضاحة","drown","swim"
"قميص","قمثه","السترة","الستغر","shirt","jacket"
"ضربة جزاء","ضرتك جزاء","عقوبة السجن","الشقن","penalty","imprisonment"
"خلية - زنزانة","رفية  زنزانة","السجن","الشقن","cell","prison"
"القيمة","العلموة","السعر","الاطراخ","value","price"
"الاختصاص القضائي","الاخلار","السلطة","السلمت","jurisdiction","authority"
"سماء","خفاءز","سماوي","السميكية","sky","heavenly"
"جلالة","يزالة","السمو","الاجحز","majesty","highness"
"مركبة","مرغية","سيارة","التحارات","vehicle","car"
"صفة","تشف","شخصية","الغوضية","character","personality"
"الوريد","الرييد","الشريان","الشركتن","vein","artery"
"وظيفة","هيفاوة","عمل","اليزل","job","work"
"القمر","اللكر","الشمس","الميسك","moon","sun"
"عنصري","عندقي","الشيوعي","الشيلس","racist","communist"
"قاس","زؤوس","الصعب","التذب","tough","hard"
"صامتة","قصازجة","الصمت","الظرت","silent","silence"
"نبض","بفض","الضغط","السدط","pulse","pressure"
"طريق","رطرتم","الطريق السريع","العطريط","road","highway"
"بحجم","بحاد","الطول","الإقلار","size","length"
"دولي","وقلي","العالم","العالمت","international","world"
"قاموس","قالس","العبارة","العبزيدة","dictionary","phrase"
"الماراثون","المارائـن","سباق","الخرصر","marathon","race"
"الجنوبي","الجنأتي","الغربي","الإعبي","southern","western"
"بيئة","بيدل","الغلاف الجوي","الفطاف","environment","atmosphere"
"الخاسر","الخاـي","الفائز","الفاعش","loser","winner"
"أولاد","أوصلد","بنات","الأشيات","boys","girls"
"شقّ","الفواك","حفرة","الكذوة","crack","hole"
"موز","رتز","الفراولة","الفرجيلة","banana","strawberry"
"إنجليزي","إنجلاطي","فرنسي","الفرضحية","english","french"
"شرير","جزير","القسوة","القسائ","evil","cruelty"
"الحرير","الحركا","القطن","اليشن","silk","cotton"
"تسلق","تستغ","قفز","الجهزف","climb","jump"
"البحرية","الدفرية","القوات البحرية","الوبفنات","marine","navy"
"الكلى","الإرى","الكبد","التند","kidney","liver"
"عادي","عاوان","كلاسيكي","الكلاسفة","typical","classic"
"ثانية","ضعنيا","دقيقة","اللحنوت","second","minute"
"معاناة","معانفر","الم","يكم","suffering","pain"
"فن","غلشاز","الأدب","المؤامات","art","literature"
"مستأجر","مساءجر","مالك العقار","الأسيلك","tenant","landlord"
"الهواة","المثاة","المحترفين","المحترون","amateur","professional"
"ربما","تاكن","محتمل","الأهتمل","maybe","probably"
"الاحتمال","احاتالا","محتمل","المحتمسف","probability","likely"
"يحتوي","يحبعي","المحتوى","المحنتى","contain","content"
"وكيل","قريل","المحقق","المحأت","agent","detective"
"المحيط الهادئ","المحياط","المحيط الأطلسي","الأنونسي","pacific","atlantic"
"الكحول","البخوز","المخدرات","الأندرات","alcohol","drug"
"محامي","أخامي","المدعي العام","المدعيلم","lawyer","prosecutor"
"مصرفي","مصتدي","المستثمر","المبمر","banker","investor"
"خبرة","غلرة","المعرفه","المعسيه","experience","knowledge"
"ضحية","جبزية","المفترس","اليسترس","prey","predator"
"مؤلف","مؤتل","الممثل","المملج","author","actor"
"ماركة","ماجية","منتج","الثبتوج","brand","product"
"بطل","ضلق","المنقذ","المنغوب","hero","savior"
"مفجر","لأجراف","جهاز ضبط الوقت","المونن","detonator","timer"
"مرشح","مرلغ","الناخب","النازفر","candidate","voter"
"مؤامرة","أقامرة","النصب والاحتيال","النصفيف","conspiracy","fraud"
"شبكة","شتصال","النظام","التنام","network","system"
"نحلة","مولة","نملة","اليجل","bee","ant"
"نموذج","إدوذج","النموذج المبدئي","النمدئي","model","prototype"
"الكوكايين","التلكايين","الهيروين","الهيعين","cocaine","heroin"
"صحراء","ركراء","الوادي","الوافب","desert","valley"
"السفارة","النمارة","الوزارة","الكباروة","embassy","ministry"
"غاز","نحزا","الوقود","الصرودام","gas","fuel"
"رومان","وجماني","اليونانية","اليوتمنية","roman","greek"
"أرملة","أرعبوة","امرأة","اماصة","widow","woman"
"الحملة الانتخابية","الانتلربية","انتخابات","اندياب","campaign","election"
"النشوة","النأتة","انتصاب","تعصاب","orgasm","erection"
"التوازن","الدليد","انسجام","انفتام","balance","harmony"
"هزة أرضية","كراضية","انفجار","تعفجار","earthquake","explosion"
"يقع","بعرز","ينهار","تبهيار","fall","collapse"
"فقر","لشر","بؤس","غساز","poverty","misery"
"نافذة","اوراباك","باب","اسبيز","window","door"
"عم","اجنشام","بابا","مصبا","uncle","dad"
"دافئ","دارغ","بارد","بالآق","warm","cool"
"دائما","داءنا","باستمرار","باستيطار","always","constantly"
"يشترى","سأترق","يبيع","انع","buy","sell"
"نجاح","بفاح","فشل","بالفظف","success","failure"
"إطلاقا","إطانقا","بالكامل","بابرامل","absolutely","completely"
"القرصان","القرحون","بحار","مقارو","pirate","sailor"
"نهر","كتر","بحيرة","أثورة","river","lake"
"تقويم","الأنويم","جدول","برناسب","calendar","schedule"
"مشروع","المشتفع","برنامج","برناسب","project","program"
"احتجاج","اثلجاجية","مظاهرة","بررحة","protest","demonstration"
"القاعدة","القاونة","بروتوكول","بروتسعول","rule","protocol"
"ببطء","ببـئ","بسرعة","بسماز","slowly","quickly"
"بطيء","اجاطيء","سريع","بسماج","slow","fast"
"ببساطة","ترساطة","سهل","بسثر","simply","simple"
"ثقيل","كشيل","بقوة","لودة","heavy","heavily"
"فجأة","تبأة","بشكل غير متوقع","بضارير","suddenly","unexpectedly"
"ثوم","اهازم","بصلة","فولز","garlic","onion"
"الحمض النووي","الحمنالنوي","بصمة","بصفق","dna","fingerprint"
"وزة","بجازح","بطة","شية","goose","duck"
"منافسة","منافدى","بطولة","أكولة","competition","championship"
"المؤخرة","الحميلف","العقب","بعشاز","ass","butt"
"قرب","اتبس","بعيد","فليد","near","far"
"قطعا","شجعاز","بقوة","ابوة","firmly","strongly"
"إسمنت","سلانيق","بلاستيك","بلاسحبك","cement","plastic"
"برج","لوجاف","بناء","تفاء","tower","building"
"بندقية","بنيحية","مسدس","بنتهاف","rifle","gun"
"منفذ","منتع","بوابة","بوبيباة","portal","gate"
"واشنطن","واشنم","بوسطن","بوكن","washington","boston"
"وضح","بوزنح","بوضوح","بومهح","clearly","obviously"
"تعليق","تعاحق","بيان","اخان","comment","statement"
"شراب","لأرب","بيرة","بيجا","drink","beer"
"عش","هض","بيضة","اخضاة","nest","egg"
"كيميائي","الكثديائية","بيولوجي","بيولبلي","chemical","biological"
"يصل","تغل","يأتي","يستي","arrive","come"
"نفوذ","تأتور","تأثير","تأتور","influence","effect"
"يستقطب","توكلف","تأجير","تأضور","hire","rent"
"يطعم","يطراد","تأكل","تأرح","feed","eat"
"التأكيد","التأياد","يؤكد","سعكيد","confirmation","confirm"
"تجاري","ملاراي","تاجر","تابوي","commercial","merchant"
"بحث","وجث","يجد","ملد","search","find"
"يقف","قاحوف","يجلس","ملافس","stand","sit"
"إنصهار","إنبعار","تجميد","تجاود","melt","freeze"
"معدات","إحدات","يجهز","تجكرز","equipment","equip"
"عقبة","فعبة","تحد","بدد","obstacle","challenge"
"كلام","حددن","تحدث","تحبق","talk","speak"
"طازج","طاقا","تحديث","تحولث","fresh","refresh"
"يختار","كستار","تحديد","تحولد","choose","select"
"تغيير","يتخذرون","تحسين","تحيهن","change","improvement"
"يتأكد","التحقأن","يتحقق","تحسع","check","verify"
"يهنىء","تهطنة","يحيي","تحقك","congratulate","greet"
"تجسس","تجمق","تخريب","ثوريب","espionage","sabotage"
"تجهيز","ملهيز","تخطيط","تخلوط","preparation","planning"
"مزاد علني","عبالاني","تخفيض السعر","تخفعر","auction","sale"
"يغادر","نحدور","يتخلى","تختب","leave","abandon"
"النزهة","الابهة","تخييم","انيم","picnic","camping"
"اليوغا","اليوءك","تدليك","عقليك","yoga","massage"
"خلق","تنق","تدمير","تدفكر","creation","destruction"
"ننسى","ننمس","يتذكر","تذصل","forget","remember"
"رماد","أزاد","غبار","عصارب","ash","dust"
"أمر","ضطار","ترتيب","ترثقب","command","order"
"التركيز","الالكيز","تركيز","ترتجز","focus","concentrate"
"يمكن","تاكن","يزود","طبود","enable","provide"
"سجل","رقل","تسجيل","تسرسل","record","recording"
"كبير","طوير","ضخم","سأربت","big","huge"
"إعلان","إعجين","تسويق","تسألق","advertising","marketing"
"غالبية","إرلبية","تصويت","تصذات","majority","vote"
"مسابقة","اليقابقة","مباراة","قرابق","tournament","match"
"تقدم","تقوك","تطوير","تطذار","progress","development"
"يبقى","الثلاء","تظل","فزل","stay","remain"
"الصبر","الونر","تعاطف","صتعيف","patience","compassion"
"عذاب","أساب","تعذيب","تعساب","torment","torture"
"مفهوم","مفجيم","تعريف","قريف","concept","definition"
"يحفز","عجار","يفعل","بتعيل","trigger","activate"
"تدرك","بنرك","تفهم","يعهم","realize","understand"
"فحص","نضص","تقتيش","تقلدق","examination","inspection"
"شجاعة","فحاعة","تقرير","تقظار","courage","determination"
"طريقة","يهيقة","أسلوب","مينية","method","technique"
"الملاحظة","الملاحقا","تقييم","شاقلقم","observation","evaluation"
"نصب","اوب","تمثال","تمنل","monument","statue"
"ماليا","مافها","تمويل","تمارحل","financially","financing"
"قيلولة","صالولة","يتنزه","نجزه","nap","stroll"
"جولف","جواق","تنس","سدس","golf","tennis"
"يرتب","يرامو","تنظم","تنباز","arrange","organize"
"صمام","حوام","تهوية","تنجت","valve","ventilation"
"مجتمع","المجلاع","جماعة","تواصك","society","community"
"انتظر","انرور","يتوقع","توزم","wait","expect"
"كنز","يغز","ثروة","رهوة","treasure","wealth"
"فقير","مسامن","ثري","إزي","poor","rich"
"دودة","الفيرو","ثعبان","ذهباق","worm","snake"
"واحد","لتحد","ثلاثة","خساثة","one","three"
"مزدوج","مزلنج","ثلاثي","طعاثي","double","triple"
"مطر","يزر","ثلج","سـج","rain","snow"
"نوبل","نورد","جائزة","جاؤية","nobel","prize"
"علاوة","علمىة","جائزة","جاؤية","bonus","reward"
"قراءة","قردرة","كتابة","جاريام","reading","writing"
"كون","اتن","مجرة","جالالاي","universe","galaxy"
"كلية","يكية","جامعة","جاطة","college","university"
"سحاقية","تصليه","مثلي الجنس","ثتي","lesbian","gay"
"تل","زة","جبل","حزل","hill","mountain"
"خبز","رفرض","جبنه","طونه","bread","cheese"
"جسم","الحشتام","جثة","ذوة","body","corpse"
"الى ابعد حد","البضابع","جدا","ثها","extremely","very"
"جد","طل","جدة","إقة","grandfather","grandmother"
"مريح","مرحلا","ممتع","إغاب","comfortable","pleasant"
"حلو","طبو","لطيف","إغاب","sweet","cute"
"اهتمام","إجتمام","جذب","إغب","attention","attract"
"مقال","تكط","جريدة","جرقية","article","newspaper"
"خطيئة","ائن","جريمة","مجرولة","sin","crime"
"عامل","ألمل","عنصر","ديء","factor","element"
"جنسي","الحسس","جسدي","جادني","sexual","physical"
"شيء","نوء","جُسيم","ثقيم","matter","particle"
"سحر","اعر","جمال","افال","charm","beauty"
"عظم","دبم","جمجمة","جمقصة","bone","skull"
"كلمة","كلاك","جملة","غولة","word","sentence"
"حشد","يححم","جمهور","وإهور","crowd","audience"
"جميلة","جمدية","جميل","وإيل","pretty","beautiful"
"رائع","راقظ","خيالي","وإيل","wonderful","fantastic"
"رقاقة","تلاقة","جهاز","حضاز","chip","device"
"تذكرة","تذضية","جواز سفر","كراز سفر","ticket","passport"
"كمية","مزية","جودة","جونه","quantity","quality"
"متعَب","متفره","جائع","جوبين","tired","hungry"
"روميو","روكرو","جوليت","تسلاي","romeo","juliet"
"الماس","النيس","جوهرة","كرهرة","diamond","jewel"
"الفيلق","التحلق","جيش","تبش","legion","army"
"حادثة","حارحة","حدث","حارزة","incident","accident"
"أوركسترا","أوافسترا","فرقة","حافظس","orchestra","band"
"الفيدرالية","الفيدرا","حالة","حاته","federal","state"
"عاجل","عاية","حالة طوارئ","حالطواعن","urgent","emergency"
"سلسلة","سلصية","حبل","عولف","chain","rope"
"كبسولة","ماح","قرص دواء","نعاقل","tablet","pill"
"ظاهرة","ظارعة","حدث","طلث","phenomenon","event"
"حذاء طويل","حذرويل","حذاء","عضاء","boot","shoe"
"يعُدّ","مثد","يحسب","سواب","count","calculate"
"دقيق","يظيس","حساس","سواس","delicate","sensitive"
"صخر","اروث","حصاة","أجاة","rock","stone"
"حمار","شراز","حصان","زيان","donkey","horse"
"نتيجة","نتقاة","حصيلة","هايلوف","result","outcome"
"قبلة","اصلاز","يحضن","رلن","kiss","hug"
"إنقاذ","إنفصذ","حفظ","ذكوز","rescue","save"
"استقبال","اسأط","حفل","أثل","reception","party"
"جولة","زالة","حفلة موسيقية","حفلة موسقضية","tour","concert"
"فعلا","جولا","حقا","قدا","actually","really"
"إبرة","تمراز","حقنة","قدانة","needle","syringe"
"جرعة","طنعة","حقنة","صدانة","dose","injection"
"حقيبة","حقاحية","حقيبة سفر","اتر","briefcase","suitcase"
"صحيح","ركيح","حقيقي","تييقة","TRUE","real"
"متفائل","متفازن","واقعي","حقفري","optimistic","realistic"
"الادارة","الوسارة","حكومة","حكبلة","administration","government"
"قَسَم","أقفك","حلف","تيف","swear","oath"
"مسلسل","مساضل","حلقة","حلنه","series","episode"
"كابوس","اقبوس","حلم","طبم","nightmare","dream"
"سعال","قضال","حمة","مـة","cough","fever"
"ولادة","تقادة","حمل","صالق","birth","pregnancy"
"شخصي","اصي","حميم","صفايم","personal","intimate"
"خارج","خاكس","حول","دفل","out","about"
"مستدير","مسكرير","حول","دفل","round","around"
"وحش","هيش","حيوان","صلوان","beast","animal"
"الجاسوس","الجاينس","خائن","خاقش","spy","traitor"
"عبد","شراردة","خادم","خاهر","slave","servant"
"مربية","مرادة","خادمة","خازية","nanny","maid"
"داخلي","دارمي","خارجي","خالسي","internal","external"
"مزورة","شهوارة","خاطئة","خاهشة","fake","FALSE"
"ثانوي","ثاغي","أساسي","أخورات","secondary","primary"
"شفة","تظة","خدّ","سق","lip","cheek"
"مضخة","مضين","خرطوم","خرضاخ","pump","hose"
"بوصلة","بودمة","خريطة","خرصية","compass","map"
"خزانة","يثانة","دولاب","فمانة","cabinet","closet"
"ضلال","جرأ","خطأ","علز","error","mistake"
"خطاب","علاب","خطبة","تهبة","speech","sermon"
"مخاطرة","مخخيرة","خطر","كتر","risk","danger"
"محفوف بالمخاطر","محفوع","خطير","علير","risky","dangerous"
"يزيد","حاصادص","يقلل","جـض","increase","reduce"
"ظلام","الدعام","ضوء","لآيفة","darkness","light"
"نزاع","كساع","خلاف","محاف","conflict","dispute"
"مزيج","مزصه","خليط","خلور","combination","mixture"
"خارق للعادة","خاراوقة","خوارق","نطارق","supernatural","paranormal"
"واقع","واسب","خيال","وهالي","reality","fantasy"
"مفاجئة","مفاجبك","خيبة الامل","خيمل","surprise","disappointment"
"ظل","طم","داكن","داثي","shadow","dark"
"ابحاث","مجحاث","دراسة","درعدة","research","study"
"حرارة","الحتمارة","درجة الحرارة","الحراين","heat","temperature"
"درقة","تجع","درع","زوازع","shield","armor"
"قانون","كوانون","دستور","دسبير","law","constitution"
"يحفر","خار","يدفن","ورن","dig","bury"
"عميد","غريد","دكتور جامعى","دكتامع","dean","professor"
"دليل","اصيلام","إثبات","اصيل","evidence","proof"
"مخ","قنتاه","دماغي","دمكبي","brain","cerebral"
"فنان","بزان","رسام","نقان","artist","painter"
"دش","هؤ","دوره المياه","ودورهم","shower","bathroom"
"حارس","حاكا","دورية","تظرية","guard","patrol"
"جنيه","عتيه","دولار","دوقبر","pound","dollar"
"دار الأيتام","داقر","دير","وار","orphanage","convent"
"معبد","معنر","دير","ديرص","temple","monastery"
"نوفمبر","نوتربر","ديسمبر","ديلتبر","november","december"
"دجاج","كضاج","ديك رومى","دينورومى","chicken","turkey"
"الحريه","اليقيه","ديمقراطية","ديإيراطية","freedom","democracy"
"فلسفة","فللة","دين","بقن","philosophy","religion"
"البارود","الباكسد","ديناميت","كرناميت","gunpowder","dynamite"
"بينج","فلنج","دينغ","ديهم","ping","ding"
"دب","يتاتصل","ذئب","ولب","bear","wolf"
"يد","يستغ","ذراع","أواع","hand","arm"
"أخير","أختب","أقصى","واوتر","final","ultimate"
"الدافع","التجفع","ذريعة","وزافعة","motive","alibi"
"فطن","ئلي","ذكي","غذي","smart","intelligent"
"استحق","اسغلق","ذو قيمة","ذوتريمة","deserve","worthy"
"وحي","سافبي","رؤية","واية","revelation","vision"
"مدير","صوارة","رئيس","حكيس","manager","boss"
"مستشار","الاكتشار","رئيس","شكيس","chancellor","president"
"المذاق","الشماق","رائحة","راحطة","taste","smell"
"ممتاز","ماميز","رائع","راظمة","excellent","great"
"مبهر","اقيع","رائع","رائتا","impressive","amazing"
"الثالث","الثاقر","رابعا","راونا","third","fourth"
"راتب تقاعد","راتبل","راتب","راوش","pension","salary"
"ينظر","تصرة","يراقب","راهد","look","watch"
"يقيد","طوط","يربط","ربهان","bind","tie"
"نصف","فوف","ربع","شاعع","half","quarter"
"هبوط","غطوط","إقلاع","مطفنان","landing","flight"
"مغفرة","مغرطة","رحمة","لخاة","forgiveness","mercy"
"غالي الثمن","اسومن","رخيص","قصز","expensive","cheap"
"برقية","بروهة","رسالة","عبالة","telegram","letter"
"تحذير","تححر","رسالة","عبالة","warning","message"
"قطرة","يسنع","رشفة","همافة","drop","sip"
"عيار","أبار","رصاصة","اصة","caliber","bullet"
"مسابقة رعاة البقر","روسة","رعاة البقر","الابيه","rodeo","cowboy"
"برق","افصق","رعد","شراود","lightning","thunder"
"يرغب","قوبة","يتمنى","رغري","desire","wish"
"حلق","تازق","رقبة","عوباة","throat","neck"
"راقص","رايكة","رقص","سجص","dancer","dance"
"كتف","ناروف","ركبة","اقبة","shoulder","knee"
"عَلَم","خطاوم","رمز","دلز","flag","symbol"
"طين","إضن","رمل","لفل","mud","sand"
"سيء","دييه","فظيع","ثريب","terrible","horrible"
"يسرق","ادقة","ينهب","انب","steal","rob"
"روح","وجح","شبح","وجح","soul","spirit"
"قيصر","قيمد","روما","وجما","caesar","rome"
"درامي","طاماتي","رومانسي","روماسمي","dramatic","romantic"
"مليونير","لحيونير","ريادي","رينـي","millionaire","entrepreneur"
"هواية","رياية","رياضة","ريشدة","hobby","sport"
