"sr_cue","sr_fake_cue","sr_target","sr_fake_target","en_cue","en_target"
"бензин","гаран","гориво","горимент","gas","fuel"
"мајмун","зajeдкирати","горила","стварила","monkey","gorilla"
"доњи","дрењи","горњи","гоглу","lower","upper"
"главни град","здогни град","град","греф","capital","city"
"грађевина","конкливина","градити","сплодити","construction","build"
"шериф","шегов","градоначелник","градоначестронг","sheriff","mayor"
"килограм","килоштво","грам","граб","kilo","gram"
"погрешка","погрецем","грешка","гредњи","error","mistake"
"гроб","грxo","гробље","гротњу","grave","cemetery"
"кашаљ","капли","грозница","ухвазница","cough","fever"
"муња","шљања","гром","еком","lightning","thunder"
"барон","баваш","грофица","ухвафица","baron","countess"
"стомак","стосет","груди","тајди","stomach","chest"
"банда","дведа","група","банпа","gang","group"
"римски","убрски","грчки","клоки","roman","greek"
"кап","лоп","гутљај","гудлак","drop","sip"
"жаба","очеба","гуштер","гукрет","frog","lizard"
"ок","ог","да","ус","okay","yeah"
"сутон","сулекс","зора","даваздух","sunset","dawn"
"близу","звузу","далеко","данпутко","near","far"
"господин","госпоквих","дама","стима","lord","lady"
"понудити","озбиљнудити","дати","стити","offer","give"
"палата","палажним","дворац","патрац","palace","castle"
"танак","тазио","дебео","дезду","thin","thick"
"дечаци","десномци","девојчице","деснимке","boys","girls"
"век","ацк","деценија","обленија","century","decade"
"гест","геов","чин","стварловати","gesture","act"
"слобода","предбода","демократија","исправмократија","freedom","democracy"
"протест","прохват","демонстрације","нeкoлимонстрација","protest","demonstration"
"стрес","њерес","депресија","стварпресија","stress","depression"
"догодити се","догодитистронг","десити се","деситизврат","occur","happen"
"беба","бејеш","дете","стите","baby","child"
"агент","овент","детектив","детеквљен","agent","detective"
"младост","младњем","детињство","детистент","youth","childhood"
"појам","ептам","дефиниција","исправфиниција","concept","definition"
"новембар","новенмент","децембар","децемског","november","december"
"девојчица","дестанка","дечак","дежиш","girl","boy"
"јединица","јеспремница","дивизија","исправизија","unit","division"
"барут","багем","динамит","динатрал","gunpowder","dynamite"
"пинг","пиго","динг","диаф","ping","ding"
"диплома","дигирама","дипломирати","стрпљемирати","diploma","graduate"
"директан","диокрутан","директно","динзајно","direct","directly"
"разговор","разгоству","дискусија","димипресија","conversation","discussion"
"врх","врм","дно","жио","top","bottom"
"својевољно","својелност","добровољно","добромплетно","volunteer","voluntarily"
"доста","дохло","довољан","довослиш","enough","sufficient"
"феномен","феноштам","догађај","догастор","phenomenon","event"
"уговор","лаквор","договор","догоству","contract","agreement"
"допунски","дослични","додатни","дообични","extra","additional"
"дозволити","стварзволити","допустити","ствартити","allow","let"
"сведочанство","дојер","доказ","допер","evidence","proof"
"фајл","стојл","документ","докурвин","file","document"
"фунта","гвита","долар","дофом","pound","dollar"
"пустиња","пушкомња","долина","дозбедна","desert","valley"
"милосрђе","милосрлност","донација","стварнација","charity","donation"
"вечера","озбиљчера","доручак","доруству","dinner","breakfast"
"заслужити","огромслужити","достојан","добрихјан","deserve","worthy"
"понос","поких","достојанство","достојанлност","pride","dignity"
"стићи","удаћи","доћи","доруч","arrive","come"
"дијамант","дијаистин","драгуљ","драдeм","diamond","jewel"
"грм","пем","дрво","тиво","bush","tree"
"федерација","федесној","држава","држалост","federal","state"
"алкохол","алкоблу","дрога","смрга","alcohol","drug"
"кратак","твртак","дугачак","дугаслио","short","long"
"величина","велистварна","дужина","думрачна","size","length"
"одговорност","одговорством","дужност","дузврат","responsibility","duty"
"душа","спаша","дух","вих","soul","spirit"
"пући","стваћи","експлодирати","стрпљесплодирати","burst","explode"
"бомба","идеба","експлозив","експлозилност","bomb","explosive"
"земљотрес","земљоској","експлозија","стварсплозија","earthquake","explosion"
"модеран","тивран","елегантан","скрогантан","fashionable","elegant"
"магнетни","овланетни","електричан","отротричан","magnetic","electric"
"струја","строци","електрична енергија","уротрочна енергија","current","electricity"
"фактор","ичетор","елемент","биомент","factor","element"
"ментални","обротални","емоционални","свратинални","mental","emotional"
"снага","радга","енергија","оглегија","power","energy"
"куга","злога","епидемија","оставдемија","plague","epidemic"
"серија","септемја","епизода","стејзода","series","episode"
"оргазам","оргастон","ерекција","значција","orgasm","erection"
"користан","коричард","ефикасан","ефикарлос","useful","effective"
"прогутати","стваргутати","жвакати","обликати","swallow","chew"
"глад","реад","жеђ","шиђ","hunger","thirst"
"жеља","штоља","чежња","чехва","desire","wish"
"муж","муној","жена","свина","husband","wife"
"удовица","знајвица","жена","свина","widow","woman"
"мушки","мувек","женски","женлик","male","female"
"звер","абер","животиња","животизврат","beast","animal"
"кабл","каил","жица","друца","cable","wire"
"пријем","ствијем","журка","скука","reception","party"
"црвен","ствен","жут","авит","red","yellow"
"забрањен","забрастиш","забранити","запственити","forbidden","prohibit"
"забринутост","забринуздрав","брига","брисопедна","concern","worry"
"крај","кркo","завршетак","огромшетак","end","finish"
"пољубац","поздрац","загрљај","застрој","kiss","hug"
"предњи","прењош","задњи","забим","front","rear"
"први","хови","последњи","побим","first","last"
"дупе","душао","задњица","зашкарца","ass","butt"
"држати","држалост","задржати","огромдржати","hold","keep"
"заправо","заштитво","заиста","заизвод","actually","really"
"кредит","креход","зајам","зароз","credit","loan"
"друштво","сништво","заједница","заогромница","society","community"
"заклети се","заклетибертс","заклетва","заклесним","swear","oath"
"кључ","неуч","брава","ограва","key","lock"
"копати","конвојти","закопати","огромкопати","dig","bury"
"окренути","жодути","заротирати","заозбиљнути","turn","rotate"
"најам","стоам","закуп","затљу","hire","rent"
"заменити","заозбиљнити","изменити","истварнити","replace","substitute"
"истопити","озбиљтопити","замрзнути","омгромрзнути","melt","freeze"
"узбудљив","узбуштву","занимљив","занизван","exciting","interesting"
"јужни","јутел","западни","заврцени","southern","western"
"заборавити","стрпљеборавити","сетити се","огромпетити","forget","remember"
"отварање","партрање","затварање","затваралност","opening","closure"
"казна","кампо","затвор","зампер","penalty","imprisonment"
"ћелија","стволија","затвор","зампер","cell","prison"
"закључан","закљустим","затворен","затвостао","locked","closed"
"талац","тасли","затвореник","затвореством","hostage","prisoner"
"вечни","хрини","заувек","заузнат","eternal","forever"
"спречити","отвочити","зауставити","стрпљеуставити","prevent","stop"
"захвалан","захваског","захвалити","огромхвалити","grateful","thank"
"гостопримство","гостопримлност","захвалност","захваством","hospitality","gratitude"
"тражити","трасним","захтевати","зашташи","demand","request"
"опоравити се","опоравитистинкт","излечити се","огромцелити","recover","heal"
"хаос","хашле","збрка","вонка","chaos","confusion"
"званично","струнично","званичник","стреничник","officially","official"
"позната личност","позната лимплекс","звезда","звепан","celebrity","star"
"сирена","зогена","звиждук","афеждук","horn","whistle"
"бука","бутућ","звук","злук","noise","sound"
"торањ","тобот","зграда","ствада","tower","building"
"здраво","стрево","довиђења","злођења","hello","bye"
"лисица","лиударца","зец","зећим","fox","rabbit"
"лето","ленат","зима","најма","summer","winter"
"грех","грте","злочин","џунчин","sin","crime"
"лопов","лонад","злочинац","аванчинац","thief","criminal"
"црв","гoв","змија","тамја","worm","snake"
"образац","обрадел","потпис","потног","form","sign"
"искуство","искумент","знање","слоње","experience","knowledge"
"сада","саслу","знати","слоти","now","know"
"препознати","стварпознати","знао","тлао","recognize","knew"
"значење","окључење","значај","знасту","meaning","importance"
"област","реласт","зона","вљена","area","zone"
"загађење","загађелност","зрачење","линдчење","contamination","radiation"
"нокат","озбиљказати","зуб","лоб","nail","tooth"
"играти","aeра","игра","сура","play","game"
"тренер","трешка","играч","онрач","coach","player"
"лутка","икака","играчка","источка","doll","toy"
"будала","амандала","идиот","ценот","fool","idiot"
"препрека","предлока","изазов","изадва","obstacle","challenge"
"кампања","каизвиња","избори","изжњу","campaign","election"
"изузетан","изузелност","изванредан","изглeдaредан","exceptional","remarkable"
"вешање","весептем","погубљење","погледашење","hanging","execution"
"опростити","укљустити","изговор","изгослио","forgive","excuse"
"шпијун","древјун","издајник","изуметник","spy","traitor"
"коментар","костимтар","изјава","облава","comment","statement"
"галерија","гаостварија","изложба","огрожба","gallery","exhibition"
"сума","блема","износ","изљан","sum","amount"
"описати","увресати","изразити","изглeдaзити","describe","express"
"бројати","бросновнати","израчунати","стрпљерачунати","count","calculate"
"никада","ниљака","икада","икео","never","ever"
"ласкати","лагаенти","импресионирати","вeрoвaтсионирати","flatter","impress"
"банкар","банест","инвеститор","врлиститор","banker","investor"
"паук","патро","инсект","инпост","spider","insect"
"преглед","преграм","инспекција","стварспекција","examination","inspection"
"надахнути","наопседнути","инспирација","стрпљеспирација","inspire","inspiration"
"алат","глађат","инструмент","инструстиш","tool","instrument"
"паметан","опметан","интелигентан","интелигенмплекс","smart","intelligent"
"лично","морни","интимно","инуметно","personal","intimate"
"инстинкт","инстронг","интуиција","стрпљетуиција","instinct","intuition"
"вирус","вициш","инфекција","инстранција","virus","infection"
"извор","жевор","доушник","доумада","source","informant"
"подаци","потребци","информација","инстинктмација","data","information"
"доза","урбза","инјекција","удобција","dose","injection"
"иронија","златнија","ироничан","ироникaдa","irony","ironic"
"пристојан","прикладјан","искрен","исален","decent","honest"
"лојалност","лојаством","искреност","спрумност","loyalty","honesty"
"запад","затве","исток","вуток","west","east"
"аналитичар","источлитичар","истражитељ","истражилност","analyst","investigator"
"испитивати","стрпљепитивати","истражити","ствартражити","examine","investigate"
"резултат","резукриј","исход","исјаш","result","outcome"
"ући","хви","ићи","жаи","enter","go"
"банана","баобична","јагода","јастукда","banana","strawberry"
"сиромаштво","сиромасност","беда","лода","poverty","misery"
"гнездо","гнесор","јаје","свије","nest","egg"
"кошуља","комплиља","јакна","лимна","shirt","jacket"
"тежак","теден","тешко","јатар","heavy","heavily"
"туна","туисправина","јастог","јахтев","tuna","lobster"
"посебан","посестри","јединствен","јединсперт","special","unique"
"једноставно","једноогромно","једноставан","стварноставан","simply","simple"
"сидро","ситав","једро","јесвое","anchor","sail"
"река","зника","језеро","јеускоро","river","lake"
"застрашујући","застрашујумплекс","језив","јекар","scary","creepy"
"пролеће","осталеће","јесен","језац","spring","autumn"
"хранити","храниност","јести","јевре","feed","eat"
"бубрег","буглез","јетра","оједин","kidney","liver"
"скупо","дропо","јефтино","ознатино","expensive","cheap"
"већ","ерћ","још увек","још прот","already","still"
"јун","штени","јул","рил","june","july"
"ромео","роноћ","јулија","јулизнао","romeo","juliet"
"сутра","сунуо","јутро","јујли","tomorrow","morning"
"данас","дакиш","јуче","јукит","today","yesterday"
"стена","стоцо","камен","каших","rock","stone"
"џип","шип","камион","камислиo","jeep","truck"
"пикник","шарник","камповање","озбиљмповање","picnic","camping"
"наочаре","наочалност","капа","канум","glasses","cap"
"црква","цршан","капела","капесник","church","chapel"
"командант","команжним","капетан","капешкир","commander","captain"
"портал","усатал","капија","капиштoљ","portal","gate"
"анархија","озбиљархија","капитализам","капиталимплекс","anarchy","capitalism"
"бискуп","биство","кардинал","ухвадинал","bishop","cardinal"
"мафија","мастерја","картел","агентела","mafia","cartel"
"родео","ротон","каубој","каузвратје","rodeo","cowboy"
"шољица","шоним","кафа","катом","cup","coffee"
"квантитет","квалискрена","квалитет","априлитет","quantity","quality"
"кутија","обратија","кеса","удаса","box","bag"
"ваздух","вашинг","кисеоник","кисеоством","air","oxygen"
"типичан","типисник","класичан","успесичан","typical","classic"
"пацијент","пацитрао","клијент","увејент","patient","client"
"болница","бостарца","клиника","ствоника","hospital","clinic"
"библија","биоружја","књига","битга","bible","book"
"пасти","патро","срушити се","срушискуп","fall","collapse"
"раме","разло","колено","костојно","shoulder","knee"
"фрагмент","трејмент","део","дедва","fragment","piece"
"драма","ботма","комедија","комедилност","drama","comedy"
"инспектор","инфортор","комесар","комебрих","inspector","commissioner"
"комисија","стварвисија","комитет","комисник","commission","committee"
"свеукупни","свеустич","потпуни","полинстан","total","complete"
"навигација","навигацистингс","комуникација","комуникацијалност","navigation","communication"
"расиста","расимент","комуниста","комунилберт","racist","communist"
"коначно","копредно","најзад","најрећно","finally","eventually"
"конобар","коностиш","конобарица","исправнобарица","waiter","waitress"
"фокусирати се","фовексирати","концентрисати се","концензнуост","focus","concentrate"
"турнеја","дрнеја","концерт","конхват","tour","concert"
"магарац","магаслио","коњ","копис","donkey","horse"
"рум","вим","коњак","кокуп","rum","cognac"
"оригинал","иденгинал","копија","кодлакја","original","copy"
"пуж","мож","корњача","комплича","snail","turtle"
"компанија","коосновнија","корпорација","корпорацимплекс","company","corporation"
"акт ташна","актостиш","кофер","кокол","briefcase","suitcase"
"завезати","веиденти","везати","орновата","bind","tie"
"коначни","комплени","крајњи","крарек","final","ultimate"
"краљица","отвољица","краљ","краг","queen","king"
"краљевски","краградски","краљевство","краљевност","royal","kingdom"
"машта","мараш","креативност","креативством","imagination","creativity"
"невин","нејел","крив","крхо","innocent","guilty"
"ситуација","ситуацистронг","криза","убрза","situation","crisis"
"туш","вуш","купатило","купатињства","shower","bathroom"
"продавац","проданпут","купац","кумен","seller","buyer"
"змај","ичај","лав","рав","dragon","lion"
"вц шоља","вецетрин","лавабо","лажнимбо","toilet","sink"
"лажан","лађен","нетачан","нешашен","fake","false"
"лаж","лаи","лажов","лазен","lie","liar"
"немогуће","немогулно","лако","бук","impossible","easy"
"десно","дераф","лево","дљиво","right","left"
"мит","тет","легенда","леувреда","myth","legend"
"хирург","хишног","лекар","летро","surgeon","doctor"
"лепушкаст","лепустаоно","леп","леног","pretty","beautiful"
"шарм","шаил","лепота","лепослом","charm","beauty"
"слетање","отвотање","лет","ејт","landing","flight"
"слетети","сленуште","летети","летејлор","land","fly"
"терапија","озбиљрапија","лечење","лестамње","therapy","treatment"
"тело","темпе","леш","диш","body","corpse"
"конзервативан","конзерватимплекс","либералан","либераством","conservative","liberal"
"сисати","адресати","лизати","лизаклон","suck","lick"
"такси","ожеси","лимузина","лимуосновна","taxi","limousine"
"минг","мима","линг","лилк","ming","ling"
"уметност","упланост","књижевност","стрпљетурност","art","literature"
"карактер","каквогтер","личност","спуност","character","personality"
"кост","кону","лобања","лоизвиња","bone","skull"
"шифра","шибот","лозинка","лопљачка","code","password"
"регионални","регионастрпљив","локални","локаквој","regional","local"
"место","међен","локација","играчкација","place","location"
"добар","досом","лош","пеш","good","bad"
"параноичан","параноимплекс","луд","енд","paranoid","crazy"
"бели лук","белитраш","лук","чок","garlic","onion"
"залив","аплив","лука","бњака","bay","harbor"
"мржња","мрган","љубав","љугуљ","hate","love"
"љубавница","љуспремница","љубавник","љумутеник","mistress","lover"
"популација","популацистинкт","људи","уподи","population","people"
"човек","чосиш","људски","нетски","man","human"
"лепо","тепо","љупко","љубљу","nice","lovely"
"љубоморан","љубомолност","љут","ејт","jealous","angry"
"плејбој","плејспех","магазин","магабрао","playboy","magazine"
"облак","релак","магла","мазао","cloud","fog"
"кечап","кебет","мајонез","мајобром","ketchup","mayonnaise"
"минимум","миниграф","максимум","максислао","minimum","maximum"
"мало","споло","мали","околи","little","small"
"тата","дента","мама","мални","daddy","mum"
"замка","лонка","мамац","магло","trap","bait"
"храм","поам","манастир","маназвао","temple","monastery"
"контролисати","конусталити","манипулисати","вeрoвaтнипулирати","control","manipulate"
"компас","котрај","мапа","маним","compass","map"
"крпа","крвљ","марамица","марастранца","cloth","handkerchief"
"оглашавање","албершавање","маркетинг","маркестри","advertising","marketing"
"јога","тарга","масажа","масасвим","yoga","massage"
"мед","фуд","маслац","масмен","honey","butter"
"физика","шњика","математика","стрпљетематика","physics","mathematics"
"пас","гос","мачка","беска","dog","cat"
"робот","рожви","машина","масрећна","robot","machine"
"трофеј","тродру","медаља","меданпут","trophy","medal"
"рукотворина","унакотворина","медаљон","медаслао","artifact","medallion"
"свињетина","огромњетина","месо","метав","pork","meat"
"калибар","калислим","метак","меске","caliber","bullet"
"гвожђе","гвотљу","метал","месма","iron","metal"
"километар","киломелност","метар","мекла","kilometer","meter"
"технички","усатанички","механички","механичлост","technical","mechanical"
"телескоп","тележбао","микроскоп","микроцикл","telescope","microscope"
"камера","каотвара","микрофон","микрознај","camera","microphone"
"милион","милијамс","милијарда","милиопкладе","million","billion"
"опроштај","слатштај","милост","мизнат","forgiveness","mercy"
"амбасадор","амбасањства","министар","минидрум","ambassador","minister"
"амбасада","основбасада","министарство","министарлност","embassy","ministry"
"плус","плаљ","минус","мижби","plus","minus"
"секунда","секунгс","минут","мишег","second","minute"
"тих","тисиш","миран","митиш","quiet","calm"
"укус","чвус","мирис","миљак","taste","smell"
"задатак","заданпут","мисија","мишљаоја","task","mission"
"тајна","клина","мистерија","стварстерија","secret","mystery"
"нерв","неоп","мишић","миђег","nerve","muscle"
"стар","стад","млад","сјад","old","young"
"сениор","извориор","јуниор","брођиор","senior","junior"
"шанса","флоса","могућност","могућсвот","chance","possibility"
"огреботина","унајботина","модрица","мошкарца","scratch","bruise"
"сув","гoв","мокар","мошле","dry","wet"
"екран","овран","монитор","моникaдa","screen","monitor"
"гусар","гулеп","морнар","морсок","pirate","sailor"
"маринац","мариском","морнарица","озбиљнарица","marine","navy"
"аспирин","аспилар","морфијум","слатфијум","aspirin","morphine"
"хотел","хопад","мотел","мозив","hotel","motel"
"резервоар","резерволност","мотор","морим","tank","engine"
"пчела","емола","мрав","мрпa","bee","ant"
"сенка","трока","мрак","мруб","shadow","dark"
"жив","вов","мртав","мрћих","alive","dead"
"библиотека","стрпљеблиотека","музеј","мумпе","library","museum"
"џез","џеже","музика","муадвока","jazz","music"
"певач","пељев","музичар","музишком","singer","musician"
"еволуција","истинлуција","мутација","мудростиција","evolution","mutation"
"патња","патдор","мучење","старчење","torment","torture"
"пролив","пролностја","мучнина","осјенина","diarrhea","nausea"
"тачка","мнока","навести","навежмаб","point","indicate"
"нобел","ноштa","награда","надлесда","nobel","prize"
"бонус","бочаш","награда","надлесда","bonus","reward"
"софа","сошеш","кревет","креквих","sofa","bed"
"име","нашну","наслов","нампу","name","title"
"сврха","џунха","намера","навотара","purpose","intention"
"случајно","слутребно","намерно","нављамно","accidentally","intentionally"
"инвазија","шпанзија","напад","насле","invasion","attack"
"жртва","жрсом","нападач","напастор","victim","attacker"
"отићи","стрпљетићи","напустити","огромпустити","leave","abandon"
"зелена","зесјајна","наранџаста","наранџаблдор","green","orange"
"команда","команжним","наређење","огромређење","command","order"
"земља","зевоз","народ","надич","country","nation"
"наслеђе","наздрађе","наследити","озбиљследити","heritage","inherit"
"продужити","продравити","наставити","најпреви","proceed","continue"
"технологија","исправнологија","наука","науспех","technology","science"
"геније","очибније","научник","научство","genius","scientist"
"сликати","обракати","цртати","озбиљцртати","paint","draw"
"неспособан","неспоством","немоћан","немрдум","inability","unable"
"небо","непре","небески","небезбед","sky","heavenly"
"импресиван","опседсиван","невероватан","испрарвероватан","impressive","amazing"
"младожења","огромдожења","невеста","невезник","groom","bride"
"позитиван","позитињство","негативан","негатињство","positive","negative"
"другде","кључде","негде","небад","elsewhere","somewhere"
"управо","упрахра","недавно","некретно","just","recently"
"месец","месот","седмица","недесној","month","week"
"субота","субтљај","недеља","недесној","saturday","sunday"
"дневни","днесточно","недељни","нечљукни","daily","weekly"
"мекан","мевљи","нежан","неспо","soft","gentle"
"беспомоћан","основпомоћан","немоћан","немопред","helpless","powerless"
"неразуман","неразулност","неодговоран","неодговомплекс","unreasonable","irresponsible"
"изненада","изстварнада","неочекивано","вeрoвaточекивано","suddenly","unexpectedly"
"анонимни","шмининимни","непознат","непослов","anonymous","unknown"
"неправда","невуреда","неправедан","неправелност","injustice","unfair"
"неудобан","неудолност","непријатан","непријалност","uncomfortable","unpleasant"
"забринут","забрислиш","нервозан","неопрозан","worried","nervous"
"несрећан","несреглед","несрећа","незгодћа","unfortunate","misfortune"
"инцидент","инцибрао","незгода","незгодћа","incident","accident"
"смрт","ћерт","нестанак","нестаског","death","disappearance"
"унук","унех","нећак","нејеа","grandson","nephew"
"успех","ojпех","неуспех","неузбол","success","failure"
"ништа","нинуо","нешто","нељан","nothing","something"
"кеш","кедњу","новац","нојом","cash","money"
"чланак","трамак","новине","оставина","article","newspaper"
"репортер","ресанотер","новинар","новиштен","reporter","journalist"
"џеп","шап","новчаник","принчаник","pocket","wallet"
"мач","дич","нож","зож","sword","knife"
"здрав","аерав","нормалан","агенмалан","healthy","normal"
"уста","уета","нос","сис","mouth","nose"
"атомски","апсоски","нуклеарни","нуклеозбиљна","atomic","nuclear"
"изван","усталази","около","окотјем","out","about"
"извештавати","извеквихти","информисати","спремвисати","report","inform"
"плажа","омржа","обала","звола","beach","coast"
"омогућити","углавгућити","обезбедити","искребедити","enable","provide"
"гаранција","стрпљанција","обећање","играћање","guarantee","promise"
"обично","ствабично","уобичајено","оптуно","normally","usually"
"нормално","норстично","генерално","гепетуно","naturally","generally"
"усна","асна","образ","обмин","lip","cheek"
"здравље","здрашло","образовање","источзовање","health","education"
"храна","бавна","оброк","жерок","food","meal"
"одраз","ремраз","огледало","клиндало","reflection","mirror"
"зид","yeд","ограда","гробда","wall","fence"
"прстен","прклес","огрлица","опклаца","ring","necklace"
"велики","велијамс","огроман","озбиман","big","huge"
"изабрати","изаиденти","одабрати","успебрати","choose","select"
"заштитити","огромштитити","одбранити","одосновнити","protect","defend"
"прљав","прлку","одвратан","одмплетан","dirty","disgusting"
"одговор","одгослио","одговорити","стрпљеговорити","answer","reply"
"долазак","долајком","одлазак","одлашла","arrival","departure"
"храброст","ужиброст","одлучност","окритност","courage","determination"
"дозвола","доустала","одобрење","спрабрење","permission","approval"
