fa_cue,fa_target,type,cue_type,target_type,fa_cosine
اندازه,طول,related,word,word,0.196543424932759
اندیشه,نظریه,related,word,word,0.484629069147165
انگشت,انگشت شست,related,word,word,
انگلیسی,فرانسوی,related,word,word,0.611808675387491
انگیزه,شاهد,related,word,word,0.167600041732669
آهن,فلز,related,word,word,0.460978129511529
اول,آخر,related,word,word,0.406261797974478
ساختن,تخریب,related,word,word,0.198122608372875
ساختن,تولید کردن,related,word,word,
ایدز,ویروس اِچ آی وی,related,word,word,
ایده آل,کامل,related,word,word,
ایستادن,نشستن,related,word,word,0.410062960327214
اینترنت,شبکه,related,word,word,0.370007615052725
اینجا,آنجا,related,word,word,0.308329777712933
با ادب,مهربان,related,word,word,
با شکوه,شکوه,related,word,word,
بابا,مادر,related,word,word,0.292699271865795
باد,طوفان,related,word,word,0.374114181364739
بار,محموله,related,word,word,0.19334600246353
باران,برف,related,word,word,0.451281001392892
باروت,دینامیت,related,word,word,0.252219588926891
شاه,ملکه,related,word,word,0.490645602961854
باز,بسته,related,word,word,0.468695465112376
بازتاب,آینه,related,word,word,0.277467585787131
بازرس,رئیس پلیس,related,word,word,
بازگشت,برگشت,related,word,word,0.537004378234156
بازنده,برنده,related,word,word,0.522544824934122
بازی کردن,بازی,related,word,word,
بازیابی کردن,شفا دادن,related,word,word,
کافه,رستوران,related,word,word,0.481031049159269
باشه,آره,related,word,word,0.427410347052358
باغ وحش,سیرک,related,word,word,
استراحت,خواب,related,word,word,0.31748366435614
بالا,پایین,related,word,word,0.590139912289993
بالا رفتن,پریدن,related,word,word,
بالغ,والدین,related,word,word,0.210243517668374
بانکدار,سرمایه گذار,related,word,word,
بانکداری,مالی,related,word,word,0.427555897461407
بخشیدن,معذور داشتن,related,word,word,
بتن,فولاد,related,word,word,0.385653427460253
دایه,خدمتکار,related,word,word,0.159654192993778
بحرانی,سیاسی,related,word,word,0.401800137106591
بخش,پاراگراف,related,word,word,0.285385550628099
بخشش,رحم,related,word,word,0.442492078259368
مریض,بیمار,related,word,word,0.538962465171415
شرارت,بی‌رحمی,related,word,word,
بدبخت,رقت انگیز,related,word,word,
بدن,جسد,related,word,word,0.277668624626486
آفرین,احسنت,related,word,word,0.35883183784305
برج,ساختمان,related,word,word,0.356474740309079
برده,خدمتگزار,related,word,word,0.236143236107585
بررسی,تصدیق کردن,related,word,word,
برهنه,لخت,related,word,word,0.50447115056082
بزرگ,درشت,related,word,word,0.297816144350688
بستن,گره زدن,related,word,word,
بسکتبال,فوتبال,related,word,word,0.617175762693551
بسیار,خیلی,related,word,word,0.661261205892838
خوشگل,زیبا,related,word,word,0.481486825901336
بطور آهسته,به سرعت,related,word,word,
بلا استفاده,بی ارزش,related,word,word,
بلع,جویدن,related,word,word,0.248474491207544
بلیط,گذرنامه,related,word,word,0.397012151776587
بمب,انفجار,related,word,word,0.530454077750827
بنای تاریخی,مجسمه,related,word,word,
به سادگی,ساده,related,word,word,
به طور تصادفی,از قصد,related,word,word,
به طور طبیعی,بطور کلی,related,word,word,
به طور معمول,معمولا,related,word,word,
به علاوه,منهای,related,word,word,
به معنای واقعی کلمه,عملا,related,word,word,
به وضوح,به طور مشخص,related,word,word,
به وقوع پیوستن,اتفاق افتادن,related,word,word,
بهار,پاییز,related,word,word,0.380256148784038
بهشت,جهنم,related,word,word,0.587884307519288
چکمه,کفش,related,word,word,0.436944099211274
بوته,درخت,related,word,word,0.407812364554622
بودجه,منابع مالی,related,word,word,
بوسه,بغل,related,word,word,0.295130070591463
بی خطر,امن,related,word,word,
بی صدا,سکوت,related,word,word,
بی عدالتی,صفنانه,related,word,word,
بی گناه,گناهکار,related,word,word,
بیمارستان,درمانگاه,related,word,word,0.50170032717765
بین المللی,جهان,related,word,word,
بیوه,زن,related,word,word,0.330712969549544
پادزهر,واکسن,related,word,word,0.481353357638807
پارانوئید,دیوانه,related,word,word,0.341307887623881
پارچه,دستمال کاغذی,related,word,word,
پاسخ,جواب,related,word,word,0.725540093174428
پاكت نامه,بسته بندی,related,word,word,
پایان دادن,تمام کردن,related,word,word,
پایانه,فرودگاه,related,word,word,0.143201427022684
پایه,مرکز فرماندهی,related,word,word,
پایین,بالا,related,word,word,0.590139912289993
پایین تر,بالاتر,related,word,word,
پتانسیل,استعداد,related,word,word,0.39687133708032
پتو,حوله,related,word,word,0.518985558100192
پختن,سرآشپز,related,word,word,0.240841406388398
پدر بزرگ,مادر بزرگ,related,word,word,
پدیده,رویداد,related,word,word,0.468572511585013
پذیرش,مهمانی,related,word,word,0.41665712696987
پرچم,سمبل,related,word,word,0.225436838458283
پروانه,پرنده,related,word,word,0.488400140908564
پروتئین,ویتامین,related,word,word,0.583433460840426
پزشکی,روانشناختی,related,word,word,0.464144376299933
پژوهش,مطالعه,related,word,word,0.379425125375812
پست,فکس,related,word,word,0.269608312334351
پسران,دختران,related,word,word,0.569215090199687
ترکیدن,منفجر شدن,related,word,word,
پل,تونل,related,word,word,0.356630517644084
پمپ,شلنگ,related,word,word,0.369172023273916
سرپناه,پناه‌ گاه,related,word,word,
پناهنده,فراری,related,word,word,0.252547761745682
پنجره,در,related,word,word,0.222604952792198
مدخل,دروازه,related,word,word,0.36595703892156
فیلم پورن,فیلم سینما,related,word,word,
پوست,بافت,related,word,word,0.443563085885288
پوشاندن,پنهان کردن,related,word,word,
پول نقد,پول,related,word,word,
پوند,دلار,related,word,word,0.550526153349004
پویش,انتخابات,related,word,word,
پی بردن,فهمیدن,related,word,word,
پیانو,گیتار,related,word,word,0.603975931848783
زن روز,مجله,related,word,word,
پیراهن,ژاکت,related,word,word,0.460610560173243
پیروزی,شکست,related,word,word,0.295680606758217
پیشرفت,توسعه,related,word,word,0.325342072214453
پیشنهاد,دادن,related,word,word,0.206841931818735
پیشنهاد,توصیه,related,word,word,0.546293574582214
پیک نیک,چادر زدن,related,word,word,
جیلینگ صدا دادن,دنگ دنگ صدا دادن,related,word,word,
تائیدیه,تایید,related,word,word,0.584853082092304
تابستان,زمستان,related,word,word,0.588556268658328
تابوت,مراسم خاکسپاری,related,word,word,
تاج پادشاهی,تخت پادشاهی,related,word,word,
تاریکی,نور,related,word,word,0.348048190612507
تازه,تازه کردن,related,word,word,
نان تست,کالباس,related,word,word,
تاکسی,لیموزین,related,word,word,0.515189267134697
تبریک گفتن,سلام کردن,related,word,word,
قرص,دارو,related,word,word,0.522777658482501
تبلیغات,بازار یابی,related,word,word,
تپانچه,سلاح,related,word,word,0.304296322004134
تپه,کوه,related,word,word,0.494475395898061
تجاری,بازرگان,related,word,word,0.271834013821188
تجربه,دانش,related,word,word,0.261150534127344
تجهیزات,تجهیز کردن,related,word,word,
تحسین,قدردانی,related,word,word,0.494915423465126
تحلیلگر,محقق,related,word,word,0.232925515078519
تراشه,دستگاه,related,word,word,0.326251582901725
ترتیب دادن,سازمان دادن,related,word,word,
هراساندن,ترساندن,related,word,word,
ترسناک,ترس,related,word,word,0.265057692375301
ترسناک,عجیب و غریب,related,word,word,
ترک,سوراخ,related,word,word,0.102446737382412
ترک کردن,رها کردن,related,word,word,
ترکیب,مخلوط,related,word,word,0.436080133170945
تریلی,ون,related,word,word,0.214365275242295
تشخیص,دانستن,related,word,word,0.137262863967604
تصویر,عکس,related,word,word,0.375328638868584
تعادل,هماهنگی,related,word,word,0.281898103194301
تعارض,اختلاف نظر,related,word,word,
تعجب,ناامیدی,related,word,word,0.261739223751929
کمیت,کیفیت,related,word,word,0.53824912900301
تعریف و تمجید,هدیه,related,word,word,
تغییر,بهبود,related,word,word,0.329157563736767
تفنگ,اسلحه,related,word,word,0.727500271979323
تقاضا,درخواست,related,word,word,0.576963779801523
تقویم,برنامه,related,word,word,0.300559712889891
تلاش,کوشش,related,word,word,0.332602295549047
تلسکوپ,میکروسکوپ,related,word,word,0.510287888375116
تلگراف,نامه,related,word,word,0.437188106421637
تله,طعمه,related,word,word,0.442118625501601
توجه,تمرکز,related,word,word,0.2611869930032
تمرین,ورزش,related,word,word,0.352716349363809
تمیز,شستشو,related,word,word,0.360633660766057
تنبیه کردن,دستگیری,related,word,word,
به هم ریخته,کثیف,related,word,word,
مجرد,متاهل,related,word,word,0.456678774071166
بی کس,تنها,related,word,word,
تهاجم,حمله,related,word,word,0.446152892714648
تهیه کننده,کارگردان,related,word,word,
توالت,روشویی,related,word,word,0.376847233353667
احترام,اعتماد,related,word,word,0.271523842387156
توجه,جذب کردن,related,word,word,
تور,کنسرت,related,word,word,0.321684675034702
توصیف کردن,بیان کردن,related,word,word,
توضیح,قانع‌کننده,related,word,word,
توطئه,تقلب,related,word,word,0.341931015257402
تولد,بارداری,related,word,word,0.279601097187357
تومور,سرطان,related,word,word,0.510837588090103
توهم,هذیان,related,word,word,0.271193664912121
توهین,اهانت,related,word,word,0.439287557105694
تیرانداز,تک تیرانداز,related,word,word,
درست کردن,تعمیر کردن,related,word,word,
ثانویه,اولیه,related,word,word,0.530742325207617
جاده,بزرگراه,related,word,word,0.543962996581696
جریان,برق,related,word,word,0.139821868489266
جاز,موسیقی,related,word,word,0.397435279699661
جاسوسی,خرابکاری,related,word,word,0.409666312917773
جاسوس,خائن,related,word,word,0.421204292996732
جامعه,انجمن,related,word,word,0.345018277438306
جانور,حیوان,related,word,word,0.424995112669795
جام,مدال,related,word,word,0.321670530165118
پاداش,جایزه,related,word,word,0.388702131657524
جایگزین کردن,تعویض کردن,related,word,word,
جلو,عقب,related,word,word,0.563455239985432
میز,صندلی,related,word,word,0.539057072684636
زیبا,جذاب,related,word,word,0.44572021121564
جراح,دکتر,related,word,word,0.525330826302761
جستجو کردن,پیدا کردن,related,word,word,
جعبه,کیسه,related,word,word,0.318627050714254
جعلی,غلط,related,word,word,0.245621891792395
جلوگیری کردن,متوقف کردن,related,word,word,
همه,کامل,related,word,word,0.18477494540872
جمع کردن,جمع آوری,related,word,word,
جمعیت,حضار,related,word,word,0.207761792673958
جمعیت,مردم,related,word,word,0.354417757225731
جنسی,فیزیکی,related,word,word,0.460558719661837
جنگ,نبرد,related,word,word,0.583141780246804
جنگل,بیشه,related,word,word,0.315782919292575
نابغه,دانشمند,related,word,word,0.430533110680023
جنوب,شمال,related,word,word,0.648074778661437
جنوبی,غربی,related,word,word,0.560551314547025
جنون,حماقت,related,word,word,0.27991863589532
جهت یابی,ارتباط,related,word,word,
غفلت,غرور,related,word,word,0.220143553498437
جوانی,کودکی,related,word,word,0.492208952875697
جوجه,بوقلمون,related,word,word,0.376824742488156
جیب,کیف پول,related,word,word,
جیپ,کامیون,related,word,word,0.499563042763174
چرت زدن,قدم زدن,related,word,word,
چشم,گوش,related,word,word,0.216099802868837
منظره,چشم انداز,related,word,word,
تاثیرگذار,شگفت انگیز,related,word,word,
چوب,چکش,related,word,word,0.292660535435388
چی,آن,related,word,word,0.120639242567381
حادثه,تصادف,related,word,word,0.585905354350233
حاوی,محتوا,related,word,word,0.364778986921173
حراج,فروش,related,word,word,0.439117036927512
گرما,درجه حرارت,related,word,word,
حرفه,شهرت,related,word,word,0.300251363314325
حرکت کردن,منتقل کردن,related,word,word,
حسود,خشمگین,related,word,word,0.284615013895263
مهیج,تماشایی,related,word,word,0.544177575814096
حضور,غیبت,related,word,word,0.195619496646636
حفر کردن,دفن کردن,related,word,word,
حفظ کردن,نگهداری کردن,related,word,word,
حقوق بازنشستگی,حقوق,related,word,word,
حلزون,لاک پشت,related,word,word,
انگشتر,گردنبند,related,word,word,0.385671861111923
اعدام,قصاص,related,word,word,0.391527247962942
حمایت کردن,کمک کردن,related,word,word,
حوزه,منطقه,related,word,word,0.289603707349779
خارج,داخل,related,word,word,0.421547031732986
بیرون از,در باره,related,word,word,
خاکستر,گرد و خاک,related,word,word,
خال کوبی,جای زخم,related,word,word,
خالی,پُر,related,word,word,
خانه,اپارتمان,related,word,word,0.271283716457892
خبرنگار,روزنامه نگار,related,word,word,
خداوند,الهی,related,word,word,0.418269585624312
عالیجناب,سرکار خانم,related,word,word,
خدمه,کشتی,related,word,word,0.345110620027697
خر,اسب,related,word,word,0.275535993129967
خراش,کبودی,related,word,word,0.39504125997522
خرس,گرگ,related,word,word,0.386977359630086
خروج,ورود,related,word,word,0.647983789355754
خرید,فروش,related,word,word,0.494493156179575
خسته,گرسنه,related,word,word,0.398131575365505
خشک,مرطوب,related,word,word,0.442911127946751
خشم,عصبانیت,related,word,word,0.479507138912738
خصوصی,حریم شخصی,related,word,word,
خط مشی,سیاستمدار,related,word,word,
خطا,اشتباه,related,word,word,0.374971055046584
ریسک,خطر,related,word,word,0.476367827075563
مخاطره‌ آمیز,خطرناک,related,word,word,
خلیج,بندرگاه,related,word,word,0.348891440384896
بخوان,بنویس,related,word,word,0.153790892143209
خواندن,نوشتن,related,word,word,0.528051917022498
خواننده,موسیقی دان,related,word,word,
خواهر,برادر,related,word,word,0.636155447107919
دلنشین,دوست داشتني,related,word,word,
خوب,بد,related,word,word,0.563431195454458
امضا,عکاس,related,word,word,0.120523534731869
خودکشی کردن,آدم کشی,related,word,word,
خوراندن,خوردن,related,word,word,
خوراک مختصر,ناهار,related,word,word,
خوش بین,واقع بین,related,word,word,
خوش طعم,خوشمزه,related,word,word,
خون,ادرار,related,word,word,0.451967860289716
خیابان اصلی,خیابان,related,word,word,
خیال پردازی,خلاقیت,related,word,word,
خیریه,کمک مالی,related,word,word,
دادگاه,قضاوت کردن,related,word,word,
داده,اطلاعات,related,word,word,0.20267264374995
سرمایه,سرمایه گذاری,related,word,word,
دارچین,وانیل,related,word,word,0.606740611430494
داغ,سرد,related,word,word,0.379952287931548
داماد,عروس,related,word,word,0.624482417041078
دامن,لباس,related,word,word,0.447263217348362
دانش آموز,معلم,related,word,word,
دانشکده,دانشگاه,related,word,word,0.664662893041146
داوطلب,به طور داوطلبانه,related,word,word,
دایره,مثلث,related,word,word,0.277601853168353
منشی,دستیار,related,word,word,0.455384485089006
تنباکو,سیگار,related,word,word,0.349728080487752
دختر,پسر,related,word,word,0.721692969639048
رئیس دانشگاه,استاد,related,word,word,
در جای دیگر,جایی,related,word,word,
در حقیقت,واقعا,related,word,word,
در نظر گرفتن,فکر کردن,related,word,word,
درج کردن,قرار دادن,related,word,word,
درخشش,روشن,related,word,word,0.268604251123814
به کار بردن,استفاده کردن,related,word,word,
راست,چپ,related,word,word,0.681593658046367
درست است، واقعی,واقعی,related,word,word,
درمان,معالجه,related,word,word,0.533844905551964
درمانده,بی نیرو,related,word,word,
درهم کوبیدن,شکستن,related,word,word,
دروغ,دروغ گو,related,word,word,
داخلی,خارجی,related,word,word,0.552158660630943
دریا,اقیانوس,related,word,word,0.574869243863244
نیروی دریایی,ناوگان,related,word,word,
دریایی,نیروی دریایی,related,word,word,
دزد,مجرم,related,word,word,0.382633604460813
دزد دریایی,ملوان,related,word,word,
دست,بازو,related,word,word,0.341005406639552
دست کم گرفتن,اغراق کردن,related,word,word,
دسته,گروه,related,word,word,0.401256738009945
دسر,کیک,related,word,word,0.432242918296056
دشمن,حریف,related,word,word,0.266448292824462
دکمه,فشار دادن,related,word,word,
دلسوز,سخاوتمند,related,word,word,0.314891144712436
دلیل,علت,related,word,word,0.377811826885005
دنبال کردن,تعقیب کردن,related,word,word,
دهان,بینی,related,word,word,0.276161493069057
دو,چهار,related,word,word,0.702560140080623
دو برابر,سه برابر,related,word,word,
سیگار کشیدن,سیگار,related,word,word,
دور,دور و بر,related,word,word,
دور زدن,چرخاندن,related,word,word,
دوربین,میکروفون,related,word,word,0.510219177141282
دوز,تزریق,related,word,word,0.341859952291633
دوش,حمام,related,word,word,0.41782026777945
دوشنبه,سه‌شنبه,related,word,word,
ثانیه,دقیقه,related,word,word,0.755833148443582
دی وی دی,ویدیو,related,word,word,
دیپلم,فارغ التحصیل,related,word,word,
دیدن,ملاقات کردن,related,word,word,
دیر,زود,related,word,word,0.406724368547931
دیوار,حصار,related,word,word,0.388356476328594
ذهنی,هیجانی,related,word,word,0.478340793578307
ذوب شدن,یخ زدن,related,word,word,
راحت,دلپذیر,related,word,word,0.277370294714227
رادار,ماهواره,related,word,word,0.452580780732905
رادیو,تلویزیون,related,word,word,0.46627958633222
راز,معما,related,word,word,0.409369973801821
راضی,خوشحال,related,word,word,0.411483874056499
رانندگی کردن,راندن,related,word,word,
راهب,اسقف,related,word,word,0.28798302820858
راهب,کشیش,related,word,word,0.378128761447612
ربات,دستگاه,related,word,word,0.236992681658183
رد کردن,پذیرفتن,related,word,word,
رژ لب,عطر,related,word,word,
رسما,رسمی,related,word,word,0.292328994427237
رسیدن,آمدن,related,word,word,0.31454420682071
رشوه,باج ‎‌گیری,related,word,word,
رعد,برق,related,word,word,0.699817572599582
رقابت,قهرمانی,related,word,word,0.252550891848075
رقصنده,رقص,related,word,word,0.463115187398547
ضبط,ضبط کردن,related,word,word,
آبجو,مشروب,related,word,word,0.665549577530072
رمز,کلمه عبور,related,word,word,
رنج کشیدن,مردن,related,word,word,
رنج,درد,related,word,word,0.555831073055733
رنگ قهوه ای,آبی,related,word,word,
رنگ کردن,نقاشی کشیدن,related,word,word,
روباه,خرگوش,related,word,word,0.459212161402649
روح,روان,related,word,word,0.275406736295834
رودخانه,دریاچه,related,word,word,0.399123928206325
روزانه,هفتگی,related,word,word,0.314611951791101
روزنامه نگاری,سیاست,related,word,word,
روش,تکنیک,related,word,word,0.261195204705458
لیلی,ژولیت,related,word,word,0.395618068245584
رومی,یونانی,related,word,word,0.548132412764489
روند,روش,related,word,word,0.260484547475961
ریتم,سبک,related,word,word,0.279634382045784
زامبی,خون آشام,related,word,word,
زباله,آشغال,related,word,word,0.415766679836015
زخم,جراحت,related,word,word,0.627733179487153
زغال سنگ,روغن,related,word,word,
فرود آمدن,پرواز کردن,related,word,word,
زمین لرزه,انفجار,related,word,word,
زنبور عسل,مورچه,related,word,word,
زنجیر,طناب,related,word,word,0.39344930649869
زنده,مرده,related,word,word,0.465163923863495
زندگی کردن,زنده ماندن,related,word,word,
زنگ زدن,تلفن,related,word,word,
زنگ زده,خاکی,related,word,word,
زیردریایی,قایق,related,word,word,0.517994743640511
ژست,کردار,related,word,word,0.168710868176958
ژنراتور,راکتور,related,word,word,0.470376702777426
مرداد,شهریور,related,word,word,
سؤال,پرسیدن,related,word,word,0.453939023932453
ساحل,دریا کنار,related,word,word,
ساخت و ساز,ساختن,related,word,word,
درست کردن,انجام دادن,related,word,word,
ساکت,آرام,related,word,word,0.30977510444126
سالگرد,روز تولد,related,word,word,
سالم,معمولی,related,word,word,0.143094772962672
ساندویچ,همبرگر,related,word,word,0.445284008617607
سایه,تاریک,related,word,word,0.450655402838415
سبز,نارنجی,related,word,word,0.355345829233125
سپاسگزار,تشکر کردن,related,word,word,
آبان,آذر,related,word,word,
سپر,زِرِه,related,word,word,
سخت,دشوار,related,word,word,0.548569679722122
سخن,خطبه,related,word,word,0.320138671674342
سر و صدا,صدا,related,word,word,
سرانجام,در نهایت,related,word,word,
سرباز,جنگجو,related,word,word,0.489523393623017
سرفه,تب,related,word,word,0.403147990492894
سرقت,دزدی,related,word,word,0.549096895141598
سرگرمی,ورزش,related,word,word,0.303599583457708
پایتخت,شهر,related,word,word,0.362337878176769
تقدیر,سرنوشت,related,word,word,0.351254015154034
سرویس,نگهداری,related,word,word,0.318189362635688
سزار,رم,related,word,word,0.174722457761356
سزاوار,ارزشمند,related,word,word,0.226493725654042
سس گوجه,مایونز,related,word,word,
سفارت,وزارتخانه,related,word,word,0.458995152752938
سفید,سیاه,related,word,word,0.645925709772961
سفیر,وزیر,related,word,word,0.466816903893732
سقوط,فروپاشی,related,word,word,0.304298216104685
سکو,ایستگاه,related,word,word,0.34324782818758
سگ,گربه,related,word,word,0.557518924988932
سلام,خدا حافظ,related,word,word,
سلامتی,تحصیلات,related,word,word,0.234271223024917
سلسله,امپراتوری,related,word,word,0.3164172861998
سریال,قسمت,related,word,word,0.321949817367454
سلطنتی,پادشاهی,related,word,word,0.493328380749298
سلول,زندان,related,word,word,0.404401756687123
سم,کشتن,related,word,word,0.144523196849791
سمینار,سخنرانی,related,word,word,0.427630399544835
سنجاب,راکون,related,word,word,0.304600924771278
سنسور,فرستنده,related,word,word,0.322002853385916
صخره,سنگ,related,word,word,0.418578053904508
سنگین,به شدت,related,word,word,
سواره نظام,توپخانه,related,word,word,
سوپ,سالاد,related,word,word,0.489247220989907
سوپرمن,بتمن,related,word,word,0.302274022546567
سود,درآمد,related,word,word,0.433547239173539
آمپول,سرنگ,related,word,word,0.458010798816536
سوگند,قسم,related,word,word,0.534520281513384
سومین,چهارمین,related,word,word,0.630117692735699
سیاره,مدار,related,word,word,0.361788316756908
سیب,میوه,related,word,word,0.497825185185415
سیب زمینی,گوجه فرنگی,related,word,word,
سیر,پیاز,related,word,word,0.471637351637918
تکامل,جهش,related,word,word,0.47169279777291
سیمان,پلاستیک,related,word,word,0.449744347445864
سینما,تئاتر,related,word,word,0.343655121583802
گلوله,شلیک,related,word,word,0.439858237967723
شاعر,نویسنده,related,word,word,0.439224475850505
شام,صبحانه,related,word,word,0.573544849002086
فرصت,امکان,related,word,word,0.287372367910533
شانه,زانو,related,word,word,0.300762437686291
شاهد,شهادت,related,word,word,0.43055833095268
پرنسس,شاهزاده,related,word,word,0.516984449606629
شاید,احتمالاً,related,word,word,
شایعه,رسوایی,related,word,word,0.396712943177207
شب,عصر,related,word,word,0.397576774638891
شبکه,سیستم,related,word,word,0.327173177749865
شجاعت,عزم,related,word,word,0.324984232618001
شخص,فرد,related,word,word,0.598039402655562
داداش,برادر,related,word,word,0.395582147282645
شخصی,صمیمی,related,word,word,0.341862486417754
سیرت,شخصیت,related,word,word,0.398126562483929
شراب,شامپاین,related,word,word,0.51957742518125
شرکت,آژانس,related,word,word,0.334380601467313
کمپانی,اداره,related,word,word,0.272681301909031
مولانا,شمس,related,word,word,0.321810470594551
شریف,شجاع,related,word,word,0.315626670492595
شعاع,محیط,related,word,word,0.267494050018036
جادو,جادوگر,related,word,word,0.560324122022768
شک,مشکوک شدن,related,word,word,
شکار,شکارچی,related,word,word,0.549522068416321
صید کردن,ماهیگیری,related,word,word,
شکایت,اتهام,related,word,word,0.307186488069393
شگفت انگیز,خارق العاده,related,word,word,
شمردن,محاسبه,related,word,word,0.282115728806796
شمشیر,چاقو,related,word,word,0.365256753604617
شنبه,یکشنبه,related,word,word,0.599080217843694
شنوایی,آزمایش,related,word,word,0.431075202507329
شهرستان,ناحیه,related,word,word,0.258401983888876
شواهد,مدرک,related,word,word,0.548340616044511
شوخ,بامزه,related,word,word,0.350086819443154
شوهر,زن,related,word,word,0.538974758533392
شیپور,سوت,related,word,word,0.291395211690155
شیر,آب میوه,related,word,word,
دریچه,تهویه,related,word,word,0.506889394771514
دلنشین,جذاب,related,word,word,0.354863021000273
شیشه,بطری,related,word,word,0.541545282935556
شیمیایی,زیستی,related,word,word,0.534205341493463
صبر,دلسوزی,related,word,word,0.142610594340139
صبر,انتظار,related,word,word,0.253877191371013
بیمار,مراجع,related,word,word,0.204134279805231
صحبت کردن,حرف زدن,related,word,word,
صدا,لهجه,related,word,word,0.199977924387585
صدراعظم,رئيس جمهور,related,word,word,
صفحه نمایش,مانیتور,related,word,word,
صلاحیت قضایی,قدرت,related,word,word,
اقیانوس آرام,اقیانوس اطلس,related,word,word,
صنعت,کسب و کار,related,word,word,
ضمانت,قول,related,word,word,0.344093005910797
طاعون,همه‌ گیری,related,word,word,
طبیعی,ساختگی,related,word,word,0.367735056263198
طرح,برنامه,related,word,word,0.395196838534488
برنامه,راهبرد,related,word,word,0.251993481063959
طعم,بو,related,word,word,0.32848738457573
طلاق,ازدواج,related,word,word,0.477820128821386
طلایی,نقره اي,related,word,word,
مسخره,کنایه آمیز,related,word,word,
طوفان,گردباد,related,word,word,0.454697710779217
ظرفیت,توانایی,related,word,word,0.46515883546053
