"fa_target","fa_cue","type","target_type","cue_type","fa_cosine"
"بیمار","بد","related","word","word",0.145447724457418
"ظلم و ستم","بد","related","word","word",NA
"تأسفبار - رقت انگیز","بدبختی","related","word","word",NA
"جسد","بدن","related","word","word",0.277668624626486
"آلفا","براوو","related","word","word",0.487962034012577
"ساختمان","برج","related","word","word",0.35647474030908
"خدمتگزار","برده","related","word","word",0.236143236107585
"تصدیق کردن","بررسی","related","word","word",NA
"برهنه","برهنه","related","word","word",1
"بزرگ","بزرگ","related","word","word",1
"چرت زدن","بستن","related","word","word",NA
"فوتبال","بسکتبال","related","word","word",0.617175762693551
"بسیار","بسیار","related","word","word",1
"زیبا","بسیار","related","word","word",0.379973283808558
"به سرعت","بطور آهسته","related","word","word",NA
"بی ارزش","بلا استفاده","related","word","word",NA
"جویدن","بلع","related","word","word",0.248474491207544
"گذرنامه","بلیط","related","word","word",0.397012151776587
"انفجار","بمب","related","word","word",0.530454077750827
"مجسمه","بنای تاریخی","related","word","word",NA
"ساده","به سادگی","related","word","word",NA
"از قصد","به طور تصادفی","related","word","word",NA
"بطور کلی","به طور طبیعی","related","word","word",NA
"معمولا","به طور معمول","related","word","word",NA
"منهای","به علاوه","related","word","word",NA
"عملا","به معنای واقعی کلمه","related","word","word",NA
"به طور مشخص","به وضوح","related","word","word",NA
"به وقوع پیوستن","به وقوع پیوستن","related","word","word",NA
"فصل پاييز","بهار","related","word","word",NA
"جهنم","بهشت","related","word","word",0.587884307519288
"کفش","بوت کردن","related","word","word",NA
"درخت","بوته","related","word","word",0.407812364554622
"منابع مالی","بودجه","related","word","word",NA
"در آغوش گرفتن","بوسه","related","word","word",NA
"امن است","بی خطر","related","word","word",NA
"سکوت","بی صدا","related","word","word",NA
"غیر منصفانه","بی عدالتی","related","word","word",NA
"گناهکار","بی گناه","related","word","word",NA
"درمانگاه","بیمارستان","related","word","word",0.50170032717765
"جهان","بین المللی","related","word","word",NA
"زن","بیوه","related","word","word",0.330712969549544
"واکسن","پادزهر","related","word","word",0.481353357638807
"دیوانه","پارانوئید","related","word","word",0.341307887623881
"دستمال کاغذی","پارچه","related","word","word",NA
"پاسخ","پاسخ","related","word","word",1
"بسته بندی","پاكت نامه","related","word","word",NA
"پایان دادن","پایان","related","word","word",NA
"فرودگاه","پایانه","related","word","word",0.143201427022684
"مرکز فرماندهی","پایه","related","word","word",NA
"بالا بردن","پایین","related","word","word",NA
"بالا","پایین تر","related","word","word",NA
"استعداد","پتانسیل","related","word","word",0.39687133708032
"حوله","پتو","related","word","word",0.518985558100192
"سرآشپز","پختن","related","word","word",0.240841406388398
"مادر بزرگ","پدر بزرگ","related","word","word",NA
"رویداد","پدیده","related","word","word",0.468572511585013
"مهمانی - جشن","پذیرش","related","word","word",NA
"سمبل","پرچم","related","word","word",0.225436838458283
"پرنده","پروانه","related","word","word",0.488400140908564
"ویتامین","پروتئین","related","word","word",0.583433460840425
"روانشناسی","پزشکی","related","word","word",0.530438852482825
"مطالعه","پژوهش","related","word","word",0.379425125375812
"فکس","پست","related","word","word",0.269608312334351
"دختران","پسران","related","word","word",0.569215090199687
"منفجر کردن","پشت سر هم","related","word","word",NA
"تونل","پل","related","word","word",0.356630517644084
"شلنگ","پمپ","related","word","word",0.369172023273916
"پناه","پناه","related","word","word",1
"فراری","پناهنده","related","word","word",0.252547761745682
"در، درب","پنجره","related","word","word",NA
"دروازه","پورتال","related","word","word",0.337689060275695
"فیلم سینما","پورنو","related","word","word",NA
"بافت","پوست","related","word","word",0.443563085885288
"پنهان شدن","پوشش دادن","related","word","word",NA
"پول","پول نقد","related","word","word",NA
"دلار","پوند","related","word","word",0.550526153349004
"انتخابات","پویش","related","word","word",NA
"فهمیدن","پی بردن","related","word","word",NA
"گیتار","پیانو","related","word","word",0.603975931848783
"مجله","پیر","related","word","word",0.172024635969981
"ژاکت","پیراهن","related","word","word",0.460610560173243
"شکست دادن","پیروزی","related","word","word",NA
"توسعه","پیش رفتن","related","word","word",NA
"دادن","پیشنهاد","related","word","word",0.206841931818735
"پیشنهاد می دهد","پیشنهاد کردن","related","word","word",NA
"چادر زدن","پیک نیک","related","word","word",NA
"دینگ","پینگ","related","word","word",0.621912749299148
"تایید","تائیدیه","related","word","word",0.584853082092305
"زمستان","تابستان","related","word","word",0.588556268658328
"مراسم خاکسپاری","تابوت","related","word","word",NA
"تخت پادشاهی","تاج پادشاهی","related","word","word",NA
"سبک","تاریکی","related","word","word",0.14034413644379
"تازه کردن","تازه","related","word","word",NA
"بیکن","تاست","related","word","word",0.206922552547957
"لیموزین","تاکسی","related","word","word",0.515189267134697
"سلام","تبریک گفتن","related","word","word",NA
"قرص","تبلت","related","word","word",0.172593755587549
"بازار یابی","تبلیغات","related","word","word",NA
"سلاح","تپانچه","related","word","word",0.304296322004134
"کوه","تپه","related","word","word",0.494475395898061
"بازرگان","تجاری","related","word","word",0.271834013821188
"دانش","تجربه","related","word","word",0.261150534127344
"تجهیز کردن","تجهیزات","related","word","word",NA
"قدردانی","تحسین","related","word","word",0.494915423465125
"محقق","تحلیلگر","related","word","word",0.232925515078519
"دستگاه","تراشه","related","word","word",0.326251582901725
"سازمان دادن","ترتیب دادن","related","word","word",NA
"ترساندن","ترساندن","related","word","word",1
"ترس","ترسناک","related","word","word",0.265057692375301
"عجیب و غریب","ترسناک","related","word","word",NA
"سوراخ","ترک","related","word","word",0.102446737382412
"رها کردن","ترک کردن","related","word","word",NA
"مخلوط","ترکیبی","related","word","word",0.343200700899046
"ون","تریلر","related","word","word",0.266997115303094
"می دانند","تشخیص","related","word","word",NA
"عکس","تصویر","related","word","word",0.375328638868584
"هماهنگی","تعادل","related","word","word",0.281898103194301
"اختلاف نظر","تعارض","related","word","word",NA
"ناامید کننده","تعجب","related","word","word",NA
"کیفیت","تعداد","related","word","word",0.168792611249822
"هدیه","تعریف و تمجید","related","word","word",NA
"بهبود","تغییر دادن","related","word","word",NA
"تفنگ","تفنگ","related","word","word",1
"درخواست","تقاضا","related","word","word",0.576963779801523
"برنامه","تقویم","related","word","word",0.300559712889891
"تلاش کردن","تلاش كردن","related","word","word",NA
"میکروسکوپ","تلسکوپ","related","word","word",0.510287888375116
"حرف","تلگراف","related","word","word",0.189943979064423
"طعمه","تله","related","word","word",0.442118625501601
"تمرکز","تمرکز","related","word","word",1
"ورزش","تمرین","related","word","word",0.352716349363809
"شستشو","تمیز","related","word","word",0.360633660766057
"دستگیری","تنبیه کردن","related","word","word",NA
"کثیف","تند","related","word","word",0.0823623729086018
"متاهل","تنها","related","word","word",0.200721698387419
"تنهایی","تنها","related","word","word",0.282764132137254
"حمله","تهاجم","related","word","word",0.446152892714648
"مدیر","تهیه کننده","related","word","word",NA
"فرو رفتن","توالت","related","word","word",NA
"اعتماد به نفس","توجه","related","word","word",NA
"جذب کردن","توجه","related","word","word",NA
"کنسرت","تور","related","word","word",0.321684675034702
"بیان","توصیف کردن","related","word","word",NA
"محتمل","توضیح","related","word","word",0.225345264307335
"تقلب","توطئه","related","word","word",0.341931015257401
"بارداری","تولد","related","word","word",0.279601097187357
"سرطان","تومور","related","word","word",0.510837588090102
"توجیه","توهم","related","word","word",0.147123083921484
"جبران کردن","توهین","related","word","word",NA
"تک تیرانداز","تیرانداز","related","word","word",NA
"تعمیر","ثابت","related","word","word",0.102132389643768
"اولیه","ثانوی","related","word","word",0.449311572905616
"بزرگراه","جاده","related","word","word",0.543962996581696
"برق","جاری","related","word","word",0.128428142077912
"موسیقی","جاز","related","word","word",0.397435279699661
"خرابکاری","جاسوسی","related","word","word",0.409666312917773
"خائن","جاسوسی","related","word","word",0.237526017263285
"انجمن","جامعه","related","word","word",0.345018277438305
"حیوان","جانور","related","word","word",0.424995112669795
"مدال","جایزه","related","word","word",0.354086880686512
"جایزه","جایزه","related","word","word",1
"جایگزین","جایگزین کردن","related","word","word",NA
"عقب","جبهه","related","word","word",0.164771076942118
"صندلی","جدول","related","word","word",0.270500598111104
"جذاب","جذاب","related","word","word",1
"دکتر","جراح","related","word","word",0.525330826302761
"پیدا کردن","جستجو کردن","related","word","word",NA
"کیسه","جعبه","related","word","word",0.318627050714254
"غلط","جعلی","related","word","word",0.245621891792395
"متوقف کردن","جلوگیری کردن","related","word","word",NA
"کامل","جمع","related","word","word",0.0874350113285906
"جمع آوری","جمع کردن","related","word","word",NA
"حضار","جمعیت","related","word","word",0.207761792673958
"مردم","جمعیت","related","word","word",0.354417757225731
"فیزیکی","جنسی","related","word","word",0.460558719661837
"نبرد","جنگ","related","word","word",0.583141780246804
"جنگل","جنگل","related","word","word",1
"دانشمند","جنگی","related","word","word",0.0837548825091614
"شمالی","جنوب","related","word","word",0.410422138875084
"غربی","جنوبی","related","word","word",0.560551314547025
"حماقت","جنون","related","word","word",0.27991863589532
"ارتباط","جهت یابی","related","word","word",NA
"غرور","جهل","related","word","word",0.294505330554367
"دوران کودکی","جوانان","related","word","word",NA
"بوقلمون","جوجه","related","word","word",0.376824742488157
"کیف پول","جیب","related","word","word",NA
"کامیون","جیپ","related","word","word",0.499563042763174
"قدم زدن","چرت زدن","related","word","word",NA
"گوش","چشم","related","word","word",0.216099802868837
"چشم انداز","چشم انداز","related","word","word",NA
"شگفت انگیز","چشمگیر","related","word","word",NA
"چکش","چوب","related","word","word",0.292660535435388
"این","چی","related","word","word",0.589551086705934
"تصادف","حادثه","related","word","word",0.585905354350233
"محتوا","حاوی","related","word","word",0.364778986921173
"فروش","حراج","related","word","word",0.439117036927512
"درجه حرارت","حرارت","related","word","word",NA
"شهرت، آبرو","حرفه","related","word","word",NA
"منتقل کردن","حرکت","related","word","word",NA
"خشمگین","حسادت","related","word","word",0.253525268870734
"دیدنی و جذاب - تماشایی","حساس","related","word","word",NA
"غیبت","حضور","related","word","word",0.195619496646636
"دفن کردن","حفر کردن","related","word","word",NA
"حفظ","حفظ","related","word","word",1
"حقوق","حقوق بازنشستگی","related","word","word",NA
"لاک پشت","حلزون","related","word","word",NA
"گردنبند","حلقه","related","word","word",0.322204364009565
"اعدام","حلقوی","related","word","word",0.0961876081527759
"معاونت","حمایت کردن","related","word","word",NA
"منطقه","حوزه","related","word","word",0.289603707349779
"داخل","خارج از","related","word","word",NA
"در باره","خارج کردن","related","word","word",NA
"گرد و خاک","خاکستر","related","word","word",NA
"جای زخم","خال کوبی","related","word","word",NA
"پر شده","خالی","related","word","word",NA
"اپارتمان","خانه","related","word","word",0.271283716457892
"روزنامه نگار","خبرنگار","related","word","word",NA
"الهام","خداوند","related","word","word",0.233843970565458
"بانوی","خداوند","related","word","word",0.215934439005711
"کشتی","خدمه","related","word","word",0.345110620027697
"اسب","خر","related","word","word",0.275535993129967
"کبودی","خراش","related","word","word",0.39504125997522
"گرگ","خرس","related","word","word",0.386977359630086
"ورود","خروج","related","word","word",0.647983789355754
"فروش","خرید","related","word","word",0.494493156179574
"گرسنه","خسته","related","word","word",0.398131575365505
"مرطوب","خشک","related","word","word",0.442911127946751
"خشم","خشم","related","word","word",1
"حریم خصوصی","خصوصی","related","word","word",NA
"سیاستمدار","خط مشی","related","word","word",NA
"اشتباه کردن","خطا","related","word","word",NA
"خطر","خطر","related","word","word",1
"خطرناک","خطرناک","related","word","word",1
"بندرگاه","خلیج","related","word","word",0.348891440384896
"نوشتن","خواندن","related","word","word",0.528051917022498
"نوشتن","خواندن","related","word","word",0.528051917022498
"نوازنده","خواننده","related","word","word",0.594395124592868
"برادر","خواهر","related","word","word",0.636155447107919
"دوست داشتني","خوب","related","word","word",NA
"بد","خوب","related","word","word",0.563431195454458
"عکاس","خود کار","related","word","word",NA
"آدم کشی","خودکشی کردن","related","word","word",NA
"خوردن","خوراک","related","word","word",0.328509797102087
"ناهار","خوراک مختصر","related","word","word",NA
"واقع بین","خوش بینانه","related","word","word",NA
"خوشمزه - لذیذ","خوش طعم","related","word","word",NA
"ادرار کردن","خون","related","word","word",NA
"خیابان","خیابان","related","word","word",1
"خلاقیت","خیال پردازی","related","word","word",NA
"کمک مالی","خیریه","related","word","word",NA
"قضاوت کردن","دادگاه","related","word","word",NA
"اطلاعات","داده ها","related","word","word",NA
"سرمایه گذاری","دارایی، مالیه، سرمایه گذاری","related","word","word",NA
"وانیل","دارچین","related","word","word",0.606740611430494
"سرد","داغ","related","word","word",0.379952287931548
"عروس","داماد","related","word","word",0.624482417041078
"لباس","دامن","related","word","word",0.447263217348361
"معلم","دانشجو","related","word","word",0.380923677585962
"دانشگاه","دانشکده","related","word","word",0.664662893041146
"به طور داوطلبانه","داوطلب","related","word","word",NA
"مثلث","دایره","related","word","word",0.277601853168353
"دستیار","دبیر، منشی","related","word","word",NA
"سیگار","دخانیات","related","word","word",0.407818989953615
"پسر","دختر","related","word","word",0.721692969639048
"استاد","ددین","related","word","word",NA
"جایی","در جای دیگر","related","word","word",NA
"واقعا","در حقیقت","related","word","word",NA
"فکر","در نظر گرفتن","related","word","word",NA
"قرار دادن","درج کردن","related","word","word",NA
"روشن","درخشش","related","word","word",0.268604251123814
"استفاده کنید","درخواست دادن","related","word","word",NA
"ترک کرد","درست","related","word","word",NA
"واقعی","درست است، واقعی","related","word","word",NA
"رفتار","درمان","related","word","word",0.183930020378522
"بی نیرو","درمانده","related","word","word",NA
"زنگ تفريح","درهم کوبیدن","related","word","word",NA
"دروغ گو","دروغ","related","word","word",NA
"خارجی","درونی؛ داخلی","related","word","word",NA
"اقیانوس","دریا","related","word","word",0.574869243863244
"ناوگان","دریایی","related","word","word",0.325675763953699
"نیروی دریایی","دریایی","related","word","word",NA
"جنایی","دزد","related","word","word",0.0905354343320893
"ملوان","دزد دریایی","related","word","word",NA
"بازو","دست","related","word","word",0.341005406639552
"اغراق کردن، مبالغه","دست کم گرفتن","related","word","word",NA
"گروه","دسته","related","word","word",0.401256738009945
"کیک","دسر","related","word","word",0.432242918296056
"حریف","دشمن","related","word","word",0.266448292824462
"مطبوعات","دکمه","related","word","word",0.141037482319546
"سخاوتمند","دلسوزی","related","word","word",0.206384619836865
"علت","دلیل","related","word","word",0.377811826885004
"تعقیب","دنبال کردن","related","word","word",NA
"بینی","دهان","related","word","word",0.276161493069057
"چهار","دو","related","word","word",0.702560140080623
"سه گانه","دو برابر","related","word","word",NA
"سیگار","دود","related","word","word",0.327633641703537
"دور و بر","دور","related","word","word",NA
"چرخاندن","دور زدن","related","word","word",NA
"میکروفون","دوربین","related","word","word",0.510219177141282
"تزریق","دوز","related","word","word",0.341859952291633
"حمام","دوش","related","word","word",0.41782026777945
"سهشنبه","دوشنبه","related","word","word",0.637915339558212
"دقیقه","دومین","related","word","word",0.236583237564261
"ویدیو","دی وی دی","related","word","word",NA
"فارغ التحصیل","دیپلم","related","word","word",NA
"ملاقات","دیدن","related","word","word",0.313823854577793
"زود","دیر","related","word","word",0.406724368547931
"حصار","دیوار","related","word","word",0.388356476328594
"عاطفی","ذهنی","related","word","word",0.491058123556178
"یخ زدگی","ذوب شدن","related","word","word",NA
"دلپذیر","راحت","related","word","word",0.277370294714227
"ماهواره","رادار","related","word","word",0.452580780732904
"تلویزیون","رادیو","related","word","word",0.46627958633222
"رمز و راز","راز","related","word","word",NA
"خوشحال","راضی","related","word","word",0.411483874056499
"سوار کردن","راندن","related","word","word",NA
"اصلی","راهب","related","word","word",0.0662591564395634
"کشیش","راهب","related","word","word",0.378128761447612
"دستگاه","ربات","related","word","word",0.236992681658183
"تایید کنید","رد کردن","related","word","word",NA
"عطر","رژ لب","related","word","word",NA
"رسمی","رسما","related","word","word",0.292328994427237
"بیا","رسیدن","related","word","word",0.317851179084218
"قید","رشوه","related","word","word",0.130163210423315
"رعد و برق","رعد و برق","related","word","word",NA
"قهرمانی","رقابت","related","word","word",0.252550891848075
"رقص","رقصنده","related","word","word",0.463115187398547
"ضبط","رکورد","related","word","word",0.136646320999672
"کنیاک","رم","related","word","word",0.174451876357157
"کلمه عبور","رمز","related","word","word",NA
"مردن","رنج بردن","related","word","word",NA
"درد","رنج کشیدن","related","word","word",NA
"آبی","رنگ قهوه ای","related","word","word",NA
"قرعه کشی","رنگ کردن","related","word","word",NA
"خرگوش","روباه","related","word","word",0.459212161402649
"روح","روح","related","word","word",1
"دریاچه","رودخانه","related","word","word",0.399123928206325
"هفتگی","روزانه","related","word","word",0.314611951791101
"سیاست","روزنامه نگاری","related","word","word",NA
"تکنیک","روش","related","word","word",0.261195204705458
"ژولیت","رومو","related","word","word",0.0851853398834346
"یونانی","رومی","related","word","word",0.548132412764489
"روش","روند","related","word","word",0.260484547475961
"سبک","ریتم","related","word","word",0.279634382045784
"خون آشام","زامبی","related","word","word",NA
"زباله","زباله ها","related","word","word",NA
"صدمه","زخمی کردن","related","word","word",NA
"روغن","زغال سنگ","related","word","word",NA
"پرواز","زمین","related","word","word",0.161666900466031
"انفجار","زمین لرزه","related","word","word",NA
"مورچه","زنبور عسل","related","word","word",NA
"طناب","زنجیر","related","word","word",0.39344930649869
"مرده","زنده","related","word","word",0.465163923863495
"زنده ماندن","زنده","related","word","word",NA
"تلفن","زنگ زدن","related","word","word",NA
"گرداب","زنگ زده","related","word","word",NA
"قایق","زیردریایی","related","word","word",0.517994743640511
"عمل کردن","ژست","related","word","word",NA
"راکتور","ژنراتور","related","word","word",0.470376702777426
"جولای","ژوئن","related","word","word",0.444020361946268
"پرسیدن","سؤال","related","word","word",0.453939023932453
"ساحل","ساحل دریا","related","word","word",NA
"ساختن","ساخت و ساز","related","word","word",NA
"انجام دادن","ساختن","related","word","word",NA
"ارامش","ساکت","related","word","word",0.264053967009422
"روز تولد","سالگرد","related","word","word",NA
"معمولی","سالم","related","word","word",0.143094772962672
"همبرگر","ساندویچ","related","word","word",0.445284008617607
"تاریک","سایه","related","word","word",0.450655402838415
"نارنجی","سبز","related","word","word",0.355345829233125
"متشکرم","سپاسگزار","related","word","word",0.501604968317088
"اکتبر","سپتامبر","related","word","word",0.534766328959226
"زره پوش","سپر","related","word","word",NA
"سخت","سخت است","related","word","word",NA
"خطبه","سخن، گفتار","related","word","word",NA
"صدا","سر و صدا","related","word","word",NA
"در نهایت","سرانجام","related","word","word",NA
"جنگجو","سرباز","related","word","word",0.489523393623017
"تب","سرفه کردن","related","word","word",NA
"سرقت","سرقت","related","word","word",1
"ورزش","سرگرمی","related","word","word",0.303599583457708
"شهر","سرمایه، پایتخت","related","word","word",NA
"سرنوشت","سرنوشت","related","word","word",1
"نگهداری","سرویس","related","word","word",0.318189362635688
"رم","سزار","related","word","word",0.174722457761356
"ارزشمند","سزاوار","related","word","word",0.226493725654042
"مایونز","سس گوجه","related","word","word",NA
"وزارتخانه","سفارت","related","word","word",0.458995152752938
"سیاه","سفید","related","word","word",0.645925709772961
"وزیر","سفیر","related","word","word",0.466816903893732
"سقوط - فروپاشی","سقوط","related","word","word",NA
"ایستگاه","سکو","related","word","word",0.34324782818758
"گربه","سگ","related","word","word",0.557518924988932
"خدا حافظ","سلام","related","word","word",NA
"تحصیلات","سلامتی","related","word","word",0.234271223024917
"امپراتوری","سلسله","related","word","word",0.3164172861998
"قسمت","سلسله","related","word","word",0.246187283894706
"پادشاهی","سلطنتی","related","word","word",0.493328380749298
"زندان","سلول","related","word","word",0.404401756687123
"کشتن","سمی","related","word","word",0.14347577343715
"سخنرانی","سمینار","related","word","word",0.427630399544836
"راکون","سنجاب","related","word","word",0.304600924771278
"فرستنده","سنسور","related","word","word",0.322002853385916
"سنگ","سنگ","related","word","word",1
"به شدت","سنگین","related","word","word",NA
"توپخانه","سواره نظام","related","word","word",NA
"سالاد","سوپ","related","word","word",0.489247220989907
"بتمن","سوپرمن","related","word","word",0.302274022546567
"درآمد","سود","related","word","word",0.433547239173538
"سرنگ","سوزن","related","word","word",0.478256589179715
"سوگند - دشنام","سوگند","related","word","word",NA
"چهارمین","سوم","related","word","word",0.434349995753609
"مدار","سیاره","related","word","word",0.361788316756908
"میوه","سیب","related","word","word",0.497825185185415
"گوجه فرنگی","سیب زمینی","related","word","word",NA
"پیاز","سیر","related","word","word",0.471637351637918
"جهش","سیر تکاملی","related","word","word",NA
"پلاستیکی","سیمان","related","word","word",0.460164877084666
"تئاتر","سینما","related","word","word",0.343655121583802
"شلیک","شات","related","word","word",0.185829888060954
"نویسنده","شاعر","related","word","word",0.439224475850505
"صبحانه","شام","related","word","word",0.573544849002086
"امکان پذیری","شانس. فرصت","related","word","word",NA
"زانو","شانه","related","word","word",0.30076243768629
"شهادت","شاهد","related","word","word",0.43055833095268
"شاهزاده","شاهزاده","related","word","word",1
"شاید","شاید","related","word","word",1
"رسوایی","شایعات","related","word","word",0.400136611097677
"شب","شب","related","word","word",1
"سیستم","شبکه","related","word","word",0.327173177749865
"عزم","شجاعت","related","word","word",0.324984232618001
"شخصی","شخص","related","word","word",0.407284334495681
"برافروختن","شخص","related","word","word",NA
"صمیمی","شخصی","related","word","word",0.341862486417754
"شخصیت","شخصیت","related","word","word",1
"شامپاین","شراب","related","word","word",0.51957742518125
"آژانس","شرکت","related","word","word",0.334380601467313
"شرکت","شرکت","related","word","word",1
"واتسون","شرلوک","related","word","word",0.372870655514355
"شجاع","شریف","related","word","word",0.315626670492595
"محیط","شعاع","related","word","word",0.267494050018036
"جادوگر","شعبده بازي","related","word","word",NA
"مشکوک شدن","شک","related","word","word",NA
"شکارچی","شکار","related","word","word",0.549522068416321
"ماهیگیری","شکار","related","word","word",0.340752414857549
"اتهام","شکایت","related","word","word",0.307186488069393
"خارق العاده","شگفت انگیز","related","word","word",NA
