"fa_cue","fa_target","fa_fake_target","fa_fake_cue","en_cue","en_target"
"بالغ","والدین","واپرین","باhe","adult","parent"
"بانکدار","سرمایه گذار","سرماهو گذار","بابادار","banker","investor"
"بانکداری","مالی","مایش","باباداری","banking","financial"
"ببخشید","بهانه","زيانه","ببخشکش","forgive","excuse"
"بتن","فولاد","فورتد","زبن","concrete","steel"
"بچه دار","خدمتکار","تلمتکار","بچچادار","nanny","maid"
"بحرانی","سیاسی","سییتی","نظرانی","critical","political"
"بخش","پاراگراف","اجراگراف","یزش","section","paragraph"
"بخشش","رحم","یمم","بخبا","forgiveness","mercy"
"بد","بیمار","بیجور","يق","ill","sick"
"بد","ظلم و ستم","ظلم قفستم","يق","evil","cruelty"
"بدبختی","تأسفبار - رقت انگیز","تأسفبادن رقت انگیز","بدپاتی","miserable","pathetic"
"بدن","جسد","يتد","اچن","body","corpse"
"براوو","آلفا","تعفا","برشمو","bravo","alpha"
"برج","ساختمان","ساختلين","ايج","tower","building"
"برده","خدمتگزار","خدمتشخار","عاده","slave","servant"
"بررسی","تصدیق کردن","تصدیكتکردن","براتی","check","verify"
"برهنه","برهنه","برواه","بروگه","nude","naked"
"بزرگ","بزرگ","ادرگ","بزعه","big","huge"
"بستن","چرت زدن","چرت هين","كاتن","bind","tie"
"بسکتبال","فوتبال","فورتال","داکتبال","basketball","football"
"بسیار","بسیار","بسيسر","مایار","extremely","very"
"بسیار","زیبا","زیشش","مایار","pretty","beautiful"
"بطور آهسته","به سرعت","بهسارعت","beور آهسته","slowly","quickly"
"بلا استفاده","بی ارزش","بی ايطش","بلکباستفاده","useless","worthless"
"بلع","جویدن","خایدن","ميع","swallow","chew"
"بلیط","گذرنامه","اورنامه","بلطس","ticket","passport"
"بمب","انفجار","انسیار","نشب","bomb","explosive"
"بنای تاریخی","مجسمه","مجكله","بنای تارکلی","monument","statue"
"به سادگی","ساده","سالگ","بهقرادگی","simply","simple"
"به طور تصادفی","از قصد","از قرج","به طور تصافشی","accidentally","intentionally"
"به طور طبیعی","بطور کلی","بطورائلی","بهچحور طبیعی","naturally","generally"
"به طور معمول","معمولا","معکيلا","به طوركهعمول","normally","usually"
"به علاوه","منهای","کههای","بهقدلاوه","plus","minus"
"به معنای واقعی کلمه","عملا","عموئ","به معنای واقعیکيلمه","literally","practically"
"به وضوح","به طور مشخص","بهگرور مشخص","به وقيح","clearly","obviously"
"به وقوع پیوستن","به وقوع پیوستن","بهچاقوع پیوستن","بهمـقوع پیوستن","occur","happen"
"بهار","فصل پاييز","فصدهپاييز","نظار","spring","autumn"
"بهشت","جهنم","یونم","بهاب","paradise","hell"
"بوت کردن","کفش","بقش","بوبنکردن","boot","shoe"
"بوته","درخت","درلن","ديته","bush","tree"
"بودجه","منابع مالی","منابوقمالی","بوگشه","budget","funding"
"بوسه","در آغوش گرفتن","درگرغوش گرفتن","بولي","kiss","hug"
"بی خطر","امن است","امسیاست","بیزنطر","safe","secure"
"بی صدا","سکوت","كشوت","بیوودا","silent","silence"
"بی عدالتی","غیر منصفانه","تدر منصفانه","بیپبدالتی","injustice","unfair"
"بی گناه","گناهکار","گنميکار","بیجیناه","innocent","guilty"
"بیمارستان","درمانگاه","درماتراه","هامارستان","hospital","clinic"
"بین المللی","جهان","دفان","بیجوالمللی","international","world"
"بیوه","زن","يز","بیثا","widow","woman"
"پادزهر","واکسن","واگدن","پانسهر","antidote","vaccine"
"پارانوئید","دیوانه","دیوارد","پارایائید","paranoid","crazy"
"پارچه","دستمال کاغذی","دستمالنماغذی","پاجره","cloth","handkerchief"
"پاسخ","پاسخ","پاcy","پاur","answer","reply"
"پاكت نامه","بسته بندی","بستهييندی","پاكتيكامه","envelope","package"
"پایان","پایان دادن","پایان دارت","اقیان","end","finish"
"پایانه","فرودگاه","فروديهه","پاپونه","terminal","airport"
"پایه","مرکز فرماندهی","مرکزنخرماندهی","پاسپ","base","headquarters"
"پایین","بالا بردن","بالاششردن","پافين","down","up"
"پایین تر","بالا","بایش","پاییرنتر","lower","upper"
"پتانسیل","استعداد","اسزنداد","صفانسیل","potential","talent"
"پتو","حوله","جسله","غذو","blanket","towel"
"پختن","سرآشپز","سرآشاغ","فتتن","cook","chef"
"پدر بزرگ","مادر بزرگ","مادردلزرگ","پدفيبزرگ","grandfather","grandmother"
"پدیده","رویداد","روششاد","ولیده","phenomenon","event"
"پذیرش","مهمانی - جشن","مهمانی لکشن","پذنهش","reception","party"
"پرچم","سمبل","قدبل","پركش","flag","symbol"
"پروانه","پرنده","ردنده","پروارد","butterfly","bird"
"پروتئین","ویتامین","ویتاشتن","پروتالن","protein","vitamin"
"پزشکی","روانشناسی","روانشنیتی","ذهشکی","medical","psychological"
"پژوهش","مطالعه","مطالوق","جگوهش","research","study"
"پست","فکس","جدس","نـت","mail","fax"
"پسران","دختران","بتتران","عاران","boys","girls"
"پشت سر هم","منفجر کردن","منفجايکردن","پشت سروذم","burst","explode"
"پل","تونل","توضي","dy","bridge","tunnel"
"پمپ","شلنگ","تشنگ","وخپ","pump","hose"
"پناه","پناه","قداه","اخاه","refuge","shelter"
"پناهنده","فراری","تکاری","سیاهنده","refugee","fugitive"
"پنجره","در، درب","درههدرب","اخجره","window","door"
"پورتال","دروازه","دروارت","پورتمه","portal","gate"
"پورنو","فیلم سینما","فیلم سمکما","پواوو","porn","movie"
"پوست","بافت","باوی","پوده","skin","tissue"
"پوشش دادن","پنهان شدن","اخهان شدن","پوششمجادن","cover","hide"
"پول نقد","پول","معل","پول خشد","cash","money"
"پوند","دلار","یدار","ابند","pound","dollar"
"پویش","انتخابات","انتخلیات","پوشب","campaign","election"
"پی بردن","فهمیدن","فهمیگف","پیلخردن","realize","understand"
"پیانو","گیتار","آستار","مجانو","piano","guitar"
"پیر","مجله","مجار","فتر","playboy","magazine"
"پیراهن","ژاکت","صنکت","پیرالب","shirt","jacket"
"پیروزی","شکست دادن","شکستبپادن","پیروهش","victory","defeat"
"پیش رفتن","توسعه","توکپه","پیغمرفتن","progress","development"
"پیشنهاد","دادن","داما","پیشنئيد","offer","give"
"پیشنهاد کردن","پیشنهاد می دهد","پیشنهایکمی دهد","پیشنهایاکردن","propose","suggest"
"پیک نیک","چادر زدن","کمدر زدن","پیفتنیک","picnic","camping"
"پینگ","دینگ","النگ","پیتس","ping","ding"
"تائیدیه","تایید","تاميد","تاجلدیه","confirmation","confirm"
"تابستان","زمستان","ميستان","تاایتان","summer","winter"
"تابوت","مراسم خاکسپاری","اساسم خاکسپاری","تاودت","coffin","funeral"
"تاج پادشاهی","تخت پادشاهی","تخروپادشاهی","تاساپادشاهی","crown","throne"
"تاریکی","سبک","يرک","تاارکی","darkness","light"
"تازه","تازه کردن","تازهبخردن","تادن","fresh","refresh"
"تاست","بیکن","ويکن","تاخي","toast","bacon"
"تاکسی","لیموزین","لیمونمن","تالبی","taxi","limousine"
"تبریک گفتن","سلام","زيام","تبلتک گفتن","congratulate","greet"
"تبلت","قرص","صوص","تباس","tablet","pill"
"تبلیغات","بازار یابی","بازايتیابی","تبلیتوت","advertising","marketing"
"تپانچه","سلاح","سلحش","پسانچه","pistol","weapon"
"تپه","کوه","جزه","فنه","hill","mountain"
"تجاری","بازرگان","باردگان","جلاری","commercial","merchant"
"تجربه","دانش","داتم","تجاجه","experience","knowledge"
"تجهیزات","تجهیز کردن","تجهیتوکردن","جلهیزات","equipment","equip"
"تحسین","قدردانی","زکردانی","راسین","admire","appreciate"
"تحلیلگر","محقق","محئد","لیلیلگر","analyst","investigator"
"تراشه","دستگاه","بلتگاه","تريره","chip","device"
"ترتیب دادن","سازمان دادن","سازمانفوادن","ترتیلندادن","arrange","organize"
"ترساندن","ترساندن","ترعمندن","تركيندن","scare","frighten"
"ترسناک","ترس","ندس","ترکواک","horror","fear"
"ترسناک","عجیب و غریب","عجیب ولدریب","ترکواک","scary","creepy"
"ترک","سوراخ","سونيخ","انک","crack","hole"
"ترک کردن","رها کردن","رهنهکردن","تربنکردن","leave","abandon"
"ترکیبی","مخلوط","مخافط","ترحزبی","combination","mixture"
"تریلر","ون","بق","ترذیر","trailer","van"
"تشخیص","می دانند","میبشانند","چهخیص","recognize","knew"
"تصویر","عکس","ييس","تصیلر","picture","photo"
"تعادل","هماهنگی","گیاهنگی","تعئول","balance","harmony"
"تعارض","اختلاف نظر","اختلاف نخی","بکارض","conflict","dispute"
"تعجب","ناامید کننده","ناامیدبرننده","تعوك","surprise","disappointment"
"تعداد","کیفیت","کیسرت","تعييد","quantity","quality"
"تعریف و تمجید","هدیه","طلیه","تعریامو تمجید","compliment","gift"
"تغییر دادن","بهبود","بهاید","تغییتندادن","change","improvement"
"تفنگ","تفنگ","بمنگ","کسنگ","rifle","gun"
"تقاضا","درخواست","درمياست","تقوغا","demand","request"
"تقویم","برنامه","برنارو","تقيکم","calendar","schedule"
"تلاش كردن","تلاش کردن","تلاشييردن","تلاشخکردن","try","attempt"
"تلسکوپ","میکروسکوپ","میندوسکوپ","تلسکحي","telescope","microscope"
"تلگراف","حرف","ایف","بنگراف","telegram","letter"
"تله","طعمه","صممه","طیه","trap","bait"
"تمرکز","تمرکز","تمدوز","تمارز","focus","concentrate"
"تمرین","ورزش","وررس","زارین","practice","exercise"
"تمیز","شستشو","سزتشو","تمفش","clean","wash"
"تنبیه کردن","دستگیری","بلتگیری","تنبیگزکردن","punish","arrest"
"تند","کثیف","کثاى","ندد","nasty","filthy"
"تنها","متاهل","متزيل","ستها","single","married"
"تنها","تنهایی","نگهایی","ستها","alone","lonely"
"تهاجم","حمله","خنله","تهرزم","invasion","attack"
"تهیه کننده","مدیر","مدشت","پریه کننده","producer","director"
"توالت","فرو رفتن","فرندرفتن","تورنت","toilet","sink"
"توجه","اعتماد به نفس","اعتمادوزه نفس","تووب","respect","confidence"
"توجه","جذب کردن","جذپاکردن","تووب","attention","attract"
"تور","کنسرت","کنبتت","ستر","tour","concert"
"توصیف کردن","بیان","ابان","توصیلمکردن","describe","express"
"توضیح","محتمل","ریتمل","تونلح","explanation","plausible"
"توطئه","تقلب","حسلب","توئره","conspiracy","fraud"
"تولد","بارداری","باتواری","توزم","birth","pregnancy"
"تومور","سرطان","سرخرن","توصير","tumor","cancer"
"توهم","توجیه","توقصه","توال","illusion","hallucination"
"توهین","جبران کردن","جبراحعکردن","تونتن","insult","offend"
"تیرانداز","تک تیرانداز","تکيهیرانداز","خبرانداز","shooter","sniper"
"ثابت","تعمیر","تعرور","foبت","fix","repair"
"ثانوی","اولیه","اونهه","وصنوی","secondary","primary"
"جاده","بزرگراه","بزپيراه","جاوز","road","highway"
"جاری","برق","فيق","تتری","current","electricity"
"جاز","موسیقی","موميقی","رکز","jazz","music"
"جاسوسی","خرابکاری","خرابيتری","انسوسی","espionage","sabotage"
"جاسوسی","خائن","خايپ","انسوسی","spy","traitor"
"جامعه","انجمن","انخزن","جاکزه","society","community"
"جانور","حیوان","شكوان","جااير","beast","animal"
"جایزه","مدال","خجال","جامیه","trophy","medal"
"جایزه","جایزه","جانمه","جامیه","bonus","reward"
"جایگزین کردن","جایگزین","جانشزین","جایگزیهاکردن","replace","substitute"
"جبهه","عقب","كوب","كوهه","front","rear"
"جدول","صندلی","صنفای","عقول","table","chair"
"جذاب","جذاب","جذبی","جذبی","attractive","charming"
"جراح","دکتر","غيتر","جرte","surgeon","doctor"
"جستجو کردن","پیدا کردن","پیداومردن","جستجبنکردن","search","find"
"جعبه","کیسه","علسه","عضبه","box","bag"
"جعلی","غلط","جفط","زالی","fake","FALSE"
"جلوگیری کردن","متوقف کردن","متوقپرکردن","جلوگیرتشکردن","prevent","stop"
"جمع","کامل","کاگم","ایع","total","complete"
"جمع کردن","جمع آوری","جمع ادری","جمفـکردن","collect","gather"
"جمعیت","حضار","گنار","جمرکت","crowd","audience"
"جمعیت","مردم","مرنش","جمرکت","population","people"
"جنسی","فیزیکی","عرزیکی","هيسی","sexual","physical"
"جنگ","نبرد","نبدی","نيگ","war","battle"
"جنگل","جنگل","جنپر","جنفم","jungle","forest"
"جنگی","دانشمند","دانشتاد","هيگی","genius","scientist"
"جنوب","شمالی","گيالی","لکوب","south","north"
"جنوبی","غربی","غراب","جنتای","southern","western"
"جنون","حماقت","مغاقت","طشون","madness","stupidity"
"جهت یابی","ارتباط","ارتبمز","جهبخیابی","navigation","communication"
"جهل","غرور","نيور","ؤول","ignorance","arrogance"
"جوانان","دوران کودکی","دوران کونشی","جودهان","youth","childhood"
"جوجه","بوقلمون","بورتمون","جوشو","chicken","turkey"
"جیب","کیف پول","کینسپول","كيب","pocket","wallet"
"جیپ","کامیون","کازبون","سخپ","jeep","truck"
"چرت زدن","قدم زدن","قدابزدن","چرت لسن","nap","stroll"
"چشم","گوش","رنش","صتم","eye","ear"
"چشم انداز","چشم انداز","چشدكانداز","چشحرانداز","view","perspective"
"چشمگیر","شگفت انگیز","شگفتحشنگیز","سفمگیر","impressive","amazing"
"چوب","چکش","یلش","يکب","stick","hammer"
"چی","این","رمن","يب","what","that"
"حادثه","تصادف","تصزوف","حایاه","incident","accident"
"حاوی","محتوا","نستوا","حاسر","contain","content"
"حراج","فروش","فریل","تیاج","auction","sale"
"حرارت","درجه حرارت","درجه حرافز","مجارت","heat","temperature"
"حرفه","شهرت، آبرو","شهرتوکآبرو","حروز","career","reputation"
"حرکت","منتقل کردن","منتقبلکردن","حریس","move","transfer"
"حسادت","خشمگین","خشحسین","ولادت","jealous","angry"
"حساس","دیدنی و جذاب - تماشایی","دیدنسیو جذاب  تماشایی","ولاس","sensational","spectacular"
"حضور","غیبت","صابت","وهور","presence","absence"
"حفر کردن","دفن کردن","دففاکردن","حفپرکردن","dig","bury"
"حفظ","حفظ","چلظ","آقظ","preserve","maintain"
"حقوق بازنشستگی","حقوق","حقاص","حقوقپرازنشستگی","pension","salary"
"حلزون","لاک پشت","لاششپشت","اگزون","snail","turtle"
"حلقه","گردنبند","گرمیبند","عکقه","ring","necklace"
"حلقوی","اعدام","اعگرم","حلنبی","hanging","execution"
"حمایت کردن","معاونت","شناونت","حمایخاکردن","support","assistance"
"حوزه","منطقه","مننله","حوال","area","zone"
"خارج از","داخل","دادۀ","خارجمپز","outside","inside"
"خارج کردن","در باره","درشلاره","خارجمبردن","out","about"
"خاکستر","گرد و خاک","گرد و پرک","خاستتر","ash","dust"
"خال کوبی","جای زخم","جای سگم","خایدکوبی","tattoo","scar"
"خالی","پر شده","پرههده","ایلی","empty","full"
"خانه","اپارتمان","سنارتمان","نينه","house","apartment"
"خبرنگار","روزنامه نگار","روههامه نگار","خبدوگار","reporter","journalist"
"خداوند","الهام","ونهام","تلاوند","god","divine"
"خداوند","بانوی","بابهی","تلاوند","lord","lady"
"خدمه","کشتی","نگتی","آشمه","crew","ship"
"خر","اسب","لاب","اص","donkey","horse"
"خراش","کبودی","آپودی","آلاش","scratch","bruise"
"خرس","گرگ","رسگ","طیس","bear","wolf"
"خروج","ورود","سنود","خرچت","exit","entrance"
"خرید","فروش","فریل","آلید","buy","sell"
"خسته","گرسنه","گرقله","وضته","tired","hungry"
"خشک","مرطوب","مردرب","يرک","dry","wet"
"خشم","خشم","یلم","نـم","anger","rage"
"خصوصی","حریم خصوصی","لایم خصوصی","خصرپی","private","privacy"
"خط مشی","سیاستمدار","سیاسلحدار","خطرـشی","policy","politician"
"خطا","اشتباه کردن","اشتباهتجردن","لکا","error","mistake"
"خطر","خطر","ونر","ونر","risk","danger"
"خطرناک","خطرناک","خطرنسن","خطرنئي","risky","dangerous"
"خلیج","بندرگاه","بندروژه","خليم","bay","harbor"
"خواندن","نوشتن","نویون","خوانتک","read","write"
"خواندن","نوشتن","نویون","خوانتک","reading","writing"
"خواننده","نوازنده","نورلنده","خوندنده","singer","musician"
"خواهر","برادر","بررگر","خوصبر","sister","brother"
"خوب","دوست داشتني","دوستمباشتني","واب","nice","lovely"
"خوب","بد","ئل","واب","good","bad"
"خود کار","عکاس","اگاس","خونگکار","autograph","photographer"
"خودکشی کردن","آدم کشی","آدم لوی","خودکشیدیردن","suicide","murder"
"خوراک","خوردن","خودان","گاراک","feed","eat"
"خوراک مختصر","ناهار","نانجر","خوراک مخوكر","snack","lunch"
"خوش بینانه","واقع بین","واقعهسین","خوتطبینانه","optimistic","realistic"
"خوش طعم","خوشمزه - لذیذ","خونيزه  لذیذ","خوکمطعم","tasty","delicious"
"خون","ادرار کردن","ادرامفکردن","نسن","blood","urine"
"خیابان","خیابان","گزابان","گزابان","avenue","street"
"خیال پردازی","خلاقیت","خلاقهي","خیالنسردازی","imagination","creativity"
"خیریه","کمک مالی","کمدتمالی","شتریه","charity","donation"
"دادگاه","قضاوت کردن","قضاولککردن","دانساه","court","judge"
"داده ها","اطلاعات","چولاعات","دادهـسا","data","information"
"دارایی، مالیه، سرمایه گذاری","سرمایه گذاری","سرمانک گذاری","داراییظلمالیه، سرمایه گذاری","finance","invest"
"دارچین","وانیل","رونیل","داشوین","cinnamon","vanilla"
"داغ","سرد","لبد","ابغ","hot","cold"
"داماد","عروس","فیوس","دااسد","groom","bride"
"دامن","لباس","كواس","دازش","skirt","dress"
"دانشجو","معلم","معنن","دانشre","student","teacher"
"دانشکده","دانشگاه","داريگاه","دانشجیه","college","university"
"داوطلب","به طور داوطلبانه","بهطهور داوطلبانه","داوطنج","volunteer","voluntarily"
"دایره","مثلث","مثژم","داتیه","circle","triangle"
"دبیر، منشی","دستیار","دسدکار","دبیرخامنشی","secretary","assistant"
"دخانیات","سیگار","سیارر","دخانهيت","tobacco","cigarette"
"دختر","پسر","تگر","دخید","girl","boy"
"ددین","استاد","اسمند","رفین","dean","professor"
"در جای دیگر","جایی","جايگ","در جای داپر","elsewhere","somewhere"
"در حقیقت","واقعا","واتما","درآغقیقت","actually","really"
"در نظر گرفتن","فکر","جدر","در نظرهيرفتن","consider","think"
"درج کردن","قرار دادن","قراراسادن","درخاکردن","insert","put"
"درخشش","روشن","رورز","درهمش","shine","bright"
"درخواست دادن","استفاده کنید","استفاده مفید","درخواسمسدادن","apply","use"
"درست","ترک کرد","تركهکرد","درني","right","left"
"درست است، واقعی","واقعی","وافهی","درست استـتواقعی","TRUE","real"
"درمان","رفتار","نزتار","درلين","therapy","treatment"
"درمانده","بی نیرو","بی نشیو","درمااره","helpless","powerless"
"درهم کوبیدن","زنگ تفريح","زنمرتفريح","درهمجروبیدن","smash","break"
"دروغ","دروغ گو","دروغزاو","درقل","lie","liar"
"درونی؛ داخلی","خارجی","خافهی","درونسم داخلی","internal","external"
"دریا","اقیانوس","اقزينوس","درلش","sea","ocean"
"دریایی","ناوگان","نایتان","دریانت","naval","fleet"
"دریایی","نیروی دریایی","نیروفشدریایی","دریانت","marine","navy"
"دزد","جنایی","سهایی","اصد","thief","criminal"
"دزد دریایی","ملوان","وسوان","دزفلدریایی","pirate","sailor"
"دست","بازو","باوب","محت","hand","arm"
"دست کم گرفتن","اغراق کردن، مبالغه","اغراپرکردن، مبالغه","دست کملبرفتن","underestimate","exaggerate"
"دسته","گروه","گرکش","بلته","gang","group"
"دسر","کیک","ينک","ذير","dessert","cake"
"دشمن","حریف","حرتک","كرمن","enemy","opponent"
"دکمه","مطبوعات","مطبورشت","غيمه","button","press"
"دلسوزی","سخاوتمند","جیاوتمند","دلسوئد","compassionate","generous"
"دلیل","علت","أتت","دلخو","reason","cause"
"دنبال کردن","تعقیب","تعائب","دنبادرکردن","follow","chase"
"دهان","بینی","کرنی","لنان","mouth","nose"
"دو","چهار","خلار","یت","two","four"
"دو برابر","سه گانه","سهزهانه","دوهکرابر","double","triple"
"دود","سیگار","سیارر","یلد","smoke","cigar"
"دور","دور و بر","دوپرو بر","ذار","round","around"
"دور زدن","چرخاندن","چرشمندن","دویسزدن","turn","rotate"
"دوربین","میکروفون","میکرالون","دوونین","camera","microphone"
"دوز","تزریق","stریق","يرز","dose","injection"
"دوش","حمام","گهام","يفش","shower","bathroom"
"دوشنبه","سهشنبه","قيشنبه","کيشنبه","monday","tuesday"
