"en_target","en_cue","en_fake_cue","en_fake_target"
"honor","privilege","privitick","disor"
"horrible","terrible","terrimand","horrimand"
"horse","donkey","donoma","howle"
"hose","pump","puif","isse"
"hug","kiss","dess","yag"
"huge","big","yag","kege"
"human","man","ien","huers"
"hundred","thousand","chitsand","hundons"
"hungry","tired","tinsd","hunsoe"
"hydrogen","carbon","carpie","hydromats"
"idiot","fool","fojo","idnev"
"importance","meaning","senting","imporcians"
"important","valuable","tillable","imporhole"
"impress","flatter","landter","imgrave"
"imprisonment","penalty","benefty","imprisontario"
"improvement","change","chansy","imparchment"
"income","profit","travit","incant"
"indicate","point","pooft","indiened"
"individual","person","pering","tetrodotoxindividual"
"infection","virus","viads","infecness"
"inform","report","retary","indone"
"informant","source","sorece","inforerin"
"information","data","tenta","informanence"
"inherit","heritage","herhinge","inplicit"
"injection","dose","dooz","injecness"
"injury","wound","seund","injoin"
"insect","spider","mumder","insold"
"inside","outside","derside","intifa"
"inspection","examination","examinamurthy","incryption"
"inspiration","inspire","inchine","inspiraphers"
"instrument","tool","toug","inbishment"
"intelligent","smart","teart","intelliships"
"intention","purpose","purpled","intenberg"
"intentionally","accidentally","accidenshichily","tetrodotoxintentionally"
"interesting","exciting","exlonging","tetrodotoxinteresting"
"intimate","personal","perwithal","intiling"
"intuition","instinct","insuance","intulaise"
"invest","finance","fidents","incart"
"investigate","examine","examphib","investibling"
"investigator","analyst","anasils","tetrodotoxinvestigator"
"investor","banker","baraer","inpactor"
"ironic","irony","irrky","shanic"
"irresponsible","unreasonable","unreasonhurst","irrebravissible"
"jacket","shirt","shbot","chamet"
"jewel","diamond","diarate","titel"
"joke","trick","otick","ucke"
"journalist","reporter","reproved","chinnalist"
"joy","pleasure","pleabers","nty"
"judge","court","comit","julee"
"juice","milk","miog","juare"
"juliet","romeo","roizo","flucet"
"july","june","eyne","tonly"
"jump","climb","clbab","juif"
"junior","senior","segias","juwine"
"justice","revenge","revorce","cautice"
"keep","hold","hobs","kere"
"kill","poison","whyson","kiro"
"king","queen","sneen","eong"
"kingdom","royal","trual","kingnar"
"knee","shoulder","stillder","eree"
"knew","recognize","recogmous","knoc"
"knife","sword","swind","knnae"
"know","now","iew","knff"
"knowledge","experience","experiotous","knowlpile"
"lady","lord","loja","mechagodzillady"
"lake","river","nauer","ecke"
"landlord","tenant","boyant","landmind"
"last","first","tarst","lawr"
"laugh","smile","nvile","laneh"
"leader","member","bilber","leroer"
"lecture","seminar","careinar","papture"
"left","right","prght","lewe"
"legal","illegal","illebook","lecho"
"legend","myth","nith","legade"
"length","size","sium","bungth"
"let","allow","alber","cht"
"letter","telegram","kolegram","molter"
"liar","lie","yce","nkar"
"liberal","conservative","conservaclysms","proseral"
"lick","suck","supr","scck"
"lieutenant","sergeant","sergeaky","hithtenant"
"light","darkness","branness","listt"
"likely","probability","alexanability","lantly"
"limousine","taxi","taph","limouworm"
"ling","ming","mikh","scng"
"lion","dragon","chaton","limat"
"literature","art","cht","literalysts"
"liver","kidney","draney","cober"
"lizard","frog","frmm","lizato"
"loan","credit","reenit","uran"
"lobster","tuna","ishna","vetster"
"local","regional","remandal","lobot"
"location","place","pllie","locaress"
"lock","key","chy","lomo"
"lonely","alone","erone","cisely"
"long","short","shait","loou"
"love","hate","hant","lopy"
"lovely","nice","nial","carely"
"lover","mistress","mistised","pever"
"lunch","snack","adack","lurih"
"machine","robot","rorys","macites"
"magazine","playboy","playmus","magavail"
"maid","nanny","imony","maoi"
"maintain","preserve","preslide","mainhand"
"maintenance","service","sersate","steptenance"
"manipulate","control","congall","manipusions"
"map","compass","combits","urp"
"marketing","advertising","adverdreaming","marjacking"
"marriage","divorce","dicoise","martiary"
"married","single","sincer","marmond"
"massage","yoga","berga","masride"
"match","tournament","tournature","mazeh"
"mathematics","physics","phklics","chrisematics"
"maximum","minimum","minilano","maxigara"
"mayonnaise","ketchup","ketclep","mayonlythe"
"mayor","sheriff","shercur","regor"
"meal","food","foze","mest"
"meat","pork","pogh","crat"
"mechanical","technical","skinnical","mefilthical"
"medal","trophy","jefphy","merul"
"medallion","artifact","artidyne","medalhood"
"meet","see","lte","meau"
"meeting","conference","conferdown","peasing"
"merchant","commercial","commersors","mertiano"
"mercy","forgiveness","forbuisness","cracy"
"message","warning","lavaing","mesmari"
"metal","iron","exon","bigal"
"meter","kilometer","quanmeter","menia"
"microphone","camera","camlal","micromanag"
"microscope","telescope","firescope","microstand"
"military","civil","nagil","mililent"
"minister","ambassador","ambasstill","headister"
"ministry","embassy","emgaery","mintiary"
"minus","plus","drus","mibit"
"minute","second","secvey","mivite"
"mirror","reflection","reporttion","webror"
"misery","poverty","podolty","latery"
"misfortune","unfortunate","unfortutions","misforwara"
"missile","rocket","fishet","misache"
"mission","task","tawn","misties"
"mistake","error","erhei","misaged"
"mixture","combination","combinaments","ladture"
"modest","humble","speble","serest"
"monastery","temple","vilple","eenastery"
"money","cash","calv","parey"
"monitor","screen","sceven","moniness"
"morning","tomorrow","tomorcial","bolding"
"morphine","aspirin","astoran","mordrive"
"motel","hotel","hodas","mohin"
"mountain","hill","hica","mountics"
"movie","porn","ponc","mosle"
"mum","daddy","soudy","uim"
"murder","suicide","bibcide","popder"
"murderer","killer","emller","murgather"
"muscle","nerve","neume","crecle"
"museum","library","liarchy","musevere"
"music","jazz","jank","murus"
"musician","singer","siover","musitary"
"mutation","evolution","evolulose","mutacles"
"mystery","secret","sebrok","devtery"
"naked","nude","nusy","loked"
"nation","country","counsan","nators"
"nausea","diarrhea","diarwark","crasea"
"navy","marine","malier","naco"
"neck","throat","throul","newa"
"necklace","ring","riou","neckwall"
"need","necessary","neceslist","hied"
"negative","positive","posiness","negaless"
"nephew","grandson","grandmam","neerew"
"nervous","worried","wordine","foxvous"
"news","channel","chanrie","hiws"
"newspaper","article","artiwork","goldpaper"
"noon","midnight","holnight","nois"
"normal","healthy","hengthy","norout"
"north","south","sorah","karth"
"nose","mouth","morah","nors"
"nuclear","atomic","gormic","nucliff"
"oath","swear","sworr","oads"
"obviously","clearly","breadly","obvitaliyly"
"ocean","sea","yra","ocdon"
"october","september","sepclubber","octorius"
"offend","insult","intung","ofmern"
"office","desk","kosk","ofsist"
"official","officially","offiquently","offisors"
"often","sometimes","somelings","ofria"
"oil","coal","rsal","ael"
"onion","garlic","garald","onofn"
"opponent","enemy","enegant","oppojack"
"option","choice","cheyce","opment"
"orange","green","grrin","orpans"
"orbit","planet","skinet","ortre"
"order","command","commost","orous"
"organize","arrange","herange","orgarant"
"outcome","result","regali","outhous"
"owner","property","gatherty","khaer"
"oxygen","air","skr","rubgen"
"package","envelope","envekled","hangage"
"pain","suffering","whatfering","blin"
"painter","artist","arpost","arinter"
"paragraph","section","laution","parasmith"
"paranormal","supernatural","supernaturallosaurus","downnormal"
"parent","adult","ooult","partra"
"particle","matter","sunter","partiwork"
"party","reception","recepness","donty"
"passion","enthusiasm","enthusicocha","redsion"
"passport","ticket","lifeet","safeport"
"password","code","ande","passwich"
"past","future","fusive","pavl"
"path","route","roble","paha"
"pathetic","miserable","misership","papersic"
"patrol","guard","keard","pagios"
"pen","paper","paist","ynn"
"penis","vagina","barena","pelan"
"people","population","populabeled","lasple"
"perfect","ideal","netal","perwich"
"performance","show","shff","perforvices"
"perfume","lipstick","konstick","percabe"
"perimeter","radius","rabied","shrimpter"
"period","phase","phove","periback"
"personality","character","foreacter","perlyrickality"
"perspective","view","vitu","percutstive"
"photo","picture","flyture","sugto"
"photographer","autograph","autosmith","phomakimurapher"
"phrase","dictionary","dictiosuke","phrahi"
"physical","sexual","polyual","willical"
"piece","fragment","facement","pimse"
"pig","cow","myw","aag"
"pill","tablet","tablch","iell"
"pilot","astronaut","astrokers","pidas"
"planning","preparation","reverration","planries"
"plastic","cement","celyne","porttic"
"plate","bowl","borc","plice"
"plausible","explanation","explanaments","eriksible"
"player","coach","comth","glycer"
"pleasant","comfortable","compendable","dreadant"
"poem","text","terz","potoc"
"poker","gambling","pepbling","edier"
"political","critical","washical","pographical"
"politician","policy","clinicy","politifish"
"politics","journalism","spinnalism","polihand"
"position","status","victus","posilenc"
"possibility","chance","chansy","possiphonedity"
"powerless","helpless","reenless","powerfuck"
"practically","literally","whatchamacalliterally","soundtically"
"predator","prey","prud","creamtor"
"pregnancy","birth","bilkh","slamnancy"
"prepare","ready","rebey","prenaut"
"president","chancellor","yourcellor","cockident"
"press","button","capton","rgess"
"pressure","pulse","punee","presbers"
"price","value","lique","prnne"
"priest","monk","mosq","prsist"
"primary","secondary","secowlark","rayamary"
"prince","princess","prinruss","prinks"
"prison","cell","vall","prisuk"
"prisoner","hostage","hoosage","celloner"
"privacy","private","pritice","downvacy"
"prize","nobel","notat","prade"
"probably","maybe","mavie","spirably"
"probe","capsule","capnege","prrke"
"problem","trouble","apolble","probtua"
"procedure","process","prgoess","procerael"
"produce","create","musate","prodong"
"product","brand","bried","forguct"
"production","factory","timetory","producness"
"professional","amateur","amawich","profesteredal"
"professor","dean","dess","profesdled"
"program","project","proteer","procial"
"prohibit","forbidden","fortuneden","procrasit"
"promise","guarantee","wolfantee","prelise"
"proof","evidence","evidates","prsef"
"prosecutor","lawyer","lacler","nightecutor"
"protocol","rule","iple","prototier"
"prototype","model","psyel","protoichi"
"provide","enable","entate","proused"
"psychological","medical","medachi","schoolchological"
"psychology","anatomy","nathamy","psyequivogy"
"pull","push","essh","esll"
"put","insert","infari","mmt"
"quality","quantity","thistity","portity"
"quarter","half","haua","bookter"
"quickly","slowly","santly","tlingly"
"rabbit","fox","nax","seibit"
"raccoon","squirrel","squirsun","fetcoon"
"race","marathon","sprathon","rawl"
"radiation","contamination","archdeacontamination","radiagogue"
"rage","anger","anksr","onge"
"ransom","kidnapper","moonnapper","rancer"
"rarely","occasionally","occapuletsally","ntrely"
"rat","mouse","modae","cht"
"reactor","generator","generalyzed","reaccent"
"real","true","trfy","tural"
"realistic","optimistic","optimushai","realisments"
"really","actually","acknowlally","responly"
"rear","front","frigt","rede"
"reasonable","fair","favo","reasonings"
"recently","just","juti","refillly"
"recording","record","reetrd","raforming"
"reduce","increase","inressed","rerect"
"refresh","fresh","meesh","respeth"
"religion","philosophy","philosodling","relifuls"
"remain","stay","stot","recase"
"remarkable","exceptional","exceppleural","reswerable"
"remember","forget","fortro","rememsive"
"remove","eliminate","chopinate","revade"
"rent","hire","uare","reas"
"repair","fix","oux","renaut"
"reply","answer","anamei","reses"
"reputation","career","cajets","reputamente"
"request","demand","demost","retutes"
"resist","resistance","resiscians","resawa"
"restaurant","pub","uib","restaulian"
"return","back","basi","retium"
"reward","bonus","bobis","regled"
"rich","poor","popl","rity"
"ride","drive","gonve","risi"
"rob","steal","stonl","ubb"
"robbery","theft","thomt","robrest"
"romantic","dramatic","newsmatic","romanders"
"rome","caesar","caezon","imme"
"rope","chain","chman","roga"
"rotate","turn","tupo","roboti"
"sabotage","espionage","espitwine","saboplex"
"safety","security","seculatesty","scarty"
"sail","anchor","anshak","samu"
"sailor","pirate","pitant","saills"
"salad","soup","soek","curad"
"salary","pension","penties","salafl"
"sale","auction","oiltion","sach"
"samurai","ninja","somja","shoorai"
"sand","mud","urd","sals"
"satellite","radar","ranor","streplite"
"sauce","cream","crrom","saebe"
"save","rescue","reshei","samu"
"savior","hero","heby","savdic"
"scandal","gossip","goswun","spirdal"
"scar","tattoo","kiltoo","scsa"
"schedule","calendar","calenreid","schedcay"
"school","class","clros","lihool"
"science","technology","horsenology","ideence"
"scientist","genius","geview","scienpler"
"secure","safe","sach","selage"
"select","choose","chfuse","sepant"
"selfish","stubborn","scalborn","heavish"
"sell","buy","ewy","seab"
"senate","parliament","parliative","briate"
"senator","governor","goverured","plicator"
"send","bring","rking","seet"
"sensitive","delicate","deliened","sensiless"
"sentence","word","furd","sentrate"
"sermon","speech","faeech","psymon"
"servant","slave","slose","sercoat"
"shelter","refuge","reroge","identer"
"ship","crew","onew","shud"
"shoe","boot","bopa","shdn"
"shoot","shot","shpa","shimt"
"sick","ill","zol","sifi"
"sign","form","fozi","sibh"
"signal","frequency","frecourcy","anynal"
"signature","stamp","sthep","signacles"
"silence","silent","oglent","sidents"
"silver","golden","winden","silros"
"simple","simply","simrat","psyple"
"sink","toilet","duflet","sirt"
"sip","drop","drem","ipp"
"sit","stand","stord","urt"
"skull","bone","ayne","skawl"
"sleep","rest","reey","preep"
"small","little","deltle","odall"
"smell","taste","tanke","erell"
"snake","worm","wozi","chake"
"sniper","shooter","shacker","snheer"
"snow","rain","unin","snff"
"soda","lemonade","lemoneen","sosuk"
"solar","lunar","lumie","soted"
"something","nothing","porting","postthing"
"somewhere","elsewhere","tynewhere","snowwhere"
"son","daughter","deathter","ien"
"song","album","aldex","solv"
"sound","noise","irise","sobed"
"spaghetti","lasagna","lamigna","prophetti"
