ar_cue,ar_target,type,cue_type,target_type,ar_cosine
يقود,ركوب,related,word,word,0.289373423210301
حل محل,يستبدل,related,word,word,
المالية,يستثمر,related,word,word,0.272808146485023
منعطف _ دور,استدارة,related,word,word,
تحطيم,تكسير,related,word,word,0.527405032242632
تطبيق,استعمال,related,word,word,0.373873399745413
تقدم,استمر,related,word,word,0.23903993250838
عدد السكان,اشخاص,related,word,word,
أعمى,اطرش,related,word,word,0.230354315687508
يعترف,يقرّ,related,word,word,
يجامل,يبهر,related,word,word,0.380647086471832
صناعة,اعمال,related,word,word,0.348261041867745
الخدمات,اعمال صيانة,related,word,word,
خاتمة,افتراض,related,word,word,0.144195416524514
اقرأ,اكتب,related,word,word,0.610151110774062
المجموع,كامل,related,word,word,0.179723179080572
سبتمبر,اكتوبر,related,word,word,0.623395557377145
أم,أب,related,word,word,0.331285586412614
بالغ,أحد الوالدين,related,word,word,
يوم السبت,الأحد,related,word,word,
هرمون,الأدرينالين,related,word,word,0.547520726107037
قبيلة,الأسرة,related,word,word,0.282284048281375
أعلى,سفلي,related,word,word,0.287196792996347
كابل,الأسلاك,related,word,word,0.387883750498482
أحمر,الأصفر,related,word,word,0.539403495229095
رادار,قمر صناعي,related,word,word,
هواء,الأكسجين,related,word,word,0.487170953419954
بلد,الأمة,related,word,word,0.320647690424789
الخدمات المصرفية,ماليّ,related,word,word,
فم,أنف,related,word,word,0.516202220853832
ذو قيمة,مهم,related,word,word,
تواصل,الإتصال,related,word,word,0.34936285937619
خاص,خصوصية,related,word,word,0.248465197488546
قناة,أخبار,related,word,word,0.401505814763224
يسب,يهين,related,word,word,0.367653469918307
تكرر,الإشارة,related,word,word,0.148600116565728
الربح,الدخل,related,word,word,0.453944950976861
التنقل,التواصل,related,word,word,0.445250540686579
أول,الأخير,related,word,word,0.325909773280355
المستشعر,جهاز إرسال,related,word,word,
رجل,إنسان,related,word,word,0.413984084343407
جلد,الانسجة,related,word,word,0.274513374144415
غريزه,البديهة,related,word,word,0.289059350615907
أخضر,برتقالي,related,word,word,0.541327528856078
حار,بارد,related,word,word,0.603013092891891
مقزز,بشع,related,word,word,0.452714006033802
حِمل,البضائع,related,word,word,
العمود الفقري,البطني,related,word,word,
دم,البول,related,word,word,0.467445991012019
ملعب,البيسبول,related,word,word,0.390461362309523
سمع,التجربة,related,word,word,0.172348324406002
يختبر,يحقق,related,word,word,0.251944577374526
تشريح الجثة,تحليل,related,word,word,
الصحة,التعليم,related,word,word,0.402039882817246
عصري,تقليدي,related,word,word,0.435933515048201
مذياع,التلفاز,related,word,word,0.407951891849104
ميزانية,تمويل,related,word,word,0.462202083754965
ختم,التوقيع,related,word,word,0.360069293803529
احترام,الثقة,related,word,word,0.409892130273402
جنة,الجحيم,related,word,word,0.326454073466727
العمل,الجراحة,related,word,word,0.235730633889854
مدني,حربي,related,word,word,0.346031624930953
البرمجيات,الحاسوب,related,word,word,0.527898319676415
يكره,يحب,related,word,word,0.69598133603386
عنكبوت,حشرة,related,word,word,0.518362246926231
ثقافة,الحضارة,related,word,word,0.409598778739373
يحمي,يحفظ,related,word,word,0.40943046483693
الربيع,الخريف,related,word,word,0.696905623446792
العدو,الخصم,related,word,word,0.473319956274265
يحمي,يدافع,related,word,word,0.377027924475724
ماذا او ما,الذي - التي,related,word,word,
فوضى سياسية,الرأسمالية,related,word,word,
سنجاب,الراكون,related,word,word,0.354286582838539
سوبرمان,الرجل الوطواط,related,word,word,
إجابه,الرد,related,word,word,0.442051943383894
بشكل رسمي,الرسمية,related,word,word,
الفيزياء,الرياضيات,related,word,word,0.629121115809062
النينجا,الساموراي,related,word,word,0.406676818511746
يغرق,يسبح,related,word,word,0.47256830238705
قميص,السترة,related,word,word,0.48701582578326
ضربة جزاء,عقوبة السجن,related,word,word,
خلية - زنزانة,السجن,related,word,word,
القيمة,السعر,related,word,word,0.422835618721725
الاختصاص القضائي,السلطة,related,word,word,
سماء,سماوي,related,word,word,0.383435949027933
جلالة,السمو,related,word,word,0.468826773846776
مركبة,سيارة,related,word,word,0.571319226291403
صفة,شخصية,related,word,word,0.349475449496772
الوريد,الشريان,related,word,word,0.650262800662865
وظيفة,عمل,related,word,word,0.466823050644329
القمر,الشمس,related,word,word,0.528413600632076
عنصري,الشيوعي,related,word,word,0.309240394865972
قاس,الصعب,related,word,word,0.33936404194722
صامتة,الصمت,related,word,word,0.406091908985244
نبض,الضغط,related,word,word,0.324520912305629
طريق,الطريق السريع,related,word,word,
بحجم,الطول,related,word,word,0.26619207648332
دولي,العالم,related,word,word,0.210731430078388
قاموس,العبارة,related,word,word,0.3580986914972
الماراثون,سباق,related,word,word,0.510169592279965
الجنوبي,الغربي,related,word,word,0.630393224030508
بيئة,الغلاف الجوي,related,word,word,
الخاسر,الفائز,related,word,word,0.605650026463898
أولاد,بنات,related,word,word,0.579899859435827
شقّ,حفرة,related,word,word,
موز,الفراولة,related,word,word,0.414742973841299
إنجليزي,فرنسي,related,word,word,0.607408497208934
شرير,القسوة,related,word,word,0.181174128000334
الحرير,القطن,related,word,word,0.50600701028709
تسلق,قفز,related,word,word,0.450961448241998
البحرية,القوات البحرية,related,word,word,
الكلى,الكبد,related,word,word,0.564693981947832
عادي,كلاسيكي,related,word,word,0.31826726277672
ثانية,دقيقة,related,word,word,0.423304007314589
معاناة,الم,related,word,word,0.216662032568309
فن,الأدب,related,word,word,0.39986984229681
مستأجر,مالك العقار,related,word,word,
الهواة,المحترفين,related,word,word,0.598553881047898
ربما,محتمل,related,word,word,0.419152703527992
الاحتمال,محتمل,related,word,word,0.301385016666059
يحتوي,المحتوى,related,word,word,0.38727817621445
وكيل,المحقق,related,word,word,0.287110498737806
المحيط الهادئ,المحيط الأطلسي,related,word,word,
الكحول,المخدرات,related,word,word,0.60763853215396
محامي,المدعي العام,related,word,word,
مصرفي,المستثمر,related,word,word,0.425559925990745
خبرة,المعرفه,related,word,word,0.29785599959593
ضحية,المفترس,related,word,word,0.219277353277018
مؤلف,الممثل,related,word,word,0.332016199364346
ماركة,منتج,related,word,word,0.296629213357921
بطل,المنقذ,related,word,word,0.380014963942707
مفجر,جهاز ضبط الوقت,related,word,word,
مرشح,الناخب,related,word,word,0.357898228014553
مؤامرة,النصب والاحتيال,related,word,word,
شبكة,النظام,related,word,word,0.263531631945826
نحلة,نملة,related,word,word,0.463546820559378
نموذج,النموذج المبدئي,related,word,word,
الكوكايين,الهيروين,related,word,word,0.754398050728057
صحراء,الوادي,related,word,word,0.388824428674069
السفارة,الوزارة,related,word,word,0.44551425113044
غاز,الوقود,related,word,word,0.415343374074076
رومان,اليونانية,related,word,word,0.162544584617052
أرملة,امرأة,related,word,word,0.347166999851639
الحملة الانتخابية,انتخابات,related,word,word,
التوازن,انسجام,related,word,word,0.399745477400361
هزة أرضية,انفجار,related,word,word,
يقع,ينهار,related,word,word,0.350760801558039
فقر,بؤس,related,word,word,0.305410408812718
نافذة,باب,related,word,word,0.538745396764814
عم,بابا,related,word,word,0.301881964969051
دافئ,بارد,related,word,word,0.64757695422779
دائما,باستمرار,related,word,word,0.479716269569515
يشترى,يبيع,related,word,word,0.564376477803453
نجاح,فشل,related,word,word,0.483862019388318
إطلاقا,بالكامل,related,word,word,0.209807616354916
القرصان,بحار,related,word,word,0.330801583381791
نهر,بحيرة,related,word,word,0.499595126276558
تقويم,جدول,related,word,word,0.364946412205103
مشروع,برنامج,related,word,word,0.400189522855466
احتجاج,مظاهرة,related,word,word,0.539848850795167
القاعدة,بروتوكول,related,word,word,0.367658747132354
ببطء,بسرعة,related,word,word,0.451050679387973
بطيء,سريع,related,word,word,0.572784338639074
ببساطة,سهل,related,word,word,0.259087572205725
ثقيل,بقوة,related,word,word,0.205909192123374
فجأة,بشكل غير متوقع,related,word,word,
ثوم,بصلة,related,word,word,0.244563253216742
الحمض النووي,بصمة,related,word,word,
وزة,بطة,related,word,word,0.476532215685788
منافسة,بطولة,related,word,word,0.422694113321584
قرب,بعيد,related,word,word,0.344072648737064
قطعا,بقوة,related,word,word,0.107680625795338
إسمنت,بلاستيك,related,word,word,0.382847537839372
برج,بناء,related,word,word,0.196948303186767
بندقية,مسدس,related,word,word,0.69960277617126
منفذ,بوابة,related,word,word,0.297408589839222
واشنطن,بوسطن,related,word,word,0.547132967523352
وضح,بوضوح,related,word,word,0.36745679982577
تعليق,بيان,related,word,word,0.311080106960438
شراب,بيرة,related,word,word,0.618965602800908
عش,بيضة,related,word,word,0.28156313540377
كيميائي,بيولوجي,related,word,word,0.520743052153848
يصل,يأتي,related,word,word,0.485454140462347
نفوذ,تأثير,related,word,word,0.459852709425549
يستقطب,تأجير,related,word,word,0.172261428797349
يطعم,تأكل,related,word,word,0.421136553027623
التأكيد,يؤكد,related,word,word,0.429913603406764
تجاري,تاجر,related,word,word,0.30805924668181
بحث,يجد,related,word,word,0.320139791221509
يقف,يجلس,related,word,word,0.573604383648389
إنصهار,تجميد,related,word,word,0.263084472400083
معدات,يجهز,related,word,word,0.224758435274563
عقبة,تحد,related,word,word,0.327342279704141
كلام,تحدث,related,word,word,0.265890806179301
طازج,تحديث,related,word,word,0.219327009218843
يختار,تحديد,related,word,word,0.285746111065038
تغيير,تحسين,related,word,word,0.370393693614406
يتأكد,يتحقق,related,word,word,0.414192641922044
يهنىء,يحيي,related,word,word,0.269535360194394
تجسس,تخريب,related,word,word,0.335012967211241
تجهيز,تخطيط,related,word,word,0.350448963751519
مزاد علني,تخفيض السعر,related,word,word,
يغادر,يتخلى,related,word,word,0.318739453493604
النزهة,تخييم,related,word,word,0.252626439734649
اليوغا,تدليك,related,word,word,0.37231777704221
خلق,تدمير,related,word,word,0.334483356298661
ننسى,يتذكر,related,word,word,0.368960890349379
رماد,غبار,related,word,word,0.486120189330322
أمر,ترتيب,related,word,word,0.205988244164694
التركيز,تركيز,related,word,word,0.709499017890738
يمكن,يزود,related,word,word,0.210042359428938
سجل,تسجيل,related,word,word,0.572346240616948
كبير,ضخم,related,word,word,0.710541018403911
إعلان,تسويق,related,word,word,0.338750140912174
غالبية,تصويت,related,word,word,0.288670189574089
مسابقة,مباراة,related,word,word,0.465871255807799
تقدم,تطوير,related,word,word,0.258511867291112
يبقى,تظل,related,word,word,0.496223838999965
الصبر,تعاطف,related,word,word,0.261868827651354
عذاب,تعذيب,related,word,word,0.422328211976727
مفهوم,تعريف,related,word,word,0.311645024216666
يحفز,يفعل,related,word,word,0.268585459589284
تدرك,تفهم,related,word,word,0.672635167928263
فحص,تقتيش,related,word,word,0.275602227165029
شجاعة,تقرير,related,word,word,0.0617311948861393
طريقة,أسلوب,related,word,word,0.430096758625036
الملاحظة,تقييم,related,word,word,0.272496657947103
نصب,تمثال,related,word,word,0.273965458429912
ماليا,تمويل,related,word,word,0.364760189518521
قيلولة,يتنزه,related,word,word,0.290734873079039
جولف,تنس,related,word,word,0.302313507181501
يرتب,تنظم,related,word,word,0.359847170218675
صمام,تهوية,related,word,word,0.408635730598445
مجتمع,جماعة,related,word,word,0.333900848728587
انتظر,يتوقع,related,word,word,0.242361340751351
كنز,ثروة,related,word,word,0.340569074016236
فقير,ثري,related,word,word,0.44685613832216
دودة,ثعبان,related,word,word,0.345930010146437
واحد,ثلاثة,related,word,word,0.472684942413899
مزدوج,ثلاثي,related,word,word,0.544070556929922
مطر,ثلج,related,word,word,0.473770974401862
نوبل,جائزة,related,word,word,0.383179881137532
علاوة,جائزة,related,word,word,0.305958773538464
قراءة,كتابة,related,word,word,0.633951899921864
كون,مجرة,related,word,word,0.280516845959374
كلية,جامعة,related,word,word,0.631152506175832
تل,جبل,related,word,word,0.422212265384848
خبز,جبنه,related,word,word,0.5113580356755
جسم,جثة,related,word,word,0.411878385340489
الى ابعد حد,جدا,related,word,word,
جد,جدة,related,word,word,0.279882858948511
مريح,ممتع,related,word,word,0.490207508879952
حلو,لطيف,related,word,word,0.431712672355686
اهتمام,جذب,related,word,word,0.337859797011794
مقال,جريدة,related,word,word,0.536210166165833
خطيئة,جريمة,related,word,word,0.575222459593102
عامل,عنصر,related,word,word,0.331875671398884
شيء,جُسيم,related,word,word,
سحر,جمال,related,word,word,0.337874939425993
عظم,جمجمة,related,word,word,0.456076071892501
كلمة,جملة,related,word,word,0.594357448742481
حشد,جمهور,related,word,word,0.412173847274651
جميلة,جميل,related,word,word,0.506781532026053
رائع,خيالي,related,word,word,0.378586902392739
رقاقة,جهاز,related,word,word,0.342448540318107
تذكرة,جواز سفر,related,word,word,
كمية,جودة,related,word,word,0.361163795507623
متعَب,جائع,related,word,word,
روميو,جوليت,related,word,word,0.502925623693713
الماس,جوهرة,related,word,word,0.397775646283212
الفيلق,جيش,related,word,word,0.440241796624007
حادثة,حدث,related,word,word,0.386799894819264
أوركسترا,فرقة,related,word,word,0.522606585126293
الفيدرالية,حالة,related,word,word,0.0970425165727569
عاجل,حالة طوارئ,related,word,word,
سلسلة,حبل,related,word,word,0.221714936610966
كبسولة,قرص دواء,related,word,word,
ظاهرة,حدث,related,word,word,0.170164338140708
حذاء طويل,حذاء,related,word,word,
يعُدّ,يحسب,related,word,word,
دقيق,حساس,related,word,word,0.41070743395148
صخر,حصاة,related,word,word,0.320770852835637
حمار,حصان,related,word,word,0.505233800266907
نتيجة,حصيلة,related,word,word,0.337919870310332
قبلة,يحضن,related,word,word,0.255092556055948
إنقاذ,حفظ,related,word,word,0.393911987119574
استقبال,حفل,related,word,word,0.360916278023819
جولة,حفلة موسيقية,related,word,word,
فعلا,حقا,related,word,word,0.843698017140799
إبرة,حقنة,related,word,word,0.533592796747223
جرعة,حقنة,related,word,word,0.56808540484822
حقيبة,حقيبة سفر,related,word,word,
صحيح,حقيقي,related,word,word,0.363724160589718
متفائل,واقعي,related,word,word,0.263761612738927
الادارة,حكومة,related,word,word,0.376780992318436
قَسَم,حلف,related,word,word,
مسلسل,حلقة,related,word,word,0.545206424700033
كابوس,حلم,related,word,word,0.592465144359804
سعال,حمة,related,word,word,0.404762728884916
ولادة,حمل,related,word,word,0.254113760571082
شخصي,حميم,related,word,word,0.446501157244571
خارج,حول,related,word,word,0.244884274621839
مستدير,حول,related,word,word,0.220083894172816
وحش,حيوان,related,word,word,0.478205773748871
الجاسوس,خائن,related,word,word,0.379730648792614
عبد,خادم,related,word,word,0.338724978515252
مربية,خادمة,related,word,word,0.50349860492006
داخلي,خارجي,related,word,word,0.439746616677209
مزورة,خاطئة,related,word,word,0.301748432339838
ثانوي,أساسي,related,word,word,0.433606618281376
شفة,خدّ,related,word,word,
مضخة,خرطوم,related,word,word,0.469356238106759
بوصلة,خريطة,related,word,word,0.471770454814993
خزانة,دولاب,related,word,word,0.503220272920677
ضلال,خطأ,related,word,word,0.2373024835029
خطاب,خطبة,related,word,word,0.508579601976163
مخاطرة,خطر,related,word,word,0.480810262468868
محفوف بالمخاطر,خطير,related,word,word,
يزيد,يقلل,related,word,word,0.542636670193446
ظلام,ضوء,related,word,word,0.41141249056799
نزاع,خلاف,related,word,word,0.429427199768097
مزيج,خليط,related,word,word,0.627141106760152
خارق للعادة,خوارق,related,word,word,
واقع,خيال,related,word,word,0.340264611783342
مفاجئة,خيبة الامل,related,word,word,
ظل,داكن,related,word,word,0.162075902838642
ابحاث,دراسة,related,word,word,0.457299085422728
حرارة,درجة الحرارة,related,word,word,
درقة,درع,related,word,word,
قانون,دستور,related,word,word,0.594978051851181
يحفر,يدفن,related,word,word,0.466740956603548
عميد,دكتور جامعى,related,word,word,
دليل,إثبات,related,word,word,0.477945075716805
مخ,دماغي,related,word,word,0.507550495345592
فنان,رسام,related,word,word,0.614107143538402
دش,دوره المياه,related,word,word,
حارس,دورية,related,word,word,0.325662767103862
جنيه,دولار,related,word,word,0.622722057462302
دار الأيتام,دير,related,word,word,
معبد,دير,related,word,word,0.421795883820054
نوفمبر,ديسمبر,related,word,word,0.666877003921486
دجاج,ديك رومى,related,word,word,
الحريه,ديمقراطية,related,word,word,0.260767236240698
فلسفة,دين,related,word,word,0.237807653459998
البارود,ديناميت,related,word,word,0.356530290779895
بينج,دينغ,related,word,word,0.358571068385884
دب,ذئب,related,word,word,0.54031249039643
يد,ذراع,related,word,word,0.466817773781941
أخير,أقصى,related,word,word,0.193620101114946
الدافع,ذريعة,related,word,word,0.312733199789515
فطن,ذكي,related,word,word,0.432506587830714
استحق,ذو قيمة,related,word,word,
وحي,رؤية,related,word,word,0.0918343691076867
مدير,رئيس,related,word,word,0.609786260662407
مستشار,رئيس,related,word,word,0.417338786529937
المذاق,رائحة,related,word,word,0.399121966444637
ممتاز,رائع,related,word,word,0.714599035228225
مبهر,رائع,related,word,word,0.553577908123334
الثالث,رابعا,related,word,word,0.388060233483308
راتب تقاعد,راتب,related,word,word,
ينظر,يراقب,related,word,word,0.401431475835105
يقيد,يربط,related,word,word,0.387627963651983
نصف,ربع,related,word,word,0.568534803647896
هبوط,إقلاع,related,word,word,0.3988010734424
مغفرة,رحمة,related,word,word,0.480924744432041
غالي الثمن,رخيص,related,word,word,
برقية,رسالة,related,word,word,0.576773450227062
تحذير,رسالة,related,word,word,0.298293336494577
قطرة,رشفة,related,word,word,0.537679281649843
عيار,رصاصة,related,word,word,0.530646040027588
مسابقة رعاة البقر,رعاة البقر,related,word,word,
برق,رعد,related,word,word,0.428060698749262
يرغب,يتمنى,related,word,word,0.468058868774182
حلق,رقبة,related,word,word,0.324302090141472
راقص,رقص,related,word,word,0.546349151286018
كتف,ركبة,related,word,word,0.403001801971953
عَلَم,رمز,related,word,word,
طين,رمل,related,word,word,0.479174747544985
سيء,فظيع,related,word,word,0.600939311624789
يسرق,ينهب,related,word,word,0.60456152577041
روح,شبح,related,word,word,0.38991111922545
قيصر,روما,related,word,word,0.489310713701716
درامي,رومانسي,related,word,word,0.464417953052948
مليونير,ريادي,related,word,word,0.234953735801935
هواية,رياضة,related,word,word,0.462286860218128
مرساة,شراع,related,word,word,0.486502813391633
عسل,زبدة,related,word,word,0.305170302668974
مراجع ,عميل ,related,word,word,
كوب,زجاجة,related,word,word,0.445994621731678
عضو,زعيم,related,word,word,0.455068842116574
خطوبة,زفاف,related,word,word,0.554443098974581
ركن,زقاق,related,word,word,0.312982190440069
نبتة,زهرة,related,word,word,0.540597167080315
طلاق,زواج,related,word,word,0.533026898423447
زوج,زوجة,related,word,word,0.487938110113359
شارة,زى موحد,related,word,word,
راكب,سائق,related,word,word,0.444199761429301
الساحة,ساحة المعركة,related,word,word,
سحر,ساحر,related,word,word,0.523093012191773
جذاب,فاتن,related,word,word,0.608197225080199
لعنة,ساحرة,related,word,word,0.421253246724622
شاطئ بحر,ساحل,related,word,word,
مفارقة,ساخر,related,word,word,0.271055172839206
ساذج,ساخرة,related,word,word,0.228233329403649
أرضية,سجادة,related,word,word,0.464220720272646
ضفدع,سحلية,related,word,word,0.438220377600215
سخيف,غير معقول,related,word,word,
ورم,سرطان,related,word,word,0.55996415669228
تونة,سرطان البحر,related,word,word,
مسافه: بعد,سرعة,related,word,word,
سرقة,سلب,related,word,word,0.439009196566943
كنبة,سرير,related,word,word,0.453272383170748
البحرية,أسطول,related,word,word,0.402858889564671
لاجئ,هارب,related,word,word,0.350913812630391
طبقة,سطح - المظهر الخارجي,related,word,word,
راضي,سعيدة,related,word,word,0.442195820786355
طاقم,سفينة,related,word,word,0.405445673777264
رصين,سكران,related,word,word,0.29889309590868
سيف,سكين,related,word,word,0.565757616932123
مسدس,سلاح,related,word,word,0.766243798684133
سلاح الفرسان,سلاح المدفعية,related,word,word,
الأمان,سلامة,related,word,word,0.483951849670403
حلزون,سلحفاة,related,word,word,0.404871335777976
حساء,سلطة,related,word,word,0.316608246014798
حياة مهنية,سمعة,related,word,word,
سمك القرش,سمك,related,word,word,
نحيف,سميك,related,word,word,0.445114716252233
ظفر,ضرس,related,word,word,0.424279513029144
ميل,سنتيمتر,related,word,word,0.39760226223383
غير ممكن,سهل,related,word,word,
حائط,سور,related,word,word,0.521029415895266
جيد,سيئة,related,word,word,0.360150899238253
مقطورة,شاحنة صغيرة,related,word,word,
الصحافة,السياسة,related,word,word,0.436008383165947
ناقد,سياسي,related,word,word,0.363791062943636
سياسات,سياسي,related,word,word,0.47630952428639
دخان,سيجارة,related,word,word,0.375686410804122
تبغ,سيجارة,related,word,word,0.439203823957454
مالك,سيدة,related,word,word,0.190652740740973
يركض,يمشي,related,word,word,0.62734327501953
حديقة حيوان,سيرك,related,word,word,
حاكم,سيناتور,related,word,word,0.371307040442974
جيب,شاحنة,related,word,word,0.253075496556158
طريق,شارع,related,word,word,0.361306268118219
عصا,مطرقة,related,word,word,0.464996046436542
خمر,شامبانيا,related,word,word,0.541775670203277
صيف,شتاء,related,word,word,0.591728437308044
نبيل,شجاع,related,word,word,0.474550152209864
شجيرة,شجرة,related,word,word,0.526124479799748
بقرة,خنزير,related,word,word,0.478972772776475
امتياز,شرف,related,word,word,0.489351350833342
غرب,شرق,related,word,word,0.647830483548046
نادي,حانة,related,word,word,0.4656078748644
انطباع,شعور,related,word,word,0.398595491418782
حماس,شغف,related,word,word,0.418401491673278
تعافي,شفاء - يشفى,related,word,word,
بيت,شقة,related,word,word,0.431558780296221
أخت,شقيق,related,word,word,0.563246558631671
شاكر,شكر,related,word,word,0.454966495179359
جنوب,شمال,related,word,word,0.676167321523759
القمري,شمسي,related,word,word,0.390232897434128
مصباح,شمعة,related,word,word,0.412651530508823
الشاهد,شهادة,related,word,word,0.360201855507359
ملعقة,شوكة,related,word,word,0.470475498166255
السكر,شوكولاتة,related,word,word,0.358715382551515
لا شيئ,شيئا ما,related,word,word,
ملاك,شيطان,related,word,word,0.433868329641558
ممتلكات,مالك,related,word,word,0.306491472728669
خلوق,صادق,related,word,word,0.307972682567481
قذيفة,صاروخ,related,word,word,0.511487278423673
بوق,صافرة,related,word,word,0.429877626545541
غدا,صباح,related,word,word,0.349729977827852
فتاة,صبي,related,word,word,0.457394699355737
زر,يضغط,related,word,word,0.387875510612749
مراسل,صحافي,related,word,word,0.559215637319119
علاقة,صداقة,related,word,word,0.512167178777283
معدة,صدر,related,word,word,0.308995433663478
زميل,صديق,related,word,word,0.551069826955557
قليل,صغير,related,word,word,0.314363811993097
كبير,صغير,related,word,word,0.604589908864072
ظرف,شحنة,related,word,word,0.150483095330173
الخرسانة,صلب,related,word,word,0.356458859631119
كريمة,صلصة,related,word,word,0.396113743751858
رسمة,صورة,related,word,word,0.582302374007612
خاطئ,صحيح,related,word,word,0.283841968651527
الصيد,صيد السمك,related,word,word,
سحاب,ضباب,related,word,word,0.386149007423526
قوي,ضعيف,related,word,word,0.495876238972872
قوة,طاقة,related,word,word,0.521676781961045
طاه,شيف,related,word,word,0.430756063906244
دكتور جراح,طبيب,related,word,word,
قمح,طحين,related,word,word,0.452085354734862
طريق,ممر,related,word,word,0.455513996732338
فخ,طُعم,related,word,word,
تطور,طفره,related,word,word,0.355730671233659
رضيع,طفل,related,word,word,0.602131678860358
مطالبة,طلب,related,word,word,0.330959839214326
بطاطة,طماطم,related,word,word,0.448714640187994
تطوع,طوعا، بمحض ارادتك,related,word,word,
قصيرة,طويل,related,word,word,0.44635575623949
رائد فضاء,طيار,related,word,word,
غرفة المركب,سطح المركب,related,word,word,
ضعيف,عاجز,related,word,word,0.37389003101167
صحي,عادي,related,word,word,0.413681955123489
عار,عاري,related,word,word,0.436095111289148
ريح,عاصفه,related,word,word,0.380784845941816
عقلي,عاطفي,related,word,word,0.288999298535724
العبقري,عالم,related,word,word,0.20773401161907
وطني,عالمي,related,word,word,0.368078028490304
مزارع,عامل,related,word,word,0.283018066410825
انتقام,عدالة,related,word,word,0.374051585761954
البارون,كونتيسة,related,word,word,0.342523379674513
فايروس,عدوى,related,word,word,0.469673963310735
عديم الفائدة,عديم القيمة,related,word,word,
يغفر,يعذر,related,word,word,0.408382857784201
تاج,عرش,related,word,word,0.445591528768355
تعرف,عرف,related,word,word,0.499392893276875
زوج,عروس,related,word,word,0.294002477016807
عروسة,لعبة,related,word,word,0.174928564706835
