"da_target","da_cue","type","target_type","cue_type","da_cosine"
"ærlig","anstændig","related","word","word",0.448170251034228
"pligt","ansvar","related","word","word",0.422628455722041
"kvalitet","antal","related","word","word",0.199604503299585
"zone","areal","related","word","word",0.295471109061037
"slagmark","arena","related","word","word",0.291771258518266
"årti","århundrede","related","word","word",0.507565897471062
"organisere","arrange","related","word","word",NA
"armory","arsenal","related","word","word",0.217055933242069
"medaljong","artifact","related","word","word",NA
"avis","artikel","related","word","word",0.491116581098169
"støv","aske","related","word","word",0.502883557598327
"morfin","aspirin","related","word","word",0.437934308744918
"butt","ass","related","word","word",0.301772138738373
"pilot","astronaut","related","word","word",0.449866329977349
"ydeevne","at vise","related","word","word",NA
"atomisk","atomar","related","word","word",0.587848601727703
"salg","auktion","related","word","word",0.497601997710559
"fotograf","autograf","related","word","word",0.476930521945046
"gade","avenue","related","word","word",0.363943236091687
"barn","baby","related","word","word",0.528361621253178
"uniform","badge","related","word","word",0.253025048755859
"bjerg","bakke","related","word","word",0.404899423948901
"harmoni","balance","related","word","word",0.330520660001386
"jordbær","banan","related","word","word",0.423732076399543
"gruppe","bande","related","word","word",0.427985994840481
"finansiel","banking","related","word","word",0.313037294526651
"investor","bankmand","related","word","word",0.365696955292442
"grevinde","baron","related","word","word",0.337829064649716
"fodbold","basketball","related","word","word",0.628588943396027
"bedstemor","bedstefar","related","word","word",0.597710827468821
"mennesker","befolkning","related","word","word",0.330927836229178
"procedure","behandle","related","word","word",0.237225999583238
"kæmpe","bekæmpe","related","word","word",0.413765093655921
"bekræfte","bekræftelse","related","word","word",0.693278677869301
"nervøs","bekymret","related","word","word",0.549878017463663
"bekymre","bekymring","related","word","word",0.407150270724557
"last","belastning","related","word","word",0.341869093400789
"stjerne","berømthed","related","word","word",0.36503925442801
"express","beskrive","related","word","word",0.0742880010964576
"forsvare","beskytte","related","word","word",0.635564003142421
"afpresse","bestikke","related","word","word",0.440637479002066
"stål","beton","related","word","word",0.533456186911772
"betydning","betyder","related","word","word",0.464619550229848
"sætter pris på","beundre","related","word","word",NA
"overførsel","bevæge sig","related","word","word",NA
"opretholde","bevare","related","word","word",0.543396911153711
"bevis","beviser","related","word","word",0.719621964911431
"myre","bi","related","word","word",0.366004349552196
"bestil","bibel","related","word","word",0.118202609520722
"museum","bibliotek","related","word","word",0.427252337478321
"foto","billede","related","word","word",0.728631585283083
"pas","billet","related","word","word",0.116255684207796
"binde","binde","related","word","word",1
"teater","biograf","related","word","word",0.360009175170062
"kardinal","biskop","related","word","word",0.437480576388795
"ulv","bjørn","related","word","word",0.492667836403075
"døv","blind","related","word","word",0.585576008786989
"forblive","bliv","related","word","word",0.271618364465096
"urin","blod","related","word","word",0.462620859576234
"blid","blød","related","word","word",0.38495966722121
"praktisk talt","bogstaveligt talt","related","word","word",NA
"taske","boks","related","word","word",0.377413892439498
"eksplosiv","bombe","related","word","word",0.439050411483601
"belønning","bonus","related","word","word",0.450813528410063
"stol","bord","related","word","word",0.307211296850013
"alfa","bravo","related","word","word",0.416603389408947
"kasket","briller","related","word","word",0.430006717301601
"tunnel","bro","related","word","word",0.351457105785681
"ost","brød","related","word","word",0.354222492576805
"brud","brudgom","related","word","word",0.522472860521216
"blå","brun","related","word","word",0.446983327842118
"badeværelse","bruser","related","word","word",0.441916959037355
"grusom","brutal","related","word","word",0.486959226262066
"funding","budget","related","word","word",NA
"havn","bugt","related","word","word",0.369224533949821
"eksplodere","burst","related","word","word",0.189094378046392
"træ","busk","related","word","word",0.379235978308452
"butik","butik","related","word","word",1
"predator","bytte","related","word","word",0.188691589316276
"rom","caesar","related","word","word",0.298900146157891
"kugle","caliber","related","word","word",NA
"fængsel","celle","related","word","word",0.446946825466722
"plast","cement","related","word","word",0.345928053688097
"fighter","champion","related","word","word",0.366678077259761
"mulighed","chance","related","word","word",0.704996453196276
"skønhed","charme","related","word","word",0.423415799347635
"enhed","chip","related","word","word",0.315702304778223
"trekant","cirkel","related","word","word",0.402186422172908
"militær","civil","related","word","word",0.434914003563347
"distrikt","county","related","word","word",0.217674576242338
"publikum","crowd","related","word","word",0.205323606563868
"mum","daddy","related","word","word",0.254019207717434
"skjule","dække over","related","word","word",NA
"ugentlig","daglige","related","word","word",0.409690177109823
"dans","danser","related","word","word",0.5973074943943
"information","data","related","word","word",0.546389123788353
"søn","datter","related","word","word",0.691438734160006
"professor","dekan","related","word","word",0.428805509146805
"følsom","delikat","related","word","word",0.342352487894247
"kage","dessert","related","word","word",0.518737998302078
"timer","detonator","related","word","word",0.0998376642013649
"juvel","diamant","related","word","word",0.488687929531142
"kvalme","diarré","related","word","word",0.505865806891686
"forfatter","digter","related","word","word",0.529278717135856
"grim","digusting","related","word","word",NA
"direkte","direkte","related","word","word",1
"overleve","direkte","related","word","word",0.0925866789378059
"fingeraftryk","dna","related","word","word",0.536543027072635
"triple","dobbelt","related","word","word",0.478660307594884
"forsvinden","død","related","word","word",0.338002077147642
"fatal","dødelig","related","word","word",0.327553126778785
"indsprøjtning","dosis","related","word","word",0.484561820846895
"nippe til","dråbe","related","word","word",NA
"komedie","drama","related","word","word",0.422704648086904
"romantisk","dramatisk","related","word","word",0.44751087349799
"piger","drenge","related","word","word",0.727521348171728
"øl","drikke","related","word","word",0.521774816089114
"konge","dronning","related","word","word",0.637602601191033
"svømme","drukne","related","word","word",0.48120042261149
"legetøj","dukke","related","word","word",0.31002914465537
"video","dvd","related","word","word",0.439309303521463
"imperium","dynasty","related","word","word",0.194579347134477
"dyr","dyr","related","word","word",1
"billig","dyrt","related","word","word",0.318593281281236
"insekt","edderkop","related","word","word",0.498392455970842
"falde sammen","efterår","related","word","word",NA
"anmodning","efterspørgsel","related","word","word",0.267071183716623
"vaskebjørn","egern","related","word","word",0.450479290575663
"ejer","ejendom","related","word","word",0.255695944289906
"bestå","eksamensbevis","related","word","word",0.303856394642351
"prøve","eksperiment","related","word","word",0.254342730019229
"specialist","ekspert","related","word","word",0.47678175717877
"ekstra","ekstra","related","word","word",1
"meget","ekstremt","related","word","word",0.451780876729578
"patetisk","elendig","related","word","word",0.31349593029299
"fjerne","eliminer","related","word","word",0.306696938847545
"tre","en","related","word","word",0.239424314681348
"afslut","ende","related","word","word",0.284355353782918
"til sidst","endelig","related","word","word",NA
"bemærkelsesværdig","enestående","related","word","word",0.553706193256858
"bryllup","engagement","related","word","word",0.192516562634312
"djævel","engel","related","word","word",0.471600478066483
"fransk","engelsk","related","word","word",0.638639186982126
"division","enhed","related","word","word",0.416445897157022
"kvinde","enke","related","word","word",0.300452772144955
"gift","enkelt","related","word","word",0.13129983731919
"lidenskab","entusiasme","related","word","word",0.453278302173958
"viden","erfaring","related","word","word",0.475925245741907
"erstatning","erstatte","related","word","word",0.476638941224653
"ledsage","eskortere","related","word","word",0.465638324017596
"tæppe","etage","related","word","word",0.148801215098575
"for evigt","evig","related","word","word",NA
"store","excellent","related","word","word",0.0849086976347737
"produktion","fabrik","related","word","word",0.237777581984739
"lokkemad","fælde","related","word","word",0.51082153386267
"begivenhed","fænomenet","related","word","word",0.369539562368483
"element","faktor","related","word","word",0.240823956607512
"falsk","falsk","related","word","word",1
"kreativitet","fantasi","related","word","word",0.397439169663169
"periode","fase","related","word","word",0.376408092929269
"stærkt","fast","related","word","word",0.11585638309582
"elendighed","fattigdom","related","word","word",0.499974933081619
"rig","fattige","related","word","word",0.353985636070715
"fejl","fejl","related","word","word",1
"dokument","fil","related","word","word",0.424357433640758
"religion","filosofi","related","word","word",0.479340712958058
"ultimate","final","related","word","word",0.219206462538661
"investere","finansiere","related","word","word",0.412422208655486
"tommelfinger","finger","related","word","word",0.666719401477972
"bureau","firma","related","word","word",0.455321079874317
"modstander","fjende","related","word","word",0.501663428715861
"flåde","flåde-","related","word","word",NA
"symbol","flag","related","word","word",0.306496906330685
"stemme","flertal","related","word","word",0.333055657559878
"sø","flod","related","word","word",0.513570871361053
"sovs","fløde","related","word","word",0.438536592887911
"flugt","flygte","related","word","word",0.555957328902142
"flygtning","flygtning","related","word","word",1
"spise","foder","related","word","word",0.39912384878889
"stat","føderale","related","word","word",0.361860557876264
"graviditet","fødsel","related","word","word",0.492882089912341
"koncentrere","fokus","related","word","word",0.369136977537331
"jage","følge efter","related","word","word",NA
"bag-","foran","related","word","word",NA
"efterår","forår","related","word","word",0.61264883545892
"heks","forbande","related","word","word",0.332830268102023
"planlægning","forberedelse","related","word","word",0.58069134309803
"forbyde","forbudt","related","word","word",0.494288534164032
"ske","forekomme","related","word","word",0.319574397704358
"bar","forening","related","word","word",0.168315472797203
"antyder","foreslå","related","word","word",0.25247713082272
"forfærdelig","forfærdeligt","related","word","word",0.798762206199494
"skuespiller","forfatter","related","word","word",0.574097080255451
"hold op","forhindre","related","word","word",NA
"venskab","forhold","related","word","word",0.456514346665275
"korrekt","forkert","related","word","word",0.480733274098633
"plausible","forklaring","related","word","word",0.204566713477278
"opgive","forlade","related","word","word",0.50853873839192
"skilt","form","related","word","word",0.0643723923957807
"hensigt","formål","related","word","word",0.399092827694272
"fornærme","fornærme","related","word","word",1
"glæde","fornøjelse","related","word","word",0.478770136115228
"undersøgelse","forskning","related","word","word",0.510954795555055
"sidst","først","related","word","word",0.29587578141079
"værdig","fortjener","related","word","word",0.398017037794972
"blive ved","fortsæt","related","word","word",NA
"stråling","forurening","related","word","word",0.420666185528659
"stykke","fragment","related","word","word",0.426425096538222
"signal","frekvens","related","word","word",0.483634510497094
"udvikling","fremskridt","related","word","word",0.475401734964428
"forbi","fremtid","related","word","word",0.0886408014924442
"demokrati","frihed","related","word","word",0.44312365280877
"underskrift","frimærke","related","word","word",0.29392135265668
"opdater","frisk","related","word","word",0.144281506684982
"ledig","frit","related","word","word",0.178753023752508
"frivilligt","frivillig","related","word","word",0.837644109284595
"firben","frø","related","word","word",0.297727358597733
"brormand","fyr","related","word","word",0.3308700422647
"matematik","fysik","related","word","word",0.562412678995048
"gå","gå ind","related","word","word",NA
"taknemmelighed","gæstfrihed","related","word","word",0.49220560746787
"udstilling","galleri","related","word","word",0.414335790110459
"dumhed","galskab","related","word","word",0.42603572994269
"poker","gambling","related","word","word",0.420417035921684
"ung","gammel","related","word","word",0.403812583543245
"enkel","ganske enkelt","related","word","word",NA
"løfte","garanti","related","word","word",0.248338797161859
"brændstof","gas","related","word","word",0.386868351734313
"and","gås","related","word","word",0.227969972158602
"hele","gendanne","related","word","word",0.206607313452194
"reaktor","generator","related","word","word",0.474301309433681
"oberst","generel","related","word","word",0.196703325949218
"videnskabsmand","geni","related","word","word",0.412267190926443
"vidste","genkende","related","word","word",0.246960157017898
"vinde","gevinst","related","word","word",0.26623491085741
"fange","gidsel","related","word","word",0.404975431205328
"dræbe","gift","related","word","word",0.249331572675157
"lade","give lov til","related","word","word",NA
"flaske","glas","related","word","word",0.524139116643573
"husk","glemme","related","word","word",0.291663660856665
"ære","glorious","related","word","word",NA
"dårligt","godt","related","word","word",0.590764361350561
"tennis","golf","related","word","word",0.501202111905849
"kirkegård","grav","related","word","word",0.444941510534164
"begrave","grave","related","word","word",0.591360580587622
"beskidte","grim","related","word","word",0.235905302834966
"orange","grøn","related","word","word",0.519712257301622
"årsag","grund","related","word","word",0.595383556089858
"hovedkvarter","grundlag","related","word","word",0.199940985480535
"guddommelig","gud","related","word","word",0.444658058309674
"dynamite","gunpowder","related","word","word",NA
"senator","guvernør","related","word","word",0.443592782089397
"sølv","gylden","related","word","word",0.318541013399049
"tro","håber","related","word","word",0.275257864492616
"kærlighed","had","related","word","word",0.485814250390353
"udførelse","hængende","related","word","word",-0.011741637717201
"retfærdighed","hævn","related","word","word",0.473920926559964
"fisk","haj","related","word","word",0.431331961448126
"nakke","hals","related","word","word",0.49445434723723
"kvarter","halvt","related","word","word",0.16073323122548
"kvinde","han-","related","word","word",NA
"arm","hånd","related","word","word",0.546423295571772
"handling","håndbevægelse","related","word","word",0.286715666729677
"skæg","hår","related","word","word",0.53080340899304
"svært","hård","related","word","word",0.29949285909653
"ocean","hav","related","word","word",0.202855211216216
"kold","hed","related","word","word",0.123339010734806
"farvel","hej","related","word","word",0.46502101649147
"frelseren","helt","related","word","word",0.131222127303072
"mysterium","hemmelighed","related","word","word",0.37172897610061
"der","her","related","word","word",0.522430103608927
"arve","heritage","related","word","word",0.236274488248083
"dame","herre","related","word","word",0.366320436636141
"protokol","herske","related","word","word",0.108285952917812
"himmelske","himmel","related","word","word",0.6595715067975
"udfordring","hindring","related","word","word",0.367689259509225
"strejke","hit","related","word","word",0.160539979239732
"hjælpe","hjælp","related","word","word",0.528762873653261
"magtesløs","hjælpeløs","related","word","word",0.564918327634163
"hat","hjelm","related","word","word",0.384861829282075
"cerebral","hjerne","related","word","word",0.382928196841843
"gyde","hjørne","related","word","word",0.337487950885707
"sport","hobby","related","word","word",0.33002135015585
"venlige","høflig","related","word","word",0.388037780638043
"venstre","højre","related","word","word",0.898861659097345
"holde","holde","related","word","word",1
"smør","honning","related","word","word",0.462453818670672
"høre","hør efter","related","word","word",NA
"forsøg","høring","related","word","word",0.162446767764586
"adrenalin","hormon","related","word","word",0.486377015011334
"fløjte","horn","related","word","word",0.246130501210668
"klinik","hospital","related","word","word",0.534555025216186
"feber","hoste","related","word","word",0.434402426463207
"motel","hotel","related","word","word",0.690594839853032
"væv","hud","related","word","word",0.405152646597694
"kat","hund","related","word","word",0.682041190436382
"lejlighed","hus","related","word","word",0.527491893675291
"at","hvad","related","word","word",0.365878127444717
"sort","hvid","related","word","word",0.674914438747884
"løg","hvidløg","related","word","word",0.638018965023269
"søvn","hvile","related","word","word",0.458099836565924
"i går","i dag","related","word","word",NA
"fætter","i forhold","related","word","word",NA
"død","i live","related","word","word",NA
"morgen","i morgen","related","word","word",NA
"teori","ide","related","word","word",0.432640164849858
"perfekt","ideal","related","word","word",0.22770374258725
"noget","ikke noget","related","word","word",NA
"flamme","ild","related","word","word",0.505894810994263
"hallucination","illusion","related","word","word",0.404028889127213
"fantastiske","imponerende","related","word","word",0.416738174424774
"indhold","indeholde","related","word","word",0.388633445920989
"effekt","indflydelse","related","word","word",0.353560682221695
"eksternt","indre","related","word","word",0.228299470559518
"indrømme","indrømme","related","word","word",1
"sætte","indsættes","related","word","word",0.304574010682343
"samle","indsamle","related","word","word",0.620036961125124
"følelse","indtryk","related","word","word",0.314123134115537
"forretning","industri","related","word","word",0.299187043656555
"sygdom","influenza","related","word","word",0.456192131459706
"arkitekt","ingeniør","related","word","word",0.468759639787877
"hr kommissær","inspektør","related","word","word",NA
"inspiration","inspirere","related","word","word",0.62338984635337
"intuition","instinkt","related","word","word",0.511505544969482
"verden","international","related","word","word",0.228819850930375
"web","internet","related","word","word",0.458415910651346
"angreb","invasion","related","word","word",0.424815726755864
"ironisk","ironi","related","word","word",0.665410095177746
"fiskeri","jagt","related","word","word",0.392708319908619
"vred","jaloux","related","word","word",0.554707290728377
"musik","jazz","related","word","word",0.549702523083373
"lastbil","jeep","related","word","word",0.444291276304626
"metal","jern","related","word","word",0.431607122552668
"arbejde","job","related","word","word",0.604558644866851
"flyve","jord","related","word","word",0.0593774768630935
"eksplosion","jordskælv","related","word","word",0.456816581868095
"politik","journalistik","related","word","word",0.384836926405793
"fødselsdag","jubilæum","related","word","word",0.523365783398983
"ferie","jul","related","word","word",0.447807738324363
"skov","jungle","related","word","word",0.468401814610227
"juli","juni","related","word","word",0.512372864265249
"myndighed","jurisdiktion","related","word","word",0.497353084143773
"anklager","jurist","related","word","word",0.382637912604259
"tråd","kabel","related","word","word",0.371534259147296
"dæk","kabine","related","word","word",0.281967936733285
"efternavn","kaldenavn","related","word","word",0.548917593628311
"tidsplan","kalender","related","word","word",0.40286124907807
"mikrofon","kamera","related","word","word",0.486929555629802
"valg","kampagne","related","word","word",0.265894274646484
"nyheder","kanal","related","word","word",0.274305313664737
"voter","kandidat","related","word","word",NA
"vanille","kanel","related","word","word",0.530827528809435
"formand","kansler","related","word","word",0.343696564485712
"forvirring","kaos","related","word","word",0.512418066212246
"evne","kapacitet","related","word","word",0.342504904135355
"city","kapital","related","word","word",0.156811819425281
"probe","kapsel","related","word","word",0.187790684658016
"personlighed","karakter","related","word","word",0.452927509931348
"festival","karneval","related","word","word",0.360595365212894
"omdømme","karriere","related","word","word",0.379985921694148
"tomat","kartoffel","related","word","word",0.466750619399546
"kristen","katolsk","related","word","word",0.431338003562012
"artilleri","kavaleri","related","word","word",0.518251433107547
"kejser","kejserlig","related","word","word",0.733167556135277
"biologi","kemi","related","word","word",0.545614298536166
"biologisk","kemisk","related","word","word",0.521451655357488
"mayonnaise","ketchup","related","word","word",0.511035690051619
"bortføre","kidnappe","related","word","word",0.602184544087673
"løsepenge","kidnapper","related","word","word",0.388909304071748
"informant","kilde","related","word","word",0.381576939165721
"gram","kilo","related","word","word",0.558339348297923
"måler","kilometer","related","word","word",0.240555332686021
"kapel","kirke","related","word","word",0.443476980777173
"læge","kirurg","related","word","word",0.519209842789416
"begravelse","kiste","related","word","word",0.440208849320473
"lommetørklæde","klæde","related","word","word",0.368503802559364
"anklage","klage","related","word","word",0.473751043860825
"familie","klan","related","word","word",0.419628010008729
"naturligvis","klart","related","word","word",0.172768181103962
"skole","klasse","related","word","word",0.506945444844147
"hoppe","klatre","related","word","word",0.45314387601916
"guitar","klaver","related","word","word",0.517145062395839
"sten-","klippe","related","word","word",NA
"trykke","knap","related","word","word",0.490035910154794
"kranium","knogle","related","word","word",0.432161107617428
"svin","ko","related","word","word",0.268135426937817
"sælge","købe","related","word","word",0.617965301117566
"adgangskode","kode","related","word","word",0.663751393642668
"heroin","kokain","related","word","word",0.696219262625402
"ven","kollega","related","word","word",0.586087014337171
"universitet","kollegium","related","word","word",0.489054338156192
"føderation","koloni","related","word","word",0.306496091028706
"blanding","kombination","related","word","word",0.469676436217637
"behagelig","komfortabel","related","word","word",0.522887693496966
"bestille","kommando","related","word","word",0.192825930767531
"kaptajn","kommandør","related","word","word",0.497688292312452
"udmelding","kommentar","related","word","word",0.432181926053059
"købmand","kommerciel","related","word","word",0.17563329987153
"kort","kompas","related","word","word",0.332435535186168
"gave","kompliment","related","word","word",0.373117172075571
"definition","koncept","related","word","word",0.331257708791977
"møde","konference","related","word","word",0.375884596701649
"bestride","konflikt","related","word","word",0.190517140777163
"antagelse","konklusion","related","word","word",0.412817317877833
"mesterskab","konkurrence","related","word","word",0.418720608657498
"liberal","konservativt","related","word","word",0.447798074811782
"build","konstruktion","related","word","word",0.259458267330374
"forbindelse","kontakt","related","word","word",0.492882972978057
"penge","kontanter","related","word","word",0.579800626568413
"aftale","kontrakt","related","word","word",0.541526202704082
"verificere","kontrollere","related","word","word",0.261749044393071
"kaffe","kop","related","word","word",0.530493308669788
"ride","køre","related","word","word",0.413903627111243
"bil","køretøj","related","word","word",0.537508446211525
"mel","korn","related","word","word",0.186964200016706
"lang","kort","related","word","word",0.310288586769977
"blåt mærke","kradse","related","word","word",NA
"lån","kredit","related","word","word",0.326056915872445
"kamp","krig","related","word","word",0.530576318321483
"politisk","kritisk","related","word","word",0.425948795754099
"trone","krone","related","word","word",0.531954300237703
"olie","kul","related","word","word",0.448539632895826
"hydrogen","kulstof","related","word","word",0.508048358407662
"civilisation","kultur","related","word","word",0.474484838924659
"litteratur","kunst","related","word","word",0.524240191685646
"maler","kunstner","related","word","word",0.4993476240628
"pakke","kuvert","related","word","word",0.259661076446384
"kalkun","kylling","related","word","word",0.552103144902818
"kram","kys","related","word","word",0.597000285771427
"kind","læbe","related","word","word",0.498636605709592
"parfume","læbestift","related","word","word",0.465449129262523
"reb","lænke","related","word","word",0.394880176004663
"underviser","lære","related","word","word",0.352632751301517
"skrive","læs","related","word","word",0.334513778591272
"skrivning","læsning","related","word","word",0.481283285300949
"overflade","lag","related","word","word",0.237491914398712
"lys","lampe","related","word","word",0.408404694594155
"nation","land","related","word","word",0.461084489901725
"flyvningen","landing","related","word","word",0.47277309444957
"arbejder","landmand","related","word","word",0.207827540018802
"hurtig","langsom","related","word","word",0.538818085424789
"hurtigt","langsomt","related","word","word",0.534117680042134
"spaghetti","lasagne","related","word","word",0.37856905519771
"lukket","låst","related","word","word",0.487962223432274
"absurd","latterlig","related","word","word",0.46163124731194
"høj","lav","related","word","word",0.186938994216136
"do","lave","related","word","word",0.188685717061531
"forbedring","lave om","related","word","word",NA
"kok","laver mad","related","word","word",NA
"hold","league","related","word","word",0.201638504603626
"administrative","ledelse","related","word","word",0.411474516832428
"lig","legeme","related","word","word",0.277424513958789
"army","legion","related","word","word",0.220321029027639
"leje","leje","related","word","word",1
"udlejer","lejer","related","word","word",0.642169958226074
"sjældent","lejlighedsvis","related","word","word",0.183540848990368
"landsby","lejr","related","word","word",0.496730930574561
"homoseksuel","lesbisk","related","word","word",0.485104125312895
"dø","lide","related","word","word",0.203543116389916
"smerte","lidelse","related","word","word",0.663833107940254
"for nylig","lige","related","word","word",NA
"løgner","ligge","related","word","word",0.120569811862526
"forskellige","lignende","related","word","word",0.348220832686952
"lille","lille","related","word","word",1
"soda","limonade","related","word","word",0.467414277965291
"gå","løb","related","word","word",0.32969617319118
"tegnebog","lomme","related","word","word",0.539961997343168
"søndag","lørdag","related","word","word",0.689841182775124
"forfatning","lov","related","word","word",0.300180727646152
"trofast","loyal","related","word","word",0.557888746102695
"ærlighed","loyalitet","related","word","word",0.59312444290104
"ilt","luft","related","word","word",0.551470458080249
"solar","lunar","related","word","word",0.30841212369907
"slentre","lur","related","word","word",0.160783928831885
"hilse","lykønske","related","word","word",0.427454350023671
"torden","lyn","related","word","word",0.551448124203431
"måltid","mad","related","word","word",0.43687080364404
"juice","mælk","related","word","word",0.413477388988206
"produkt","mærke","related","word","word",0.157450612199661
"kartel","mafia","related","word","word",0.399985127064617
"guiden","magi","related","word","word",0.200684503194814
"elektrisk","magnetisk","related","word","word",0.476370474812344
"højhed","majestæt","related","word","word",0.486753021014287
"tegne","maling","related","word","word",0.246582508772876
"chef","manager","related","word","word",0.44464388268964
"human","mand","related","word","word",0.194114931124404
"kone","mand","related","word","word",0.440508873806623
"tirsdag","mandag","related","word","word",0.702328037771565
"skib","mandskab","related","word","word",0.483410776722568
"sol","måne","related","word","word",0.453394045258331
"uge","måned","related","word","word",0.773706575964831
"ude af stand","manglende evne","related","word","word",NA
"kuffert","mappe","related","word","word",0.523778238145959
"race","marathon","related","word","word",0.132005910671571
"drøm","mareridt","related","word","word",0.49444575571458
"flåde","marine","related","word","word",0.289303298926959
"venus","mars","related","word","word",0.423163517020544
"sandsynligvis","måske","related","word","word",0.526230326370909
"bryst","mave","related","word","word",0.468689792876174
"gavmild","medfølende","related","word","word",0.454132388389142
"psykologisk","medicinsk","related","word","word",0.513556875146178
"leder","medlem","related","word","word",0.311772960189026
"frokost","mellemmåltid","related","word","word",0.436841945254062
"holdning","mening","related","word","word",0.391958457623247
"følelsesmæssig","mental","related","word","word",0.511544502653293
"assassin","mercenary","related","word","word",0.264702749060501
"teknik","metode","related","word","word",0.3938798953415
"middag","midnat","related","word","word",0.31523228615015
"centimeter","mil","related","word","word",0.396727374615844
"atmosfære","miljø","related","word","word",0.337918568282872
"milliard","million","related","word","word",0.694507886963104
"iværksætter","millionær","related","word","word",0.156817319346815
"ling","ming","related","word","word",0.523546953409275
"maksimum","minimum","related","word","word",0.580157718529155
"lover","mistress","related","word","word",0.135566912599391
"beslutsomhed","mod","related","word","word",0.27361044252619
"prototype","model","related","word","word",0.363739737548781
"traditionel","moderne","related","word","word",0.382978880473715
"vaccine","modgift","related","word","word",0.574246195604779
"modsætning","modsat","related","word","word",0.424805639849785
"modstå","modstand","related","word","word",0.420671062298071
"statue","monument","related","word","word",0.411482840229832
"far","mor","related","word","word",0.881989405226618
"morder","morder","related","word","word",1
"lys","mørke","related","word","word",0.46475022634464
"alibi","motiv","related","word","word",0.428544994424763
"sand","mudder","related","word","word",0.317681055857725
"næse","mund","related","word","word",0.526452282221415
"præst","munk","related","word","word",0.404740787746256
"rotte","mus","related","word","word",0.537559370249905
"legende","myte","related","word","word",0.469238170401048
"acceptere","nægte","related","word","word",0.398148116441811
"langt","nær ved","related","word","word",NA
"kynisk","naive","related","word","word",0.396859245210843
"dum","naïve","related","word","word",NA
"sprøjte","nål","related","word","word",0.29721428973097
"stuepige","nanny","related","word","word",0.276557088199887
"idiot","narre","related","word","word",0.27021342458195
"aften","nat","related","word","word",0.611881628697946
"global","national","related","word","word",0.283604242896495
"kunstig","naturlig","related","word","word",0.397809674925359
"generelt","naturligt","related","word","word",0.255659718327521
"meddelelse","navigation","related","word","word",0.198395905378461
"titel","navn","related","word","word",0.280213734027281
"op","ned","related","word","word",0.473874330576179
"kjole","nederdel","related","word","word",0.572392198227878
"øverst","nederste","related","word","word",0.402537253896653
"muskel","nerve","related","word","word",0.469797088516491
"system","netværk","related","word","word",0.496290682497812
"samurai","ninja","related","word","word",0.359157185105633
"præmie","nobel","related","word","word",0.202449530310886
"brug for","nødvendig","related","word","word",NA
"nøgen","nøgen","related","word","word",1
"låse","nøgle","related","word","word",0.437365862088323
"tilstrækkelig","nok","related","word","word",0.464864413925671
"som regel","normalt","related","word","word",NA
"december","november","related","word","word",0.613612906071
"ved godt","nu","related","word","word",NA
"adresse","nummer","related","word","word",0.39828414259733
"elektricitet","nuværende","related","word","word",0.118995808692326
"lever","nyre","related","word","word",0.280714845758235
"effektiv","nyttig","related","word","word",0.381173627791239
"analyse","obduktion","related","word","word",0.46214619392541
"emne","objekt","related","word","word",0.311911759718732
"evaluering","observation","related","word","word",0.38974223605942
"angriber","offer","related","word","word",0.142677369051743
"officiel","officielt","related","word","word",0.74920383989872
"reducere","øge","related","word","word",0.462347737717269
