"af_cue","af_target","type","cue_type","target_type","af_cosine"
"ekstra","bykomend","related","word","word",0.233252581669326
"kollekteer","bymekaarmaak","related","word","word",0.356421739267175
"help","bystaan","related","word","word",0.239145321564822
"katoliek","christen","related","word","word",0.376063424512449
"rum","cognac","related","word","word",0.260214817320874
"rodeo","cowboy","related","word","word",0.488572523745748
"skrikwekkend","creepy","related","word","word",NA
"gebaar","daad","related","word","word",0.255938367547094
"hier","daar","related","word","word",0.448791238239246
"wat","daardie","related","word","word",0.354913264279533
"heer","dame","related","word","word",0.153546907225478
"gasvryheid","dankbaarheid","related","word","word",0.429858250924009
"danseres","dans","related","word","word",0.579411802288357
"edel","dapper","related","word","word",0.264440972965989
"verbind","das","related","word","word",0.0792505000829302
"saak","deeltjie","related","word","word",0.180098754185417
"konsep","definisie","related","word","word",0.330315682995584
"kajuit","dek","related","word","word",0.200109380265939
"eeu","dekade","related","word","word",0.427526714295071
"vryheid","demokrasie","related","word","word",0.427917090680793
"protesteer","demonstrasie","related","word","word",0.272592654336117
"spanning","depressie","related","word","word",0.266723464271232
"november","desember","related","word","word",0.667167552446816
"venster","deur","related","word","word",0.231886733291104
"slaaf","diensmeisie","related","word","word",0.395279657679021
"dier","dier","related","word","word",1
"maer","dik","related","word","word",0.296261286758485
"soms","dikwels","related","word","word",0.681185923797163
"kruitstof","dinamiet","related","word","word",NA
"ping","ding","related","word","word",0.208905172145572
"oorweeg","dink","related","word","word",0.293911371110422
"maandag","dinsdag","related","word","word",0.541694121562471
"dirigeer","direk","related","word","word",0.148950553317688
"konflik","dispuut","related","word","word",0.449452608098694
"graaf","distrik","related","word","word",0.103565320847668
"maak","doen","related","word","word",0.22938564719123
"chirurg","dokter","related","word","word",0.506306864456955
"lêer","dokument","related","word","word",0.396829407472809
"timmer","dollar","related","word","word",0.118255474663016
"weerlig","donderweer","related","word","word",0.552510274727705
"skaduwee","donker","related","word","word",0.373700356780356
"lewendig","dood","related","word","word",0.230256366568661
"gif","doodmaak","related","word","word",0.374005659371074
"blind","doof","related","word","word",0.409724783017175
"kampeer","dorpie","related","word","word",0.287524973629365
"honger","dors","related","word","word",0.444517546905096
"muur","draad","related","word","word",0.183772431890209
"kabel","draad","related","word","word",0.391895973221643
"een","drie","related","word","word",0.505999270557611
"omsirkel","driehoek","related","word","word",0.381843699964162
"dubbel","driepunt","related","word","word",0.176931047492343
"nugter","dronk","related","word","word",0.328509483730358
"nagmerrie","droom","related","word","word",0.330411024868015
"pols","druk","related","word","word",0.194246622336117
"soen","drukkie","related","word","word",0.282099854573657
"sonsondergang","duidelik word","related","word","word",NA
"vinger","duim","related","word","word",0.332642200518392
"engel","duiwel","related","word","word",0.424350106127869
"alkohol","dwelm","related","word","word",0.440489954289166
"vloek","eed","related","word","word",0.209603847648242
"gans","eend","related","word","word",0.399568654690237
"alleen","eensame","related","word","word",0.296904269030616
"eenvoudig","eenvoudig","related","word","word",1
"voorreg","eer","related","word","word",0.315784805291519
"ordentlik","eerlike","related","word","word",0.314133666918259
"lojaliteit","eerlikheid","related","word","word",0.451482502016205
"bruikbaar","effektief","related","word","word",0.270819829935219
"eiendom","eienaar","related","word","word",0.510733758461507
"nes","eier","related","word","word",0.361099209371318
"modieus","elegant","related","word","word",0.380921704966836
"magneties","elektries","related","word","word",0.495937406539082
"huidig","elektrisiteit","related","word","word",0.161910696543993
"faktor","element","related","word","word",0.210050217486456
"armoede","ellende","related","word","word",0.477297314845989
"verstandelike","emosioneel","related","word","word",0.338432830259328
"mag","energie","related","word","word",0.132778792505474
"miljoener","entrepreneur","related","word","word",NA
"teenmiddel","entstof","related","word","word",0.469626069665687
"plaag","epidemie","related","word","word",0.491028543041191
"erfenis","erf","related","word","word",0.234329085427852
"observasie","evaluering","related","word","word",0.335628232525337
"familiestam","familie","related","word","word",NA
"realiteit","fantasie","related","word","word",0.423970566917055
"wonderlik","fantasties","related","word","word",0.260470852918395
"dodelike","fataal","related","word","word",0.33015599364273
"kolonie","federasie","related","word","word",0.304307094025782
"karnaval","fees","related","word","word",0.418513813173622
"bankwese","finansieël","related","word","word",NA
"finansieel","finansiering","related","word","word",0.664927301346783
"seksueel","fisies","related","word","word",0.307533188805565
"pornage","fliek","related","word","word",NA
"horing","fluit","related","word","word",0.349990558902194
"handtekening","fotograaf","related","word","word",0.186558669773316
"prent","fotos","related","word","word",0.169111877935879
"fout","fout","related","word","word",1
"engels","frans","related","word","word",0.51229214105613
"woordeboek","frase","related","word","word",0.265979554822403
"operasionaliseer","funksioneel","related","word","word",NA
"ingaan","gaan","related","word","word",0.401994614405343
"lemonade","gaskoeldrank","related","word","word",NA
"kraak","gat","related","word","word",0.336824510626063
"gyselares","gavangene","related","word","word",NA
"lesbiese","gay","related","word","word",0.64684238354804
"gebeur","gebeur","related","word","word",1
"verskynsel","gebeurtenis","related","word","word",0.307953203404327
"toring","gebou","related","word","word",0.449838726655762
"aansoek doen","gebruik","related","word","word",NA
"teks","gedig","related","word","word",0.275351652665127
"aanbied","gee","related","word","word",0.216422771232779
"rooi","geel","related","word","word",0.639299830326853
"siel","gees","related","word","word",0.495484305664597
"diploma","gegradueerde","related","word","word",0.3963197329671
"hoeveelheid","gehalte","related","word","word",0.277765849502946
"geheim","geheimenis","related","word","word",0.682330899958679
"skare","gehoor","related","word","word",0.254565410206067
"paranoïes","gek","related","word","word",0.29417171778515
"kleinmaak","geld","related","word","word",NA
"hoop","geloof","related","word","word",0.2760272844498
"tevrede","gelukkig","related","word","word",0.456424915253016
"toernooi","gelyke","related","word","word",0.126965762292157
"samelewing","gemeenskap","related","word","word",0.431575908836638
"vergifnis","genade","related","word","word",0.448685661260041
"herstel","genees","related","word","word",0.310366957602703
"wraak","geregtigheid","related","word","word",0.250441276710623
"jurisdiksie","gesag","related","word","word",0.481518905108835
"onthulling","gesig","related","word","word",0.141501590694762
"kompliment","geskenk","related","word","word",NA
"leesstuk","geskryf","related","word","word",NA
"gesluit","geslote","related","word","word",0.380604013384457
"geraas","gesond","related","word","word",0.15628125231254
"lojaal","getrou","related","word","word",0.321891243441934
"enkel","getroud","related","word","word",0.149222647715866
"getuie","getuienis","related","word","word",0.738687464860788
"risiko","gevaar","related","word","word",0.330032202763022
"gewaag","gevaarlik","related","word","word",0.301814272387402
"straf","gevangenskap","related","word","word",0.231926067664717
"geveg","geveg","related","word","word",1
"oplaag","gevoel","related","word","word",0.116307620154507
"geweer","geweer","related","word","word",1
"herken","geweet","related","word","word",0.200026379952179
"gewoon","gewoon","related","word","word",1
"gewoonlik","gewoonlik","related","word","word",1
"vandag","gister","related","word","word",0.308160310294873
"vertroue","glo","related","word","word",0.22258453139064
"nasionaal","globaal","related","word","word",0.29336711970609
"glorieriek","glorie","related","word","word",NA
"filosofie","godsdiens","related","word","word",0.44170848095611
"toestemming","goedkeuring","related","word","word",0.498925250544209
"duur","goedkoop","related","word","word",0.356386528934747
"aap","gorilla","related","word","word",0.345493707803315
"kilo","gram","related","word","word",0.37814692420716
"toertjie","grap","related","word","word",0.226778707103878
"baron","gravin","related","word","word",0.357706083033037
"romeinse","grieks","related","word","word",0.339071689945141
"ontvangstoonbank","groep","related","word","word",NA
"bende","groep","related","word","word",0.253759022222478
"gelukwens","groet","related","word","word",0.305981456503033
"groot","groot","related","word","word",1
"uitmuntend","groot","related","word","word",0.200061295397458
"jakkals","haas","related","word","word",0.36357761978499
"illusie","hallusinasie","related","word","word",0.440200375622611
"ring","halsband","related","word","word",0.132257710036224
"toebroodjie","hamburger","related","word","word",0.205542713610019
"stok","hamer","related","word","word",0.362235535500962
"kombers","handdoek","related","word","word",0.348482975944224
"kommersiële","handelaar","related","word","word",0.236651773864851
"seël","handtekening","related","word","word",0.304766286118036
"taai","hard","related","word","word",0.360453815214687
"oorskot","harmonie","related","word","word",0.0716668715459586
"baai","hawe","related","word","word",0.47661314594934
"smaaklik","heerlik","related","word","word",0.341394054455178
"portaal","hek","related","word","word",0.344307702493395
"vloek","heks","related","word","word",0.338773167182814
"paradys","hel","related","word","word",0.390148248466298
"skyn","helder","related","word","word",0.344930616841978
"ambulans","helikopter","related","word","word",0.278170068878851
"lug","hemelse","related","word","word",0.265951726464425
"arsenaal","heraldiek","related","word","word",0.212470946597576
"lente","herfs","related","word","word",0.654253952030563
"kokaïen","heroine","related","word","word",NA
"regmaak","herstel","related","word","word",0.205078955325262
"helm","hoed","related","word","word",0.383025379301648
"duisend","honderd","related","word","word",0.487800674230289
"moeg","honger","related","word","word",0.211963129958866
"basis","hoofkwartier","related","word","word",0.177997738536213
"laag","hoog","related","word","word",0.394382051459647
"majesteit","hoogheid","related","word","word",0.434737381002666
"gewig","hoogte","related","word","word",0.280606037669153
"luister","hoor","related","word","word",0.41801567740411
"voorkoms","horlosie","related","word","word",0.149367555611869
"hou","hou","related","word","word",1
"opinie","houding","related","word","word",0.341135453911999
"huurder","huiseienaar","related","word","word",0.374068536158118
"steunstuk","hulp","related","word","word",NA
"huur","huur","related","word","word",1
"skei","huwelik","related","word","word",0.224482235292788
"flous","idioot","related","word","word",0.272761721654822
"niks","iets","related","word","word",0.369931125198746
"elders","iewers","related","word","word",0.173795170905997
"vlei","imponeer","related","word","word",0.092046224980298
"persoon","individuele","related","word","word",0.256065834141243
"virus","infeksie","related","word","word",0.635664645476423
"bron","informant","related","word","word",0.0663675391898218
"data","informasie","related","word","word",0.286323448215859
"uitgang","ingang","related","word","word",0.289003073444779
"instink","ingewing","related","word","word",0.198487577384947
"wins","inkomste","related","word","word",0.44450431066437
"sekondêre","inleidend","related","word","word",0.190098720155724
"spinnekop","insek","related","word","word",0.543885868781323
"ondersoek","inspeksie","related","word","word",0.318974313720216
"inspireer","inspirasie","related","word","word",0.634366594289608
"dosis","inspuiting","related","word","word",0.418002276977038
"werktuig","instrument","related","word","word",0.263855462152623
"slim","intelligent","related","word","word",0.310867837385449
"opwindende","interessant","related","word","word",0.330391420580922
"persoonlik","intiem","related","word","word",0.319017995414448
"val","inval","related","word","word",0.284047962402346
"ironie","ironies","related","word","word",0.802899924708098
"okay","ja","related","word","word",NA
"volg","jaag","related","word","word",0.155783535100507
"pos","jak","related","word","word",0.072303842122164
"verslaggewer","joernalis","related","word","word",0.573550802909852
"ou","jonk","related","word","word",0.101011642290219
"junie","julie","related","word","word",0.643387694384556
"romeo","juliet","related","word","word",0.557540506377759
"senior","junior","related","word","word",0.519771116380962
"diamant","juweel","related","word","word",0.335421142351337
"kompas","kaart","related","word","word",0.182314212185404
"brood","kaas","related","word","word",0.478371274115271
"hoender","kalkoen","related","word","word",0.577655844552073
"stil","kalm","related","word","word",0.244276139211335
"piekniek","kampeer","related","word","word",0.53038058709801
"kompetisie","kampioenskap","related","word","word",0.447751118437702
"gewas","kanker","related","word","word",0.403990727664276
"lessenaar","kantoor","related","word","word",0.306957494657161
"bril","kap","related","word","word",0.166603590924116
"kerk","kapel","related","word","word",0.424590474062408
"anargie","kapitalisme","related","word","word",0.431942635561646
"bevelvoerder","kaptein","related","word","word",0.396387796256853
"biskop","kardinaal","related","word","word",0.371603469129397
"mafia","karel","related","word","word",0.00828545529994818
"kabinet","kas","related","word","word",0.142239385622587
"paleis","kasteel","related","word","word",0.429736393371671
"hond","kat","related","word","word",0.437501317092344
"sy","katoen","related","word","word",0.227437605922276
"vorstelik","keiser","related","word","word",0.304352976918491
"dinasties","keiserryk","related","word","word",0.3799179386508
"kelner","kelnerin","related","word","word",0.801300759391011
"ondervinding","kennis","related","word","word",0.431260402295628
"atomies","kern","related","word","word",0.338536613799398
"lamp","kers","related","word","word",0.376919387435137
"kandidaat","kieser","related","word","word",0.426765115112682
"baba","kind","related","word","word",0.477315270077324
"jeug","kinderjare","related","word","word",0.430721436873941
"klavier","kitaar","related","word","word",0.55387503336261
"duidelik","klaarblyklik","related","word","word",0.151913719216207
"tipies","klassieker","related","word","word",NA
"tweede","klein","related","word","word",0.142671555101621
"klein","klein","related","word","word",1
"geduldig","kliënt","related","word","word",0.143436482746942
"hospitaal","kliniek","related","word","word",0.552565374377764
"tempel","klooster","related","word","word",0.328502801110618
"weeshuis","klooster","related","word","word",0.228328296441324
"skrapie","kneusplek","related","word","word",NA
"skouer","knie","related","word","word",0.374333510155591
"keer","knte","related","word","word",NA
"kaliber","koeël","related","word","word",0.371129360338617
"nagereg","koek","related","word","word",0.445727502754426
"warm","koel","related","word","word",0.564124390489917
"lidwoord","koerant","related","word","word",0.210474916627751
"aktetas","koffer","related","word","word",NA
"koppie","koffie","related","word","word",0.285364631055455
"kok","kok","related","word","word",1
"generaal","kolonel","related","word","word",0.427004147971026
"aankom","kom","related","word","word",0.316885637906877
"drama","komedie","related","word","word",0.479963292721778
"kommissie","komitee","related","word","word",0.529877606953482
"inspektrise","kommissaris","related","word","word",NA
"navigasie","kommunikasie","related","word","word",0.374446729604763
"rassis","kommunis","related","word","word",0.25745651792814
"absoluut","kompleet","related","word","word",0.193588439624963
"koningin","koning","related","word","word",0.645941747152009
"koninklike","koninkryk","related","word","word",0.52612098054552
"kontak","konneksie","related","word","word",0.274551311033577
"fokus","konsentreer","related","word","word",0.402058585912183
"toer","konsert","related","word","word",0.43693550569276
"hoes","koors","related","word","word",0.478696843680132
"verkoper","koper","related","word","word",0.544620615904227
"geselskap","korporasie","related","word","word",0.175653810439006
"verkeerde","korrek","related","word","word",0.333323856434857
"sluk","kou","related","word","word",0.338288134002065
"krag","krag","related","word","word",1
"verbeelding","kreatiwiteit","related","word","word",0.417502348046898
"monster","kreatuur","related","word","word",0.32275460972668
"tuna","kreef","related","word","word",0.410683505360215
"situasie","krisis","related","word","word",0.380019621941313
"soldaat","krygsman","related","word","word",0.376897170946172
"natuurlik","kunsmatig","related","word","word",0.344561835066315
"strand","kus","related","word","word",0.420718409354277
"half","kwart","related","word","word",0.214320340680849
"eerste","laaste","related","word","word",0.576995610545334
"glimlag","lag","related","word","word",0.527510555064597
"kort","lank","related","word","word",0.364720040816007
"krediet","leen","related","word","word",0.258693095480299
"draak","leeu","related","word","word",0.30797430204798
"mite","legende","related","word","word",0.426513821864709
"lid","leidster","related","word","word",0.32147953373321
"suig","lek","related","word","word",0.367123544751737
"grawe","lelik","related","word","word",0.120160943884547
"groen","lemoen","related","word","word",0.364882061625621
"grootte","lengte","related","word","word",0.381128477002132
"seminaar","lesing","related","word","word",0.437964404947088
"leuen","leuenaar","related","word","word",0.703422336931761
"nier","lewer","related","word","word",0.217587704587688
"konserwatief","liberaal","related","word","word",0.504746074307463
"album","lied","related","word","word",0.379410508545458
"haat","liefde","related","word","word",0.416801926355818
"minnares","liefhebber","related","word","word",0.213845668161586
"lekker","lieflike","related","word","word",0.281262277593421
"donkerte","lig","related","word","word",0.411639141039901
"huurmotor","limousine","related","word","word",0.33517743148791
"ming","ling","related","word","word",0.508581628368907
"regs","links","related","word","word",0.837946930913779
"kuns","litaratuur","related","word","word",NA
"tatoeëermerk","litteken","related","word","word",0.38162803108966
"plaas","lokasie","related","word","word",0.245964815670677
"ruimtevaarder","loods","related","word","word",0.196488877234781
"ontvoerder","losprys","related","word","word",0.320345851315365
"lot","lot","related","word","word",1
"terminaal","lughawe","related","word","word",0.506720894186613
"sersant","luitenant","related","word","word",0.457258689041432
"liggaam","lyk","related","word","word",0.213752662132544
"kos","maaltyd","related","word","word",0.428114464917189
"hulpeloos","magteloos","related","word","word",0.669214586411178
"onmoontlik","maklik","related","word","word",0.382371372861184
"minimum","maksimum","related","word","word",0.605636494156854
"pa","mamma","related","word","word",0.273025452845638
"kontroleer","manipuleer","related","word","word",0.401141233331802
"treiter","marteling","related","word","word",0.212262292046262
"tenk","masjien","related","word","word",0.328547180366719
"robot","masjien","related","word","word",0.253749189647798
"joga","masseer","related","word","word",0.157064677135017
"vloer","mat","related","word","word",0.269580292090528
"seerower","matroos","related","word","word",0.370743204911403
"tamatiesous","mayonnaise","related","word","word",0.582530911136227
"artefak","medalje","related","word","word",0.214571840452541
"trofee","medalje","related","word","word",0.355057672240067
"geduld","medelye","related","word","word",0.316225201629749
"verslag lewer","meedeel","related","word","word",NA
"graan","meel","related","word","word",0.474435408703275
"rivier","meer","related","word","word",0.179746840075338
"tegniese","meganies","related","word","word",0.291088910370152
"seuns","meisies","related","word","word",0.473784238809403
"nanny","meisietjie","related","word","word",0.216361328058953
"kombinasie","mengsel","related","word","word",0.256233532967087
"man","mens","related","word","word",0.24707544722075
"bevolking","mense","related","word","word",0.46977666194489
"uitsonderlik","merkwaardig","related","word","word",0.322386857212
"swaard","mes","related","word","word",0.289793710257304
"stryk","metaal","related","word","word",0.188500641955901
"kilometer","meter","related","word","word",0.561201223896769
"middernag","middag","related","word","word",0.533143895184544
"happie","middagete","related","word","word",0.349120477536433
"by","mier","related","word","word",0.0648943522119649
"kamera","mikrofoon","related","word","word",0.479962839951612
"teleskoop","mikroskoop","related","word","word",0.528394262951076
"burgerlike","militêre","related","word","word",0.482801009836893
"ambassadeur","minister","related","word","word",0.417302983721826
"ambassade","ministerie","related","word","word",0.393622640716848
"plus","minus","related","word","word",0.353818055437747
"wolk","mis","related","word","word",0.310920434771155
"sonde","misdaad","related","word","word",0.26496899375241
"dief","misdadiger","related","word","word",0.34503234857997
"sukses","mislukking","related","word","word",0.396923684053401
"vuurpyl","missiel","related","word","word",0.508738292220725
"vigs","miv","related","word","word",0.540086850723122
"filter","monitor","related","word","word",0.368018148797519
"kans","moontlikheid","related","word","word",0.403760632018687
"selfmoord","moord","related","word","word",0.524692921097635
"moordenaar","moordenaar","related","word","word",1
"aspiriene","morfien","related","word","word",NA
"hotel","motel","related","word","word",0.688261720233273
"biblioteek","museum","related","word","word",0.410330734726375
"jazz","musiek","related","word","word",0.537282778671096
"orkes","musiekgroep","related","word","word",0.419559837649278
"sangeres","musikant","related","word","word",0.538341501483185
"evolusie","mutasie","related","word","word",0.379246835013119
"naak","naak","related","word","word",1
"diarree","naarheid","related","word","word",0.478846872852992
"oopmaak","naby","related","word","word",0.0994554939391503
"nasie","nasie","related","word","word",1
"afdroog","nat","related","word","word",NA
"oorwinning","nederlaag","related","word","word",0.555227470910206
"familielid","neef","related","word","word",0.394257501456674
"positief","negatief","related","word","word",0.711860758370875
"keel","nek","related","word","word",0.474335363996888
"mond","neus","related","word","word",0.383813076499303
"onmag","nie in staat","related","word","word",NA
"dringend","noodgeval","related","word","word",0.273549769711376
"suid","noord","related","word","word",0.575697341597201
"gesond","normaal","related","word","word",0.280371759794098
"kanaal","nuus","related","word","word",0.241983567125004
"beoefen","oefen","related","word","word",0.447714995710072
"more","oggend","related","word","word",0.167044458375183
"september","oktober","related","word","word",0.658161359042604
"steenkool","olie","related","word","word",0.397358357312459
"uit","omheen","related","word","word",NA
"radius","omtrek","related","word","word",0.463557792106794
"ongemaklik","onaangenaam","related","word","word",0.346853903545696
"anoniem","onbekend","related","word","word",0.239911665342494
"bewaar","onderhou","related","word","word",0.259710394695727
"diens","onderhoud","related","word","word",0.219100159565768
"leer","onderrig","related","word","word",0.385697537380906
"ondersoek","ondersoek","related","word","word",1
"ontleder","ondersoeker","related","word","word",0.366325632901184
"objek","onderwerp","related","word","word",0.230822036098076
"student","onderwyser","related","word","word",0.339945955864695
"ongelukkig","ongeluk","related","word","word",0.417410543342051
"voorval","ongeluk","related","word","word",0.370548812729823
"net","onlangs","related","word","word",0.112864132793898
"naïef","onnosel","related","word","word",0.463610256923892
"waansin","onnoselheid","related","word","word",NA
"onreg","onregverdig","related","word","word",0.647957556272493
"aandete","ontbyt","related","word","word",0.5264455143241
"vergeet","onthou","related","word","word",0.425289026098046
"sien","ontmoet","related","word","word",0.234547991361396
"gebars","ontplof","related","word","word",0.347178889706153
"aardbewing","ontploffing","related","word","word",0.365873720080345
"vlug","ontsnap","related","word","word",0.359417374975591
"ontvoer","ontvoer","related","word","word",1
"vooruitgang","ontwikkeling","related","word","word",0.418694893091354
"onredelik","onverantwoordelik","related","word","word",0.345341281638279
"skielik","onverwags","related","word","word",0.419490739046756
"namaaksel","onwaar","related","word","word",0.152802230819421
"oog","oor","related","word","word",0.214002431996309
"natuurlikerwyse","oor die algemeen","related","word","word",NA
"bly","oorbly","related","word","word",0.336075855453201
"verhuis","oordra","related","word","word",0.0920669860940918
"kontrak","ooreenkoms","related","word","word",0.384853401605024
"leef","oorleef","related","word","word",0.474593427028156
"oorlog","oorlog","related","word","word",1
"weste","ooste","related","word","word",0.846766901823562
"taak","opdrag","related","word","word",0.33413224738739
"trotse","opgewonde","related","word","word",0.159778313034738
"opgawe","opname","related","word","word",0.233693666367122
"laag","oppervlak","related","word","word",0.263106559724227
"vyand","opponent","related","word","word",0.355457245659298
"orgasme","oprigting","related","word","word",0.151388329376275
"per ongeluk","opsetlik","related","word","word",NA
"keuse","opsie","related","word","word",0.262907783210488
"wys","optrede","related","word","word",0.101893279689264
"gesondheid","opvoeding","related","word","word",0.415729041204918
"bestuur","opvolg","related","word","word",0.103218445729066
"af","opwaarts","related","word","word",0.201479224206826
"bevel","orde","related","word","word",0.118100189673551
"reël","organiseer","related","word","word",0.298152548607048
"see","oseaan","related","word","word",0.519571263871823
"volwasse","ouer","related","word","word",0.315777629032462
"soet","oulike","related","word","word",0.175446419395915
"oupa","ouma","related","word","word",0.547810570007907
"oom","pa","related","word","word",0.433623458800334
"roete","paadjie","related","word","word",0.325132477633171
"koevert","pakkie","related","word","word",0.3868602008242
"skild","pantser","related","word","word",0.306793845071897
"gedeelte","paragraaf","related","word","word",0.17405946593933
"supernatuurlike","paranormale","related","word","word",NA
"lipstiffie","parfuum","related","word","word",NA
"kaartjie","paspoort","related","word","word",0.270818869464567
