"af_target","af_cue","af_fake_cue","af_fake_target","en_cue","en_target"
"analise","lykskouing","lykheiding","meerlise","autopsy","analysis"
"antwoord","antwoord","thowoord","neswoord","answer","reply"
"argitek","ingenieur","ingenidraai","argilant","engineer","architect"
"arm","hand","hati","uim","hand","arm"
"arresteer","straf","stnof","arresgrup","punish","arrest"
"arrogansie","onkunde","ondoelde","arrobuustsie","ignorance","arrogance"
"artillerie","ruitery","perktery","artillements","cavalry","artillery"
"assistant","sekretaris","sekretastand","assisgeel","secretary","assistant"
"atlantiese","stille oseaan","stille ostrofsk","atlangaprose","pacific","atlantic"
"atmosfeer","omgewing","omgedeel","atmosloof","environment","atmosphere"
"baadjie","hemp","hela","kraujie","shirt","jacket"
"baard","hare","viere","peard","hair","beard"
"baas","bestuurder","beskrander","barc","manager","boss"
"badkamer","reënbui","reëncrow","skerkamer","shower","bathroom"
"baie","uiters","uiskap","pnie","extremely","very"
"baseball","stadion","kerkdion","basegers","stadium","baseball"
"bataljon","regiment","registra","batalskat","regiment","battalion"
"batman","superman","sukoopman","leiman","superman","batman"
"bed","rusbank","rusjaar","edd","sofa","bed"
"bedank","dankbaar","dreibaar","bedeen","grateful","thank"
"bedoeling","doel","doso","bedoerees","purpose","intention"
"bedrag","som","emm","beproe","sum","amount"
"bedrog","sameswering","samesweskool","bekors","conspiracy","fraud"
"befondsing","begroting","begrobler","beskyfsing","budget","funding"
"begeerte","hallo","cholo","bestofte","hello","bye"
"begelei","begeleiding","begeleisteen","begepark","escort","accompany"
"begraafplaas","graf","groo","begraafskrif","grave","cemetery"
"begrafnis","kis","ées","beskiknis","coffin","funeral"
"begrawe","grawe","buiwe","bevoegwe","dig","bury"
"behandeling","terapie","teraraad","behandenaars","therapy","treatment"
"behoefte","nodig","nosou","beperste","necessary","need"
"bekommer","onderneming","onderneraals","bewindmer","concern","worry"
"bekoorlik","aantreklik","aanskaplik","bespielik","attractive","charming"
"belangrik","kosbaar","spebaar","berjoerik","valuable","important"
"belangrikheid","betekenis","betekestaat","beroepsrikheid","meaning","importance"
"belê","finansies","finantong","beret","finance","invest"
"beledig","belediging","beledirecti","beleraar","insult","offend"
"belegger","bankier","banloes","beraadger","banker","investor"
"belofte","waarborg","waardoen","begunste","guarantee","promise"
"beloning","bonus","bolie","belocust","bonus","reward"
"bely","erken","ervor","behui","admit","confess"
"bemarking","reklame","reringme","bemarseil","advertising","marketing"
"beplanning","voorbereiding","heidsbereiding","beskerning","preparation","planning"
"beproef","proefneming","pheroneming","bespoeg","experiment","test"
"bereken","tel","mål","beretuur","count","calculate"
"berg","heuwel","wynwel","beku","hill","mountain"
"beroemde","gewilde","geraakde","bevaarde","popular","famous"
"beroof","steel","breel","beoond","steal","rob"
"besering","wond","kend","beselaar","wound","injury"
"beskawing","kultuur","mentuur","beskakels","culture","civilization"
"beskrywing","profiel","probled","bewaarwing","profile","description"
"beskuldiging","klagte","gaarte","bewindsdiging","complaint","accusation"
"beslag","nederig","nedebees","beskof","humble","modest"
"bespreking","geselskap","geselders","bevoorking","conversation","discussion"
"bestraling","kontaminasie","vreemdtaminasie","begintling","contamination","radiation"
"bestuurder","passasier","passabach","beskrander","passenger","driver"
"beursie","sak","irk","stutsie","pocket","wallet"
"beveel","sê","zü","begres","say","tell"
"bevestig","aanneming","aanneraal","beraadtig","confirmation","confirm"
"bevestig","tjek","kpek","beraadtig","check","verify"
"bewys","bewysstuk","bewyskrag","behoe","evidence","proof"
"bier","drankie","pienkie","aver","drink","beer"
"biljoen","miljoen","miltern","krijoen","million","billion"
"binne","buitekant","buiteboek","regne","outside","inside"
"biologie","chemie","chefer","biolostand","chemistry","biology"
"biologies","chemies","epimies","biolostryd","chemical","biological"
"blom","fabriek","fakruis","blhe","plant","flower"
"blou","verbruin","ingbruin","blwo","brown","blue"
"bodem","top","awp","bohts","top","bottom"
"boek","bybel","bying","liek","bible","book"
"boodskap","waarskuwing","waarskubrep","vorsskap","warning","message"
"boom","bos","yds","bohè","bush","tree"
"boonste","laer","laris","soekste","lower","upper"
"boot","duikboot","enigboot","boro","submarine","boat"
"bord","bak","sik","bogo","bowl","plate"
"borskas","maag","mahm","voorkas","stomach","chest"
"boston","washington","wacranston","boswer","washington","boston"
"bottel","glas","uias","rantel","glass","bottle"
"botter","heuning","matning","takter","honey","butter"
"bou","konstruksie","konchrissie","siu","construction","build"
"brandstof","gas","rbs","brandsien","gas","fuel"
"breek","verbrysel","vergaansel","aueek","smash","break"
"brief","telegram","teledorp","broof","telegram","letter"
"bro","man","eun","juo","dude","bro"
"broer","suster","tanter","auoer","sister","brother"
"bruid","stalkneg","stalstei","bresd","groom","bride"
"buitekantste","huishoudelik","standhoudelik","buitegreerste","internal","external"
"burgemeester","sheriff","shermov","burgepaardter","sheriff","mayor"
"bus","afrig","afted","xts","train","bus"
"bykomend","ekstra","eksoek","bykotain","extra","additional"
"bymekaarmaak","kollekteer","kolleksing","bymebruikmaak","collect","gather"
"bystaan","help","heeb","bysiend","help","assist"
"christen","katoliek","katoteau","plantten","catholic","christian"
"cognac","rum","uim","piznac","rum","cognac"
"cowboy","rodeo","ronah","cowsaag","rodeo","cowboy"
"creepy","skrikwekkend","skrikwekstof","arinpy","scary","creepy"
"daad","gebaar","getrau","daho","gesture","act"
"daar","hier","hite","dato","here","there"
"daardie","wat","urt","daarbui","what","that"
"dame","heer","sker","trome","lord","lady"
"dankbaarheid","gasvryheid","gasvryskut","koorbaarheid","hospitality","gratitude"
"dans","danseres","hoofseres","dami","dancer","dance"
"dapper","edel","fael","moiper","noble","brave"
"das","verbind","verdood","fés","bind","tie"
"deeltjie","saak","saop","veldtjie","matter","particle"
"definisie","konsep","konzon","definitraat","concept","definition"
"dek","kajuit","kaneut","nsk","cabin","deck"
"dekade","eeu","idu","deliefde","century","decade"
"demokrasie","vryheid","manheid","demokraments","freedom","democracy"
"demonstrasie","protesteer","proteskind","demondingssie","protest","demonstration"
"depressie","spanning","vrouning","destansie","stress","depression"
"desember","november","nochrober","dewindber","november","december"
"deur","venster","erester","deïn","window","door"
"diensmeisie","slaaf","aiaaf","steinmeisie","slave","servant"
"dier","dier","aser","dicu","beast","animal"
"dik","maer","macha","ysk","thin","thick"
"dikwels","soms","soti","jonwels","sometimes","often"
"dinamiet","kruitstof","krimpstof","dinataan","gunpowder","dynamite"
"ding","ping","pice","dici","ping","ding"
"dink","oorweeg","oorseur","dild","consider","think"
"dinsdag","maandag","godsdag","wilfdag","monday","tuesday"
"direk","dirigeer","diristan","dicon","direct","directly"
"dispuut","konflik","konfrey","diskwyt","conflict","dispute"
"distrik","graaf","apaaf","disgrys","county","district"
"doen","maak","mabo","eßen","make","do"
"dokter","chirurg","chirook","whiter","surgeon","doctor"
"dokument","lêer","foser","dokuboes","file","document"
"dollar","timmer","batmer","doltoe","pound","dollar"
"donderweer","weerlig","weersta","dondergroe","lightning","thunder"
"donker","skaduwee","skaducing","padker","shadow","dark"
"dood","lewendig","lebloedig","donu","alive","dead"
"doodmaak","gif","juf","kendmaak","poison","kill"
"doof","blind","unind","seof","blind","deaf"
"dorpie","kampeer","kamnien","waspie","camp","village"
"dors","honger","lauger","kurs","hunger","thirst"
"draad","muur","mulê","droud","wall","fence"
"draad","kabel","kaing","droud","cable","wire"
"drie","een","idn","oeie","one","three"
"driehoek","omsirkel","omsirburg","driedeer","circle","triangle"
"driepunt","dubbel","oosbel","skilpunt","double","triple"
"dronk","nugter","hebter","dreik","sober","drunk"
"droom","nagmerrie","klimmerrie","guoom","nightmare","dream"
"druk","pols","oals","guuk","pulse","pressure"
"drukkie","soen","sobe","broekie","kiss","hug"
"duidelik word","sonsondergang","sonsonderduits","duidelikcreet","sunset","dawn"
"duim","vinger","reiger","duqa","finger","thumb"
"duiwel","engel","enkop","goewel","angel","devil"
"dwelm","alkohol","alkomein","feelm","alcohol","drug"
"eed","vloek","spoek","idd","swear","oath"
"eend","gans","garç","eebs","goose","duck"
"eensame","alleen","albies","hoorsame","alone","lonely"
"eenvoudig","eenvoudig","eenstemdig","eenstemdig","simply","simple"
"eer","voorreg","voorkas","idr","privilege","honor"
"eerlike","ordentlik","orgieslik","spanlike","decent","honest"
"eerlikheid","lojaliteit","lojalilings","eerlikring","loyalty","honesty"
"effektief","bruikbaar","wraakbaar","effekvorm","useful","effective"
"eienaar","eiendom","eienbrug","eielers","property","owner"
"eier","nes","rgs","staer","nest","egg"
"elegant","modieus","modicher","eleglip","fashionable","elegant"
"elektries","magneties","magneveld","elekgreer","magnetic","electric"
"elektrisiteit","huidig","antdig","stadstrisiteit","current","electricity"
"element","faktor","thotor","cenment","factor","element"
"ellende","armoede","arbrande","eltjiede","poverty","misery"
"emosioneel","verstandelike","vervreemddelike","emosiostuur","mental","emotional"
"energie","mag","eig","voetgie","power","energy"
"entrepreneur","miljoener","milspinner","entrepregroot","millionaire","entrepreneur"
"entstof","teenmiddel","maakmiddel","azastof","antidote","vaccine"
"epidemie","plaag","pleng","epidelaar","plague","epidemic"
"erf","erfenis","erfeteer","oef","heritage","inherit"
"evaluering","observasie","observalents","evaluenaars","observation","evaluation"
"familie","familiestam","familievlieg","famiment","clan","family"
"fantasie","realiteit","realirings","skiltasie","reality","fantasy"
"fantasties","wonderlik","rietderlik","fantasmaan","wonderful","fantastic"
"fataal","dodelike","staandelike","fariel","deadly","fatal"
"federasie","kolonie","koloburg","federateurs","colony","federation"
"fees","karnaval","karnaboom","hyes","carnival","festival"
"finansieël","bankwese","pryswese","fistruksieël","banking","financial"
"finansiering","finansieel","finansibring","finansiestaat","financially","financing"
"fisies","seksueel","loopsueel","ficent","sexual","physical"
"fliek","pornage","osjanage","amiek","porn","movie"
"fluit","horing","homosi","druit","horn","whistle"
"fotograaf","handtekening","kreeftekening","fotoprent","autograph","photographer"
"fotos","prent","geent","fovir","picture","photo"
"fout","fout","fovo","fori","error","mistake"
"frans","engels","entext","dians","english","french"
"frase","woordeboek","prysdeboek","klese","dictionary","phrase"
"funksioneel","operasionaliseer","operasionalipotyphla","sterfsioneel","operational","functional"
"gaan","ingaan","inglou","pean","enter","go"
"gaskoeldrank","lemonade","levardsnade","gaskoeltreur","lemonade","soda"
"gat","kraak","nyaak","lft","crack","hole"
"gavangene","gyselares","gyselakicht","gatoomagene","hostage","prisoner"
"gay","lesbiese","lessentse","uny","lesbian","gay"
"gebeur","gebeur","georum","gebang","occur","happen"
"gebeurtenis","verskynsel","vermengsel","geskiedtenis","phenomenon","event"
"gebou","toring","toraat","gemes","tower","building"
"gebruik","aansoek doen","aansoektrols","gestaat","apply","use"
"gedig","teks","teby","gevan","text","poem"
"gee","aanbied","aanstig","pye","offer","give"
"geel","rooi","robo","geny","red","yellow"
"gees","siel","simó","gehu","soul","spirit"
"gegradueerde","diploma","digersma","gegraduplooysde","diploma","graduate"
"gehalte","hoeveelheid","hoerigtheid","gestrate","quantity","quality"
"geheimenis","geheim","gereld","geblaasmenis","secret","mystery"
"gehoor","skare","oorre","gefeer","crowd","audience"
"gek","paranoïes","paranostown","irk","paranoid","crazy"
"geld","kleinmaak","kleinwoor","geïr","cash","money"
"geloof","hoop","hoak","gelitz","hope","faith"
"gelukkig","tevrede","tehuisde","gelukvent","satisfied","happy"
"gelyke","toernooi","loopnooi","getrekke","tournament","match"
"gemeenskap","samelewing","sameleraars","gemeenders","society","community"
"genade","vergifnis","versternis","gebruide","forgiveness","mercy"
"genees","herstel","siestel","getier","recover","heal"
"geregtigheid","wraak","epaak","geregtigrings","revenge","justice"
"gesag","jurisdiksie","jurisstaatsie","getek","jurisdiction","authority"
"gesig","onthulling","onthulsels","getas","revelation","vision"
"geskenk","kompliment","kompliburg","geskoue","compliment","gift"
"geskryf","leesstuk","vierstuk","gewings","reading","writing"
"geslote","gesluit","gespoor","gevangte","locked","closed"
"gesond","geraas","gesarm","getool","noise","sound"
"getrou","lojaal","locann","geform","loyal","faithful"
"getroud","enkel","enrie","gebroer","single","married"
"getuienis","getuie","gestin","geskryfenis","witness","testimony"
"gevaar","risiko","risigram","geving","risk","danger"
"gevaarlik","gewaag","gemach","geneemlik","risky","dangerous"
"gevangenskap","straf","stnof","gevangenbosch","penalty","imprisonment"
"geveg","geveg","gedan","geeur","combat","fight"
"gevoel","oplaag","opband","gemiet","impression","feeling"
"geweer","geweer","gederd","gemens","rifle","gun"
"geweet","herken","heruit","gekesj","recognize","knew"
"gewoon","gewoon","getern","gekern","ordinary","usual"
"gewoonlik","gewoonlik","gefeitlik","gedruklik","normally","usually"
"gister","vandag","gerdag","cauter","today","yesterday"
"glo","vertroue","vertrein","oco","trust","believe"
"globaal","nasionaal","nasiodiens","glogray","national","global"
"glorie","glorieriek","glorieluis","kourie","glorious","glory"
"godsdiens","filosofie","filosostand","reisdiens","philosophy","religion"
"goedkeuring","toestemming","toegangming","stilkeuring","permission","approval"
"goedkoop","duur","duds","eindkoop","expensive","cheap"
"gorilla","aap","eep","governla","monkey","gorilla"
"gram","kilo","kirig","grin","kilo","gram"
"grap","toertjie","broetjie","asap","trick","joke"
"gravin","baron","balys","tervin","baron","countess"
"grieks","romeinse","rochaise","granks","roman","greek"
"groep","ontvangstoonbank","ontsleeptoonbank","beoep","reception","party"
"groep","bende","tigde","beoep","gang","group"
"groet","gelukwens","gelukraat","grast","congratulate","greet"
"groot","groot","grünt","gregt","big","huge"
"groot","uitmuntend","uitmunmaal","gregt","excellent","great"
"haas","jakkals","zeekals","haem","fox","rabbit"
"hallusinasie","illusie","illuzern","skeepslusinasie","illusion","hallucination"
"halsband","ring","riër","gladband","ring","necklace"
"hamburger","toebroodjie","toepraatjie","hammingger","sandwich","hamburger"
"hamer","stok","stun","hanol","stick","hammer"
"handdoek","kombers","komseum","handklep","blanket","towel"
"handelaar","kommersiële","kommersiëleraarspaar","handehoek","commercial","merchant"
"handtekening","seël","semie","kleurtekening","stamp","signature"
"hard","taai","tagy","hawt","tough","hard"
"harmonie","oorskot","oorkets","harmoburg","balance","harmony"
"hawe","baai","badu","ontwe","bay","harbor"
"heerlik","smaaklik","stranlik","speklik","tasty","delicious"
"hek","portaal","vistaal","ńsk","portal","gate"
"heks","vloek","spoek","hego","curse","witch"
"hel","paradys","parabrum","söl","paradise","hell"
"helder","skyn","skgu","witder","shine","bright"
"helikopter","ambulans","ambustok","helikopterskirchhof","ambulance","helicopter"
"hemelse","lug","urg","hechaise","sky","heavenly"
"heraldiek","arsenaal","arsebond","heralloff","arsenal","armory"
"herfs","lente","sarte","hepis","spring","autumn"
"heroine","kokaïen","kokanois","strotne","cocaine","heroin"
"herstel","regmaak","nismaak","siestel","fix","repair"
"hoed","helm","hegt","hoje","helmet","hat"
"honderd","duisend","duisiek","honweer","thousand","hundred"
"honger","moeg","modè","vyfger","tired","hungry"
"hoofkwartier","basis","badag","hoofkwardaat","base","headquarters"
"hoog","laag","lays","hovi","low","high"
"hoogheid","majesteit","majespins","noudheid","majesty","highness"
"hoogte","gewig","gesus","elekte","weight","height"
"hoor","luister","claiter","reor","listen","hear"
"horlosie","voorkoms","voorhout","planlosie","look","watch"
"hou","hou","aeu","awu","hold","keep"
"houding","opinie","yelnie","meiding","opinion","attitude"
"huiseienaar","huurder","counder","noordeienaar","tenant","landlord"
"hulp","steunstuk","treurstuk","husi","support","assistance"
"huur","huur","hulu","hulê","hire","rent"
"huwelik","skei","onei","huwenaar","divorce","marriage"
"idioot","flous","flins","iditji","fool","idiot"
"iets","niks","nioe","dats","nothing","something"
"iewers","elders","elsies","iekuns","elsewhere","somewhere"
"imponeer","vlei","grei","impoping","flatter","impress"
"individuele","persoon","perteen","individueleraarspaar","person","individual"
"infeksie","virus","vival","inlaatsie","virus","infection"
"informant","bron","auon","infortres","source","informant"
"informasie","data","menta","ingangsmasie","data","information"
"ingang","uitgang","uitbron","instro","exit","entrance"
"ingewing","instink","inphiné","ingeloof","instinct","intuition"
"inkomste","wins","uyns","instruste","profit","income"
"inleidend","sekondêre","selaarsdêre","inleistem","secondary","primary"
"insek","spinnekop","voornekop","infan","spider","insect"
"inspeksie","ondersoek","onderliks","inemissie","examination","inspection"
"inspirasie","inspireer","inspihoud","invloedrasie","inspire","inspiration"
"inspuiting","dosis","domei","inbarsting","dose","injection"
"instrument","werktuig","werktrek","infragment","tool","instrument"
"intelligent","slim","reim","intelliskoop","smart","intelligent"
"interessant","opwindende","opwinnaarsde","interesteurs","exciting","interesting"
"intiem","persoonlik","perhanklik","indrum","personal","intimate"
"inval","val","tml","inmes","fall","collapse"
"ironies","ironie","numnie","nganies","irony","ironic"
"ja","okay","thay","ël","okay","yeah"
"jaag","volg","voeb","btag","follow","chase"
"jak","pos","uxs","nck","mail","fax"
"joernalis","verslaggewer","vergrondgewer","akronalis","reporter","journalist"
"jonk","ou","ën","joja","old","young"
"julie","junie","jugur","juras","june","july"
"juliet","romeo","rolac","jugeer","romeo","juliet"
"junior","senior","senimaat","juvolgor","senior","junior"
"juweel","diamant","diakeel","juwish","diamond","jewel"
"kaart","kompas","vanpas","kahlt","compass","map"
"kaas","brood","bruld","kadu","bread","cheese"
"kalkoen","hoender","mooider","kalchoe","chicken","turkey"
"kalm","stil","chil","kaua","quiet","calm"
"kampeer","piekniek","piekleef","kamguur","picnic","camping"
"kampioenskap","kompetisie","kompetikloks","kampioenfonds","competition","championship"
"kanker","gewas","geben","kansie","tumor","cancer"
"kantoor","lessenaar","lesseming","kanpaar","desk","office"
"kap","bril","auil","ulp","glasses","cap"
"kapel","kerk","keid","katha","church","chapel"
"kapitalisme","anargie","avengie","kapitalismelanchthon","anarchy","capitalism"
"kaptein","bevelvoerder","bevellingsder","bomtein","commander","captain"
"kardinaal","biskop","bisweg","kardirect","bishop","cardinal"
"karel","mafia","maeed","kazak","mafia","cartel"
"kas","kabinet","kabiprys","rfs","cabinet","closet"
"kasteel","paleis","panent","kaslien","palace","castle"
"kat","hond","hoca","rdt","dog","cat"
"katoen","sy","ër","kabois","silk","cotton"
"keiser","vorstelik","steptelik","gamser","imperial","emperor"
"keiserryk","dinasties","dinasbaar","keiserjaar","dynasty","empire"
"kelnerin","kelner","kelroe","kelnenoot","waiter","waitress"
"kennis","ondervinding","ondervingroep","milnis","experience","knowledge"
"kern","atomies","rommies","kewa","atomic","nuclear"
"kers","lamp","lanh","kend","lamp","candle"
"kieser","kandidaat","kanditeek","louser","candidate","voter"
"kind","baba","bales","kidi","baby","child"
"kinderjare","jeug","jene","grootderjare","youth","childhood"
"kitaar","klavier","wenvier","kitens","piano","guitar"
"klaarblyklik","duidelik","tweedelik","klaarneeslik","clearly","obviously"
"klassieker","tipies","tisyns","sorpsieker","typical","classic"
"klein","tweede","reerde","klaan","second","minute"
"klein","klein","ceein","klaan","little","small"
"kliënt","geduldig","gevloedig","klihal","patient","client"
"kliniek","hospitaal","hospiwing","derniek","hospital","clinic"
"klooster","tempel","temlia","bronster","temple","monastery"
"klooster","weeshuis","serthuis","bronster","orphanage","convent"
"kneusplek","skrapie","urarpie","neuilplek","scratch","bruise"
"knie","skouer","gooder","kned","shoulder","knee"
"knte","keer","kevi","ciste","ass","butt"
"koeël","kaliber","kaligaan","menël","caliber","bullet"
"koek","nagereg","nageblad","kojè","dessert","cake"
"koel","warm","waba","dael","warm","cool"
"koerant","lidwoord","slowoord","koeried","article","newspaper"
"koffer","aktetas","akteberg","dunfer","briefcase","suitcase"
"koffie","koppie","wenpie","koflyn","cup","coffee"
"kok","kok","nck","eak","cook","chef"
"kolonel","generaal","genetien","koloskip","general","colonel"
"kom","aankom","seekom","asm","arrive","come"
"komedie","drama","walma","komepark","drama","comedy"
"komitee","kommissie","landmissie","komihoud","commission","committee"
"kommissaris","inspektrise","ingangstrise","kommissastand","inspector","commissioner"
"kommunikasie","navigasie","navigamonal","staatsmunikasie","navigation","communication"
"kommunis","rassis","selsis","kommuleer","racist","communist"
"kompleet","absoluut","absonens","komgleuf","absolutely","completely"
"koning","koningin","koninvrou","kovier","queen","king"
"koninkryk","koninklike","kostaatlike","koraalryk","royal","kingdom"
"konneksie","kontak","konben","kontootsie","contact","connection"
"konsentreer","fokus","folig","konsenvaart","focus","concentrate"
"konsert","toer","eper","konmeel","tour","concert"
"koors","hoes","hopo","kotos","cough","fever"
"koper","verkoper","verkosing","konie","seller","buyer"
"korporasie","geselskap","geselders","transporasie","company","corporation"
"korrek","verkeerde","vergronde","magrek","wrong","correct"
"kou","sluk","aiuk","byu","swallow","chew"
"krag","krag","btag","krlê","strength","force"
"kreatiwiteit","verbeelding","verduisding","kreatiwispraak","imagination","creativity"
"kreatuur","monster","belster","krealing","monster","creature"
"kreef","tuna","gasna","sleef","tuna","lobster"
"krisis","situasie","situalects","aarsis","situation","crisis"
"krygsman","soldaat","solward","kroonman","soldier","warrior"
"kunsmatig","natuurlik","namoeilik","stromatig","natural","artificial"
"kus","strand","strami","ebs","beach","coast"
"kwart","half","hanu","ocart","half","quarter"
"laaste","eerste","holste","limfte","first","last"
"lag","glimlag","glimmor","jog","smile","laugh"
"lank","kort","koth","lawi","short","long"
"leen","krediet","tusdiet","ëien","credit","loan"
"leeu","draak","guaak","leic","dragon","lion"
"legende","mite","rakte","leraarde","myth","legend"
"leidster","lid","ugd","blaister","member","leader"
"lek","suig","subs","sik","suck","lick"
"lelik","grawe","buiwe","ledon","digusting","ugly"
"lemoen","groen","grhon","lekles","green","orange"
"lengte","grootte","transte","weefte","size","length"
"lesing","seminaar","semikies","leriet","seminar","lecture"
"leuenaar","leuen","knaen","leuelers","lie","liar"
"lewer","nier","nimi","lenis","kidney","liver"
"liberaal","konserwatief","konserwabooms","libedeur","conservative","liberal"
"lied","album","alwyk","liru","album","song"
"liefde","haat","hann","deerde","hate","love"
"liefhebber","minnares","coronares","vuurhebber","mistress","lover"
"lieflike","lekker","doeker","flatlike","nice","lovely"
"lig","donkerte","donsnoete","rag","darkness","light"
"limousine","huurmotor","boogmotor","liaccessine","taxi","limousine"
"ling","ming","nong","liës","ming","ling"
"links","regs","aags","lidos","right","left"
"litaratuur","kuns","kubi","litararings","art","literature"
"litteken","tatoeëermerk","tatoeëervloei","hoofteken","tattoo","scar"
"lokasie","plaas","pleus","lokanaal","place","location"
"loods","ruimtevaarder","bloedtevaarder","loiss","astronaut","pilot"
"losprys","ontvoerder","onthaalder","zerprys","kidnapper","ransom"
"lot","lot","ket","eit","fate","destiny"
"lughawe","terminaal","termiboek","asemhawe","terminal","airport"
"luitenant","sersant","serraar","luiteties","sergeant","lieutenant"
"lyk","liggaam","ligaand","uuk","body","corpse"
"maaltyd","kos","ugs","deeltyd","food","meal"
"magteloos","hulpeloos","hulpemann","magtemann","helpless","powerless"
"maklik","onmoontlik","onstuitlik","sirlik","impossible","easy"
"maksimum","minimum","minihaan","maksistyg","minimum","maximum"
"mamma","pa","ër","ferma","daddy","mum"
"manipuleer","kontroleer","kontropool","maniputings","control","manipulate"
"marteling","treiter","kerkter","martenaar","torment","torture"
"masjien","tenk","teby","mavlieg","tank","engine"
"masjien","robot","ropyp","mavlieg","robot","machine"
"masseer","joga","ludga","plaseer","yoga","massage"
"mat","vloer","sjoer","ift","floor","carpet"
"matroos","seerower","daadrower","madruis","pirate","sailor"
"mayonnaise","tamatiesous","tamatiechard","mayonskoolse","ketchup","mayonnaise"
"medalje","artefak","arteknog","melingje","artifact","medallion"
"medalje","trofee","troads","melingje","trophy","medal"
"medelye","geduld","gediff","medefout","patience","compassion"
"meedeel","verslag lewer","verslag ltuigd","wardeel","report","inform"
"meel","graan","apaan","usel","grain","flour"
"meer","rivier","rining","meky","river","lake"
"meganies","tegniese","maatniese","megavorm","technical","mechanical"
"meisies","seuns","setas","talsies","boys","girls"
"meisietjie","nanny","rhony","meisieleer","nanny","maid"
"mengsel","kombinasie","stadsbinasie","wetssel","combination","mixture"
"mens","man","eun","mehe","man","human"
"mense","bevolking","bevolseer","kulse","population","people"
"merkwaardig","uitsonderlik","uitzichtderlik","klinwaardig","exceptional","remarkable"
"mes","swaard","etaard","ggs","sword","knife"
"metaal","stryk","veryk","mewing","iron","metal"
"meter","kilometer","kilometerskirchhof","merie","kilometer","meter"
"middag","middernag","midderkoor","midtyd","midnight","noon"
"middagete","happie","atipie","midspoorete","snack","lunch"
"mier","by","ël","iver","bee","ant"
"mikrofoon","kamera","kameding","mikroched","camera","microphone"
"mikroskoop","teleskoop","televleis","mikrovleis","telescope","microscope"
"militêre","burgerlike","burstaatlike","milikingsre","civil","military"
"minister","ambassadeur","ambassaworth","mikleuter","ambassador","minister"
"ministerie","ambassade","amstownsade","ministenaars","embassy","ministry"
"minus","plus","plex","milig","plus","minus"
"mis","wolk","frlk","bbs","cloud","fog"
"misdaad","sonde","delde","misnant","sin","crime"
"misdadiger","dief","diac","sterfdadiger","thief","criminal"
"mislukking","sukses","fasses","mislukraak","success","failure"
"missiel","vuurpyl","vuurmac","missaai","rocket","missile"
"miv","vigs","iggs","yev","aids","hiv"
"monitor","filter","etiter","monisies","screen","monitor"
"moontlikheid","kans","kaat","kringlikheid","chance","possibility"
"moord","selfmoord","selfbaard","teord","suicide","murder"
"moordenaar","moordenaar","vleidenaar","phildenaar","killer","murderer"
"morfien","aspiriene","aspitshwane","morhits","aspirin","morphine"
"motel","hotel","holis","molis","hotel","motel"
"museum","biblioteek","bibliodraai","mubers","library","museum"
"musiek","jazz","jadr","mucher","jazz","music"
