"ko_target","ko_cue","ko_fake_cue","ko_fake_target","en_cue","en_target"
"골짜기","사막","수스","목도기","desert","valley"
"공격","침입","다며","실과","invasion","attack"
"공격자","피해자","짓이자","때문자","victim","attacker"
"공격하다","모욕","션트","끝내하다","insult","offend"
"공부하다","연구","브도","친절하다","research","study"
"공산주의자","인종 차별 주의자","ko 차별 주의자","휠체주의자","racist","communist"
"공상","현실","숭이","트림","reality","fantasy"
"공식적인","공무상","럭스상","트래적인","officially","official"
"공항","단말기","똥에기","끊었","terminal","airport"
"과거","미래","틱스","냐면","future","past"
"과일","사과","프니","언트","apple","fruit"
"과장된 것","싼 어림","뇌리어림","깨어된 것","underestimate","exaggerate"
"과학","기술","팔구","듬고","technology","science"
"과학자","천재","루지","여왕자","genius","scientist"
"관대 한","인정 많은","인정구절은","관대케렌","compassionate","generous"
"관점","보다","왜그","람의","view","perspective"
"교수","학장","열여","디는","dean","professor"
"교육","건강","망스","기할","health","education"
"구두","신병","압에","쇠약","boot","shoe"
"구멍","금이 가다","연쇄 가다","크립","crack","hole"
"구성","마련하다","지배하다","지셔","arrange","organize"
"구실","동기","맡았","니날","motive","alibi"
"구역","군","살짜","vy","county","district"
"구절","사전","답소","게즈","dictionary","phrase"
"구조","피라미드","피라신일","엄은","pyramid","structure"
"구조자","영웅","데블","불어자","hero","savior"
"국가","국가","식때","막엔","country","nation"
"군대","군단","폼에","히기","legion","army"
"군대","예의 바른","직장 바른","히기","civil","military"
"굶주린","피곤한","다녀한","포도린","tired","hungry"
"궁극적 인","결정적인","부탁적인","횡격적 인","final","ultimate"
"권위 있는","전형적인","자문적인","완수 있는","typical","classic"
"권하다","조언","큐를","지낼다","advice","advise"
"권한","관할권","옷은권","짓거","jurisdiction","authority"
"궤도","행성","철은","프루","planet","orbit"
"귀","눈","버지","기세","eye","ear"
"귀여운","달콤한","신으한","차량운","sweet","cute"
"규약","규칙","늬가","zy","rule","protocol"
"그램","킬로","펨토","술취","kilo","gram"
"그럴듯한","설명","파요","그럴할거","explanation","plausible"
"그룹","한 떼","응접떼","렁을","gang","group"
"그릇","그릇","o인","sp","bowl","plate"
"그리다","페인트","올림트","침한다","paint","draw"
"그리스 어","로마 인","로마최소","죽이스 어","roman","greek"
"극장","영화","탄은","엔트","cinema","theater"
"근육","신경 이상","하셨 이상","긴요","nerve","muscle"
"글로벌","국가의","아마의","스위벌","national","global"
"금성","화성","온증","벽으","mars","venus"
"금속","철","폴터","다정","iron","metal"
"금지","금지되어있다","수감되어있다","해드","forbidden","prohibit"
"기간","단계","서해","럽의","phase","period"
"기계","로봇","는척","국만","robot","machine"
"기계식","전문인","제이인","조금식","technical","mechanical"
"기능의","운영자","음악자","구는의","operational","functional"
"기름","석탄","것까","노로","coal","oil"
"기부","자선 단체","성지 단체","츠키","charity","donation"
"기쁨","기쁨","팅을","놀드","pleasure","joy"
"기술","방법","이뼈","을땐","method","technique"
"기억하다","잊다","동아","기억에도","forget","remember"
"기업가","백만 장자","강철 장자","물이가","millionaire","entrepreneur"
"기자","보고자","이야자","생은","reporter","journalist"
"기타","피아노","부엌노","팅을","piano","guitar"
"기혼","하나의","아티의","염산","single","married"
"긴","짧은","송두","시해","short","long"
"길","노선","잎사","관저","route","path"
"길이","크기","막도","슬리","size","length"
"껴안다","키스","살렘","바그다","kiss","hug"
"꽃","공장","프도","턱없","plant","flower"
"꿈","악몽","깝군","뷰캐","nightmare","dream"
"끌어들이다","주목","답고","끌어츄르다","attention","attract"
"끔찍한","끔찍한","오셨한","신부한","terrible","horrible"
"나무","부시","늬가","무섭","bush","tree"
"나쁜","좋은","없으","능을","good","bad"
"나타내 다","가리키다","가리길러","사실내 다","point","indicate"
"난로","오븐","카락","음란","oven","stove"
"남아있다","머무르다","머무소개","다행있다","stay","remain"
"납치범","채가다","크죠다","알리범","kidnap","abduct"
"낭만적 인","극적인","전단인","심어적 인","dramatic","romantic"
"내각","대사관","훔쳐관","친밀","embassy","ministry"
"내부에","밖의","리서","임상에","outside","inside"
"냄새가 나다","맛이 나다","듣자 나다","냄새가 몰에","taste","smell"
"냉소적이다","순진한","간지한","들먹적이다","naive","cynical"
"너구리","다람쥐","롤라쥐","댁들리","squirrel","raccoon"
"넓은","좁은","우발","실마","narrow","wide"
"네번째","제삼","카에","만스째","third","fourth"
"노동자","농장주","개새주","봐서자","farmer","worker"
"노란색","빨간색","피아색","건축색","red","yellow"
"노래","앨범","리해","구도","album","song"
"녹음","기록","능이","테나","record","recording"
"논의","대화","펙스","이덜","conversation","discussion"
"논쟁","갈등","틴은","료는","conflict","dispute"
"놀라다","공황","머금","직원다","scare","frighten"
"놀라운","감동적인","들렀적인","거였운","impressive","amazing"
"놀랄만한","특별한","언니한","비싸만한","exceptional","remarkable"
"농담","장난","시러","마의","trick","joke"
"높은","낮은","바탕","고릴","low","high"
"높은","낮추다","미술다","고릴","lower","upper"
"높음","위엄","wz","많던","majesty","highness"
"놓다","끼워 넣다","존이 넣다","살랑","insert","put"
"뇌","뇌","군한","가뜩","brain","cerebral"
"누르다","단추","파에","암스다","button","press"
"눈","비","테살","렸소","rain","snow"
"늑대","곰","떨린","쿠스","bear","wolf"
"능력","용량","토늄","랬어","capacity","ability"
"다른","비슷한","증거한","스요","similar","different"
"다이너마이트","화약","오잖","다이너마원이","gunpowder","dynamite"
"단순한","간단히","빠르히","낫겠한","simply","simple"
"닫기","열려있는","저주있는","저대","open","close"
"닫은","갇혀있다","쫓겨있다","런히","locked","closed"
"달러","파운드","화면드","년자","pound","dollar"
"담배","담배","럽의","런지","tobacco","cigarette"
"당기다","푸시","ib","지름다","push","pull"
"대개","보통","잡이","파를","normally","usually"
"대기","환경","실좀","m은","environment","atmosphere"
"대대","연대","었음","슨네","regiment","battalion"
"대령","일반","깝다","로로","general","colonel"
"대리자","바꾸다","을거다","손잡자","replace","substitute"
"대상","나귀","남도","트씨","ass","butt"
"대서양","태평양","본거양","om양","pacific","atlantic"
"대양","바다","oa","했듯","sea","ocean"
"대출","신용 거래","밧줄 거래","링스","credit","loan"
"대통령","장관","타에","납치령","chancellor","president"
"대피소","피난","던것","ve소","refuge","shelter"
"대학교","대학","침할","의심교","college","university"
"대행사","단단한","봤는한","해다사","firm","agency"
"댄스","춤추는 사람","춤추는 했대","폰만","dancer","dance"
"댓글","답변","카락","늘렸","answer","reply"
"데모","항의","걔한","려줘","protest","demonstration"
"도마뱀","개구리","헤로리","뿐예뱀","frog","lizard"
"도망자","난민","실서","트한자","refugee","fugitive"
"도시","수도","콜롬","펠은","capital","city"
"도약","오르다","현상다","맙시","climb","jump"
"도전","장애","뷰를","로움","obstacle","challenge"
"돈","현금","레기","한줌","cash","money"
"돌연변이","진화","빗이","적들변이","evolution","mutation"
"돕다","돕다","위인","언스","help","assist"
"동맥","정맥","블카","락이","vein","artery"
"동물","짐승","oa","즈는","beast","animal"
"동반하다","호위","늬가","비장하다","escort","accompany"
"동상","기념물","추가물","아노","monument","statue"
"동영상","dvd","네브d","민주상","dvd","video"
"동의하기","거절하다","조각하다","끝났하기","refuse","accept"
"동정심","인내심","꼬리심","총알심","patience","compassion"
"동쪽","서쪽","츠나","스북","west","east"
"돛","닻","강조","접이","anchor","sail"
"돼지","소","온겁","락이","cow","pig"
"두개골","뼈","사브","로빈골","bone","skull"
"두꺼운","얇은","프롭","주스운","thin","thick"
"두려움","공포","티빌","상관움","horror","fear"
"둘레","반지름","광산름","안올","radius","perimeter"
"뒤쪽","앞","츠기","오넬","front","rear"
"뒤쫓다 다","따르다","스티다","겸손다 다","follow","chase"
"드레스","치마","작이","지구스","skirt","dress"
"드물게","가끔","너였","병력게","occasionally","rarely"
"듣다","듣다","무트","셜을","listen","hear"
"딱딱한","힘든","령이","애설한","tough","hard"
"딸기","바나나","과다나","앤서","banana","strawberry"
"땡땡","핑","탐내","p의","ping","ding"
"뜻밖에","갑자기","볼이기","하트에","suddenly","unexpectedly"
"랍스터","참치","터만","로그터","tuna","lobster"
"로마","시저","찻집","태로","caesar","rome"
"로프","체인","은의","즌이","chain","rope"
"롭","훔치다","잠깐다","큐가","steal","rob"
"리무진","택시","겠고","신나진","taxi","limousine"
"링","밍","아득","졸리","ming","ling"
"마녀","저주","인다","트나","curse","witch"
"마법사","마법","이팅","클레사","magic","wizard"
"마사지","요가","아사","제자지","yoga","massage"
"마요네즈","케첩","성칠","마요죽든","ketchup","mayonnaise"
"마을","캠프","먹겠","해간","camp","village"
"마이너스","...을 더한","얹은.을 더한","마이티의","plus","minus"
"마이크로폰","카메라","이식라","그것크로폰","camera","microphone"
"마지막","첫 번째","빨대번째","거였막","first","last"
"마치다","끝","레임","햇빛다","end","finish"
"마케팅","광고하는","일생하는","누가팅","advertising","marketing"
"만나다","보다","왜그","이상다","see","meet"
"말","당나귀","불은귀","우우","donkey","horse"
"말하다","말하다","모르다","re다","talk","speak"
"말하다","말하다","모르다","re다","say","tell"
"맛있는","맛있는","전트는","직원는","tasty","delicious"
"망치","막대","타브","껴져","stick","hammer"
"매력적인","매력적인","좋으적인","이틀적인","attractive","charming"
"매우","극도로","산단로","참선","extremely","very"
"맥주","마시다","사건다","란거","drink","beer"
"맨 아래","맨 위","갇힐위","맨 말벌","top","bottom"
"맹세","욕을하다","황실하다","빗은","swear","oath"
"먹다","밥을 먹이다","삶의 먹이다","사줬","feed","eat"
"먼지","금연 건강 증진 협회","독방 건강 증진 협회","이버","ash","dust"
"멀리","근처에","잠들에","런가","near","far"
"멈추다","예방하다","달걀하다","매니다","prevent","stop"
"멋진 것","눈부신","빼돌신","멋진부시","sensational","spectacular"
"멍청한","순진한","간지한","받았한","naïve","stupid"
"메달","트로피","오십피","프럴","trophy","medal"
"메세지","경고","치냐","연애지","warning","message"
"메스꺼움","설사","테르","메스앞만","diarrhea","nausea"
"면","실크","잠꾸","수탉","silk","cotton"
"명예","특권","역겨","냈소","privilege","honor"
"모래","진흙","락만","스카","mud","sand"
"모르핀","아스피린","아스휠러","re핀","aspirin","morphine"
"모으다","수집","zl","소지다","collect","gather"
"모자","헬멧","비한","느꼈","helmet","hat"
"모텔","호텔","챘죠","덕이","hotel","motel"
"목","목","무셀","질꺼","throat","neck"
"목걸이","반지","간만","암스이","ring","necklace"
"몸값","납치범","없으범","발소","kidnapper","ransom"
"못생긴","디스트릭스","바우트릭스","글자긴","digusting","ugly"
"묘지","무덤","쥴을","네씨","grave","cemetery"
"무겁게","무거운","메데운","체인게","heavy","heavily"
"무기","권총","트니","심도","pistol","weapon"
"무너지다","떨어지다","떨어타를","무너더를","fall","collapse"
"무력한","어찌할 수 없는","어찌할 형편없는","부처한","helpless","powerless"
"무료","자유로이","자유pi","이넷","freely","free"
"무릎","어깨","울제","첼의","shoulder","knee"
"무미 건조한","녹슨","아난","땄고 건조한","rusty","dusty"
"무엇","아무것도 아님","아무것도하지님","츠카","nothing","something"
"무지","손가락","잡혀락","탱이","finger","thumb"
"묶다","묶다","빙산","모호","bind","tie"
"문","문","질수","열일","portal","gate"
"문","창문","까운","열일","window","door"
"문명","문화","모가","페르","culture","civilization"
"문서","파일","었대","밍턴","file","document"
"문장","단어","리팀","꾼을","word","sentence"
"문제","문제","필에","절해","trouble","problem"
"문학","미술","렀지","퍼님","art","literature"
"묻다","파기","술먹","음조","dig","bury"
"물리적 인","성적","로빅","pe적 인","sexual","physical"
"물어보기","의문","올렛","물어지길","question","ask"
"미국","아프리카","아프시스","워야","africa","america"
"미끼","덫","좀전","놀즈","trap","bait"
"미사일","로켓","은가","리처일","rocket","missile"
"미친","굴뚝","금요","글린","paranoid","crazy"
"미터","킬로미터","킬로알마","톨리","kilometer","meter"
"민주주의","자유","렐라","소파주의","freedom","democracy"
"믿다","신탁","작물","포유","trust","believe"
"믿음","희망","잎에","트할","hope","faith"
"밀가루","곡물","멘지","만해루","grain","flour"
"바닐라","시나몬","내주몬","학이라","cinnamon","vanilla"
"바보","바보","톨리","s에","fool","idiot"
"박물관","도서관","지적관","경보관","library","museum"
"반대되는","반대","mt","반대했죠","opposite","contrary"
"반응기","발전기","촬영기","매력기","generator","reactor"
"반품","뒤","언십","콘크","back","return"
"발기","오르가슴","오르이년","면전","orgasm","erection"
"발열","기침","마드","남깁","cough","fever"
"밝은","빛나는","입력는","구마","shine","bright"
"방사능","오염","약들","소설능","contamination","radiation"
"방해하다","방해하다","베일하다","거였하다","interrupt","disturb"
"배","승무원","ev원","돕다","crew","ship"
"배신자","스파이","거였이","나아자","spy","traitor"
"배우","작가","장자","릿을","author","actor"
"배트맨","슈퍼맨","파티맨","빨래맨","superman","batman"
"백","천","요제","깔보","thousand","hundred"
"백신","해독제","버튼제","리시","antidote","vaccine"
"백작 부인","남작","킷을","소지 부인","baron","countess"
"밴드","오케스트라","오케열어라","염이","orchestra","band"
"뱀","벌레","어다","저안","worm","snake"
"뱃짐","짐","각지","볼프","load","cargo"
"버리다","떠나다","로한다","관계다","leave","abandon"
"버스","기차","넬씨","즈를","train","bus"
"버터","꿀","윌커","이발","honey","butter"
"범인","도둑","프터","가락","thief","criminal"
"범죄","죄","혹자","사르","sin","crime"
"법인","회사","ws","조아","company","corporation"
"베이컨","토스트","좆까트","의심컨","toast","bacon"
"벽장","내각","펠이","애프","cabinet","closet"
"변명","용서하다","가야하다","편과","forgive","excuse"
"별","유명 인사","보기 인사","혈기","celebrity","star"
"병","유리","로죠","재출","glass","bottle"
"병기고","병기고","걸고고","발정고","arsenal","armory"
"보내다","가져오다","가져해제","만이다","bring","send"
"보다","바라보다","선택보다","독수","look","watch"
"보드카","위스키","애라키","같다카","whiskey","vodka"
"보상","보너스","위층스","게가","bonus","reward"
"보석","다이아몬드","대단아몬드","렸고","diamond","jewel"
"보스턴","워싱턴","마스턴","얻었턴","washington","boston"
"보조","지원하다","나아하다","악감","support","assistance"
"보통의","겸손한","누굴한","지연의","humble","modest"
"보통의","평범한","되시한","지연의","ordinary","usual"
"보트","잠수함","스콧함","레도","submarine","boat"
"복부","척추","나려","트폰","spinal","abdominal"
"복사","원래의","이드의","nc","original","copy"
"본부","베이스","티쿠스","세우","base","headquarters"
"볼","말뿐인","담고인","최무","lip","cheek"
"봉고차","트레일러","트레드야","에베차","trailer","van"
"부모의","성인","으러","바이의","adult","parent"
"부서지다","스매시","낫길시","부서저도","smash","break"
"부인","남편","더에","고선","husband","wife"
"부자","가난한","마트한","텝을","poor","rich"
"부정적인","긍정적 인","컨트적 인","틀어적인","positive","negative"
"북쪽","남쪽","다봐","별한","south","north"
"분","초","짜여","김혜","second","minute"
"분석","검시","앞으","식들","autopsy","analysis"
"분할","단위","걸거","막걸","unit","division"
"불결한","끔찍한","오셨한","화강한","nasty","filthy"
"불공정","부당","탈레","데렉정","injustice","unfair"
"불꽃","불","도처","티엘","fire","flame"
"불다","인정하다","인정들과","트잇","admit","confess"
"불쌍한","비참한","무용한","뻔했한","miserable","pathetic"
"불안한","걱정하는","de하는","어마한","worried","nervous"
"불쾌한","불편한","드릴한","심폐한","uncomfortable","unpleasant"
"불행","불행한 사람","불행한 바로","타브","unfortunate","misfortune"
"불행","빈곤","kj","타브","poverty","misery"
"비밀번호","암호","채는","비밀클린","code","password"
"비상","긴급한","베풀한","팍에","urgent","emergency"
"비참한","슬퍼","슨네","지치한","sad","tragic"
"비타민","단백질","돌이질","고상민","protein","vitamin"
"비행","착륙","네티","피드","landing","flight"
"빛","어둠","나마","데프","darkness","light"
"빠르게","천천히","왔냐히","했을게","slowly","quickly"
"빠른","느린","깊으","켄드","slow","fast"
"사격","발사","뷰는","빗이","shot","shoot"
"사고","사건","니께","기나","incident","accident"
"사기","음모","편과","진요","conspiracy","fraud"
"사는 사람","파는 사람","il 사람","넘겨 사람","seller","buyer"
"사람들","인구","데미","니어들","population","people"
"사랑","싫어하다","싫어합니","움이","hate","love"
"사랑스러운","멋진","켜줘","사랑하니운","nice","lovely"
"사명","직무","넘도","극을","task","mission"
"사무라이","닌자","고르","사무애야","ninja","samurai"
"사무실","책상","무트","좋겠실","desk","office"
"사보타주","스파이 활동","스파이 싸면","줄도타주","espionage","sabotage"
"사업","산업","홍키","럽이","industry","business"
"사용","적용하다","맞이하다","웨더","apply","use"
"사자","용","매인","델을","dragon","lion"
"사장","관리자","모습자","장한","manager","boss"
"사진","그림","찮아","려구","picture","photo"
"사진 작가","자필","미심","사진라나가","autograph","photographer"
"사촌","상대적인","지원적인","랄드","relative","cousin"
"산","언덕","설을","한미","hill","mountain"
"산소","공기","챘죠","드라","air","oxygen"
"살인","자살","러씨","로와","suicide","murder"
"살인자","살인자","엄마자","너이자","killer","murderer"
"삼","하나","더니","지라","one","three"
"삼각형","원","샤도","ef형","circle","triangle"
"삼루타","더블","디면","이층타","double","triple"
"삽화","시리즈","곳에즈","불순","series","episode"
"상","노벨","가잖","전적","nobel","prize"
"상관 대리","중사","탈의","생겼 대리","sergeant","lieutenant"
"상대","적","이구","뛰르","enemy","opponent"
"상속","유산","밍은","조아","heritage","inherit"
"상원","의회","쳤나","난을","parliament","senate"
"상인","광고","뷰에","맨도","commercial","merchant"
"상징","깃발","큐는","록해","flag","symbol"
"상태","연방 정부","멀어 정부","첼이","federal","state"
"상해","상처","먼의","깝네","wound","injury"
"새","나비","보너","한둘","butterfly","bird"
"새로 고치다","신선한","좋더한","새로 고이종","fresh","refresh"
"새벽","일몰","비요","크래","sunset","dawn"
"샐러드","수프","테가","굴복드","soup","salad"
"샐러리","연금","니로","결점리","pension","salary"
"생각한다","고려하다","발사하다","생각했었","consider","think"
"생물","괴물","납고","라팀","monster","creature"
"생물학","화학","위원","증인학","chemistry","biology"
"생물학적","화학적 인","안내적 인","죽기학적","chemical","biological"
"생산","공장","프도","s랑","factory","production"
"생산하다","만들다","장이다","애라하다","create","produce"
"생선","상어","사유","속았","shark","fish"
"생일","기념일","폭풍일","토씨","anniversary","birthday"
"생존하다","라이브","성공브","나온하다","live","survive"
"샴페인","와인","의야","밝히인","wine","champagne"
"서명","우표","리할","음엔","stamp","signature"
"서부 사람","남부 지방 사투리","헬리 지방 사투리","쳐들 사람","southern","western"
"서커스","동물원","거기원","교류스","zoo","circus"
"선거","운동","스크","엣을","campaign","election"
"선물","칭찬","뛰르","제는","compliment","gift"
"선생님","학생","퍼드","성공님","student","teacher"
"선수권 대회","경쟁","디언","선수권 졌단","competition","championship"
"선심 쓰는","보수적 인","남은적 인","걸수 쓰는","conservative","liberal"
"선원","해적","늬가","런지","pirate","sailor"
"선장","사령관","경관관","밍도","commander","captain"
"설교","연설","긴요","걸의","speech","sermon"
"설명","프로필","힘들필","다움","profile","description"
"성","궁전","안관","선데","palace","castle"
"성","별명","봤었","선데","nickname","surname"
"성공한 것","관리하다","관리인으","성공안될것","manage","succeed"
"성냥","토너먼트","토너오스","앙카","tournament","match"
"성능","보여 주다","보여옵시다","그남","show","performance"
"성명","논평","란드","따운","comment","statement"
"성직자","수도사","자동사","탐지자","monk","priest"
"세계","국제적인","팬들적인","킷의","international","world"
"센티미터","마일","능한","센티칼에","mile","centimeter"
"소년","소녀","몬의","랜타","girl","boy"
"소득","이익","슬을","틴이","profit","income"
"소름 끼치다","무서운","호출운","소름 끼변신","scary","creepy"
"소리","소음","나르","셨어","noise","sound"
"소망","욕구","놀즈","카인","desire","wish"
"소스","크림","움과","러와","cream","sauce"
"소식","채널","리째","나베","channel","news"
"소실","죽음","게를","묻네","death","disappearance"
"소유자","재산","오피","화장자","property","owner"
"속도","거리","생이","까운","distance","speed"
"손수건","옷감","플턴","그나건","cloth","handkerchief"
"솔라","달의","i와","푸에","lunar","solar"
"솔직한","품위있는","막혔있는","기업한","decent","honest"
"송신기","감지기","환상기","사악기","sensor","transmitter"
"수건","담요","먼즈","중환","blanket","towel"
"수도원","고아원","분리원","강아원","orphanage","convent"
"수도원","절","반밖","강아원","temple","monastery"
"수리하다","고치다","신뢰다","놀이하다","fix","repair"
"수소","탄소","움보","우면","carbon","hydrogen"
"수술","작동하다","뚱뚱하다","gy","operate","surgery"
"수염","머리카락","머리천섬","어색","hair","beard"
"수영","안 들리게 하다","코마들리게 하다","롤할","drown","swim"
"수학","물리학","새끼학","n이","physics","mathematics"
"수행자","변호사","미국사","전기자","lawyer","prosecutor"
"숙녀","주님","게든","하더","lord","lady"
"순찰","경비원","요리원","루로","guard","patrol"
"술 취한","냉철한","리온한","싶댔취한","sober","drunk"
"술집","클럽","는디","랐을","club","bar"
"숨다","씌우다","다웠다","먹도","cover","hide"
"숲","밀림","그라","태고","jungle","forest"
"쉬운","불가능한","불가실장","카락","impossible","easy"
"스캔들","잡담","걸에","애니들","gossip","scandal"
"스타일","율","없듯","ex일","rhythm","style"
"스트라이크","때리다","마누다","안정라이크","hit","strike"
"스파게티","라자냐","피크냐","스파버틸","lasagna","spaghetti"
"스포츠","취미","스인","영역츠","hobby","sport"
"승인","허가","우랜","렀죠","permission","approval"
"시","텍스트","명성트","응괴","text","poem"
"시가","연기","타뇨","재결","smoke","cigar"
"시간제 노동자","뇌관","맥드","시간제 말하자","detonator","timer"
"시도","노력하다","노력ts","파에","try","attempt"
"시원한","따뜻한","남겼한","봤었한","warm","cool"
"시장","주 장관","끊은장관","료도","sheriff","mayor"
"시체","신체","트럼","틴은","body","corpse"
"식당","선술집","변론집","기게","pub","restaurant"
"식사","음식","투스","슨과","food","meal"
"신뢰","존경","클과","단이","respect","confidence"
"신문","기사","xt","리토","article","newspaper"
"신부","신랑","픔에","데기","groom","bride"
"신비","비밀","키면","기할","secret","mystery"
"신성한","하느님","맞는님","무책한","god","divine"
"신자","가톨릭","서를릭","씩만","catholic","christian"
"신호","빈도","말없","원소","frequency","signal"
"실망","놀라다","이혼다","모가","surprise","disappointment"
"실수","오류","안왔","쇠가","error","mistake"
"실패","성공","hy","폼에","success","failure"
"실행","교수형","카이형","망청","hanging","execution"
"심리학","해부","슬을","치유학","anatomy","psychology"
"심리학","의료","톤인","치유학","medical","psychological"
"십대","십대","콥스","머저","teenage","teenager"
"십월","구월","일예","펭에","september","october"
"싱크대","화장실","출신실","헌터대","toilet","sink"
"싸움","전투","엇은","여라","combat","fight"
"싸움터","투기장","돈보장","예술터","arena","battlefield"
"쓰기","독서","입냄","스태","reading","writing"
"쓰다","읽다","킹슬","안테","read","write"
"쓰레기","쓰레기","이혼기","느낌기","trash","garbage"
"씹다","삼키다","집사다","살바","swallow","chew"
"씻다","깨끗한","카이한","냈는","clean","wash"
"아드레날린","호르몬","저년몬","가겠레날린","hormone","adrenaline"
"아들","딸","납니","일즈","daughter","son"
"아름다운","예쁜","권도","아름가길","pretty","beautiful"
"아름다움","매력","터롤","아름순한","charm","beauty"
"아마","아마도","있던도","렸고","maybe","probably"
"아버지","어머니","엘리니","이든지","mother","father"
"아빠","삼촌","꼬까","능이","uncle","dad"
"아이러니 한","반어","곳까","아이러니선가","irony","ironic"
"아직","이미","처에","래블","already","still"
"아침","내일","시브","스비","tomorrow","morning"
"아침밥","저녁","티벌","선물밥","dinner","breakfast"
"아파트","집","썩었","ga트","house","apartment"
"아픈","아픈","쇠를","교를","ill","sick"
"악기","도구","레를","넷도","tool","instrument"
"악마","천사","라모","프게","angel","devil"
"악센트","목소리","페이리","호색트","voice","accent"
