"gl_target","gl_cue","type","target_type","cue_type","gl_cosine"
"determinación","coraxe","related","word","word",0.336836506061657
"alley","corner","related","word","word",NA
"corpse","corpo","related","word","word",NA
"reparación","corrección","related","word","word",0.54028972574167
"porco","cow","related","word","word",NA
"hole","crack","related","word","word",NA
"destrución","creación","related","word","word",0.599491280713366
"producir","crear","related","word","word",0.394215200863145
"préstamo","crédito","related","word","word",0.441066748501196
"salsa","crema","related","word","word",0.348413587600361
"política","crítico","related","word","word",0.412512445295169
"trono","crown","related","word","word",NA
"fork","culler","related","word","word",0.291177713234348
"civilización","cultura","related","word","word",0.374774072369155
"electricidade","current","related","word","word",NA
"witch","curse","related","word","word",NA
"long","curto","related","word","word",0.0604335039611308
"mum","daddy","related","word","word",NA
"semanalmente","daily","related","word","word",NA
"danza","dancer","related","word","word",NA
"luz","darkness","related","word","word",NA
"información","data","related","word","word",0.252236185090564
"rarely","de cando en vez","related","word","word",NA
"elegante","de moda","related","word","word",NA
"inesperadamente","de súpeto","related","word","word",NA
"return","de volta","related","word","word",NA
"profesor","decano","related","word","word",NA
"honesto","decente","related","word","word",0.233812605984534
"polgar","dedo","related","word","word",0.340009766425459
"abandonar","deixar","related","word","word",0.407501569053978
"espeso","delgado","related","word","word",0.281192365052868
"sensíbel","delicate","related","word","word",NA
"solicitude","demanda","related","word","word",0.321108356109559
"esquerda","dereito","related","word","word",0.379854849494404
"desgraza","desafortunado","related","word","word",0.506694024896072
"sucio","desagradable","related","word","word",0.359740259715922
"sono","descanso","related","word","word",0.299984268698988
"express","describir","related","word","word",0.262884366690583
"valley","deserto","related","word","word",0.170466234424371
"wish","desire","related","word","word",NA
"oficina","desk","related","word","word",NA
"timer","detonador","related","word","word",NA
"divino","deus","related","word","word",0.343801260457072
"xoia","diamond","related","word","word",NA
"atrás","diante","related","word","word",0.31629894837293
"náuseas","diarrea","related","word","word",NA
"frase","dicionario","related","word","word",0.191693523719896
"contar","dicir","related","word","word",0.283808177049577
"bury","dig","related","word","word",NA
"ugly","digusting","related","word","word",NA
"imperio","dinastía","related","word","word",0.349040482486641
"graduado","diploma","related","word","word",NA
"directamente","direct","related","word","word",NA
"repugnante","dirty","related","word","word",NA
"sermón","discurso","related","word","word",0.311109223339172
"speed","distancia","related","word","word",NA
"matrimonio","divorcio","related","word","word",0.351226661528391
"triple","dobre","related","word","word",NA
"cute","doce","related","word","word",NA
"cat","dog","related","word","word",NA
"xoguete","doll","related","word","word",NA
"cabalo","donkey","related","word","word",NA
"inyección","dose","related","word","word",NA
"silver","dourado","related","word","word",0.247286880944784
"lion","dragón","related","word","word",0.239949344965999
"comedia","drama","related","word","word",0.240224582116706
"romántico","dramática","related","word","word",0.365008505376625
"sip","drop","related","word","word",NA
"catro","dúas","related","word","word",0.289291333188802
"sospeito","dúbida","related","word","word",0.239789388839661
"baño","ducha","related","word","word",0.43777339324823
"bro","dude","related","word","word",NA
"video","dvd","related","word","word",0.463517938782306
"opción","elección","related","word","word",0.69275485834043
"quitar","eliminar","related","word","word",0.377933525180226
"ministerio","embaixada","related","word","word",0.224924037055904
"ministerio","embaixador","related","word","word",0.350602737494568
"axencia","empresa","related","word","word",0.175684044608753
"tirar","empurrón","related","word","word",0.341631920664031
"realmente","en realidade","related","word","word",NA
"beleza","encanto","related","word","word",0.16164697227474
"francés","english","related","word","word",NA
"vaia","enter","related","word","word",NA
"paixón","entusiasmo","related","word","word",0.384927849543131
"arquitecto","enxeñeiro","related","word","word",0.365235358139329
"equipar","equipamento","related","word","word",NA
"equivocado","erro","related","word","word",0.353943676692356
"escoitar","escoitar","related","word","word",1
"select","escolla","related","word","word",NA
"acompañar","escolta","related","word","word",0.195960683623327
"armadura","escudo","related","word","word",0.347062285116587
"coitelo","espada","related","word","word",0.317781364953199
"único","especial","related","word","word",0.0806523861216117
"especialista","especialista","related","word","word",1
"esperar","espera","related","word","word",0.851873061249089
"fe","esperanza","related","word","word",0.27463862820546
"abdominal","espinal","related","word","word",NA
"sabotaxe","espionaje","related","word","word",NA
"lembre","esquece","related","word","word",0.302522022098312
"baseball","estadio","related","word","word",NA
"posición","estado","related","word","word",0.0496861400699925
"cés","estómago","related","word","word",NA
"highway","estrada","related","word","word",NA
"ancho","estreito","related","word","word",0.31891833103697
"depresión","estrés","related","word","word",0.257422044660447
"profesor","estudante","related","word","word",0.380847415486047
"para sempre","eterno","related","word","word",NA
"prob","evidencia","related","word","word",NA
"cruelty","evil","related","word","word",NA
"mutación","evolution","related","word","word",NA
"inspección","exame","related","word","word",0.200925461280358
"investigar","examinar","related","word","word",0.385877779525606
"great","excelente","related","word","word",NA
"destacable","excepcional","related","word","word",NA
"fracaso","éxito","related","word","word",0.336108101715171
"coñecemento","experiencia","related","word","word",0.201209822685153
"test","experimento","related","word","word",0.25753870595798
"plausible","explicación","related","word","word",NA
"adicional","extra","related","word","word",0.237309234281628
"ear","eye","related","word","word",NA
"produción","fábrica","related","word","word",0.278386380507557
"do","facer","related","word","word",0.119847750664176
"elemento","factor","related","word","word",0.207381398770953
"razoable","fair","related","word","word",NA
"falso","fake","related","word","word",NA
"speak","falar","related","word","word",NA
"sede","fame","related","word","word",0.286681201581753
"traballador","farmer","related","word","word",NA
"período","fase","related","word","word",0.227313355157228
"destino","fate","related","word","word",NA
"estado","federal","related","word","word",0.294368409539504
"comer","feed","related","word","word",NA
"saúdo","felicitar","related","word","word",NA
"ecepto","fenómeno","related","word","word",NA
"lesións","ferida","related","word","word",0.226635691232889
"documento","ficheiro","related","word","word",NA
"devoción","fidelity","related","word","word",NA
"fillo","filla","related","word","word",0.697140895367147
"relixión","filosofía","related","word","word",0.545003228219268
"acabado","fin","related","word","word",0.150966640959842
"ultimate","final","related","word","word",NA
"finalmente","finalmente","related","word","word",1
"investir","finance","related","word","word",NA
"financiamento","financeira","related","word","word",NA
"fortemente","firmemente","related","word","word",0.811717729007058
"matemáticas","física","related","word","word",0.41292072014245
"impress","flatter","related","word","word",NA
"enfermidade","fluza","related","word","word",NA
"concentrado","foco","related","word","word",0.2641612951838
"chase","follow","related","word","word",NA
"informante","fonte","related","word","word",NA
"idiota","fool","related","word","word",NA
"dentro","fóra","related","word","word",0.337468783396646
"sign","formulario","related","word","word",NA
"débil","forte","related","word","word",0.316863802411136
"forza","forza","related","word","word",1
"rabbit","fox","related","word","word",NA
"peza","fragmento","related","word","word",0.185251432854263
"sinal","frecuencia","related","word","word",0.0774092981793571
"democracia","freedom","related","word","word",0.333326143706267
"refrescar","fresh","related","word","word",NA
"lagarto","frog","related","word","word",NA
"tornado","furacán","related","word","word",0.244142833494194
"pasado","futuro","related","word","word",0.282401753696848
"escape","fuxir","related","word","word",0.236864322098677
"closet","gabinete","related","word","word",NA
"gañar","gain","related","word","word",NA
"exposición","galería","related","word","word",0.322171646034009
"poker","gambling","related","word","word",NA
"grupo","gang","related","word","word",0.147307960256997
"duck","ganso","related","word","word",NA
"promesa","garantía","related","word","word",0.297514732215836
"patrulla","garda","related","word","word",0.227060608061504
"combustible","gas","related","word","word",0.430257829291958
"científica","genius","related","word","word",NA
"acto","gesture","related","word","word",NA
"botella","glass","related","word","word",NA
"gloria","glorioso","related","word","word",0.54344328857664
"senador","gobernador","related","word","word",0.631810466536396
"tenis","golf","related","word","word",0.298890066205907
"neco","gorxa","related","word","word",NA
"fariña","gran","related","word","word",0.164858471792333
"cemiterio","grave","related","word","word",0.0697986590795268
"noiva","groom","related","word","word",NA
"cheirar","gusto","related","word","word",0.1827517993322
"trimestre","half","related","word","word",NA
"salvador","heroe","related","word","word",0.36116555745689
"strike","hit","related","word","word",NA
"deporte","hobby","related","word","word",NA
"manter","hold","related","word","word",0.117991602703574
"adrenalina","hormona","related","word","word",0.370926679150319
"whistle","horn","related","word","word",NA
"medo","horror","related","word","word",0.236494827509676
"clínica","hospital","related","word","word",0.26708606058777
"gratitude","hospitalidade","related","word","word",0.283310284463137
"cold","hot","related","word","word",NA
"motel","hotel","related","word","word",0.795738723306002
"apartamento","house","related","word","word",0.24199014025852
"onte","hoxe","related","word","word",0.154518677817632
"modest","humilde","related","word","word",NA
"teoría","idea","related","word","word",0.237600389942842
"perfecto","ideal","related","word","word",0.219755438295948
"arrogancia","ignorancia","related","word","word",0.69193528563905
"capela","igrexa","related","word","word",0.224421386668917
"legal","ilegal","related","word","word",0.894361576055175
"enfermo","ill","related","word","word",NA
"alucinación","illusion","related","word","word",NA
"foto","imaxe","related","word","word",0.389342315237385
"creatividade","imaxinación","related","word","word",0.388041560978361
"emperador","imperial","related","word","word",0.391500121183069
"partícula","importa","related","word","word",0.0866746021011222
"fácil","imposible","related","word","word",0.395235299087353
"impotente","impotente","related","word","word",1
"sentimento","impresión","related","word","word",0.16996534242511
"amazing","impresionante","related","word","word",NA
"non é capaz","incapacidade","related","word","word",NA
"accidente","incidente","related","word","word",0.910490158248871
"desagradable","incómodo","related","word","word",0.417972952645541
"negocios","industria","related","word","word",0.248228229504389
"efecto","influencia","related","word","word",0.399256792227653
"informar","informe","related","word","word",0.794201172487105
"opositor","inimigo","related","word","word",0.227710804453028
"culpable","inocente","related","word","word",0.405339769561816
"put","inserir","related","word","word",NA
"comisario","inspector","related","word","word",0.417851585143084
"inspiración","inspire","related","word","word",NA
"intuición","instinto","related","word","word",0.334063926958156
"ofender","insulto","related","word","word",0.219664463601465
"world","international","related","word","word",NA
"web","internet","related","word","word",NA
"externo","interno","related","word","word",0.487030899366556
"molestar","interromper","related","word","word",0.38547714481494
"sen valor","inútil","related","word","word",NA
"ataque","invasion","related","word","word",NA
"funny","inxenioso","related","word","word",NA
"cínico","inxenuo","related","word","word",0.503009619619659
"inxusto","inxustiza","related","word","word",0.673246222138843
"masaxe","ioga","related","word","word",NA
"rage","ira","related","word","word",NA
"metal","iron","related","word","word",NA
"irónico","ironía","related","word","word",0.244756611545675
"música","jazz","related","word","word",0.54012826082211
"camión","jeep","related","word","word",0.361546416687059
"traballo","job","related","word","word",0.217781814962205
"forest","jungle","related","word","word",NA
"recentemente","just","related","word","word",0.218388931690262
"maionesa","ketchup","related","word","word",NA
"secuestro","kidnap","related","word","word",NA
"ransom","kidnapper","related","word","word",NA
"gram","kilo","related","word","word",0.419883039153813
"criminal","ladroa","related","word","word",0.382702608609752
"candle","lámpada","related","word","word",NA
"fly","land","related","word","word",NA
"spaghetti","lasanha","related","word","word",NA
"constitución","law","related","word","word",0.37391423034313
"superficie","layer","related","word","word",NA
"fiel","leal","related","word","word",0.396937841193145
"honestidade","lealdade","related","word","word",0.607678986269978
"writing","lectura","related","word","word",NA
"exército","legión","related","word","word",NA
"zume","leite","related","word","word",0.40537214792848
"rapidamente","lentamente","related","word","word",0.807014426084379
"fast","lento","related","word","word",NA
"write","ler","related","word","word",NA
"gay","lesbiana","related","word","word",0.409771362731207
"dólar","libra","related","word","word",0.407880855896511
"free","libremente","related","word","word",NA
"team","liga","related","word","word",NA
"trono","lightning","related","word","word",NA
"soda","limonada","related","word","word",NA
"lavar","limpar","related","word","word",0.609841980944129
"feek","lip","related","word","word",NA
"perfume","lipstick","related","word","word",NA
"fluída","liquid","related","word","word",NA
"practicamente","literalmente","related","word","word",0.685874902683229
"pequeno","little","related","word","word",0.0950621039552998
"sobrevivir","live","related","word","word",NA
"sun","lúa","related","word","word",NA
"localización","lugar","related","word","word",0.191417330675677
"flame","lume","related","word","word",NA
"solar","lunar","related","word","word",0.534487044459363
"martes","luns","related","word","word",0.329816870760981
"cartel","mafia","related","word","word",0.242241621043102
"eléctrico","magnética","related","word","word",0.388783626170556
"fax","mail","related","word","word",NA
"voto","maioría","related","word","word",0.142612340393342
"menos","máis","related","word","word",0.289712511681817
"superior","máis baixo","related","word","word",NA
"alteza","majesty","related","word","word",NA
"correcto","mal","related","word","word",0.187936249987601
"femia","male","related","word","word",NA
"maleta","maletín","related","word","word",0.751089601293917
"brazo","man","related","word","word",0.269277076802475
"humano","man","related","word","word",0.143850788781968
"mañá","mañá","related","word","word",1
"fantástico","marabilloso","related","word","word",0.457171517569966
"carreira","maratón","related","word","word",NA
"produto","marca","related","word","word",0.148592373484167
"esposa","marido","related","word","word",0.373534839807961
"mariña","marine","related","word","word",0.599117554486211
"venus","marte","related","word","word",0.555703245800843
"wizard","maxia","related","word","word",NA
"froito","mazá","related","word","word",0.304331011841709
"manteiga","mel","related","word","word",0.267052416523983
"xear","melt","related","word","word",NA
"líder","membro","related","word","word",0.336353668229893
"emocional","mental","related","word","word",0.354050292702761
"mentireiro","mentira","related","word","word",0.649083159818214
"asasino","mercenarios","related","word","word",0.129360161803538
"digna","merece","related","word","word",0.447756879223578
"semana","mes","related","word","word",0.257414854638877
"técnica","método","related","word","word",0.404459942487846
"psicolóxico","micrárricas","related","word","word",NA
"mediodía","midnight","related","word","word",NA
"centímetro","mile","related","word","word",NA
"billions","million","related","word","word",NA
"empresario","millonario","related","word","word",0.425912418144099
"ling","ming","related","word","word",NA
"máximo","mínimo","related","word","word",0.696748773979775
"watch","mirar","related","word","word",NA
"patético","miserable","related","word","word",0.327106739933143
"amante","mistress","related","word","word",NA
"legend","mito","related","word","word",NA
"prototipo","modelo","related","word","word",0.272396487462279
"tradicional","moderno","related","word","word",0.344724060080165
"moi","moi","related","word","word",1
"gorila","monkey","related","word","word",NA
"criatura","monstro","related","word","word",0.37884675587063
"estatua","monumento","related","word","word",0.230675889023512
"sacerdote","monxe","related","word","word",0.249767168143136
"fatal","mortal","related","word","word",0.484940303830182
"desaparición","morte","related","word","word",0.219566926771616
"alibi","motivo","related","word","word",NA
"transferencia","mover","related","word","word",0.1701593879997
"sand","mud","related","word","word",NA
"audiencia","multitude","related","word","word",0.197487835824648
"embarazo","nacemento","related","word","word",0.216693137920073
"algo","nada","related","word","word",0.339682412718685
"holiday","nadal","related","word","word",NA
"paseo","nai","related","word","word",0.0751596290412831
"pai","nai","related","word","word",0.43751646778349
"dente","nail","related","word","word",NA
"estúpido","naïve","related","word","word",NA
"maid","nanny","related","word","word",NA
"global","national","related","word","word",0.506370408265185
"artificial","natural","related","word","word",0.186675437858599
"xeralmente","naturalmente","related","word","word",0.870768190261527
"fleta","naval","related","word","word",NA
"comunicación","navegación","related","word","word",NA
"necesidade","necesario","related","word","word",0.447305444861056
"nenas","nenos","related","word","word",0.537474544551406
"muscle","nervio","related","word","word",NA
"nehew","neto","related","word","word",NA
"sistema","network","related","word","word",NA
"apelido","nickname","related","word","word",NA
"á noite","night","related","word","word",NA
"dream","nightmare","related","word","word",NA
"samurai","ninja","related","word","word",NA
"egg","niño","related","word","word",NA
"premio","nobel","related","word","word",0.50302968482622
"valente","nobre","related","word","word",0.321385642591736
"título","nome","related","word","word",0.228175191457498
"nalgún lugar","noutro lugar","related","word","word",NA
"decembro","novembro","related","word","word",0.844503607538141
"naked","nude","related","word","word",NA
"enderezo","número","related","word","word",0.39815875354387
"sempre","nunca","related","word","word",0.281341613982612
"avaliación","observación","related","word","word",0.761734228147918
"desafío","obstáculo","related","word","word",0.36969669615187
"tema","obxecto","related","word","word",0.251705345461407
"ocorrer","ocorrer","related","word","word",1
"amor","odiar","related","word","word",0.254740207971344
"dar","oferta","related","word","word",0.155330648753608
"oficial","oficialmente","related","word","word",0.632025561797744
"si","ok","related","word","word",0.391896844390724
"adeus","ola","related","word","word",0.613855556773134
"mozo","old","related","word","word",0.212767676273298
"xeonllo","ombreiro","related","word","word",0.507625317396946
"preto","open","related","word","word",NA
"cirurxía","operar","related","word","word",0.421769964423466
"funcional","operativo","related","word","word",0.354546452432568
"actitude","opinión","related","word","word",0.426290855174978
"posibilidade","oportunidade","related","word","word",0.641735964485248
"ao contrario","oposto","related","word","word",NA
"realista","optimista","related","word","word",0.710926870688598
"habitual","ordinario","related","word","word",0.299926261247991
"convento","orfanato","related","word","word",0.490518853646927
"erección","orgasmo","related","word","word",NA
"emocionado","orgulloso","related","word","word",0.472746403286408
"copiar","original","related","word","word",NA
"band","orquestra","related","word","word",NA
"financiamento","orzamento","related","word","word",NA
"skull","óso","related","word","word",NA
"about","out","related","word","word",NA
"mountain","outeiro","related","word","word",NA
"stove","oven","related","word","word",NA
"compaixón","paciencia","related","word","word",0.295480989537365
"clienta","paciente","related","word","word",0.496265972018926
"atlántico","pacífico","related","word","word",0.7897829661405
"draw","paint","related","word","word",NA
"nación","país","related","word","word",0.0964066191614537
"castle","palacio","related","word","word",0.389967160624548
"queixo","pan","related","word","word",0.368501337919917
"pano","pano","related","word","word",1
"monitorizar","pantalla","related","word","word",NA
"pen","papel","related","word","word",NA
"inferno","paradise","related","word","word",NA
"crazy","paranoid","related","word","word",NA
"senado","parlamento","related","word","word",0.334125340268785
"condutora","pasaxeiro","related","word","word",NA
"tomate","pataca","related","word","word",0.35389839447719
"herdar","patrimonio","related","word","word",0.292801220130577
"barba","pelo","related","word","word",0.395767039002687
"encarceramento","penalty","related","word","word",NA
"salario","pensións","related","word","word",0.192401461821925
"ganador","perdedor","related","word","word",NA
"desculpe","perdoar","related","word","word",0.385140332476034
"mercy","perdón","related","word","word",NA
"descrición","perfil","related","word","word",0.227971174627846
"aprobación","permiso","related","word","word",0.230150484109601
"let","permitir","related","word","word",NA
"individual","persoa","related","word","word",0.287635331579293
"íntimo","persoal","related","word","word",0.244608980246891
"moito","pesado","related","word","word",0.155979142766418
"altura","peso","related","word","word",0.210800492638046
"epidemia","peste","related","word","word",0.338211959718206
"carteira","peto","related","word","word",0.25731282660431
"guitarra","piano","related","word","word",0.441158028102701
"camping","picnic","related","word","word",NA
"ding","ping","related","word","word",NA
"mariñeiro","pirate","related","word","word",NA
"arma","pistol","related","word","word",NA
"estratexia","plan","related","word","word",0.18068813020116
"órbita","planeta","related","word","word",0.65156246940331
"flower","planta","related","word","word",NA
"estación","plataforma","related","word","word",0.346841937576585
"magazine","playboy","related","word","word",NA
"persoas","poboación","related","word","word",0.178985749101855
"rich","pobre","related","word","word",NA
"miseria","pobreza","related","word","word",0.407171246114748
"probablemente","pode ser","related","word","word",NA
"enerxía","poder","related","word","word",0.293971786374534
"escritor","poeta","related","word","word",0.416569127119176
"kill","poison","related","word","word",NA
"político","política","related","word","word",0.773351862361415
