"gl_cue","gl_target","gl_fake_target","gl_fake_cue","en_cue","en_target"
"bonito","bonito","bonición","bonición","pretty","beautiful"
"bonus","recompensa","retranspensa","bobil","bonus","reward"
"boot","shoe","shgy","boles","boot","shoe"
"botón","prensa","riñosa","bosou","button","press"
"bowl","placa","desca","boxes","bowl","plate"
"brain","cerebral","cerepuña","waain","brain","cerebral"
"branco","black","weack","trosco","white","black"
"bravo","alpha","alqua","magvo","bravo","alpha"
"bribe","chantaxe","afectaxe","idebe","bribe","blackmail"
"brillo","bright","yaight","stallo","shine","bright"
"brindis","bacon","bamea","brinzer","toast","bacon"
"brown","azul","dúul","jeown","brown","blue"
"brutal","cruel","adiel","opetal","brutal","cruel"
"burst","estoupar","estouciño","buyat","burst","explode"
"busca","find","fidy","elica","search","find"
"bush","árbore","apesbore","bunk","bush","tree"
"cabalería","artillería","arrakholería","cabalesións","cavalry","artillery"
"cabina","deck","dees","caríanna","cabin","deck"
"cable","wire","denre","caran","cable","wire"
"caída","colapso","coopreso","felda","fall","collapse"
"caixa","bag","igg","gárxa","box","bag"
"calendario","programa","proafirma","cainquédario","calendar","schedule"
"caliber","bullet","bulpre","calirais","caliber","bullet"
"calor","cool","cogón","casey","warm","cool"
"calor","temperatura","amañarperatura","casey","heat","temperature"
"cámara","micrófono","miedzyrfono","brinmara","camera","microphone"
"camareiro","camareira","camaciónsra","camaciónsro","waiter","waitress"
"cambio","mellora","acorlora","camrín","change","improvement"
"camisa","chaqueta","inesqueta","cachessa","shirt","jacket"
"camp","aldea","alque","caas","camp","village"
"campaña","elección","soñación","campóns","campaign","election"
"campión","loitador","chantador","camnics","champion","fighter"
"canciller","presidente","presimourhte","cantráiler","chancellor","president"
"candidato","voter","voarl","prohididato","candidate","voter"
"canle","news","nexí","risle","channel","news"
"cansado","fame","zoume","abrasado","tired","hungry"
"cantante","músico","inhasico","substante","singer","musician"
"cantidade","calidade","cabréasdade","prohitidade","quantity","quality"
"capacidade","habilidade","hasukhomlidade","capavlovskdade","capacity","ability"
"capital","cidade","atradade","capiches","capital","city"
"capsule","sonda","areda","lingsule","capsule","probe"
"caracol","turtle","exetle","caralían","snail","turtle"
"carácter","personalidade","hollywosonalidade","cacahuter","character","personality"
"carbón","hidróxeno","hiroshixeno","carsil","carbon","hydrogen"
"carbón","oil","púl","carsil","coal","oil"
"carga","cargo","frigo","deiga","load","cargo"
"caridade","donación","donareil","catelyndade","charity","donation"
"carnival","festival","festiques","carnitiño","carnival","festival"
"caro","barato","baraches","amoro","expensive","cheap"
"carreira","reputación","reputaríasl","truireira","career","reputation"
"casco","hat","uit","nóico","helmet","hat"
"cash","money","movér","caho","cash","money"
"católica","christian","chatlántian","camiñanlica","catholic","christian"
"cazar","pesca","loica","catei","hunting","fishing"
"cea","almorzo","alpuñazo","pua","dinner","breakfast"
"cego","sorda","crida","celes","blind","deaf"
"celebrity","star","goar","celechatz","celebrity","star"
"cell","prison","gidson","cegá","cell","prison"
"celoso","enojado","flerjado","moslloso","jealous","angry"
"cemento","plástico","unirtico","ceríasto","cement","plastic"
"cerca","far","prr","floca","near","far"
"césar","roma","fórma","célou","caesar","rome"
"chain","corda","trada","chenn","chain","rope"
"chamar","teléfono","telémingsno","chason","call","telephone"
"chan","alfombra","algersbra","chke","floor","carpet"
"chaos","confusión","confuruya","broos","chaos","confusion"
"chave","botarlle o ferrollo","botarlle o ferrferstätt","tánve","key","lock"
"check","verificar","verifitrión","chotk","check","verify"
"chegada","saída","croda","aprogada","arrival","departure"
"chegar","vén","rán","chenos","arrive","come"
"chemical","biolóxico","holywoolóxico","chemilián","chemical","biological"
"chicken","turquía","turqiya","asiáken","chicken","turkey"
"chip","dispositivo","amañarpositivo","chmé","chip","device"
"cine","teatro","tearíal","ciais","cinema","theater"
"cinnamon","vanilla","vacharla","eternamon","cinnamon","vanilla"
"circle","triángulo","stratgulo","cirvos","circle","triangle"
"cirujano","doctor","pattor","cirujaguars","surgeon","doctor"
"civil","militar","miliches","citri","civil","military"
"clan","familia","famidoun","mcan","clan","family"
"claramente","obviamente","obviaalíñaste","aprenramente","clearly","obviously"
"clase","escola","estrasla","lirse","class","school"
"cloud","fog","weg","teoud","cloud","fog"
"club","bar","uir","clnú","club","bar"
"cocaine","heroína","hetchuna","covergne","cocaine","heroin"
"código","contrasinal","contrasiseñor","inaudigo","code","password"
"colega","friend","frimún","ranllega","colleague","friend"
"colgado","execución","execubras","obrígado","hanging","execution"
"college","universidade","unipouquísidade","atralege","college","university"
"colony","federación","federatocys","coxoia","colony","federation"
"comandante","capitán","capibrar","cociñeidante","commander","captain"
"comando","orde","chade","cociñado","command","order"
"combate","fight","fiunt","aprobate","combat","fight"
"combinación","mestura","apretura","combinatasha","combination","mixture"
"comentario","declaración","declarabuñar","comentamolly","comment","statement"
"comercial","comerciante","alzheimerciante","cogañancial","commercial","merchant"
"comisión","comité","comichen","comicros","commission","committee"
"cómodo","agradable","inundable","cótrando","comfortable","pleasant"
"company","corporation","prehisporation","commody","company","corporation"
"compás","mapa","ocúpa","atopás","compass","map"
"compasivo","xeneroso","xerakharoso","transpasivo","compassionate","generous"
"competición","campionato","deshonpionato","competiquets","competition","championship"
"complemento","gift","giek","comtriñamento","compliment","gift"
"compra","vender","quider","comzio","buy","sell"
"compromiso","casamento","casaquiñoto","comalquímiso","engagement","wedding"
"concepto","definición","definirough","conamonto","concept","definition"
"conclusión","asunción","painción","conclubepf","conclusion","assumption"
"concrete","aceiro","apalro","contíaste","concrete","steel"
"condado","distrito","disaposto","traídado","county","district"
"conde","calcular","agracular","obede","count","calculate"
"conducir","ride","rilou","condulóns","drive","ride"
"conferencia","reunión","reurity","conferenpoñen","conference","meeting"
"confirmación","confirmar","conqueimar","confirmalayer","confirmation","confirm"
"conflito","disputa","atraputa","controuto","conflict","dispute"
"consello","advise","adboumse","contruílo","advice","advise"
"conservador","liberal","libeches","conservacións","conservative","liberal"
"considerar","pensas","axusas","consideseñei","consider","think"
"conspiración","fraude","atarde","aprenpiración","conspiracy","fraud"
"construción","construír","constróns","atratrución","construction","build"
"contactar","conexión","conegués","conaxustar","contact","connection"
"contaminación","radiación","radiapoñer","contaminatrañas","contamination","radiation"
"conteñen","contido","substido","conpoñer","contain","content"
"contrato","acordo","afecdo","conamonto","contract","agreement"
"control","manipular","manipuchiña","condrar","control","manipulate"
"conversa","discusión","discubríu","conriñosa","conversation","discussion"
"cook","xefe","xeris","covel","cook","chef"
"copa","café","cadia","corou","cup","coffee"
"coraxe","determinación","determinatrañas","corarían","courage","determination"
"corner","alley","algar","corval","corner","alley"
"corpo","corpse","cóanse","despo","body","corpse"
"corrección","reparación","reparabuñar","correcrías","fix","repair"
"cow","porco","sínco","hew","cow","pig"
"crack","hole","azule","críek","crack","hole"
"creación","destrución","destrurías","creables","creation","destruction"
"crear","producir","produlóns","venar","create","produce"
"crédito","préstamo","alontamo","avendito","credit","loan"
"crema","salsa","chosa","gouma","cream","sauce"
"crítico","política","poatractica","aboitico","critical","political"
"crown","trono","biuno","igown","crown","throne"
"culler","fork","focá","cultao","spoon","fork"
"cultura","civilización","civilizatrañar","trastura","culture","civilization"
"current","electricidade","amañartricidade","curraux","current","electricity"
"curse","witch","rerch","túese","curse","witch"
"curto","long","lope","testo","short","long"
"daddy","mum","lym","daméy","daddy","mum"
"daily","semanalmente","semaleshermente","dafey","daily","weekly"
"dancer","danza","gloza","ceicer","dancer","dance"
"darkness","luz","roz","arusness","darkness","light"
"data","información","informadahas","reita","data","information"
"de cando en vez","rarely","racett","de cando truían","occasionally","rarely"
"de moda","elegante","asusgante","de mleck","fashionable","elegant"
"de súpeto","inesperadamente","hollywoperadamente","de súprións","suddenly","unexpectedly"
"de volta","return","revron","de vofazl","back","return"
"decano","profesor","profedían","decaches","dean","professor"
"decente","honesto","hoamonto","deríaste","decent","honest"
"dedo","polgar","resgar","tíndo","finger","thumb"
"deixar","abandonar","ofredonar","deicía","leave","abandon"
"delgado","espeso","espeters","viñegado","thin","thick"
"delicate","sensíbel","sensírían","delicacións","delicate","sensitive"
"demanda","solicitude","amañarlicitude","dechesda","demand","request"
"dereito","esquerda","esfounda","deapósto","right","left"
"desafortunado","desgraza","desameáza","desarigüeiatunado","unfortunate","misfortune"
"desagradable","sucio","subar","desagradarezhan","nasty","filthy"
"descanso","sono","queno","desopreso","rest","sleep"
"describir","express","exfröst","descridías","describe","express"
"deserto","valley","gualey","deapósto","desert","valley"
"desire","wish","wilá","deocórre","desire","wish"
"desk","oficina","froncina","deoc","desk","office"
"detonador","timer","tious","detonacións","detonator","timer"
"deus","divino","ditéñano","derb","god","divine"
"diamond","xoia","xotu","diadáev","diamond","jewel"
"diante","atrás","atkis","dicheste","front","rear"
"diarrea","náuseas","críaseas","diartaud","diarrhea","nausea"
"dicionario","frase","lense","dicionadlands","dictionary","phrase"
"dicir","contar","congre","didez","say","tell"
"dig","bury","buko","urg","dig","bury"
"digusting","ugly","qnly","digusbran","digusting","ugly"
"dinastía","imperio","impechen","diflectía","dynasty","empire"
"diploma","graduado","esquéduado","dichesma","diploma","graduate"
"direct","directamente","diexhaustamente","didred","direct","directly"
"dirty","repugnante","retransnante","norty","dirty","disgusting"
"discurso","sermón","sernés","dispoñiso","speech","sermon"
"distancia","speed","cuáed","asaltancia","distance","speed"
"divorcio","matrimonio","matrimocrats","diexipcio","divorce","marriage"
"dobre","triple","tricis","dodeu","double","triple"
"doce","cute","bacte","since","sweet","cute"
"dog","cat","ilt","urg","dog","cat"
"doll","xoguete","xoríante","doci","doll","toy"
"donkey","cabalo","careillo","donril","donkey","horse"
"dose","inyección","eclección","resse","dose","injection"
"dourado","silver","ceiver","acenrado","golden","silver"
"dragón","lion","liver","longón","dragon","lion"
"drama","comedia","cometerl","pulma","drama","comedy"
"dramática","romántico","roatractico","esquémática","dramatic","romantic"
"drop","sip","epp","dreh","drop","sip"
"dúas","catro","cacen","itas","two","four"
"dúbida","sospeito","tranpeito","prénbida","doubt","suspect"
"ducha","baño","bast","dutos","shower","bathroom"
"dude","bro","jeo","caide","dude","bro"
"dvd","video","vinov","urd","dvd","video"
"elección","opción","opches","electroi","choice","option"
"eliminar","quitar","ventar","elimisión","eliminate","remove"
"embaixada","ministerio","mifayetterio","empreñaxada","embassy","ministry"
"embaixador","ministerio","mifayetterio","embaixaríanl","ambassador","minister"
"empresa","axencia","broncia","emriñosa","firm","agency"
"empurrón","tirar","tinen","empurguei","push","pull"
"en realidade","realmente","realcoholte","en realidtiquíns","actually","really"
"encanto","beleza","beavanza","enelecto","charm","beauty"
"english","francés","franmoo","endrush","english","french"
"enter","vaia","heia","enque","enter","go"
"entusiasmo","paixón","inoxón","entusiasmonastyrsky","enthusiasm","passion"
"enxeñeiro","arquitecto","arquiafronto","enperhero","engineer","architect"
"equipamento","equipar","equinoc","aprenpamento","equipment","equip"
"erro","equivocado","aprenvocado","acaro","error","mistake"
"escoitar","escoitar","esquentar","esquentar","listen","hear"
"escolla","select","sedast","esinhala","choose","select"
"escolta","acompañar","acomdahas","esaperta","escort","accompany"
"escudo","armadura","armaciónsra","escusión","shield","armor"
"espada","coitelo","plantelo","esguinda","sword","knife"
"especial","único","tisco","espegañenal","special","unique"
"especialista","especialista","especialistatuíñas","especialistatuíñas","expert","specialist"
"espera","esperar","espechou","esaforra","wait","expect"
"esperanza","fe","ck","espeesquéza","hope","faith"
"espinal","abdominal","abdomisións","espilins","spinal","abdominal"
"espionaje","sabotaxe","sabotaxerarquías","espionaquiñas","espionage","sabotage"
"esquece","lembre","lemdeu","escoñéce","forget","remember"
"estadio","baseball","basenets","estagawa","stadium","baseball"
"estado","posición","posinarl","frontado","status","position"
"estómago","cés","hes","esnaquímago","stomach","chest"
"estrada","highway","hitoway","esguinda","road","highway"
"estreito","ancho","antra","esaposto","narrow","wide"
"estrés","depresión","depregunt","esvens","stress","depression"
"estudante","profesor","profedían","estunheimte","student","teacher"
"eterno","para sempre","para sequeña","avenno","eternal","forever"
"evidencia","prob","prrp","afecdencia","evidence","proof"
"evil","cruelty","crufroy","evoo","evil","cruelty"
"evolution","mutación","mutaríal","triunlution","evolution","mutation"
"exame","inspección","inspectral","linme","examination","inspection"
"examinar","investigar","investicións","afunminar","examine","investigate"
"excelente","great","caiat","excesiñaste","excellent","great"
"excepcional","destacable","destacamiñan","extrañascional","exceptional","remarkable"
"éxito","fracaso","aconcaso","húnto","success","failure"
"experiencia","coñecemento","transcemento","experienladhor","experience","knowledge"
"experimento","test","teve","experiquiñasto","experiment","test"
"explicación","plausible","godssible","explicabréas","explanation","plausible"
"extra","adicional","straccional","excan","extra","additional"
"eye","ear","ánr","hwe","eye","ear"
"fábrica","produción","produrant","fáaparca","factory","production"
"facer","do","pi","fanal","make","do"
"factor","elemento","asusmento","toutor","factor","element"
"fair","razoable","razoacións","fanu","fair","reasonable"
"fake","falso","onoso","faxas","fake","FALSE"
"falar","speak","másak","famen","talk","speak"
"fame","sede","funde","trome","hunger","thirst"
"farmer","traballador","traballacións","fartan","farmer","worker"
"fase","período","pesiñado","amóse","phase","period"
"fate","destino","practino","déite","fate","destiny"
"federal","estado","frontado","fedetéña","federal","state"
"feed","comer","covan","fetéa","feed","eat"
"felicitar","saúdo","epido","felicisións","congratulate","greet"
"fenómeno","ecepto","sáelto","fepoñermeno","phenomenon","event"
"ferida","lesións","letrans","feagarda","wound","injury"
"ficheiro","documento","docubríasto","finaisro","file","document"
"fidelity","devoción","devonets","fidepran","fidelity","devotion"
"filla","fillo","guelo","apila","daughter","son"
"filosofía","relixión","relifort","filosobrehu","philosophy","religion"
"fin","acabado","consbado","qen","end","finish"
"final","ultimate","prohitimate","ficer","final","ultimate"
"finalmente","finalmente","fitriónmente","fitriónmente","finally","eventually"
"finance","investir","invesríao","fiabrace","finance","invest"
"financeira","financiamento","hollywonanciamento","finandanthra","financially","financing"
"firmemente","fortemente","téñentemente","aguanmemente","firmly","strongly"
"física","matemáticas","matemátilowicz","prensica","physics","mathematics"
"flatter","impress","imgroms","blonter","flatter","impress"
"fluza","enfermidade","entrañasmidade","rómza","flu","disease"
"foco","concentrado","concensiónsdo","rínco","focus","concentrate"
"follow","chase","diuse","apulow","follow","chase"
"fonte","informante","insnellmante","páste","source","informant"
"fool","idiota","clauota","fosía","fool","idiot"
"fóra","dentro","dengan","grara","outside","inside"
"formulario","sign","sikx","formulafayet","form","sign"
"forte","débil","dérov","xeite","strong","weak"
"forza","forza","senza","senza","strength","force"
"fox","rabbit","raboyi","onx","fox","rabbit"
"fragmento","peza","perán","ocórmento","fragment","piece"
"frecuencia","sinal","siqui","maiúscuencia","frequency","signal"
"freedom","democracia","democrawleys","freekley","freedom","democracy"
"fresh","refrescar","reaforcar","wiesh","fresh","refresh"
"frog","lagarto","lapresto","frpp","frog","lizard"
"furacán","tornado","queinado","furanoia","hurricane","tornado"
"futuro","pasado","pasación","fucheiro","future","past"
"fuxir","escape","escaperohollywo","fugos","flee","escape"
"gabinete","closet","cloché","gajohannete","cabinet","closet"
"gain","gañar","galór","gako","gain","win"
"galería","exposición","exposiseñor","galeches","gallery","exhibition"
"gambling","poker","poche","lecbling","gambling","poker"
"gang","grupo","rocpo","sung","gang","group"
"ganso","duck","dufe","risso","goose","duck"
"garantía","promesa","chesmesa","garandall","guarantee","promise"
"garda","patrulla","pachesla","alida","guard","patrol"
"gas","combustible","compañeitible","wás","gas","fuel"
"genius","científica","ciengruñanfica","geçóis","genius","scientist"
"gesture","acto","testo","praiture","gesture","act"
"glass","botella","bocharla","cdass","glass","bottle"
"glorioso","gloria","ceiria","amañarioso","glorious","glory"
"gobernador","senador","senaches","gobernacións","governor","senator"
"golf","tenis","tesía","goen","golf","tennis"
"gorxa","neco","negli","béixa","throat","neck"
"gran","fariña","faríal","nuan","grain","flour"
"grave","cemiterio","cemitepoñen","sérve","grave","cemetery"
"groom","noiva","steva","varom","groom","bride"
"gusto","cheirar","ofenrar","truto","taste","smell"
"half","trimestre","triciñatre","haez","half","quarter"
"heroe","salvador","salvareil","hefia","hero","savior"
"hit","strike","shafke","urt","hit","strike"
"hobby","deporte","deseñate","hoily","hobby","sport"
"hold","manter","frater","hoye","hold","keep"
"hormona","adrenalina","deutsnalina","idenmona","hormone","adrenaline"
"horn","whistle","criátle","hogi","horn","whistle"
"horror","medo","drado","horant","horror","fear"
"hospital","clínica","unirnica","aterpital","hospital","clinic"
"hospitalidade","gratitude","atlántitude","amañarlpitalidade","hospitality","gratitude"
"hot","cold","coch","unt","hot","cold"
"hotel","motel","monán","hosin","hotel","motel"
"house","apartamento","prohitamento","laise","house","apartment"
"hoxe","onte","frute","alóxe","today","yesterday"
"humilde","modest","moleëv","hufraude","humble","modest"
"idea","teoría","teopold","idci","idea","theory"
"ideal","perfecto","peramisto","gúsal","ideal","perfect"
"ignorancia","arrogancia","arrobertscia","ignokoshicia","ignorance","arrogance"
"igrexa","capela","cariñola","creuxa","church","chapel"
"ilegal","legal","leteu","ileveu","illegal","legal"
"ill","enfermo","entruímo","ail","ill","sick"
"illusion","alucinación","alucinabeshi","prohilusion","illusion","hallucination"
"imaxe","foto","marto","coixe","picture","photo"
"imaxinación","creatividade","hollywoatividade","imaxinakushi","imagination","creativity"
"imperial","emperador","emperacións","imperiquiño","imperial","emperor"
"importa","partícula","triuntícula","imbranta","matter","particle"
"imposible","fácil","fáfos","imposiseñor","impossible","easy"
"impotente","impotente","impobriñote","impolicìate","helpless","powerless"
"impresión","sentimento","sentiguiñato","imprevert","impression","feeling"
"impresionante","amazing","amalenc","imprehollywoonante","impressive","amazing"
"incapacidade","non é capaz","non é viñei","incapacidadelahaye","inability","unable"
"incidente","accidente","accipiñoste","incipiñoste","incident","accident"
"incómodo","desagradable","desagradarezhan","inflúenmodo","uncomfortable","unpleasant"
"industria","negocios","negodardsos","indusguer","industry","business"
"influencia","efecto","guento","incharlencia","influence","effect"
"informe","informar","inqueimar","ingueime","report","inform"
"inimigo","opositor","evansitor","atenmigo","enemy","opponent"
"inocente","culpable","culpapeis","coñecente","innocent","guilty"
"inserir","put","ott","inseball","insert","put"
"inspector","comisario","comisaxewar","inspecbles","inspector","commissioner"
"inspire","inspiración","inspiraflops","apropire","inspire","inspiration"
"instinto","intuición","intuirías","inselecto","instinct","intuition"
"insulto","ofender","cheider","inamisto","insult","offend"
"international","world","flrld","inpollyannational","international","world"
"internet","web","aib","intercías","internet","web"
"interno","externo","excluíno","inguiuno","internal","external"
"interromper","molestar","mofrontar","interromquiño","interrupt","disturb"
"inútil","sen valor","sen vbeño","joutil","useless","worthless"
"invasion","ataque","calque","innorthsion","invasion","attack"
"inxenioso","funny","conny","inxeniosobriñiña","witty","funny"
"inxenuo","cínico","címoslco","inxelián","naive","cynical"
"inxustiza","inxusto","intrento","inclúentiza","injustice","unfair"
"ioga","masaxe","masación","agóga","yoga","massage"
"ira","rage","berge","lya","anger","rage"
"iron","metal","melei","nyon","iron","metal"
"ironía","irónico","usarnico","ámanía","irony","ironic"
"jazz","música","coinsica","japó","jazz","music"
"jeep","camión","cadern","jecol","jeep","truck"
"job","traballo","tratruílo","aib","job","work"
"jungle","forest","forand","eeugle","jungle","forest"
"just","recentemente","remuiñartemente","judi","just","recently"
"ketchup","maionesa","esquéonesa","raíchup","ketchup","mayonnaise"
"kidnap","secuestro","secuessións","itenap","kidnap","abduct"
"kidnapper","ransom","rangiz","hersnapper","kidnapper","ransom"
"kilo","gram","grot","xeólo","kilo","gram"
"ladroa","criminal","crimicros","lavoia","thief","criminal"
"lámpada","candle","canmuk","siñopada","lamp","candle"
"land","fly","woy","laaa","land","fly"
"lasanha","spaghetti","svashenti","lasamund","lasagna","spaghetti"
"law","constitución","constitunheim","hew","law","constitution"
"layer","superficie","sutransficie","reyer","layer","surface"
"leal","fiel","fixés","lexis","loyal","faithful"
"lealdade","honestidade","hospaghettidade","leinquédade","loyalty","honesty"
"lectura","writing","gósting","afritura","reading","writing"
"legión","exército","trumcito","leglom","legion","army"
"leite","zume","córme","crote","milk","juice"
"lentamente","rapidamente","rapidaalíñaste","amañatamente","slowly","quickly"
"lento","fast","fanc","paito","slow","fast"
"ler","write","gotte","arr","read","write"
"lesbiana","gay","nly","apuñabiana","lesbian","gay"
"libra","dólar","dómen","lisei","pound","dollar"
"libremente","free","frii","lialiñamente","freely","free"
"liga","team","tenha","licos","league","team"
"lightning","trono","biuno","knighning","lightning","thunder"
"limonada","soda","sopór","téñenmonada","lemonade","soda"
"limpar","lavar","lasen","limdou","clean","wash"
"lip","feek","fecis","epp","lip","cheek"
"lipstick","perfume","hatsfume","lipsbork","lipstick","perfume"
"liquid","fluída","gaulda","liçois","liquid","fluid"
"literalmente","practicamente","deshonticamente","literalalíñaste","literally","practically"
"little","pequeno","petéñano","buftle","little","small"
"live","sobrevivir","sobrevipoñen","nouve","live","survive"
"lúa","sun","yan","pya","moon","sun"
"lugar","localización","localizatrañas","luxem","place","location"
"lume","flame","reume","xeime","fire","flame"
"lunar","solar","sovié","lumum","lunar","solar"
"luns","martes","sontes","luko","monday","tuesday"
"mafia","cartel","carpio","madíu","mafia","cartel"
"magnética","eléctrico","vailtrico","prohinética","magnetic","electric"
"mail","fax","rox","maoo","mail","fax"
"maioría","voto","volas","acoloría","majority","vote"
"máis","menos","metin","máni","plus","minus"
"máis baixo","superior","superiquiño","únan baixo","lower","upper"
"majesty","alteza","alavanza","makeshi","majesty","highness"
"mal","correcto","coramonto","uel","wrong","correct"
"male","femia","fereo","maban","male","female"
"maletín","maleta","maquilta","malevoul","briefcase","suitcase"
"man","brazo","evizo","onn","hand","arm"
"man","humano","humación","onn","man","human"
"mañá","mañá","maús","macé","tomorrow","morning"
"marabilloso","fantástico","fanraquítico","marabillosobriñiña","wonderful","fantastic"
"maratón","carreira","truireira","maracois","marathon","race"
"marca","produto","glánduto","resca","brand","product"
"marido","esposa","esquersa","machando","husband","wife"
"marine","mariña","mareil","mabourne","marine","navy"
"marte","venus","velow","nente","mars","venus"
