"sl_cue","sl_target","type","cue_type","target_type","sl_cosine"
"zarota","goljufije","related","word","word",0.39869520334662
"dol","gor","related","word","word",0.833822419836798
"opica","gorila","related","word","word",0.51090867568346
"gas","gorivo","related","word","word",0.286284696176647
"pogovor","govoriti","related","word","word",0.431164026638698
"jungle","gozd","related","word","word",0.238301446084796
"palača","grad","related","word","word",0.372813425115027
"gradnja","graditi","related","word","word",0.435713252501175
"kilogram","gram","related","word","word",0.577411014185815
"diving","grda","related","word","word",NA
"roman","grk","related","word","word",0.178944411430879
"lightning","grmenje","related","word","word",0.137215117242502
"baron","grofic","related","word","word",NA
"strašljivo","grozljivo","related","word","word",0.718445402207081
"grozno","grozno","related","word","word",1
"klavir","guitar","related","word","word",0.367158338071907
"iluzija","halucinacija","related","word","word",0.488407790436549
"sandwich","hamburger","related","word","word",0.2420657009416
"stick","hammer","related","word","word",0.285750820140248
"ravnovesje","harmonija","related","word","word",0.417941242991394
"obnoviti","heal","related","word","word",0.087370296484968
"ambulance","helikopter","related","word","word",0.280746173633849
"raj","hell","related","word","word",0.103924050062867
"kokain","heroin","related","word","word",0.681320092565522
"nizka","high","related","word","word",0.120778461305197
"počasi","hitro","related","word","word",0.432123864460511
"počasi","hitro","related","word","word",0.432123864460511
"razdalja","hitrost","related","word","word",0.457834120288658
"aids","hiv","related","word","word",0.518277668137345
"vroče","hladno","related","word","word",0.576719233937091
"run","hoje","related","word","word",0.130445283644078
"hold","hraniti","related","word","word",0.116765466150087
"angel","hudič","related","word","word",0.409816660089702
"hvaležen","hvala","related","word","word",0.526492134145758
"gostoljubnost","hvaležnost","related","word","word",0.544727049692163
"igra","igra","related","word","word",1
"lutka","igrače","related","word","word",0.270368315879123
"avtor","igralec","related","word","word",0.342318289608893
"trener","igralec","related","word","word",0.46806292645813
"laska","impress","related","word","word",NA
"poročilo","inform","related","word","word",NA
"podatki","informacije","related","word","word",0.483051649928338
"vir","informator","related","word","word",0.346724991714543
"odmerek","injection","related","word","word",NA
"pregled","inšpekcija","related","word","word",0.30944749461449
"orodje","instrument","related","word","word",0.346030892376162
"smart","inteligentno","related","word","word",0.123899911629163
"osebna","intimate","related","word","word",NA
"nagon","intuition","related","word","word",NA
"finance","investirajte","related","word","word",0.256300917330563
"banker","investitor","related","word","word",0.426877121559903
"ironija","ironična","related","word","word",0.624729473752981
"izberite","izberite","related","word","word",1
"spremeni","izboljšava","related","word","word",0.27896169686367
"spy","izdajalec","related","word","word",0.134953034464915
"brand","izdelek","related","word","word",0.176524473776096
"smrt","izginotje","related","word","word",0.31835150496828
"rezultat","izid","related","word","word",0.577032622342816
"komentar","izjava","related","word","word",0.338594916986783
"izjemno","izjemno","related","word","word",1
"zdravje","izobraževanje","related","word","word",0.390685168972591
"count","izračunajte","related","word","word",0.0869037851722262
"podkupnine","izsiljevanje","related","word","word",0.487104656762353
"obešanje","izvedba","related","word","word",0.202224338191246
"pokaži","izvedba","related","word","word",0.124313102945368
"ovir","izziv","related","word","word",0.22289750344581
"v redu","ja","related","word","word",NA
"banana","jagoda","related","word","word",0.419009845297089
"gnezda","jajce","related","word","word",0.327576081429893
"majica","jakna","related","word","word",0.632467215516295
"tuna","jastog","related","word","word",0.445521229314512
"atomsko","jedry","related","word","word",NA
"betonk","jeklo","related","word","word",NA
"pomlad","jesen","related","word","word",0.619917797166433
"feed","jesti","related","word","word",0.188523159515138
"kidy","jetra","related","word","word",NA
"ljubosumna","jezen","related","word","word",0.499299659796312
"reka","jezero","related","word","word",0.42175827372687
"romeo","juliet","related","word","word",0.39934313392559
"junij","julij","related","word","word",0.6586619039817
"vzpenjati se","jump","related","word","word",NA
"količina","kakovost","related","word","word",0.423183844935309
"rock","kamen","related","word","word",0.140592571872459
"piknik","kampiranje","related","word","word",0.428633795414383
"cerkev","kapela","related","word","word",0.432637940197972
"anarhija","kapitalizem","related","word","word",0.325782408199353
"poveljnik","kapitan","related","word","word",0.534906677271895
"mafija","kartel","related","word","word",0.409945634679715
"pokal","kava","related","word","word",0.121955797307069
"rodeo","kavboj","related","word","word",0.32934431562597
"nikoli","kdaj","related","word","word",0.374735617654294
"spomenik","kip","related","word","word",0.476634206769003
"zrak","kisik","related","word","word",0.432279106538493
"bolnišnica","klinika","related","word","word",0.60716322160542
"čelada","klobuk","related","word","word",0.358763982339651
"ramo","kolena","related","word","word",0.347335347587355
"trailer","kombi","related","word","word",0.182213509047214
"drama","komedija","related","word","word",0.519023086623797
"inšpektor","komisar","related","word","word",0.435705592858612
"provizija","komite","related","word","word",0.111845337863331
"navigacija","komunikacija","related","word","word",0.55317092460943
"rasist","komunist","related","word","word",0.516853363520188
"tour","koncert","related","word","word",0.230792250312732
"donkey","konj","related","word","word",0.122769231557575
"tuš","kopalnica","related","word","word",0.483915660836801
"original","kopirati","related","word","word",0.308300694220939
"drobec","kos","related","word","word",0.343062702050349
"prigrizek","kosilo","related","word","word",0.479897072356605
"aktovka","kovček","related","word","word",0.49566745974375
"iron","kovina","related","word","word",0.148846277384913
"queen","kralj","related","word","word",0.157295080484125
"royal","kraljestvo","related","word","word",0.132749185236565
"vezi","kravata","related","word","word",0.18840368534668
"thief","kriminalec","related","word","word",NA
"nedolžen","kriv","related","word","word",0.531861515582946
"situacija","kriza","related","word","word",0.494642015195011
"brutal","krut","related","word","word",0.370921894777767
"zlo","krutost","related","word","word",0.349305784382908
"cook","kuhar","related","word","word",0.156593611388393
"toplo","kul","related","word","word",0.17178649047319
"prodajalec","kupec","related","word","word",0.571033539890253
"utrujen","lačen","related","word","word",0.553681696797479
"posadka","ladje","related","word","word",0.411842989865321
"lastnina","lastnik","related","word","word",0.495226301584895
"laž","lažnivec","related","word","word",0.392624900373678
"član","leader","related","word","word",0.204746406590057
"mit","legenda","related","word","word",0.452588909665169
"lepa","lepo","related","word","word",0.443072625308187
"čar","lepota","related","word","word",0.346454964841735
"pristanek","let","related","word","word",0.274723655604838
"terminal","letališče","related","word","word",0.379126552538399
"prav","levo","related","word","word",0.104512381072719
"konzervativni","liberalen","related","word","word",0.45946410963283
"tema","light","related","word","word",0.10779858186912
"taksi","limuzina","related","word","word",0.430811596943358
"ming","ling","related","word","word",0.610365670051483
"dragon","lion","related","word","word",0.42703490401763
"umetnost","literatura","related","word","word",0.424969935021258
"suck","lizanje","related","word","word",0.183619624035397
"žaba","lizard","related","word","word",0.22114906643145
"sovraštvo","ljubezen","related","word","word",0.511303836437615
"ljubica","ljubitelj","related","word","word",0.197999237697311
"prebivalstvo","ljudje","related","word","word",0.263593116572272
"kosti","lobanja","related","word","word",0.445775844459818
"kraj","lokacija","related","word","word",0.340621395903993
"regional","lokalno","related","word","word",0.210402072409962
"sledite","lov","related","word","word",0.140122115028834
"lepo","lovely","related","word","word",0.146792764179859
"crack","luknja","related","word","word",0.102050069498757
"pes","mačka","related","word","word",0.46420112077797
"playboy","magazine","related","word","word",0.324790026617675
"malo","majhna","related","word","word",0.239131586444913
"ketchup","majoneza","related","word","word",0.499501654291279
"očka","mama","related","word","word",0.544336750179093
"nadzor","manipulat","related","word","word",NA
"oglaševanje","marketing","related","word","word",0.52499311879681
"honey","maslo","related","word","word",0.171435045885651
"fizika","matematika","related","word","word",0.602676925293019
"trophy","medaljo","related","word","word",0.126724973089116
"artefakt","medaljon","related","word","word",0.377902914003517
"oblak","meglo","related","word","word",0.3751487339414
"technical","mehansko","related","word","word",NA
"trgovina","merchant","related","word","word",0.19445143539779
"kilometer","merilnik","related","word","word",0.199006199479923
"svinjska","meso","related","word","word",0.352828796563014
"glavnega mesta","mesto","related","word","word",NA
"teleskop","microcope","related","word","word",NA
"kamera","microfon","related","word","word",NA
"milijon","milijarde","related","word","word",0.595254572399138
"odpuščanje","milost","related","word","word",0.433584763696291
"veleposlanik","minister","related","word","word",0.455538520448904
"veleposlaništvo","ministrstvo","related","word","word",0.495600089965748
"plus","minus","related","word","word",0.562760851213615
"drugič","minuto","related","word","word",0.0880693354189204
"tih","mirno","related","word","word",0.265588478708172
"razmislek","mirror","related","word","word",0.149362026834183
"revščina","misery","related","word","word",0.110715272262757
"živce","mišice","related","word","word",0.341671951863088
"naloga","misija","related","word","word",0.540839407348636
"starejši","mlajši","related","word","word",0.756684662242866
"star","mlajši","related","word","word",0.374281309384279
"težko","močno","related","word","word",0.251999931853927
"trdno","močno","related","word","word",0.461597844381651
"rjav","modra","related","word","word",0.386404983756137
"žitno","moka","related","word","word",0.209149827585119
"suha","mokra","related","word","word",0.492269938408406
"zaslon","monitor","related","word","word",0.53174668591143
"aspirin","morfij","related","word","word",0.531536552142804
"mercenary","morilec","related","word","word",NA
"marine","mornarica","related","word","word",0.365199692357233
"hotel","motel","related","word","word",0.410681166137162
"prekinitev","motiti","related","word","word",0.18324426861114
"tank","motor","related","word","word",0.421497337268359
"hill","mountain","related","word","word",0.310367504037506
"priložnost","možnost","related","word","word",0.664028986980357
"izbira","možnost","related","word","word",0.298970498492364
"čebela","mravlja","related","word","word",0.437262213897598
"živ","mrtev","related","word","word",0.626827810404106
"mučenje","mučenje","related","word","word",1
"killer","murder","related","word","word",0.396607316170815
"evolution","mutacijo","related","word","word",NA
"knjižnica","muzej","related","word","word",0.312254795251677
"naravno","na splošno","related","word","word",NA
"priprava","načrtovanje","related","word","word",0.440589550086999
"nadaljujte","nadaljujte","related","word","word",1
"zamenjati","nadomestek","related","word","word",0.326703985449342
"glas","naglas","related","word","word",0.623860936692416
"bonus","nagrada","related","word","word",0.332927629353344
"nobel","nagrada","related","word","word",0.175411840925245
"najetih","najem","related","word","word",0.402106748256058
"najemnik","najemodajalec","related","word","word",0.604081572327302
"najstnice","najstnik","related","word","word",0.585242663307978
"iskanje","najti","related","word","word",0.337673264830293
"minimalno","največje","related","word","word",0.172289714451837
"nude","naked","related","word","word",0.3304948064963
"namen","namera","related","word","word",0.446338761682689
"naključno","namerno","related","word","word",0.364593260078864
"invazije","napad","related","word","word",0.436692204168322
"žrtev","napadalec","related","word","word",0.293218552901594
"napaka","napaka","related","word","word",1
"chip","naprava","related","word","word",0.113447924199623
"ukaz","naročilo","related","word","word",0.362060776663145
"bolnik","naročnik","related","word","word",0.312745461301078
"ime","naslov","related","word","word",0.425507683313224
"številka","naslov","related","word","word",0.34727549483823
"sovražnik","nasprotnik","related","word","word",0.56428680096681
"nasprotno","nasprotno","related","word","word",1
"natakar","natakarica","related","word","word",0.702095195830794
"država","nation","related","word","word",0.158261237309167
"inspire","navdih","related","word","word",NA
"ponosni","navdušen","related","word","word",0.317583535304521
"sky","nebeško","related","word","word",0.147545479802331
"vnuk","nečak","related","word","word",0.401796569475987
"samo","nedavno","related","word","word",0.09688717395082
"sobota","nedelja","related","word","word",0.664891166173363
"pozitivno","negativno","related","word","word",0.762268466582589
"nič","nekaj","related","word","word",0.401799512937494
"drugje","nekje","related","word","word",0.373129406248801
"nemočna","nemočen","related","word","word",0.594423092652056
"nenehno","nenehno","related","word","word",1
"nerazumno","neodgovorno","related","word","word",0.47204265170219
"direct","neposredno","related","word","word",0.234660834877122
"ne krivic","nepravičen","related","word","word",NA
"nenadoma","nepričakovano","related","word","word",0.381059990630187
"neudobno","neprijetno","related","word","word",0.639248629325801
"zaskrbljen","nervozno","related","word","word",0.431350841595238
"nezgoda","nesreča","related","word","word",0.620530454828485
"žalostno","nesreča","related","word","word",0.278884431056852
"naiven","neumno","related","word","word",0.361689520174928
"norost","neumnost","related","word","word",0.51197194480719
"tvegano","nevarno","related","word","word",0.60086523396192
"tveganje","nevarnost","related","word","word",0.548102117092269
"impresivno","neverjetno","related","word","word",0.518394467376832
"ženina","nevesta","related","word","word",0.508707359558025
"wind","nevihta","related","word","word",0.133865760974219
"mehko","nežen","related","word","word",0.335565302870279
"anonimno","neznano","related","word","word",0.272892052817617
"nezmožnost","ni mogoče","related","word","word",NA
"košarka","nogomet","related","word","word",0.577763778861315
"zdravo","normalno","related","word","word",0.172646192192328
"usta","nos","related","word","word",0.426532870836834
"rojstvo","nosečnost","related","word","word",0.377911267733922
"zunaj","notranjost","related","word","word",0.29222984167502
"kanal","novice","related","word","word",0.275170424998875
"reporter","novinar","related","word","word",0.592539247915236
"meč","nož","related","word","word",0.530582486691988
"preklinjati","oath","related","word","word",NA
"plaža","obala","related","word","word",0.485501796153221
"chnive","občinstvo","related","word","word",NA
"vtis","občutek","related","word","word",0.399737018684558
"občutljivo","občutljivi","related","word","word",0.703982385137301
"faza","obdobje","related","word","word",0.348446470506715
"običajno","običajno","related","word","word",1
"vsakdanji","običajno","related","word","word",0.298150499635505
"poljub","objem","related","word","word",0.56980402708555
"krilo","obleka","related","word","word",0.28624734097432
"jamstvo","obljuba","related","word","word",0.308509025878716
"hrane","obrok","related","word","word",0.395228292862979
"polmer","obseg","related","word","word",0.445211689012706
"pritožba","obtožbe","related","word","word",0.376128945868878
"privlačen","očarljivo","related","word","word",0.416881314509092
"mati","oče","related","word","word",0.511592707268291
"stric","oče","related","word","word",0.524645312929946
"morje","ocean","related","word","word",0.587960321395283
"očitno","očitno","related","word","word",1
"senzor","oddajnik","related","word","word",0.49662988919081
"odgovor","odgovori","related","word","word",0.663915160560357
"prihod","odhod","related","word","word",0.530080198540602
"pogum","odločnost","related","word","word",0.522355148515016
"mnenje","odnos","related","word","word",0.222221796712629
"dovoljenje","odobritev","related","word","word",0.505931344794569
"uspeh","odpoved","related","word","word",0.218079936425846
"junak","odrešenik","related","word","word",0.29394267729078
"prisotnost","odsotnost","related","word","word",0.689103066742052
"poglavje","odstavek","related","word","word",0.489111029819824
"odstranite","odstrani","related","word","word",0.776583337245252
"odstopi","odvrnitev","related","word","word",0.222118140337103
"desk","office","related","word","word",0.148130849032612
"umazano","ogabno","related","word","word",0.526766826776513
"zid","ograja","related","word","word",0.399477627996329
"ring","ogrlica","related","word","word",0.112468391703376
"big","ogromen","related","word","word",0.243431686348938
"ohraniti","ohranite","related","word","word",0.636107873150132
"premoga","oil","related","word","word",0.295286023923864
"shield","oklep","related","word","word",0.20277562740384
"kroga","okoli","related","word","word",0.239758831310757
"september","oktober","related","word","word",0.579477363423276
"virus","okužbe","related","word","word",0.463854538781049
"krema","omaka","related","word","word",0.450218584227807
"kabinet","omara","related","word","word",0.341496713320715
"delujejo","operacija","related","word","word",0.16205997731827
"profil","opis","related","word","word",0.431528554955646
"koncept","opredelitev","related","word","word",0.284273675670881
"oprema","opremiti","related","word","word",0.388843720184918
"oprostite","oprostite","related","word","word",1
"zelena","orange","related","word","word",0.146904877698321
"planet","orbit","related","word","word",0.348610549439702
"pristojnost","organ","related","word","word",0.188662019115908
"uradite","organizirajte","related","word","word",NA
"steal","orožje","related","word","word",0.112444993029896
"pistol","orožje","related","word","word",0.127926102464819
"sam","osamljen","related","word","word",0.411899670628791
"znak","osebnost","related","word","word",0.101859869783396
"focus","osredotočiti","related","word","word",0.101393041683762
"ostanite","ostanite","related","word","word",1
"dvom","osumljenca","related","word","word",0.16496390255416
"svež","osveži","related","word","word",0.417855116002082
"baby","otrok","related","word","word",0.161173655725156
"mladi","otroštvo","related","word","word",0.213527458524962
"točka","označuje","related","word","word",0.232815384223389
"ovojnico","paket","related","word","word",0.332349927690092
"s prstom","palec","related","word","word",NA
"kabina","paluba","related","word","word",0.530830518815188
"krompir","paradižnik","related","word","word",0.554542904620797
"nadnaravno","paranormal","related","word","word",NA
"šminka","parfum","related","word","word",0.38824197355548
"stražar","patrol","related","word","word",0.22871303569422
"vagina","penis","related","word","word",0.459462144383619
"idealno","perfect","related","word","word",0.158657448475453
"papir","pero","related","word","word",0.363761087782802
"pogled","perspektiva","related","word","word",0.286612414756832
"album","pesem","related","word","word",0.392000497465353
"besedilo","pesem","related","word","word",0.469669298648623
"trezen","pijan","related","word","word",0.506492525812045
"astronavt","pilot","related","word","word",0.441270491060484
"branje","pisanje","related","word","word",0.632010195322437
"pesnik","pisatelj","related","word","word",0.611868748210333
"rifle","pištolo","related","word","word",0.114445515172868
"pijača","pivo","related","word","word",0.440590357068486
"penzion","plače","related","word","word",0.245559461838807
"ogenj","plamen","related","word","word",0.65088113224254
"cement","plastic","related","word","word",0.287918214092426
"bowl","plate","related","word","word",0.339568708996963
"utonil","plavati","related","word","word",0.420098371673401
"plen","plenilec","related","word","word",0.549089474749415
"plesalec","ples","related","word","word",0.540106194168552
"poleti","pobeg","related","word","word",0.0898287323476726
"drago","poceni","related","word","word",0.407476928522687
"božič","počitnice","related","word","word",0.389270577660624
"dediščina","podedovano","related","word","word",0.348030379436312
"miška","podgana","related","word","word",0.383943242384902
"žig","podpis","related","word","word",0.415022121250313
"včasih","pogosto","related","word","word",0.435802503110701
"krsto","pogreb","related","word","word",0.397251012246463
"wc","point","related","word","word",0.134387899312478
"vnesite","pojdi","related","word","word",0.308660045206343
"iger na srečo","poker","related","word","word",NA
"grob","pokopališče","related","word","word",0.506067905237028
"polnoči","poldneva","related","word","word",0.489138110965592
"kritično","politično","related","word","word",0.555354580102566
"politika","politik","related","word","word",0.593700228299233
"novinarstvo","politika","related","word","word",0.321395258058093
"general","polkovnik","related","word","word",0.612403094276261
"prazno","poln","related","word","word",0.267052229360421
"stanje","položaj","related","word","word",0.429521785458012
"dragocena","pomembno","related","word","word",0.33339962049573
"pomeni","pomembnost","related","word","word",0.182572777904656
"nesrečen","pomilovanja vreden","related","word","word",NA
"pomoč","pomoč","related","word","word",1
"podpora","pomoč","related","word","word",0.432386931803292
"sekretar","pomočnik","related","word","word",0.323262837052683
"skupaj","popoln","related","word","word",0.149120410594056
"popolnoma","popolnoma","related","word","word",1
"popravi","popravilo","related","word","word",0.720632930098566
"odpadki","porabite","related","word","word",0.155115242298492
"victory","poraz","related","word","word",0.11423402069999
"sam","poročen","related","word","word",0.234502661686954
"narednik","poročnik","related","word","word",0.660319664381916
"ločitev","poroka","related","word","word",0.456071305382434
"zagotavljanje","poroka","related","word","word",0.176330280514863
"oseba","posameznika","related","word","word",0.284721380357948
"rana","poškodbe","related","word","word",0.351135416395273
"poskusite","poskus","related","word","word",0.241033520902012
"prinesi","pošlji","related","word","word",0.43374713135047
"industrija","poslovanje","related","word","word",0.303499203175674
"poslušaj","poslušajte","related","word","word",0.685865062350339
"kredit","posojilo","related","word","word",0.581164294472242
"platforma","postaja","related","word","word",0.196431565730306
