"sl_target","sl_cue","sl_fake_cue","sl_fake_target","en_cue","en_target"
"cenim","občudovati","obriccardovati","cesco","admire","appreciate"
"centimeter","mile","miran","obljutimeter","mile","centimeter"
"cepivo","antidote","antibljajte","strupivo","antidote","vaccine"
"cerebral","možgani","mosluhni","cererett","brain","cerebral"
"cesar","imperial","imperialbuquerque","cenij","imperial","emperor"
"četrtič","tretjič","trechit","četrdnem","third","fourth"
"četrtina","polovica","polobljenca","čeobjektina","half","quarter"
"čevelj","boot","botih","četraj","boot","shoe"
"cevi","črpalka","črdricka","strvi","pump","hose"
"champagne","vino","vitev","osmipagne","wine","champagne"
"cheek","ustnice","vljince","direk","lip","cheek"
"cheese","kruh","kral","ugraese","bread","cheese"
"christian","katoliška","katolistjem","učinstian","catholic","christian"
"cigar","dim","pem","cistu","smoke","cigar"
"cigareta","tobak","tokre","cigareynold","tobacco","cigarette"
"ciničen","naiven","naibach","cinišnič","naive","cynical"
"cirkus","živalski vrt","živalskivljic","cirlic","zoo","circus"
"civilizacija","kultura","oprotura","civilizacijacquart","culture","civilization"
"classic","tipično","tisnjeno","clasšce","typical","classic"
"človek","človek","zvivek","člotaš","man","human"
"cognac","rum","avm","cogurd","rum","cognac"
"čokolada","sladkor","sladpah","igralkolada","sugar","chocolate"
"čoln","podmornica","podključnica","čorp","submarine","boat"
"cona","območje","obmoštvo","coske","area","zone"
"corporation","podjetje","podjemnik","graysoporation","company","corporation"
"corpse","body","borom","tyrise","body","corpse"
"crazy","paranoid","paranostnež","spazy","paranoid","crazy"
"črka","telegram","teletjih","zlika","telegram","letter"
"črna","bela","bezni","pačna","white","black"
"čudno","nenavadno","nenavabljen","čusta","unusual","strange"
"čustveno","duševno","dukončno","čuvščino","mental","emotional"
"cut","trgati","tridenti","iht","tear","cut"
"cvet","rastlina","rapravna","lset","plant","flower"
"da","ponudba","pobrazba","čr","offer","give"
"daljno","v bližini","kdajižini","vzleno","near","far"
"dama","gospod","gogred","dalju","lord","lady"
"darilo","kompliment","komplišnjo","daristič","compliment","gift"
"debela","tark","taop","dešljala","thin","thick"
"decade","century","knjitury","princade","century","decade"
"december","november","novemstne","decemstne","november","december"
"dejavnost","aktivna","akpljena","dejavskih","active","activity"
"dekleta","fantje","obetje","dezrihta","boys","girls"
"delavec","farmer","zvomer","delastno","farmer","worker"
"delce","materija","mateukvarja","plice","matter","particle"
"delo","job","omb","detek","job","work"
"delujoč","operativno","operabljenno","deluškan","operational","functional"
"demokracijo","svoboda","zgraboda","ustvarmokracijo","freedom","democracy"
"demonstracija","protest","prokser","demonstraustvarja","protest","demonstration"
"denar","cash","cašču","desil","cash","money"
"denarnica","žep","arp","deključnica","pocket","wallet"
"depresija","stres","veres","desmondsija","stress","depression"
"destiny","usoda","vzada","deypenny","fate","destiny"
"detektiv","agent","uhent","detekmann","agent","detective"
"die","trpeti","trusmrti","ize","suffer","die"
"ding","ping","pišu","dige","ping","ding"
"diplomant","diploma","ditravma","diplocock","diploma","graduate"
"direktorica","proizvajalec","proifowlerjalec","ustvarrektorica","producer","director"
"diskusija","pogovor","pogodnji","diskulutherja","conversation","discussion"
"district","county","counskim","disfling","county","district"
"division","enota","ščeta","diviraccoon","unit","division"
"do","make","magaj","ff","make","do"
"dodatno","dodatno","dodanjim","dodanjim","extra","additional"
"dogaja","pojavijo","ukvarjavijo","dostojja","occur","happen"
"dogodek","pojav","pozij","dogostom","phenomenon","event"
"dohodek","dobiček","dobiznis","dohovost","profit","income"
"dokaz","dokaze","dokašlja","donov","evidence","proof"
"dokument","mapa","magen","dokustos","file","document"
"dolar","funt","fugo","dodes","pound","dollar"
"dolga","kratek","krajin","chiga","short","long"
"dolina","puščava","puglejva","dojenčna","desert","valley"
"dolžina","velikost","velitrov","brezžina","size","length"
"dolžnost","odgovornost","odgovorvljen","dolstnih","responsibility","duty"
"donacija","dobrodelnost","dobrodelvljen","obravnacija","charity","donation"
"dostojanstvo","ponos","pokve","dostojanvljen","pride","dignity"
"dovolj","dovolj","doclje","dokall","enough","sufficient"
"dragulj","diamant","diatlon","draškaj","diamond","jewel"
"draw","paint","pagis","drfy","paint","draw"
"dream","nočna mora","nočna mgmund","ugoam","nightmare","dream"
"drevo","bush","bujaj","plovo","bush","tree"
"drugačen","podobno","pospreno","drugastva","similar","different"
"družina","klan","raan","osvežina","clan","family"
"država","federal","fedeklet","drdljiva","federal","state"
"duck","goos","govem","dunu","goose","duck"
"duhovnik","monk","mome","duzračnik","monk","priest"
"dusty","rusty","rukač","dujec","rusty","dusty"
"dynamite","pušnica","puhastca","cratmite","gunpowder","dynamite"
"east","zahod","zabin","afst","west","east"
"easy","nemogoče","nemovključe","pizsy","impossible","easy"
"edinstven","poseben","posednja","zdrostven","special","unique"
"ekipa","liga","bolga","pinpa","league","team"
"eksplodira","izbruh","izkrov","eksplodivščin","burst","explode"
"eksplozije","potres","povrov","ekabruzzije","earthquake","explosion"
"eksplozivno","bomba","zlaba","eksploastrono","bomb","explosive"
"eleganten","modna","močim","elespreten","fashionable","elegant"
"elektric","magnetno","maokrutno","eleksoft","magnetic","electric"
"elektrika","tok","rhk","elekzmanjka","current","electricity"
"element","factor","čtitor","stiment","factor","element"
"empire","dynasty","dynatrov","empiščal","dynasty","empire"
"energija","power","ponii","zglegija","power","energy"
"enostavo","preprosto","preprotnih","enočljivo","simply","simple"
"entrepreneur","millionaire","ustvarlionaire","entreprenedžment","millionaire","entrepreneur"
"epidemija","kuga","kusen","astrodemija","plague","epidemic"
"epizoda","serija","sestanja","astrozoda","series","episode"
"erekcijo","orgazem","organjač","omarcijo","orgasm","erection"
"express","opišite","slajšite","expršes","describe","express"
"faks","mail","mažno","faij","mail","fax"
"false","lažne","laker","dečse","fake","FALSE"
"fant","dekle","delij","faek","girl","boy"
"fantastično","čudovito","čudoscranto","fantaknjenno","wonderful","fantastic"
"fantasy","realnost","realways","skritasy","reality","fantasy"
"federacija","kolonija","kozdravnija","ustvarderacija","colony","federation"
"festival","karneval","dnevneval","feobarval","carnival","festival"
"film","porn","pott","fify","porn","movie"
"financial","bančništvo","bančnitelj","financialbuquerque","banking","financial"
"financiranje","finančno","fiogabno","financirastwood","financially","financing"
"financiranje","proračun","proraskat","financirastwood","budget","funding"
"finish","konec","kotle","finiffer","end","finish"
"fizično","spolno","hvalno","filjavno","sexual","physical"
"flota","naval","nasom","šteta","naval","fleet"
"fluid","tekočina","tekoobravna","kdoid","liquid","fluid"
"fly","zemljišče","zeoprošče","upy","land","fly"
"foto","slika","valka","brito","picture","photo"
"fotograf","avtogram","avtošnja","fotocent","autograph","photographer"
"francozi","angleščina","angležnjevna","ustacozi","english","french"
"freeze","talt","tany","oblieze","melt","freeze"
"galaksija","universe","uniphonse","galarickyja","universe","galaxy"
"garaža","delavnica","deoskrunica","garastli","workshop","garage"
"gay","lezbijka","trajbijka","wdy","lesbian","gay"
"geslo","koda","sanda","gešne","code","password"
"glasba","jazz","jamb","agraba","jazz","music"
"glasbenik","singer","sinsna","strubenik","singer","musician"
"glasuj","večina","oblačina","glavru","majority","vote"
"gledališče","kino","rabno","zmanjdališče","cinema","theater"
"global","national","natiobljen","gloksa","national","global"
"gluh","slep","reep","glob","blind","deaf"
"goljufije","zarota","zaatenta","goastrofije","conspiracy","fraud"
"gor","dol","nal","eir","down","up"
"gorila","opica","ranca","stvarila","monkey","gorilla"
"gorivo","gas","rps","goriščaj","gas","fuel"
"govoriti","pogovor","pogodnji","govoatlanti","talk","speak"
"gozd","jungle","amygle","gokl","jungle","forest"
"grad","palača","palavske","nead","palace","castle"
"graditi","gradnja","grasnil","sploditi","construction","build"
"gram","kilogram","kilovšči","grin","kilo","gram"
"grda","diving","dinišč","selda","digusting","ugly"
"grk","roman","rotne","etk","roman","greek"
"grmenje","lightning","lighknjam","grmestni","lightning","thunder"
"grofic","baron","bamal","grobrn","baron","countess"
"grozljivo","strašljivo","strasprevo","grosprevo","scary","creepy"
"grozno","grozno","grosel","pulzno","terrible","horrible"
"guitar","klavir","klaroj","guigric","piano","guitar"
"halucinacija","iluzija","strezija","halucinacijacquart","illusion","hallucination"
"hamburger","sandwich","burdwich","agenburger","sandwich","hamburger"
"hammer","stick","črick","bunmer","stick","hammer"
"harmonija","ravnovesje","ravnostnihje","oglejmonija","balance","harmony"
"heal","obnoviti","skrivnoviti","herov","recover","heal"
"helikopter","ambulance","ambustrelce","helisplinter","ambulance","helicopter"
"hell","raj","enj","heyd","paradise","hell"
"heroin","kokain","kokastri","herostjo","cocaine","heroin"
"high","nizka","počka","hiway","low","high"
"hitro","počasi","počanjem","hireš","slow","fast"
"hitro","počasi","počanjem","hireš","slowly","quickly"
"hitrost","razdalja","skladalja","hitlett","distance","speed"
"hiv","aids","aibi","rav","aids","hiv"
"hladno","vroče","zmrče","berdno","hot","cold"
"hoje","run","orn","zneje","run","walk"
"hraniti","hold","hone","kljuniti","hold","keep"
"hudič","angel","anvan","hupje","angel","devil"
"hvala","hvaležen","učinležen","ptila","grateful","thank"
"hvaležnost","gostoljubnost","gostoskrajnost","hvalestown","hospitality","gratitude"
"igra","igra","zura","zura","play","game"
"igrače","lutka","kerka","pljače","doll","toy"
"igralec","avtor","avvil","splalec","author","actor"
"igralec","trener","trevan","splalec","coach","player"
"impress","laska","ladel","imggers","flatter","impress"
"inform","poročilo","poroastrolo","indrov","report","inform"
"informacije","podatki","pomenčki","instinktmacije","data","information"
"informator","vir","lor","informaknjen","source","informant"
"injection","odmerek","odmeglje","otheltion","dose","injection"
"inšpekcija","pregled","prečjem","indljivcija","examination","inspection"
"instrument","orodje","srajje","instrušnjo","tool","instrument"
"inteligentno","smart","udart","inteligendricks","smart","intelligent"
"intimate","osebna","hstana","inapartmate","personal","intimate"
"intuition","nagon","nanes","beckettuition","instinct","intuition"
"investirajte","finance","fistrice","inverovzhorajte","finance","invest"
"investitor","banker","porker","investisnjen","banker","investor"
"ironična","ironija","psičnija","maxinična","irony","ironic"
"izberite","izberite","izustvarite","izustvarite","choose","select"
"izboljšava","spremeni","plazmeni","izstrelšava","change","improvement"
"izdajalec","spy","ary","izdajaznost","spy","traitor"
"izdelek","brand","brzod","izdeskar","brand","product"
"izginotje","smrt","errt","izginodnost","death","disappearance"
"izid","rezultat","rezulcher","bloid","result","outcome"
"izjava","komentar","komenščen","tvarjava","comment","statement"
"izjemno","izjemno","izjevski","izjevski","exceptional","remarkable"
"izobraževanje","zdravje","zkrižje","izobraževatrazvok","health","education"
"izračunajte","count","coščo","izračuprezrite","count","calculate"
"izsiljevanje","podkupnine","podkuskrajne","izsixsmithvanje","bribe","blackmail"
"izvedba","obešanje","krajšanje","izokužba","hanging","execution"
"izvedba","pokaži","pozdruži","izokužba","show","performance"
"izziv","ovir","ovrl","izvra","obstacle","challenge"
"ja","v redu","femedu","čr","okay","yeah"
"jagoda","banana","bapljena","spregoda","banana","strawberry"
"jajce","gnezda","obrzda","snoce","nest","egg"
"jakna","majica","macevtca","jacai","shirt","jacket"
"jastog","tuna","tuber","javžig","tuna","lobster"
"jedry","atomsko","abrasko","jehuo","atomic","nuclear"
"jeklo","betonk","bekord","jesha","concrete","steel"
"jesen","pomlad","poblin","jedal","spring","autumn"
"jesti","feed","feniš","jedav","feed","eat"
"jetra","kidy","kineš","jevit","kidney","liver"
"jezen","ljubosumna","ljubosustvom","jevit","jealous","angry"
"jezero","reka","dnika","jezemlju","river","lake"
"juliet","romeo","roslm","julisnih","romeo","juliet"
"julij","junij","jukes","jukle","june","july"
"jump","vzpenjati se","ostronjati se","juil","climb","jump"
"kakovost","količina","koliobravna","kakostim","quantity","quality"
"kamen","rock","roal","kanjo","rock","stone"
"kampiranje","piknik","pibris","strelpiranje","picnic","camping"
"kapela","cerkev","cerbir","strupela","church","chapel"
"kapitalizem","anarhija","ostuhija","kapitalistnost","anarchy","capitalism"
"kapitan","poveljnik","postvenik","kapiljev","commander","captain"
"kartel","mafija","matvarja","dletel","mafia","cartel"
"kava","pokal","polin","njeva","cup","coffee"
"kavboj","rodeo","rourt","kavzla","rodeo","cowboy"
"kdaj","nikoli","kratkoli","efaj","never","ever"
"kip","spomenik","spomeljev","olp","monument","statue"
"kisik","zrak","olak","kiart","air","oxygen"
"klinika","bolnišnica","bolnistrelca","spalnika","hospital","clinic"
"klobuk","čelada","čelažniv","kloznu","helmet","hat"
"kolena","ramo","ranja","kostična","shoulder","knee"
"kombi","trailer","hardler","stabi","trailer","van"
"komedija","drama","verma","sprejmedija","drama","comedy"
"komisar","inšpektor","indvajtor","komižnem","inspector","commissioner"
"komite","provizija","ognjevizija","komišlja","commission","committee"
"komunikacija","navigacija","nagnjenjgacija","komunikacijacquart","navigation","communication"
"komunist","rasist","ravent","komustan","racist","communist"
"koncert","tour","tovil","konyard","tour","concert"
"konj","donkey","donria","kodr","donkey","horse"
"kopalnica","tuš","voš","kostrojnica","shower","bathroom"
"kopirati","original","spodginal","kostrelrati","original","copy"
"kos","drobec","dromom","yas","fragment","piece"
"kosilo","prigrizek","prigriščal","kopljelo","snack","lunch"
"kovček","aktovka","akdarhka","rirček","briefcase","suitcase"
"kovina","iron","okon","kobljena","iron","metal"
"kralj","queen","ekien","lualj","queen","king"
"kraljestvo","royal","rowie","kraljenost","royal","kingdom"
"kravata","vezi","velju","mljivata","bind","tie"
"kriminalec","thief","pfeef","kriminashvil","thief","criminal"
"kriv","nedolžen","nesljižen","kraz","innocent","guilty"
"kriza","situacija","beckettuacija","cheza","situation","crisis"
"krut","brutal","spatal","luut","brutal","cruel"
"krutost","zlo","peo","ototost","evil","cruelty"
"kuhar","cook","cočaš","kucje","cook","chef"
"kul","toplo","togis","ahl","warm","cool"
"kupec","prodajalec","prodajaznost","kusna","seller","buyer"
"lačen","utrujen","igrajen","lafle","tired","hungry"
"ladje","posadka","požnivka","štoje","crew","ship"
"lastnik","lastnina","lajajčna","ladljiv","property","owner"
"lažnivec","laž","orž","lažnistva","lie","liar"
"leader","član","ltan","leatral","member","leader"
"legenda","mit","oft","lecharda","myth","legend"
"lepo","lepa","leste","leben","pretty","beautiful"
"lepota","čar","eir","lepomemb","charm","beauty"
"let","pristanek","pristaštva","int","landing","flight"
"letališče","terminal","oglaminal","letalidnost","terminal","airport"
"levo","prav","pryc","lepiš","right","left"
"liberalen","konzervativni","konzervaobrambni","liberadford","conservative","liberal"
"light","tema","telje","lišči","darkness","light"
"limuzina","taksi","tajač","likšnemzina","taxi","limousine"
"ling","ming","mige","lišu","ming","ling"
"lion","dragon","drarit","litik","dragon","lion"
"literatura","umetnost","rantnost","litebeckettura","art","literature"
"lizanje","suck","sual","lizahval","suck","lick"
"lizard","žaba","žalje","lifeld","frog","lizard"
"ljubezen","sovraštvo","sovratnik","ljubestim","hate","love"
"ljubitelj","ljubica","strebica","ljubiškem","mistress","lover"
"ljudje","prebivalstvo","prebivalkyrie","ljulay","population","people"
"lobanja","kosti","kolum","lobavišč","bone","skull"
"lokacija","kraj","krrs","igračkacija","place","location"
"lokalno","regional","regiobljen","loljubno","regional","local"
"lov","sledite","opradite","tav","follow","chase"
"lovely","lepo","lenic","loveščaj","nice","lovely"
"luknja","crack","spack","luzenj","crack","hole"
"mačka","pes","ons","skika","dog","cat"
"magazine","playboy","playnay","magaključne","playboy","magazine"
"majhna","malo","magne","znajna","little","small"
"majoneza","ketchup","ketcprov","maskrajneza","ketchup","mayonnaise"
"mama","očka","gavka","masle","daddy","mum"
"manipulat","nadzor","nadggs","manipuvščin","control","manipulate"
"marketing","oglaševanje","ustreševanje","markeskom","advertising","marketing"
"maslo","honey","hovat","madir","honey","butter"
"matematika","fizika","fiprečka","stockholmatematika","physics","mathematics"
"medaljo","trophy","trodač","medatnim","trophy","medal"
"medaljon","artefakt","artesleč","medacott","artifact","medallion"
"meglo","oblak","dulak","merad","cloud","fog"
"mehansko","technical","technižnost","meazijsko","technical","mechanical"
"merchant","trgovina","trgoobravna","merfgang","commercial","merchant"
"merilnik","kilometer","kilomeghann","mestvenik","kilometer","meter"
"meso","svinjska","stlinska","metni","pork","meat"
"mesto","glavnega mesta","glavnega mchcock","melin","capital","city"
"microcope","teleskop","telefort","mifflincope","telescope","microscope"
"microfon","kamera","spremera","microrick","camera","microphone"
"milijarde","milijon","miligneš","milikšnemde","million","billion"
"milost","odpuščanje","odpuoskrunje","mistit","forgiveness","mercy"
"minister","veleposlanik","veleposlastwood","miniških","ambassador","minister"
"ministrstvo","veleposlaništvo","veleposlanigraphic","ministrpnost","embassy","ministry"
"minus","plus","tius","miple","plus","minus"
"minuto","drugič","drucrt","mikvanto","second","minute"
"mirno","tih","lch","gačno","quiet","calm"
"mirror","razmislek","razmirenc","mirdišč","reflection","mirror"
"misery","revščina","resnejna","migest","poverty","misery"
"mišice","živce","grice","midrobce","nerve","muscle"
"misija","naloga","nastnega","mišljaja","task","mission"
"mlajši","starejši","staljubši","uganši","senior","junior"
"mlajši","star","črar","uganši","old","young"
"močno","težko","čajko","vdino","heavy","heavily"
"močno","trdno","trtle","vdino","firmly","strongly"
"modra","rjav","vlav","močeš","brown","blue"
"moka","žitno","žigaš","tarka","grain","flour"
"mokra","suha","oprha","motos","dry","wet"
"monitor","zaslon","zafren","moniškem","screen","monitor"
"morfij","aspirin","aspivel","mortou","aspirin","morphine"
"morilec","mercenary","vljincenary","morichar","mercenary","assassin"
"mornarica","marine","mabljene","ključnarica","marine","navy"
"motel","hotel","hodne","močiš","hotel","motel"
"motiti","prekinitev","prekinižnost","movljati","interrupt","disturb"
"motor","tank","tary","movil","tank","engine"
"mountain","hill","hick","mountavljal","hill","mountain"
"možnost","priložnost","priložljiv","možganč","chance","possibility"
"možnost","izbira","izkljura","možganč","choice","option"
"mravlja","čebela","gradbela","camvlja","bee","ant"
"mrtev","živ","jav","mrzne","alive","dead"
"mučenje","mučenje","mučevelj","mučevelj","torment","torture"
"murder","killer","pasler","murčim","killer","murderer"
"mutacijo","evolution","ogljilution","muzljivcijo","evolution","mutation"
"muzej","knjižnica","zvezžnica","muurt","library","museum"
"na splošno","naravno","nastično","na spllaxy","naturally","generally"
"načrtovanje","priprava","primljiva","načrtovastwood","preparation","planning"
"nadaljujte","nadaljujte","nadastinkte","nadaatlante","proceed","continue"
"nadomestek","zamenjati","zamestripti","nadomešljiv","replace","substitute"
"naglas","glas","njas","nawers","voice","accent"
"nagrada","bonus","bogne","nazvezda","bonus","reward"
"nagrada","nobel","noson","nazvezda","nobel","prize"
"najem","najetih","najeklen","nazar","hire","rent"
"najemodajalec","najemnik","najegral","najemodajatrazvok","tenant","landlord"
"najstnik","najstnice","najdrobce","najstrož","teenage","teenager"
"najti","iskanje","iskastri","vorti","search","find"
"največje","minimalno","miništvomno","najveknil","minimum","maximum"
"naked","nude","alade","načle","nude","naked"
"namera","namen","napot","nastrira","purpose","intention"
"namerno","naključno","naastrono","nasnično","accidentally","intentionally"
"napad","invazije","invabljenje","našit","invasion","attack"
"napadalec","žrtev","žrral","napadagwood","victim","attacker"
"napaka","napaka","našminka","našminka","error","mistake"
"naprava","chip","chei","namljiva","chip","device"
"naročilo","ukaz","špaz","naroastrolo","command","order"
"naročnik","bolnik","pernik","nastranik","patient","client"
"naslov","ime","ple","naklet","name","title"
"naslov","številka","štežgečka","naklet","number","address"
"nasprotnik","sovražnik","sovrastal","nasproščam","enemy","opponent"
"nasprotno","nasprotno","navzletno","nakvantno","opposite","contrary"
"natakarica","natakar","natablet","naognjenkarica","waiter","waitress"
"nation","država","drdljiva","natiskem","country","nation"
"navdih","inspire","infarkre","navkaš","inspire","inspiration"
"navdušen","ponosni","ponovlje","navdustri","proud","excited"
"nebeško","sky","asy","nebeglih","sky","heavenly"
"nečak","vnuk","nluk","nezic","grandson","nephew"
"nedavno","samo","premo","neznjeno","just","recently"
"nedelja","sobota","kljubota","nedewald","Saturday","Sunday"
"negativno","pozitivno","poziključno","negagrantno","positive","negative"
"nekaj","nič","ršč","nesna","nothing","something"
"nekje","drugje","druleg","neved","elsewhere","somewhere"
"nemočen","nemočna","negljena","nemoljub","helpless","powerless"
"nenehno","nenehno","nespalno","nekoncno","always","constantly"
"neodgovorno","nerazumno","nerazubljen","neodgograysono","unreasonable","irresponsible"
"neposredno","direct","dišcev","nepoljubčdno","direct","directly"
"nepravičen","ne krivic","ne krmjan","nepravidnost","injustice","unfair"
"nepričakovano","nenadoma","nenaapartma","hawthornepričakovano","suddenly","unexpectedly"
"neprijetno","neudobno","neupljivno","neprijemljiv","uncomfortable","unpleasant"
"nervozno","zaskrbljen","zaskrstvom","spolvozno","worried","nervous"
"nesreča","nezgoda","neobrzda","nedeljča","incident","accident"
"nesreča","žalostno","žalograf","nedeljča","unfortunate","misfortune"
"neumno","naiven","naibach","neunjih","naïve","stupid"
"neumnost","norost","nosnet","neusnjen","madness","stupidity"
"nevarno","tvegano","znangano","nebljeno","risky","dangerous"
"nevarnost","tveganje","znanganje","nevarstve","risk","danger"
"neverjetno","impresivno","impreključno","neverjemljiv","impressive","amazing"
"nevesta","ženina","žebljena","nevedenj","groom","bride"
"nevihta","wind","abnd","nedranta","wind","storm"
"nežen","mehko","trako","nerys","soft","gentle"
"neznano","anonimno","skrbnimno","nevščino","anonymous","unknown"
"ni mogoče","nezmožnost","nezmostnih","ni mogvljar","inability","unable"
"nogomet","košarka","koprička","nogošnje","basketball","football"
"normalno","zdravo","tljavo","norsnično","healthy","normal"
"nos","usta","uslu","rts","mouth","nose"
"nosečnost","rojstvo","filstvo","nosečskih","birth","pregnancy"
"notranjost","zunaj","zuziš","notrafford","outside","inside"
"novice","kanal","kapni","novidlji","channel","news"
"novinar","reporter","rednihter","noviljem","reporter","journalist"
"nož","meč","ašč","liž","sword","knife"
"oath","preklinjati","preklistripti","mirth","swear","oath"
"obala","plaža","mneža","znela","beach","coast"
"občinstvo","chnive","niščnive","občintnih","crowd","audience"
"občutek","vtis","ksis","občudnih","impression","feeling"
"občutljivi","občutljivo","občujeffovo","vključutljivi","delicate","sensitive"
"obdobje","faza","fanje","obdoping","phase","period"
"običajno","običajno","obidnevno","obidnevno","normally","usually"
"običajno","vsakdanji","briddanji","obidnevno","ordinary","usual"
"objem","poljub","požnju","obdar","kiss","hug"
"obleka","krilo","ekolo","klenka","skirt","dress"
"obljuba","jamstvo","činstvo","zmanjba","guarantee","promise"
"obrok","hrane","gibne","hirok","food","meal"
"obseg","polmer","poldru","obhim","radius","perimeter"
"obtožbe","pritožba","prispevba","oboskrbe","complaint","accusation"
"očarljivo","privlačen","privladlji","palčljivo","attractive","charming"
"oče","mati","stiti","ype","mother","father"
"oče","stric","horic","ype","uncle","dad"
"ocean","morje","skuje","blian","sea","ocean"
"očitno","očitno","očigle","taktno","clearly","obviously"
"oddajnik","senzor","senpin","odskrbnik","sensor","transmitter"
"odgovori","odgovor","odgodnji","odstrelvori","answer","reply"
"odhod","prihod","prippy","odmah","arrival","departure"
"odločnost","pogum","poxby","odločskih","courage","determination"
"odnos","mnenje","mnevah","odman","opinion","attitude"
"odobritev","dovoljenje","dovoljestvih","ukrebritev","permission","approval"
"odpoved","uspeh","usmuh","odpokost","success","failure"
"odrešenik","junak","jufie","odrešemljen","hero","savior"
"odsotnost","prisotnost","prisobljen","odsobljen","presence","absence"
"odstavek","poglavje","poorozje","odstanjaš","section","paragraph"
"odstrani","odstranite","odključnite","odvljeni","eliminate","remove"
"odvrnitev","odstopi","odpravpi","odvrnižnost","resignation","dismissal"
"office","desk","deee","aprice","desk","office"
"ogabno","umazano","sklezano","opolno","dirty","disgusting"
"ograja","zid","eud","čmarja","wall","fence"
"ogrlica","ring","riza","kletlica","ring","necklace"
