"hi_cue","hi_target","hi_fake_target","hi_fake_cue","en_cue","en_target"
"एक","तीन","ऍथन","ow","one","three"
"एक","विवाहित","विएन०ए०","ow","single","married"
"एजेंट","जासूसी","य२सूसी","एजघमट","agent","detective"
"एड्स","hiv","२७v","एडऍब","aids","hiv"
"एल्बम","गीत","मॱत","एलर ह","album","song"
"एश","धूल","høल","ठए","ash","dust"
"एस्पिरिन","अफ़ीम का सत्त्व","अफ़ीम शaddition","एस्तajay","aspirin","morphine"
"एहसास","समझ गए","समझणड०४","एहडएक","realize","understand"
"ऑर्केस्ट्रा","बैंड","बैजफ","ऑर्कधpardhi","orchestra","band"
"ओगाज़्म","निर्माण","नितajay","ओगयbill","orgasm","erection"
"ओंठ","गाल","xjल","हóठ","lip","cheek"
"ओवन","स्टोव","४वटोव","फएन","oven","stove"
"कक्ष","शयनकक्ष","शयनकष०पर०","ककyg","room","bedroom"
"कक्ष","कारागार","कातpppp","ककyg","cell","prison"
"कक्षा","स्कूल","स्लथल","ककशसा","class","school"
"कचरा","कचरा","कचअई","कच४ज","trash","garbage"
"कटोरा","प्लेट","کوलेट","कटजया","bowl","plate"
"कठोर","मुश्किल","मुआर०ए०","कठञई","tough","hard"
"कदम","स्थानांतरण","स्थायmayur","लमम","move","transfer"
"कंधा","घुटना","टमटना","वऊधा","shoulder","knee"
"कप","कॉफ़ी","pjफ़ी","षम","cup","coffee"
"कपड़ा","रूमाल","चळमाल","कपनया","cloth","handkerchief"
"कंपनी","निगम","آئगम","بیपनी","company","corporation"
"कंबल","तौलिया","ઈસलिया","پرबल","blanket","towel"
"कभी - कभी","अक्सर","अककइव","कभज०म०म०","sometimes","often"
"कभी - कभी","शायद ही कभी","शायदधpardhi","कभज०म०म०","occasionally","rarely"
"कभी नहीँ","कभी","वखी","कभयmayur","never","ever"
"कम","उच्च","उचस२","षठ","low","high"
"कम","अपर","paर","षठ","lower","upper"
"कम","लंबा","ہےबा","षठ","short","long"
"कम समझना","अतिरंजना करना","अतिरंजधpardhi","कम 	ससकत","underestimate","exaggerate"
"कमांडर","कप्तान","कपअलइन","कमच०ड०","commander","captain"
"कमीज","जैकेट","औणकेट","कमऔई","shirt","jacket"
"करोड़पति","उद्यमी","उदहममद","करोष०पर०","millionaire","entrepreneur"
"कर्मी दल","समुंद्री जहाज","समुंदधpardhi","कर्ष०पर०","crew","ship"
"कला","साहित्य","सायbill","सरा","art","literature"
"कलाकार","चित्रकार","चितआर०ए०","कल	जमम","artist","painter"
"कलेक्ट","इकट्ठा करना","इकट्ठतsunil","कलय		क","collect","gather"
"कल्पना","रचनात्मकता","रचनातयmayur","कलस हग","imagination","creativity"
"कल्पित कथा","दंतकथा","दंत एक","कल्पतsunil","myth","legend"
"कवि","लेखक","kxखक","लकि","poet","writer"
"कष्ट","दर्द","दरتم","कषwc","suffering","pain"
"कसम खाता","क़सम","ऎकसम","कसमतajay","swear","oath"
"कहीं","कहीं","कहछज","कहउह","elsewhere","somewhere"
"कहो","बताना","बतनता","इतो","say","tell"
"काउंटी","जिला","ଧୟला","६वउंटी","county","district"
"कागज़","कलम","मथम","മലगज़","paper","pen"
"कांच","बोतल","४थतल","أبंच","glass","bottle"
"कानून","संविधान","संष०पर०","काथगन","law","constitution"
"काम","काम","iइम","उईम","job","work"
"कामचोर","पत्रिका","पतआर०ए०","कामन०i","playboy","magazine"
"कारण","वजह","exह","کرरण","reason","cause"
"कार्बन","हाइड्रोजन","हाइडतpppp","काअलइन","carbon","hydrogen"
"कार्यशाला","गेराज","गेआबज","कारयmayur","workshop","garage"
"कालोनी","फेडरेशन","फेडभ दख","कालोકર","colony","federation"
"किराये","किराया","किराmv","किराપઢ","hire","rent"
"किराये का","हत्यारा","हतष०पर०","किधpardhi","mercenary","assassin"
"किरायेदार","मकान मालिक","मकानज०म०म०","किरज०म०म०","tenant","landlord"
"किलो","चना","रगा","किझख","kilo","gram"
"किलोमीटर","मीटर","ठलटर","किलष०पर०","kilometer","meter"
"किशोर का","किशोर","बऱशोर","किज०म०म०","teenage","teenager"
"किसान","मज़दूर","मजएसस०","खछसान","farmer","worker"
"की जांच","छान - बीन करना","छान  धpardhi","घञ जांच","examine","investigate"
"की वसूली","ठीक होना","ठीयmayur","कीतsunil","recover","heal"
"कीचड़","रेत","ओ०त","മലचड़","mud","sand"
"कीड़ा","साँप","१वँप","µgड़ा","worm","snake"
"कुछ नहीं","कोई चीज़","कोयmayur","कुतsunil","nothing","something"
"कुत्ता","बिल्ली","बिल्आझ","લકत्ता","dog","cat"
"कुलाधिपति","अध्यक्ष","अध्सस क","कुलयmayur","chancellor","president"
"केंद्र","ध्यान केंद्रित करना","ध्यान केयsiddhartha","केंद४थ","focus","concentrate"
"केबल","वायर","ऊभयर","ऑखबल","cable","wire"
"केबिन","डेक","षमक","étबिन","cabin","deck"
"केला","स्ट्रॉबेरी","स्टधpardhi","खघला","banana","strawberry"
"केवल","सरल","अभल","uuवल","simply","simple"
"केश","दाढ़ी","درढ़ी","चकश","hair","beard"
"कैथोलिक","ईसाई","ईसoj","कैएन०ए०","catholic","christian"
"कैप्सूल","जांच","औऱंच","कैआर०ए०","capsule","probe"
"कैमरा","माइक्रोफ़ोन","माइकधpardhi","एधमरा","camera","microphone"
"कोकीन","हेरोइन","ऍवरोइन","२जकीन","cocaine","heroin"
"कोच","खिलाड़ी","इआलाड़ी","lmच","coach","player"
"कोड","पासवर्ड","पासत एक","آئड","code","password"
"कोने","गली","अवी","कोफ०","corner","alley"
"कोयला","तेल","ऍसल","ନହयला","coal","oil"
"कोर्ट","न्यायाधीश","न्ययmayur","তজर्ट","court","judge"
"कोशिश करो","प्रयास","प्सibs","कोशतsunil","try","attempt"
"कोसना","डायन","बञयन","उएसना","curse","witch"
"क्या","वह","षठ","ढ२या","what","that"
"क्रमागत उन्नति","परिवर्तन","परिवतajay","क्रमागतधpardhi","evolution","mutation"
"क्रिसमस","छुट्टी का दिन","छुट्शaddition","क्रभ दख","christmas","holiday"
"क्रूर","निर्दयी","नियbill","क्चलर","brutal","cruel"
"क्रोध","तेज़ी","ਵਚज़ी","ॵररोध","anger","rage"
"क्लब","छड़","फग़","hfलब","club","bar"
"क्षमता","योग्यता","योए०एस०","क्हममद","capacity","ability"
"क्षमता","प्रतिभा","प्आर०ए०","क्हममद","potential","talent"
"क्षमा करना","क्षमा","खउषमा","क्षमयmayur","forgive","excuse"
"क्षेत्र","क्षेत्र","क्ष०पर०","क्ष०पर०","area","zone"
"क्षेत्राधिकार","अधिकार","अध	जमम","क्षेतधpardhi","jurisdiction","authority"
"क्षेत्रीय","स्थानीय","स्ए०एस०","क्षयmayur","regional","local"
"खजाना","संपदा","såपदा","keाना","treasure","wealth"
"खड़ा होना","बैठिये","बैठिzh","खडधpardhi","stand","sit"
"खरीदना","बेचना","qfचना","खरगढ०२","buy","sell"
"खरोंच","चोट","क२ट","खरकउच","scratch","bruise"
"खाड़ी","बंदरगाह","बंदवupp","शठड़ी","bay","harbor"
"खाना","भोजन","jlजन","खासउ","food","meal"
"खाली","भरा हुआ","भरतajay","उएली","empty","full"
"खांसी","बुखार","وآखार","थlंसी","cough","fever"
"खिड़की","द्वार","औऱवार","खिड़સથ","window","door"
"खुराक","इंजेक्शन","इंजष०पर०","સધराक","dose","injection"
"खुला हुआ","बंद करना","बंदआई०ड०","खुज०म०म०","open","close"
"गड्ढा करना","गाड़","हeड़","गड्ढतsunil","dig","bury"
"गंदा","घिनौना","घिनौjn","गंहi","dirty","disgusting"
"गधा","घोड़ा","ୟଶड़ा","ऐना","donkey","horse"
"गपशप","कांड","توंड","गपसइड","gossip","scandal"
"गंभीर","नशे में","नशचयमें","ञवभीर","sober","drunk"
"गंभीर","कब्रिस्तान","कब्रज०म०म०","ञवभीर","grave","cemetery"
"गरज","तोड़ना","तोड़eo","अभज","smash","break"
"गरम","ठंडा","ठंمن","coम","warm","cool"
"गरम","सर्दी","सरमडी","coम","hot","cold"
"गरीब","धनी","चली","गरशघ","poor","rich"
"गरीबी","कष्ट","कषवघ","गरपरी","poverty","misery"
"गर्मी","सर्दी","सरमडी","गरफली","summer","winter"
"गर्मी","तापमान","ताहममद","गरफली","heat","temperature"
"गर्व","जोश में","खछश में","गरତଵ","proud","excited"
"गलत","सही","वली","इमत","wrong","correct"
"गला","गर्दन","गरदड३","अवा","throat","neck"
"गाय","सूअर","खओअर","یاय","cow","pig"
"गायक","संगीतकार","संगआर०ए०","रऑयक","singer","musician"
"गारंटी","वादा","ह३दा","तढरंटी","guarantee","promise"
"गिनती","calculate","calcrnate","घइनती","count","calculate"
"गिरना","ढहना","ढहpb","ଶରरना","fall","collapse"
"गिरोह","समूह","समदइ","बऱरोह","gang","group"
"गिलहरी","एक प्रकार का जानवर","एक प्रकारयsiddhartha","गिहममद","squirrel","raccoon"
"गुड़िया","खिलौने","खिलौ१अ","१बड़िया","doll","toy"
"गुनगुनाहट","झंकार","bvकार","गुनगतajay","ping","ding"
"गुप्त","रहस्य","रहयइन","ଶରप्त","secret","mystery"
"गुर्दा","यकृत","यकবদ","१अर्दा","kidney","liver"
"गेलरी","प्रदर्शनी","प्रदयbill","वïलरी","gallery","exhibition"
"गैस","ईंधन","qfधन","ଏତस","gas","fuel"
"गोल","चारों तरफ","चारज०म०म०","मʌल","round","around"
"गोली","गोली","ନହली","लऱली","tablet","pill"
"गोल्फ़","टेनिस","رسनिस","गोल्જવ","golf","tennis"
"गौरव","गौरव","پرरव","१जरव","pride","dignity"
"ग्रह","की परिक्रमा","की पधpardhi","औटरह","planet","orbit"
"घटना","प्रतिस्पर्धा","प्रतिधpardhi","घटgx","phenomenon","event"
"घटना","दुर्घटना","दुरष०पर०","घटgx","incident","accident"
"घटित होना","होना","होढई","घटितsunil","occur","happen"
"घातक","घातक","ह३तक","हऑतक","deadly","fatal"
"घाव","चोट","क२ट","ॠगव","wound","injury"
"घुड़सवार सेना","तोपें","घङपें","घुड़सधpardhi","cavalry","artillery"
"घृणा","प्यार","रऑयार","घृसऩ","hate","love"
"घृणित","कुरूप","ଋଷरूप","घृझकत","digusting","ugly"
"घोंघा","कछुए","कछभच","अएंघा","snail","turtle"
"घोंसला","अंडा","अंری","ढवंसला","nest","egg"
"चक्राकार पदार्थ","हार","ऑमर","चक्राकाधpardhi","ring","necklace"
"चटनी","मेयोनेज़","मेयmayur","चटढठ","ketchup","mayonnaise"
"चट्टान","पथरी","पथॠत","चटअलइन","rock","stone"
"चढना","कूद","શળद","चढलण","climb","jump"
"चमक","चमकदार","चमक	जमम","२२क","shine","bright"
"चम्मच","कांटा","धळंटा","चमझआग","spoon","fork"
"चरित्र","व्यक्तित्व","व्यकज०म०म०","चरहममद","character","personality"
"चर्च","चैपल","આજपल","चरjy","church","chapel"
"चलाना","सवारी","सवकती","चलकटा","drive","ride"
"चश्मा","टोपी","टोजठ","छक्मा","glasses","cap"
"चाचा","पिता","पिक०","चाओप","uncle","dad"
"चांद","रवि","इलि","चाहo","moon","sun"
"चांद्र","सौर","mzर","کاंद्र","lunar","solar"
"चापलूसी","छाप","तङप","चाए०एस०","flatter","impress"
"चाभी","लॉक","zpक","चाگی","key","lock"
"चारा","खाना खा लो","यनईना खा लो","चाdz","feed","eat"
"चिकित्सा","इलाज","इलऊष","चिज०म०म०","therapy","treatment"
"चिड़ियाघर","सर्कस","सरबपर","चिडतsunil","zoo","circus"
"चिंता","चिंता","તવंता","	tंता","concern","worry"
"चिंतित","बेचैन","ड२चैन","ooंतित","worried","nervous"
"चित्र","तस्वीर","तसभ दख","४जत्र","picture","photo"
"चीनी","चॉकलेट","चॉअलइन","चीcb","sugar","chocolate"
"चुनें","चुनते हैं","चुधpardhi","ऐषनें","choose","select"
"चुप","शांत","थऔंत","ढएप","quiet","calm"
"चुंबकीय","बिजली","ढतजली","चुयbill","magnetic","electric"
"चुम्मा","झप्पी","फउ्पी","تعम्मा","kiss","hug"
"चुरा लेनेवाला","आपराधिक","आपरगढ०२","चुराशaddition","thief","criminal"
"चुराना","लूटना","中文टना","चुराفى","steal","rob"
"चूसना","चटना","चटझट","बऔसना","suck","lick"
"चूहा","चूहा","توहा","१अहा","mouse","rat"
"चेतावनी","अलार्म","अल	गलम","चेतajay","alert","alarm"
"चेतावनी","संदेश","संहईश","चेतajay","warning","message"
"चैनल","समाचार","समसस क","ठ०नल","channel","news"
"चैंपियन","योद्धा","योद्२ए","चैयbill","champion","fighter"
"चोरी होना","लूट","ओलट","चोधpardhi","theft","robbery"
"छड़ी","हथौड़ा","हथौडआछ","छडसउ","stick","hammer"
"छल","मज़ाक","मजऊनक","णव","trick","joke"
"छात्र","अध्यापक","अध्च०ड०","ଗୟत्र","student","teacher"
"छुट्टी","छोड़ देना","छोधpardhi","छुट्રત","leave","abandon"
"ज़ंग खाया हुआ","मटमैला","मट	गलम","ज़ंगशaddition","rusty","dusty"
"जंगल","वन","अष","کےगल","jungle","forest"
"जंजीर","रस्सी","रसयनी","ઈસजीर","chain","rope"
"जन सैलाब","दर्शक","दरषऋत","जन तpppp","crowd","audience"
"जनक","रिएक्टर","रिएसibs","उपक","generator","reactor"
"जन्म","गर्भावस्था","गर्भयmayur","जनvy","birth","pregnancy"
"ज़रूरी","ज़रूरत","ज़गढ०२","ज़रूसछ","necessary","need"
"ज़हर","मार","ऍसर","آزहर","poison","kill"
"जाँच","सत्यापित करें","सत्याधpardhi","जाری","check","verify"
"जाज","संगीत","संशधत","झइज","jazz","music"
"जातिवाद","कम्युनिस्ट","कम्यज०म०म०","जातajay","racist","communist"
"जादू","जादूगर","जागढ०२","ozदू","magic","wizard"
"जानवर","जानवर","जारयण","जारइम","beast","animal"
"जाल","प्रलोभन","प्रहममद","णलल","trap","bait"
"जासूस","गद्दार","गदअलइन","जावदस","spy","traitor"
"जासूसी","तोड़-फोड़","तोयmayur","जासूवआ","espionage","sabotage"
"ज़िद्दी","स्वार्थी","स्तsunil","ترिद्दी","stubborn","selfish"
"ज़िम्मेदारी","कर्तव्य","कर्	जमम","ज़िधpardhi","responsibility","duty"
"जीप","ट्रक","એકरक","झदप","jeep","truck"
"जीवित","मृत","jlत","اپवित","alive","dead"
"जुआ","पोकर","४xकर","४xआ","gambling","poker"
"जून","जुलाई","ऑमलाई","şıन","june","july"
"जेब","बटुआ","बटअझ","તઓब","pocket","wallet"
"जोखिम","खतरा","खतझझ","ऎसखिम","risk","danger"
"जोखिम भरा","खतरनाक","खतरअलइन","जोखतsunil","risky","dangerous"
"ज़ोंबी","पिशाच","ह५शाच","ज़ोंस१","zombie","vampire"
"झंडा","प्रतीक","प्त एक","ooडा","flag","symbol"
"झपकी","चहलक़दमी","चहलकआई०ड०","झपgw","nap","stroll"
"झूठ","झूठा","पऑठा","yzठ","lie","liar"
"टकराव","विवाद","विआझद","टकवईय","conflict","dispute"
"टटू","चोट का निसान","चोट धpardhi","ओलू","tattoo","scar"
"टर्मिनल","हवाई अड्डा","हवाईतsunil","टर्त एक","terminal","airport"
"टास्क","मिशन","منशन","中文स्क","task","mission"
"टिकट","पासपोर्ट","पासतpppp","ढटकट","ticket","passport"
"टिप्पणी","बयान","बयधई","टिष०पर०","comment","statement"
"टुकड़ा","टुकड़ा","टुकडडढ","टुकडnr","fragment","piece"
"टुकड़ा","युक्ति","युक्थळ","टुकडnr","chip","device"
"टूना","झींगा मछली","झींधpardhi","टूيه","tuna","lobster"
"टूर्नामेंट","मिलान","मिघऊन","टूरधpardhi","tournament","match"
"टेबल","कुर्सी","گاर्सी","vvबल","table","chair"
"टैंक","यन्त्र","यनच०ड०","टैयञ","tank","engine"
"टैक्सी","लिमोसिन","लिष०पर०","टैक्जढ","taxi","limousine"
"टोस्ट","सूअर का मांस","सूअरधpardhi","lmस्ट","toast","bacon"
"ट्रेलर","वैन","vqन","ट्	गलम","trailer","van"
"ट्रॉफी","पदक","kaक","२डरॉफी","trophy","medal"
"ठीक","हां","tpं","કહक","okay","yeah"
"ठीक कर","मरम्मत","मरममन०i","ठीहममद","fix","repair"
"ठेठ","क्लासिक","क्आर०ए०","féठ","typical","classic"
"ठोस","इस्पात","इसच०ड०","নবस","concrete","steel"
"डराना","डराना","enाना","डरसला","scare","frighten"
"डरावनी","डर","णड","डरसibs","horror","fear"
"डाक टिकट","हस्ताक्षर","हस्तयbill","डाकयbill","stamp","signature"
"डालने","रखना","रखथश","yxलने","insert","put"
"डिप्लोमा","स्नातक","स्त एक","डिज०म०म०","diploma","graduate"
"डिब्बा","थैला","sêला","डिब्४प","box","bag"
"डीएनए","अंगुली की छाप","अंगुशaddition","डीबइड","dna","fingerprint"
"डीन","प्रोफ़ेसर","प्रयmayur","एशन","dean","professor"
"डीवीडी","वीडियो","वीडिपऊ","डीवीपञ","dvd","video"
"डुबकर मरना","तैराकी","तैराझट","डुबकरतsunil","drown","swim"
"डेस्क","कार्यालय","कारतpppp","डेएएक","desk","office"
"तकनीकी","यांत्रिक","यातsunil","तकगढ०२","technical","mechanical"
"तन","लाश","खछश","अष","body","corpse"
"तनाव","डिप्रेशन","डिपआर०ए०","तनୟଗ","stress","depression"
"तंबाकू","सिगरेट","सिगढ०२","ooबाकू","tobacco","cigarette"
"तरल","तरल","अभल","अभल","liquid","fluid"
"तरीका","तकनीक","तकमऑन","तरनला","method","technique"
"तलवार","चाकू","kgकू","तलम क","sword","knife"
"तलाक","शादी","હતदी","तलyt","divorce","marriage"
"तलाशी","पाना","पाଚମ","तलसरी","search","find"
"ताकत","बल","णड"," एकत","strength","force"
"ताज","सिंहासन","सिए०एस०","ऽ	ज","crown","throne"
"ताज़ा","ताज़ा करना","ताजधpardhi","	sज़ा","fresh","refresh"
"ताबूत","अंतिम संस्कार","अंतिमधpardhi","پرबूत","coffin","funeral"
"तार","पत्र","पतપણ","fpर","telegram","letter"
"ताल","अंदाज","छशदाज","६ठल","rhythm","style"
"तितली","चिड़िया","फऊड़िया","वनतली","butterfly","bird"
"तीसरा","चौथी","दoथी","ترसरा","third","fourth"
"तूफान","बवंडर","बवफइस","तूगआन","hurricane","tornado"
"तैयार","तैयार","وسयार","ईखयार","ready","prepare"
"तैयारी","योजना","rwजना","तैयाऐल","preparation","planning"
"त्रुटि","गलती","गलनढ","त्रुघद","error","mistake"
