"hi_target","hi_cue","type","target_type","cue_type","hi_cosine"
"विवाहित","एक","related","word","word",NA
"जासूसी","एजेंट","related","word","word",NA
"hiv","एड्स","related","word","word",NA
"गीत","एल्बम","related","word","word",NA
"धूल","एश","related","word","word",NA
"अफ़ीम का सत्त्व","एस्पिरिन","related","word","word",NA
"समझ गए","एहसास","related","word","word",NA
"बैंड","ऑर्केस्ट्रा","related","word","word",NA
"निर्माण","ओगाज़्म","related","word","word",NA
"गाल","ओंठ","related","word","word",NA
"स्टोव","ओवन","related","word","word",NA
"शयनकक्ष","कक्ष","related","word","word",NA
"कारागार","कक्ष","related","word","word",NA
"स्कूल","कक्षा","related","word","word",NA
"कचरा","कचरा","related","word","word",NA
"प्लेट","कटोरा","related","word","word",NA
"मुश्किल","कठोर","related","word","word",NA
"स्थानांतरण","कदम","related","word","word",NA
"घुटना","कंधा","related","word","word",NA
"कॉफ़ी","कप","related","word","word",NA
"रूमाल","कपड़ा","related","word","word",NA
"निगम","कंपनी","related","word","word",NA
"तौलिया","कंबल","related","word","word",NA
"अक्सर","कभी - कभी","related","word","word",NA
"शायद ही कभी","कभी - कभी","related","word","word",NA
"कभी","कभी नहीँ","related","word","word",NA
"उच्च","कम","related","word","word",NA
"अपर","कम","related","word","word",0.210865965984804
"लंबा","कम","related","word","word",NA
"अतिरंजना करना","कम समझना","related","word","word",NA
"कप्तान","कमांडर","related","word","word",NA
"जैकेट","कमीज","related","word","word",NA
"उद्यमी","करोड़पति","related","word","word",NA
"समुंद्री जहाज","कर्मी दल","related","word","word",NA
"साहित्य","कला","related","word","word",NA
"चित्रकार","कलाकार","related","word","word",NA
"इकट्ठा करना","कलेक्ट","related","word","word",NA
"रचनात्मकता","कल्पना","related","word","word",NA
"दंतकथा","कल्पित कथा","related","word","word",NA
"लेखक","कवि","related","word","word",NA
"दर्द","कष्ट","related","word","word",NA
"क़सम","कसम खाता","related","word","word",NA
"कहीं","कहीं","related","word","word",NA
"बताना","कहो","related","word","word",NA
"जिला","काउंटी","related","word","word",NA
"कलम","कागज़","related","word","word",NA
"बोतल","कांच","related","word","word",NA
"संविधान","कानून","related","word","word",NA
"काम","काम","related","word","word",NA
"पत्रिका","कामचोर","related","word","word",NA
"वजह","कारण","related","word","word",NA
"हाइड्रोजन","कार्बन","related","word","word",NA
"गेराज","कार्यशाला","related","word","word",NA
"फेडरेशन","कालोनी","related","word","word",NA
"किराया","किराये","related","word","word",NA
"हत्यारा","किराये का","related","word","word",NA
"मकान मालिक","किरायेदार","related","word","word",NA
"चना","किलो","related","word","word",NA
"मीटर","किलोमीटर","related","word","word",NA
"किशोर","किशोर का","related","word","word",NA
"मज़दूर","किसान","related","word","word",NA
"छान - बीन करना","की जांच","related","word","word",NA
"ठीक होना","की वसूली","related","word","word",NA
"रेत","कीचड़","related","word","word",NA
"साँप","कीड़ा","related","word","word",NA
"कोई चीज़","कुछ नहीं","related","word","word",NA
"बिल्ली","कुत्ता","related","word","word",NA
"अध्यक्ष","कुलाधिपति","related","word","word",NA
"ध्यान केंद्रित करना","केंद्र","related","word","word",NA
"वायर","केबल","related","word","word",NA
"डेक","केबिन","related","word","word",NA
"स्ट्रॉबेरी","केला","related","word","word",NA
"सरल","केवल","related","word","word",NA
"दाढ़ी","केश","related","word","word",NA
"ईसाई","कैथोलिक","related","word","word",NA
"जांच","कैप्सूल","related","word","word",NA
"माइक्रोफ़ोन","कैमरा","related","word","word",NA
"हेरोइन","कोकीन","related","word","word",NA
"खिलाड़ी","कोच","related","word","word",NA
"पासवर्ड","कोड","related","word","word",NA
"गली","कोने","related","word","word",NA
"तेल","कोयला","related","word","word",NA
"न्यायाधीश","कोर्ट","related","word","word",NA
"प्रयास","कोशिश करो","related","word","word",NA
"डायन","कोसना","related","word","word",NA
"वह","क्या","related","word","word",NA
"परिवर्तन","क्रमागत उन्नति","related","word","word",NA
"छुट्टी का दिन","क्रिसमस","related","word","word",NA
"निर्दयी","क्रूर","related","word","word",NA
"तेज़ी","क्रोध","related","word","word",NA
"छड़","क्लब","related","word","word",NA
"योग्यता","क्षमता","related","word","word",NA
"प्रतिभा","क्षमता","related","word","word",NA
"क्षमा","क्षमा करना","related","word","word",NA
"क्षेत्र","क्षेत्र","related","word","word",NA
"अधिकार","क्षेत्राधिकार","related","word","word",NA
"स्थानीय","क्षेत्रीय","related","word","word",NA
"संपदा","खजाना","related","word","word",NA
"बैठिये","खड़ा होना","related","word","word",NA
"बेचना","खरीदना","related","word","word",NA
"चोट","खरोंच","related","word","word",NA
"बंदरगाह","खाड़ी","related","word","word",NA
"भोजन","खाना","related","word","word",NA
"भरा हुआ","खाली","related","word","word",NA
"बुखार","खांसी","related","word","word",NA
"द्वार","खिड़की","related","word","word",NA
"इंजेक्शन","खुराक","related","word","word",NA
"बंद करना","खुला हुआ","related","word","word",NA
"गाड़","गड्ढा करना","related","word","word",NA
"घिनौना","गंदा","related","word","word",NA
"घोड़ा","गधा","related","word","word",NA
"कांड","गपशप","related","word","word",NA
"नशे में","गंभीर","related","word","word",NA
"कब्रिस्तान","गंभीर","related","word","word",NA
"तोड़ना","गरज","related","word","word",NA
"ठंडा","गरम","related","word","word",NA
"सर्दी","गरम","related","word","word",NA
"धनी","गरीब","related","word","word",NA
"कष्ट","गरीबी","related","word","word",NA
"सर्दी","गर्मी","related","word","word",NA
"तापमान","गर्मी","related","word","word",NA
"जोश में","गर्व","related","word","word",NA
"सही","गलत","related","word","word",NA
"गर्दन","गला","related","word","word",NA
"सूअर","गाय","related","word","word",NA
"संगीतकार","गायक","related","word","word",NA
"वादा","गारंटी","related","word","word",NA
"calculate","गिनती","related","word","word",NA
"ढहना","गिरना","related","word","word",NA
"समूह","गिरोह","related","word","word",NA
"एक प्रकार का जानवर","गिलहरी","related","word","word",NA
"खिलौने","गुड़िया","related","word","word",NA
"झंकार","गुनगुनाहट","related","word","word",NA
"रहस्य","गुप्त","related","word","word",NA
"यकृत","गुर्दा","related","word","word",NA
"प्रदर्शनी","गेलरी","related","word","word",NA
"ईंधन","गैस","related","word","word",NA
"चारों तरफ","गोल","related","word","word",NA
"गोली","गोली","related","word","word",NA
"टेनिस","गोल्फ़","related","word","word",NA
"गौरव","गौरव","related","word","word",NA
"की परिक्रमा","ग्रह","related","word","word",NA
"प्रतिस्पर्धा","घटना","related","word","word",NA
"दुर्घटना","घटना","related","word","word",NA
"होना","घटित होना","related","word","word",NA
"घातक","घातक","related","word","word",NA
"चोट","घाव","related","word","word",NA
"तोपें","घुड़सवार सेना","related","word","word",NA
"प्यार","घृणा","related","word","word",NA
"कुरूप","घृणित","related","word","word",NA
"कछुए","घोंघा","related","word","word",NA
"अंडा","घोंसला","related","word","word",NA
"हार","चक्राकार पदार्थ","related","word","word",NA
"मेयोनेज़","चटनी","related","word","word",NA
"पथरी","चट्टान","related","word","word",NA
"कूद","चढना","related","word","word",NA
"चमकदार","चमक","related","word","word",NA
"कांटा","चम्मच","related","word","word",NA
"व्यक्तित्व","चरित्र","related","word","word",NA
"चैपल","चर्च","related","word","word",NA
"सवारी","चलाना","related","word","word",NA
"टोपी","चश्मा","related","word","word",NA
"पिता","चाचा","related","word","word",NA
"रवि","चांद","related","word","word",NA
"सौर","चांद्र","related","word","word",NA
"छाप","चापलूसी","related","word","word",NA
"लॉक","चाभी","related","word","word",NA
"खाना खा लो","चारा","related","word","word",NA
"इलाज","चिकित्सा","related","word","word",NA
"सर्कस","चिड़ियाघर","related","word","word",NA
"चिंता","चिंता","related","word","word",NA
"बेचैन","चिंतित","related","word","word",NA
"तस्वीर","चित्र","related","word","word",NA
"चॉकलेट","चीनी","related","word","word",NA
"चुनते हैं","चुनें","related","word","word",NA
"शांत","चुप","related","word","word",NA
"बिजली","चुंबकीय","related","word","word",NA
"झप्पी","चुम्मा","related","word","word",NA
"आपराधिक","चुरा लेनेवाला","related","word","word",NA
"लूटना","चुराना","related","word","word",NA
"चटना","चूसना","related","word","word",NA
"चूहा","चूहा","related","word","word",NA
"अलार्म","चेतावनी","related","word","word",NA
"संदेश","चेतावनी","related","word","word",NA
"समाचार","चैनल","related","word","word",NA
"योद्धा","चैंपियन","related","word","word",NA
"लूट","चोरी होना","related","word","word",NA
"हथौड़ा","छड़ी","related","word","word",NA
"मज़ाक","छल","related","word","word",NA
"अध्यापक","छात्र","related","word","word",NA
"छोड़ देना","छुट्टी","related","word","word",NA
"मटमैला","ज़ंग खाया हुआ","related","word","word",NA
"वन","जंगल","related","word","word",NA
"रस्सी","जंजीर","related","word","word",NA
"दर्शक","जन सैलाब","related","word","word",NA
"रिएक्टर","जनक","related","word","word",NA
"गर्भावस्था","जन्म","related","word","word",NA
"ज़रूरत","ज़रूरी","related","word","word",NA
"मार","ज़हर","related","word","word",NA
"सत्यापित करें","जाँच","related","word","word",NA
"संगीत","जाज","related","word","word",NA
"कम्युनिस्ट","जातिवाद","related","word","word",NA
"जादूगर","जादू","related","word","word",NA
"जानवर","जानवर","related","word","word",NA
"प्रलोभन","जाल","related","word","word",NA
"गद्दार","जासूस","related","word","word",NA
"तोड़-फोड़","जासूसी","related","word","word",NA
"स्वार्थी","ज़िद्दी","related","word","word",NA
"कर्तव्य","ज़िम्मेदारी","related","word","word",NA
"ट्रक","जीप","related","word","word",NA
"मृत","जीवित","related","word","word",NA
"पोकर","जुआ","related","word","word",NA
"जुलाई","जून","related","word","word",NA
"बटुआ","जेब","related","word","word",NA
"खतरा","जोखिम","related","word","word",NA
"खतरनाक","जोखिम भरा","related","word","word",NA
"पिशाच","ज़ोंबी","related","word","word",NA
"प्रतीक","झंडा","related","word","word",NA
"चहलक़दमी","झपकी","related","word","word",NA
"झूठा","झूठ","related","word","word",NA
"विवाद","टकराव","related","word","word",NA
"चोट का निसान","टटू","related","word","word",NA
"हवाई अड्डा","टर्मिनल","related","word","word",NA
"मिशन","टास्क","related","word","word",NA
"पासपोर्ट","टिकट","related","word","word",NA
"बयान","टिप्पणी","related","word","word",NA
"टुकड़ा","टुकड़ा","related","word","word",NA
"युक्ति","टुकड़ा","related","word","word",NA
"झींगा मछली","टूना","related","word","word",NA
"मिलान","टूर्नामेंट","related","word","word",NA
"कुर्सी","टेबल","related","word","word",NA
"यन्त्र","टैंक","related","word","word",NA
"लिमोसिन","टैक्सी","related","word","word",NA
"सूअर का मांस","टोस्ट","related","word","word",NA
"वैन","ट्रेलर","related","word","word",NA
"पदक","ट्रॉफी","related","word","word",NA
"हां","ठीक","related","word","word",NA
"मरम्मत","ठीक कर","related","word","word",NA
"क्लासिक","ठेठ","related","word","word",NA
"इस्पात","ठोस","related","word","word",NA
"डराना","डराना","related","word","word",NA
"डर","डरावनी","related","word","word",NA
"हस्ताक्षर","डाक टिकट","related","word","word",NA
"रखना","डालने","related","word","word",NA
"स्नातक","डिप्लोमा","related","word","word",NA
"थैला","डिब्बा","related","word","word",NA
"अंगुली की छाप","डीएनए","related","word","word",NA
"प्रोफ़ेसर","डीन","related","word","word",NA
"वीडियो","डीवीडी","related","word","word",NA
"तैराकी","डुबकर मरना","related","word","word",NA
"कार्यालय","डेस्क","related","word","word",NA
"यांत्रिक","तकनीकी","related","word","word",NA
"लाश","तन","related","word","word",NA
"डिप्रेशन","तनाव","related","word","word",NA
"सिगरेट","तंबाकू","related","word","word",NA
"तरल","तरल","related","word","word",1
"तकनीक","तरीका","related","word","word",NA
"चाकू","तलवार","related","word","word",NA
"शादी","तलाक","related","word","word",NA
"पाना","तलाशी","related","word","word",NA
"बल","ताकत","related","word","word",NA
"सिंहासन","ताज","related","word","word",NA
"ताज़ा करना","ताज़ा","related","word","word",NA
"अंतिम संस्कार","ताबूत","related","word","word",NA
"पत्र","तार","related","word","word",NA
"अंदाज","ताल","related","word","word",NA
"चिड़िया","तितली","related","word","word",NA
"चौथी","तीसरा","related","word","word",NA
"बवंडर","तूफान","related","word","word",NA
"तैयार","तैयार","related","word","word",NA
"योजना","तैयारी","related","word","word",NA
"गलती","त्रुटि","related","word","word",NA
"ऊतक","त्वचा","related","word","word",NA
"भूखा","थका हुआ","related","word","word",NA
"छोटा","थोड़ा","related","word","word",NA
"उत्तर","दक्षिण","related","word","word",NA
"वेस्टर्न","दक्षिण","related","word","word",NA
"कैद होना","दंड","related","word","word",NA
"उदार","दयालु","related","word","word",NA
"छेद","दरार","related","word","word",NA
"जाओ","दर्ज","related","word","word",NA
"धर्म","दर्शन","related","word","word",NA
"एक अरब","दस लाख","related","word","word",NA
"जी मिचलाना","दस्त","related","word","word",NA
"नौकरानी","दाई","related","word","word",NA
"दादी मा","दादा","related","word","word",NA
"दान","दान पुण्य","related","word","word",NA
"वनीला","दालचीनी","related","word","word",NA
"नौकर","दास","related","word","word",NA
"सेरिब्रल","दिमाग","related","word","word",NA
"नक्शा","दिशा सूचक यंत्र","related","word","word",NA
"मोमबत्ती","दीपक","related","word","word",NA
"बाड़","दीवार","related","word","word",NA
"दुकान","दुकान","related","word","word",NA
"दयनीय","दुखी","related","word","word",NA
"दुखद","दुखी","related","word","word",NA
"दुर्भाग्य","दुर्भाग्य","related","word","word",NA
"प्रतिद्वंद्वी","दुश्मन","related","word","word",NA
"मंत्री","दूत","related","word","word",NA
"मंत्रालय","दूतावास","related","word","word",NA
"रस","दूध","related","word","word",NA
"माइक्रोस्कोप","दूरबीन","related","word","word",NA
"स्पीड","दूरी","related","word","word",NA
"दुल्हन","दूल्हा","related","word","word",NA
"विकिरण","दूषण","related","word","word",NA
"मिनट","दूसरा","related","word","word",NA
"एजेंसी","दृढ़","related","word","word",NA
"दृढ़ता से","दृढ़ता से","related","word","word",NA
"परिप्रेक्ष्य","दृश्य","related","word","word",NA
"घड़ी","देखना","related","word","word",NA
"मिलना","देखो","related","word","word",NA
"शीघ्र","देर","related","word","word",NA
"शैतान","देवदूत","related","word","word",NA
"राष्ट्र","देश","related","word","word",NA
"चार","दो","related","word","word",NA
"ट्रिपल","दोहरा","related","word","word",NA
"टहल लो","दौड़ना","related","word","word",NA
"द्वार","द्वार","related","word","word",NA
"खींचना","धकेलना","related","word","word",NA
"दबाव","धड़कन","related","word","word",NA
"समारोह","धार्मिक संस्कार","related","word","word",NA
"तेज़","धीरे","related","word","word",NA
"जल्दी जल्दी","धीरे से","related","word","word",NA
"सिगार","धुआं","related","word","word",NA
"दया","धैर्य","related","word","word",NA
"आकर्षित","ध्यान","related","word","word",NA
"बेकार","न काम की","related","word","word",NA
"धन","नकद","related","word","word",0.417968939884536
"नंगा","नंगा","related","word","word",NA
"परिणाम","नतीजा","related","word","word",NA
"झील","नदी","related","word","word",NA
"अलविदा","नमस्ते","related","word","word",NA
"प्रोटोटाइप","नमूना","related","word","word",NA
"महिला","नर","related","word","word",NA
"नृत्य","नर्तकी","related","word","word",NA
"दिसंबर","नवंबर","related","word","word",NA
"बेड़ा","नवल","related","word","word",NA
"मांसपेशी","नस","related","word","word",NA
"धमनी","नस","related","word","word",NA
"दांत","नाखून","related","word","word",NA
"सैन्य","नागरिक","related","word","word",NA
"राजनीतिक","नाजुक","related","word","word",NA
"संवेदनशील","नाज़ुक","related","word","word",NA
"कॉमेडी","नाटक","related","word","word",NA
"प्रेम प्रसंगयुक्त","नाटकीय","related","word","word",NA
"शीर्षक","नाम","related","word","word",NA
"रक्षक","नायक","related","word","word",NA
"दोपहर का भोजन","नाश्ता","related","word","word",NA
"चबाने","निगलना","related","word","word",NA
"समुराई","निंजा","related","word","word",NA
"गोपनीयता","निजी","related","word","word",NA
"बट","नितंब","related","word","word",NA
"हेरफेर करना","नियंत्रण","related","word","word",NA
"मसविदा बनाना","नियम","related","word","word",NA
"आयुक्त","निरीक्षक","related","word","word",NA
"विनाश","निर्माण","related","word","word",NA
"निर्माण","निर्माण","related","word","word",NA
"निर्देशक","निर्माता","related","word","word",NA
"निषेध","निषिद्ध","related","word","word",NA
"कल्पना","निष्कर्ष","related","word","word",NA
"ईमानदारी","निष्ठा","related","word","word",NA
"वफादार","निष्ठावान","related","word","word",NA
"यथोचित","निष्पक्ष","related","word","word",NA
"यूपी","नीचे","related","word","word",NA
"राजनीतिज्ञ","नीति","related","word","word",NA
"सोडा","नींबु पानी","related","word","word",NA
"बिक्री","नीलामी","related","word","word",NA
"प्रणाली","नेटवर्क","related","word","word",NA
"इनाम","नोबेल","related","word","word",NA
"ज्यादा से ज्यादा","न्यूनतम","related","word","word",NA
"रखना","पकड़","related","word","word",NA
"अनुसूची","पंचांग","related","word","word",NA
"लिखो","पढ़ना","related","word","word",NA
"मोटा","पतला","related","word","word",NA
"बीवी","पति","related","word","word",NA
"राजनीति","पत्रकारिता","related","word","word",NA
"संचार","पथ प्रदर्शन","related","word","word",NA
"नाव","पनडुब्बी","related","word","word",NA
"नली","पंप","related","word","word",NA
"रेस्टोरेंट","पब","related","word","word",NA
"सतह","परत","related","word","word",0.26011684735441
"नाभिकीय","परमाणु","related","word","word",NA
"विजेता","परास्त","related","word","word",NA
"कार्यक्रम","परियोजना","related","word","word",NA
"सुधार की","परिवर्तन","related","word","word",NA
"संकट","परिस्थिति","related","word","word",NA
"पर्याप्त","पर्याप्त","related","word","word",NA
"पूर्व","पश्चिम","related","word","word",NA
"विकल्प","पसंद","related","word","word",NA
"जानता था","पहचानना","related","word","word",NA
"फिर भी","पहले से ही","related","word","word",NA
"पहाड़","पहाड़ी","related","word","word",NA
"मूर्खता","पागलपन","related","word","word",NA
"अपराध","पाप","related","word","word",NA
"पीछा करना","पालन ​​करना","related","word","word",NA
"दूर","पास","related","word","word",NA
"डेरा डालना","पिकनिक","related","word","word",NA
"फ्रीज","पिघल","related","word","word",NA
"मां","पिता","related","word","word",NA
"गिटार","पियानो","related","word","word",NA
"संरचना","पिरामिड","related","word","word",NA
"हथियार","पिस्तौल","related","word","word",NA
"बीयर","पीना","related","word","word",NA
"युवा","पुराना","related","word","word",NA
"मानव","पुरुष","related","word","word",NA
"सुरंग","पुल","related","word","word",NA
"पुष्टि करना","पुष्टीकरण","related","word","word",NA
"संग्रहालय","पुस्तकालय","related","word","word",NA
"छाती","पेट","related","word","word",NA
"वेतन","पेंशन","related","word","word",NA
"पागल","पैरानॉयड","related","word","word",NA
"चलचित्र","पॉर्न","related","word","word",NA
"भांजा","पोता","related","word","word",NA
"डॉलर","पौंड","related","word","word",NA
"फूल","पौधा","related","word","word",NA
"प्रक्रिया","प्रक्रिया","related","word","word",NA
"विकास","प्रगति","related","word","word",NA
"लिंग","प्रजनन नलिका","related","word","word",NA
"आईना","प्रतिबिंब","related","word","word",NA
"वैज्ञानिक","प्रतिभावान","related","word","word",NA
"विरोध","प्रतिरोध","related","word","word",NA
"प्रदर्शन","प्रदर्शन","related","word","word",NA
"संकेत","प्रपत्र","related","word","word",NA
"प्रशासनिक","प्रबंध","related","word","word",NA
"मालिक","प्रबंधक","related","word","word",NA
"सफल होने के","प्रबंधित करना","related","word","word",NA
"प्रभाव","प्रभाव","related","word","word",NA
"भावना","प्रभाव","related","word","word",NA
"कमाल की","प्रभावशाली","related","word","word",NA
"परीक्षा","प्रयोग","related","word","word",NA
"इरादा","प्रयोजन","related","word","word",NA
"शानदार","प्रशंसनीय","related","word","word",NA
"उपहार","प्रशंसा","related","word","word",NA
"सराहना","प्रशंसा करना","related","word","word",NA
"सरकार","प्रशासन","related","word","word",NA
"पूछना","प्रश्न","related","word","word",NA
"सुझाना","प्रस्ताव","related","word","word",NA
"देना","प्रस्ताव","related","word","word",NA
"कृत्रिम","प्राकृतिक","related","word","word",NA
"समापन","प्रारंभिक","related","word","word",NA
"अन्यत्र उपस्थिति","प्रेरणा","related","word","word",NA
"प्रेरणा","प्रेरित करना","related","word","word",NA
"विटामिन","प्रोटीन","related","word","word",NA
"विवरण","प्रोफ़ाइल","related","word","word",NA
"विज्ञान","प्रौद्योगिकी","related","word","word",NA
"ऋण","प्लस","related","word","word",NA
"खेल","प्ले play","related","word","word",NA
"महामारी","प्लेग","related","word","word",NA
"डाक्यूमेंट","फ़ाइल","related","word","word",NA
"आय","फायदा","related","word","word",NA
"क्रियान्वयन","फांसी","related","word","word",NA
"तत्त्व","फ़ैक्टर","related","word","word",NA
"उत्पादन","फ़ैक्टरी","related","word","word",NA
"सुरुचिपूर्ण","फैशनेबल","related","word","word",NA
"योद्धा","फोजी","related","word","word",NA
"विस्फोट","फोड़ना","related","word","word",NA
"कैंसर","फोडा","related","word","word",NA
"रोग","फ़्लू","related","word","word",NA
"इनाम","बक्शीश","related","word","word",NA
"सहेजें","बचाव","related","word","word",NA
"वित्त पोषण","बजट","related","word","word",NA
"दबाएँ","बटन","related","word","word",NA
"विशाल","बड़ा","related","word","word",NA
"जीत","बढ़त","related","word","word",NA
"कम करना","बढ़ना","related","word","word",NA
"बत्तख","बत्तख","related","word","word",NA
"बंद किया हुआ","बंद","related","word","word",NA
"गोरिल्ला","बंदर","related","word","word",NA
"विकल्प","बदलने के","related","word","word",NA
"न्याय","बदला","related","word","word",NA
"बंदी","बंधक","related","word","word",NA
"नमस्कार","बधाई","related","word","word",NA
"करना","बनाना","related","word","word",NA
"विस्फोटक","बम","related","word","word",NA
"काउंटेस","बरोन","related","word","word",NA
"कमज़ोर","बलवान","related","word","word",NA
"भाई","बहन","related","word","word",NA
"वोट","बहुमत","related","word","word",NA
"किताब","बाइबिल","related","word","word",NA
"विचार - विमर्श","बातचीत","related","word","word",NA
"बोलना","बातचीत","related","word","word",NA
"कोहरा","बादल","related","word","word",NA
"गुलोबन्द","बाँध","related","word","word",NA
"चुनौती","बाधा","related","word","word",NA
"परेशान","बाधा डालना","related","word","word",NA
"बारूद","बारूद","related","word","word",NA
