"sr_cue","sr_target","type","cue_type","target_type","sr_cosine"
"закључан","затворен","related","word","word",0.609830611615011
"талац","затвореник","related","word","word",0.458089503706994
"вечни","заувек","related","word","word",0.506606862520232
"спречити","зауставити","related","word","word",0.617191101930334
"захвалан","захвалити","related","word","word",0.804805242112986
"гостопримство","захвалност","related","word","word",0.628309508070482
"потражња","захтев","related","word","word",0.459014360647792
"опоравити се","зацелити","related","word","word",NA
"хаос","збрка","related","word","word",0.485209622982253
"званично","званичник","related","word","word",0.819572323272688
"позната личност","звезда","related","word","word",NA
"рог","звиждук","related","word","word",0.458650042308038
"бука","звук","related","word","word",0.54987855839267
"торањ","зграда","related","word","word",0.446392488570328
"здраво","здраво","related","word","word",1
"лисица","зецач","related","word","word",NA
"лето","зима","related","word","word",0.490033335637618
"грех","злочин","related","word","word",0.519964941260203
"лопов","злочинац","related","word","word",0.561010995799751
"црв","змија","related","word","word",0.444473254451281
"образац","знак","related","word","word",0.460182769836347
"искуство","знање","related","word","word",0.510226561612381
"сада","знати","related","word","word",0.349093408415439
"препознати","знати","related","word","word",0.695262759124769
"значење","значај","related","word","word",0.642746118487478
"област","зона","related","word","word",0.541284771535819
"загађење","зрачење","related","word","word",0.765364611842949
"наказати","зуб","related","word","word",NA
"игра","игра","related","word","word",1
"тренер","играч","related","word","word",0.542401810889603
"лутка","играчка","related","word","word",0.64548683219678
"будала","идиот","related","word","word",0.548406084008777
"препрека","изазов","related","word","word",0.468503217167449
"кампања","избор","related","word","word",0.373304589419074
"изузетан","изванредан","related","word","word",0.682738341365528
"висећи","извршење","related","word","word",0.42006731602479
"опростити","изговор","related","word","word",0.375320881049659
"шпијунски","издајник","related","word","word",0.489773436568583
"коментар","изјава","related","word","word",0.491180833639037
"галерија","изложба","related","word","word",0.603156234055391
"сума","износ","related","word","word",0.482468995858653
"описати","изразити","related","word","word",0.618493296447994
"рачунати","израчунати","related","word","word",0.90306192120101
"невер","икад","related","word","word",0.280441626729332
"ласкати","импресионирати","related","word","word",NA
"банкар","инвеститор","related","word","word",0.592042078296647
"паук","инсект","related","word","word",0.627002448332943
"преглед","инспекција","related","word","word",0.510713594091393
"надахнути","инспирација","related","word","word",NA
"оруђе","инструмент","related","word","word",0.534865302099912
"оштроуман","интелигентан","related","word","word",NA
"лични","интимно","related","word","word",0.413029399901859
"инстинкт","интуиција","related","word","word",0.564897896976704
"вирус","инфекција","related","word","word",0.522879090602367
"извор","информатор","related","word","word",0.519805703467217
"подаци","информације","related","word","word",0.576349080121866
"доза","ињекција","related","word","word",0.588456253997796
"иронија","ироничан","related","word","word",NA
"пристојан","искрен","related","word","word",0.505083340285811
"лојалност","искреност","related","word","word",0.76694080381933
"запад","исток","related","word","word",0.585549062635037
"аналитичар","истражитељ","related","word","word",0.580518256552868
"испитивати","истражити","related","word","word",0.648887978037702
"резултат","исход","related","word","word",0.551053389057404
"ући","ићи","related","word","word",0.63196893880175
"банана","јагода","related","word","word",0.582265685013542
"сиромаштво","јад","related","word","word",0.556856452551996
"гнездо","јаје","related","word","word",0.583178479340135
"кошуља","јакна","related","word","word",0.681860674921092
"тежак","јако","related","word","word",0.428702032328361
"туњевина","јастог","related","word","word",NA
"посебан","јединствен","related","word","word",0.61303112955196
"једноставно","једноставан","related","word","word",0.817446967145436
"сидро","једрити","related","word","word",NA
"река","језеро","related","word","word",0.446384616962586
"застрашујући","језив","related","word","word",0.580977002567263
"пролеће","јесен","related","word","word",0.603715194216823
"напајање","јести","related","word","word",0.322334234836056
"бубрег","јетра","related","word","word",0.54903366443077
"скупо","јефтино","related","word","word",0.65748616265268
"већ","још увек","related","word","word",NA
"јуни","јул","related","word","word",NA
"ромео","јулиет","related","word","word",NA
"сутра","јутро","related","word","word",0.527145138128843
"данас","јучер","related","word","word",0.454460256709701
"роцк","камен","related","word","word",0.427262552922174
"џип","камион","related","word","word",0.596731588671996
"пикник","камповање","related","word","word",0.474127179463244
"наочаре","капа","related","word","word",0.522499546850446
"црква","капела","related","word","word",0.547910981218344
"командант","капетан","related","word","word",0.536336173582354
"портал","капија","related","word","word",0.49967742511669
"анархија","капитализам","related","word","word",NA
"бискуп","кардинал","related","word","word",0.569369593364054
"мафија","картела","related","word","word",0.549687713421561
"родео","каубоје","related","word","word",0.451828000490029
"купа","кафа","related","word","word",0.521222800465167
"количина","квалитет","related","word","word",0.524443588730763
"кутија","кеса","related","word","word",0.588813363662469
"ваздушни","кисеоник","related","word","word",0.491069984706195
"типичан","класичан","related","word","word",0.813826941328823
"пацијент","клијент","related","word","word",0.68956796166738
"болница","клиника","related","word","word",0.503217332180383
"библија","књига","related","word","word",0.56959217434386
"пасти","колапс","related","word","word",0.444010925152463
"раме","колено","related","word","word",0.549466906966473
"фрагмент","комад","related","word","word",0.59544079911387
"драма","комедија","related","word","word",0.477641536992416
"инспектор","комесар","related","word","word",0.547996480765141
"провизија","комитет","related","word","word",0.465853901413401
"тотално","комплетан","related","word","word",0.467506753800395
"навигација","комуникација","related","word","word",NA
"расиста","комуниста","related","word","word",0.693020560860429
"коначно","коначно","related","word","word",1
"конобар","конобарица","related","word","word",0.814082639603077
"фокус","концентрат","related","word","word",NA
"обилазак","концерт","related","word","word",0.536522784669963
"магарац","коња","related","word","word",0.490028739054734
"рум","коњак","related","word","word",0.519959567193705
"оригинал","копија","related","word","word",0.608179634126853
"пуж","корњача","related","word","word",0.516940307043939
"компанија","корпорација","related","word","word",0.652529854024734
"актовац","кофер","related","word","word",NA
"везати","кравата","related","word","word",0.431230762739942
"коначни","крајњи","related","word","word",0.544180728262249
"краљица","краљ","related","word","word",0.76602638153951
"краљевски","краљевство","related","word","word",0.751732289842577
"машта","креативност","related","word","word",0.555911258288962
"невин","крив","related","word","word",0.530314797718948
"ситуација","криза","related","word","word",0.55198664881842
"туш","купатило","related","word","word",0.46425868534809
"продавац","купац","related","word","word",0.635914307659119
"змај","лав","related","word","word",0.443831937523653
"тоалет","лавабо","related","word","word",0.514947712424296
"лажан","лажно","related","word","word",0.594543522096385
"лагати","лажов","related","word","word",0.528932828185975
"немогуће","лак","related","word","word",0.385131264787024
"јел тако","лево","related","word","word",NA
"мит","легенда","related","word","word",0.44235085544142
"хирург","лекар","related","word","word",0.642198943222453
"прилично","лепа","related","word","word",0.397102849077548
"шарм","лепота","related","word","word",0.486679365306072
"слетање","лет","related","word","word",0.540789437530685
"земљиште","летети","related","word","word",0.468167829397953
"терапија","лечење","related","word","word",0.562099867542828
"тело","леш","related","word","word",0.52023639422836
"конзервативан","либералан","related","word","word",NA
"сисати","лизање","related","word","word",0.395985221270929
"такси","лимузина","related","word","word",0.5694198477359
"минг","линг","related","word","word",0.856797427198023
"уметност","литература","related","word","word",0.541218692054529
"карактер","личност","related","word","word",0.580323000686172
"кост","лобања","related","word","word",0.521790513458736
"шифра","лозинка","related","word","word",0.658718796884738
"регионални","локални","related","word","word",0.746128438563253
"место","локација","related","word","word",0.393257427846358
"добро","лош","related","word","word",0.440717596017486
"параноичан","луд","related","word","word",0.561132302913752
"бели лук","лук","related","word","word",NA
"увала","лука","related","word","word",NA
"мржња","љубав","related","word","word",0.539835081232142
"љубавница","љубавник","related","word","word",0.789336154269631
"популација","људи","related","word","word",0.409297071804347
"човек","људски","related","word","word",0.329368410181976
"леп","љупко","related","word","word",0.44904482558179
"љубоморан","љут","related","word","word",0.606183233932937
"плаибои","магазин","related","word","word",NA
"облак","магла","related","word","word",0.501550884481798
"кечап","мајонез","related","word","word",0.649089207494705
"минимум","максимум","related","word","word",0.710109628151526
"мало","мали","related","word","word",0.450040860334149
"тата","мама","related","word","word",0.608047718524868
"замка","мамац","related","word","word",0.514129226809235
"храм","манастир","related","word","word",0.56568788987113
"контрола","манипулирати","related","word","word",NA
"компас","мапа","related","word","word",0.456078472671728
"крпа","марамица","related","word","word",0.670343483264673
"оглашавање","маркетинг","related","word","word",0.55440788213096
"јога","масажа","related","word","word",0.48220986205892
"мед","маслац","related","word","word",0.585712125481708
"стање","математика","related","word","word",0.439476765786737
"пас","мачка","related","word","word",0.451190640922086
"робот","машина","related","word","word",0.478528486193362
"трофеј","медаља","related","word","word",0.543687143236114
"предмет за употребу","медаљон","related","word","word",NA
"свињетина","месо","related","word","word",0.517549923416068
"калибар","метак","related","word","word",0.541548915422408
"гвожђе","метал","related","word","word",0.516172763547044
"километар","метар","related","word","word",0.793376733297327
"технички","механички","related","word","word",0.774591344019593
"телескоп","микроскоп","related","word","word",0.74770208538965
"камера","микрофон","related","word","word",0.552734322325985
"милион","милијарде","related","word","word",0.728684465679884
"опроштење","милост","related","word","word",NA
"амбасадор","министар","related","word","word",0.498109799976103
"амбасада","министарство","related","word","word",0.46251619585281
"плус","минус","related","word","word",0.547172968079716
"на другом месту","минут","related","word","word",NA
"тихо","миран","related","word","word",0.507084421650447
"укус","мирис","related","word","word",0.616006578783622
"задатак","мисија","related","word","word",0.427359191583416
"тајна","мистерија","related","word","word",0.492071323138613
"нервозан","мишић","related","word","word",0.525882938296229
"стар","млад","related","word","word",0.439800735030983
"старији","млађи","related","word","word",0.559860033420784
"шанса","могућност","related","word","word",0.512657075770792
"огребати","модрица","related","word","word",0.531796596402882
"сув","мокар","related","word","word",0.570254904310999
"екран","монитор","related","word","word",0.587202136947488
"гусар","морнар","related","word","word",0.645237330474182
"маринац","морнарица","related","word","word",0.552988361241772
"аспирин","морфијски","related","word","word",NA
"хотел","мотел","related","word","word",0.829576996433821
"резервоар","мотор","related","word","word",0.568729627936827
"пчела","мрав","related","word","word",0.497551691206139
"сенка","мрак","related","word","word",0.505201702753516
"жив","мртав","related","word","word",0.504488610194877
"библиотека","музеј","related","word","word",0.514030799124861
"јазз","музика","related","word","word",0.353133596743458
"певач","музичар","related","word","word",0.630087259487016
"еволуција","мутација","related","word","word",0.75805538451638
"мучити се","мучење","related","word","word",NA
"дијареја","мучнина","related","word","word",NA
"тачка","навести","related","word","word",0.41251491612508
"нобел","награда","related","word","word",NA
"бонус","награда","related","word","word",0.506961307463417
"софа","надимак","related","word","word",0.45303921739247
"назив","назив","related","word","word",1
"сврха","намера","related","word","word",0.518749970680398
"случајно","намерно","related","word","word",0.515414389991349
"инвазија","напад","related","word","word",0.490147021282293
"жртва","нападач","related","word","word",0.443242842245896
"одсуствовати","напустити","related","word","word",NA
"зелена","наранџаста","related","word","word",0.599948521740629
"командант","наредити","related","word","word",0.438112021653487
"земља","народ","related","word","word",0.476085141846778
"наслеђе","наследити","related","word","word",0.759571030275643
"поступити","настави","related","word","word",0.372739256200811
"технологија","наука","related","word","word",0.58372730022526
"геније","научник","related","word","word",0.528391920739854
"сликати","нацртати","related","word","word",0.678856977471815
"немогућност","не може","related","word","word",NA
"небо","небески","related","word","word",0.557576777182966
"импресиван","невероватно","related","word","word",0.559012025370084
"младожења","невеста","related","word","word",0.563414157689443
"позитиван","негативан","related","word","word",0.811423326354316
"другде","негде","related","word","word",0.599728490813137
"само","недавно","related","word","word",0.385871485191297
"месец дана","недеља","related","word","word",NA
"у суботу","недеља","related","word","word",NA
"свакодневно","недељни","related","word","word",0.532261599942842
"мекан","нежан","related","word","word",0.731054490819126
"беспомоћан","немоћан","related","word","word",0.766499091821731
"неразуман","неодговоран","related","word","word",0.690544862330673
"изненада","неочекивано","related","word","word",0.555278431054629
"анонимни","непознат","related","word","word",0.470284699310667
"неправда","неправедан","related","word","word",0.816563695578168
"неудобан","непријатан","related","word","word",NA
"забринут","нервозан","related","word","word",0.560872821209134
"несрећан","несрећа","related","word","word",0.848247899019571
"инцидент","несрећа","related","word","word",0.481720804477449
"смрт","нестанак","related","word","word",0.465228429921457
"унук","нећак","related","word","word",0.635231009942811
"успех","неуспех","related","word","word",0.828217326185232
"ништа","нешто","related","word","word",0.472192390666821
"новац","новац","related","word","word",1
"члан","новина","related","word","word",0.401508849393847
"репортер","новинар","related","word","word",0.573353304987006
"џеп","новчаник","related","word","word",0.591021589780318
"мач","нож","related","word","word",0.5205576346269
"здрав","нормалан","related","word","word",0.501611792341447
"уста","нос","related","word","word",0.421800510544499
"атомски","нуклеарна","related","word","word",0.517913149905516
"излази","о томе","related","word","word",NA
"извештај","обавестити","related","word","word",0.491815436688492
"плажа","обала","related","word","word",0.506919748536414
"омогућити","обезбедити","related","word","word",0.623226302045462
"гарантовати","обећање","related","word","word",0.455529744149936
"нормално","обично","related","word","word",0.477417852924117
"природно","обично","related","word","word",0.490638692091706
"усна","образ","related","word","word",0.429469053814803
"здравље","образовање","related","word","word",0.566805530161634
"храна","оброк","related","word","word",0.476485600601052
"рефлексија","огледало","related","word","word",0.481432481088553
"зид","ограда","related","word","word",0.459399886191952
"прстен","огрлица","related","word","word",0.500442457116898
"велики","огроман","related","word","word",0.569396944228714
"изабрати","одабрати","related","word","word",0.88432917151025
"заштитити","одбранити","related","word","word",0.645798309176732
"прљав","одвратан","related","word","word",0.549462498408171
"одговор","одговорити","related","word","word",0.810571045149906
"долазак","одлазак","related","word","word",0.770944228324102
"храброст","одлучност","related","word","word",0.677638342398777
"дозвола","одобрење","related","word","word",0.547293533554821
"отпорност","одолети","related","word","word",0.472492235563799
"служба","одржавање","related","word","word",0.465110828645741
"присуство","одсуство","related","word","word",0.793502365733486
"једно","ожењен","related","word","word",0.30185122481749
"тетоважа","ожиљак","related","word","word",0.566153447636192
"море","океан","related","word","word",0.523206417842077
"штит","оклоп","related","word","word",0.571087936407069
"рунда","око","related","word","word",0.424234438991294
"жупанија","округ","related","word","word",NA
"бруталан","окрутан","related","word","word",0.744905854780347
"зли","окрутност","related","word","word",0.448933170119279
"септембар","октобар","related","word","word",0.799544298283341
"ветар","олуја","related","word","word",0.515158283949624
"ризичан","опасан","related","word","word",0.721728396760641
"ризиковати","опасност","related","word","word",0.502812125195997
"профил","опис","related","word","word",0.529575076395604
"украсти","опљачкати","related","word","word",0.568739156996408
"чист","опрати","related","word","word",0.384461351549314
"опрема","опремити","related","word","word",NA
"жалба","оптужба","related","word","word",0.63099485424214
"избор","опција","related","word","word",0.458317028585418
"планета","орбити","related","word","word",0.550122056674983
"уредити","организовати","related","word","word",0.567384816494763
"кабинет","ормар","related","word","word",0.51768217683815
"арсенал","оружар","related","word","word",NA
"пиштољ","оружје","related","word","word",0.54699673956297
"свеж","освјежи","related","word","word",NA
"деликатан","осетљив","related","word","word",0.589700444937318
"утисак","осећај","related","word","word",0.435239369327952
"остати","остати","related","word","word",1
"сумња","осумњичити","related","word","word",NA
"мајка","отац","related","word","word",0.560427040660312
"киднап","отети","related","word","word",NA
"днк","отисак прста","related","word","word",NA
"киднаппер","откупнина","related","word","word",NA
"оставка","отпуштање","related","word","word",0.471820691510285
"чекати","очекивати","related","word","word",0.615343063112382
"јасно","очигледно","related","word","word",0.457812319951678
"рај","пакао","related","word","word",0.512657931067695
"коверат","пакет","related","word","word",0.473750574895726
"прст","палац","related","word","word",0.474688226653646
"кабина","палуба","related","word","word",0.61635881802473
"свила","памук","related","word","word",0.475151701433829
"кромпир","парадајз","related","word","word",0.634498566958834
"натприродан","паранормалан","related","word","word",NA
"руж","парфем","related","word","word",0.559903758437916
"улазница","пасош","related","word","word",0.496672539556018
"јадан","патетичан","related","word","word",0.687479114291662
"гуска","патка","related","word","word",0.6328905764511
"стражар","патрола","related","word","word",0.575499362503861
"разбити","пауза","related","word","word",0.415926120037625
"миша","пацов","related","word","word",0.50274056204024
"вагина","пенис","related","word","word",0.545261109032868
"радијус","периметар","related","word","word",0.540648123762392
"поглед","перспективан","related","word","word",NA
"прикажи","перформансе","related","word","word",0.514886867346835
"блато","песак","related","word","word",0.511849282890383
"албум","песма","related","word","word",0.490233932972108
"текст","песма","related","word","word",0.452397316139112
"пећница","пећ","related","word","word",0.572883268965728
"покривач","пешкир","related","word","word",0.58530345646713
"попити","пиво","related","word","word",0.57130699147575
"трезан","пијан","related","word","word",0.634112395335867
"астронаут","пилот","related","word","word",0.533335235550379
"таблет","пилула","related","word","word",0.587712728930175
"читање","писање","related","word","word",0.748144574686404
"читати","писати","related","word","word",0.73051613802742
"песник","писац","related","word","word",0.559039677193689
"питање","питати","related","word","word",0.639564846904479
"пушка","пиштољ","related","word","word",0.557863514390202
"смеђа","плави","related","word","word",0.482690178345633
"ватра","пламен","related","word","word",0.50654776961009
"брдо","планина","related","word","word",0.49002526205805
"припрема","планирање","related","word","word",0.45869258503679
"цемент","пластика","related","word","word",0.500109814003745
"пензионисати","плата","related","word","word",NA
"плашити се","плашити се","related","word","word",NA
"плесач","плесати","related","word","word",0.751547162305294
"утопити","пливати","related","word","word",0.650206432667482
"крађа","пљачка","related","word","word",0.49947820758627
"добити","победити","related","word","word",0.483288583629958
"губитник","победник","related","word","word",0.648548924350751
"бежати","побјећи","related","word","word",0.648034529459967
"променити","побољшање","related","word","word",0.45641744782619
"рана","повреда","related","word","word",0.50837939251332
"слој","површина","related","word","word",0.482736584314194
"гурати","повући","related","word","word",0.565053326834335
"поноћ","подне","related","word","word",0.510766758162611
"честитати","поздравити","related","word","word",0.568477786001819
"популаран","познати","related","word","word",0.519847857048615
"биоскоп","позориште","related","word","word",0.528782866518632
"особа","појединац","related","word","word",0.555065062053003
"коцкање","покер","related","word","word",0.490261810450097
