"sr_target","sr_cue","sr_fake_cue","sr_fake_target","en_cue","en_target"
"група","банда","дведа","банпа","gang","group"
"грчки","римски","убрски","клоки","roman","greek"
"гутљај","кап","лоп","гудлак","drop","sip"
"гуштер","жаба","очеба","гукрет","frog","lizard"
"да","добро","досом","uc","okay","yeah"
"давалац","залазак сунца","залазак сумплекс","даваздух","sunset","dawn"
"далеко","близу","звузу","данпутко","near","far"
"дама","господар","госпоквих","стома","lord","lady"
"дати","понудити","озбиљнудити","стити","offer","give"
"дворац","палата","палажним","паррац","palace","castle"
"дебео","танак","тазио","дезду","thin","thick"
"девојке","децаци","десномци","деснимке","boys","girls"
"декада","век","ацк","облакада","century","decade"
"деловати","гест","геow","стварловати","gesture","act"
"демократија","слобода","предбода","исправмократија","freedom","democracy"
"демонстрација","протест","прохват","нeкoлимонстрација","protest","demonstration"
"депресија","стрес","њерес","стварпресија","stress","depression"
"десити се","догодити се","догодитистронг","деситизврат","occur","happen"
"дете","беба","бејеш","стите","baby","child"
"детектив","агент","овент","детеквљен","agent","detective"
"детињство","младост","младњем","детистент","youth","childhood"
"дефиниција","концепт","игрицепт","исправфиниција","concept","definition"
"децембар","новембар","новеммент","децемског","november","december"
"дечак","девојка","дестанка","дежиш","girl","boy"
"дивизија","јединица","јеспремница","исправизија","unit","division"
"динамит","барут","багер","динатрал","gunpowder","dynamite"
"динг","пинг","пиoo","диaf","ping","ding"
"дипломирани","диплома","дииграма","стрпљепломирани","diploma","graduate"
"директно","директан","диокрутан","дизајнно","direct","directly"
"дискусија","разговор","разгоству","диимпресија","conversation","discussion"
"дно","на врху","на вминг","жио","top","bottom"
"добровољно","волонтерски","волонтерлност","добромплетно","volunteer","voluntarily"
"довољан","довољно","дохладно","довослиш","enough","sufficient"
"догађај","феномен","феноштам","догастор","phenomenon","event"
"договор","уговор","лаквор","догоству","contract","agreement"
"додатни","додатни","дослични","дообични","extra","additional"
"дозволити","дозволити","стварзволити","стварзволити","allow","let"
"доказ","доказ","дојер","допер","evidence","proof"
"документ","досије","стејсије","докурвин","file","document"
"долар","фунта","гвита","дофом","pound","dollar"
"долина","пустиња","пушкомња","дозбедна","desert","valley"
"донација","милосрђе","милосрлност","стварнација","charity","donation"
"доручак","вечерати","озбиљчерати","доруству","dinner","breakfast"
"достојан","заслужити","огромслужити","добрихјан","deserve","worthy"
"достојанство","понос","поких","достојанлност","pride","dignity"
"доћи","стићи","удаћи","доруч","arrive","come"
"драгуљ","дијамантски","дијаистински","драдeм","diamond","jewel"
"дрво","грм","пем","тиво","bush","tree"
"држава","савезљив","савесној","држалост","federal","state"
"дрога","алкохол","алкоблу","смрга","alcohol","drug"
"дугачак","кратак","твртак","дугаслио","short","long"
"дужина","величина","велистварна","думрачна","size","length"
"дужност","одговорност","одговорством","дузврат","responsibility","duty"
"дух","душа","спаша","вих","soul","spirit"
"експлодирати","провалити","стварвалити","стрпљесплодирати","burst","explode"
"експлозиван","бомба","идеба","експлозилност","bomb","explosive"
"експлозија","земљотрес","земљоској","стварсплозија","earthquake","explosion"
"елегантан","модни","тивни","скрогантан","fashionable","elegant"
"електричан","магнетни","овланетни","отротричан","magnetic","electric"
"електрична енергија","тренутни","трецрвени",NA,"current","electricity"
"елемент","фактор","ичетор","биомент","factor","element"
"емотиван","ментални","обротални","свративан","mental","emotional"
"енергија","снага","радга","оглегија","power","energy"
"епидемија","куга","злога","оставдемија","plague","epidemic"
"епизода","серија","септемја","стејзода","series","episode"
"ерекција","оргазам","оргастон","значција","orgasm","erection"
"ефикасан","корисно","коричард","ефикарлос","useful","effective"
"жвакати","прогутати","стваргутати","обликати","swallow","chew"
"жеђ","глад","pèад","šlђ","hunger","thirst"
"желети","жеља","штоља","жеухвати","desire","wish"
"жена","мужа","муној","свина","husband","wife"
"жена","удовица","знајвица","свина","widow","woman"
"женско","мушки","мувек","женлик","male","female"
"животињски","звер","абер","животизврат","beast","animal"
"жица","кабл","каíĺ","друца","cable","wire"
"журка","рецепција","стварцепција","скука","reception","party"
"жути","црвено","ствоно","авити","red","yellow"
"забранити","забрањен","забрастиш","запственити","forbidden","prohibit"
"забринути","забринутост","забринуздрав","заопседнути","concern","worry"
"завршити","крај","кркo","огромвршити","end","finish"
"загрлити","пољубити","поздравбити","застрати","kiss","hug"
"задњи","предњи део","предњишлог","забим","front","rear"
"задњи","први","хови","забим","first","last"
"задњица","дупе","душао","зашкарца","ass","butt"
"задржати","држати","држалост","огромдржати","hold","keep"
"заиста","заправо","заштитво","заизвод","actually","really"
"зајам","кредит","креход","зазор","credit","loan"
"заједница","друштво","сништво","заогромница","society","community"
"заклетва","закуни се","закунибертс","заклесним","swear","oath"
"закључати","кључ","nzуч","огромкључати","key","lock"
"закопати","копати","конвојти","огромкопати","dig","bury"
"закренути","ред","žaд","заозбиљнути","turn","rotate"
"закуп","најам","стоам","затљу","hire","rent"
"заменити","заменити","заозбиљнити","застварнити","replace","substitute"
"замрзнути","растопити","озбиљтопити","огроммрзнути","melt","freeze"
"занимљив","узбудљив","узбуштву","занизван","exciting","interesting"
"западни","јужни","јутел","зацрвени","southern","western"
"запамтити","заборавити","стрпљеборавити","огромпамтити","forget","remember"
"затварање","отварање","партрање","затваралност","opening","closure"
"затвор","казна","кампо","зампер","penalty","imprisonment"
"затвор","ћелија","стволија","зампер","cell","prison"
"затворен","закључан","закљустим","затвостао","locked","closed"
"затвореник","талац","тасли","затвореством","hostage","prisoner"
"заувек","вечни","хрини","заузнат","eternal","forever"
"зауставити","спречити","отвочити","стрпљеуставити","prevent","stop"
"захвалити","захвалан","захваског","огромхвалити","grateful","thank"
"захвалност","гостопримство","гостопримлност","захваством","hospitality","gratitude"
"захтев","потражња","потрасним","зашташ","demand","request"
"зацелити","опоравити се","опоравитистинкт","огромцелити","recover","heal"
"збрка","хаос","хашле","винка","chaos","confusion"
"званичник","званично","струнично","стреничник","officially","official"
"звезда","позната личност","позната лимплекс","звепан","celebrity","star"
"звиждук","рог","zrг","афеждук","horn","whistle"
"звук","бука","будућ","nlук","noise","sound"
"зграда","торањ","тобот","ствада","tower","building"
"здраво","здраво","стрево","златво","hello","bye"
"зецач","лисица","лиударца","зећим","fox","rabbit"
"зима","лето","ленат","најма","summer","winter"
"злочин","грех","грдe","џунчин","sin","crime"
"злочинац","лопов","лонад","аванчинац","thief","criminal"
"змија","црв","гoв","тамја","worm","snake"
"знак","образац","обрадел","зннг","form","sign"
"знање","искуство","искумент","слоње","experience","knowledge"
"знати","сада","саслу","слоти","now","know"
"знати","препознати","стварпознати","слоти","recognize","knew"
"значај","значење","укључење","знасту","meaning","importance"
"зона","област","реласт","вљена","area","zone"
"зрачење","загађење","загађелност","линдчење","contamination","radiation"
"зуб","наказати","озбиљказати","лоб","nail","tooth"
"игра","игра","aeра","syра","play","game"
"играч","тренер","трешка","знрач","coach","player"
"играчка","лутка","икака","источка","doll","toy"
"идиот","будала","амандала","ценот","fool","idiot"
"изазов","препрека","предлогка","изадва","obstacle","challenge"
"избор","кампања","каизвиња","изжњу","campaign","election"
"изванредан","изузетан","изузелност","изглeдaредан","exceptional","remarkable"
"извршење","висећи","висептем","изглeдaшење","hanging","execution"
"изговор","опростити","укљустити","изгослио","forgive","excuse"
"издајник","шпијунски","древјунски","изуметник","spy","traitor"
"изјава","коментар","костимтар","облава","comment","statement"
"изложба","галерија","гаостварија","огрожба","gallery","exhibition"
"износ","сума","блема","изљан","sum","amount"
"изразити","описати","увресати","изглeдaзити","describe","express"
"израчунати","рачунати","раосновнати","стрпљерачунати","count","calculate"
"икад","невер","нељак","икео","never","ever"
"импресионирати","ласкати","лаагенти","вeрoвaтсионирати","flatter","impress"
"инвеститор","банкар","банест","врлиститор","banker","investor"
"инсект","паук","патро","инпост","spider","insect"
"инспекција","преглед","преграм","стварспекција","examination","inspection"
"инспирација","надахнути","наопседнути","стрпљеспирација","inspire","inspiration"
"инструмент","оруђе","глође","инструстиш","tool","instrument"
"интелигентан","оштроуман","опстауман","интелигенмплекс","smart","intelligent"
"интимно","лични","морни","инуметно","personal","intimate"
"интуиција","инстинкт","инстронг","стрпљетуиција","instinct","intuition"
"инфекција","вирус","вициш","инстранција","virus","infection"
"информатор","извор","žeвор","информаглeдa","source","informant"
"информације","подаци","потребци","инстинктмације","data","information"
"ињекција","доза","убрза","удобција","dose","injection"
"ироничан","иронија","златнија","ироникaдa","irony","ironic"
"искрен","пристојан","прикладјан","исален","decent","honest"
"искреност","лојалност","лојаством","спремност","loyalty","honesty"
"исток","запад","затве","vuток","west","east"
"истражитељ","аналитичар","источлитичар","истражилност","analyst","investigator"
"истражити","испитивати","стрпљепитивати","ствартражити","examine","investigate"
"исход","резултат","резукриј","исјаш","result","outcome"
"ићи","ући","хви","žåи","enter","go"
"јагода","банана","баобична","јастукда","banana","strawberry"
"јад","сиромаштво","сиромасност","лид","poverty","misery"
"јаје","гнездо","гнесор","свије","nest","egg"
"јакна","кошуља","комплиља","линна","shirt","jacket"
"јако","тежак","теден","јатар","heavy","heavily"
"јастог","туњевина","туисправина","јахтев","tuna","lobster"
"јединствен","посебан","посестри","јединсперт","special","unique"
"једноставан","једноставно","једноогромно","стварноставан","simply","simple"
"једрити","сидро","ситав","јеосвети","anchor","sail"
"језеро","река","зника","јеускоро","river","lake"
"језив","застрашујући","застрашујумплекс","јекар","scary","creepy"
"јесен","пролеће","осталеће","језац","spring","autumn"
"јести","напајање","напајалност","јевре","feed","eat"
"јетра","бубрег","буглез","једин","kidney","liver"
"јефтино","скупо","дропо","ознатино","expensive","cheap"
"још увек","већ","enћ","још прот","already","still"
"јул","јуни","штени","рил","june","july"
"јулиет","ромео","роноћ","јулизнао","romeo","juliet"
"јутро","сутра","сунуо","јујли","tomorrow","morning"
"јучер","данас","дакиш","јукит","today","yesterday"
"камен","роцк","роxx","каших","rock","stone"
"камион","џип","šrп","камислиo","jeep","truck"
"камповање","пикник","шарник","озбиљмповање","picnic","camping"
"капа","наочаре","наочалност","каним","glasses","cap"
"капела","црква","цршан","капесник","church","chapel"
"капетан","командант","команжним","капешкир","commander","captain"
"капија","портал","усатал","капиштoљ","portal","gate"
"капитализам","анархија","озбиљархија","капиталимплекс","anarchy","capitalism"
"кардинал","бискуп","биство","ухвадинал","bishop","cardinal"
"картела","мафија","мастерја","агентела","mafia","cartel"
"каубоје","родео","ротон","каузвратје","rodeo","cowboy"
"кафа","купа","куним","катом","cup","coffee"
"квалитет","количина","колиискрена","априлитет","quantity","quality"
"кеса","кутија","обратија","удаса","box","bag"
"кисеоник","ваздушни","вашингшни","кисеоством","air","oxygen"
"класичан","типичан","типисник","успесичан","typical","classic"
"клијент","пацијент","пацитрао","увејент","patient","client"
"клиника","болница","бостарца","ствоника","hospital","clinic"
"књига","библија","биоружја","битга","bible","book"
"колапс","пасти","патро","коласкуп","fall","collapse"
"колено","раме","разло","костојно","shoulder","knee"
"комад","фрагмент","трејмент","кодва","fragment","piece"
"комедија","драма","бомма","комедилност","drama","comedy"
"комесар","инспектор","инфортор","комебрих","inspector","commissioner"
"комитет","провизија","стварвизија","комисник","commission","committee"
"комплетан","тотално","тотастич","колинстан","total","complete"
"комуникација","навигација","навигацистингс","комуникацијалност","navigation","communication"
"комуниста","расиста","расимент","комунилберт","racist","communist"
"коначно","коначно","копредно","косрећно","finally","eventually"
"конобарица","конобар","коностиш","исправнобарица","waiter","waitress"
"концентрат","фокус","фовек","концензнуо","focus","concentrate"
"концерт","обилазак","дрвелазак","конхват","tour","concert"
"коња","магарац","магаслио","копис","donkey","horse"
"коњак","рум","вим","кокуп","rum","cognac"
"копија","оригинал","иденгинал","кодлакја","original","copy"
"корњача","пуж","moж","комплича","snail","turtle"
"корпорација","компанија","коосновнија","корпорацимплекс","company","corporation"
"кофер","актовац","актостиш","кокол","briefcase","suitcase"
"кравата","везати","веиденти","основата","bind","tie"
"крајњи","коначни","комплени","крарек","final","ultimate"
"краљ","краљица","отвољица","крsg","queen","king"
"краљевство","краљевски","краградски","краљевност","royal","kingdom"
"креативност","машта","мараш","креативством","imagination","creativity"
"крив","невин","нејел","крхо","innocent","guilty"
"криза","ситуација","ситуацистронг","убрза","situation","crisis"
"купатило","туш","whш","купатињства","shower","bathroom"
"купац","продавац","проданпут","кумен","seller","buyer"
"лав","змај","ičај","ров","dragon","lion"
"лавабо","тоалет","тоатрин","лажнимбо","toilet","sink"
"лажно","лажан","лашеш","лађен","fake","FALSE"
"лажов","лагати","лаиденти","лазен","lie","liar"
"лак","немогуће","немогулност","бук","impossible","easy"
"лево","јел тако","јел тграф","дљиво","right","left"
"легенда","мит","тет","леувреда","myth","legend"
"лекар","хирург","хишног","летро","surgeon","doctor"
"лепа","прилично","пристаоно","леног","pretty","beautiful"
"лепота","шарм","шаíĺ","лепослом","charm","beauty"
"лет","слетање","отвотање","ејт","landing","flight"
"летети","земљиште","зезнуоште","летејлор","land","fly"
"лечење","терапија","озбиљрапија","лестанње","therapy","treatment"
"леш","тело","темпе","диш","body","corpse"
"либералан","конзервативан","конзерватимплекс","либераством","conservative","liberal"
"лизање","сисати","адресати","лизаклон","suck","lick"
"лимузина","такси","ожеси","лимуосновна","taxi","limousine"
"линг","минг","мима","лиlk","ming","ling"
"литература","уметност","упланост","стрпљетература","art","literature"
"личност","карактер","каквогтер","спуност","character","personality"
"лобања","кост","кону","лоизвиња","bone","skull"
"лозинка","шифра","шибот","лопљачка","code","password"
"локални","регионални","регионастрпљив","локаквој","regional","local"
"локација","место","међен","играчкација","place","location"
"лош","добро","досом","пеш","good","bad"
"луд","параноичан","параноимплекс","etд","paranoid","crazy"
"лук","бели лук","белитраш","čeк","garlic","onion"
"лука","увала","апела","бњака","bay","harbor"
"љубав","мржња","мрган","љугуљ","hate","love"
"љубавник","љубавница","љуспремница","љууметник","mistress","lover"
"људи","популација","популацистинкт","уподи","population","people"
"људски","човек","чосиш","нетски","man","human"
"љупко","леп","tvп","љубљу","nice","lovely"
"љут","љубоморан","љубомолност","ејт","jealous","angry"
"магазин","плаибои","плаиспех","магабрао","playboy","magazine"
"магла","облак","релак","мазао","cloud","fog"
"мајонез","кечап","кебет","мајобром","ketchup","mayonnaise"
"максимум","минимум","миниграф","максислао","minimum","maximum"
"мали","мало","споло","околи","little","small"
"мама","тата","дента","мални","daddy","mum"
"мамац","замка","лонка","магло","trap","bait"
"манастир","храм","пaам","маназвао","temple","monastery"
"манипулирати","контрола","конустала","вeрoвaтнипулирати","control","manipulate"
"мапа","компас","котрај","маним","compass","map"
"марамица","крпа","крвљ","марастранца","cloth","handkerchief"
"маркетинг","оглашавање","албершавање","маркестри","advertising","marketing"
"масажа","јога","тајга","масасвим","yoga","massage"
"маслац","мед","fuд","масмен","honey","butter"
"математика","стање","шњење","стрпљетематика","physics","mathematics"
"мачка","пас","гхс","беска","dog","cat"
"машина","робот","рожви","масрећна","robot","machine"
"медаља","трофеј","тродру","меданпут","trophy","medal"
"медаљон","предмет за употребу","унапредмет за употребу","медаслао","artifact","medallion"
"месо","свињетина","огромњетина","метав","pork","meat"
"метак","калибар","калислим","меске","caliber","bullet"
"метал","гвожђе","гвотљу","месма","iron","metal"
"метар","километар","киломелност","мекла","kilometer","meter"
"механички","технички","устанички","механичлност","technical","mechanical"
"микроскоп","телескоп","тележбао","микроцикл","telescope","microscope"
"микрофон","камера","каотвара","микрознај","camera","microphone"
"милијарде","милион","милијамс","милиопкладе","million","billion"
"милост","опроштење","слатштење","мизнат","forgiveness","mercy"
"министар","амбасадор","амбасањства","минидрум","ambassador","minister"
"министарство","амбасада","основбасада","министарлност","embassy","ministry"
"минус","плус","плaa","мижби","plus","minus"
"минут","на другом месту","на другом стингс","мишег","second","minute"
"миран","тихо","тисиш","митиш","quiet","calm"
"мирис","укус","чвус","миљак","taste","smell"
"мисија","задатак","заданпут","мишљаоја","task","mission"
"мистерија","тајна","клина","стварстерија","secret","mystery"
"мишић","нервозан","неопрезан","миђег","nerve","muscle"
"млад","стар","стдa","сјад","old","young"
"млађи","старији","изворији","брођи","senior","junior"
"могућност","шанса","флоса","могућство","chance","possibility"
"модрица","огребати","унајбати","мошкарца","scratch","bruise"
"мокар","сув","гoв","мошле","dry","wet"
"монитор","екран","овран","моникaдa","screen","monitor"
"морнар","гусар","гулеп","морско","pirate","sailor"
"морнарица","маринац","мариском","озбиљнарица","marine","navy"
"морфијски","аспирин","аспилар","слатфијски","aspirin","morphine"
"мотел","хотел","хопад","мозив","hotel","motel"
"мотор","резервоар","резерволност","морим","tank","engine"
"мрав","пчела","емола","мрпa","bee","ant"
"мрак","сенка","трока","мрub","shadow","dark"
"мртав","жив","woв","мрћих","alive","dead"
"музеј","библиотека","стрпљеблиотека","мумпе","library","museum"
"музика","јазз","јаме","муадвока","jazz","music"
"музичар","певач","пељев","музишком","singer","musician"
"мутација","еволуција","истинлуција","мудростција","evolution","mutation"
"мучење","мучити се","мучитиблдор","старчење","torment","torture"
"мучнина","дијареја","дијалностја","осјенина","diarrhea","nausea"
"навести","тачка","мнока","навежбам","point","indicate"
"награда","нобел","ноштa","наследда","nobel","prize"
"награда","бонус","бочаш","наследда","bonus","reward"
"надимак","софа","сошеш","надиквих","sofa","bed"
"назив","назив","нашну","нампу","name","title"
"намера","сврха","џунха","наотвара","purpose","intention"
"намерно","случајно","слутребно","нављамно","accidentally","intentionally"
"напад","инвазија","шпанзија","насле","invasion","attack"
"нападач","жртва","жрсом","напастор","victim","attacker"
"напустити","одсуствовати","стрпљесуствовати","огромпустити","leave","abandon"
"наранџаста","зелена","зесјајна","наранџаблдор","green","orange"
"наредити","командант","команжним","огромредити","command","order"
"народ","земља","зевоз","надич","country","nation"
"наследити","наслеђе","наздрађе","озбиљследити","heritage","inherit"
"настави","поступити","поздравпити","најпреви","proceed","continue"
"наука","технологија","исправнологија","науспех","technology","science"
"научник","геније","обичније","научство","genius","scientist"
"нацртати","сликати","обракати","озбиљцртати","paint","draw"
"не може","немогућност","немогућством","не мдрум","inability","unable"
"небески","небо","непре","небезбед","sky","heavenly"
"невероватно","импресиван","опседсиван","исправвероватно","impressive","amazing"
"невеста","младожења","огромдожења","невезник","groom","bride"
"негативан","позитиван","позитињство","негатињство","positive","negative"
"негде","другде","кључде","нерад","elsewhere","somewhere"
"недавно","само","сахра","некретно","just","recently"
"недеља","месец дана","месец дстром","недесној","month","week"
"недеља","у суботу","у субтљај","недесној","Saturday","Sunday"
"недељни","свакодневно","свакодисточно","некључни","daily","weekly"
"нежан","мекан","мевљи","неспо","soft","gentle"
"немоћан","беспомоћан","основпомоћан","немопред","helpless","powerless"
"неодговоран","неразуман","неразулност","неодговомплекс","unreasonable","irresponsible"
"неочекивано","изненада","изстварнада","вeрoвaточекивано","suddenly","unexpectedly"
"непознат","анонимни","шминнимни","непослов","anonymous","unknown"
"неправедан","неправда","неувреда","неправелност","injustice","unfair"
"непријатан","неудобан","неудолност","непријалност","uncomfortable","unpleasant"
"нервозан","забринут","забрислиш","неопрезан","worried","nervous"
"несрећа","несрећан","несреглед","незгодћа","unfortunate","misfortune"
"несрећа","инцидент","инцибрао","незгодћа","incident","accident"
"нестанак","смрт","ćeрт","нестаског","death","disappearance"
"нећак","унук","унех","нејеа","grandson","nephew"
"неуспех","успех","ojпех","неузбол","success","failure"
"нешто","ништа","нинуо","нељан","nothing","something"
"новац","новац","нодњу","нојом","cash","money"
"новина","члан","tран","оставина","article","newspaper"
"новинар","репортер","ресанттер","новиштен","reporter","journalist"
"новчаник","џеп","šlп","принчаник","pocket","wallet"
"нож","мач","idч","zoж","sword","knife"
"нормалан","здрав","àêрав","агенмалан","healthy","normal"
"нос","уста","uæта","scс","mouth","nose"
"нуклеарна","атомски","апсоски","нуклеозбиљна","atomic","nuclear"
"о томе","излази","усталази","о тjeм","out","about"
"обавестити","извештај","извеквих","спремвестити","report","inform"
"обала","плажа","одржа","звола","beach","coast"
"обезбедити","омогућити","углавгућити","искребедити","enable","provide"
"обећање","гарантовати","стрпљерантовати","играћање","guarantee","promise"
"обично","нормално","ствамално","оптуно","normally","usually"
"обично","природно","пристично","оптуно","naturally","generally"
"образ","усна","lzна","обмин","lip","cheek"
"образовање","здравље","здрашло","источзовање","health","education"
"оброк","храна","бавна","жерок","food","meal"
"огледало","рефлексија","реимпресија","клиндало","reflection","mirror"
"ограда","зид","yeд","гробда","wall","fence"
"огрлица","прстен","прклес","опклаца","ring","necklace"
"огроман","велики","велијамс","озбиман","big","huge"
"одабрати","изабрати","изаиденти","успебрати","choose","select"
"одбранити","заштитити","огромштитити","одосновнити","protect","defend"
"одвратан","прљав","прлку","одмплетан","dirty","disgusting"
