sr_cue,sr_target,type,cue_type,target_type,sr_cosine
гостопримство,захвалност,related,word,word,0.628309508070482
тражити,захтевати,related,word,word,0.559347941372647
опоравити се,излечити се,related,word,word,
хаос,збрка,related,word,word,0.485209622982253
званично,званичник,related,word,word,0.819572323272688
позната личност,звезда,related,word,word,
сирена,звиждук,related,word,word,0.524494454540697
бука,звук,related,word,word,0.54987855839267
торањ,зграда,related,word,word,0.446392488570328
здраво,довиђења,related,word,word,0.601779945877923
лисица,зец,related,word,word,0.45784520795586
лето,зима,related,word,word,0.490033335637618
грех,злочин,related,word,word,0.519964941260203
лопов,злочинац,related,word,word,0.561010995799752
црв,змија,related,word,word,0.444473254451281
образац,потпис,related,word,word,0.435507266354594
искуство,знање,related,word,word,0.510226561612381
сада,знати,related,word,word,0.349093408415439
препознати,знао,related,word,word,0.468192101907474
значење,значај,related,word,word,0.642746118487478
област,зона,related,word,word,0.541284771535819
загађење,зрачење,related,word,word,0.765364611842949
нокат,зуб,related,word,word,0.632964412926523
играти,игра,related,word,word,0.790022288969763
тренер,играч,related,word,word,0.542401810889603
лутка,играчка,related,word,word,0.645486832196779
будала,идиот,related,word,word,0.548406084008777
препрека,изазов,related,word,word,0.468503217167449
кампања,избори,related,word,word,0.452633986748741
изузетан,изванредан,related,word,word,0.682738341365528
вешање,погубљење,related,word,word,0.717606496535588
опростити,изговор,related,word,word,0.375320881049659
шпијун,издајник,related,word,word,0.531963072182672
коментар,изјава,related,word,word,0.491180833639037
галерија,изложба,related,word,word,0.603156234055391
сума,износ,related,word,word,0.482468995858653
описати,изразити,related,word,word,0.618493296447994
бројати,израчунати,related,word,word,0.652264421000555
никада,икада,related,word,word,0.710415352935654
ласкати,импресионирати,related,word,word,
банкар,инвеститор,related,word,word,0.592042078296647
паук,инсект,related,word,word,0.627002448332943
преглед,инспекција,related,word,word,0.510713594091393
надахнути,инспирација,related,word,word,
алат,инструмент,related,word,word,0.49838362206986
паметан,интелигентан,related,word,word,0.638895712842875
лично,интимно,related,word,word,0.476956577463011
инстинкт,интуиција,related,word,word,0.564897896976704
вирус,инфекција,related,word,word,0.522879090602367
извор,доушник,related,word,word,0.454420242332244
подаци,информација,related,word,word,0.553537477024198
доза,инјекција,related,word,word,
иронија,ироничан,related,word,word,
пристојан,искрен,related,word,word,0.505083340285811
лојалност,искреност,related,word,word,0.76694080381933
запад,исток,related,word,word,0.585549062635037
аналитичар,истражитељ,related,word,word,0.580518256552868
испитивати,истражити,related,word,word,0.648887978037702
резултат,исход,related,word,word,0.551053389057404
ући,ићи,related,word,word,0.63196893880175
банана,јагода,related,word,word,0.582265685013543
сиромаштво,беда,related,word,word,0.549721161187764
гнездо,јаје,related,word,word,0.583178479340135
кошуља,јакна,related,word,word,0.681860674921092
тежак,тешко,related,word,word,0.538978523266301
туна,јастог,related,word,word,0.594615529282577
посебан,јединствен,related,word,word,0.61303112955196
једноставно,једноставан,related,word,word,0.817446967145436
сидро,једро,related,word,word,0.760369436954014
река,језеро,related,word,word,0.446384616962586
застрашујући,језив,related,word,word,0.580977002567263
пролеће,јесен,related,word,word,0.603715194216823
хранити,јести,related,word,word,0.563901285309833
бубрег,јетра,related,word,word,0.54903366443077
скупо,јефтино,related,word,word,0.65748616265268
већ,још увек,related,word,word,
јун,јул,related,word,word,0.800061908180424
ромео,јулија,related,word,word,0.52490645558212
сутра,јутро,related,word,word,0.527145138128843
данас,јуче,related,word,word,0.502590785582843
стена,камен,related,word,word,0.532350591680213
џип,камион,related,word,word,0.596731588671997
пикник,камповање,related,word,word,0.474127179463245
наочаре,капа,related,word,word,0.522499546850446
црква,капела,related,word,word,0.547910981218344
командант,капетан,related,word,word,0.536336173582354
портал,капија,related,word,word,0.49967742511669
анархија,капитализам,related,word,word,
бискуп,кардинал,related,word,word,0.569369593364054
мафија,картел,related,word,word,0.580906586930146
родео,каубој,related,word,word,0.493132252927803
шољица,кафа,related,word,word,0.611675407810451
квантитет,квалитет,related,word,word,
кутија,кеса,related,word,word,0.588813363662469
ваздух,кисеоник,related,word,word,0.490198227480221
типичан,класичан,related,word,word,0.813826941328823
пацијент,клијент,related,word,word,0.68956796166738
болница,клиника,related,word,word,0.503217332180383
библија,књига,related,word,word,0.56959217434386
пасти,срушити се,related,word,word,
раме,колено,related,word,word,0.549466906966473
фрагмент,део,related,word,word,0.489370606298679
драма,комедија,related,word,word,0.477641536992416
инспектор,комесар,related,word,word,0.547996480765141
комисија,комитет,related,word,word,0.666340755213224
свеукупни,потпуни,related,word,word,
навигација,комуникација,related,word,word,
расиста,комуниста,related,word,word,0.693020560860429
коначно,најзад,related,word,word,0.511702634767092
конобар,конобарица,related,word,word,0.814082639603077
фокусирати се,концентрисати се,related,word,word,
турнеја,концерт,related,word,word,0.553637652321524
магарац,коњ,related,word,word,0.570387687880437
рум,коњак,related,word,word,0.519959567193705
оригинал,копија,related,word,word,0.608179634126853
пуж,корњача,related,word,word,0.516940307043939
компанија,корпорација,related,word,word,0.652529854024734
акт ташна,кофер,related,word,word,
завезати,везати,related,word,word,0.899199879728083
коначни,крајњи,related,word,word,0.544180728262249
краљица,краљ,related,word,word,0.76602638153951
краљевски,краљевство,related,word,word,0.751732289842577
машта,креативност,related,word,word,0.555911258288962
невин,крив,related,word,word,0.530314797718948
ситуација,криза,related,word,word,0.55198664881842
туш,купатило,related,word,word,0.46425868534809
продавац,купац,related,word,word,0.635914307659119
змај,лав,related,word,word,0.443831937523653
вц шоља,лавабо,related,word,word,
лажан,нетачан,related,word,word,
лаж,лажов,related,word,word,0.683145466136246
немогуће,лако,related,word,word,0.458818533401005
десно,лево,related,word,word,0.747621085516054
мит,легенда,related,word,word,0.44235085544142
хирург,лекар,related,word,word,0.642198943222453
лепушкаст,леп,related,word,word,
шарм,лепота,related,word,word,0.486679365306072
слетање,лет,related,word,word,0.540789437530685
слетети,летети,related,word,word,0.907695161917352
терапија,лечење,related,word,word,0.562099867542828
тело,леш,related,word,word,0.52023639422836
конзервативан,либералан,related,word,word,
сисати,лизати,related,word,word,0.736234653267404
такси,лимузина,related,word,word,0.5694198477359
минг,линг,related,word,word,0.856797427198023
уметност,књижевност,related,word,word,0.785623339689611
карактер,личност,related,word,word,0.580323000686172
кост,лобања,related,word,word,0.521790513458737
шифра,лозинка,related,word,word,0.658718796884738
регионални,локални,related,word,word,0.746128438563253
место,локација,related,word,word,0.393257427846358
добар,лош,related,word,word,0.625317377373356
параноичан,луд,related,word,word,0.561132302913752
бели лук,лук,related,word,word,
залив,лука,related,word,word,0.407726084820689
мржња,љубав,related,word,word,0.539835081232142
љубавница,љубавник,related,word,word,0.789336154269631
популација,људи,related,word,word,0.409297071804347
човек,људски,related,word,word,0.329368410181976
лепо,љупко,related,word,word,0.50472033624251
љубоморан,љут,related,word,word,0.606183233932938
плејбој,магазин,related,word,word,0.575416820057971
облак,магла,related,word,word,0.501550884481798
кечап,мајонез,related,word,word,0.649089207494705
минимум,максимум,related,word,word,0.710109628151526
мало,мали,related,word,word,0.450040860334149
тата,мама,related,word,word,0.608047718524868
замка,мамац,related,word,word,0.514129226809235
храм,манастир,related,word,word,0.56568788987113
контролисати,манипулисати,related,word,word,0.739105400870754
компас,мапа,related,word,word,0.456078472671728
крпа,марамица,related,word,word,0.670343483264673
оглашавање,маркетинг,related,word,word,0.55440788213096
јога,масажа,related,word,word,0.48220986205892
мед,маслац,related,word,word,0.585712125481708
физика,математика,related,word,word,0.700700665204469
пас,мачка,related,word,word,0.451190640922086
робот,машина,related,word,word,0.478528486193363
трофеј,медаља,related,word,word,0.543687143236114
рукотворина,медаљон,related,word,word,
свињетина,месо,related,word,word,0.517549923416068
калибар,метак,related,word,word,0.541548915422407
гвожђе,метал,related,word,word,0.516172763547044
километар,метар,related,word,word,0.793376733297327
технички,механички,related,word,word,0.774591344019593
телескоп,микроскоп,related,word,word,0.74770208538965
камера,микрофон,related,word,word,0.552734322325985
милион,милијарда,related,word,word,0.683535282980551
опроштај,милост,related,word,word,0.606083643135283
амбасадор,министар,related,word,word,0.498109799976103
амбасада,министарство,related,word,word,0.46251619585281
плус,минус,related,word,word,0.547172968079716
секунда,минут,related,word,word,0.617569740473988
тих,миран,related,word,word,0.393558665734091
укус,мирис,related,word,word,0.616006578783622
задатак,мисија,related,word,word,0.427359191583416
тајна,мистерија,related,word,word,0.492071323138613
нерв,мишић,related,word,word,0.561820219449002
стар,млад,related,word,word,0.439800735030983
сениор,јуниор,related,word,word,0.753106221543387
шанса,могућност,related,word,word,0.512657075770792
огреботина,модрица,related,word,word,0.676247477413184
сув,мокар,related,word,word,0.570254904310999
екран,монитор,related,word,word,0.587202136947488
гусар,морнар,related,word,word,0.645237330474183
маринац,морнарица,related,word,word,0.552988361241772
аспирин,морфијум,related,word,word,0.697626260423308
хотел,мотел,related,word,word,0.829576996433821
резервоар,мотор,related,word,word,0.568729627936827
пчела,мрав,related,word,word,0.497551691206139
сенка,мрак,related,word,word,0.505201702753516
жив,мртав,related,word,word,0.504488610194877
библиотека,музеј,related,word,word,0.514030799124861
џез,музика,related,word,word,0.568511956176106
певач,музичар,related,word,word,0.630087259487016
еволуција,мутација,related,word,word,0.75805538451638
патња,мучење,related,word,word,0.494975093786171
пролив,мучнина,related,word,word,0.561199322081074
тачка,навести,related,word,word,0.41251491612508
нобел,награда,related,word,word,
бонус,награда,related,word,word,0.506961307463417
софа,кревет,related,word,word,0.425535381115905
име,наслов,related,word,word,0.423517884996162
сврха,намера,related,word,word,0.518749970680398
случајно,намерно,related,word,word,0.515414389991349
инвазија,напад,related,word,word,0.490147021282293
жртва,нападач,related,word,word,0.443242842245896
отићи,напустити,related,word,word,0.52053646600528
зелена,наранџаста,related,word,word,0.599948521740629
команда,наређење,related,word,word,0.511590751367768
земља,народ,related,word,word,0.476085141846778
наслеђе,наследити,related,word,word,0.759571030275643
продужити,наставити,related,word,word,0.530727609195033
технологија,наука,related,word,word,0.58372730022526
геније,научник,related,word,word,0.528391920739854
сликати,цртати,related,word,word,0.717627974663192
неспособан,немоћан,related,word,word,0.661838838398074
небо,небески,related,word,word,0.557576777182965
импресиван,невероватан,related,word,word,0.635195619293915
младожења,невеста,related,word,word,0.563414157689444
позитиван,негативан,related,word,word,0.811423326354316
другде,негде,related,word,word,0.599728490813137
управо,недавно,related,word,word,0.441589661020329
месец,седмица,related,word,word,0.449559950737524
субота,недеља,related,word,word,0.58911793210734
дневни,недељни,related,word,word,0.62755327518808
мекан,нежан,related,word,word,0.731054490819126
беспомоћан,немоћан,related,word,word,0.766499091821731
неразуман,неодговоран,related,word,word,0.690544862330673
изненада,неочекивано,related,word,word,0.555278431054629
анонимни,непознат,related,word,word,0.470284699310667
неправда,неправедан,related,word,word,0.816563695578168
неудобан,непријатан,related,word,word,
забринут,нервозан,related,word,word,0.560872821209134
несрећан,несрећа,related,word,word,0.848247899019571
инцидент,незгода,related,word,word,0.524799845774234
смрт,нестанак,related,word,word,0.465228429921456
унук,нећак,related,word,word,0.635231009942811
успех,неуспех,related,word,word,0.828217326185232
ништа,нешто,related,word,word,0.472192390666822
кеш,новац,related,word,word,0.48786670638261
чланак,новине,related,word,word,0.448383669991749
репортер,новинар,related,word,word,0.573353304987006
џеп,новчаник,related,word,word,0.591021589780318
мач,нож,related,word,word,0.5205576346269
здрав,нормалан,related,word,word,0.501611792341447
уста,нос,related,word,word,0.421800510544499
атомски,нуклеарни,related,word,word,0.615454183150441
изван,около,related,word,word,0.327802216139403
извештавати,информисати,related,word,word,0.650527829436384
плажа,обала,related,word,word,0.506919748536414
омогућити,обезбедити,related,word,word,0.623226302045462
гаранција,обећање,related,word,word,0.477249650694129
обично,уобичајено,related,word,word,0.618656207161546
нормално,генерално,related,word,word,0.564302584690454
усна,образ,related,word,word,0.429469053814803
здравље,образовање,related,word,word,0.566805530161634
храна,оброк,related,word,word,0.476485600601052
одраз,огледало,related,word,word,0.5140793446886
зид,ограда,related,word,word,0.459399886191952
прстен,огрлица,related,word,word,0.500442457116898
велики,огроман,related,word,word,0.569396944228714
изабрати,одабрати,related,word,word,0.88432917151025
заштитити,одбранити,related,word,word,0.645798309176732
прљав,одвратан,related,word,word,0.549462498408172
одговор,одговорити,related,word,word,0.810571045149906
долазак,одлазак,related,word,word,0.770944228324103
храброст,одлучност,related,word,word,0.677638342398777
дозвола,одобрење,related,word,word,0.547293533554821
отпор,одупирати се,related,word,word,
услуга,одржавање,related,word,word,0.446320651124015
присуство,одсуство,related,word,word,0.793502365733486
неожењен,ожењен,related,word,word,0.915942529846278
тетоважа,ожиљак,related,word,word,0.566153447636192
море,океан,related,word,word,0.523206417842077
штит,оклоп,related,word,word,0.571087936407069
округао,укруг,related,word,word,0.686819511684169
жупанија,округ,related,word,word,
бруталан,окрутан,related,word,word,0.744905854780347
зло,окрутност,related,word,word,0.487373869287933
септембар,октобар,related,word,word,0.799544298283341
ветар,олуја,related,word,word,0.515158283949624
ризичан,опасан,related,word,word,0.721728396760641
ризик,опасност,related,word,word,0.520854058101122
профил,опис,related,word,word,0.529575076395604
украсти,опљачкати,related,word,word,0.568739156996408
чист,опрати,related,word,word,0.384461351549314
опрема,опремити,related,word,word,
жалба,оптужба,related,word,word,0.63099485424214
избор,опција,related,word,word,0.458317028585418
планета,орбита,related,word,word,0.622624377885527
уредити,организовати,related,word,word,0.567384816494763
витрина,ормар,related,word,word,
арсенал,оружарница,related,word,word,
пиштољ,оружје,related,word,word,0.54699673956297
свеж,освежити,related,word,word,
нежан,осетљив,related,word,word,0.622848609513894
утисак,осећање,related,word,word,0.451377466828398
остати,преостати,related,word,word,
сумња,осумњичени,related,word,word,0.585785276867365
мајка,отац,related,word,word,0.560427040660312
киднаповати,отети,related,word,word,0.63347016294458
днк,отисак прста,related,word,word,
отмичар,откупнина,related,word,word,0.567222633957476
оставка,отпуштање,related,word,word,0.471820691510285
чекати,очекивати,related,word,word,0.615343063112382
јасно,очигледно,related,word,word,0.457812319951679
рај,пакао,related,word,word,0.512657931067695
коверат,пакет,related,word,word,0.473750574895726
прст,палац,related,word,word,0.474688226653646
кабина,палуба,related,word,word,0.61635881802473
свила,памук,related,word,word,0.475151701433829
кромпир,парадајз,related,word,word,0.634498566958834
натприродан,паранормалан,related,word,word,
кармин,парфем,related,word,word,0.612996644240488
карта за вожњу,пасош,related,word,word,
јадан,патетичан,related,word,word,0.687479114291662
гуска,патка,related,word,word,0.6328905764511
стражар,патрола,related,word,word,0.575499362503861
разбити,сломити,related,word,word,0.641487877990597
миш,пацов,related,word,word,0.506213469171246
вагина,пенис,related,word,word,0.545261109032868
полупречник,обим,related,word,word,
поглед,перспектива,related,word,word,0.392739595747121
шоу,изведба,related,word,word,0.368537212998532
блато,песак,related,word,word,0.511849282890383
албум,песма,related,word,word,0.490233932972108
текст,песма,related,word,word,0.452397316139112
рерна,шпорет,related,word,word,0.474355212527141
ћебе,пешкир,related,word,word,0.579012286534848
пити,пиво,related,word,word,0.528500690227944
трезан,пијан,related,word,word,0.634112395335867
астронаут,пилот,related,word,word,0.533335235550379
таблета,пилула,related,word,word,0.608530329346001
читање,писање,related,word,word,0.748144574686404
читати,писати,related,word,word,0.73051613802742
песник,писац,related,word,word,0.559039677193689
питање,питати,related,word,word,0.639564846904479
пушка,пиштољ,related,word,word,0.557863514390202
браон,плава,related,word,word,0.537501261454278
ватра,пламен,related,word,word,0.50654776961009
брдо,планина,related,word,word,0.49002526205805
припрема,планирање,related,word,word,0.45869258503679
цемент,пластика,related,word,word,0.500109814003745
пензија,плата,related,word,word,0.557582312458404
плашити,уплашити,related,word,word,0.932119560199804
плесач,плесати,related,word,word,0.751547162305294
утопити се,пливати,related,word,word,
крађа,пљачка,related,word,word,0.49947820758627
добити,победити,related,word,word,0.483288583629958
губитник,победник,related,word,word,0.648548924350751
бежати,побећи,related,word,word,0.622684014679189
промена,побољшање,related,word,word,0.518378059866791
рана,повреда,related,word,word,0.50837939251332
слој,површина,related,word,word,0.482736584314194
гурати,вући,related,word,word,0.597176876564426
поноћ,подне,related,word,word,0.510766758162611
честитати,поздравити,related,word,word,0.568477786001819
популаран,познати,related,word,word,0.519847857048615
биоскоп,позориште,related,word,word,0.528782866518632
особа,појединац,related,word,word,0.555065062053003
коцкање,покер,related,word,word,0.490261810450097
комплимент,поклон,related,word,word,0.507698768067454
покушати,покушај,related,word,word,0.797674003894164
новинарство,политика,related,word,word,0.525637556513093
политика,политичар,related,word,word,0.743412265075844
критички,политички,related,word,word,0.815145314629008
статус,положај,related,word,word,0.54336572473985
помоћи,припомоћи,related,word,word,
секретар,помоћник,related,word,word,0.546475869698277
подршка,помоћ,related,word,word,0.574220514455
средити,поправити,related,word,word,0.583002906676907
победа,пораз,related,word,word,0.566210000684794
клан,породица,related,word,word,0.359344798949876
упозорење,порука,related,word,word,0.399610576916076
наредник,поручник,related,word,word,0.641977822302366
индустрија,бизнис,related,word,word,0.514542120510973
потврда,потврдити,related,word,word,0.813993822933218
пратити,јурити,related,word,word,0.622668568889434
печат,потпис,related,word,word,0.568514757517497
донети,послати,related,word,word,0.51585443722576
освета,правда,related,word,word,0.484673838776902
истинит,прави,related,word,word,0.396985450884029
незаконит,законит,related,word,word,0.905270349306272
божић,празник,related,word,word,0.553130314430033
буквално,практично,related,word,word,0.521169240409316
пратња,пратити,related,word,word,0.667991476478399
пепео,прашина,related,word,word,0.564715500429513
