"ca_cue","ca_target","ca_fake_target","ca_fake_cue","en_cue","en_target"
"brut","inmmund","inyeund","atut","nasty","filthy"
"brut","repugnant","remagnant","atut","dirty","disgusting"
"brutal","cruel","crsil","atutal","brutal","cruel"
"buit","ple","rde","ocit","empty","full"
"butxaca","cartera","canaera","buefaca","pocket","wallet"
"cabanya","coberta","coinrta","capenya","cabin","deck"
"cabell","barba","balva","cargll","hair","beard"
"cable","cable","catie","catie","cable","wire"
"cacera","pescar","perjar","carpra","hunting","fishing"
"cadena","corda","colta","cadesg","chain","rope"
"caixa","bossa","aiasa","calca","box","bag"
"caixa forta","segur","sehar","caixmiforta","safe","secure"
"calendari","llista","arista","carnndari","calendar","schedule"
"calent","refredat","refrocat","carnnt","hot","cold"
"calent","guai","unai","carnnt","warm","cool"
"calibre","bala","pula","capobre","caliber","bullet"
"calor","temperatura","teoberatura","caear","heat","temperature"
"cambrer","cambrera","cambreno","caurrer","waiter","waitress"
"càmera","micròfon","microton","tumera","camera","microphone"
"camisa","jaqueta","dequeta","mítisa","shirt","jacket"
"camp","nació","aució","caoe","country","nation"
"campament","poble","ponse","capaament","camp","village"
"campanya","elecció","rrecció","capaanya","campaign","election"
"campió","lluitador","tractador","caerió","champion","fighter"
"canal","notícies","estícies","cartl","channel","news"
"canceller","president","preslment","carveller","chancellor","president"
"candidat","votant","putant","candènat","candidate","voter"
"canó","dinamita","dinançta","carè","gunpowder","dynamite"
"cansat","famolenc","temolenc","caedat","tired","hungry"
"cantant","músic","josic","carrant","singer","musician"
"cantonada","carreró","carricó","consolada","corner","alley"
"canvi","millora","vellora","caumi","change","improvement"
"canviar","diner","dimar","castiar","cash","money"
"canyella","vanilla","vamulla","caunella","cinnamon","vanilla"
"capa","superfície","superfbrie","camo","layer","surface"
"capacitar","proporcionar","proporanonar","caticitar","enable","provide"
"capacitat","habilitat","haurlitat","campcitat","capacity","ability"
"capital","ciutat","cincat","capiall","capital","city"
"càpsula","submergir","suplergir","càíbula","capsule","probe"
"car","barat","ograt","inr","expensive","cheap"
"carboni","hidrogen","hidrcten","caneoni","carbon","hydrogen"
"cargol","tortuga","tortcha","cargsi","snail","turtle"
"caritat","donació","manació","seritat","charity","donation"
"carn de porc","carn","cale","carn dcoporc","pork","meat"
"carnestoltes","festival","feströal","carnestoltre","carnival","festival"
"carregar","càrrega","burrega","carrular","load","cargo"
"carrera","reputació","rematació","caguera","career","reputation"
"carretera","autopista","automosta","carrivera","road","highway"
"cartera","maleta","mamata","caibera","briefcase","suitcase"
"casa","apartament","apareiment","aristocrøticasa","house","apartment"
"casc","barret","baomet","catà","helmet","hat"
"càstig","empresonament","empresgaament","càstat","penalty","imprisonment"
"castigar","aturar","atenar","castatar","punish","arrest"
"catòlic","cristià","crisntà","cauclic","catholic","christian"
"caure","col·lapsar","col·ampsar","capde","fall","collapse"
"cavalleria","artilleria","artisferia","caenlleria","cavalry","artillery"
"cavar","enterrar","enteixar","caser","dig","bury"
"cec","sord","vard","huc","blind","deaf"
"cel","celestial","cemostial","oll","sky","heavenly"
"celebritat","estrella","estruila","celeetitat","celebrity","star"
"cel·la","presó","prrdó","cedlla","cell","prison"
"cendra","pols","pobr","cedera","ash","dust"
"cerca","trobar","trrlar","ceama","search","find"
"cercle","triangle","trbengle","cevele","circle","triangle"
"cervell","cerebral","cerealal","cencell","brain","cerebral"
"césar","roma","roel","ulsar","caesar","rome"
"chaos","confusió","confusse","chíss","chaos","confusion"
"ciment","plàstic","pleitic","gement","cement","plastic"
"cinèma","teatre","fiatre","cikoma","cinema","theater"
"cirurgià","metge","mevee","cisargià","surgeon","doctor"
"civil","militar","velitar","cieal","civil","military"
"clan","família","fagolia","cles","clan","family"
"classificar","escola","escomi","clasràficar","class","school"
"clau","dent","dete","unau","nail","tooth"
"clau","pany","pads","unau","key","lock"
"clau","òbviament","söviament","unau","clearly","obviously"
"club","prohibició","prohquició","clbà","club","bar"
"cobrir","amagar","amobar","cobrun","cover","hide"
"cocaïna","heroïna","sproïna","coulïna","cocaine","heroin"
"codi","contrasenya","contramunya","cock","code","password"
"coet","missil","vessil","coba","rocket","missile"
"còlera","ràbia","nòbia","julera","anger","rage"
"coll","coll","coiu","coiu","throat","neck"
"colla","grup","grmm","coeta","gang","group"
"col·lega","amic","ambi","coirlega","colleague","friend"
"col·legi","universitat","unetersitat","coarlegi","college","university"
"col·lisionar","trencar","emencar","cofèlisionar","smash","break"
"col·locar","ubicació","svicació","corflocar","place","location"
"colònia","federacoó","fedealcoó","copania","colony","federation"
"comandament","ordre","oróse","comandetent","command","order"
"comandant","capità","capiss","comanduit","commander","captain"
"combatre","combat","coetat","coetatre","combat","fight"
"combinació","mescla","mescer","combinenió","combination","mixture"
"comentari","declaració","declardsió","comeapari","comment","statement"
"comercial","comerciant","comeogiant","comeogial","commercial","merchant"
"comissió","comissió","colassió","comisser","commission","committee"
"companyia","societat anònima","societathénònima","compancla","company","corporation"
"compassiu","generós","geneips","comptasiu","compassionate","generous"
"competició","campionat","campalnat","competllió","competition","championship"
"compliment","verí","rdrí","complissnt","compliment","gift"
"comprar","vendre","candre","cogarar","buy","sell"
"compromís","casament","catsment","comprodcs","engagement","wedding"
"compte","calcular","candular","preote","count","calculate"
"comtat","districte","distritàe","copeat","county","district"
"comuna","habitual","hasutual","comull","ordinary","usual"
"concedir","deixar","deacar","concedei","allow","let"
"concepte","definició","definiban","concbote","concept","definition"
"conclusió","suposició","supopeció","concomsió","conclusion","assumption"
"conduir","cavalcada","embarcada","conditr","drive","ride"
"conferència","reunió","reurar","conferadcia","conference","meeting"
"confiança","creure","crirre","coàniança","trust","believe"
"confirmació","confirmar","conffumar","conffumació","confirmation","confirm"
"conflicte","disputa","dispana","covelicte","conflict","dispute"
"confortable","agradable","agranoble","coatortable","comfortable","pleasant"
"congratular","rebre","libre","congrasilar","congratulate","greet"
"consell","aconsellar","aconcallar","coorell","advice","advise"
"consell de ministres","armari","llmari","consell derxinistres","cabinet","closet"
"conservador","liberal","limbral","demostrador","conservative","liberal"
"considerar","pensar","peitar","considerit","consider","think"
"conspiració","frau","freq","consumració","conspiracy","fraud"
"construcció","construir","constrelr","constratció","construction","build"
"contacte","conexió","conermó","contlete","contact","connection"
"contaminació","radiació","raamació","contaminenió","contamination","radiation"
"contenir","cumplir","cutalir","contudir","hold","keep"
"contenir","content","coiment","contudir","contain","content"
"contracte","acord","flord","contralle","contract","agreement"
"control","manipular","manivelar","contarl","control","manipulate"
"conversa","discussió","dimeussió","cortársa","conversation","discussion"
"copejar","colpejar","cootejar","coitjar","hit","strike"
"coratge","determinació","determinenió","conntge","courage","determination"
"corona","tron","trla","coroll","crown","throne"
"correcte","real","reti","coelecte","TRUE","real"
"correr","passejar","passalar","coguer","run","walk"
"correu","fax","itx","conyeu","mail","fax"
"corva","rodar","pidar","coeïa","turn","rotate"
"cos","cadàver","caidver","iïs","body","corpse"
"creació","destrucció","destruptió","crtució","creation","destruction"
"crear","produir","prodvar","crlor","create","produce"
"crèdit","deixar","deacar","craait","credit","loan"
"crític","polític","poèntic","quític","critical","political"
"cruixit","forat","ograt","cruijet","crack","hole"
"cuadre","foto","forç","ndadre","picture","photo"
"cuc","serp","selò","àﬁc","worm","snake"
"cuiner","xef","isf","cuinse","cook","chef"
"cul","cul","yal","yal","ass","butt"
"cullera","forquilla","footuilla","tillera","spoon","fork"
"cultura","civilització","civiurtzació","cuocura","culture","civilization"
"curt","llarg","ararg","tart","short","long"
"dades","informació","infoeració","ntdes","data","information"
"daurada","plata","rmata","tsubada","golden","silver"
"davall","a sobre de","ébsobre de","ervall","down","up"
"davant de","contrari","contrama","davantþie","opposite","contrary"
"davanter","darrere","darrate","dapinter","front","rear"
"de novembre","desembre","desmores","deohovembre","november","december"
"de sobte","inesperadament","inesperatsment","de sobvi","suddenly","unexpectedly"
"de tant en tant","rarament","raromput","delfant en tant","occasionally","rarely"
"dedicar-se","utilitzar","utilitler","descarase","apply","use"
"degà","professor","prenessor","deño","dean","professor"
"deixar","abandonar","abanmanar","deacar","leave","abandon"
"delicat","sensible","sensegle","desfcat","delicate","sensitive"
"demà","matí","maks","defe","tomorrow","morning"
"dencent","honest","ginest","debient","decent","honest"
"desafortunat","desgràcia","desgarcia","desoportunes","unfortunate","misfortune"
"descans","dormir","dogair","dertans","rest","sleep"
"descriure","expressar","depressar","descrigie","describe","express"
"desertar","vall","enll","dedestra","desert","valley"
"desig","desitjar","dematjar","deørg","desire","wish"
"destí","destí","deguí","dequí","fate","destiny"
"detonatador","jornitzador","suavitzador","depositador","detonator","timer"
"déu","divina","dilana","yeu","god","divine"
"diamant","joia","ngia","diréant","diamond","jewel"
"diàriament","semanalment","sepenalment","scàriament","daily","weekly"
"diarrea","nàusea","mpusea","imarrea","diarrhea","nausea"
"diccionari","frase","gesse","reccionari","dictionary","phrase"
"digusting","lleig","lliag","dictsting","digusting","ugly"
"dilluns","dimarts","ckmarts","dillvés","monday","tuesday"
"dinastia","imperi","siperi","ditostia","dynasty","empire"
"diploma","graduat","inaduat","dipleda","diploma","graduate"
"dir","dir","ger","ger","say","tell"
"direcció","administratiu","administrancu","diremuió","management","administrative"
"dirigir","triomfar","triounar","marigir","manage","succeed"
"dirigir","directament","direigament","marigir","direct","directly"
"discreció","polític","poèntic","discinció","policy","politician"
"discurs","sermó","setjó","discess","speech","sermon"
"dissabte","diumenge","diogenge","dissevte","Saturday","Sunday"
"distància","velocitat","vevicitat","distfacia","distance","speed"
"dit","polze","pomee","uet","finger","thumb"
"divisa","uniforme","rtiforme","aixasa","badge","uniform"
"divorciar","matrimoni","mameimoni","divotaiar","divorce","marriage"
"dna","empremta","emprofta","mfa","dna","fingerprint"
"doble","triple","trbble","puble","double","triple"
"dolç","bonic","boscc","domé","sweet","cute"
"dolent","crueltat","crueacat","salent","evil","cruelty"
"dos","quatre","ndatre","ròs","two","four"
"dosi","injecció","inducció","dope","dose","injection"
"dossier","document","domoment","donvier","file","document"
"drac","lleó","lltz","otac","dragon","lion"
"drama","comèdia","numèdia","drrca","drama","comedy"
"dramàtica","romàntic","rolintic","parabrica","dramatic","romantic"
"dret","esquerre","esnterre","drie","right","left"
"dubte","sospitós","sospitul","duère","doubt","suspect"
"dur","dur","wer","wer","tough","hard"
"dutxa","bany","bads","duaga","shower","bathroom"
"dvd","vídeo","víbio","ésd","dvd","video"
"educat","amicablement","amahablement","edrlat","polite","friendly"
"eina","instrument","instgoment","eime","tool","instrument"
"elecció","opció","bució","rrecció","choice","option"
"eliminar","treure","tripre","elaginar","eliminate","remove"
"emocionant","interessant","interessibt","embrionant","exciting","interesting"
"empassar","mastegar","maelegar","empainar","swallow","chew"
"empenta","tirar","lerar","emperqa","push","pull"
"en una altra part","a algún lloc","a algúïalloc","en unalçltra part","elsewhere","somewhere"
"encant","bellesa","beccasa","encarr","charm","beauty"
"enemic","oponent","opugent","enspic","enemy","opponent"
"enfocament","concentrar-se","comentarisse","enxecament","focus","concentrate"
"enginyer","arquitecte","arquitéste","enginyav","engineer","architect"
"enginyós","divertida","navertida","enginyno","witty","funny"
"entorn","atmosfera","atmoadera","entolt","environment","atmosphere"
"entrar","caminar","castnar","entrom","enter","go"
"entrenador","jugadora","posadora","esbrinador","coach","player"
"entrepà","dinar","difir","entravà","snack","lunch"
"entusiasme","passió","passer","entusihame","enthusiasm","passion"
"envejós","empipat","emtapat","enveròs","jealous","angry"
"equilibri","harmonia","harmalia","equianbri","balance","harmony"
"equip","equipar","wouipar","eqjop","equipment","equip"
"error","errada","grosda","erhir","error","mistake"
"escalar","saltar","saamar","escarir","climb","jump"
"esclau","servent","seorent","esclès","slave","servant"
"escollir","seleccionar","seurccionar","escostir","choose","select"
"escoltar","escoltar","escoamar","escoamar","listen","hear"
"escombreries","escombreria","escombregra","escombrevaes","trash","garbage"
"escut","armadura","armatsra","eseat","shield","armor"
"esgarrapar","contusió","contiqió","esonrrapar","scratch","bruise"
"església","capella","cafolla","esglyoia","church","chapel"
"espantar","espantar","esparear","esparear","scare","frighten"
"espasa","ganivet","ganilut","salasa","sword","knife"
"espatlla","genoll","gekull","esrotlla","shoulder","knee"
"especial","únic","tàic","essicial","special","unique"
"espectacle","rendiment","reltiment","espealacle","show","performance"
"esperança","fe","ín","esperasia","hope","faith"
"esperar","esperar","esagrar","esagrar","wait","expect"
"espia","traïdor","treudor","esila","spy","traitor"
"espinal","abdominal","abbeminal","essenal","spinal","abdominal"
"espionatge","sabotatge","rebotatge","espicsatge","espionage","sabotage"
"esquena","retornar","rectrnar","eslmena","back","return"
"esquerdar-se","dispositiu","dispositer","esquelètise","chip","device"
"esquirol","ós rentador","ós rentarmi","esquneol","squirrel","raccoon"
"estadi","beisbol","beissel","estark","stadium","baseball"
"estat","posició","resició","essit","status","position"
"estirar","núvia","ayvia","escorar","groom","bride"
"estiu","hivern","hivelt","escou","summer","winter"
"estòmac","pit","tut","estòtec","stomach","chest"
"estrès","depressió","decaessió","estruo","stress","depression"
"estret","ample","amore","estron","narrow","wide"
"estudiant","mestra","pastra","estublant","student","teacher"
"etern","per sempre","peomsempre","etlan","eternal","forever"
"evidència","proba","prrxa","ndidència","evidence","proof"
"evolució","mutació","optació","evolerió","evolution","mutation"
"examen","inspecció","inisecció","extaen","examination","inspection"
"examinar","investigar","investalar","exarians","examine","investigate"
"excel · lent","gran","raan","excenw· lent","excellent","great"
"excepcional","notable","ietable","excestional","exceptional","remarkable"
"èxit","fracàs","fracil","vòit","success","failure"
"experiència","coneixement","coneixtrent","experigacia","experience","knowledge"
"experiment","criteri","critiui","experibant","experiment","test"
"experta","especialista","essicialista","expeega","expert","specialist"
"explicació","plausible","plauríble","expltzació","explanation","plausible"
"explosió","explotar","expllmar","exntosió","burst","explode"
"extra","addcional","adpeional","excta","extra","additional"
"extremadament","molt","morn","extrroadament","extremely","very"
"fàbrica","producció","prodvació","submica","factory","production"
"factor","element","érement","factus","factor","element"
"faldilla","vestir-se","vestirai","fareilla","skirt","dress"
"fals","fals","tols","tols","fake","FALSE"
"fam","set","ort","röm","hunger","thirst"
"fang","sorra","solla","fald","mud","sand"
"fase","període","caríode","farés","phase","period"
"federal","estat","essit","xaderal","federal","state"
"fenomen","aconteixement","aconterrement","annomen","phenomenon","event"
"fer","fer","çar","yar","make","do"
"ferir-se","lesió","lejaó","fexerse","wound","injury"
"ferm","agència","lvència","feug","firm","agency"
"fermament","fortament","foivament","feiyament","firmly","strongly"
"ferro","metal","meall","fecto","iron","metal"
"fiança","seguretat","seguiatat","anança","security","safety"
"fidelitat","devoció","detúció","fiellitat","fidelity","devotion"
"filla","fill","soll","nella","daughter","son"
"filosofia","religió","ulligió","fistsofia","philosophy","religion"
"final","acabar","acilar","bonal","end","finish"
"final","definitiva","definimuva","bonal","final","ultimate"
"finalment","al cap i a la fi","al cap i a lulfi","finançent","finally","eventually"
"financerament","finançament","finallament","financerseent","financially","financing"
"finances","invertir","invellir","finaltes","finance","invest"
"finestra","porta","poega","canestra","window","door"
"fira","raonable","ratrable","ígra","fair","reasonable"
"física","matemàtiques","matecatiques","mønica","physics","mathematics"
"fixar","reparació","reciració","atxar","fix","repair"
"foc","flama","flexa","pec","fire","flame"
"fondre","congelar","congrçar","fompre","melt","freeze"
"font","tardor","tabior","gint","spring","autumn"
"font","informant","indermant","gint","source","informant"
"fora","endins","endign","bara","outside","inside"
"força","energia","enimgia","fogma","power","energy"
"força","força","fogma","fogma","strength","force"
"forma","signe","sidge","foïda","form","sign"
"formigó","acer","dger","fofaigó","concrete","steel"
"forn","cuina","rrina","folt","oven","stove"
"fort","feble","eible","fodo","strong","weak"
"foscor","llum","llie","fothor","darkness","light"
"fragment","peça","peme","frcàment","fragment","piece"
"freqüència","senyal","seinal","freqnencia","frequency","signal"
"fresc","actualització","actualitzantó","frinc","fresh","refresh"
"fugir","escapar-se","destapase","stgir","flee","escape"
"fum","cigar","cillr","lím","smoke","cigar"
"funcionar","cirurgia","cirutaia","rancionar","operate","surgery"
"futur","passada","ritzada","fukar","future","past"
"galeria","exhibició","excabició","galefoa","gallery","exhibition"
"gallet","acostar-se","agosarase","ganiet","trigger","activate"
"garantitzar","promesa","coopesa","etrantitzar","guarantee","promise"
"gas","combustible","confustible","ües","gas","fuel"
"generador","reactor","repotor","armarador","generator","reactor"
"general","coronell","cocinell","puneral","general","colonel"
"geni","científic","ciensòfic","geey","genius","scientist"
"gerent","cap","rup","horent","manager","boss"
"germana","germà","gesià","agrmana","sister","brother"
"gest","representar","rendesentar","bast","gesture","act"
"gira","concert","concnet","hura","tour","concert"
"gloriosa","glòria","gleeia","gunacosa","glorious","glory"
"golf","tenis","teens","orlf","golf","tennis"
"gos","gat","att","zis","dog","cat"
"got","ampolla","amislla","iet","glass","bottle"
"governador","senador","pasador","anomenador","governor","senator"
"governar","protocol","protadol","orvernar","rule","protocol"
"gra","farina","cerina","xia","grain","flour"
"gran","enorme","enorci","raan","big","huge"
"granger","treballador","envolupador","raanger","farmer","worker"
"granota","llangardaix","llangatuaix","granyia","frog","lizard"
"gratificació","recompensa","encomanasa","gratònicació","bonus","reward"
"grip","malaltia","malangia","grxe","flu","disease"
"guany","triomf","trionl","avany","gain","win"
"guanyar","ingrés","inraés","guanmir","profit","income"
"guarda","patrulla","patrenla","gucada","guard","patrol"
"guerra","batalla","bachlla","rrerra","war","battle"
"guillot","conill","penill","gucalot","fox","rabbit"
"gust","olorar","olorga","guda","taste","smell"
"habitació","dormitori","dormesori","haputació","room","bedroom"
"habitual","electricitat","elecuticitat","hasatual","current","electricity"
"heroi","salvador","salvaría","hesai","hero","savior"
"historial","gravació","grcració","pestorial","record","recording"
"hola","bye","mie","hoon","hello","bye"
"home","humà","huup","adme","man","human"
"hormona","adrenalina","adrefolina","howeona","hormone","adrenaline"
"horror","por","eur","parror","horror","fear"
"hospital","clínica","alenaca","vespital","hospital","clinic"
"hospitalitat","agraïment","agravéent","vespitalitat","hospitality","gratitude"
"hotel","motel","optel","hosal","hotel","motel"
"hulla","lubricar","lumbicar","huaga","coal","oil"
"humil","modest","esdest","gimil","humble","modest"
"huracà","tornado","passado","huraav","hurricane","tornado"
"ide","teoria","emoria","rge","idea","theory"
"ideal","perfeccionar","pefleccionar","keeal","ideal","perfect"
"ignorància","arrogància","arrordncia","igjurància","ignorance","arrogance"
"il·legal","legítim","lerutim","ilàsegal","illegal","legal"
"il·luminació","tro","olo","il·lfeinació","lightning","thunder"
"il·lusió","al·lucinació","alahucinació","ilènusió","illusion","hallucination"
"imaginació","creativitat","cràntivitat","imaginenió","imagination","creativity"
"imperial","emperador","samarador","impeanal","imperial","emperor"
"impossible","fàcil","dècil","impossanle","impossible","easy"
"impressió","sensació","setuació","sipressió","impression","feeling"
"impressionant","extraordinari","extroirdinari","impressidiant","impressive","amazing"
"incapaç","impotent","imertent","picapaç","helpless","powerless"
"incapacitat","incapaici","incaøtici","picapacitat","inability","unable"
"incident","accident","acsadent","recident","incident","accident"
"incòmoda","desagradable","desigualable","incòmonò","uncomfortable","unpleasant"
"indústria","negocis","nesicis","inoàstria","industry","business"
"influència","efecte","màecte","inflabncia","influence","effect"
"informar","informar","infoptar","indermar","report","inform"
"ingenu","estúpid","esbipid","ingeyi","naïve","stupid"
"ingènual","cínic","vènic","inósnual","naive","cynical"
"injustícia","injust","inpost","injurnícia","injustice","unfair"
"innocent","culpable","culpitle","intucent","innocent","guilty"
"inserir","posar","susar","indurir","insert","put"
"insòlit","estrany","estrlly","inoplit","unusual","strange"
"inspeccionar","verificar","mirificar","iniseccionar","check","verify"
"inspector","comissionat","comissosnat","inspmotor","inspector","commissioner"
"inspirar","inspiració","inspexació","inspecar","inspire","inspiration"
"instint","intuició","inogició","uestint","instinct","intuition"
"insult","ofendre","igendre","inislt","insult","offend"
"intel·ligent","intel · ligent","intel héligent","inteogligent","smart","intelligent"
"intent","intentar","inteapar","interr","try","attempt"
"intern","extern","extelt","intelt","internal","external"
"internacional","món","cen","inteblacional","international","world"
"internet","roba","roso","inteixet","internet","web"
"interrompre","molestar","momostar","intermorarà","interrupt","disturb"
"inundar","nedar","nener","inunesr","drown","swim"
"inútil","sense valor","senstàvalor","inúhle","useless","worthless"
"invasió","atacar","atacta","infisió","invasion","attack"
"ioga","massatge","massatxi","jega","yoga","massage"
"ironia","irònic","irésic","irraia","irony","ironic"
"irraonable","irresponsable","irresprosable","ldraonable","unreasonable","irresponsible"
"ja","encara","citara","rt","already","still"
"jazz","música","moraca","mezz","jazz","music"
"jeep","vagó","vayu","jeho","jeep","truck"
"jugada","pòquer","pònter","antida","gambling","poker"
"jugar","joc","pcc","ligar","play","game"
"jungla","bosc","bore","jusula","jungle","forest"
"juny","juliol","julisi","juds","june","july"
"jurar","jurament","borament","marar","swear","oath"
"jurisdicció","autoritat","datoritat","jurisdegció","jurisdiction","authority"
"just","recentment","rencntment","gist","just","recently"
"lasanya","espaguetis","esjuguetis","lasarda","lasagna","spaghetti"
"lavabo","enfonsar-se","engordarse","lavalt","toilet","sink"
"lectura","escriptura","escripilra","leixura","reading","writing"
"legió","excèrcit","exsorcit","lendó","legion","army"
"lent","ràpid","ràied","hint","slow","fast"
"lesbiana","gai","abi","leúriana","lesbian","gay"
"líquid","fluid","fllsd","itquid","liquid","fluid"
"literalment","pràctic","prletic","literatlent","literally","practically"
"lladre","criminal","criminqu","llsere","thief","criminal"
"llapis de llavis","perfum","perfig","llapis dïallavis","lipstick","perfume"
"llavi","galta","ganya","llmbi","lip","cheek"
"llegir","escriure","escrsare","aregir","read","write"
"llei","constitució","coextitució","llpe","law","constitution"
"lleial","fidel","fiell","llshal","loyal","faithful"
