"ca_target,"ca_cue","type","target_type","cue_type","ca_cosine"
"jaqueta","camisa","related","word","word",0.424135926277987
"nació","camp","related","word","word",0.0998069728786908
"poble","campament","related","word","word",0.221330879040085
"elecció","campanya","related","word","word",0.23717687333829
"lluitador","campió","related","word","word",0.31488364548858
"notícies","canal","related","word","word",0.179276550545416
"president","canceller","related","word","word",0.22567051537169
"votant","candidat","related","word","word",0.392662374800753
"dinamita","canó","related","word","word",0.3035390534878
"famolenc","cansat","related","word","word",0.400628618694724
"músic","cantant","related","word","word",0.171864021831382
"carreró","cantonada","related","word","word",0.30519554242609
"millora","canvi","related","word","word",0.104645471272763
"diner","canviar","related","word","word",0.0894634478186787
"vanilla","canyella","related","word","word",NA
"superfície","capa","related","word","word",0.335629105205612
"proporcionar","capacitar","related","word","word",NA
"habilitat","capacitat","related","word","word",0.491964543933616
"ciutat","capital","related","word","word",0.138207641922498
"submergir","càpsula","related","word","word",NA
"barat","car","related","word","word",0.155372120477477
"hidrogen","carboni","related","word","word",0.541560215457854
"tortuga","cargol","related","word","word",0.291949071275959
"donació","caritat","related","word","word",0.168815839324211
"carn","carn de porc","related","word","word",NA
"festival","carnestoltes","related","word","word",NA
"càrrega","carregar","related","word","word",0.500912949801654
"reputació","carrera","related","word","word",0.222906238498291
"autopista","carretera","related","word","word",0.313099356803478
"maleta","cartera","related","word","word",0.39647168146686
"apartament","casa","related","word","word",0.234346765468663
"barret","casc","related","word","word",0.353722191083005
"empresonament","càstig","related","word","word",0.277287656515886
"aturar","castigar","related","word","word",0.190324677568784
"cristià","catòlic","related","word","word",0.435106730622466
"col·lapsar","caure","related","word","word",NA
"artilleria","cavalleria","related","word","word",0.570088034712264
"enterrar","cavar","related","word","word",0.358681836574904
"sord","cec","related","word","word",0.216274518074098
"celestial","cel","related","word","word",0.53216351200092
"estrella","celebritat","related","word","word",0.168956887189166
"presó","cel·la","related","word","word",NA
"pols","cendra","related","word","word",0.397693811136531
"trobar","cerca","related","word","word",0.14715521386836
"triangle","cercle","related","word","word",0.321204138740596
"cerebral","cervell","related","word","word",0.469538008459099
"roma","césar","related","word","word",NA
"confusió","chaos","related","word","word",NA
"plàstic","ciment","related","word","word",0.220785631770023
"teatre","cinèma","related","word","word",NA
"metge","cirurgià","related","word","word",0.369112991519779
"militar","civil","related","word","word",0.256401800563816
"família","clan","related","word","word",0.144385031015915
"escola","classificar","related","word","word",NA
"dent","clau","related","word","word",0.104444403590292
"pany","clau","related","word","word",0.264563431908129
"òbviament","clau","related","word","word",0.182820216397238
"prohibició","club","related","word","word",NA
"amagar","cobrir","related","word","word",0.276948908046017
"heroïna","cocaïna","related","word","word",0.623326625137386
"contrasenya","codi","related","word","word",0.238571329343982
"missil","coet","related","word","word",NA
"ràbia","còlera","related","word","word",0.280376481658496
"coll","coll","related","word","word",1
"grup","colla","related","word","word",0.202764631052317
"amic","col·lega","related","word","word",NA
"universitat","col·legi","related","word","word",NA
"trencar","col·lisionar","related","word","word",NA
"ubicació","col·locar","related","word","word",NA
"federacoó","colònia","related","word","word",NA
"ordre","comandament","related","word","word",0.178667461964777
"capità","comandant","related","word","word",0.39934285981108
"combat","combatre","related","word","word",0.781910153663212
"mescla","combinació","related","word","word",NA
"declaració","comentari","related","word","word",0.24163896388763
"comerciant","comercial","related","word","word",0.803169530706987
"comissió","comissió","related","word","word",1
"societat anònima","companyia","related","word","word",NA
"generós","compassiu","related","word","word",0.408145072422397
"campionat","competició","related","word","word",0.204445934982752
"verí","compliment","related","word","word",0.224715508997941
"vendre","comprar","related","word","word",0.409209807455129
"casament","compromís","related","word","word",0.193375682746388
"calcular","compte","related","word","word",0.196219344272274
"districte","comtat","related","word","word",0.495524289687795
"habitual","comuna","related","word","word",0.201867785710999
"deixar","concedir","related","word","word",0.232608656386789
"definició","concepte","related","word","word",0.230886513010989
"suposició","conclusió","related","word","word",0.380255212598997
"cavalcada","conduir","related","word","word",NA
"reunió","conferència","related","word","word",0.321016005947367
"creure","confiança","related","word","word",0.240601397017387
"confirmar","confirmació","related","word","word",0.756448758834933
"disputa","conflicte","related","word","word",0.377022079440514
"agradable","confortable","related","word","word",0.470836455027148
"rebre","congratular","related","word","word",NA
"aconsellar","consell","related","word","word",0.654261067634961
"armari","consell de ministres","related","word","word",NA
"liberal","conservador","related","word","word",0.31057335813351
"pensar","considerar","related","word","word",0.280728792848761
"frau","conspiració","related","word","word",0.315942158695321
"construir","construcció","related","word","word",0.68725863122133
"conexió","contacte","related","word","word",NA
"radiació","contaminació","related","word","word",0.619915178040421
"cumplir","contenir","related","word","word",NA
"content","contenir","related","word","word",0.703770142872107
"acord","contracte","related","word","word",0.206208870378407
"manipular","control","related","word","word",0.159297069247672
"discussió","conversa","related","word","word",0.385715722931714
"colpejar","copejar","related","word","word",0.782582391075947
"determinació","coratge","related","word","word",0.226674663804126
"tron","corona","related","word","word",0.395887743660958
"real","correcte","related","word","word",0.162591483363339
"passejar","correr","related","word","word",0.25790119182862
"fax","correu","related","word","word",0.190433984775909
"rodar","corva","related","word","word",NA
"cadàver","cos","related","word","word",0.331804797276639
"destrucció","creació","related","word","word",0.476650992786232
"produir","crear","related","word","word",0.289490109669972
"deixar","crèdit","related","word","word",0.179982182900879
"polític","crític","related","word","word",0.577476182148613
"forat","cruixit","related","word","word",NA
"foto","cuadre","related","word","word",NA
"serp","cuc","related","word","word",0.309596133764006
"xef","cuiner","related","word","word",0.44740850982267
"cul","cul","related","word","word",1
"forquilla","cullera","related","word","word",0.483817755630552
"civilització","cultura","related","word","word",0.316035841191365
"llarg","curt","related","word","word",0.387732648357475
"informació","dades","related","word","word",0.222916241417863
"plata","daurada","related","word","word",0.30704040213073
"a sobre de","davall","related","word","word",NA
"contrari","davant de","related","word","word",NA
"darrere","davanter","related","word","word",0.249163904336246
"desembre","de novembre","related","word","word",NA
"inesperadament","de sobte","related","word","word",NA
"rarament","de tant en tant","related","word","word",NA
"utilitzar","dedicar-se","related","word","word",NA
"professor","degà","related","word","word",NA
"abandonar","deixar","related","word","word",0.272189775203967
"sensible","delicat","related","word","word",0.379002287111254
"matí","demà","related","word","word",0.537546383728433
"honest","dencent","related","word","word",NA
"desgràcia","desafortunat","related","word","word",0.323499317452738
"dormir","descans","related","word","word",0.291580501962971
"expressar","descriure","related","word","word",0.30316298138217
"vall","desertar","related","word","word",0.195945666680826
"desitjar","desig","related","word","word",0.496032388237831
"destí","destí","related","word","word",1
"jornitzador","detonatador","related","word","word",NA
"divina","déu","related","word","word",0.135268484160693
"joia","diamant","related","word","word",0.172593995995463
"semanalment","diàriament","related","word","word",NA
"nàusea","diarrea","related","word","word",NA
"frase","diccionari","related","word","word",0.231070842391693
"lleig","digusting","related","word","word",NA
"dimarts","dilluns","related","word","word",0.554119151427852
"imperi","dinastia","related","word","word",0.318639064269994
"graduat","diploma","related","word","word",NA
"dir","dir","related","word","word",1
"administratiu","direcció","related","word","word",NA
"triomfar","dirigir","related","word","word",0.249213666354383
"directament","dirigir","related","word","word",0.317055183898854
"polític","discreció","related","word","word",0.149072335727176
"sermó","discurs","related","word","word",0.332601389635618
"diumenge","dissabte","related","word","word",0.560575981800781
"velocitat","distància","related","word","word",0.275506665405126
"polze","dit","related","word","word",0.182097881322289
"uniforme","divisa","related","word","word",NA
"matrimoni","divorciar","related","word","word",0.301708745148903
"empremta","dna","related","word","word",NA
"triple","doble","related","word","word",0.380388057655625
"bonic","dolç","related","word","word",0.344920978907817
"crueltat","dolent","related","word","word",0.198030166793481
"quatre","dos","related","word","word",0.365288604863399
"injecció","dosi","related","word","word",0.447059011471895
"document","dossier","related","word","word",0.228921514581471
"lleó","drac","related","word","word",0.279742821853979
"comèdia","drama","related","word","word",0.421579232956857
"romàntic","dramàtica","related","word","word",0.404981529162403
"esquerre","dret","related","word","word",0.349707375651945
"sospitós","dubte","related","word","word",0.209208631197499
"dur","dur","related","word","word",1
"bany","dutxa","related","word","word",0.381058091081738
"vídeo","dvd","related","word","word",0.318547793413033
"amicablement","educat","related","word","word",NA
"instrument","eina","related","word","word",0.129129177814277
"opció","elecció","related","word","word",0.462058737961076
"treure","eliminar","related","word","word",0.251813929187296
"interessant","emocionant","related","word","word",0.398046526223564
"mastegar","empassar","related","word","word",0.477458305220829
"tirar","empenta","related","word","word",0.224592628995089
"a algún lloc","en una altra part","related","word","word",NA
"bellesa","encant","related","word","word",0.141147006278636
"oponent","enemic","related","word","word",0.266626334658829
"concentrar-se","enfocament","related","word","word",NA
"arquitecte","enginyer","related","word","word",0.486258440455866
"divertida","enginyós","related","word","word",0.310097454737489
"atmosfera","entorn","related","word","word",0.287505875192621
"caminar","entrar","related","word","word",0.148220969092192
"jugadora","entrenador","related","word","word",NA
"dinar","entrepà","related","word","word",0.277932800911178
"passió","entusiasme","related","word","word",0.297557571356105
"empipat","envejós","related","word","word",NA
"harmonia","equilibri","related","word","word",0.406086534666188
"equipar","equip","related","word","word",NA
"errada","error","related","word","word",0.337614397196734
"saltar","escalar","related","word","word",0.314509348574027
"servent","esclau","related","word","word",0.302963288832812
"seleccionar","escollir","related","word","word",0.234090593118138
"escoltar","escoltar","related","word","word",1
"escombreria","escombreries","related","word","word",NA
"armadura","escut","related","word","word",0.273917134006869
"contusió","esgarrapar","related","word","word",NA
"capella","església","related","word","word",0.212845231501724
"espantar","espantar","related","word","word",1
"ganivet","espasa","related","word","word",0.353091046642675
"genoll","espatlla","related","word","word",0.265255382763019
"únic","especial","related","word","word",0.198926285946122
"rendiment","espectacle","related","word","word",NA
"fe","esperança","related","word","word",0.224071829092847
"esperar","esperar","related","word","word",1
"traïdor","espia","related","word","word",0.230610610399344
"abdominal","espinal","related","word","word",NA
"sabotatge","espionatge","related","word","word",0.526985708745866
"retornar","esquena","related","word","word",0.134103411703763
"dispositiu","esquerdar-se","related","word","word",NA
"ós rentador","esquirol","related","word","word",NA
"beisbol","estadi","related","word","word",0.310521558447246
"posició","estat","related","word","word",0.103123983412089
"núvia","estirar","related","word","word",0.252809420438536
"hivern","estiu","related","word","word",0.411630611952026
"pit","estòmac","related","word","word",0.295247317337739
"depressió","estrès","related","word","word",0.330101409775405
"ample","estret","related","word","word",0.328273901435522
"mestra","estudiant","related","word","word",0.239060002271151
"per sempre","etern","related","word","word",NA
"proba","evidència","related","word","word",0.183217249606608
"mutació","evolució","related","word","word",0.496951668308929
"inspecció","examen","related","word","word",0.234405852831187
"investigar","examinar","related","word","word",0.266814558093093
"gran","excel · lent","related","word","word",NA
"notable","excepcional","related","word","word",0.264214348434755
"fracàs","èxit","related","word","word",0.289474061298844
"coneixement","experiència","related","word","word",0.209268334329448
"criteri","experiment","related","word","word",0.267218491999397
"especialista","experta","related","word","word",0.360451920119083
"plausible","explicació","related","word","word",NA
"explotar","explosió","related","word","word",0.712653645118263
"addcional","extra","related","word","word",NA
"molt","extremadament","related","word","word",0.386907134892062
"producció","fàbrica","related","word","word",0.243898815753479
"element","factor","related","word","word",0.29154424872656
"vestir-se","faldilla","related","word","word",NA
"fals","fals","related","word","word",1
"set","fam","related","word","word",0.0989865174613279
"sorra","fang","related","word","word",0.264866268758395
"període","fase","related","word","word",0.304014762553237
"estat","federal","related","word","word",0.205378321011945
"aconteixement","fenomen","related","word","word",NA
"fer","fer","related","word","word",1
"lesió","ferir-se","related","word","word",NA
"agència","ferm","related","word","word",0.153916747155375
"fortament","fermament","related","word","word",0.700127692422166
"metal","ferro","related","word","word",NA
"seguretat","fiança","related","word","word",0.141327363169356
"devoció","fidelitat","related","word","word",0.46166789142257
"fill","filla","related","word","word",0.582993953201561
"religió","filosofia","related","word","word",0.447907125211652
"acabar","final","related","word","word",0.158103139665593
"definitiva","final","related","word","word",0.253454045650509
"al cap i a la fi","finalment","related","word","word",NA
"finançament","financerament","related","word","word",NA
"invertir","finances","related","word","word",0.110402997639529
"porta","finestra","related","word","word",0.338085655334194
"raonable","fira","related","word","word",0.209352280846005
"matemàtiques","física","related","word","word",0.365489507993467
"reparació","fixar","related","word","word",0.201599022265427
"flama","foc","related","word","word",0.322279936843125
"congelar","fondre","related","word","word",0.262292931496853
"tardor","font","related","word","word",0.105530122151683
"informant","font","related","word","word",0.311047254911382
"endins","fora","related","word","word",0.251915613250925
"energia","força","related","word","word",0.249174162248361
"força","força","related","word","word",1
"signe","forma","related","word","word",0.171357291309391
"acer","formigó","related","word","word",0.365625802044025
"cuina","forn","related","word","word",0.141965149288745
"feble","fort","related","word","word",0.274937499882133
"llum","foscor","related","word","word",0.418747507668605
"peça","fragment","related","word","word",0.177629915700743
"senyal","freqüència","related","word","word",0.163222256587704
"actualització","fresc","related","word","word",0.109472864813948
"escapar-se","fugir","related","word","word",NA
"cigar","fum","related","word","word",0.234622563675307
"cirurgia","funcionar","related","word","word",0.265733773993351
"passada","futur","related","word","word",0.122644889566199
"exhibició","galeria","related","word","word",0.177446236881902
"acostar-se","gallet","related","word","word",NA
"promesa","garantitzar","related","word","word",NA
"combustible","gas","related","word","word",0.416182864732623
"reactor","generador","related","word","word",0.453596288559271
"coronell","general","related","word","word",NA
"científic","geni","related","word","word",0.330016539564839
"cap","gerent","related","word","word",0.155349251580226
"germà","germana","related","word","word",0.549460897119553
"representar","gest","related","word","word",0.1923371932143
"concert","gira","related","word","word",0.19358330966657
"glòria","gloriosa","related","word","word",0.42317165677848
"tenis","golf","related","word","word",NA
"gat","gos","related","word","word",0.369942332702048
"ampolla","got","related","word","word",0.401403053615216
"senador","governador","related","word","word",0.651026876018914
"protocol","governar","related","word","word",0.147418775445321
"farina","gra","related","word","word",0.209766456673437
"enorme","gran","related","word","word",0.295809771281259
"treballador","granger","related","word","word",0.274044191705616
"llangardaix","granota","related","word","word",0.357844638572788
"recompensa","gratificació","related","word","word",NA
"malaltia","grip","related","word","word",0.301207166162723
"triomf","guany","related","word","word",0.192811962312068
"ingrés","guanyar","related","word","word",0.180217891289185
"patrulla","guarda","related","word","word",0.137392760278928
"batalla","guerra","related","word","word",0.418984080675893
"conill","guillot","related","word","word",NA
"olorar","gust","related","word","word",0.181657236388663
"dormitori","habitació","related","word","word",0.321581850965389
"electricitat","habitual","related","word","word",0.199633607715696
"salvador","heroi","related","word","word",0.274564159715028
"gravació","historial","related","word","word",0.185731500686833
"bye","hola","related","word","word",NA
"humà","home","related","word","word",0.275595325863626
"adrenalina","hormona","related","word","word",NA
"por","horror","related","word","word",0.304753978213401
"clínica","hospital","related","word","word",0.245183214375774
"agraïment","hospitalitat","related","word","word",0.287090715962937
"motel","hotel","related","word","word",0.760497831898082
"lubricar","hulla","related","word","word",NA
"modest","humil","related","word","word",0.293745423737183
"tornado","huracà","related","word","word",0.294835340521253
"teoria","ide","related","word","word",NA
"perfeccionar","ideal","related","word","word",0.403831187205807
"arrogància","ignorància","related","word","word",0.758938024280178
"legítim","il·legal","related","word","word",NA
"tro","il·luminació","related","word","word",NA
"al·lucinació","il·lusió","related","word","word",NA
"creativitat","imaginació","related","word","word",0.334947271945384
"emperador","imperial","related","word","word",0.421023281328872
"fàcil","impossible","related","word","word",0.247556095808252
"sensació","impressió","related","word","word",0.440575913633673
"extraordinari","impressionant","related","word","word",0.382941382027896
"impotent","incapaç","related","word","word",0.279610664318329
"incapaici","incapacitat","related","word","word",NA
"accident","incident","related","word","word",0.769243497099194
"desagradable","incòmoda","related","word","word",0.399421907350081
"negocis","indústria","related","word","word",0.22155414347986
"efecte","influència","related","word","word",0.211931270336005
"informar","informar","related","word","word",1
"estúpid","ingenu","related","word","word",0.502959022073498
"cínic","ingènual","related","word","word",NA
"injust","injustícia","related","word","word",0.636047949197675
"culpable","innocent","related","word","word",0.332552709706425
"posar","inserir","related","word","word",NA
"estrany","insòlit","related","word","word",NA
"verificar","inspeccionar","related","word","word",0.332718156008306
"comissionat","inspector","related","word","word",0.165434800917987
"inspiració","inspirar","related","word","word",0.706303914281948
"intuició","instint","related","word","word",NA
"ofendre","insult","related","word","word",0.385667034791159
"intel · ligent","intel·ligent","related","word","word",NA
"intentar","intent","related","word","word",0.759808553645952
"extern","intern","related","word","word",0.548051932256345
"món","internacional","related","word","word",0.116602988344378
"roba","internet","related","word","word",0.172883376768462
"molestar","interrompre","related","word","word",0.402788546162214
"nedar","inundar","related","word","word",0.599750780761193
"sense valor","inútil","related","word","word",NA
"atacar","invasió","related","word","word",0.201234089593671
"massatge","ioga","related","word","word",0.194267331816363
"irònic","ironia","related","word","word",0.276716483359243
"irresponsable","irraonable","related","word","word",NA
"encara","ja","related","word","word",0.366047808532348
"música","jazz","related","word","word",0.337254214752586
"vagó","jeep","related","word","word",0.503032427672309
"pòquer","jugada","related","word","word",0.386699859591631
"joc","jugar","related","word","word",0.424215970688582
"bosc","jungla","related","word","word",0.381565198933338
"juliol","juny","related","word","word",0.684419479621772
"jurament","jurar","related","word","word",0.545586760146364
"autoritat","jurisdicció","related","word","word",0.327939074131191
"recentment","just","related","word","word",0.120869802674399
"espaguetis","lasanya","related","word","word",NA
"enfonsar-se","lavabo","related","word","word",NA
"escriptura","lectura","related","word","word",0.465443519773545
"excèrcit","legió","related","word","word",NA
"ràpid","lent","related","word","word",0.404651300731316
"gai","lesbiana","related","word","word",0.301341524804925
"fluid","líquid","related","word","word",0.680087605587694
"pràctic","literalment","related","word","word",0.160037492749685
"criminal","lladre","related","word","word",0.316592255978118
"perfum","llapis de llavis","related","word","word",NA
"galta","llavi","related","word","word",0.203963148652488
"escriure","llegir","related","word","word",0.390184882945011
"constitució","llei","related","word","word",0.422933958960383
"fidel","lleial","related","word","word",0.466527367421998
"honestedat","lleialtat","related","word","word",0.406862717860797
"preparar","llest","related","word","word",0.24817377322837
"suc","llet","related","word","word",0.437686687814291
"democràcia","llibertat","related","word","word",0.274604286944224
"equip","lliga","related","word","word",0.240042643529448
"gaseosa","llimonada","related","word","word",NA
"dòlar","lliura","related","word","word",0.219617605127607
"lliure","lliurement","related","word","word",0.693159767871019
"lloguer","llogar","related","word","word",0.588404304428975
"propietari","llogater","related","word","word",NA
"espelma","llum","related","word","word",0.28551065057048
"sol","lluna","related","word","word",0.227131587340901
"ràpidament","lora","related","word","word",NA
"solar","lunar","related","word","word",0.437129034939725
"proveir-se","mà","related","word","word",NA
"còrtt","mafi","related","word","word",NA
"mag","màgia","related","word","word",0.109891360852338
"elèctric","magnètic","related","word","word",0.417170753971736
"sempre","mai","related","word","word",0.313619582267342
"criada","mainava","related","word","word",NA
"altitud","majestat","related","word","word",0.248655902424943
"júnior","major","related","word","word",0.22712938271921
"vot","majoria","related","word","word",0.156359089700488
"correcte","mal","related","word","word",0.180101582543552
"malalt","malalt","related","word","word",1
"gastar","malbaratament","related","word","word",0.25775824214256
"somni","malson","related","word","word",0.427404660853407
"tovallola","manta","related","word","word",0.283685274138893
"oceà","mar","related","word","word",0.444700268945709
"competició","maratí","related","word","word",NA
"producte","marcar","related","word","word",0.231053608704822
"pare","mare","related","word","word",0.53562729763463
"marina","marina","related","word","word",1
"esposa","marit","related","word","word",0.312660923995427
"blava","marró","related","word","word",0.354734657522281
"venus","mart","related","word","word",0.263668341579769
"femella","masculí","related","word","word",0.332170486686677
"psicològic","mèdic","related","word","word",0.478213822990016
"mantega","mel","related","word","word",0.309073415234557
"líder","membre","related","word","word",0.295661733850478
"menjar","menjar","related","word","word",1
"emocional","mental","related","word","word",0.321679808475321
"fantàstic","meravellós","related","word","word",0.588822015514133
"assassí","mercenari","related","word","word",0.285219906763798
"meritori","merèixer","related","word","word",NA
"occidental","meridional","related","word","word",NA
"setmana","mes","related","word","word",0.223355117803426
"menys","més","related","word","word",0.291125421986716
"superior","més baix","related","word","word",NA
"tècnica","mètode","related","word","word",0.380518055889326
"preparar-se","migdiada","related","word","word",NA
"cent","mil","related","word","word",0.408641532687935
"centímetre","milla","related","word","word",0.314986460224401
"bilió","mil·lió","related","word","word",NA
"empresari","mil·lionari","related","word","word",NA
"lingü","ming","related","word","word",NA
"màxim","mínim","related","word","word",0.45171097772269
"veure","mirada","related","word","word",0.143965109745227
"patètic","miserable","related","word","word",0.345134386465977
"manteniment","missa","related","word","word",0.114269823804339
"llegenda","mite","related","word","word",0.283562582008786
"quart","mitja","related","word","word",0.259554755363921
"migdia","mitjanit","related","word","word",0.431927980371347
"elegant","moda","related","word","word",0.242048870468365
"prototip","model","related","word","word",0.387779802037452
"tradicional","modern","related","word","word",0.391688935203844
"capellà","monjo","related","word","word",0.249173214465633
"criatura","monstre","related","word","word",0.224613840864201
"estàtua","monument","related","word","word",0.197836111667686
"desaparició","mort","related","word","word",0.246855114543339
"fatal","mortal","related","word","word",0.470558377386127
"àlibi","motiu","related","word","word",NA
"transferir","mudar-se","related","word","word",NA
"auditori","multitud","related","word","word",0.197325220835371
"global","nacional","related","word","word",0.467225133164753
"festa","nadal","related","word","word",0.324488664193901
"nen","nadó","related","word","word",0.328977631968394
"embaràs","naixement","related","word","word",0.215328329583998
"salsa","nata","related","word","word",0.353364770042703
"artificial","natural","related","word","word",0.225157567097633
"en general","naturalment","related","word","word",NA
"flota","naval","related","word","word",0.22309856248096
"comunicació","navegació","related","word","word",0.479027065318578
"necessitar","necessari","related","word","word",0.574660762257104
"múscul","nervi","related","word","word",0.374841097674957
"rentat","net","related","word","word",0.126314288223557
"nebot","nét","related","word","word",0.46848790851795
"jogina","nina","related","word","word",NA
"samurai","ninja","related","word","word",0.357690201872787
"tarda","nit","related","word","word",0.380546970122617
"ou","niu","related","word","word",0.22869123741891
"premi","nobel","related","word","word",0.342434296362821
"valent","noble","related","word","word",0.247677202845759
"noies","noi","related","word","word",0.430501992693003
"noi","noia","related","word","word",0.543448787732958
"títol","nom","related","word","word",0.36283943291082
"adreça","nombre","related","word","word",0.17935452987576
"generalment","normalment","related","word","word",0.652170628293574
"un","nua","related","word","word",0.197272508810367
"boira","núvol","related","word","word",0.327158418822405
