"pt_cue","pt_target","type","cue_type","target_type","pt_cosine"
"sofá","cama","related","word","word",0.559569439164239
"jipe","caminhão","related","word","word",0.555573931270266
"rota","caminho","related","word","word",0.398828024239531
"concorrência","campeonato","related","word","word",0.193442294194774
"arena","campo de batalha","related","word","word",NA
"tumor","câncer","related","word","word",0.51532352874678
"papel","caneta","related","word","word",0.398438220265219
"igreja","capela","related","word","word",0.690698916131144
"anarquia","capitalismo","related","word","word",0.398543341585267
"comandante","capitão","related","word","word",0.738103488741072
"bispo","cardeal","related","word","word",0.488730557114859
"carga","carga","related","word","word",1
"veículo","carro","related","word","word",0.693161782390748
"telegrama","carta","related","word","word",0.543183654153797
"bolso","carteira","related","word","word",0.55329424650058
"máfia","cartel","related","word","word",0.517374445123193
"solteiro","casado","related","word","word",0.508459877168301
"divórcio","casado","related","word","word",0.321809954680074
"noivado","casamento","related","word","word",0.692799010211239
"palácio","castelo","related","word","word",0.634753590991659
"razão","causa","related","word","word",0.37685108556228
"asno","cavalo","related","word","word",0.282289666288657
"alho","cebola","related","word","word",0.621415606787323
"atrasado","cedo","related","word","word",0.38333039241645
"céu","celestial","related","word","word",0.508648499419366
"cova","cemitério","related","word","word",0.477251927612914
"mil","centenas","related","word","word",0.508956595312442
"milha","centímetro","related","word","word",0.400737363710343
"muro","cerca","related","word","word",0.336975605539148
"fora","cerca de","related","word","word",NA
"cérebro","cerebral","related","word","word",0.625636277570634
"ritual","cerimônia","related","word","word",0.522289577043488
"beber","cerveja","related","word","word",0.543140955647505
"incêndio","chama","related","word","word",0.190723895164699
"vinho","champanhe","related","word","word",0.733014243156265
"suborno","chantagem","related","word","word",0.550589234128817
"capacete","chapéu","related","word","word",0.588251726641963
"fumaça","charuto","related","word","word",0.397349827121754
"gerente","chefe","related","word","word",0.493357427016202
"cozinheiro","chefe de cozinha","related","word","word",NA
"vazio","cheio","related","word","word",0.459998954352597
"gosto","cheiro","related","word","word",0.275959144036176
"açúcar","chocolate","related","word","word",0.573932417318047
"tatuagem","cicatriz","related","word","word",0.611762855674088
"capital","cidade","related","word","word",0.475816454119204
"tecnologia","ciência","related","word","word",0.525473559553645
"gênio","cientista","related","word","word",0.469761693788804
"tabaco","cigarro","related","word","word",0.55939785397205
"ingênuo","cínico","related","word","word",0.532850911375677
"jardim zoológico","circo","related","word","word",NA
"operar","cirurgia","related","word","word",0.559230662217836
"cultura","civilização","related","word","word",0.589717269039944
"típica","clássico","related","word","word",0.375812409152081
"paciente","cliente","related","word","word",0.515758669932094
"hospital","clínica","related","word","word",0.586055544906248
"verme","cobra","related","word","word",0.380313426743755
"raposa","coelho","related","word","word",0.492308995514367
"cair","colapso","related","word","word",0.318593309094564
"anel","colar","related","word","word",0.617970933440982
"cansado","com fome","related","word","word",NA
"perdoar","com licença","related","word","word",NA
"gás","combustível","related","word","word",0.459686414182818
"drama","comédia","related","word","word",0.476614512819043
"alimentação","comer","related","word","word",0.324198006601023
"comercial","comerciante","related","word","word",0.461395407070461
"inspetor","comissário","related","word","word",0.515532397774926
"comissão","comitê.","related","word","word",NA
"paciência","compaixão","related","word","word",0.522980495004855
"absolutamente","completamente","related","word","word",0.642043621411263
"total","completo","related","word","word",0.539000099791452
"vendedor","comprador","related","word","word",0.623364471078168
"entender","compreendo","related","word","word",0.547465546275656
"tamanho","comprimento","related","word","word",0.544750557809702
"tábua","comprimido","related","word","word",0.130796246486051
"programas","computador","related","word","word",0.375445197037552
"navegação","comunicação","related","word","word",0.505073758905076
"sociedade","comunidade","related","word","word",0.595881754363461
"racista","comunista","related","word","word",0.522968773038915
"foco","concentrado","related","word","word",0.454893095252547
"barão","condessa","related","word","word",0.391669963967499
"passageiro","condutor","related","word","word",0.539860781346294
"contato","conexão","related","word","word",0.472300746320232
"admitem","confessar","related","word","word",0.313881360154863
"respeito","confiança","related","word","word",0.421879571952614
"delicado","confidencial","related","word","word",0.339583412176342
"confirmação","confirme","related","word","word",0.667155077375382
"caos","confusão","related","word","word",0.565155564198508
"derreter","congelar","related","word","word",0.529760033018165
"rum","conhaque","related","word","word",0.587084740717972
"vejo","conheça","related","word","word",0.201329099460642
"agora","conhecer","related","word","word",0.174033273828622
"experiência","conhecimento","related","word","word",0.390758691090982
"conselho","conselho","related","word","word",1
"sempre","constantemente","related","word","word",0.572752159319164
"lei","constituição","related","word","word",0.551189561440616
"torre","construção","related","word","word",0.253370564297425
"construção","construir","related","word","word",0.645728001852664
"dizer","contar","related","word","word",0.570596548873336
"conter","contente","related","word","word",0.0851766394334452
"oposto","contrário","related","word","word",0.52769303911603
"orfanato","convento","related","word","word",0.569381216989085
"original","cópia de","related","word","word",NA
"nobre","corajoso","related","word","word",0.444556152640089
"cadeia","corda","related","word","word",0.21716179159926
"em geral","coronel","related","word","word",NA
"companhia","corporação","related","word","word",0.487976808186553
"errado","correto","related","word","word",0.533796839778465
"maratona","corrida","related","word","word",0.495747994761906
"rasgar","cortar","related","word","word",0.527406492961911
"praia","costa","related","word","word",0.606298729909256
"osso","crânio","related","word","word",0.549101514947373
"bebê","criança","related","word","word",0.538141310369518
"imaginação","criatividade","related","word","word",0.558318684131642
"monstro","criatura","related","word","word",0.538205681526334
"pecado","crime","related","word","word",0.407862523690112
"ladrao","criminoso","related","word","word",0.353236163987465
"situação","crise","related","word","word",0.457700731516201
"católico","cristão","related","word","word",0.604878346623576
"detonador","cronômetro","related","word","word",0.440164180215365
"brutal","cruel","related","word","word",0.586136036989596
"mal","crueldade","related","word","word",0.237659271897245
"inocente","culpado","related","word","word",0.584738086807023
"recuperar","curar","related","word","word",0.427778167164833
"dançarino","dança","related","word","word",0.546935767654011
"oferta","dar","related","word","word",0.187417388779387
"século","década","related","word","word",0.536402248123601
"comente","declaração","related","word","word",0.31345876470745
"dedo","dedão","related","word","word",0.546364950426662
"proteger","defender","related","word","word",0.668686768436672
"conceito","definição","related","word","word",0.503502126763977
"permitir","deixar","related","word","word",0.603317063915654
"certo","deixou","related","word","word",0.129454637107936
"saboroso","delicioso","related","word","word",0.735337842988213
"renúncia","demissão","related","word","word",0.578029936992905
"liberdade","democracia","related","word","word",0.497659496164008
"protesto","demonstração","related","word","word",0.355637305918163
"unha","dente","related","word","word",0.404558638336781
"estresse","depressão","related","word","word",0.48028451826251
"vitória","derrota","related","word","word",0.67605195402521
"obstáculo","desafio","related","word","word",0.449839196694925
"desconfortável","desagradável","related","word","word",0.498165401088067
"morte","desaparecimento","related","word","word",0.419619824550526
"surpresa","desapontamento","related","word","word",0.328002470159314
"anônimo","desconhecido","related","word","word",0.375149163363566
"perfil","descrição","related","word","word",0.44167267620643
"desejo","desejar","related","word","word",0.529807790701667
"pintar","desenhar","related","word","word",0.636367211325455
"progresso","desenvolvimento","related","word","word",0.562365964869351
"destino","destino","related","word","word",1
"criação","destruição","related","word","word",0.445902690895154
"coragem","determinação","related","word","word",0.582088062965869
"agente","detetive","related","word","word",0.545138327477423
"responsabilidade","dever","related","word","word",0.410524320831855
"fidelidade","devoção","related","word","word",0.559881278404377
"novembro","dezembro","related","word","word",0.682118541130481
"anjo","diabo","related","word","word",0.403726906087779
"semelhante","diferente","related","word","word",0.486940997785604
"orgulho","dignidade","related","word","word",0.430930682166004
"pólvora","dinamite","related","word","word",0.532459071353874
"ping.","ding.","related","word","word",NA
"dinheiro","dinheiro","related","word","word",1
"direto","diretamente","related","word","word",0.664843503822312
"produtor","diretor","related","word","word",0.493956304496569
"conversação","discussão","related","word","word",0.555041307221527
"lasca","dispositivo","related","word","word",0.221247482425222
"conflito","disputa","related","word","word",0.512446010747312
"aproximar","distante","related","word","word",0.264231329714904
"município","distrito","related","word","word",0.551111009531164
"deus","divino","related","word","word",0.459215659235136
"unidade","divisão","related","word","word",0.547906626543678
"caridade","doação","related","word","word",0.52082996146273
"arquivo","documento","related","word","word",0.557029203655854
"gripe","doença","related","word","word",0.560016892189566
"doente","doente","related","word","word",1
"libra","dólar","related","word","word",0.558000789693122
"sábado","domingo","related","word","word",0.780540725364446
"sofrimento","dor","related","word","word",0.677309547590288
"descanso","dormir","related","word","word",0.381186890020976
"cirurgião","doutor","related","word","word",0.51839897658768
"primeiro","durar","related","word","word",0.110706721287984
"difícil","duro","related","word","word",0.500398109363308
"saúde","educação","related","word","word",0.446595553407487
"influência","efeito","related","word","word",0.40923243876805
"útil","eficaz","related","word","word",0.436310389726217
"teimoso","egoísta","related","word","word",0.600771105907099
"elegante","elegante","related","word","word",1
"campanha","eleição","related","word","word",0.478805856930452
"candidato","eleitor","related","word","word",0.601111658393363
"fator","elemento","related","word","word",0.38447875355557
"atual","eletricidade","related","word","word",0.114756204863504
"magnético","elétrico","related","word","word",0.426582078226178
"em outro lugar","em algum lugar","related","word","word",NA
"dados","em formação","related","word","word",NA
"urgente","emergência","related","word","word",0.438722320556682
"mental","emocional","related","word","word",0.601427715938232
"milionário","empreendedor","related","word","word",0.467068111784247
"babá","empregada","related","word","word",0.477377081819839
"crédito","empréstimo","related","word","word",0.441101184076773
"atraente","encantador","related","word","word",0.543967614344049
"legais","encantador","related","word","word",0.199848484204161
"procurar","encontrar","related","word","word",0.593542563259038
"conferência","encontro","related","word","word",0.363598510962796
"potência","energia","related","word","word",0.532248875168454
"inteligente","engraçado","related","word","word",0.502614289658524
"aprender","ensinar","related","word","word",0.727819347728048
"escavação","enterrar","related","word","word",0.398642085266555
"saída","entrada","related","word","word",0.692604578528261
"praga","epidemia","related","word","word",0.632122239374617
"series","episódio","related","word","word",0.355199555319956
"equipamento","equipar","related","word","word",0.469943554850478
"liga","equipe","related","word","word",0.207168013014779
"orgasmo","ereção","related","word","word",0.47101136895967
"erro","erro","related","word","word",1
"fofoca","escândalo","related","word","word",0.322874545025281
"fugir","escapar","related","word","word",0.762786545560554
"classe","escola","related","word","word",0.3801391557745
"leitura","escrevendo","related","word","word",0.222723557836032
"leitura","escrever","related","word","word",0.260219786371706
"poeta","escritor","related","word","word",0.596116302885378
"escrivaninha","escritório","related","word","word",0.39228852416985
"lasanha.","espaguete","related","word","word",NA
"especialista","especialista","related","word","word",1
"reflexão","espelho","related","word","word",0.346449051903557
"aguarde","esperar","related","word","word",0.460709753753785
"sensacional","espetacular","related","word","word",0.535103889417485
"alma","espírito","related","word","word",0.523111149137407
"passatempo","esporte","related","word","word",0.363747014776328
"marido","esposa","related","word","word",0.65959110191562
"plataforma","estação","related","word","word",0.534544398194033
"federal","estado","related","word","word",0.267256007249248
"monumento","estátua","related","word","word",0.518567104844304
"ritmo","estilo","related","word","word",0.422601476405078
"ufo.","estrangeiro","related","word","word",NA
"incomum","estranho","related","word","word",0.552987802827646
"plano","estratégia","related","word","word",0.550376294566678
"celebridade","estrela","related","word","word",0.497016010148663
"pirâmide","estrutura","related","word","word",0.458830024688274
"pesquisa","estude","related","word","word",0.275033152167408
"loucura","estupidez","related","word","word",0.63223266329535
"ingênuo","estúpido","related","word","word",0.454734026292031
"carne de porco","eu no","related","word","word",NA
"fenômeno","evento","related","word","word",0.433264553028519
"finalmente","eventualmente","related","word","word",0.413616184463777
"subestimar","exagerar","related","word","word",0.498893991915681
"excelente","excelente","related","word","word",1
"especial","exclusivo","related","word","word",0.371890125247086
"pendurado","execução","related","word","word",0.14895052259781
"prática","exercício","related","word","word",0.329444872252169
"legião","exército","related","word","word",0.459978423925879
"galeria","exibição","related","word","word",0.408436570104438
"explodido","explodir","related","word","word",0.640749296020774
"tremor de terra","explosão","related","word","word",NA
"bombear","explosivo","related","word","word",0.242032950949744
"descrever","expressar","related","word","word",0.466839717593135
"interno","externo","related","word","word",0.654702117170293
"espada","faca","related","word","word",0.600059011971909
"impossível","fácil","related","word","word",0.572716933993274
"palestra","falar","related","word","word",0.294117020027948
"sucesso","falha","related","word","word",0.297083293021739
"falso","falso","related","word","word",1
"clã","família","related","word","word",0.456477441057284
"popular","famoso","related","word","word",0.48169021047645
"realidade","fantasia","related","word","word",0.529784426454714
"maravilhoso","fantástico","related","word","word",0.83730954092531
"grão","farinha de trigo","related","word","word",NA
"mortal","fatal","related","word","word",0.574563888840007
"correspondência","fax","related","word","word",0.291172145991547
"fazer","faz","related","word","word",0.56921502556254
"esperança","fé","related","word","word",0.524864051441138
"tosse","febre","related","word","word",0.529467058481338
"trancado","fechado","related","word","word",0.68284664933589
"abrir","fechar","related","word","word",0.737872121803846
"abertura","fecho","related","word","word",0.385173719994541
"colônia","federação","related","word","word",0.355500574414126
"digusting.","feio","related","word","word",NA
"satisfeito","feliz","related","word","word",0.607718841886636
"macho","fêmea","related","word","word",0.770460179780726
"natal","feriado","related","word","word",0.59482955593394
"ferida","ferida","related","word","word",1
"recepção","festa","related","word","word",0.46984949451209
"carnaval","festival","related","word","word",0.397886146865007
"leal","fiel","related","word","word",0.681552534565701
"rim","fígado","related","word","word",0.657033311822483
"filha","filho","related","word","word",0.626993986760727
"pornô","filme","related","word","word",0.368835967915312
"final","final","related","word","word",1
"fim","finalizar","related","word","word",0.296249086123696
"bancário","financeiro","related","word","word",0.553027547718232
"orçamento","financiamento","related","word","word",0.60297894352259
"financeiramente","financiamento","related","word","word",0.453183292609152
"sexual","físico","related","word","word",0.401551717385663
"plantar","flor","related","word","word",0.351437061162922
"selva","floresta","related","word","word",0.704308789689323
"líquido","fluido","related","word","word",0.678917120540669
"forno","fogão","related","word","word",0.630568250997636
"força","força","related","word","word",1
"abelha","formiga","related","word","word",0.551243073872046
"pesado","fortemente","related","word","word",0.209281780148162
"firmemente","fortemente","related","word","word",0.516897775017129
"tesouro","fortuna","related","word","word",0.36897837320939
"foto","foto","related","word","word",1
"autógrafo","fotógrafo","related","word","word",0.46459034532858
"forte","fraco","related","word","word",0.555637816022449
"inglês","francês","related","word","word",0.731852741598078
"dicionário","frase","related","word","word",0.394679773728121
"palavra","frase","related","word","word",0.580320518033908
"conspiração","fraude","related","word","word",0.469891781903273
"caloroso","frio","related","word","word",0.287671886745549
"naval","frota","related","word","word",0.434302805399199
"maçã","fruta","related","word","word",0.565190625545207
"refugiado","fugitivo","related","word","word",0.392993537118338
"operacional","funcional","related","word","word",0.512250408299058
"reboque","furgão","related","word","word",0.411550232345709
"raiva","fúria","related","word","word",0.70011833850997
"basquetebol","futebol","related","word","word",0.824561771015575
"universo","galáxia","related","word","word",0.641036708021185
"ganho","ganhar","related","word","word",0.718282744073655
"oficina","garagem","related","word","word",0.623996692405907
"garçom","garçonete","related","word","word",0.626312261486786
"colher","garfo","related","word","word",0.469160163275495
"rapazes","garotas","related","word","word",0.470363431030034
"menina","garoto","related","word","word",0.479408738411008
"vidro","garrafa","related","word","word",0.322157385745642
"desperdício","gastar","related","word","word",0.413039475390832
"cão","gato","related","word","word",0.763587744222999
"lésbica","gay.","related","word","word",NA
"compassivo","generoso","related","word","word",0.533523203757592
"naturalmente","geralmente","related","word","word",0.425113458806955
"virar","girar","related","word","word",0.4193652549803
"nacional","global","related","word","word",0.512236333558304
"glorioso","glória","related","word","word",0.513210259970515
"macaco","gorila","related","word","word",0.606962069059598
"administração","governo","related","word","word",0.51264703959631
"diploma","graduado","related","word","word",0.461108214915909
"quilo","grama","related","word","word",0.507857397723243
"curto","grandes","related","word","word",0.197438399429308
"hospitalidade","gratidão","related","word","word",0.514365892644225
"livremente","gratuitamente","related","word","word",0.386622960194392
"registro","gravação","related","word","word",0.310559161866193
"ligar","gravata","related","word","word",0.143399763502308
"aniversário","gravidez","related","word","word",0.26399695422967
"romano","grego","related","word","word",0.53111202999671
"bater","greve","related","word","word",0.150416387099703
"afinar","grosso","related","word","word",0.0602676944920201
"gangue","grupo","related","word","word",0.534835497505504
"espera","guarda","related","word","word",0.169271489080864
"esquilo","guaxinim","related","word","word",0.59897401446159
"soldado","guerreiro","related","word","word",0.534859634267404
"piano","guitarra","related","word","word",0.660386685808374
"capacidade","habilidade","related","word","word",0.746180037237946
"sanduíche","hamburger","related","word","word",0.549808811746305
"saldo","harmonia","related","word","word",0.0986864583134536
"ambulância","helicóptero","related","word","word",0.490254673636482
"coçar, arranhão","hematoma","related","word","word",NA
"herança","herdar","related","word","word",0.539723783203621
"cocaína","heroína","related","word","word",0.765715675951756
"carbono","hidrogênio","related","word","word",0.587800798737463
"auxilia","hiv","related","word","word",0.0628423628350576
"super homen","homem morcego","related","word","word",NA
"lealdade","honestidade","related","word","word",0.592449654325835
"decente","honesto","related","word","word",0.519140506085001
"privilégio","honra","related","word","word",0.544301297112161
"terrível","horrível","related","word","word",0.856707885616633
"homem","humano","related","word","word",0.436483563074992
"enganar","idiota","related","word","word",0.276576558958631
"grande","imenso","related","word","word",0.306102720902838
"imperial","imperador","related","word","word",0.537585393272847
"dinastia","império","related","word","word",0.483630538769398
"significado","importância","related","word","word",0.5960797805267
"valioso","importante","related","word","word",0.555738782138261
"incapacidade","impossível","related","word","word",0.311149086000029
"desamparado","impotente","related","word","word",0.513006038154899
"dna.","impressão digital","related","word","word",NA
"bajular","impressionar","related","word","word",0.460057332292081
"nojento","imundo","related","word","word",0.69014602499253
"impressionante","incrível","related","word","word",0.722830828013786
"apontar","indicar","related","word","word",0.483631292937571
"pessoa","individual","related","word","word",0.250351008475653
"de repente","inesperadamente","related","word","word",NA
"juventude","infância","related","word","word",0.515278831479745
"vírus","infecção","related","word","word",0.582155336726468
"topo","inferior","related","word","word",0.262014565809659
"paraíso","inferno","related","word","word",0.523659536696981
"fonte","informante","related","word","word",0.334594892139495
"relatório","informar","related","word","word",0.341174352925899
"infeliz","infortúnio","related","word","word",0.440953244338223
"dose","injeção","related","word","word",0.51425166325341
"injustiça","injusto","related","word","word",0.568693926967647
"aranha","inseto","related","word","word",0.490002347765934
"exame","inspeção","related","word","word",0.439904049919685
"inspirar","inspiração","related","word","word",0.657809124757526
"ferramenta","instrumento","related","word","word",0.513191970541882
"inteligente","inteligente","related","word","word",1
"objetivo","intenção","related","word","word",0.401492266760739
"acidentalmente","intencionalmente","related","word","word",0.546110296824863
"excitante","interessante","related","word","word",0.643152039451742
"pessoal","íntimo","related","word","word",0.226308551293521
"instinto","intuição","related","word","word",0.584742071276475
"sem utilidade","inútil","related","word","word",NA
"verão","inverno","related","word","word",0.656890098389652
"banqueiro","investidor","related","word","word",0.588800420526202
"analista","investigador","related","word","word",0.545632863595939
"examinar","investigar","related","word","word",0.545541852026087
"finança","investir","related","word","word",0.28766832623624
"entrar","ir","related","word","word",0.392383962282618
"irmã","irmão","related","word","word",0.580302560355904
"ironia","irônico","related","word","word",0.35029526329618
"irracional","irresponsável","related","word","word",0.507438810210972
"armadilha","isca","related","word","word",0.484887679237492
"camisa","jaqueta","related","word","word",0.635325079551078
"ombro","joelho","related","word","word",0.604416474052718
"técnico","jogador","related","word","word",0.334675012654545
"reproduzir","jogos","related","word","word",0.11149782199079
"diamante","jóia","related","word","word",0.510895531081134
"artigo","jornal","related","word","word",0.597415469348189
"repórter","jornalista","related","word","word",0.844768188065666
"tribunal","juiz","related","word","word",0.645503638427293
"junho","julho","related","word","word",0.682529869576002
"romeo.","juliet.","related","word","word",NA
"senior","júnior","related","word","word",0.480160102764693
"xingar","juramento","related","word","word",0.124331509314301
"ilegal","jurídico","related","word","word",0.194413981127323
"vingança","justiça","related","word","word",0.503028386130995
"aqui","lá","related","word","word",0.566364895723089
"fora","lado de dentro","related","word","word",NA
"rã","lagarto","related","word","word",0.474838800659189
"rio","lago","related","word","word",0.695536184170607
"atum","lagosta","related","word","word",0.551309387312715
"chupar","lamber","related","word","word",0.610793158013555
"verde","laranja","related","word","word",0.5969142453214
"limpar","lavagem","related","word","word",0.267976140078102
"dragão","leão","related","word","word",0.501129476264583
"esqueço","lembrar","related","word","word",0.484802993052791
"pano","lenço","related","word","word",0.492821864106346
"mito","lenda","related","word","word",0.596943086027921
"oeste","leste","related","word","word",0.731369046531903
"conservador","liberal","related","word","word",0.590860521398536
"membro","líder","related","word","word",0.554681252321
"táxi","limusine","related","word","word",0.527076956355837
"bonito","lindo","related","word","word",0.829492466496244
"ming.","ling.","related","word","word",NA
"arte","literatura","related","word","word",0.534114415026109
"bíblia","livro","related","word","word",0.513886460043611
"lixo","lixo","related","word","word",1
"urso","lobo","related","word","word",0.614419718821071
"regional","local","related","word","word",0.221824467035227
"lugar, colocar","localização","related","word","word",NA
"paranoico.","louco","related","word","word",NA
"campeão","lutador","related","word","word",0.573539070702122
"combate","lutar","related","word","word",0.483708438480155
"trevas","luz","related","word","word",0.371254969935515
"ketchup","maionese","related","word","word",0.580440654671347
"pasta","mala de viagem","related","word","word",NA
"papai","mamãe","related","word","word",0.813903542766245
"trazer","mandar","related","word","word",0.406908516659318
"bombear","mangueira","related","word","word",0.372555804398144
"amanhã","manhã","related","word","word",0.574608878884347
"ao controle","manipular","related","word","word",NA
"parceiro","mano","related","word","word",0.389177891660856
"mel","manteiga","related","word","word",0.433733880899126
"preservar","manter","related","word","word",0.481269481331065
"serviço","manutenção","related","word","word",0.351303307444604
"bússola","mapa","related","word","word",0.492489492394737
"robô","máquina","related","word","word",0.442375768881164
"marinho","marinha","related","word","word",0.475862599327805
"pirata","marinheiro","related","word","word",0.519166530638987
"anúncio","marketing","related","word","word",0.226200839290965
"bastão","martelo","related","word","word",0.584890386301149
"ioga","massagem","related","word","word",0.465828981749182
"engolir","mastigar","related","word","word",0.538951935734004
"poção","mate","related","word","word",0.160782611573507
"física","matemática","related","word","word",0.559118615428527
"boa","mau","related","word","word",0.370172023411122
"mínimo","máximo","related","word","word",0.61698271366816
"técnico","mecânico","related","word","word",0.524011722868566
