"pt_target","pt_cue","pt_fake_cue","pt_fake_target","en_cue","en_target"
"avó","vô","wk","sóó","grandfather","grandmother"
"azul","castanho","preitanho","azza","brown","blue"
"bacon","brinde","everde","banus","toast","bacon"
"bala","calibre","calicais","quila","caliber","bullet"
"banda","orquestra","orlocktra","verda","orchestra","band"
"banheiro","chuveiro","chuamarro","bakersro","shower","bathroom"
"barato","caro","douro","baratomashevsky","expensive","cheap"
"barba","cabelo","cabereis","apaba","hair","beard"
"barco","submarino","nightmarino","lusco","submarine","boat"
"barco","equipe técnica","atraíspe técnica","lusco","crew","ship"
"barra","clube","kunbe","reira","club","bar"
"baseball.","estádio","estágens","basenapps","stadium","baseball"
"batalha","guerra","iguara","batagens","war","battle"
"batalhão","regimento","regimentomashevsky","batabert","regiment","battalion"
"baunilha","canela","bournela","romônilha","cinnamon","vanilla"
"bêbado","sóbrio","sótuir","plasbado","sober","drunk"
"beco","canto","histo","belun","corner","alley"
"beleza","charme","cashme","beleques","charm","beauty"
"bilhão","milhão","minhes","biquei","million","billion"
"biologia","química","elécmica","biololhões","chemistry","biology"
"biológico","químico","tripmico","biológiconaughey","chemical","biological"
"bochecha","lábio","lágri","bogrischa","lip","cheek"
"bolo","sobremesa","soquilômesa","deslo","dessert","cake"
"boné","copos","codir","bokov","glasses","cap"
"bonitinho","doce","domin","bonitituíam","sweet","cute"
"boston","washington.","washingboud","fruton","washington","boston"
"braço","mão","jóo","solço","hand","arm"
"brilhante","brilhar","brinhos","briamorte","shine","bright"
"brinquedo","boneca","boatraca","subsquedo","doll","toy"
"bruxa","xingamento","xingamentomashevsky","plexa","curse","witch"
"bruxo","magia","maçal","pisxo","magic","wizard"
"bunda","bunda","rayda","mitda","ass","butt"
"cadáver","corpo","despo","cadánais","body","corpse"
"cadeira","tabela","tacharla","calharra","table","chair"
"café","xícara","pleucara","caors","cup","coffee"
"café da manhã","jantar","mestar","café da rovsky","dinner","breakfast"
"calcular","contar","convic","prescular","count","calculate"
"calma","quieto","traneto","inima","quiet","calm"
"cama","sofá","soleo","perma","sofa","bed"
"caminhão","jipe","colpe","camiquez","jeep","truck"
"caminho","rota","peita","camições","route","path"
"campeonato","concorrência","concorpiõescia","campeonatomashevsky","competition","championship"
"campo de batalha","arena","sosna","campo de baolworth","arena","battlefield"
"câncer","tumor","tunut","grecer","tumor","cancer"
"caneta","papel","paast","caplanta","paper","pen"
"capela","igreja","ideija","prospela","church","chapel"
"capitalismo","anarquia","glasquia","capitakehayamo","anarchy","capitalism"
"capitão","comandante","comancheckte","capinhal","commander","captain"
"cardeal","bispo","têmpo","droideal","bishop","cardinal"
"carga","carga","benga","munga","load","cargo"
"carro","veículo","stahculo","douro","vehicle","car"
"carta","telegrama","teleatherma","jecta","telegram","letter"
"carteira","bolso","cesso","preiteira","pocket","wallet"
"cartel","máfia","májar","carnor","mafia","cartel"
"casado","solteiro","aterteiro","caçõesdo","single","married"
"casado","divórcio","digrescio","caçõesdo","divorce","marriage"
"casamento","noivado","agenvado","casamentomashevsky","engagement","wedding"
"castelo","palácio","palásões","aprotelo","palace","castle"
"causa","razão","raçõe","exisa","reason","cause"
"cavalo","asno","asmas","cavações","donkey","horse"
"cebola","alho","albá","cecharla","garlic","onion"
"cedo","atrasado","gressado","dindo","late","early"
"celestial","céu","máu","ceatractial","sky","heavenly"
"cemitério","cova","colom","cemitélhões","grave","cemetery"
"centenas","mil","anl","centelefô","thousand","hundred"
"centímetro","milha","mitis","centímebacks","mile","centimeter"
"cerca","muro","muçul","brica","wall","fence"
"cerca de","fora","meira","cercaxeis","out","about"
"cerebral","cérebro","cérenais","ceredish","brain","cerebral"
"cerimônia","ritual","rinhasal","ceucrania","ritual","ceremony"
"cerveja","beber","benig","tranveja","drink","beer"
"chama","incêndio","insubsdio","perma","fire","flame"
"champanhe","vinho","vidar","agrepanhe","wine","champagne"
"chantagem","suborno","sufresno","acertagem","bribe","blackmail"
"chapéu","capacete","capatruiste","chaguá","helmet","hat"
"charuto","fumaça","fumaveis","querruto","smoke","cigar"
"chefe","gerente","getaiste","liffe","manager","boss"
"chefe de cozinha","cozinheiro","cozipanthro","chefe de coselstyn","cook","chef"
"cheio","vazio","vadei","toeio","empty","full"
"cheiro","gosto","apoto","apairo","taste","smell"
"chocolate","açúcar","xaicar","transcolate","sugar","chocolate"
"cicatriz","tatuagem","tatuamonds","cicamiäo","tattoo","scar"
"cidade","capital","capinhei","presdade","capital","city"
"ciência","tecnologia","aplaunologia","ciênções","technology","science"
"cientista","gênio","gêdem","cienglandta","genius","scientist"
"cigarro","tabaco","tabalhei","citreiro","tobacco","cigarette"
"cínico","ingênuo","ingêgett","starnico","naive","cynical"
"circo","jardim zoológico","jardim zoológterhamwe","pulco","zoo","circus"
"cirurgia","operar","lhorar","ciatingia","operate","surgery"
"civilização","cultura","agratura","civilizanhardt","culture","civilization"
"clássico","típica","olhapica","millsico","typical","classic"
"cliente","paciente","acresciente","loweente","patient","client"
"clínica","hospital","prenpital","avernica","hospital","clinic"
"cobra","verme","cheme","cosei","worm","snake"
"coelho","raposa","raamassa","coepers","fox","rabbit"
"colapso","cair","cavá","coemisso","fall","collapse"
"colar","anel","ansa","cotes","ring","necklace"
"com fome","cansado","gressado","com fbany","tired","hungry"
"com licença","perdoar","abandoar","com liceclops","forgive","excuse"
"combustível","gás","cës","commonwetível","gas","fuel"
"comédia","drama","pisma","comésões","drama","comedy"
"comer","alimentação","alimentaríeis","covia","feed","eat"
"comerciante","comercial","coplandcial","conaugheyciante","commercial","merchant"
"comissário","inspetor","inspeland","conahansário","inspector","commissioner"
"comitê.","comissão","colhersão","comigahl","commission","committee"
"compaixão","paciência","paciênlhões","compaicões","patience","compassion"
"completamente","absolutamente","absolutakahashite","comkenyattamente","absolutely","completely"
"completo","total","toney","comkripto","total","complete"
"comprador","vendedor","vendepres","comgwildor","seller","buyer"
"compreendo","entender","entennhas","transpreendo","realize","understand"
"comprimento","tamanho","tamadras","comprimentomashevsky","size","length"
"comprimido","tábua","tácet","commonwemido","tablet","pill"
"computador","programas","proqueimas","computaríeis","software","computer"
"comunicação","navegação","navegalahad","comunicatalyst","navigation","communication"
"comunidade","sociedade","sociedadelinqüen","comunidadelinqüen","society","community"
"comunista","racista","ralheita","comuaguenta","racist","communist"
"concentrado","foco","fomen","contraiatrado","focus","concentrate"
"condessa","barão","banas","contraísa","baron","countess"
"condutor","passageiro","passapanthro","conduções","passenger","driver"
"conexão","contato","prestato","conerius","contact","connection"
"confessar","admitem","adminais","conatrasar","admit","confess"
"confiança","respeito","restracto","kadhafiança","respect","confidence"
"confidencial","delicado","delivingsdo","netherfidencial","delicate","sensitive"
"confirme","confirmação","conmahatmação","conaglome","confirmation","confirm"
"confusão","caos","carai","confurões","chaos","confusion"
"congelar","derreter","schwartzwalderreter","congenhei","melt","freeze"
"conhaque","rum","uém","coquerque","rum","cognac"
"conheça","vejo","vedam","cotrança","see","meet"
"conhecer","agora","vilra","coprancer","now","know"
"conhecimento","experiência","experiênflower","conhecimentomashevsky","experience","knowledge"
"conselho","conselho","conseguía","conseguía","advice","advise"
"constantemente","sempre","semsäo","stephatantemente","always","constantly"
"constituição","lei","uii","baquátituição","law","constitution"
"construção","torre","prire","aprotrução","tower","building"
"construir","construção","aprotrução","consríeis","construction","build"
"contar","dizer","dicos","convic","say","tell"
"contente","conter","convin","concluíte","contain","content"
"contrário","oposto","olímto","concluírio","opposite","contrary"
"convento","orfanato","orfanatomashevsky","concripto","orphanage","convent"
"cópia de","original","guarginal","cópiaratha","original","copy"
"corajoso","nobre","nolen","coraagresso","noble","brave"
"corda","cadeia","cakett","lhada","chain","rope"
"coronel","em geral","em gdowd","corolhas","general","colonel"
"corporação","companhia","compaaçäo","transporação","company","corporation"
"correto","errado","erguerdo","truireto","wrong","correct"
"corrida","maratona","maranhõesna","truirida","marathon","race"
"cortar","rasgar","rasqui","guntar","tear","cut"
"costa","praia","prloa","neuta","beach","coast"
"crânio","osso","osval","rubnio","bone","skull"
"criança","bebê","bedan","ishaança","baby","child"
"criatividade","imaginação","aprenginação","criatividadelinqüen","imagination","creativity"
"criatura","monstro","apóstro","aguenatura","monster","creature"
"crime","pecado","africado","marme","sin","crime"
"criminoso","ladrao","laglas","roquíminoso","thief","criminal"
"crise","situação","situatrais","rêsse","situation","crisis"
"cristão","católico","calhauslico","crisney","catholic","christian"
"cronômetro","detonador","detonatalya","calypmetro","detonator","timer"
"cruel","brutal","bruney","borel","brutal","cruel"
"crueldade","mal","ohl","raphaeldade","evil","cruelty"
"culpado","inocente","adapcente","atrapado","innocent","guilty"
"curar","recuperar","warwickshirecuperar","culou","recover","heal"
"dança","dançarino","apresçarino","fraça","dancer","dance"
"dar","oferta","fredta","ñor","offer","give"
"década","século","exerculo","afircada","century","decade"
"declaração","comente","cobrirte","desaphiração","comment","statement"
"dedão","dedo","desas","decal","finger","thumb"
"defender","proteger","protenant","destrider","protect","defend"
"definição","conceito","conquanto","definichiwa","concept","definition"
"deixar","permitir","permiguem","deimão","allow","let"
"deixou","certo","sulto","deirai","right","left"
"delicioso","saboroso","sapanthroso","deliciosomething","tasty","delicious"
"demissão","renúncia","recriácia","denharsão","resignation","dismissal"
"democracia","liberdade","liaplaudade","demofluência","freedom","democracy"
"demonstração","protesto","prokrypto","derehamtração","protest","demonstration"
"dente","unha","ungi","orite","nail","tooth"
"depressão","estresse","eseloise","dericksão","stress","depression"
"derrota","vitória","vitóções","schwartzwalderrota","victory","defeat"
"desafio","obstáculo","aguentáculo","desaquez","obstacle","challenge"
"desagradável","desconfortável","desconsequêntável","desagradáwright","uncomfortable","unpleasant"
"desaparecimento","morte","deute","desaparecimentomashevsky","death","disappearance"
"desapontamento","surpresa","tranpresa","desapontamentomashevsky","surprise","disappointment"
"desconhecido","anônimo","clainimo","descosequêncido","anonymous","unknown"
"descrição","perfil","perloé","desinacção","profile","description"
"desejar","desejo","deseguem","desequem","desire","wish"
"desenhar","pintar","atitar","desequei","paint","draw"
"desenvolvimento","progresso","proaquoso","desenvolvimentomashevsky","progress","development"
"destino","destino","quantino","quantino","fate","destiny"
"destruição","criação","alheação","desadopção","creation","destruction"
"determinação","coragem","coranhos","devonshiminação","courage","determination"
"detetive","agente","cointe","deexaustive","agent","detective"
"dever","responsabilidade","responsabilidadelinqüen","deçam","responsibility","duty"
"devoção","fidelidade","fidelidadelinqüen","devogler","fidelity","devotion"
"dezembro","novembro","novemtões","demandbro","november","december"
"diabo","anjo","ansat","diaring","angel","devil"
"diferente","semelhante","semebackste","difecluíste","similar","different"
"dignidade","orgulho","orgurões","aplaunidade","pride","dignity"
"dinamite","pólvora","sayavora","dinatalyate","gunpowder","dynamite"
"ding.","ping.","pite.","gang.","ping","ding"
"dinheiro","dinheiro","dicaisro","diamarro","cash","money"
"diretamente","direto","diretomashevsky","diretaatraíste","direct","directly"
"diretor","produtor","produrant","diregres","producer","director"
"discussão","conversação","conversatoshi","distraisão","conversation","discussion"
"dispositivo","lasca","apuca","alphonpositivo","chip","device"
"disputa","conflito","concausto","aproputa","conflict","dispute"
"distante","aproximar","tranximar","plantante","near","far"
"distrito","município","municílhões","disquanto","county","district"
"divino","deus","deki","divilhar","god","divine"
"divisão","unidade","cluídade","divinhas","unit","division"
"doação","caridade","calhausdade","doalhei","charity","donation"
"documento","arquivo","aratrevo","documentomashevsky","file","document"
"doença","gripe","alope","doentrei","flu","disease"
"doente","doente","donaldte","apreente","ill","sick"
"dólar","libra","lichi","dómen","pound","dollar"
"domingo","sábado","efecbado","dobrargo","Saturday","Sunday"
"dor","sofrimento","sofrimentomashevsky","eir","suffering","pain"
"dormir","descanso","desaquoso","quamir","rest","sleep"
"doutor","cirurgião","cirurtéis","sistor","surgeon","doctor"
"durar","primeiro","priabalro","duzes","first","last"
"duro","difícil","difílers","ceiro","tough","hard"
"educação","saúde","kride","aponcação","health","education"
"efeito","influência","inglewocia","chento","influence","effect"
"eficaz","útil","útby","efisoe","useful","effective"
"egoísta","teimoso","shanmoso","truísta","stubborn","selfish"
"elegante","elegante","druggante","druggante","fashionable","elegant"
"eleição","campanha","aperpanha","inesção","campaign","election"
"eleitor","candidato","candidatomashevsky","exaltor","candidate","voter"
"elemento","fator","faret","abdômento","factor","element"
"eletricidade","atual","breal","elesequêncidade","current","electricity"
"elétrico","magnético","aprennético","triptrico","magnetic","electric"
"em algum lugar","em outro lugar","em outro cords","em algum telly","elsewhere","somewhere"
"em formação","dados","daram","em formdrais","data","information"
"emergência","urgente","urabaste","traugência","urgent","emergency"
"emocional","mental","menper","aprescional","mental","emotional"
"empreendedor","milionário","milionádlands","empreendeathwat","millionaire","entrepreneur"
"empregada","babá","bameu","emblackgada","nanny","maid"
"empréstimo","crédito","babydito","embaquátimo","credit","loan"
"encantador","atraente","loweente","englishtador","attractive","charming"
"encantador","legais","levens","englishtador","nice","lovely"
"encontrar","procurar","procupeis","enconcluí","search","find"
"encontro","conferência","confeathercia","enconnais","conference","meeting"
"energia","potência","ponhamcia","atorgia","power","energy"
"engraçado","inteligente","inteliatraíste","endlessçado","witty","funny"
"ensinar","aprender","dewinder","ensiveis","learn","teach"
"enterrar","escavação","escavanaugh","entersect","dig","bury"
"entrada","saída","kimda","enacorda","exit","entrance"
"epidemia","praga","falga","adopdemia","plague","epidemic"
"episódio","series","sequeses","acessódio","series","episode"
"equipar","equipamento","transpamento","montpar","equipment","equip"
"equipe","liga","liber","exaspe","league","team"
"ereção","orgasmo","orachamo","giução","orgasm","erection"
"erro","erro","sonro","calro","error","mistake"
"escândalo","fofoca","foqueica","estigüidalo","gossip","scandal"
"escapar","fugir","funet","escaguem","flee","escape"
"escola","classe","tuísse","escobris","class","school"
"escrevendo","leitura","sumptura","escrebushido","reading","writing"
"escrever","leitura","sumptura","espulôver","read","write"
"escritor","poeta","squeeta","esalastor","poet","writer"
"escritório","escrivaninha","escrivanikovsky","estaçäotório","desk","office"
"espaguete","lasanha.","lasatéia","espatrickte","lasagna","spaghetti"
"especialista","especialista","especialistakahashi","especialistakahashi","expert","specialist"
"espelho","reflexão","refletriz","espegues","reflection","mirror"
"esperar","aguarde","almônde","espenhei","wait","expect"
"espetacular","sensacional","sensaciodleigh","espetacuwright","sensational","spectacular"
"espírito","alma","quema","espíritomashevsky","soul","spirit"
"esporte","passatempo","passarawakpo","eslhaste","hobby","sport"
"esposa","marido","maabando","esamassa","husband","wife"
"estação","plataforma","platalhõesma","estagens","platform","station"
"estado","federal","fedeflec","espreido","federal","state"
"estátua","monumento","monumentomashevsky","estáball","monument","statue"
"estilo","ritmo","erómo","estituir","rhythm","style"
"estrangeiro","ufo.","ufló","españolgeiro","ufo","alien"
"estranho","incomum","incodric","esolhinho","unusual","strange"
"estratégia","plano","breno","españoltégia","plan","strategy"
"estrela","celebridade","celemanskydade","escharla","celebrity","star"
"estrutura","pirâmide","pinhõesmide","espiõestura","pyramid","structure"
"estude","pesquisa","pespressa","esprende","research","study"
"estupidez","loucura","grescura","estupitrais","madness","stupidity"
"estúpido","ingênuo","ingêgett","espiõespido","naïve","stupid"
"eu no","carne de porco","carne de pnitsyn","eupiã","pork","meat"
"evento","fenômeno","huffmeno","preito","phenomenon","event"
"eventualmente","finalmente","fiqueismente","sandwitualmente","finally","eventually"
"exagerar","subestimar","subestilhões","apergerar","underestimate","exaggerate"
"excelente","excelente","excetrackte","excetrackte","excellent","great"
"exclusivo","especial","espequeñoal","extrairsivo","special","unique"
"execução","pendurado","aguardurado","execupais","hanging","execution"
"exercício","prática","steitica","aliscício","practice","exercise"
"exército","legião","leguiu","braccito","legion","army"
"exibição","galeria","galeques","exibioquí","gallery","exhibition"
"explodir","explodido","exrecôndido","exbrandir","burst","explode"
"explosão","tremor de terra","tremor de todwill","exomissão","earthquake","explosion"
"explosivo","bombear","guarbear","exagressivo","bomb","explosive"
"expressar","descrever","deshanôver","exatrasar","describe","express"
"externo","interno","inaquino","exaquino","internal","external"
"faca","espada","esacorda","famin","sword","knife"
"fácil","impossível","impossítrais","fábri","impossible","easy"
"falar","palestra","palessing","fares","talk","speak"
"falha","sucesso","suplanso","fanes","success","failure"
"falso","falso","bússo","praso","fake","FALSE"
"família","clã","zeã","famísões","clan","family"
"famoso","popular","popuxões","fapresso","popular","famous"
"fantasia","realidade","warwickshirealidade","fantaques","reality","fantasy"
"fantástico","maravilhoso","maravineyardso","fanbaquático","wonderful","fantastic"
"farinha de trigo","grão","gret","farinha de tjasthan","grain","flour"
"fatal","mortal","restal","famos","deadly","fatal"
"fax","correspondência","seqüesrespondência","oix","mail","fax"
"faz","fazer","fagam","olz","make","do"
"fé","esperança","espequeñoça","êm","hope","faith"
"febre","tosse","spise","femon","cough","fever"
"fechado","trancado","aprecado","featordo","locked","closed"
"fechar","abrir","abeur","fetria","open","close"
"fecho","abertura","criptura","feeld","opening","closure"
"federação","colônia","crocnia","federanhões","colony","federation"
"feio","digusting.","digusrifty","ferd","digusting","ugly"
"feliz","satisfeito","satisfeitomashevsky","fesac","satisfied","happy"
"fêmea","macho","madon","fêlak","male","female"
"feriado","natal","nanos","transriado","christmas","holiday"
"ferida","ferida","feguarda","feguarda","wound","injury"
"festa","recepção","retruição","honta","reception","party"
"festival","carnaval","carnanhou","abratival","carnival","festival"
"fiel","leal","legra","fiellingsworth","loyal","faithful"
"fígado","rim","mbm","prongado","kidney","liver"
"filho","filha","ficíl","firam","daughter","son"
"filme","pornô","pomaô","janme","porn","movie"
"final","final","fizés","fires","final","ultimate"
"finalizar","fim","õem","finalivings","end","finish"
"financeiro","bancário","aplicário","finanpanthro","banking","financial"
"financiamento","orçamento","orçamentomashevsky","financiamentomashevsky","budget","funding"
"financiamento","financeiramente","finanmahabharamente","financiamentomashevsky","financially","financing"
"físico","sexual","seatrial","plassico","sexual","physical"
"flor","plantar","agartar","flbi","plant","flower"
"floresta","selva","tinva","atenresta","jungle","forest"
"fluido","líquido","lípseudo","frendo","liquid","fluid"
"fogão","forno","bagno","folam","oven","stove"
"força","força","mança","mança","strength","force"
"formiga","abelha","maylha","oquímiga","bee","ant"
"fortemente","pesado","pedreido","cluístemente","heavy","heavily"
"fortemente","firmemente","exausmemente","cluístemente","firmly","strongly"
"fortuna","tesouro","tetreiro","eventuna","treasure","wealth"
"foto","foto","marto","marto","picture","photo"
"fotógrafo","autógrafo","auchampgrafo","foliõesgrafo","autograph","photographer"
"fraco","forte","abste","blico","strong","weak"
"francês","inglês","ingree","franjid","english","french"
"frase","dicionário","dicionádlands","danse","dictionary","phrase"
"frase","palavra","paladogs","danse","word","sentence"
"fraude","conspiração","aprenpiração","bridde","conspiracy","fraud"
"frio","caloroso","camashiroso","fres","warm","cool"
"frota","naval","naxos","hanta","naval","fleet"
"fruta","maçã","manaf","rinta","apple","fruit"
"fugitivo","refugiado","warwickshirefugiado","fuexaustivo","refugee","fugitive"
"funcional","operacional","sandwiracional","acrescional","operational","functional"
"furgão","reboque","reboxing","zingão","trailer","van"
"fúria","raiva","stava","fútes","anger","rage"
"futebol","basquetebol","basquetebollingsworth","futebollingsworth","basketball","football"
"galáxia","universo","aperverso","galálers","universe","galaxy"
"ganhar","ganho","gazer","galhei","gain","win"
"garagem","oficina","exercina","garanhos","workshop","garage"
"garçonete","garçom","garems","triunçonete","waiter","waitress"
"garfo","colher","colong","volfo","spoon","fork"
"garotas","rapazes","rapalhar","garoquei","boys","girls"
"garoto","menina","melhanna","garotomashevsky","girl","boy"
"garrafa","vidro","viças","cheirafa","glass","bottle"
"gastar","desperdício","destruísdício","sultar","waste","spend"
"gato","cão","sgo","ganis","dog","cat"
"gay.","lésbica","quânbica","gaib","lesbian","gay"
"generoso","compassivo","commonwesivo","gechihiroso","compassionate","generous"
"geralmente","naturalmente","naturalatraíste","genheimmente","naturally","generally"
"girar","virar","videm","gidei","turn","rotate"
"global","nacional","nacioclips","thebal","national","global"
"glória","glorioso","apresrioso","cayria","glorious","glory"
"gorila","macaco","macalhau","gocharla","monkey","gorilla"
"governo","administração","administrawright","gojohnno","administration","government"
"graduado","diploma","diacalma","chengduado","diploma","graduate"
"grama","quilo","mallo","torma","kilo","gram"
"grandes","curto","neuto","atindes","short","long"
"gratidão","hospitalidade","hospitalidadelinqüen","gratigues","hospitality","gratitude"
"gratuitamente","livremente","lilgualmente","grakenyattamente","freely","free"
"gravação","registro","readentro","consvação","record","recording"
"gravata","ligar","linos","consvata","bind","tie"
"gravidez","aniversário","stresversário","gravilhão","birth","pregnancy"
"grego","romano","acalmano","volgo","roman","greek"
"greve","bater","baria","corve","hit","strike"
"grosso","afinar","stanar","apesso","thin","thick"
"grupo","gangue","suigue","cappo","gang","group"
"guarda","espera","esagarra","equida","hold","keep"
"guaxinim","esquilo","esdownlo","guaxigart","squirrel","raccoon"
"guerreiro","soldado","aterdado","abaireiro","soldier","warrior"
"guitarra","piano","screano","plantarra","piano","guitar"
"habilidade","capacidade","capacidadelinqüen","habilidadelinqüen","capacity","ability"
"hamburger","sanduíche","sanpranche","atorburger","sandwich","hamburger"
"harmonia","saldo","frudo","harmozart","balance","harmony"
"helicóptero","ambulância","ambulânlhões","heliseqüentero","ambulance","helicopter"
"hematoma","coçar, arranhão","coçar, arnewick","heathertoma","scratch","bruise"
"herdar","herança","hedleyça","quidar","heritage","inherit"
"heroína","cocaína","cobreina","heshawna","cocaine","heroin"
"hidrogênio","carbono","trombono","hidrogêlhões","carbon","hydrogen"
"hiv","auxilia","auxinhos","muv","aids","hiv"
"homem morcego","super homen","super hluth","homem morcchwald","superman","batman"
"honestidade","lealdade","lealtruísde","horowitztidade","loyalty","honesty"
"honesto","decente","derickte","hotricto","decent","honest"
"honra","privilégio","madhavilégio","fesra","privilege","honor"
"horrível","terrível","consrível","atenrível","terrible","horrible"
"humano","homem","holie","presmano","man","human"
"idiota","enganar","engalhos","sparota","fool","idiot"
"imenso","grande","atinde","everso","big","huge"
"imperador","imperial","imperigueia","imperanhões","imperial","emperor"
"império","dinastia","dilheitia","impéções","dynasty","empire"
"importância","significado","baryshnificado","importânlhões","meaning","importance"
"importante","valioso","vasubwooso","imaguentante","valuable","important"
"impossível","incapacidade","incapacidadelinqüen","impossítrais","inability","unable"
