"uk_target","uk_cue","uk_fake_cue","uk_fake_target","en_cue","en_target"
"використання","застосовувати","запробовувати","використійно","apply","use"
"викуп","викрадач","викрадпя","сткуп","kidnapper","ransom"
"вилка","ложка","лотна","виїда","spoon","fork"
"виловити","захопити","заходоти","йоловити","grab","catch"
"винищувач","чемпіон","чемптин","винилевач","champion","fighter"
"винним","невинний","невиприй","виерим","innocent","guilty"
"виправдання","прощати","прбpати","великодання","forgive","excuse"
"випромінювання","забруднення","заображення","випропонованих","contamination","radiation"
"випускник","диплом","дипляж","випулиник","diploma","graduate"
"виробляти","створювати","ствоговати","вироблони","create","produce"
"виробництво","завод","забуд","виропоицтво","factory","production"
"висловлювати","описувати","опхтувати","вислуглювати","describe","express"
"високий","низький","нисский","випикий","low","high"
"високість","величність","величневть","винькість","majesty","highness"
"висота","вага","льга","випата","weight","height"
"виставка","галерея","мплерея","виймають","gallery","exhibition"
"витрачати","відходи","віднали","витротати","waste","spend"
"вихід","вихід","винтд","витад","exit","entrance"
"вівторок","понеділок","поневалок","вічіорок","monday","tuesday"
"від'їзд","прибуття","прибратя","віддоза","arrival","departure"
"відбиток пальця","дна","рса","відстерігаються","dna","fingerprint"
"відданість","вірність","вістість","відданство","fidelity","devotion"
"відеоролик","двійник","сіійник","віздоровий","dvd","video"
"відмовлятися","залишати","закошати","відтворяться","leave","abandon"
"відповідати","відповідь","відзуміти","відчувавати","answer","reply"
"відсутність","присутність","присраність","відйманість","presence","absence"
"відчуття","враження","чиаження","відності","impression","feeling"
"відьма","прокляття","проклявкя","відною","curse","witch"
"військовий","цивільний","пoвільний","військійий","civil","military"
"віл","снід","сной","гел","aids","hiv"
"вільний","вільно","вільку","тольний","freely","free"
"віра","надія","накая","вікр","hope","faith"
"вірити","довіра","довішо","марити","trust","believe"
"вірний","лояльний","одяльний","журний","loyal","faithful"
"вітамін","білок","калок","вітайлн","protein","vitamin"
"вітрило","анкер","анцир","віетило","anchor","sail"
"вказувати","точка","вічка","вкирувати","point","indicate"
"влада","юрисдикція","юрисдишнія","влита","jurisdiction","authority"
"власник","майно","пойно","властлк","property","owner"
"вовка","ведмідь","вечіідь","вотна","bear","wolf"
"водій","пасажирський","паножирський","волюй","passenger","driver"
"водневий","вуглець","вуглюкь","вораевий","carbon","hydrogen"
"воїн","солдат","соажат","воey","soldier","warrior"
"ворота","портал","поощал","строта","portal","gate"
"вправа","практика","пракнька","вптива","practice","exercise"
"вражати","лестити","ледоити","вручати","flatter","impress"
"вражаючий","сенсаційний","сеоваційний","чиажаючий","sensational","spectacular"
"всередині","назовні","надивні","рдередині","outside","inside"
"втеча","бігти","білли","втаса","flee","escape"
"втікач","біженець","бічннець","втікll","refugee","fugitive"
"вулиця","проспект","проагент","вулиін","avenue","street"
"вухо","око","рло","вудк","eye","ear"
"вчений","геніальний","гертальний","вчорий","genius","scientist"
"вчора","сьогодні","сьогодер","вчена","today","yesterday"
"гавань","затока","замека","кивань","bay","harbor"
"газета","стаття","стхотя","гасота","article","newspaper"
"галактика","всесвіт","всдевіт","галаарика","universe","galaxy"
"галюкування","ілюзія","ирюзія","гавскування","illusion","hallucination"
"гаманець","кишеньковий","кингньковий","гамаршць","pocket","wallet"
"гамбургер","бутерброд","хотерброд","галаургер","sandwich","hamburger"
"гараж","семінар","семімир","гайдж","workshop","garage"
"гармонія","баланс","балапа","гармонок","balance","harmony"
"гарний","гарний","гальий","гальий","pretty","beautiful"
"гей","лесбійський","лесбюлський","жій","lesbian","gay"
"героїн","кокаїн","кокашт","героrd","cocaine","heroin"
"гідний","заслуговувати","заслововувати","авдний","deserve","worthy"
"гідність","гордість","госність","твдність","pride","dignity"
"гітара","піаніно","піанкро","интара","piano","guitar"
"глобальний","національний","натоональний","глежальний","national","global"
"глухий","сліпий","слзбий","глявий","blind","deaf"
"голий","оголений","огерений","жалий","nude","naked"
"голодний","втомлений","втомалний","голосяий","tired","hungry"
"голосувати","більшість","більнюсть","голомывати","majority","vote"
"гонка","марафон","маракан","годаа","marathon","race"
"гора","пагорб","пагоуя","адра","hill","mountain"
"горила","мавпа","маoга","гонала","monkey","gorilla"
"горілка","віскі","вііті","говолка","whiskey","vodka"
"гра","грати","едати","уба","play","game"
"грабувати","красти","крлити","грснувати","steal","rob"
"гравець","тренер","трютер","ювавець","coach","player"
"гран","кілограма","кілобрано","грлі","kilo","gram"
"графиня","барон","балкн","графчая","baron","countess"
"грецький","римський","рисуький","овецький","roman","greek"
"грім","блискавка","блиссовка","грює","lightning","thunder"
"гроші","готівка","голдвка","гріпі","cash","money"
"грудень","листопад","литропад","неудень","november","december"
"груди","шлунок","шлюпок","грїти","stomach","chest"
"група","банда","баьна","грйза","gang","group"
"група","оркестр","оркетер","грйза","orchestra","band"
"давати","пропозиція","пропозицны","зовати","offer","give"
"далеко","біля","біде","далене","near","far"
"дар","комплімент","компосмент","атр","compliment","gift"
"двері","вікно","вірґо","двжні","window","door"
"двигун","танк","тавш","двиглы","tank","engine"
"демократія","свобода","свобкса","демократьт","freedom","democracy"
"демонстрація","протест","протомт","демонстревія","protest","demonstration"
"депресія","стрес","стенс","дегресує","stress","depression"
"дерева","кущ","яощ","деребя","bush","tree"
"держава","федеральний","федебольний","держзла","federal","state"
"десь","в іншому місці","urіншому місці","делб","elsewhere","somewhere"
"десятиліття","століття","столітив","десяейліття","century","decade"
"детектив","агент","счент","нитектив","agent","detective"
"детермінація","мужність","мужныеть","детермарація","courage","determination"
"дешевий","дорочий","доробцй","деодвий","expensive","cheap"
"джульєтта","ромео","рокро","джульєума","romeo","juliet"
"дзеркало","відбиток","відстоки","вмеркало","reflection","mirror"
"дивитися","подивитися","почевитися","диактися","look","watch"
"дивний","незвичайний","недвигаемся","зовний","unusual","strange"
"дивовижний","вражаючий","чиажаючий","дицивижний","impressive","amazing"
"динаміт","порох","пошах","динайгт","gunpowder","dynamite"
"директор","виробник","виропоик","боректор","producer","director"
"дитина","дитина","дитимо","дитиск","baby","child"
"дитинство","молодь","молохи","дитижнтво","youth","childhood"
"диявол","ангел","анзил","диявпу","angel","devil"
"дівчата","хлопчики","хллечики","діидата","boys","girls"
"діяльність","активний","язтивний","діяльницть","active","activity"
"дно","вершина","вершава","рсо","top","bottom"
"до побачення","здравствуйте","здравсрбуйте","доїхобачення","hello","bye"
"добровільно","волонтер","володцер","добровжиьно","volunteer","voluntarily"
"довго","короткий","короавий","дорло","short","long"
"довжина","розмір","розшёл","довжньа","size","length"
"довіра","поважання","пованоння","дофора","respect","confidence"
"додатковий","додатковий","андатковий","довитковий","extra","additional"
"дозволяє","дозволяти","домовлять","домовляв","allow","let"
"доказ","докази","докаря","ліказ","evidence","proof"
"доктор","хірург","сбрург","дочнор","surgeon","doctor"
"документ","управляти","ціравляти","домімент","file","document"
"долар","фунт","фусу","доабр","pound","dollar"
"долина","пустеля","пустимя","доличи","desert","valley"
"доля","доля","довк","рiля","fate","destiny"
"допомагати","довідка","понадка","доподдгати","help","assist"
"допомога","підтримка","піддружка","допомонт","support","assistance"
"доріжка","маршрут","магірут","ндріжка","route","path"
"досконалий","ідеальний","ввеальний","досконпpий","ideal","perfect"
"дослідник","аналітик","аналітті","дослерник","analyst","investigator"
"достатні","достатньо","достатись","досталла","enough","sufficient"
"досягати успіху","управляти","ціравляти","досягати спіхом","manage","succeed"
"дохід","прибуток","прибутіш","чехід","profit","income"
"дрібний","пінг","піка","дровний","ping","ding"
"дріт","кабель","шибель","yміт","cable","wire"
"друг","колега","колеут","дрve","colleague","friend"
"дружба","відносини","відносном","дрсуба","relationship","friendship"
"дружина","чоловіка","чолоідка","дрклина","husband","wife"
"дружній","ввічливий","ввціливий","дрозній","polite","friendly"
"дуже","надзвичайно","дисзвичайно","думо","extremely","very"
"думати","розглядати","розступить","пимати","consider","think"
"дурість","божевілля","божевісия","думксть","madness","stupidity"
"дурний","наїзд","наати","дурнул","naïve","stupid"
"дух","душа","дубо","спх","soul","spirit"
"егоїстичний","упертий","упхмтий","боєїстичний","stubborn","selfish"
"елегантний","модний","падний","ельзантний","fashionable","elegant"
"електрика","струм","сттiм","елековика","current","electricity"
"електричний","магнітний","маихітний","електренний","magnetic","electric"
"елемент","фактор","біктор","елвлент","factor","element"
"емоційний","психічний","психроний","емшнійний","mental","emotional"
"енергія","потужність","потужньоть","енервая","power","energy"
"епідемія","чума","жима","епгаемія","plague","epidemic"
"епізод","серія","дурія","spізод","series","episode"
"ефект","вплив","впкав","мaект","influence","effect"
"ефективний","корисний","кооясний","дйективний","useful","effective"
"жалюгідний","жалюгідний","пелюгідний","целюгідний","miserable","pathetic"
"жарт","трюк","тред","церт","trick","joke"
"жахливий","жахливий","жавживий","жахливно","terrible","horrible"
"живопис","художник","хужежник","живоюєс","artist","painter"
"жінка","вдова","усова","винка","widow","woman"
"жіночий","чоловічий","чоловірей","жіновуй","male","female"
"жовтень","вересень","верекань","жовтаєь","september","october"
"жовтий","червоний","червтрий","жоцний","red","yellow"
"жорсткий","жорсткий","жоенткий","жорсючий","tough","hard"
"жорстокий","жорстокий","жорстотай","жорсавкий","brutal","cruel"
"жорстокість","зло","кио","жорстолпсть","evil","cruelty"
"жувати","проковтнути","проковтныши","озвати","swallow","chew"
"журнал","плейбой","ажейбой","жухвал","playboy","magazine"
"журналіст","репортер","ретертер","вірналіст","reporter","journalist"
"забавний","дотепний","алтепний","забарбий","witty","funny"
"забороняти","заборонений","забоденений","забодиняти","forbidden","prohibit"
"загалом","природно","природку","загаррм","naturally","generally"
"заголовок","назва","натом","заціловок","name","title"
"загоюватися","відновлювати","відвторювати","загодкатися","recover","heal"
"зазвичай","нормально","носиально","зазволяй","normally","usually"
"закінчити","кінець","аднець","закіорити","end","finish"
"законний","незаконний","незаконная","заненний","illegal","legal"
"закриття","відкриття","відвчився","закритич","opening","closure"
"залишати","перебування","перечуження","залиісти","stay","remain"
"залучати","уважність","увкіність","задичати","attention","attract"
"замінник","замінити","замішати","затонник","replace","substitute"
"замку","палац","паенц","заожу","palace","castle"
"замок","ключ","клвк","защик","key","lock"
"заморожувати","розтопити","розмовини","заморопивати","melt","freeze"
"запам'ятати","забути","забухг","запапыятати","forget","remember"
"запах","смак","смрт","заоих","taste","smell"
"записування","рекорд","рекоар","запичивання","record","recording"
"запит","попит","лупит","зарут","demand","request"
"запитувати","запитання","запитатья","заратувати","question","ask"
"зарозумілість","незнання","неграфія","томозумілість","ignorance","arrogance"
"зарплата","пенсія","пенсор","зарпкета","pension","salary"
"затвердження","дозвіл","доневі","затвергоення","permission","approval"
"захворювання","грип","грop","захвораяання","flu","disease"
"захищати","захищати","захиряти","захиегти","protect","defend"
"західний","південний","півмінних","завядний","southern","western"
"зачинено","замкнений","заступний","занынено","locked","closed"
"заява","коментар","коментей","заыта","comment","statement"
"збирати","збирати","люирати","люирати","collect","gather"
"зброю","пістолет","экстолет","пирою","pistol","weapon"
"зброя","арсенал","арізнал","збдая","arsenal","armory"
"збуджений","гордий","гордйо","збсюжений","proud","excited"
"звичайний","звичайний","звичmиний","звичткний","ordinary","usual"
"звільнення","відставка","відрвався","звілймення","resignation","dismissal"
"звук","шум","адм","звсб","noise","sound"
"здатність","потенціал","потерсіал","здатласть","capacity","ability"
"ззаду","фронт","ніонт","оюаду","front","rear"
"зима","літній","катній","ннма","summer","winter"
"зізнатися","визнавати","виставать","зізначити","admit","confess"
"зірка","знаменитість","знамбритість","зікаа","celebrity","star"
"зйомка","постріл","постаєш","юкомка","shot","shoot"
"злий","ревнивий","резвивий","ежий","jealous","angry"
"зловмисник","жертва","желава","злвaмисник","victim","attacker"
"злочинність","гріх","грыв","злочсиність","sin","crime"
"зміст","містити","щестити","змрят","contain","content"
"змія","черв'як","червоюк","ерія","worm","snake"
"знав","визнавати","виставать","учав","recognize","knew"
"знак","форма","фозка","знрт","form","sign"
"знаменитий","популярний","пожалярний","знаменитки","popular","famous"
"знання","зараз","тераз","евання","now","know"
"знання","досвід","долиід","евання","experience","knowledge"
"знаходження","пошук","поцик","знесодження","search","find"
"зникнення","смерть","смерск","знтонення","death","disappearance"
"зовнішній","внутрішній","внутрішним","зовновній","internal","external"
"зона","площа","плжча","орна","area","zone"
"зонд","капсула","какиула","минд","capsule","probe"
"зрадник","шпигун","шпигод","кіадник","spy","traitor"
"зрештою","нарешті","нарербі","кіештою","finally","eventually"
"зрозуміти","усвідомлювати","усвідратувати","зрочувати","realize","understand"
"зубний","цвях","млях","удбний","nail","tooth"
"зустріч","конференція","коицеренція","зусталь","conference","meeting"
"зустрічатися","подивитися","почевитися","зуволікатися","see","meet"
"іграшка","лялька","тилька","ігращиа","doll","toy"
"ідіот","дурень","дукань","ідміт","fool","idiot"
"їжа","їжа","лба","зга","food","meal"
"їздити","привід","привии","cвдити","drive","ride"
"імператор","імперський","гиперський","імпепотор","imperial","emperor"
"імперія","династія","династоз","імпетия","dynasty","empire"
"ін'єкція","доза","донк","іннекція","dose","injection"
"інвестор","банкір","банкта","вывестор","banker","investor"
"інвестувати","фінансування","винансування","інвестадати","finance","invest"
"індивідуальний","людина","люлена","індивіслальний","person","individual"
"індичка","курятина","куйттина","іншочка","chicken","turkey"
"інспекція","обстеження","обстклення","іналекція","examination","inspection"
"інструмент","інструмент","інозрумент","інструмеси","tool","instrument"
"інтимний","особистий","осюристий","іннюмний","personal","intimate"
"інтуїція","інстинкт","омстинкт","інтуарія","instinct","intuition"
"інфекція","вірус","віінс","тофекція","virus","infection"
"інформатор","джерело","джергао","інфомнатор","source","informant"
"інформація","дані","инні","інформерія","data","information"
"інший","аналогічний","аналогроний","фаший","similar","different"
"іронічний","іронія","іронст","пионічний","irony","ironic"
"їсти","годувати","горівати","южти","feed","eat"
"ймовірно","ймовірність","ѕиовірність","въовірно","probability","likely"
"йти","вводити","экодити","лoи","enter","go"
"кава","чашка","чаруа","капе","cup","coffee"
"камінь","рок","чик","каміша","rock","stone"
"капелюх","шолом","тылом","кажалюх","helmet","hat"
"капіталізм","анархія","анардся","кареталізм","anarchy","capitalism"
"капітан","командувач","командувпя","кажитан","commander","captain"
"каплиця","церква","цезгва","капляйя","church","chapel"
"кардинал","єпископ","єписрет","кайтинал","bishop","cardinal"
"карта","компас","компуш","каска","compass","map"
"картель","мафія","малкя","картирь","mafia","cartel"
"катування","мучити","муляти","естування","torment","torture"
"кафедра","таблиця","таваиця","кафееба","table","chair"
"качка","гусак","гущек","кадеа","goose","duck"
"квартал","половина","полофіна","удартал","half","quarter"
"квартира","будинок","людинок","квектира","house","apartment"
"квітка","рослина","рожчина","квзыка","plant","flower"
"кемпінг","пікнік","піадік","кеббінг","picnic","camping"
"килимок","підлога","підзоро","айлимок","floor","carpet"
"кисень","повітря","повікея","китынь","air","oxygen"
"кінь","осел","ерел","ишнь","donkey","horse"
"кішка","собака","собазо","зршка","dog","cat"
"класичний","типовий","поповий","клуличний","typical","classic"
"клієнт","хворий","хворех","смієнт","patient","client"
"клініка","лікарня","лікааля","кламіка","hospital","clinic"
"клятва","присягати","присукати","клеива","swear","oath"
"книга","біблія","біaція","кнїда","bible","book"
"князь","принцеса","принцеду","стязь","princess","prince"
"ковбойський","родео","рормо","копіойський","rodeo","cowboy"
"ковток","падіння","ердіння","коклок","drop","sip"
"коли-небудь","ніколи","ніконн","колинебїль","never","ever"
"коліна","плече","пломе","коивна","shoulder","knee"
"команда","ліга","лізл","комаьна","league","team"
"комаха","павук","паерк","комайб","spider","insect"
"комедія","драма","дріка","кородія","drama","comedy"
"комісар","інспектор","інсмертна","коміґер","inspector","commissioner"
"комітет","комісія","коллсія","косутет","commission","committee"
"комп'ютер","програмне забезпечення","ексграмне забезпечення","компнітер","software","computer"
"комуніст","расист","раинст","комуніве","racist","communist"
"конституція","закон","зачен","конставився","law","constitution"
"консультувати","консультація","консультурія","консулихувати","advice","advise"
"конфіденційність","приватний","привсаний","ковхіденційність","private","privacy"
"концентрат","зосереджувати","зосерештувати","коясентрат","focus","concentrate"
"концерт","турист","туриро","коимерт","tour","concert"
"коньяк","ром","ным","ковдяк","rum","cognac"
"копіювати","оригінальний","оригадальний","котиювати","original","copy"
"королівство","королівський","коровавський","коровавство","royal","kingdom"
"короля","королева","королере","корожк","queen","king"
"корпорація","компанія","компанди","кофлорація","company","corporation"
"коханець","господиня","господчая","кояянець","mistress","lover"
"коштовність","алмаз","албуз","коштовоксть","diamond","jewel"
"краватка","пов'язувати","пойтязувати","кравтяка","bind","tie"
"краса","чарівність","злрівність","кріда","charm","beauty"
"кредит","кредит","кредке","кредым","credit","loan"
"криза","становище","становкае","крдра","situation","crisis"
"кримінальний","злодій","чаодій","крстінальний","thief","criminal"
"кришка","окуляри","окулкви","кражка","glasses","cap"
"кролик","лисиця","бесиця","кролів","fox","rabbit"
"кузен","відносний","відсічний","куанн","relative","cousin"
"куля","калібр","калікл","атля","caliber","bullet"
"куртка","сорочка","герочка","куртац","shirt","jacket"
"лев","дракон","дрброн","бoв","dragon","lion"
"легенда","міф","ефф","легеица","myth","legend"
"легкий","неможливий","неможливно","легков","impossible","easy"
"легкий","темрява","темропа","легков","darkness","light"
"леді","лорд","лоар","лесл","lord","lady"
"лейтенант","сержант","сержитт","легоенант","sergeant","lieutenant"
"лекція","семінар","семімир","лекцны","seminar","lecture"
"лизати","смоктати","смдетати","лизапе","suck","lick"
"липень","червень","червикь","лишінь","june","july"
"лихоманка","кашель","касиль","лилеманка","cough","fever"
"ліберальний","консервативний","подсорвативний","лізоральний","conservative","liberal"
"ліворуч","правий","прткий","ліпшруч","right","left"
"лідер","член","мйен","ліндр","member","leader"
"ліжка","диван","суван","лісна","sofa","bed"
"ліки","алкоголь","алкобиль","дски","alcohol","drug"
"лікування","терапія","тераббя","літавання","therapy","treatment"
"лімузин","таксі","танкі","лірізин","taxi","limousine"
"лін","мін","пхн","усн","ming","ling"
"ліс","джунглі","джбіглі","анс","jungle","forest"
"літати","земля","зервя","лірити","land","fly"
"література","мистецтво","мистмство","літепитура","art","literature"
"лобстер","тунець","тунепр","одбстер","tuna","lobster"
"любов","ненависть","ненавимаь","люсив","hate","love"
"люди","населення","нахалення","люсь","population","people"
"людський","людина","люлена","люолький","man","human"
"лють","гнів","аків","четь","anger","rage"
"лякати","налякати","напекати","янкати","scare","frighten"
"м'яз","нервовий","нелновий","м'ws","nerve","muscle"
"м'ясо","свинина","свинтра","м'ґпо","pork","meat"
"мабуть","може бути","можеасути","майать","maybe","probably"
"магазин","магазин","магаорн","магасан","shop","store"
"майонез","кетчуп","кетчnt","маранез","ketchup","mayonnaise"
"максимальний","мінімальний","міормальний","малаимальний","minimum","maximum"
"малий","мало","маст","жилий","little","small"
"малювати","фарбувати","горбувати","вклювати","paint","draw"
"мама","тато","тайт","авма","daddy","mum"
"маніпулювати","контроль","контрозі","манізалювати","control","manipulate"
"маркетинг","реклама","наклама","маждетинг","advertising","marketing"
"масаж","йога","maга","матож","yoga","massage"
"масло","вугілля","вугінця","дісло","coal","oil"
"масло","мед","илд","дісло","honey","butter"
"математика","фізика","фіечка","матеманька","physics","mathematics"
"матрос","піратський","пірагоький","острос","pirate","sailor"
"матч","турнір","туфлір","марп","tournament","match"
"машина","робот","роріт","маріна","robot","machine"
"машина","транспортний засіб","транспортналізацію","маріна","vehicle","car"
"медаль","трофей","трпией","меркль","trophy","medal"
"медальйон","артефакт","артеушкт","меткльйон","artifact","medallion"
"мера","шериф","итриф","меть","sheriff","mayor"
"мертвий","живий","девий","мертатй","alive","dead"
"металевий","залізо","заліiй","метанувий","iron","metal"
"метр","кілометр","зрлометр","меin","kilometer","meter"
"механічний","технічний","технланий","меатнічний","technical","mechanical"
"милий","солодкий","сологіий","халий","sweet","cute"
"милосердя","прощення","пршлення","милосепья","forgiveness","mercy"
"минуле","майбутнє","майбежнє","миасле","future","past"
"мити","чистий","чистсь","ояти","clean","wash"
"мікроскоп","телескоп","телепсон","мікропсон","telescope","microscope"
"мікрофон","камеру","камеам","мікриєон","camera","microphone"
"мільярд","мільйон","мільовн","мількуд","million","billion"
"міністерство","посольство","посовиство","міністердиво","embassy","ministry"
"міністр","посла","подаа","мінінор","ambassador","minister"
"мінус","плюс","плїй","міекс","plus","minus"
"місія","завдання","владання","міжня","task","mission"
"місто","капітал","кандтал","мітко","capital","city"
"місцевий","регіональний","реабональний","місцяний","regional","local"
"мішок","коробка","коропоа","мізек","box","bag"
"мовчання","мовчазний","мовчийний","моккання","silent","silence"
"можливість","шанс","шарэ","можлчність","chance","possibility"
"мокрий","сухий","суьфй","мокзал","dry","wet"
"молодий","старий","старос","молофбй","old","young"
"молодший","старший","старосй","молоящий","senior","junior"
"молоток","палиця","палиін","моловнк","stick","hammer"
"монастир","сиріт","сишьт","монастзо","orphanage","convent"
"монастир","храм","хрру","монастзо","temple","monastery"
"монітор","екран","еклин","моніжкр","screen","monitor"
"монтаж","оргазм","оргавр","монтлa","orgasm","erection"
"морфін","аспірин","аскирин","модіін","aspirin","morphine"
"мотель","готель","митель","мойкль","hotel","motel"
"моторошний","страшний","страхуий","моторобаий","scary","creepy"
"мотузка","ланцюг","ланцыx","мотуиса","chain","rope"
"мрія","кошмар","кошмрд","мрди","nightmare","dream"
"музей","бібліотека","бібліоадка","мунбй","library","museum"
"музика","джаз","джхо","муечка","jazz","music"
"музикант","співак","предак","ризикант","singer","musician"
"мурашка","бджола","бдібла","мурайоа","bee","ant"
"мутація","еволюція","дюолюція","октація","evolution","mutation"
"навколо","круглий","кржолий","наніоло","round","around"
"навмисно","випадково","викидково","навмиску","accidentally","intentionally"
"навпаки","навпаки","накзаки","наpеаки","opposite","contrary"
"навчати","навчатися","наводится","нарости","learn","teach"
"нагорода","бонус","бойфс","налирода","bonus","reward"
"надавати","дозволяти","домовлять","назовати","enable","provide"
"надзвичайний","терміновий","термуловий","дисзвичайний","urgent","emergency"
"надсилати","приносити","прининити","наирилати","bring","send"
"назавжди","вічний","ричний","назаскди","eternal","forever"
"намисто","кільце","иальце","намилио","ring","necklace"
