"uk_cue","uk_target","type","cue_type","target_type","uk_cosine"
"рок","камінь","related","word","word",NA
"шолом","капелюх","related","word","word",NA
"анархія","капіталізм","related","word","word",NA
"командувач","капітан","related","word","word",NA
"церква","каплиця","related","word","word",NA
"єпископ","кардинал","related","word","word",NA
"компас","карта","related","word","word",NA
"мафія","картель","related","word","word",NA
"мучити","катування","related","word","word",NA
"таблиця","кафедра","related","word","word",NA
"гусак","качка","related","word","word",NA
"половина","квартал","related","word","word",NA
"будинок","квартира","related","word","word",NA
"рослина","квітка","related","word","word",NA
"пікнік","кемпінг","related","word","word",NA
"підлога","килимок","related","word","word",NA
"повітря","кисень","related","word","word",NA
"осел","кінь","related","word","word",NA
"собака","кішка","related","word","word",NA
"типовий","класичний","related","word","word",NA
"хворий","клієнт","related","word","word",NA
"лікарня","клініка","related","word","word",NA
"присягати","клятва","related","word","word",NA
"біблія","книга","related","word","word",NA
"принцеса","князь","related","word","word",NA
"родео","ковбойський","related","word","word",NA
"падіння","ковток","related","word","word",NA
"ніколи","коли-небудь","related","word","word",NA
"плече","коліна","related","word","word",NA
"ліга","команда","related","word","word",NA
"павук","комаха","related","word","word",NA
"драма","комедія","related","word","word",NA
"інспектор","комісар","related","word","word",NA
"комісія","комітет","related","word","word",NA
"програмне забезпечення","комп'ютер","related","word","word",NA
"расист","комуніст","related","word","word",NA
"закон","конституція","related","word","word",NA
"консультація","консультувати","related","word","word",NA
"приватний","конфіденційність","related","word","word",NA
"зосереджувати","концентрат","related","word","word",NA
"турист","концерт","related","word","word",NA
"ром","коньяк","related","word","word",NA
"оригінальний","копіювати","related","word","word",NA
"королівський","королівство","related","word","word",NA
"королева","короля","related","word","word",NA
"компанія","корпорація","related","word","word",NA
"господиня","коханець","related","word","word",NA
"алмаз","коштовність","related","word","word",NA
"пов'язувати","краватка","related","word","word",NA
"чарівність","краса","related","word","word",NA
"кредит","кредит","related","word","word",NA
"становище","криза","related","word","word",NA
"злодій","кримінальний","related","word","word",NA
"окуляри","кришка","related","word","word",NA
"лисиця","кролик","related","word","word",NA
"відносний","кузен","related","word","word",NA
"калібр","куля","related","word","word",NA
"сорочка","куртка","related","word","word",NA
"дракон","лев","related","word","word",NA
"міф","легенда","related","word","word",NA
"неможливий","легкий","related","word","word",NA
"темрява","легкий","related","word","word",NA
"лорд","леді","related","word","word",NA
"сержант","лейтенант","related","word","word",NA
"семінар","лекція","related","word","word",NA
"смоктати","лизати","related","word","word",NA
"червень","липень","related","word","word",NA
"кашель","лихоманка","related","word","word",NA
"консервативний","ліберальний","related","word","word",NA
"правий","ліворуч","related","word","word",NA
"член","лідер","related","word","word",NA
"диван","ліжка","related","word","word",NA
"алкоголь","ліки","related","word","word",NA
"терапія","лікування","related","word","word",NA
"таксі","лімузин","related","word","word",NA
"мін","лін","related","word","word",NA
"джунглі","ліс","related","word","word",NA
"земля","літати","related","word","word",NA
"мистецтво","література","related","word","word",NA
"тунець","лобстер","related","word","word",NA
"ненависть","любов","related","word","word",NA
"населення","люди","related","word","word",NA
"людина","людський","related","word","word",NA
"гнів","лють","related","word","word",NA
"налякати","лякати","related","word","word",NA
"нервовий","м'яз","related","word","word",NA
"свинина","м'ясо","related","word","word",NA
"може бути","мабуть","related","word","word",NA
"магазин","магазин","related","word","word",NA
"кетчуп","майонез","related","word","word",NA
"мінімальний","максимальний","related","word","word",NA
"мало","малий","related","word","word",NA
"фарбувати","малювати","related","word","word",NA
"тато","мама","related","word","word",NA
"контроль","маніпулювати","related","word","word",NA
"реклама","маркетинг","related","word","word",NA
"йога","масаж","related","word","word",NA
"вугілля","масло","related","word","word",NA
"мед","масло","related","word","word",NA
"фізика","математика","related","word","word",NA
"піратський","матрос","related","word","word",NA
"турнір","матч","related","word","word",NA
"робот","машина","related","word","word",NA
"транспортний засіб","машина","related","word","word",NA
"трофей","медаль","related","word","word",NA
"артефакт","медальйон","related","word","word",NA
"шериф","мера","related","word","word",NA
"живий","мертвий","related","word","word",NA
"залізо","металевий","related","word","word",NA
"кілометр","метр","related","word","word",NA
"технічний","механічний","related","word","word",NA
"солодкий","милий","related","word","word",NA
"прощення","милосердя","related","word","word",NA
"майбутнє","минуле","related","word","word",NA
"чистий","мити","related","word","word",NA
"телескоп","мікроскоп","related","word","word",NA
"камеру","мікрофон","related","word","word",NA
"мільйон","мільярд","related","word","word",NA
"посольство","міністерство","related","word","word",NA
"посла","міністр","related","word","word",NA
"плюс","мінус","related","word","word",NA
"завдання","місія","related","word","word",NA
"капітал","місто","related","word","word",NA
"регіональний","місцевий","related","word","word",NA
"коробка","мішок","related","word","word",NA
"мовчазний","мовчання","related","word","word",NA
"шанс","можливість","related","word","word",NA
"сухий","мокрий","related","word","word",NA
"старий","молодий","related","word","word",NA
"старший","молодший","related","word","word",NA
"палиця","молоток","related","word","word",NA
"сиріт","монастир","related","word","word",NA
"храм","монастир","related","word","word",NA
"екран","монітор","related","word","word",NA
"оргазм","монтаж","related","word","word",NA
"аспірин","морфін","related","word","word",NA
"готель","мотель","related","word","word",NA
"страшний","моторошний","related","word","word",NA
"ланцюг","мотузка","related","word","word",NA
"кошмар","мрія","related","word","word",NA
"бібліотека","музей","related","word","word",NA
"джаз","музика","related","word","word",NA
"співак","музикант","related","word","word",NA
"бджола","мурашка","related","word","word",NA
"еволюція","мутація","related","word","word",NA
"круглий","навколо","related","word","word",NA
"випадково","навмисно","related","word","word",NA
"навпаки","навпаки","related","word","word",NA
"навчатися","навчати","related","word","word",NA
"бонус","нагорода","related","word","word",NA
"дозволяти","надавати","related","word","word",NA
"терміновий","надзвичайний","related","word","word",NA
"приносити","надсилати","related","word","word",NA
"вічний","назавжди","related","word","word",NA
"кільце","намисто","related","word","word",NA
"призначення","намір","related","word","word",NA
"читання","написання","related","word","word",NA
"наречений","наречена","related","word","word",NA
"країна","народ","related","word","word",NA
"ювілей","народження","related","word","word",NA
"насправді","насправді","related","word","word",NA
"надихати","натхнення","related","word","word",NA
"технологія","наука","related","word","word",NA
"ризик","небезпека","related","word","word",NA
"ризикований","небезпечний","related","word","word",NA
"небо","небесний","related","word","word",NA
"анонімний","невідомий","related","word","word",NA
"позитивний","негативний","related","word","word",NA
"субота","неділя","related","word","word",NA
"нездатність","нездатний","related","word","word",NA
"незручний","неприємний","related","word","word",NA
"стурбований","нервовий","related","word","word",NA
"раптом","несподівано","related","word","word",NA
"несправедливість","несправедливість","related","word","word",NA
"бідність","нещастя","related","word","word",NA
"нещасний","нещастя","related","word","word",NA
"просто","нещодавно","related","word","word",NA
"м'який","ніжний","related","word","word",NA
"марний","нікчемний","related","word","word",NA
"канал","новини","related","word","word",NA
"меч","нож","related","word","word",NA
"здоровий","нормальний","related","word","word",NA
"рот","нос","related","word","word",NA
"діарея","нудота","related","word","word",NA
"скарга","обвинувачення","related","word","word",NA
"розмова","обговорення","related","word","word",NA
"закуска","обід","related","word","word",NA
"поцілунок","обіймати","related","word","word",NA
"гарантія","обіцянка","related","word","word",NA
"обладнання","обладнувати","related","word","word",NA
"відповідальність","обов'язок","related","word","word",NA
"образливість","ображати","related","word","word",NA
"служба","обслуговування","related","word","word",NA
"брудний","огидний","related","word","word",NA
"одиночний","одружений","related","word","word",NA
"річка","озеро","related","word","word",NA
"море","океан","related","word","word",NA
"свіжий","оновити","related","word","word",NA
"профіль","опис","related","word","word",NA
"опівночі","опівдні","related","word","word",NA
"опір","опір","related","word","word",NA
"ворог","опонент","related","word","word",NA
"планета","орбіта","related","word","word",NA
"організувати","організувати","related","word","word",NA
"орендар","орендодавець","related","word","word",NA
"наймання","орендувати","related","word","word",NA
"здоров'я","освіта","related","word","word",NA
"весна","осінь","related","word","word",NA
"характер","особистість","related","word","word",NA
"спочатку","остання","related","word","word",NA
"остаточний","остаточний","related","word","word",NA
"тріщина","отворити","related","word","word",NA
"стіл","офіс","related","word","word",NA
"офіціант","офіціантка","related","word","word",NA
"офіційно","офіційний","related","word","word",NA
"спостереження","оцінка","related","word","word",NA
"захоплюватися","оцінювати","related","word","word",NA
"чітко","очевидно","related","word","word",NA
"чекати","очікувати","related","word","word",NA
"тверезий","п'яний","related","word","word",NA
"інтернет","павутина","related","word","word",NA
"конверт","пакет","related","word","word",NA
"газ","паливо","related","word","word",NA
"кабіна","палуба","related","word","word",NA
"дядько","папа","related","word","word",NA
"розділ","параграф","related","word","word",NA
"вибір","параметр","related","word","word",NA
"надприродливий","паранормальний","related","word","word",NA
"стіна","паркан","related","word","word",NA
"кодекс","пароль","related","word","word",NA
"прийом","партія","related","word","word",NA
"помада","парфуми","related","word","word",NA
"квиток","паспорт","related","word","word",NA
"охоронець","патруль","related","word","word",NA
"миша","пацюк","related","word","word",NA
"рай","пекло","related","word","word",NA
"піхва","пеніс","related","word","word",NA
"вторинний","первинний","related","word","word",NA
"недооцінювати","перебільшувати","related","word","word",NA
"датчик","передавач","related","word","word",NA
"рухатися","передача","related","word","word",NA
"невдаха","переможець","related","word","word",NA
"розбити","перерва","related","word","word",NA
"слідувати","переслідувати","related","word","word",NA
"радіус","периметр","related","word","word",NA
"фаза","період","related","word","word",NA
"погляд","перспективний","related","word","word",NA
"нирка","печінка","related","word","word",NA
"пити","пиво","related","word","word",NA
"зола","пил","related","word","word",NA
"іржавий","пильний","related","word","word",NA
"прочитати","писати","related","word","word",NA
"поет","письменник","related","word","word",NA
"південний","північний","related","word","word",NA
"готовий","підготувати","related","word","word",NA
"контакт","підключення","related","word","word",NA
"підліток","підліток","related","word","word",NA
"сумніватися","підозрювати","related","word","word",NA
"печатка","підпис","related","word","word",NA
"мільйонер","підприємець","related","word","word",NA
"підрозділ","підрозділ","related","word","word",NA
"відмовляти","підтверджувати","related","word","word",NA
"підтвердження","підтверджувати","related","word","word",NA
"заповідник","підтримувати","related","word","word",NA
"космонавт","пілот","related","word","word",NA
"альбом","пісня","related","word","word",NA
"бруд","пісок","related","word","word",NA
"гвинтівка","пістолет","related","word","word",NA
"духовка","піч","related","word","word",NA
"занурений","плавати","related","word","word",NA
"підготовка","планування","related","word","word",NA
"цемент","пластик","related","word","word",NA
"онук","племінник","related","word","word",NA
"склянка","пляшка","related","word","word",NA
"замикання","повертатися","related","word","word",NA
"шар","поверхня","related","word","word",NA
"увага","повідомлення","related","word","word",NA
"доповідь","повідомляти","related","word","word",NA
"порожній","повний","related","word","word",NA
"загальний","повний","related","word","word",NA
"абсолютно","повністю","related","word","word",NA
"поворот","поворот","related","word","word",NA
"добрий","поганий","related","word","word",NA
"крадіжка","пограбування","related","word","word",NA
"явище","подія","related","word","word",NA
"гостинність","подяка","related","word","word",NA
"текст","поема","related","word","word",NA
"благодійність","пожертвування","related","word","word",NA
"пенальті","позбавлення волі","related","word","word",NA
"статус","позиція","related","word","word",NA
"гральний","покер","related","word","word",NA
"вставляти","покладати","related","word","word",NA
"няня","покоївка","related","word","word",NA
"продавець","покупець","related","word","word",NA
"арена","поле бою","related","word","word",NA
"зміна","поліпшення","related","word","word",NA
"посадка","політ","related","word","word",NA
"політика","політик","related","word","word",NA
"журналістика","політика","related","word","word",NA
"критичний","політичний","related","word","word",NA
"загальний","полковник","related","word","word",NA
"пожежа","полум'я","related","word","word",NA
"банан","полуниця","related","word","word",NA
"зелений","помаранчевий","related","word","word",NA
"страждати","померти","related","word","word",NA
"помилка","помилка","related","word","word",NA
"підробка","помилковий","related","word","word",NA
"картопля","помідор","related","word","word",NA
"секретар","помічник","related","word","word",NA
"перемога","поразка","related","word","word",NA
"командування","порядок","related","word","word",NA
"завжди","постійно","related","word","word",NA
"жалюгідний","потворний","related","word","word",NA
"необхідний","потреба","related","word","word",NA
"подвійний","потрійний","related","word","word",NA
"копати","поховати","related","word","word",NA
"труна","похоронний","related","word","word",NA
"слухати","почути","related","word","word",NA
"пояснення","правдоподібний","related","word","word",NA
"неправильний","правильний","related","word","word",NA
"буквально","практично","related","word","word",NA
"об'єкт","предмет","related","word","word",NA
"канцлер","президент","related","word","word",NA
"кнопок","прес","related","word","word",NA
"корона","престол","related","word","word",NA
"привітати","привітати","related","word","word",NA
"зручний","приємний","related","word","word",NA
"нова","приз","related","word","word",NA
"відмовляти","приймати","related","word","word",NA
"попряма","приклад","related","word","word",NA
"чіп","прилад","related","word","word",NA
"пастка","приманка","related","word","word",NA
"висновок","припущення","related","word","word",NA
"ентузіазм","пристрасть","related","word","word",NA
"притулок","притулок","related","word","word",NA
"прибути","приходити","related","word","word",NA
"причина","причина","related","word","word",NA
