"word_combo","ru_cue","ru_target","type","cue_type","target_type","ru_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"агосттарга","агост","тарга","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"адвокатворник","адвокат","ворник","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"адвокатмассаж","адвокат","массаж","unrelated","word","word",0.131452262276658,-0.60307469585823,0.642770305895484,0.0843998760152887,58,63,66,11,0.954545454545455,63,66,11,0.954545454545455,TRUE,TRUE,TRUE
"адвокатпрокурор","адвокат","прокурор","related","word","word",0.544722324942393,-0.244509839475412,0.991253563366084,0.110825517531273,80,87,89,8,0.97752808988764,86,89,8,0.966292134831461,FALSE,TRUE,TRUE
"админибратияладрка","админибратия","ладрка","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"админибратиясудьба","админибратия","судьба","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"администрациягитара","администрация","гитара","unrelated","word","word",0.143578975055349,-0.481757616613454,0.546554990337213,0.0699791956745309,61,67,72,4,0.930555555555556,67,72,4,0.930555555555556,TRUE,TRUE,TRUE
"администрациянапирование","администрация","напирование","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"администрацияправительство","администрация","правительство","related","word","word",0.448834059525232,-0.581135213505534,0.372375204227475,0.0497607297696138,56,63,66,13,0.954545454545455,63,66,13,0.954545454545455,TRUE,TRUE,TRUE
"азартная играваснуль","азартная игра","васнуль","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"азартная иградекабрь","азартная игра","декабрь","unrelated","word","word",NA,-0.440959177219535,0.732283424525816,0.0881565647621088,69,78,83,8,0.939759036144578,75,84,7,0.892857142857143,TRUE,TRUE,TRUE
"азартная играпокер","азартная игра","покер","related","word","word",NA,-0.428979545871508,0.439168672422687,0.0581693116833148,57,61,63,10,0.968253968253968,60,63,10,0.952380952380952,TRUE,TRUE,TRUE
"айтвокатгалактика","айтвокат","галактика","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"айтвокатмостель","айтвокат","мостель","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"акнальныйглень","акнальный","глень","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"акнальныйнесчастье","акнальный","несчастье","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"акноинтуиция","акно","интуиция","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"акноэсдь","акно","эсдь","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"активныйактивность","активный","активность","related","word","word",0.436947177288907,-0.350767955797035,0.8593451483323,0.112837546022823,58,66,70,5,0.942857142857143,65,69,6,0.942028985507246,FALSE,TRUE,TRUE
"активныйподписываться","активный","подписываться","unrelated","word","word",0.00915526836876617,0.188096703726306,0.850754211251368,0.112685148071179,57,66,70,5,0.942857142857143,67,70,5,0.957142857142857,FALSE,TRUE,TRUE
"активныйпсихоческий","активный","психоческий","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"акудямикрофон","акудя","микрофон","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"акудяукать","акудя","укать","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"акулапароль","акула","пароль","unrelated","word","word",0.134008887880816,-0.518611143269777,1.13641987674161,0.149219240245826,58,70,71,5,0.985915492957746,68,70,6,0.971428571428571,FALSE,TRUE,TRUE
"акуларыба","акула","рыба","related","word","word",0.559143121553517,-0.834408624767968,0.449539250214633,0.0600722091503715,56,63,63,13,1,62,63,13,0.984126984126984,TRUE,TRUE,TRUE
"акулаэфчень","акула","эфчень","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"алкогользвонце","алкоголь","звонце","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"алкогольнаркотик","алкоголь","наркотик","related","word","word",0.576174642184425,-0.634402209925228,0.474714133171954,0.0602887552016236,62,69,72,10,0.958333333333333,66,69,13,0.956521739130435,TRUE,TRUE,TRUE
"алкогольсчастливый","алкоголь","счастливый","unrelated","word","word",0.0858054840233444,-0.457981114327755,0.65854289626647,0.0843177777399316,61,69,74,15,0.932432432432432,69,73,16,0.945205479452055,TRUE,TRUE,TRUE
"алконенткомца","алконент","комца","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"алконентснаряд","алконент","снаряд","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"альбомвичный","альбом","вичный","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"альбомметр","альбом","метр","unrelated","word","word",0.0898334340579217,-0.394887522796406,0.686652926257313,0.0917578569171649,56,70,77,9,0.909090909090909,71,76,10,0.93421052631579,FALSE,TRUE,TRUE
"альбомпесня","альбом","песня","related","word","word",0.425614865387203,-0.657504687332721,0.681170124440006,0.0865086923126163,62,69,73,6,0.945205479452055,65,72,7,0.902777777777778,TRUE,TRUE,TRUE
"аналитикисследователь","аналитик","исследователь","related","word","word",0.490290129143553,0.193810680323647,1.25880792963321,0.16821528530149,56,61,64,9,0.953125,63,66,7,0.954545454545455,FALSE,TRUE,TRUE
"аналитиксантиметр","аналитик","сантиметр","unrelated","word","word",0.105787299097618,-0.220267917985556,0.800261072266564,0.105079426755819,58,73,80,5,0.9125,70,80,5,0.875,FALSE,TRUE,TRUE
"аналитикстество","аналитик","стество","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"анарабскийбезответнесносный","анарабский","безответнесносный","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"анарабскийкомиссар","анарабский","комиссар","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"анарриявыдающийся","анаррия","выдающийся","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"анарриядестим","анаррия","дестим","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"анархиякапитализм","анархия","капитализм","related","word","word",0.400734746177792,-0.141388915115415,0.716516767663054,0.0949049643149371,57,63,65,6,0.969230769230769,60,66,5,0.909090909090909,FALSE,TRUE,TRUE
"анархияпохороны","анархия","похороны","unrelated","word","word",0.117937535860765,-0.527652717279576,0.476171041007492,0.064206890071246,55,64,68,10,0.941176470588235,59,69,9,0.855072463768116,TRUE,TRUE,TRUE
"анархиясладная","анархия","сладная","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"анатказательвтывающий","анатка","зательвтывающий","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"анаткаоценка","анатка","оценка","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"анатомиявахо","анатомия","вахо","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"анатомиядоход","анатомия","доход","unrelated","word","word",0.0888541517832076,-0.788379428000646,0.325169313027562,0.0442499387182703,54,61,63,8,0.968253968253968,60,64,7,0.9375,TRUE,TRUE,TRUE
"анатомияпсихология","анатомия","психология","related","word","word",0.526836710748483,-0.462157166561748,0.483163831455925,0.0623761824239522,60,70,74,7,0.945945945945946,69,73,8,0.945205479452055,TRUE,TRUE,TRUE
"анвыквысчискать","анвык","высчискать","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"анвыкудалять","анвык","удалять","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ангелбейсбол","ангел","бейсбол","unrelated","word","word",0.10132846221283,0.120288111988886,0.90907479563954,0.118351457644427,59,66,71,7,0.929577464788732,68,72,6,0.944444444444444,FALSE,TRUE,TRUE
"ангелголосьбратие","ангел","голосьбратие","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ангелдьявол","ангел","дьявол","related","word","word",0.507794391378561,-0.63148675415562,0.425692937708898,0.0554204999725491,59,64,66,9,0.96969696969697,59,65,10,0.907692307692308,TRUE,TRUE,TRUE
"английскийминута","английский","минута","unrelated","word","word",0.0673097528344046,-0.476628292283225,0.78305996768942,0.104640789728289,56,68,68,12,1,68,68,12,1,FALSE,TRUE,TRUE
"английскийпредпринимандра","английский","предпринимандра","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"английскийфранцузский","английский","французский","related","word","word",0.729652293855836,-0.619882793061786,0.854295337918872,0.111219779699653,59,67,73,5,0.917808219178082,66,73,5,0.904109589041096,FALSE,TRUE,TRUE
"анонимныйлитература","анонимный","литература","unrelated","word","word",0.118067907830604,-0.42986239201073,0.629343347974415,0.0856427819751196,54,61,67,4,0.91044776119403,59,67,4,0.880597014925373,TRUE,TRUE,TRUE
"анонимныйнеизвестный","анонимный","неизвестный","related","word","word",0.423635069068631,-0.167954901313945,0.772404110334599,0.0929865277495854,69,75,78,14,0.961538461538462,72,77,15,0.935064935064935,FALSE,TRUE,TRUE
"анонимныйсопрооскорбляться","анонимный","сопрооскорбляться","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ареназафилд","арена","зафилд","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аренаполе битвы","арена","поле битвы","related","word","word",NA,0.471799796587524,1.0606840939004,0.141739874106288,56,64,68,11,0.941176470588235,62,67,12,0.925373134328358,FALSE,TRUE,TRUE
"аренаучить","арена","учить","unrelated","word","word",0.0522859918225045,-0.512003776228039,0.674313024517887,0.0856378397516542,62,71,80,15,0.8875,68,80,15,0.85,TRUE,TRUE,TRUE
"арселонволнение","арселон","волнение","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"арселонобвзглядение","арселон","обвзглядение","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"арсеналзарплата","арсенал","зарплата","unrelated","word","word",0.112261774715815,-0.416592761712551,0.531007775980692,0.065863408558571,65,74,76,7,0.973684210526316,69,76,7,0.907894736842105,TRUE,TRUE,TRUE
"арсеналоружейный склад","арсенал","оружейный склад","related","word","word",NA,0.628139198282713,1.1474743013684,0.144568173202779,63,72,80,7,0.9,69,80,7,0.8625,FALSE,TRUE,TRUE
"арсеналсунешь","арсенал","сунешь","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"артегиллмасбур","артегилл","масбур","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"артегиллобувь","артегилл","обувь","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"артефактблагодальоне","артефакт","благодальоне","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"артефактмедальон","артефакт","медальон","related","word","word",0.446035027347584,-0.169018986682498,0.790237091623936,0.105599873256338,56,60,65,5,0.923076923076923,49,64,6,0.765625,FALSE,TRUE,TRUE
"артефактпрохладный","артефакт","прохладный","unrelated","word","word",0.13066976443123,-0.27504680586198,0.740018189452624,0.0955359374546859,60,71,74,5,0.959459459459459,58,74,5,0.783783783783784,FALSE,TRUE,TRUE
"аспиринморфий","аспирин","морфий","related","word","word",0.564410491574564,-0.000412124611309092,0.606576878559124,0.0810572449395367,56,65,75,12,0.866666666666667,66,76,11,0.868421052631579,TRUE,TRUE,TRUE
"аспиринразумный","аспирин","разумный","unrelated","word","word",0.124886470693099,-0.28336875351881,0.984026571364669,0.12810934770216,59,68,70,6,0.971428571428571,60,70,6,0.857142857142857,FALSE,TRUE,TRUE
"аспириншанка","аспирин","шанка","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аспитальгероин","аспиталь","героин","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аспитальпреструпоение","аспиталь","преструпоение","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"астныйминистр","астный","министр","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"астныйодершение","астный","одершение","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"астровсемдвигаства","астровсем","двигаства","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"астровсемчасто","астровсем","часто","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"астронавтговаристингс","астронавт","говаристингс","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"астронавтлетчик","астронавт","летчик","related","word","word",0.432716563385721,-0.491985676244325,1.13437273722388,0.150251339542548,57,64,67,15,0.955223880597015,56,69,13,0.811594202898551,FALSE,TRUE,TRUE
"астронавтприходить","астронавт","приходить","unrelated","word","word",0.0986285872163681,-0.12979619939394,0.703415983542545,0.0859359398607367,67,73,76,4,0.960526315789474,62,76,4,0.81578947368421,TRUE,TRUE,TRUE
"атинглупость","атин","глупость","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"атинпоткись","атин","поткись","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"атомныйдолина","атомный","долина","unrelated","word","word",0.140022049958256,-0.455748047273366,0.912635943394798,0.121956107822805,56,68,74,8,0.918918918918919,66,76,6,0.868421052631579,FALSE,TRUE,TRUE
"атомныйзабым","атомный","забым","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"атомныйядерный","атомный","ядерный","related","word","word",0.602269962894524,-0.483464970505114,0.803742348528988,0.108376596166825,55,65,70,9,0.928571428571429,63,70,9,0.9,FALSE,TRUE,TRUE
"атэнныйглупый","атэнный","глупый","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"атэнныйследоморитель","атэнный","следоморитель","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аукционпродажа","аукцион","продажа","related","word","word",0.433241960921356,-0.568308264928537,0.534734354856607,0.0653281990110591,67,70,72,9,0.972222222222222,67,73,8,0.917808219178082,TRUE,TRUE,TRUE
"аукционсердиджея","аукцион","сердиджея","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аукционтеория","аукцион","теория","unrelated","word","word",0.103260557223098,-0.454163350142838,0.670433638493443,0.0858402312747595,61,70,71,9,0.985915492957746,66,71,9,0.929577464788732,TRUE,TRUE,TRUE
"африкаамерика","африка","америка","related","word","word",0.514063304920276,-0.554870727373989,0.711178857010943,0.0838132320714893,72,77,78,6,0.987179487179487,71,78,6,0.91025641025641,TRUE,TRUE,TRUE
"африкавидение","африка","видение","unrelated","word","word",0.144967999816504,-0.0950315280048414,1.36678353309507,0.187742156901721,53,61,64,10,0.953125,63,64,10,0.984375,FALSE,TRUE,TRUE
"африкавитастин","африка","витастин","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аффкарта","афф","карта","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аффучёрия","афф","учёрия","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"бабочкагалмейк","бабочка","галмейк","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"бабочкаполитический","бабочка","политический","unrelated","word","word",0.131838006755514,-0.123870899739516,0.661208638267068,0.0899790987374898,54,62,64,4,0.96875,62,64,4,0.96875,TRUE,TRUE,TRUE
"бабочкаптица","бабочка","птица","related","word","word",0.526630990325471,-0.749043243415658,0.41231522907008,0.0536788706534426,59,73,78,10,0.935897435897436,70,78,10,0.897435897435897,TRUE,TRUE,TRUE
"бавитькаассасин","бавитька","ассасин","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"бавитькапошелец","бавитька","пошелец","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"баетсмошенничекво","баетс","мошенничекво","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"баетснастоящий","баетс","настоящий","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"базамечхок","база","мечхок","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"базастводобропраздно","базаство","добропраздно","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"базаствомассаж","базаство","массаж","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"базаштаб","база","штаб","related","word","word",0.33994002399205,-0.647235576372879,0.396626033781868,0.0550021346917092,52,61,66,9,0.924242424242424,56,64,11,0.875,TRUE,TRUE,TRUE
"базаэлектрический","база","электрический","unrelated","word","word",0.0440736101466778,-0.0328117305908703,0.79845906977878,0.108656516747518,54,60,66,8,0.909090909090909,60,66,8,0.909090909090909,FALSE,TRUE,TRUE
"бакдвигатель","бак","двигатель","related","word","word",0.187186162779166,-0.327422538194016,0.599177014410393,0.0786757964137673,58,70,76,11,0.921052631578947,62,77,10,0.805194805194805,TRUE,TRUE,TRUE
"бакзаточение","бак","заточение","unrelated","word","word",0.0655780481726729,0.435387943982186,0.982656864996116,0.133722661749081,54,60,72,18,0.833333333333333,68,73,17,0.931506849315068,FALSE,TRUE,TRUE
"баксбро","бак","сбро","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"балбалл","бал","балл","related","word","word",0.475916375460923,0.0966798354182743,0.967482169799776,0.122870358434991,62,68,78,13,0.871794871794872,73,80,11,0.9125,FALSE,TRUE,TRUE
"балбанкрый","бал","банкрый","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"балвиновный","бал","виновный","unrelated","word","word",0.1046874983507,-0.145078549121354,1.0792367970498,0.141710734031562,58,64,69,8,0.927536231884058,66,69,8,0.956521739130435,FALSE,TRUE,TRUE
"бананклубника","банан","клубника","related","word","word",0.40139425586043,-0.618742776182658,0.512594433533275,0.067894791326625,57,63,65,11,0.969230769230769,63,66,10,0.954545454545455,TRUE,TRUE,TRUE
"банансварус","банан","сварус","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"банантемпература","банан","температура","unrelated","word","word",0.14570119789289,-0.252610652932577,0.716693102068334,0.0895866377585417,64,69,73,8,0.945205479452055,69,73,8,0.945205479452055,TRUE,TRUE,TRUE
"бангульскийватсон","бангульский","ватсон","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"бангульскийутренление","бангульский","утренление","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"бандагрена","банда","грена","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"бандагруппировка","банда","группировка","related","word","word",0.565051562968499,-0.255284348756633,0.539381483286848,0.0631298275802432,73,80,82,18,0.975609756097561,77,82,18,0.939024390243902,TRUE,TRUE,TRUE
"бандаходить","банда","ходить","unrelated","word","word",0.0896666328627496,-0.65175473592137,0.591257015538848,0.0665216114520388,79,87,91,10,0.956043956043956,83,91,10,0.912087912087912,TRUE,TRUE,TRUE
"банжойамр","банжой","амр","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"банжойартиллерия","банжой","артиллерия","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"банкиринвестор","банкир","инвестор","related","word","word",0.502495947514662,-0.397749725680465,0.469702226862281,0.0622135797664597,57,65,69,7,0.942028985507246,61,69,7,0.884057971014493,TRUE,TRUE,TRUE
"банкирсверь","банкир","сверь","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"банкирчестность","банкир","честность","unrelated","word","word",0.0535116660505199,-0.268142207536447,0.755876135292106,0.104821160142125,52,59,64,13,0.921875,59,64,13,0.921875,FALSE,TRUE,TRUE
"банковскиймедальон","банковский","медальон","unrelated","word","word",0.105744346378095,-0.304902389416496,0.571931027957877,0.0732282643565405,61,70,75,4,0.933333333333333,69,74,5,0.932432432432432,TRUE,TRUE,TRUE
