"word_combo","pt_cue","pt_target","type","cue_type","target_type","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"acampamentocaçõesdo","acampamento","caçõesdo","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acampamentocerveja","acampamento","cerveja","unrelated","word","word",-0.543169122097582,0.619881510955078,0.0642787183316924,93,95,97,1,0.979381443298969,95,97,1,0.979381443298969,TRUE,TRUE,TRUE
"acampamentoinvestituíam","acampamento","investituíam","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acampamentovila","acampamento","vila","related","word","word",-0.081786457799965,0.80859257236737,0.107100702578304,57,60,61,0,0.983606557377049,60,61,0,0.983606557377049,FALSE,TRUE,TRUE
"aceiceconfessar","aceice","confessar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aceiceflor","aceice","flor","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aceiceperigoblins","aceice","perigoblins","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aceicezó","aceice","zó","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acezerconfusão","acezer","confusão","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acezerdesequei","acezer","desequei","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acezerimundo","acezer","imundo","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acezerladicional","acezer","ladicional","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"achavadoalarme","achavado","alarme","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"achavadoceatractial","achavado","ceatractial","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"achavadodioro","achavado","dioro","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"achavadoempoeirado","achavado","empoeirado","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acheronarbeleques","acheronar","beleques","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acheronarpatético","acheronar","patético","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acicoaprentituto","acico","aprentituto","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acicocarnor","acico","carnor","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acicoprémio","acico","prémio","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acicosugerir","acico","sugerir","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acidentalmentechona","acidentalmente","chona","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acidentalmenteintencionalmente","acidentalmente","intencionalmente","related","word","word",0.200866095860022,0.809303664425177,0.104480653811445,60,63,64,2,0.984375,56,63,3,0.888888888888889,FALSE,TRUE,TRUE
"acidentalmentemapato","acidentalmente","mapato","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acidentalmenteretorna","acidentalmente","retorna","unrelated","word","word",-0.0611198357319861,0.832218611778728,0.117693484763679,50,53,53,0,1,48,53,0,0.905660377358491,FALSE,TRUE,TRUE
"acidentalmenteretorno","acidentalmente","retorno","unrelated","word","word",-0.447768352404515,0.49103375287112,0.0716246341877251,47,50,52,0,0.961538461538462,52,52,0,1,TRUE,TRUE,FALSE
"acionarativar","acionar","ativar","related","word","word",-0.468784220265868,0.493094968345555,0.0616368710431943,64,68,68,1,1,50,68,1,0.735294117647059,TRUE,TRUE,TRUE
"acionargolpe","acionar","golpe","unrelated","word","word",-0.16503860712767,1.37715525740863,0.198775239645196,48,50,50,1,1,34,50,1,0.68,FALSE,TRUE,FALSE
"acionarlutador","acionar","lutador","unrelated","word","word",-0.564379878960293,0.323882054428141,0.0493915502566784,43,47,50,0,0.94,47,50,0,0.94,TRUE,TRUE,FALSE
"acionarmarputação","acionar","marputação","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acionarvagensro","acionar","vagensro","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acorminarconcripto","acorminar","concripto","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acorminardesafiração","acorminar","desafiração","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acorminarestratégia","acorminar","estratégia","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acorminarpequeno-almoço","acorminar","pequeno-almoço","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acoscesadivisão","acoscesa","divisão","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acoscesamanutenção","acoscesa","manutenção","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acoscesamatramento","acoscesa","matramento","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acoscesasuperfitlande","acoscesa","superfitlande","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acoscídioacomparisa","acoscídio","acomparisa","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acoscídiofesac","acoscídio","fesac","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acoscídioperigo","acoscídio","perigo","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acoscídiorico","acoscídio","rico","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acrescientebanus","acresciente","banus","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acrescienteinferior","acresciente","inferior","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acrescientemetal","acresciente","metal","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acrescientemupõem","acresciente","mupõem","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acrestidadeamérica","acrestidade","américa","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acrestidadebaquátituição","acrestidade","baquátituição","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acrestidadecayria","acrestidade","cayria","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acrestidadesemana","acrestidade","semana","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açúcarcavações","açúcar","cavações","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açúcarchocolate","açúcar","chocolate","related","word","word",-0.552805016438132,0.54666984342433,0.0797399920632452,47,56,57,0,0.982456140350877,54,57,0,0.947368421052632,TRUE,TRUE,FALSE
"açúcarnhava","açúcar","nhava","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"açúcarsempre","açúcar","sempre","unrelated","word","word",-0.632581676783331,0.418408178380666,0.0503704254924192,69,77,78,1,0.987179487179487,76,78,1,0.974358974358974,TRUE,TRUE,TRUE
"adapcentecomunidade","adapcente","comunidade","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adapcentedonse","adapcente","donse","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adapcenteourad","adapcente","ourad","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adapcentepromessa","adapcente","promessa","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"admilheiamedrontar","admilhei","amedrontar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"admilheiceredial","admilhei","ceredial","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"admilheinação","admilhei","nação","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"admilheipreslos","admilhei","preslos","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"admillsgadogaib","admillsgado","gaib","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"admillsgadoreino","admillsgado","reino","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"admilsgadofraco","admilsgado","fraco","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"admilsgadoliteralingara","admilsgado","literalingara","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adminaisadmicistão","adminais","admicistão","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adminaiscontar","adminais","contar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adminaismetriusnico","adminais","metriusnico","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adminaisperfume","adminais","perfume","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"administraçãoconstida","administração","constida","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"administraçãogoverno","administração","governo","related","word","word",-0.485047534936656,0.636052958644561,0.0801351404400171,63,72,73,0,0.986301369863014,67,72,1,0.930555555555556,TRUE,TRUE,TRUE
"administraçãoimperanhões","administração","imperanhões","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"administraçãomorango","administração","morango","unrelated","word","word",-0.375202200056942,0.736270689438485,0.104124399458169,50,51,51,0,1,47,51,0,0.92156862745098,FALSE,TRUE,TRUE
"administraçãopatético","administração","patético","unrelated","word","word",-0.218128459988176,0.602180338725086,0.0860257626750124,49,55,56,1,0.982142857142857,54,56,1,0.964285714285714,TRUE,TRUE,FALSE
"admirarapreciar","admirar","apreciar","related","word","word",-0.365710265584858,0.729720240113369,0.0764954662759922,91,94,98,2,0.959183673469388,87,98,2,0.887755102040816,TRUE,TRUE,TRUE
"admirarcalharra","admirar","calharra","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"admirarquavrax","admirar","quavrax","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"admirartelefone","admirar","telefone","unrelated","word","word",-0.603037324213438,0.654698277248209,0.078816410620309,69,73,74,1,0.986486486486487,72,74,1,0.972972972972973,TRUE,TRUE,TRUE
"admitirconfessar","admitir","confessar","related","word","word",-0.296845055037395,1.01046655227431,0.11297359499376,80,85,86,0,0.988372093023256,84,86,0,0.976744186046512,FALSE,TRUE,TRUE
"admitirjança","admitir","jança","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"admitirpaxes","admitir","paxes","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"admitirrodovia","admitir","rodovia","unrelated","word","word",-0.235041801996335,1.10650888365517,0.161400908906707,47,51,52,1,0.980769230769231,50,52,1,0.961538461538462,FALSE,TRUE,FALSE
"admitirrua","admitir","rua","unrelated","word","word",-0.696549442918736,0.4624585348817,0.0697182473318219,44,47,51,2,0.92156862745098,51,52,1,0.980769230769231,TRUE,TRUE,FALSE
"adolescênciaadolescente","adolescência","adolescente","related","word","word",-0.196380560462184,0.755343397880987,0.0909326593266063,69,72,73,1,0.986301369863014,70,73,1,0.958904109589041,FALSE,TRUE,TRUE
"adolescênciaanimado","adolescência","animado","unrelated","word","word",-0.10129697175868,1.10830977220539,0.165217066051904,45,51,52,1,0.980769230769231,51,51,2,1,FALSE,TRUE,FALSE
"adolescênciaaquibita","adolescência","aquibita","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adolescênciadriagae","adolescência","driagae","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adolescênciamolhado","adolescência","molhado","unrelated","word","word",-0.367527147532463,0.839176181846828,0.122406426630323,47,49,50,0,0.98,48,50,0,0.96,FALSE,TRUE,FALSE
"adonimoanálise","adonimo","análise","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adonimochantagem","adonimo","chantagem","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adonimoescobris","adonimo","escobris","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adonimoinjeremy","adonimo","injeremy","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adoplulaexpressar","adoplula","expressar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adoplulainvestimesha","adoplula","investimesha","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adoplulaopedir","adoplula","opedir","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adoplulapreço","adoplula","preço","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adultoexatrasar","adulto","exatrasar","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adultoimperador","adulto","imperador","unrelated","word","word",-0.253673341599187,0.967297026674289,0.106174642323131,83,88,89,0,0.98876404494382,87,89,0,0.97752808988764,FALSE,TRUE,TRUE
"adultopai","adulto","pai","related","word","word",-0.711668956703173,0.525872302301653,0.0673310488298324,61,63,64,0,0.984375,62,64,0,0.96875,TRUE,TRUE,TRUE
"adultoparente","adulto","parente","related","word","word",-0.357188926608095,0.734361144179059,0.104908734882723,49,54,55,1,0.981818181818182,52,55,1,0.945454545454545,FALSE,TRUE,FALSE
"adultopaxes","adulto","paxes","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"advogadoaguarcedora","advogado","aguarcedora","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"advogadodança","advogado","dança","unrelated","word","word",-0.608503444037782,0.574377804591099,0.0729460541291602,62,65,67,0,0.970149253731343,64,67,0,0.955223880597015,TRUE,TRUE,TRUE
"advogadomuv","advogado","muv","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"advogadopromotor","advogado","promotor","related","word","word",-0.23023926380907,0.871864164470545,0.105729060038322,68,72,74,1,0.972972972972973,74,74,1,1,FALSE,TRUE,TRUE
"afirdigoarlitisoria","afirdigo","arlitisoria","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afirdigoatirar","afirdigo","atirar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afirdigoishaança","afirdigo","ishaança","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afirdigoreduzir","afirdigo","reduzir","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afirmudaaguenângulo","afirmuda","aguenângulo","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afirmudaatindes","afirmuda","atindes","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afirmudacedo","afirmuda","cedo","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afirmudaesparguete","afirmuda","esparguete","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afogarbruxo","afogar","bruxo","unrelated","word","word",-0.628110147445017,0.664140305131863,0.0958603959868903,48,49,50,0,0.98,48,50,0,0.96,FALSE,TRUE,FALSE
"afogarconcluírio","afogar","concluírio","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afogarescrebuchido","afogar","escrebuchido","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afogarfeiticeiro","afogar","feiticeiro","unrelated","word","word",-0.152447850953024,0.608820637924892,0.0907576221669897,45,50,50,1,1,47,50,1,0.94,FALSE,TRUE,FALSE
"afogarnadar","afogar","nadar","related","word","word",-0.620810001437603,0.669978933153145,0.0824687058065633,66,68,69,0,0.985507246376812,65,69,0,0.942028985507246,TRUE,TRUE,TRUE
"áfricaamérica","áfrica","américa","related","word","word",-0.652116648975171,0.344752937232579,0.038305881914731,81,90,90,0,1,90,90,0,1,TRUE,TRUE,TRUE
"áfricagravilhiam","áfrica","gravilhiam","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"áfricajuste","áfrica","juste","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"áfricaoxigénio","áfrica","oxigénio","unrelated","word","word",-0.312540908409165,0.56092790048798,0.081819743435611,47,51,51,1,1,47,50,2,0.94,TRUE,TRUE,FALSE
"áfricaoxigênio","áfrica","oxigênio","unrelated","word","word",-0.227224265809258,0.899373345647756,0.134070662534653,45,48,50,1,0.96,46,50,1,0.92,FALSE,TRUE,FALSE
"agarrarapanhar","agarrar","apanhar","related","word","word",-0.552027557169078,0.508229952079219,0.0561246092050543,82,84,85,1,0.988235294117647,82,84,2,0.976190476190476,TRUE,TRUE,TRUE
"agarraraponcação","agarrar","aponcação","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agarrarciência","agarrar","ciência","unrelated","word","word",-0.495818238630436,0.707188381306438,0.0710751065724921,99,107,108,0,0.990740740740741,103,108,0,0.953703703703704,TRUE,TRUE,TRUE
"agarrarmiblackfone","agarrar","miblackfone","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
