"word_combo","ja_cue","ja_target","type","cue_type","target_type","ja_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"アマチュアプロフェッショナル","アマチュア","プロフェッショナル","related","word","word",0.915647285483752,-0.00166340693835626,0.872111295269608,0.116540773929804,56,62,63,5,0.984126984126984,58,63,5,0.920634920634921,FALSE,TRUE,TRUE
"アマチュア作ローツ","アマチュア","作ローツ","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"アマチュア加害者","アマチュア","加害者","unrelated","word","word",0.939493954288569,-0.223194284414313,0.48621274982721,0.0632995084049962,59,61,67,3,0.91044776119403,63,67,3,0.940298507462687,TRUE,TRUE,TRUE
"アメツムリ海岸","アメツムリ","海岸","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"アメツムリ無矢つるけ","アメツムリ","無矢つるけ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"アラ医常め","アラ","医常め","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"アラ投獄","アラ","投獄","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ありがたく思ってその近約","ありがたく思って","その近約","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ありがたく思って感謝する","ありがたく思って","感謝する","related","word","word",0,-0.628895809290529,0.576784292958577,0.0704654165841937,67,73,75,6,0.973333333333333,71,75,6,0.946666666666667,TRUE,TRUE,TRUE
"ありがたく思って段落","ありがたく思って","段落","unrelated","word","word",0,-0.283491877665843,0.757928100171547,0.0940094107424808,65,71,75,4,0.946666666666667,72,75,4,0.96,FALSE,TRUE,TRUE
"アりナかん死に","アりナ","かん死に","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"アりナ昨日","アりナ","昨日","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"アルバムると","アルバム","ると","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"アルバム写真家","アルバム","写真家","unrelated","word","word",0.805815542877365,-0.520738731445507,0.51485058855294,0.0648650771269674,63,65,69,1,0.942028985507246,63,68,2,0.926470588235294,TRUE,TRUE,TRUE
"アルバム歌","アルバム","歌","related","word","word",0.755499911378235,-0.523328128729116,0.530501085387371,0.0620904556225303,73,79,81,1,0.975308641975309,79,81,1,0.975308641975309,TRUE,TRUE,TRUE
"アワト欣味","アワト","欣味","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"アワト銅像","アワト","銅像","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"いうクォーター","いう","クォーター","unrelated","word","word",0.477664139129173,0.40469715731735,1.33705397565393,0.172612926022936,60,62,69,8,0.898550724637681,35,70,7,0.5,FALSE,TRUE,TRUE
"いうけび","いう","けび","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"いう教える","いう","教える","related","word","word",0.696183041926191,-0.472126011120432,0.472812862447967,0.0535355145598,78,84,90,5,0.933333333333333,55,88,7,0.625,TRUE,TRUE,TRUE
"いが召常早キャッチ","いが召常早","キャッチ","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"いが召常早ジェター","いが召常早","ジェター","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"イゾスタイヴ","イゾ","スタイヴ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"イゾ投票","イゾ","投票","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"イダとへ心配","イダとへ","心配","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"イダとへ必酙","イダとへ","必酙","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"いだふイェク","いだふ","イェク","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"いだふエピソード","いだふ","エピソード","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"いついいプロトコル","いついい","プロトコル","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"いついい矩葎ノぼみ","いついい","矩葎ノぼみ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"いつティブキング","いつティブ","キング","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"いつティブ久目る見に","いつティブ","久目る見に","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"いつもしょっちゅう","いつも","しょっちゅう","related","word","word",0,0.744870829777985,1.75873533208126,0.232950185485517,57,68,74,5,0.918918918918919,65,73,6,0.89041095890411,FALSE,TRUE,TRUE
"いつもフィ","いつも","フィ","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"いつもリン","いつも","リン","unrelated","word","word",0.867282966264224,0.423419401341606,1.09484194117322,0.137937119107979,63,68,130,5,0.523076923076923,119,130,5,0.915384615384615,FALSE,TRUE,TRUE
"いっ日肉家","いっ","日肉家","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"いっ醜い","いっ","醜い","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"イド告性","イド","告性","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"イド秋","イド","秋","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"いは床能ン","いは","床能ン","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"いは正義","いは","正義","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"イプボイ見指千隍","イプボイ見指","千隍","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"イプボイ見指詐欺","イプボイ見指","詐欺","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"イベ文学","イベ","文学","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"イベ続ん","イベ","続ん","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"イボス愛嬌がある","イボス","愛嬌がある","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"イボス探わほ","イボス","探わほ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"いも虫ヘビ","いも虫","ヘビ","related","word","word",0,-0.441123405969233,0.425687432227795,0.0532109290284743,64,71,76,3,0.93421052631579,64,76,3,0.842105263157895,TRUE,TRUE,TRUE
"いも虫文らせも","いも虫","文らせも","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"いも虫結婚式","いも虫","結婚式","unrelated","word","word",0,-0.354296806758727,0.978801201552845,0.122350150194106,64,66,69,3,0.956521739130435,44,69,3,0.63768115942029,FALSE,TRUE,TRUE
"いよしぱ","いよ","しぱ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"いよ挑む","いよ","挑む","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"イラ鋭像怯えさせる","イラ鋭像","怯えさせる","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"イラ鋭像損開ダも","イラ鋭像","損開ダも","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"インスパイヤインスピレーション","インスパイヤ","インスピレーション","related","word","word",0,-0.220898381811566,0.569992316138401,0.0681271123349391,70,73,77,1,0.948051948051948,60,78,0,0.769230769230769,TRUE,TRUE,TRUE
"インスパイヤ訛佛際衆","インスパイヤ","訛佛際衆","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"インスパイヤ速度","インスパイヤ","速度","unrelated","word","word",0,-0.192011972147634,0.704665211426588,0.0880831514283235,64,75,78,4,0.961538461538462,57,79,3,0.721518987341772,TRUE,TRUE,TRUE
"インスパ丕正バッグ","インスパ丕正","バッグ","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"インスパ丕正正不の","インスパ丕正","正不の","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"インスペクタおメント","インスペクタ","おメント","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"インスペクタコミッショナー","インスペクタ","コミッショナー","related","word","word",0,0.989256444213575,1.5215077247971,0.179311404971958,72,84,96,4,0.875,51,93,7,0.548387096774194,FALSE,TRUE,TRUE
"インスペクタ銃","インスペクタ","銃","unrelated","word","word",0,-0.312161455471126,0.763763669334982,0.0912872188359385,70,76,77,5,0.987012987012987,40,76,6,0.526315789473684,FALSE,TRUE,TRUE
"インスペブンクナ","インスペブン","クナ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"インスペブン卵","インスペブン","卵","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"インタージュト凍る","インタージュト","凍る","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"インタージュト膝妬な","インタージュト","膝妬な","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"インターナショナル世界","インターナショナル","世界","related","word","word",0.857768740965513,-0.761974225157526,0.54446811934271,0.0708837115210046,59,61,65,1,0.938461538461538,60,64,2,0.9375,TRUE,TRUE,TRUE
"インターナショナル孤独な","インターナショナル","孤独な","unrelated","word","word",0,-0.147293561193023,1.0753394514585,0.137683108233498,61,69,74,2,0.932432432432432,71,74,2,0.959459459459459,FALSE,TRUE,TRUE
"インターナショナル瀬万","インターナショナル","瀬万","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"インターネットウェブ","インターネット","ウェブ","related","word","word",0.890663001989828,-0.245250280752693,0.594741954383446,0.0705828842820639,71,78,82,4,0.951219512195122,79,82,4,0.963414634146341,TRUE,TRUE,TRUE
"インターネット容疑者","インターネット","容疑者","unrelated","word","word",0.766948581309904,-0.252949903413253,0.733852452738136,0.091731556592267,64,69,73,7,0.945205479452055,70,73,7,0.958904109589041,FALSE,TRUE,TRUE
"インターネット山未箏","インターネット","山未箏","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"インフルエンザメンテナンス","インフルエンザ","メンテナンス","unrelated","word","word",0.905826413424644,-0.116474859763687,0.772592795197277,0.091050934096644,72,76,79,3,0.962025316455696,74,79,3,0.936708860759494,FALSE,TRUE,TRUE
"インフルエンザ持激","インフルエンザ","持激","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"インフルエンザ病気","インフルエンザ","病気","related","word","word",0.902314933836254,-0.405698186447301,0.952488590734393,0.0962158773587296,98,105,108,2,0.972222222222222,103,107,3,0.962616822429907,FALSE,TRUE,TRUE
"イ気シニカル","イ気","シニカル","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"イ気箏脈ス","イ気","箏脈ス","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"うあハンカチ","うあ","ハンカチ","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"うあ宏き","うあ","宏き","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ウィスキーウォッカ","ウィスキー","ウォッカ","related","word","word",0.948883548767195,-0.480753678793293,0.744131238071543,0.098562590272863,57,69,73,0,0.945205479452055,67,72,1,0.930555555555556,FALSE,TRUE,TRUE
"ウィスキー探し出す","ウィスキー","探し出す","unrelated","word","word",0.868696650682611,0.062868763040783,0.822323116455627,0.0962456409158639,73,81,84,2,0.964285714285714,81,84,2,0.964285714285714,FALSE,TRUE,TRUE
"ウィスキー身結迪ほ","ウィスキー","身結迪ほ","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ヴィニー太陽の","ヴィニー","太陽の","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ヴィニー決是る","ヴィニー","決是る","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ウイルス完璧な","ウイルス","完璧な","unrelated","word","word",0.791656720243733,-0.0655798027792313,0.829942886695875,0.0971374675661535,73,80,85,5,0.941176470588235,82,85,5,0.964705882352941,FALSE,TRUE,TRUE
"ウイルス感染","ウイルス","感染","related","word","word",0.916906287925365,-0.292370613740186,1.04455680445687,0.128576054473204,66,71,74,3,0.959459459459459,71,74,3,0.959459459459459,FALSE,TRUE,TRUE
"ウイルス手頁払に","ウイルス","手頁払に","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"うぃ信仰","うぃ","信仰","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"うぃ弦へ","うぃ","弦へ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ヴィ手頁払に","ヴィ","手頁払に","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ヴィ視点","ヴィ","視点","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ウェイターウェイトレス","ウェイター","ウェイトレス","related","word","word",0.966147241915582,-0.286852467834513,0.990907130525821,0.12105857354504,67,72,76,7,0.947368421052632,71,77,6,0.922077922077922,FALSE,TRUE,TRUE
"ウェイターコニャック","ウェイター","コニャック","unrelated","word","word",0.869277829982471,0.54410074416183,1.11287506070681,0.142489050528033,61,67,79,2,0.848101265822785,69,78,3,0.884615384615385,FALSE,TRUE,TRUE
"ウェイター具実首路","ウェイター","具実首路","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ウォギリくてお","ウォ","ギリくてお","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ウォ生物学","ウォ","生物学","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"うせ情報","うせ","情報","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"うせ握某みら","うせ","握某みら","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"うまいおいしい","うまい","おいしい","related","word","word",0.980646355473371,-0.777497493834846,0.305940199549291,0.0401719162712091,58,68,71,3,0.957746478873239,68,71,3,0.957746478873239,TRUE,TRUE,TRUE
"うまいお尻","うまい","お尻","unrelated","word","word",0.972576978158818,-0.596903684179243,0.385997500379574,0.0520478923334128,55,58,62,4,0.935483870967742,60,62,4,0.967741935483871,TRUE,TRUE,TRUE
"うまい和妊","うまい","和妊","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"エー土書","エー","土書","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"エー船員","エー","船員","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"エイズエイチアイブイ","エイズ","エイチアイブイ","related","word","word",0,3.0944067966415,2.26909215738849,0.317736455681525,51,59,123,13,0.479674796747967,126,134,2,0.940298507462687,FALSE,TRUE,TRUE
"エイズキヴィ","エイズ","キヴィ","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"エイズ葬儀","エイズ","葬儀","unrelated","word","word",0.701704126576666,-0.103483026299526,0.818199189382146,0.0999589403395961,67,71,76,1,0.93421052631579,73,76,1,0.960526315789474,FALSE,TRUE,TRUE
"エケ厼系粗","エケ","厼系粗","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"エケ減らす","エケ","減らす","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"エノサーがは","エノサー","がは","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"エノサータオル","エノサー","タオル","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"エピ叶さ風","エピ","叶さ風","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"エピ破壊","エピ","破壊","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"エラーめねけほ","エラー","めねけほ","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"エラー間違い","エラー","間違い","related","word","word",0.818785214197765,-0.660460115104704,0.343374349447251,0.0404670551632784,72,77,82,3,0.939024390243902,77,82,3,0.939024390243902,TRUE,TRUE,TRUE
"エラー高い","エラー","高い","unrelated","word","word",0.697132279556448,-0.618539640210853,0.543926440571884,0.0611965057281185,79,85,90,3,0.944444444444444,83,90,3,0.922222222222222,TRUE,TRUE,TRUE
"エレプポーカー","エレプ","ポーカー","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"エレプ玉ね","エレプ","玉ね","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"エレ未県ぢら","エレ未県","ぢら","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"エレ未県ミッション","エレ未県","ミッション","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"エワアドレナリン","エワ","アドレナリン","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"エワ痛常","エワ","痛常","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"え整庁為ク","え整","庁為ク","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"え整設計者","え整","設計者","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"オーガズム勃起","オーガズム","勃起","related","word","word",0.908857600876642,0.0117924197396255,0.740508609610021,0.082791379450593,80,85,90,3,0.944444444444444,78,90,3,0.866666666666667,TRUE,TRUE,TRUE
"オーガズム正反給斗","オーガズム","正反給斗","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"オーガズム顕微鏡","オーガズム","顕微鏡","unrelated","word","word",0.83523953108077,0.38737288620137,0.977268589151142,0.124113234935492,62,66,72,7,0.916666666666667,54,72,7,0.75,FALSE,TRUE,TRUE
"オークリート抙領","オークリート","抙領","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"オークリート電気","オークリート","電気","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"オーケストラバンド","オーケストラ","バンド","related","word","word",0.899150026092145,-0.275875713936642,0.627811227344497,0.0729815727556569,74,86,94,2,0.914893617021277,85,94,2,0.904255319148936,TRUE,TRUE,TRUE
"オーケストラ素敵な","オーケストラ","素敵な","unrelated","word","word",0.872643708469147,-0.162464691625359,0.953980236050391,0.078153106091677,149,166,178,3,0.932584269662921,170,177,4,0.96045197740113,TRUE,TRUE,TRUE
"オーケストラ託明ュニケーション","オーケストラ","託明ュニケーション","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"オーケス男生結紺ち","オーケス男生","結紺ち","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"オーケス男生軌道","オーケス男生","軌道","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
