"word_combo","el_cue","el_target","type","cue_type","target_type","el_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"ufoεξωγήινο","ufo","εξωγήινο","related","word","word",0.432122856644264,0.451013186094739,1.31077213655918,0.293097560035896,20,23,25,0,0.92,8,25,0,0.32,FALSE,FALSE,FALSE
"ufoνεροχύτης","ufo","νεροχύτης","unrelated","word","word",-0.000485815461544304,0.100570290697522,0.725303149514461,0.137069411339083,28,29,29,0,1,9,28,1,0.321428571428571,FALSE,FALSE,FALSE
"zeόνηεπαλιστικός","zeόνη","επαλιστικός","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zeόνηξοδεύω","zeόνη","ξοδεύω","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ʼσάανίσετρος","ʼσά","ανίσετρος","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ʼσάπετυχαίνω","ʼσά","πετυχαίνω","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άβηροςμπράτσο","άβηρος","μπράτσο","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άβηροςπουλτική","άβηρος","πουλτική","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άβολοςαγόρι","άβολος","αγόρι","unrelated","word","word",0.0743307916012923,-0.655414613555171,0.585057654321238,0.151061236783822,15,17,17,0,1,17,17,0,1,FALSE,FALSE,FALSE
"άβολοςάνθρριοι","άβολος","άνθρριοι","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άβολοςδυσάρεστος","άβολος","δυσάρεστος","related","word","word",0.522784375785573,-0.0763107277441974,0.910621588372679,0.163552465411776,31,34,35,1,0.971428571428571,34,35,1,0.971428571428571,FALSE,FALSE,FALSE
"αγάγματιπαϊνί","αγάγματι","παϊνί","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγάγματιτυρί","αγάγματι","τυρί","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγαλάανώτατος","αγαλά","ανώτατος","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγαλάμούπλ","αγαλά","μούπλ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άγγελοςδιάβολος","άγγελος","διάβολος","related","word","word",0.541874850878424,-0.561317674699116,0.44171369056079,0.0780846864846177,32,38,38,0,1,38,38,0,1,FALSE,FALSE,FALSE
"άγγελοςμπέιζμπολ","άγγελος","μπέιζμπολ","unrelated","word","word",0.140356731572614,0.106311577951355,0.706252571237277,0.135918370706569,27,30,33,2,0.909090909090909,34,35,0,0.971428571428571,FALSE,FALSE,FALSE
"άγγελοςύαυτοτ","άγγελος","ύαυτοτ","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγγλικάγαλλικά","αγγλικά","γαλλικά","related","word","word",0.769928039087861,-0.604430503232633,0.621594674487737,0.132524429883618,22,26,26,0,1,25,26,0,0.961538461538462,FALSE,FALSE,FALSE
"αγγλικάπέκως","αγγλικά","πέκως","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγγλικάπεριορίζω","αγγλικά","περιορίζω","unrelated","word","word",0.0714067289365802,-0.0344765777161565,0.746367922742748,0.20700521660081,13,14,16,0,0.875,15,16,0,0.9375,FALSE,FALSE,FALSE
"αγγλυτάτερασταίς","αγγλυτά","τερασταίς","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγγλυτάτριπλό","αγγλυτά","τριπλό","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγελάδαγουρούνι","αγελάδα","γουρούνι","related","word","word",0.526262336031553,-0.584338627425625,0.481423001444611,0.0791454539029997,37,39,39,0,1,38,39,0,0.974358974358974,FALSE,FALSE,FALSE
"αγελάδαέμβοευση","αγελάδα","έμβοευση","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγελάδαπολιτικός","αγελάδα","πολιτικός","unrelated","word","word",0.118820463738621,-0.457555492010693,0.449393663277163,0.0782293955046327,33,34,35,1,0.971428571428571,32,35,1,0.914285714285714,FALSE,FALSE,FALSE
"αγελήςαεξωγκόνο","αγελήςα","εξωγκόνο","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγελήςαηγέτης","αγελήςα","ηγέτης","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγία γραφήαστακός","αγία γραφή","αστακός","unrelated","word","word",NA,0.153174837163535,0.694497981501639,0.151551884296443,21,22,26,1,0.846153846153846,24,26,1,0.923076923076923,FALSE,FALSE,FALSE
"αγία γραφήβιβλίο","αγία γραφή","βιβλίο","related","word","word",NA,-0.464224285739023,0.501261095671332,0.0983053887781932,26,26,26,1,1,26,26,1,1,FALSE,FALSE,FALSE
"αγία γραφήτοδικός","αγία γραφή","τοδικός","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άγκυραγραμφίριο","άγκυρα","γραμφίριο","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άγκυραμεγάλος","άγκυρα","μεγάλος","unrelated","word","word",0.125951129493851,-0.760394214987655,0.586016814628883,0.146504203657221,16,16,16,0,1,16,16,0,1,FALSE,FALSE,FALSE
"άγκυρασαλπάρω","άγκυρα","σαλπάρω","related","word","word",0.40414379172297,0.110376153375541,0.65083425390951,0.115052328591975,32,34,34,0,1,33,34,0,0.970588235294118,FALSE,FALSE,FALSE
"άγνοιααλαζονεία","άγνοια","αλαζονεία","related","word","word",0.499084635277235,0.156809261195572,1.17138989246979,0.244251677060719,23,23,23,0,1,22,23,0,0.956521739130435,FALSE,FALSE,FALSE
"άγνοιαδολοφόνος","άγνοια","δολοφόνος","unrelated","word","word",0.144282388306324,-0.216062395503178,0.596161195069185,0.112663875961438,28,29,31,0,0.935483870967742,28,30,1,0.933333333333333,FALSE,FALSE,FALSE
"άγνοιασυμβουκτύω","άγνοια","συμβουκτύω","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγοράζωπάρασφθηση","αγοράζω","πάρασφθηση","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγοράζωπουλώ","αγοράζω","πουλώ","related","word","word",0.626743144329462,-0.379835529459261,0.620106623343352,0.103351103890559,36,38,39,0,0.974358974358974,38,39,0,0.974358974358974,FALSE,FALSE,FALSE
"αγοράζωσυνάντηση","αγοράζω","συνάντηση","unrelated","word","word",0.0872305125392093,-0.393075526591587,0.497630960720981,0.106095277306444,22,22,24,0,0.916666666666667,23,24,0,0.958333333333333,FALSE,FALSE,FALSE
"αγόριαθηλυτές","αγόρια","θηλυτές","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγόριακορίτσια","αγόρια","κορίτσια","related","word","word",0.874396657875291,-0.848157420874217,0.327475460902693,0.0682833538481955,23,24,25,0,0.96,25,25,0,1,FALSE,FALSE,FALSE
"αγόριαοθόνη","αγόρια","οθόνη","unrelated","word","word",0.0977770687578381,-0.699781650476983,0.405122825587842,0.0794511228105483,26,27,28,0,0.964285714285714,26,28,0,0.928571428571429,FALSE,FALSE,FALSE
"άγουλοςέτντι","άγουλος","έτντι","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άγουλοςθυμωμένος","άγουλος","θυμωμένος","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγρότηςεπεισόδιο","αγρότης","επεισόδιο","unrelated","word","word",-0.0158396789599551,-0.26205115010413,0.897487223814372,0.176011725670373,26,28,30,0,0.933333333333333,28,30,0,0.933333333333333,FALSE,FALSE,FALSE
"αγρότηςεργάτης","αγρότης","εργάτης","related","word","word",0.553089768623399,-0.54540346235601,1.06755009811042,0.266887524527606,16,17,17,0,1,16,17,0,0.941176470588235,FALSE,FALSE,FALSE
"αγρότηςκογνός","αγρότης","κογνός","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγχόγιακόλαση","αγχόγια","κόλαση","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγχόγιαμίδεα","αγχόγια","μίδεα","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άδειαδεεμετία","άδεια","δεεμετία","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άδειαεγκαταλείπω","άδεια","εγκαταλείπω","related","word","word",0.207307396391437,0.170034461161194,1.05237116999567,0.2063869665904,26,27,27,0,1,25,27,0,0.925925925925926,FALSE,FALSE,FALSE
"άδειαέγκριση","άδεια","έγκριση","related","word","word",0.587556782268416,-0.272337818294977,0.943059924631091,0.192501301017811,24,25,25,0,1,23,25,0,0.92,FALSE,FALSE,FALSE
"αδειάζωγεμάτος","αδειάζω","γεμάτος","related","word","word",0.202927944028874,-0.521818017350385,0.734310209833507,0.149890443917345,24,25,26,0,0.961538461538462,26,26,0,1,FALSE,FALSE,FALSE
"αδειάζωεπιβεβαιάρω","αδειάζω","επιβεβαιάρω","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδειάζωτένις","αδειάζω","τένις","unrelated","word","word",0.1254146154708,-0.361401913668323,0.731409913456854,0.155937117498596,22,22,26,0,0.846153846153846,23,26,0,0.884615384615385,FALSE,FALSE,FALSE
"άδειακόμινχα","άδεια","κόμινχα","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άδειακυνικός","άδεια","κυνικός","unrelated","word","word",0.0724315219181193,0.642335755062178,0.806739223619704,0.176044931348914,21,21,21,0,1,21,21,0,1,FALSE,FALSE,FALSE
"άδειαφόρεμα","άδεια","φόρεμα","unrelated","word","word",0.0497946454566258,-0.631616990233978,0.453546975149387,0.0945710817706332,23,24,24,0,1,23,24,0,0.958333333333333,FALSE,FALSE,FALSE
"άδελαϊξαδερφη","άδελαϊ","ξαδερφη","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άδελαϊχαριγημένος","άδελαϊ","χαριγημένος","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδελφήαδελφός","αδελφή","αδελφός","related","word","word",0.544413111190085,-0.529761942206568,0.731930523432421,0.156048111918329,22,23,24,0,0.958333333333333,23,24,0,0.958333333333333,FALSE,FALSE,FALSE
"αδελφήγέωρθλια","αδελφή","γέωρθλια","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδελφήπρωτάθλημα","αδελφή","πρωτάθλημα","unrelated","word","word",0.0586950502157998,-0.589186697935578,0.400502761303163,0.0801005522606327,25,27,29,0,0.931034482758621,28,29,0,0.96551724137931,FALSE,FALSE,FALSE
"αδίζωmaαστός","αδίζω","maαστός","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδίζωηλιακός","αδίζω","ηλιακός","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άδικεραλιεία","άδικερ","αλιεία","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άδικερεκφυγμετί","άδικερ","εκφυγμετί","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδικίαάδικος","αδικία","άδικος","related","word","word",0.33991428982252,-0.436806069962409,0.804469515096125,0.179884852158123,20,20,20,0,1,18,20,0,0.9,FALSE,FALSE,FALSE
"αδικίαεκτέφαση","αδικία","εκτέφαση","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδικίαμυρωδιά","αδικία","μυρωδιά","unrelated","word","word",0.126336215317919,-0.271560444346408,0.550375495978998,0.137593873994749,16,16,16,1,1,15,16,1,0.9375,FALSE,FALSE,FALSE
"αδιράζωεδώδιμος ιχθύς του βορρά","αδιράζω","εδώδιμος ιχθύς του βορρά","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδιράζωίσγος","αδιράζω","ίσγος","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδυναμίαανίκανος","αδυναμία","ανίκανος","related","word","word",0.263361350375615,0.0862797292532609,1.24495397437106,0.311238493592766,16,17,17,0,1,17,17,0,1,FALSE,FALSE,FALSE
"αδυναμίαβλήμα","αδυναμία","βλήμα","unrelated","word","word",-0.00398210506114419,0.171962220420011,1.00492952951428,0.251232382378571,16,16,16,1,1,16,16,1,1,FALSE,FALSE,FALSE
"αδυναμίαείκος","αδυναμία","είκος","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδύνατοεύκολο","αδύνατο","εύκολο","related","word","word",0.565791644707546,-0.379101488003357,1.32555112752014,0.282608449953282,22,22,23,0,0.956521739130435,21,23,0,0.91304347826087,FALSE,FALSE,FALSE
"αδύνατοπανεπιστήμιο","αδύνατο","πανεπιστήμιο","unrelated","word","word",0.138276593180797,-0.20125672840188,0.814781497001596,0.156804772208199,27,31,31,0,1,29,31,0,0.935483870967742,FALSE,FALSE,FALSE
"αδύνατορίεχων","αδύνατο","ρίεχων","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδυνηρίαανιχοστρόβιλος","αδυνηρία","ανιχοστρόβιλος","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδυνηρίαπεινασμένος","αδυνηρία","πεινασμένος","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδώτατοκλνωστό","αδώτατο","κλνωστό","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδώτατοσπανίως","αδώτατο","σπανίως","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αέραςοικογένεια","αέρας","οικογένεια","unrelated","word","word",0.0323302144055771,-0.432897320532759,0.875881648872864,0.191133045513459,21,22,23,0,0.956521739130435,23,23,0,1,FALSE,FALSE,FALSE
"αέραςοξυγόνο","αέρας","οξυγόνο","related","word","word",0.483426743124789,-0.42808217993504,0.554404692181273,0.118199477523959,22,23,23,0,1,23,23,0,1,FALSE,FALSE,FALSE
"αέραςσλέξα","αέρας","σλέξα","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αέριοάπνεη","αέριο","άπνεη","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αέριοκαύσιμα","αέριο","καύσιμα","related","word","word",0.411093639131355,-0.463062663862555,0.503449126595695,0.115499150844445,19,20,21,0,0.952380952380952,21,21,0,1,FALSE,FALSE,FALSE
"αέριονικητής","αέριο","νικητής","unrelated","word","word",0.0722265287971668,-0.456765540352798,0.507258641364624,0.0976219710468764,27,28,28,0,1,25,28,0,0.892857142857143,FALSE,FALSE,FALSE
"άθειςήλιος","άθεις","ήλιος","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άθειςσηός","άθεις","σηός","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άθλιοςαξιολύπητο","άθλιος","αξιολύπητο","related","word","word",0.387609768998987,0.0906717551317739,0.974947608794368,0.175105759737794,31,31,31,0,1,31,31,0,1,FALSE,FALSE,FALSE
"άθλιοςπιθακάς","άθλιος","πιθακάς","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άθλιοςσυζήτηση","άθλιος","συζήτηση","unrelated","word","word",0.120452200869954,-0.514678470820885,0.670022036690472,0.153713597256793,19,21,21,1,1,20,21,1,0.952380952380952,FALSE,FALSE,FALSE
"αθροάτμαπανοπλάι","αθροάτμα","πανοπλάι","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αθροάτμαχρηματοδότηση","αθροάτμα","χρηματοδότηση","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άθροισμαδιαφοργαικός","άθροισμα","διαφοργαικός","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άθροισμαμουσική","άθροισμα","μουσική","unrelated","word","word",0.13181717053509,-0.534861212729276,0.512865033358752,0.124388041424945,17,18,19,1,0.947368421052632,18,19,1,0.947368421052632,FALSE,FALSE,FALSE
"άθροισμαποσό","άθροισμα","ποσό","related","word","word",0.352956214522964,-0.0336459455828086,1.10996268252988,0.269205492974389,17,19,20,1,0.95,19,20,1,0.95,FALSE,FALSE,FALSE
"αθώοςγέννωπος","αθώος","γέννωπος","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αθώοςεκφράζω","αθώος","εκφράζω","unrelated","word","word",0.132714739404478,-0.0295661130168386,0.983951055067732,0.205167977708289,23,24,24,0,1,24,24,0,1,FALSE,FALSE,FALSE
"αθώοςένοχος","αθώος","ένοχος","related","word","word",0.734639845806105,-0.639152158431591,0.491859043380006,0.0883404920408666,31,34,34,0,1,30,34,0,0.88235294117647,FALSE,FALSE,FALSE
"αίμαμάνοσσα","αίμα","μάνοσσα","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αίμαούρο","αίμα","ούρο","related","word","word",NA,-0.3891891485002,0.536303950039077,0.107260790007815,25,26,31,1,0.838709677419355,31,31,1,1,FALSE,FALSE,FALSE
"αίμαφιλελεύθερος","αίμα","φιλελεύθερος","unrelated","word","word",0.115464490253341,0.0685003732593116,0.748922815545174,0.134510508480734,31,31,31,0,1,29,31,0,0.935483870967742,FALSE,FALSE,FALSE
"αιόμιοςβαισάκι","αιόμιος","βαισάκι","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αιόμιοςνόστιμο","αιόμιος","νόστιμο","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αίριακρίαρτος","αίρι","ακρίαρτος","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αίρικλασσικός","αίρι","κλασσικός","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αιρίτσικαρκίνος","αιρίτσι","καρκίνος","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αιρίτσιπροτύο","αιρίτσι","προτύο","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αισθητήραςομοσποληία","αισθητήρας","ομοσποληία","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αισθητήραςπομπός","αισθητήρας","πομπός","related","word","word",0.683684070665793,0.314670806102274,1.00749320989119,0.210076856326944,23,25,28,0,0.892857142857143,27,27,1,1,FALSE,FALSE,FALSE
"αισθητήραςτσίρκο","αισθητήρας","τσίρκο","unrelated","word","word",0.0669016450682354,-0.304238952813394,0.727046537407302,0.132739929631334,30,33,33,2,1,33,34,1,0.970588235294118,FALSE,FALSE,FALSE
"αισιόδοξοςδιαβατίζιο","αισιόδοξος","διαβατίζιο","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αισιόδοξοςέντομο","αισιόδοξος","έντομο","unrelated","word","word",0.144767108266001,-0.398998552322393,0.916877290321754,0.176453116793706,27,29,29,0,1,29,29,0,1,FALSE,FALSE,FALSE
"αισιόδοξοςρεαλιστικός","αισιόδοξος","ρεαλιστικός","related","word","word",0.564224977770211,0.505370613709317,1.40731456222945,0.531914906871266,7,7,7,0,1,7,7,0,1,FALSE,FALSE,FALSE
