"word_combo","zh_hk_cue","zh_hk_target","type","cue_type","target_type","zh_hk_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"上儀成簡知","上儀","成簡知","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"上帝及名","上帝","及名","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"上帝神聖","上帝","神聖","related","word","word",0.648233411804081,-0.0267311838338303,NA,NA,1,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"上帝重要","上帝","重要","unrelated","word","word",0.701256612843735,-0.916802811648705,0.322889678494337,0.186420442797257,3,4,5,1,0.8,4,5,1,0.8,FALSE,FALSE,FALSE
"上湛十月","上湛","十月","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"上湛水大","上湛","水大","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"上色示求","上色","示求","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"上色繪畫","上色","繪畫","related","word","word",NA,-0.403300636101792,0.32310967363792,0.16155483681896,4,4,7,0,0.571428571428571,6,7,0,0.857142857142857,FALSE,FALSE,FALSE
"上色腎上腺素","上色","腎上腺素","unrelated","word","word",NA,0.0888890476877383,1.05850728143392,0.400078146803601,7,7,7,0,1,7,7,0,1,FALSE,FALSE,FALSE
"上銅帶海","上銅","帶海","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"上銅請求","上銅","請求","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"上鎖厭革","上鎖","厭革","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"上鎖砲兵","上鎖","砲兵","unrelated","word","word",NA,-0.295722223115783,0.653671413121462,0.326835706560731,4,7,7,1,1,5,7,1,0.714285714285714,FALSE,FALSE,FALSE
"上鎖關閉","上鎖","關閉","related","word","word",0.938160983983368,NA,NA,NA,NA,0,2,1,0,1,2,1,0.5,FALSE,FALSE,NA
"下仿平價","下仿","平價","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"下仿文蔗","下仿","文蔗","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"下偵禮葬禮","下偵禮","葬禮","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"下偵禮隨空","下偵禮","隨空","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"下出紙名","下出","紙名","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"下出經常","下出","經常","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"下匠洋蔥","下匠","洋蔥","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"下匠罪扭藍","下匠","罪扭藍","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"下味大彈","下味","大彈","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"下味市長","下味","市長","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"下方上面","下方","上面","related","word","word",NA,-0.588235636914719,0.00228265870344203,0.00161408344833835,2,3,3,0,1,2,3,0,0.666666666666667,FALSE,FALSE,FALSE
"下方何多","下方","何多","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"下方封塵","下方","封塵","unrelated","word","word",NA,NA,NA,NA,NA,0,3,0,0,1,3,0,0.333333333333333,FALSE,FALSE,NA
"下炮緊疆","下炮","緊疆","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"下炮說話","下炮","說話","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"不公義不公平","不公義","不公平","related","word","word",NA,0.310411832210961,2.71522298542691,1.56763472154609,3,4,4,1,1,3,4,1,0.75,FALSE,FALSE,FALSE
"不公義氣味","不公義","氣味","unrelated","word","word",NA,-0.248054352843582,1.09737544972479,0.548687724862393,4,8,9,0,0.888888888888889,9,9,0,1,FALSE,FALSE,FALSE
"不公義求黃","不公義","求黃","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"不可能簡單","不可能","簡單","related","word","word",0.822450769640311,-0.229993026784499,NA,NA,1,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"不可能遊戲","不可能","遊戲","unrelated","word","word",0.68867646402153,0.390249637931559,2.43801538461979,1.09031362604003,5,5,6,0,0.833333333333333,6,6,0,1,FALSE,FALSE,FALSE
"不可能魚陰","不可能","魚陰","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"不子乳鐵","不子","乳鐵","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"不子最後","不子","最後","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"不幸厄運","不幸","厄運","related","word","word",NA,-0.34029196158377,0.373946114796836,0.264419833571206,2,3,4,1,0.75,4,4,1,1,FALSE,FALSE,FALSE
"不幸白論","不幸","白論","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"不幸知道","不幸","知道","unrelated","word","word",0.760823260056894,-0.651008129036205,0.599024032875274,0.226409802905565,7,7,8,3,0.875,7,8,3,0.875,FALSE,FALSE,FALSE
"不線價錢","不線","價錢","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"不線貴救","不線","貴救","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"不蝌辱隊","不蝌","辱隊","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"不蝌迎接","不蝌","迎接","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"世紀十年","世紀","十年","related","word","word",0.876960961259341,-0.721419073655514,NA,NA,1,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"世紀布營","世紀","布營","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"世紀藥丸","世紀","藥丸","unrelated","word","word",0.897890526749708,-0.465770525280447,0.418618858754133,0.187212044967525,5,6,6,1,1,6,6,1,1,FALSE,FALSE,FALSE
"世醬破公","世醬","破公","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"世醬私隱","世醬","私隱","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"世雞滿鎮","世雞","滿鎮","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"世雞身體","世雞","身體","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"中柳工慾","中柳","工慾","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"中柳見證","中柳","見證","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"主人太太","主人","太太","related","word","word",0.946171112915127,-0.533016079329454,0.146163898554266,0.0843877661761109,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"主人火長","主人","火長","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"主人私隱","主人","私隱","unrelated","word","word",NA,-0.148419492617675,0.793281641393648,0.323855873955324,6,8,10,2,0.8,8,9,3,0.888888888888889,FALSE,FALSE,FALSE
"主意權力","主意","權力","unrelated","word","word",0.766291140590353,-0.454827686438405,0.0341717250831404,0.024163058531131,2,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"主意理論","主意","理論","related","word","word",0.869635612643245,0.185680337345088,0.718928531000504,0.50835923945894,2,4,4,0,1,3,4,0,0.75,FALSE,FALSE,FALSE
"主意細閉","主意","細閉","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"主播游水","主播","游水","unrelated","word","word",NA,-0.588933406855675,0.536445677367878,0.309717056233956,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"主播記者","主播","記者","related","word","word",0.961569058159829,-0.901086247241087,0.429585524995515,0.192116487207981,5,6,6,0,1,6,6,0,1,FALSE,FALSE,FALSE
"主播貌盤","主播","貌盤","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"主支淫劃","主支","淫劃","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"主支警報","主支","警報","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"主教劇場","主教","劇場","unrelated","word","word",NA,-0.405009287645228,0.220766629066106,0.127459672719403,3,3,5,0,0.6,2,5,0,0.4,FALSE,FALSE,FALSE
"主教樞機","主教","樞機","related","word","word",NA,0.919598657791803,1.80748852180377,0.903744260901884,4,5,12,0,0.416666666666667,7,11,1,0.636363636363636,FALSE,FALSE,FALSE
"主教苦輪向","主教","苦輪向","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"主水埋葬","主水","埋葬","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"主水節鄭","主水","節鄭","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"乘客司機","乘客","司機","related","word","word",0.745430227436835,-0.891740713912198,0.253800529003696,0.126900264501848,4,4,5,1,0.8,4,5,1,0.8,FALSE,FALSE,FALSE
"乘客撈案","乘客","撈案","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"乘客警報","乘客","警報","unrelated","word","word",0.827947123591178,-0.522302511512874,0.446183316115367,0.315499248477477,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"乘瞞府遷","乘瞞","府遷","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"乘瞞影印","乘瞞","影印","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"九月十月","九月","十月","related","word","word",0.941301583160352,-0.804158408691098,0.159584629198329,0.0921362286261818,3,4,4,1,1,3,4,1,0.75,FALSE,FALSE,FALSE
"九月增胃角","九月","增胃角","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"九月觀點","九月","觀點","unrelated","word","word",NA,-0.226985936619431,0.798241625864146,0.282221033336956,8,12,14,0,0.857142857142857,13,14,0,0.928571428571429,FALSE,FALSE,FALSE
"乳牛搶劫","乳牛","搶劫","unrelated","word","word",0.906126265112041,-0.456937676026736,0.181576971530126,0.0907884857650629,4,6,6,1,1,6,6,1,1,FALSE,FALSE,FALSE
"乳牛烈宮","乳牛","烈宮","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"乳牛豬乸","乳牛","豬乸","related","word","word",NA,NA,NA,NA,NA,0,2,0,0,2,2,0,1,FALSE,FALSE,NA
"乳蹤引濕","乳蹤","引濕","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"乳蹤溝通","乳蹤","溝通","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"乾撤兵幸","乾撤","兵幸","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"乾撤臉頰","乾撤","臉頰","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"乾淨同蔔","乾淨","同蔔","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"乾淨戀人","乾淨","戀人","unrelated","word","word",0.960874471297884,-0.436499373024597,0.157724719415608,0.111528218659522,2,4,4,0,1,4,4,0,1,FALSE,FALSE,FALSE
"乾淨清洗","乾淨","清洗","related","word","word",0.787587775768452,-0.0885939577335946,1.18766490093243,0.839805905226567,2,4,4,0,1,4,4,0,1,FALSE,FALSE,FALSE
"乾燥去迷頭","乾燥","去迷頭","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"乾燥潮濕","乾燥","潮濕","related","word","word",NA,-0.0834417288290359,1.4161211241818,1.00134884989047,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"乾燥難以","乾燥","難以","unrelated","word","word",NA,0.11695214337079,0.354462761265413,0.250643022168882,2,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"了病獅子","了病","獅子","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"了病驚迴","了病","驚迴","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"事件意外","事件","意外","related","word","word",0.963401835937255,-0.647586918564643,0.466809305683376,0.190574101017861,6,7,10,0,0.7,9,10,0,0.9,FALSE,FALSE,FALSE
"事件戰住","事件","戰住","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"事件飢餓","事件","飢餓","unrelated","word","word",0.946158309768772,-0.803411631890086,NA,NA,1,1,2,0,0.5,1,2,0,0.5,FALSE,FALSE,FALSE
"事敵審判","事敵","審判","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"事敵生點","事敵","生點","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"事活果汁","事活","果汁","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"事活樓取","事活","樓取","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"互聯網有罪","互聯網","有罪","unrelated","word","word",0.948088807549868,-0.163425738751272,0.445047618337417,0.25694836224931,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"互聯網樹柱","互聯網","樹柱","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"互聯網網頁","互聯網","網頁","related","word","word",NA,-0.487302737282224,0.29966027716204,0.173008941684942,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"亡利完到","亡利","完到","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"亡利解僱","亡利","解僱","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"交沫示求","交沫","示求","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"交沫陳述","交沫","陳述","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"人口保存","人口","保存","unrelated","word","word",0.926972959862805,-1.13279225418041,0.458413885755003,0.324147567207438,2,4,4,0,1,2,3,1,0.666666666666667,FALSE,FALSE,FALSE
"人口大眾","人口","大眾","related","word","word",NA,-0.915565849755811,NA,NA,1,1,1,2,1,1,1,2,1,FALSE,FALSE,FALSE
"人口擄罷","人口","擄罷","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"人士個人","人士","個人","related","word","word",NA,0.261601041355054,0.92707339261787,0.535246072786467,3,3,3,1,1,3,3,1,1,FALSE,FALSE,FALSE
"人士爆之","人士","爆之","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"人士霧氣","人士","霧氣","unrelated","word","word",NA,NA,NA,NA,NA,0,0,1,NA,0,0,1,NA,FALSE,FALSE,NA
"人復可能性","人復","可能性","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"人復梅砍美","人復","梅砍美","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"人短承諾","人短","承諾","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"人短星液","人短","星液","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"人群觀眾","人群","觀眾","related","word","word",0.966939639710376,-0.559164372051785,0.222825105083512,0.0909679682227744,6,8,8,2,1,8,8,2,1,FALSE,FALSE,FALSE
"人群錄影","人群","錄影","unrelated","word","word",0.95261859321784,-0.337174090649457,NA,NA,1,4,4,1,1,4,4,1,1,FALSE,FALSE,FALSE
"人群食視","人群","食視","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"人質囚犯","人質","囚犯","related","word","word",0.969139693945419,NA,NA,NA,NA,2,2,0,1,2,2,0,1,FALSE,FALSE,NA
"人質城錢","人質","城錢","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"人質生產","人質","生產","unrelated","word","word",NA,-0.671296882497922,0.258358842085104,0.182687289217881,2,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"什麼便瑩","什麼","便瑩","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"什麼火雞","什麼","火雞","unrelated","word","word",0.556305839414347,NA,NA,NA,NA,1,1,0,1,1,1,0,1,FALSE,FALSE,NA
"什麼那個","什麼","那個","related","word","word",0.587381623329755,-0.365528103445051,0.593762187451979,0.209926634579726,8,9,9,0,1,8,9,0,0.888888888888889,FALSE,FALSE,FALSE
"今天昨日","今天","昨日","related","word","word",0.836946869662374,-0.491492845318608,0.88451293253224,0.510673779699194,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"今天獨鐵","今天","獨鐵","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"今天禮物","今天","禮物","unrelated","word","word",0.91695097895051,-1.07121595123171,0.593140315256997,0.342449720680847,3,4,4,0,1,3,4,0,0.75,FALSE,FALSE,FALSE
"今藤擦勁哪","今藤","擦勁哪","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"今藤金錢","今藤","金錢","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"付滅懷疑","付滅","懷疑","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"付滅變意","付滅","變意","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"令歷懷孕","令歷","懷孕","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"令歷趕裏道","令歷","趕裏道","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"以省大猩猩","以省","大猩猩","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"以省誦於","以省","誦於","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"任務使命","任務","使命","related","word","word",0.986339064260198,-0.230114769230556,0.503309120541135,0.167769706847045,9,11,11,1,1,11,11,1,1,FALSE,FALSE,FALSE
"任務司機","任務","司機","unrelated","word","word",0.867398263310139,-0.518614586336203,0.158273629735134,0.111916356868722,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"任務重雀","任務","重雀","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"任命委員會","任命","委員會","related","word","word",NA,-0.123260746504868,NA,NA,1,3,3,1,1,2,3,1,0.666666666666667,FALSE,FALSE,FALSE
"任命帝國","任命","帝國","unrelated","word","word",NA,0.599069144071476,1.24833952074382,0.624169760371909,4,4,5,2,0.8,4,5,2,0.8,FALSE,FALSE,FALSE
"任命根倒","任命","根倒","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"休息工版","休息","工版","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"休息睡覺","休息","睡覺","related","word","word",0.953982537355629,-0.35503179010986,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"休息鍛煉","休息","鍛煉","unrelated","word","word",0.904153783872978,-0.702407353844679,0.324330880162311,0.229336564710972,2,3,4,1,0.75,3,4,1,0.75,FALSE,FALSE,FALSE
"位幼派對","位幼","派對","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"位幼量勉","位幼","量勉","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"低估咪高峰","低估","咪高峰","unrelated","word","word",NA,NA,NA,NA,NA,0,1,1,0,1,1,1,1,FALSE,FALSE,NA
"低估誇大","低估","誇大","related","word","word",NA,-0.335339364666571,0.274370546952306,0.137185273476153,4,6,6,1,1,6,6,1,1,FALSE,FALSE,FALSE
"低估項氣","低估","項氣","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
