"word_combo","el_cue","el_target","type","cue_type","target_type","el_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"ufoεξωγήινο","ufo","εξωγήινο","related","word","word",0.432122856644264,0.38417782562643,1.26568268300465,0.269844454695481,22,25,27,0,0.925925925925926,8,27,0,0.296296296296296,FALSE,FALSE,FALSE
"ufoνεροχύτης","ufo","νεροχύτης","unrelated","word","word",-0.000485815461544304,0.172832913438681,0.765822043042098,0.135379489954301,32,33,33,0,1,11,32,1,0.34375,FALSE,FALSE,FALSE
"zeόνηεπαλιστικός","zeόνη","επαλιστικός","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zeόνηξοδεύω","zeόνη","ξοδεύω","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ʼσάανίσετρος","ʼσά","ανίσετρος","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ʼσάπετυχαίνω","ʼσά","πετυχαίνω","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άβηροςμπράτσο","άβηρος","μπράτσο","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άβηροςπουλτική","άβηρος","πουλτική","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άβολοςαγόρι","άβολος","αγόρι","unrelated","word","word",0.0743307916012923,-0.693372064962688,0.521634397121513,0.11382995761438,21,23,23,0,1,22,23,0,0.956521739130435,FALSE,FALSE,FALSE
"άβολοςάνθρριοι","άβολος","άνθρριοι","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άβολοςδυσάρεστος","άβολος","δυσάρεστος","related","word","word",0.522784375785573,-0.0700636508868016,0.875761815157091,0.148030764841757,35,38,39,1,0.974358974358974,38,39,1,0.974358974358974,FALSE,FALSE,FALSE
"αγάγματιπαϊνί","αγάγματι","παϊνί","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγάγματιτυρί","αγάγματι","τυρί","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγαλάανώτατος","αγαλά","ανώτατος","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγαλάμούπλ","αγαλά","μούπλ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άγγελοςδιάβολος","άγγελος","διάβολος","related","word","word",0.541874850878424,-0.568193331459134,0.443023403074337,0.0759778868122682,34,40,40,0,1,40,40,0,1,FALSE,FALSE,FALSE
"άγγελοςμπέιζμπολ","άγγελος","μπέιζμπολ","unrelated","word","word",0.140356731572614,0.267314046898561,0.952524598826564,0.171078468260178,31,34,39,2,0.871794871794872,40,41,0,0.975609756097561,FALSE,FALSE,FALSE
"άγγελοςύαυτοτ","άγγελος","ύαυτοτ","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγγλικάγαλλικά","αγγλικά","γαλλικά","related","word","word",0.769928039087861,-0.641412952235711,0.57964204889706,0.11367715839327,26,30,30,0,1,29,30,0,0.966666666666667,FALSE,FALSE,FALSE
"αγγλικάπέκως","αγγλικά","πέκως","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγγλικάπεριορίζω","αγγλικά","περιορίζω","unrelated","word","word",0.0714067289365802,-0.0473201789766199,0.718695575126288,0.192079471965216,14,15,17,0,0.88235294117647,16,17,0,0.941176470588235,FALSE,FALSE,FALSE
"αγγλυτάτερασταίς","αγγλυτά","τερασταίς","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγγλυτάτριπλό","αγγλυτά","τριπλό","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγελάδαγουρούνι","αγελάδα","γουρούνι","related","word","word",0.526262336031553,-0.581483413867172,0.475198788651731,0.0770874228147007,38,40,40,0,1,39,40,0,0.975,FALSE,FALSE,FALSE
"αγελάδαέμβοευση","αγελάδα","έμβοευση","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγελάδαπολιτικός","αγελάδα","πολιτικός","unrelated","word","word",0.118820463738621,-0.427698979718966,0.471342084842941,0.0774881614225753,37,38,39,1,0.974358974358974,35,39,1,0.897435897435897,FALSE,FALSE,FALSE
"αγελήςαεξωγκόνο","αγελήςα","εξωγκόνο","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγελήςαηγέτης","αγελήςα","ηγέτης","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγία γραφήαστακός","αγία γραφή","αστακός","unrelated","word","word",NA,0.247347570013901,0.773512103484981,0.148862473722829,27,28,32,1,0.875,30,32,1,0.9375,FALSE,FALSE,FALSE
"αγία γραφήβιβλίο","αγία γραφή","βιβλίο","related","word","word",NA,-0.479053884391467,0.48593424309453,0.091832940054181,28,28,28,2,1,28,28,2,1,FALSE,FALSE,FALSE
"αγία γραφήτοδικός","αγία γραφή","τοδικός","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άγκυραγραμφίριο","άγκυρα","γραμφίριο","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άγκυραμεγάλος","άγκυρα","μεγάλος","unrelated","word","word",0.125951129493851,-0.724933949595416,0.56292308108786,0.132682242641217,18,18,18,0,1,18,18,0,1,FALSE,FALSE,FALSE
"άγκυρασαλπάρω","άγκυρα","σαλπάρω","related","word","word",0.40414379172297,0.12356352012544,0.633567394544716,0.108655911756844,34,36,37,0,0.972972972972973,36,37,0,0.972972972972973,FALSE,FALSE,FALSE
"άγνοιααλαζονεία","άγνοια","αλαζονεία","related","word","word",0.499084635277235,0.0682232147860565,1.10365099539086,0.212397733093437,27,27,27,0,1,26,27,0,0.962962962962963,FALSE,FALSE,FALSE
"άγνοιαδολοφόνος","άγνοια","δολοφόνος","unrelated","word","word",0.144282388306324,-0.216851631939255,0.585434100040367,0.108712383187374,29,30,32,0,0.9375,29,31,1,0.935483870967742,FALSE,FALSE,FALSE
"άγνοιασυμβουκτύω","άγνοια","συμβουκτύω","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγοράζωπάρασφθηση","αγοράζω","πάρασφθηση","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγοράζωπουλώ","αγοράζω","πουλώ","related","word","word",0.626743144329462,-0.34508585985837,0.610242462311711,0.0977169988634447,39,41,42,0,0.976190476190476,41,42,0,0.976190476190476,FALSE,FALSE,FALSE
"αγοράζωσυνάντηση","αγοράζω","συνάντηση","unrelated","word","word",0.0872305125392093,-0.381805575075608,0.459007327533588,0.0900187430759939,26,26,28,0,0.928571428571429,27,28,0,0.964285714285714,FALSE,FALSE,FALSE
"αγόριαθηλυτές","αγόρια","θηλυτές","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγόριακορίτσια","αγόρια","κορίτσια","related","word","word",0.874396657875291,-0.863462662217596,0.328937031941633,0.0671439904802144,24,25,26,0,0.961538461538462,26,26,0,1,FALSE,FALSE,FALSE
"αγόριαοθόνη","αγόρια","οθόνη","unrelated","word","word",0.0977770687578381,-0.699788562776262,0.397255615676453,0.0764518788826301,27,28,29,0,0.96551724137931,27,29,0,0.931034482758621,FALSE,FALSE,FALSE
"άγουλοςέτντι","άγουλος","έτντι","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άγουλοςθυμωμένος","άγουλος","θυμωμένος","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγρότηςεπεισόδιο","αγρότης","επεισόδιο","unrelated","word","word",-0.0158396789599551,-0.274202379717061,0.882320692053877,0.169802696356294,27,29,31,0,0.935483870967742,29,31,0,0.935483870967742,FALSE,FALSE,FALSE
"αγρότηςεργάτης","αγρότης","εργάτης","related","word","word",0.553089768623399,-0.527421072816644,0.903740902685096,0.192678207852329,22,23,23,0,1,22,23,0,0.956521739130435,FALSE,FALSE,FALSE
"αγρότηςκογνός","αγρότης","κογνός","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγχόγιακόλαση","αγχόγια","κόλαση","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αγχόγιαμίδεα","αγχόγια","μίδεα","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άδειαδεεμετία","άδεια","δεεμετία","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άδειαεγκαταλείπω","άδεια","εγκαταλείπω","related","word","word",0.207307396391437,0.151879416790479,0.986295652735109,0.180072125790767,30,31,31,0,1,29,31,0,0.935483870967742,FALSE,FALSE,FALSE
"άδειαέγκριση","άδεια","έγκριση","related","word","word",0.587556782268416,-0.294222876549524,0.85880314498062,0.156795284987422,30,31,31,0,1,29,31,0,0.935483870967742,FALSE,FALSE,FALSE
"αδειάζωγεμάτος","αδειάζω","γεμάτος","related","word","word",0.202927944028874,-0.519963341292118,0.669030585942177,0.124235860907324,29,30,31,0,0.967741935483871,31,31,0,1,FALSE,FALSE,FALSE
"αδειάζωεπιβεβαιάρω","αδειάζω","επιβεβαιάρω","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδειάζωτένις","αδειάζω","τένις","unrelated","word","word",0.1254146154708,-0.349615684395144,0.716825729518849,0.149468496971658,23,23,27,0,0.851851851851852,24,27,0,0.888888888888889,FALSE,FALSE,FALSE
"άδειακόμινχα","άδεια","κόμινχα","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άδειακυνικός","άδεια","κυνικός","unrelated","word","word",0.0724315219181193,0.625373431126396,0.791306645116501,0.168707143595793,22,22,22,0,1,22,22,0,1,FALSE,FALSE,FALSE
"άδειαφόρεμα","άδεια","φόρεμα","unrelated","word","word",0.0497946454566258,-0.65206523780869,0.441658595778803,0.0883317191557606,25,26,26,0,1,25,26,0,0.961538461538462,FALSE,FALSE,FALSE
"άδελαϊξαδερφη","άδελαϊ","ξαδερφη","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άδελαϊχαριγημένος","άδελαϊ","χαριγημένος","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδελφήαδελφός","αδελφή","αδελφός","related","word","word",0.544413111190085,-0.602834888842596,0.660170508039781,0.122590585744963,29,30,31,0,0.967741935483871,30,31,0,0.967741935483871,FALSE,FALSE,FALSE
"αδελφήγέωρθλια","αδελφή","γέωρθλια","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδελφήπρωτάθλημα","αδελφή","πρωτάθλημα","unrelated","word","word",0.0586950502157998,-0.543904085959058,0.411459506466098,0.0764061121993849,29,31,33,0,0.93939393939394,32,33,0,0.96969696969697,FALSE,FALSE,FALSE
"αδίζωmaαστός","αδίζω","maαστός","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδίζωηλιακός","αδίζω","ηλιακός","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άδικεραλιεία","άδικερ","αλιεία","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άδικερεκφυγμετί","άδικερ","εκφυγμετί","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδικίαάδικος","αδικία","άδικος","related","word","word",0.33991428982252,-0.484593679892571,0.709947419041085,0.134167451051062,28,28,28,0,1,26,28,0,0.928571428571429,FALSE,FALSE,FALSE
"αδικίαεκτέφαση","αδικία","εκτέφαση","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδικίαμυρωδιά","αδικία","μυρωδιά","unrelated","word","word",0.126336215317919,-0.236468540401212,0.552191653047857,0.133926147711808,17,17,18,1,0.944444444444444,17,18,1,0.944444444444444,FALSE,FALSE,FALSE
"αδιράζωεδώδιμος ιχθύς του βορρά","αδιράζω","εδώδιμος ιχθύς του βορρά","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδιράζωίσγος","αδιράζω","ίσγος","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδυναμίαανίκανος","αδυναμία","ανίκανος","related","word","word",0.263361350375615,-0.0525508295744502,1.19417094976921,0.273961604808209,19,20,20,0,1,20,20,0,1,FALSE,FALSE,FALSE
"αδυναμίαβλήμα","αδυναμία","βλήμα","unrelated","word","word",-0.00398210506114419,0.266986790320294,0.950995771010099,0.218173392714083,19,19,21,1,0.904761904761905,21,21,1,1,FALSE,FALSE,FALSE
"αδυναμίαείκος","αδυναμία","είκος","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδύνατοεύκολο","αδύνατο","εύκολο","related","word","word",0.565791644707546,-0.392833136340227,1.29674789126646,0.270390626727174,23,23,24,0,0.958333333333333,22,24,0,0.916666666666667,FALSE,FALSE,FALSE
"αδύνατοπανεπιστήμιο","αδύνατο","πανεπιστήμιο","unrelated","word","word",0.138276593180797,-0.209460294636494,0.800728111933093,0.151323389425232,28,32,32,0,1,30,32,0,0.9375,FALSE,FALSE,FALSE
"αδύνατορίεχων","αδύνατο","ρίεχων","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδυνηρίαανιχοστρόβιλος","αδυνηρία","ανιχοστρόβιλος","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδυνηρίαπεινασμένος","αδυνηρία","πεινασμένος","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδώτατοκλνωστό","αδώτατο","κλνωστό","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αδώτατοσπανίως","αδώτατο","σπανίως","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αέραςοικογένεια","αέρας","οικογένεια","unrelated","word","word",0.0323302144055771,-0.355101709023816,0.93408312559772,0.186816625119544,25,26,27,0,0.962962962962963,27,27,0,1,FALSE,FALSE,FALSE
"αέραςοξυγόνο","αέρας","οξυγόνο","related","word","word",0.483426743124789,-0.395015707733929,0.595151418441963,0.121484774573037,24,25,25,0,1,25,25,0,1,FALSE,FALSE,FALSE
"αέραςσλέξα","αέρας","σλέξα","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αέριοάπνεη","αέριο","άπνεη","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αέριοκαύσιμα","αέριο","καύσιμα","related","word","word",0.411093639131355,-0.463062663862555,0.503449126595695,0.115499150844445,19,20,21,0,0.952380952380952,21,21,0,1,FALSE,FALSE,FALSE
"αέριονικητής","αέριο","νικητής","unrelated","word","word",0.0722265287971668,-0.460169212169931,0.47811990210477,0.0858728694225392,31,32,32,0,1,29,32,0,0.90625,FALSE,FALSE,FALSE
"άθειςήλιος","άθεις","ήλιος","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άθειςσηός","άθεις","σηός","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άθλιοςαξιολύπητο","άθλιος","αξιολύπητο","related","word","word",0.387609768998987,0.087933939866628,0.95921878267585,0.1695675264679,32,32,32,0,1,32,32,0,1,FALSE,FALSE,FALSE
"άθλιοςπιθακάς","άθλιος","πιθακάς","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άθλιοςσυζήτηση","άθλιος","συζήτηση","unrelated","word","word",0.120452200869954,-0.537337946467941,0.659977799930585,0.147575522428554,20,22,22,1,1,21,22,1,0.954545454545455,FALSE,FALSE,FALSE
"αθροάτμαπανοπλάι","αθροάτμα","πανοπλάι","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αθροάτμαχρηματοδότηση","αθροάτμα","χρηματοδότηση","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άθροισμαδιαφοργαικός","άθροισμα","διαφοργαικός","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"άθροισμαμουσική","άθροισμα","μουσική","unrelated","word","word",0.13181717053509,-0.537970198270468,0.484050840956167,0.111048878908622,19,20,21,1,0.952380952380952,20,21,1,0.952380952380952,FALSE,FALSE,FALSE
"άθροισμαποσό","άθροισμα","ποσό","related","word","word",0.352956214522964,-0.0819618035079246,1.04051105230455,0.232665344429281,20,22,23,1,0.956521739130435,22,23,1,0.956521739130435,FALSE,FALSE,FALSE
"αθώοςγέννωπος","αθώος","γέννωπος","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αθώοςεκφράζω","αθώος","εκφράζω","unrelated","word","word",0.132714739404478,-0.0993844640495178,0.950628530319672,0.186433593318386,26,27,27,0,1,27,27,0,1,FALSE,FALSE,FALSE
"αθώοςένοχος","αθώος","ένοχος","related","word","word",0.734639845806105,-0.648162722084079,0.478142121449944,0.0832338597156908,33,36,36,0,1,32,36,0,0.888888888888889,FALSE,FALSE,FALSE
"αίμαμάνοσσα","αίμα","μάνοσσα","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αίμαούρο","αίμα","ούρο","related","word","word",NA,-0.319361905201596,0.728551608954986,0.135288637404331,29,30,35,1,0.857142857142857,35,35,1,1,FALSE,FALSE,FALSE
"αίμαφιλελεύθερος","αίμα","φιλελεύθερος","unrelated","word","word",0.115464490253341,0.0856084665297436,0.730632898363846,0.123499500539366,35,35,35,0,1,33,35,0,0.942857142857143,FALSE,FALSE,FALSE
"αιόμιοςβαισάκι","αιόμιος","βαισάκι","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αιόμιοςνόστιμο","αιόμιος","νόστιμο","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αίριακρίαρτος","αίρι","ακρίαρτος","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αίρικλασσικός","αίρι","κλασσικός","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αιρίτσικαρκίνος","αιρίτσι","καρκίνος","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αιρίτσιπροτύο","αιρίτσι","προτύο","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αισθητήραςομοσποληία","αισθητήρας","ομοσποληία","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αισθητήραςπομπός","αισθητήρας","πομπός","related","word","word",0.683684070665793,0.266669523568572,1.01301986032347,0.206781813091499,24,26,29,0,0.896551724137931,28,28,1,1,FALSE,FALSE,FALSE
"αισθητήραςτσίρκο","αισθητήρας","τσίρκο","unrelated","word","word",0.0669016450682354,-0.325599819634072,0.711314041754385,0.123823881036977,33,36,36,2,1,36,37,1,0.972972972972973,FALSE,FALSE,FALSE
"αισιόδοξοςδιαβατίζιο","αισιόδοξος","διαβατίζιο","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"αισιόδοξοςέντομο","αισιόδοξος","έντομο","unrelated","word","word",0.144767108266001,-0.398998552322393,0.916877290321754,0.176453116793706,27,29,29,0,1,29,29,0,1,FALSE,FALSE,FALSE
"αισιόδοξοςρεαλιστικός","αισιόδοξος","ρεαλιστικός","related","word","word",0.564224977770211,0.368358089232232,1.25209356022147,0.417364520073824,9,9,9,0,1,9,9,0,1,FALSE,FALSE,FALSE
