"word_combo","sr_cue","sr_target","type","cue_type","target_type","sr_cosine","M_Z","SD_Z","sr_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"алекностграђевина","алекност","грађевина","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"алекностзаогромница","алекност","заогромница","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"алкоблуинформација","алкоблу","информација","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"алкоблуобрадија","алкоблу","обрадија","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"алкохолвероискрено","алкохол","вероискрено","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"алкохолдрога","алкохол","дрога","related","word","word",0.570088614714401,-0.942364079308765,0.271864323184049,0.0906214410613497,9,10,10,0,1,10,10,0,1,FALSE,FALSE,FALSE
"алкохолкофер","алкохол","кофер","unrelated","word","word",0.438027948788782,-0.408077440351634,0.867025607558107,0.166859155972657,27,28,29,0,0.96551724137931,28,29,0,0.96551724137931,FALSE,FALSE,FALSE
"амандалавуриц","амандала","вуриц","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"амандалаличност","амандала","личност","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аманкаалбердан","аманка","албердан","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аманкаболест","аманка","болест","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аматерскилобања","аматерски","лобања","unrelated","word","word",0.444238625784712,-0.533237107544791,0.48888035133385,0.130658769844067,14,14,14,0,1,13,14,0,0.928571428571429,FALSE,FALSE,FALSE
"аматерскипрофесионалан","аматерски","професионалан","related","word","word",0.600027443699614,0.152952179811845,0.929194238904737,0.280162604346079,11,12,12,0,1,11,12,0,0.916666666666667,FALSE,FALSE,FALSE
"аматерскиснаску","аматерски","снаску","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"амбасадаминистарство","амбасада","министарство","related","word","word",0.46251619585281,-0.397327977319063,0.570172423282478,0.142543105820619,16,17,18,1,0.944444444444444,18,18,1,1,FALSE,FALSE,FALSE
"амбасадаперспектива","амбасада","перспектива","unrelated","word","word",0.498234042590598,0.0391283598796126,0.859653750794078,0.271846385161607,10,10,10,1,1,9,10,1,0.9,FALSE,FALSE,FALSE
"амбасадаујаво","амбасада","ујаво","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"амбасадорминистар","амбасадор","министар","related","word","word",0.498109799976103,-0.679617700098945,0.512855999626292,0.100579336529138,26,29,29,0,1,29,29,0,1,FALSE,FALSE,FALSE
"амбасадорнезгода","амбасадор","незгода","unrelated","word","word",0.419110461192741,-0.199119256269708,0.80778243358138,0.164887898788169,24,25,27,0,0.925925925925926,25,27,0,0.925925925925926,FALSE,FALSE,FALSE
"амбасадорствартиснути","амбасадор","ствартиснути","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"амбасањстваонрач","амбасањства","онрач","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"амбасањстваужасан","амбасањства","ужасан","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аналитичардолина","аналитичар","долина","unrelated","word","word",0.394481976422129,-0.312234423592501,0.645773517358054,0.144399348288175,20,20,20,0,1,18,20,0,0.9,FALSE,FALSE,FALSE
"аналитичарзвола","аналитичар","звола","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аналитичаристражитељ","аналитичар","истражитељ","related","word","word",0.580518256552868,0.361069022934184,1.73499543713528,0.578331812378428,9,11,12,0,0.916666666666667,12,12,0,1,FALSE,FALSE,FALSE
"анархијакапитализам","анархија","капитализам","related","word","word",NA,-0.0727514874970106,0.715638617846196,0.143127723569239,25,29,29,0,1,28,29,0,0.96551724137931,FALSE,FALSE,FALSE
"анархијаормар","анархија","ормар","unrelated","word","word",NA,-0.405319736504991,0.836144198194703,0.252106961458581,11,12,12,0,1,12,12,0,1,FALSE,FALSE,FALSE
"анархијапатрац","анархија","патрац","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"анатомијанеопрозан","анатомија","неопрозан","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"анатомијапсихологија","анатомија","психологија","related","word","word",0.692926915797963,-0.0812277800450944,0.733061639110844,0.244353879703615,9,10,11,0,0.909090909090909,11,11,0,1,FALSE,FALSE,FALSE
"анатомијарука","анатомија","рука","unrelated","word","word",0.449283612098013,-0.548378348173833,0.739352876025381,0.205059592705483,13,13,14,0,0.928571428571429,13,14,0,0.928571428571429,FALSE,FALSE,FALSE
"андјош увек","анд","још увек","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"андскука","анд","скука","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"анђеођаво","анђео","ђаво","related","word","word",0.52011213869341,-0.554310623010337,0.976068709234917,0.218255598455975,20,20,20,0,1,19,20,0,0.95,FALSE,FALSE,FALSE
"анђеокамислиo","анђео","камислиo","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"анђеонавести","анђео","навести","unrelated","word","word",0.427860924517457,-0.372339835625318,0.841956133315679,0.253859325831505,11,11,12,0,0.916666666666667,12,12,0,1,FALSE,FALSE,FALSE
"анонимниаеродром","анонимни","аеродром","unrelated","word","word",0.443944180503761,-0.59192260005786,0.347111365521759,0.0818149334624527,18,20,20,2,1,19,21,1,0.904761904761905,FALSE,FALSE,FALSE
"анонимнинепознат","анонимни","непознат","related","word","word",0.470284699310667,-0.675793636056014,0.403558899684865,0.107855652714589,14,17,17,0,1,15,17,0,0.88235294117647,FALSE,FALSE,FALSE
"анонимниробњакдан","анонимни","робњакдан","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"антумвeрoвaтлефон","антум","вeрoвaтлефон","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"антумцивилизација","антум","цивилизација","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"апливаутобус","аплив","аутобус","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"апливигрибургер","аплив","игрибургер","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"апсолутномилост","апсолутно","милост","unrelated","word","word",0.398536639136735,0.425140328641971,1.63193424515432,0.616813166955463,7,8,8,0,1,6,7,1,0.857142857142857,FALSE,FALSE,FALSE
"апсолутнопотпуно","апсолутно","потпуно","related","word","word",0.544039717626967,-0.7168020101807,0.380411461668261,0.0951028654170653,16,16,16,2,1,17,17,1,1,FALSE,FALSE,FALSE
"апсолутнопрвaц","апсолутно","првaц","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"апсоскизвепан","апсоски","звепан","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"апсоскиосетљив","апсоски","осетљив","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ардпобедник","ард","победник","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ардпријаспортски","ард","пријаспортски","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аренабојно поље","арена","бојно поље","related","word","word",NA,0.175366650900925,1.1799721113567,0.278122093850445,18,19,19,0,1,16,19,0,0.842105263157895,FALSE,FALSE,FALSE
"аренадонација","арена","донација","unrelated","word","word",0.454298570836357,-0.241572902099471,1.08307906693035,0.279649812589807,15,16,17,0,0.941176470588235,16,17,0,0.941176470588235,FALSE,FALSE,FALSE
"аренамазао","арена","мазао","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"арсеналљуди","арсенал","људи","unrelated","word","word",0.47241060878796,-0.545598919772059,0.842017718992789,0.168403543798558,25,28,29,0,0.96551724137931,26,29,0,0.896551724137931,FALSE,FALSE,FALSE
"арсеналокута","арсенал","окута","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"арсеналоружарница","арсенал","оружарница","related","word","word",NA,0.80495897213808,0.920567105250724,0.246031907813034,14,15,18,0,0.833333333333333,15,18,0,0.833333333333333,FALSE,FALSE,FALSE
"арсестрадобровољно","арсестра","добровољно","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"арсестракостојно","арсестра","костојно","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"асинаповативашион","асинаповати","вашион","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"асинаповатигуштер","асинаповати","гуштер","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аснадалеко","асна","далеко","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аснаметав","асна","метав","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аспиларконцентрисати се","аспилар","концентрисати се","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аспиларуређа","аспилар","уређа","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аспиринморфијум","аспирин","морфијум","related","word","word",0.697626260423308,-0.360959374229259,0.35257946783128,0.0881448669578201,16,18,20,0,0.9,20,20,0,1,FALSE,FALSE,FALSE
"аспириносебрио","аспирин","осебрио","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аспиринчесто","аспирин","често","unrelated","word","word",0.363919554091273,-0.780141772400464,0.350465805406898,0.0715385329617034,24,25,25,1,1,25,25,1,1,FALSE,FALSE,FALSE
"астрокадеснимке","астрока","деснимке","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"астрокаприватност","астрока","приватност","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"астронастијамодрица","астронастија","модрица","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"астронастијафирок","астронастија","фирок","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"астронаутказати","астронаут","казати","unrelated","word","word",0.371781936743009,-0.387135649147601,0.540107699655818,0.162848598740029,11,11,12,1,0.916666666666667,12,12,1,1,FALSE,FALSE,FALSE
"астронаутпилот","астронаут","пилот","related","word","word",0.533335235550379,-0.666414984666234,0.700430197653008,0.121929246968022,33,36,36,0,1,35,35,1,1,FALSE,FALSE,FALSE
"астронаутхаигрити","астронаут","хаигрити","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"атомскинуклеарни","атомски","нуклеарни","related","word","word",0.615454183150441,0.0485716265913676,1.29631766653276,0.346455469470562,14,14,17,0,0.823529411764706,13,17,0,0.764705882352941,FALSE,FALSE,FALSE
"атомскиосвотара","атомски","освотара","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"атомскиписати","атомски","писати","unrelated","word","word",0.324142095295953,-0.859519539985409,0.301867574782131,0.064358383188081,22,23,25,1,0.92,23,25,1,0.92,FALSE,FALSE,FALSE
"атрактиванжеђ","атрактиван","жеђ","unrelated","word","word",0.398808161165473,-0.293510690217509,0.728458694417218,0.202038090367603,13,13,15,0,0.866666666666667,13,15,0,0.866666666666667,FALSE,FALSE,FALSE
"атрактиванпоуред","атрактиван","поуред","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"атрактиваншармантан","атрактиван","шармантан","related","word","word",0.673425649667976,-0.120389303887988,0.569580293998202,0.157973150423413,13,14,14,0,1,13,14,0,0.928571428571429,FALSE,FALSE,FALSE
"аукцијаасагента","аукција","асагента","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аукцијаорганизовати","аукција","организовати","unrelated","word","word",0.433534182847836,0.295306030178104,1.04002481322312,0.226952020534632,21,24,26,1,0.923076923076923,24,26,1,0.923076923076923,FALSE,FALSE,FALSE
"аукцијапродаја","аукција","продаја","related","word","word",0.519658294426518,-0.840326696266046,0.312577897545544,0.0717102877571283,19,20,20,0,1,18,20,0,0.9,FALSE,FALSE,FALSE
"аустебеда","аусте","беда","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аустекендани ток","аусте","кендани ток","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аутограмкисеоник","аутограм","кисеоник","unrelated","word","word",0.330070812172356,-0.609985035864668,0.532205622775058,0.142237935695637,14,14,14,0,1,14,14,0,1,FALSE,FALSE,FALSE
"аутограмреосновница","аутограм","реосновница","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аутограмфотограф","аутограм","фотограф","related","word","word",0.669992860959095,-0.541098249948212,0.496606747305539,0.111044644506025,20,21,22,1,0.954545454545455,22,22,1,1,FALSE,FALSE,FALSE
"аутолостспаваћа соба","аутолост","спаваћа соба","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аутолостхирур локум","аутолост","хирур локум","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ауторглумац","аутор","глумац","related","word","word",0.487600610960297,-1.01880585784376,0.181063164263057,0.0348456222092004,27,30,30,1,1,30,30,1,1,FALSE,FALSE,FALSE
"аутормагла","аутор","магла","unrelated","word","word",0.353198168296446,-0.687849409158417,0.711030646164655,0.214383806161101,11,11,11,0,1,11,11,0,1,FALSE,FALSE,FALSE
"ауторшеф кемиље","аутор","шеф кемиље","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"африкаамерика","африка","америка","related","word","word",0.730529110717365,-0.785075092791231,0.356910178406961,0.0921538118041386,15,15,16,0,0.9375,15,16,0,0.9375,FALSE,FALSE,FALSE
"африкаблиструк","африка","блиструк","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"африкаодвратан","африка","одвратан","unrelated","word","word",0.443715790751878,-0.0544308443074624,0.518093949237469,0.115849328922631,20,20,20,3,1,20,20,3,1,FALSE,FALSE,FALSE
"ацкискреност","ацк","искреност","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ацкнешашен","ацк","нешашен","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"бавашоткуастрона","баваш","откуастрона","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"бавашпсихолошки","баваш","психолошки","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"бављунезгодћа","бављу","незгодћа","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"бављупривући","бављу","привући","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"бавнааутомобил","бавна","аутомобил","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"бавнаосвотара","бавна","освотара","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"багемвраноћа","багем","враноћа","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
