"word_combo","ko_cue","ko_target","type","cue_type","target_type","ko_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"가수상관 대리","가수","상관 대리","unrelated","word","word",0,1.46679101476611,1.85099353526725,0.261770016143987,50,69,129,5,0.534883720930233,118,130,4,0.907692307692308,FALSE,TRUE,TRUE
"가수음악가","가수","음악가","related","word","word",0.507509724949811,-0.48684179801142,0.706646258137041,0.0970653285299348,53,58,58,2,1,57,59,1,0.966101694915254,FALSE,TRUE,TRUE
"가스연료","가스","연료","related","word","word",0.431117748839036,-0.406961179811186,0.542795153673895,0.0745586484172615,53,59,62,1,0.951612903225806,59,62,1,0.951612903225806,TRUE,TRUE,TRUE
"가스지키다","가스","지키다","unrelated","word","word",0.103143179121097,-0.387568161165511,0.441161113637207,0.0605981393614384,53,63,65,4,0.969230769230769,61,65,4,0.938461538461538,TRUE,TRUE,TRUE
"가스페랄","가스","페랄","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가엔권한","가엔","권한","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가엔애설","가엔","애설","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가엔짐자승","가엔","짐자승","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가엔추운","가엔","추운","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가잖느행","가잖","느행","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가잖보드카","가잖","보드카","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가져오다그나건","가져오다","그나건","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가져오다보내다","가져오다","보내다","related","word","word",NA,-0.575509410223287,0.481072121053286,0.0648677515698051,55,57,58,2,0.982758620689655,56,58,2,0.96551724137931,TRUE,TRUE,TRUE
"가져오다합법적 인","가져오다","합법적 인","unrelated","word","word",0,0.676543736935432,1.42038705679377,0.19697224477982,52,60,77,4,0.779220779220779,77,78,3,0.987179487179487,FALSE,TRUE,TRUE
"가져해제맥주","가져해제","맥주","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가져해제에베차","가져해제","에베차","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가짜거짓","가짜","거짓","related","word","word",0.27904810965178,-0.569266631294781,0.937008293195952,0.129939671025115,52,62,65,1,0.953846153846154,59,65,1,0.907692307692308,FALSE,TRUE,TRUE
"가짜결과","가짜","결과","unrelated","word","word",0.0191878097461107,-0.295934056555799,0.982094557419743,0.134901062258114,53,58,61,2,0.950819672131147,60,61,2,0.983606557377049,FALSE,TRUE,TRUE
"가짜많하","가짜","많하","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가추물사업","가추물","사업","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가추물캔모","가추물","캔모","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가추형들리다","가추형","들리다","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가추형러명","가추형","러명","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가톨릭기독교","가톨릭","기독교","related","word","word",0.544913312522367,-0.582449835314049,0.363542705314376,0.047735495827004,58,64,65,1,0.984615384615385,59,64,2,0.921875,TRUE,TRUE,TRUE
"가톨릭뽐내물","가톨릭","뽐내물","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가톨릭추천하다","가톨릭","추천하다","unrelated","word","word",0,-0.303512305353457,0.533222257858678,0.0725623584026956,54,65,66,3,0.984848484848485,62,66,3,0.93939393939394,TRUE,TRUE,TRUE
"각지러프왔니","각지","러프왔니","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"각지카우보이","각지","카우보이","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"간다한깨어된 것","간다한","깨어된 것","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"간다한신비","간다한","신비","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"간단한단순한","간단한","단순한","related","word","word",0.404496698046979,-0.606285772109649,0.756830302746034,0.0993766873337256,58,63,66,4,0.954545454545455,62,66,4,0.93939393939394,FALSE,TRUE,TRUE
"간단한망버","간단한","망버","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"간단한작가","간단한","작가","unrelated","word","word",0.105317126257968,-0.618425659176816,0.621406927070569,0.0717538913240982,75,89,92,4,0.967391304347826,81,90,6,0.9,TRUE,TRUE,TRUE
"간식보코","간식","보코","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"간식원기","간식","원기","unrelated","word","word",0,0.441021609229264,0.962917002095657,0.123288888582666,61,68,78,0,0.871794871794872,73,78,0,0.935897435897436,FALSE,TRUE,TRUE
"간식점심","간식","점심","related","word","word",0.491188634063238,-0.591652746487268,0.881739227655483,0.121116197566439,53,65,68,3,0.955882352941177,66,68,3,0.970588235294118,FALSE,TRUE,TRUE
"간지림증은","간지림","증은","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"간지림지갑","간지림","지갑","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"간지한스파버틸","간지한","스파버틸","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"간지한치즈","간지한","치즈","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"갇힐위고상민","갇힐위","고상민","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"갇힐위묘지","갇힐위","묘지","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"갈등논쟁","갈등","논쟁","related","word","word",0.434634858783093,-0.229837781517969,1.23431640814627,0.166435190521667,55,58,61,4,0.950819672131147,57,59,6,0.966101694915254,FALSE,TRUE,TRUE
"갈등대령","갈등","대령","unrelated","word","word",0.0616040878594381,-0.417116309771503,0.76059244038625,0.106504244633513,51,58,59,2,0.983050847457627,57,58,3,0.982758620689655,FALSE,TRUE,TRUE
"갈등올리하다","갈등","올리하다","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"갈색몰았사자","갈색","몰았사자","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"갈색푸른","갈색","푸른","related","word","word",0.4013159135415,-0.680351059432422,0.470412304552343,0.0597424224205998,62,72,76,0,0.947368421052632,72,76,0,0.947368421052632,TRUE,TRUE,TRUE
"갈색품질","갈색","품질","unrelated","word","word",0.147961812088998,-0.530908316142528,0.435374759455626,0.0598033224878497,53,57,57,2,1,54,57,2,0.947368421052632,TRUE,TRUE,TRUE
"갈수반부자","갈수반","부자","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"갈수반찮리","갈수반","찮리","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"감자리티","감자","리티","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"감자유죄한","감자","유죄한","unrelated","word","word",0,0.108271964265161,1.53673780266649,0.215186333944685,51,70,106,7,0.660377358490566,102,107,6,0.953271028037383,FALSE,TRUE,TRUE
"감자토마토","감자","토마토","related","word","word",0.436971506415517,-0.629164070202837,0.501736998560847,0.0653205934414239,59,64,65,3,0.984615384615385,65,66,2,0.984848484848485,TRUE,TRUE,TRUE
"감지기송신기","감지기","송신기","related","word","word",0.555763634796356,-0.460471146386728,0.457727328419711,0.0622887997753127,54,61,67,0,0.91044776119403,48,67,0,0.716417910447761,TRUE,TRUE,TRUE
"감지기의사","감지기","의사","unrelated","word","word",0.0770216331496332,-0.489424235110392,0.825517536156837,0.114478684823391,52,56,60,5,0.933333333333333,39,59,6,0.661016949152542,FALSE,TRUE,TRUE
"감지기중신","감지기","중신","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"갑자기뜻밖에","갑자기","뜻밖에","related","word","word",0.259506723121444,-0.205717215932642,0.621364898500538,0.0837848258217098,55,61,63,3,0.968253968253968,59,63,3,0.936507936507937,TRUE,TRUE,TRUE
"갑자기알약","갑자기","알약","unrelated","word","word",0.151208287548028,-0.282476500978324,0.542801411828601,0.0752730124131641,52,60,62,2,0.967741935483871,58,62,2,0.935483870967742,TRUE,TRUE,TRUE
"갑자기적일","갑자기","적일","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"값가격","값","가격","related","word","word",0.536217846664986,-0.792660914145457,0.383789932100422,0.0527176015111431,53,57,59,0,0.966101694915254,57,59,0,0.966101694915254,TRUE,TRUE,TRUE
"값끊비","값","끊비","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"값끔찍한","값","끔찍한","unrelated","word","word",0.087877406394254,-0.290086909567759,0.597794278036101,0.0813494973524391,54,65,65,6,1,63,65,6,0.969230769230769,TRUE,TRUE,TRUE
"강동정심","강","동정심","unrelated","word","word",0.0262635704223836,-0.306691765681859,0.427983560823629,0.0582411856842945,54,66,70,6,0.942857142857143,63,69,7,0.91304347826087,TRUE,TRUE,TRUE
"강인한단단한","강인한","단단한","related","word","word",0.38720923809549,-0.453670313850157,0.717990030539673,0.0959454536213863,56,61,66,4,0.924242424242424,62,67,3,0.925373134328358,FALSE,TRUE,TRUE
"강인한배","강인한","배","unrelated","word","word",0.0740352809300892,-0.54591483018972,0.352261834484364,0.04707296768132,56,62,66,3,0.93939393939394,60,67,2,0.895522388059702,TRUE,TRUE,TRUE
"강인한소리","강인한","소리","unrelated","word","word",NA,-0.633866901848256,0.545083966348965,0.0778691380498521,49,60,60,1,1,54,59,2,0.915254237288136,TRUE,TRUE,FALSE
"강인한저안","강인한","저안","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"강철 장자석은","강철 장자","석은","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"강철 장자행정","강철 장자","행정","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"강한매뇌의","강한","매뇌의","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"강한미","강","한미","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"강한서부","강한","서부","unrelated","word","word",0.147160634682797,-0.116445155834759,0.561030976345422,0.0778009981668094,52,63,70,3,0.9,65,71,2,0.915492957746479,TRUE,TRUE,TRUE
"강한약한","강한","약한","related","word","word",0.356301463195221,-0.369299018323493,1.28075819248936,0.168171789611644,58,61,65,4,0.938461538461538,61,65,4,0.938461538461538,FALSE,TRUE,TRUE
"강호수","강","호수","related","word","word",0.466111752023595,-0.720143975918118,0.319709428076179,0.0431096104874324,55,70,71,2,0.985915492957746,67,71,2,0.943661971830986,TRUE,TRUE,TRUE
"갖조하다곱하","갖조하다","곱하","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"갖조하다상관 대리","갖조하다","상관 대리","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"같았 그대로음엔","같았 그대로","음엔","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"같았 그대로장난감","같았 그대로","장난감","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"개고양이","개","고양이","related","word","word",0.323942314389819,-0.727170749023292,0.352550235254313,0.0458981311937923,59,71,73,1,0.972602739726027,69,73,1,0.945205479452055,TRUE,TRUE,TRUE
"개구리길","개구리","길","unrelated","word","word",0.174817033076368,-0.510709876335389,1.27404938038533,0.175004141388207,53,68,70,3,0.971428571428571,69,70,3,0.985714285714286,FALSE,TRUE,TRUE
"개구리날두","개구리","날두","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"개구리도마뱀","개구리","도마뱀","related","word","word",0.471732971152288,-0.347185399152614,0.97515179185,0.129162010135528,57,72,72,4,1,72,73,3,0.986301369863014,FALSE,TRUE,TRUE
"개념스박같은","개념","스박같은","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"개념영광","개념","영광","unrelated","word","word",NA,-0.517358989278596,0.552977277114927,0.0806600258248977,47,58,60,1,0.966666666666667,55,60,1,0.916666666666667,TRUE,TRUE,FALSE
"개념자주","개념","자주","unrelated","word","word",0.128852803320108,-0.664976421303693,0.395935089911453,0.0543858672373121,53,63,63,5,1,62,63,5,0.984126984126984,TRUE,TRUE,TRUE
"개념정의","개념","정의","related","word","word",0.429206583219305,-0.655245678443233,0.901638193181713,0.108544483060892,69,87,88,1,0.988636363636364,86,88,1,0.977272727272727,FALSE,TRUE,TRUE
"개보최근에","개보","최근에","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"개보피드","개보","피드","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"개새주팔다","개새주","팔다","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"개새주하냐 조달","개새주","하냐 조달","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"개인적인목 마름","개인적인","목 마름","unrelated","word","word",0,0.430708207044646,1.34576504528045,0.175203685681121,59,70,83,4,0.843373493975904,79,83,4,0.951807228915663,FALSE,TRUE,TRUE
"개인적인무통","개인적인","무통","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"개인적인친밀한","개인적인","친밀한","related","word","word",0.394256128868913,-0.496037750592259,0.370029231881049,0.0462536539851311,64,70,75,5,0.933333333333333,74,76,4,0.973684210526316,TRUE,TRUE,TRUE
"개조사","개","조사","unrelated","word","word",0.143521643325004,-0.404450408948255,0.862694501510313,0.122003426422058,50,55,56,0,0.982142857142857,52,56,0,0.928571428571429,FALSE,TRUE,TRUE
"개중팔","개","중팔","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"갤러리길이","갤러리","길이","unrelated","word","word",0.0903766390139748,-0.220486534223983,1.07861314608717,0.130801056779329,68,80,88,5,0.909090909090909,80,87,6,0.919540229885057,FALSE,TRUE,TRUE
"갤러리리엘","갤러리","리엘","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"갤러리전시회","갤러리","전시회","related","word","word",0.418835694558377,-0.663815049817216,0.47370810777815,0.0616715426744241,59,75,76,0,0.986842105263158,75,76,0,0.986842105263158,TRUE,TRUE,TRUE
"걀몽다하앤서","걀몽다하","앤서","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"걀몽다하원기","걀몽다하","원기","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"걔한아둔순한","걔한","아둔순한","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"걔한혼합물","걔한","혼합물","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"거뛸미어롭토 머니댜니 네다다","거뛸","미어롭토 머니댜니 네다다","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"거뛸전투","거뛸","전투","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"거룩한리토","거룩한","리토","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"거룩한버스","거룩한","버스","unrelated","word","word",0.0653061955172584,-0.152627654714419,0.969144385782101,0.126171852168151,59,67,71,2,0.943661971830986,66,70,3,0.942857142857143,FALSE,TRUE,TRUE
"거룩한영광","거룩한","영광","related","word","word",0.580496375080499,-0.565567819441591,0.507356383566569,0.0696907589696713,53,60,61,3,0.983606557377049,58,61,3,0.950819672131147,TRUE,TRUE,TRUE
"거리누르다","거리","누르다","unrelated","word","word",0,-0.413568869067075,0.693586645398884,0.0961831620754899,52,53,56,2,0.946428571428571,52,56,2,0.928571428571429,FALSE,TRUE,TRUE
"거리속도","거리","속도","related","word","word",0.267633761854603,-0.737773718819455,0.475107798103646,0.0629295651682205,57,63,66,4,0.954545454545455,64,66,4,0.96969696969697,TRUE,TRUE,TRUE
"거리응괴","거리","응괴","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"거미곤충","거미","곤충","related","word","word",0.486868140070749,-0.219741142426528,0.704099911491091,0.0932603115376584,57,65,69,0,0.942028985507246,65,69,0,0.942028985507246,FALSE,TRUE,TRUE
"거미시해","거미","시해","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"거미요구","거미","요구","unrelated","word","word",0.0939550897043781,-0.497297166292835,0.605768079737194,0.0832086450548154,53,59,63,2,0.936507936507937,58,63,2,0.920634920634921,TRUE,TRUE,TRUE
"거였이성기","거였이","성기","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"거였이하겠물","거였이","하겠물","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"거위오리","거위","오리","related","word","word",0.398177551831804,-0.632534836414079,0.710206125868703,0.0909325764654584,61,68,69,0,0.985507246376812,68,69,0,0.985507246376812,FALSE,TRUE,TRUE
"거위의도적으로","거위","의도적으로","unrelated","word","word",0.16177526853622,-0.0268648664604538,0.865388705205206,0.117764486495587,54,64,66,1,0.96969696969697,63,66,1,0.954545454545455,FALSE,TRUE,TRUE
"거위클레사","거위","클레사","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"거절높은","거절","높은","unrelated","word","word",0.0837000420486607,-0.539201899677639,0.665557562033275,0.0889388702966093,56,67,69,1,0.971014492753623,64,69,1,0.927536231884058,TRUE,TRUE,TRUE
"거절동의","거절","동의","related","word","word",0.49873457910562,-0.390510307060474,0.737575266888569,0.0835139535650997,78,89,93,4,0.956989247311828,87,92,5,0.945652173913043,TRUE,TRUE,TRUE
"거절신부한","거절","신부한","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"거존한상징","거존한","상징","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"거존한스이","거존한","스이","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"거주자엉덩이","거주자","엉덩이","unrelated","word","word",0,-0.583453879809811,0.498764590326018,0.0678732637815019,54,61,65,1,0.938461538461538,62,65,1,0.953846153846154,TRUE,TRUE,TRUE
"거주자집주인","거주자","집주인","related","word","word",NA,-0.558912120483418,0.386273795194452,0.0530587863465103,53,61,63,1,0.968253968253968,58,63,1,0.920634920634921,TRUE,TRUE,TRUE
"거주자파학 없는","거주자","파학 없는","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"거짓말하다거짓말 쟁이","거짓말하다","거짓말 쟁이","related","word","word",NA,0.329660649765216,1.4911858232313,0.201071455385936,55,61,67,3,0.91044776119403,65,67,3,0.970149253731343,FALSE,TRUE,TRUE
"거짓말하다수도희","거짓말하다","수도희","unrelated","word","word",0,-0.274094169449673,0.697725944638139,0.110320158382453,40,54,168,12,0.321428571428571,170,174,6,0.977011494252874,FALSE,TRUE,FALSE
"거짓말하다장한","거짓말하다","장한","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"걱자~에 대한","걱자","~에 대한","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
