"word_combo","ar_cue","ar_target","type","cue_type","target_type","ar_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"أبارالرياضيات","أبار","الرياضيات","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أبارلزيقة","أبار","لزيقة","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أبديافال","أبدي","افال","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أبديذراع","أبدي","ذراع","unrelated","word","word",0.0900931597146715,-0.0140737332261426,1.00992305388508,0.269913289617315,14,16,16,1,1,14,16,1,0.875,FALSE,FALSE,FALSE
"أبديمدى الحياة","أبدي","مدى الحياة","related","word","word",NA,-0.355791160420541,0.798605454581317,0.183212656435806,19,21,22,0,0.954545454545455,21,22,0,0.954545454545455,FALSE,FALSE,FALSE
"أبقاسيجارة","أبقا","سيجارة","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أبقايوترو","أبقا","يوترو","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أبيضأسود","أبيض","أسود","related","word","word",0.693179427970895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أبيضمسرح","أبيض","مسرح","unrelated","word","word",0.143559445201745,-0.515796761884047,0.435199624195898,0.217599812097949,4,4,6,2,0.666666666666667,4,6,2,0.666666666666667,FALSE,FALSE,FALSE
"أبيضيازك","أبيض","يازك","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أحخلتدورية","أحخلت","دورية","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أحخلتفويع","أحخلت","فويع","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أحسنتأكولة","أحسنت","أكولة","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أحسنتألفا","أحسنت","ألفا","related","word","word",0.186388211114677,-0.686874107313569,NA,NA,1,2,7,0,0.285714285714286,7,7,0,1,FALSE,FALSE,FALSE
"أحسنتسلامة","أحسنت","سلامة","unrelated","word","word",0.107590562454705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أحمر الشفاهتركيز","أحمر الشفاه","تركيز","unrelated","word","word",NA,-0.635228874465597,0.5396378769869,0.241333395235276,5,5,5,0,1,5,5,0,1,FALSE,FALSE,FALSE
"أحمر الشفاهعطر","أحمر الشفاه","عطر","related","word","word",NA,-0.971890123750719,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"أحمر الشفاهوظاح","أحمر الشفاه","وظاح","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أحمرالأصفر","أحمر","الأصفر","related","word","word",0.539403495229095,-1.11123152187868,NA,NA,1,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"أحمرمدقبة","أحمر","مدقبة","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أحمرمدير","أحمر","مدير","unrelated","word","word",0.0477466166946763,0.122932930424306,1.35675205697228,0.606757965600536,5,5,5,0,1,5,5,0,1,FALSE,FALSE,FALSE
"أخاميالإشارة","أخامي","الإشارة","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أخاميرأبراطورية","أخامي","رأبراطورية","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أختبرئيس","أختب","رئيس","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أختبيوجوبر","أختب","يوجوبر","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أختشقيق","أخت","شقيق","related","word","word",0.563246558631671,-0.496893226390365,0.237605416504198,0.106260372625107,5,5,5,0,1,5,5,0,1,FALSE,FALSE,FALSE
"أختكاتيف","أخت","كاتيف","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أختكلاسيكي","أخت","كلاسيكي","unrelated","word","word",0.124279829263464,-0.00169755866721284,1.20964249410896,0.427673205197926,8,11,11,1,1,11,11,1,1,FALSE,FALSE,FALSE
"أخذالبنتر","أخذ","البنتر","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أخذخطأ","أخذ","خطأ","unrelated","word","word",0.116728465165071,-0.7505486160633,0.244897575128962,0.141391680924593,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"أخذيختطف","أخذ","يختطف","related","word","word",0.237071799592145,0.077599335142483,0.653372284454739,0.292196968531025,5,5,5,0,1,4,5,0,0.8,FALSE,FALSE,FALSE
"أخضربرتقالي","أخضر","برتقالي","related","word","word",0.541327528856078,-0.540423724102913,0.026895435317631,0.019017944696061,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"أخضركرامة","أخضر","كرامة","unrelated","word","word",0.0894424555813932,0.40260521291276,0.931168629203492,0.465584314601746,4,5,5,0,1,5,5,0,1,FALSE,FALSE,FALSE
"أخضرماتباه","أخضر","ماتباه","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أخطواديلتبر","أخطوا","ديلتبر","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أخطوامطعم","أخطوا","مطعم","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أخيرأقصى","أخير","أقصى","related","word","word",0.193620101114946,0.662858786468057,2.68234603862241,1.1995816163074,5,6,6,0,1,5,5,1,1,FALSE,FALSE,FALSE
"أخيراآلة","أخيرا","آلة","unrelated","word","word",0.140275826103758,0.171387070374053,1.37904211769036,0.459680705896788,9,9,9,0,1,9,9,0,1,FALSE,FALSE,FALSE
"أخيرابضارير","أخيرا","بضارير","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أخيرافي النهاية","أخيرا","في النهاية","related","word","word",NA,0.109622401871876,1.18931413464675,0.485535462294044,6,8,8,1,1,8,8,1,1,FALSE,FALSE,FALSE
"أخيرموهبة","أخير","موهبة","unrelated","word","word",0.0543123267500038,-0.471327779745338,0.641395201278422,0.151178298748161,18,24,24,0,1,24,24,0,1,FALSE,FALSE,FALSE
"أخيريقيـ","أخير","يقيـ","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أداةآلة","أداة","آلة","related","word","word",0.586806150962368,-0.703278436309003,0.378427016159403,0.126142338719801,9,9,9,1,1,9,9,1,1,FALSE,FALSE,FALSE
"أداةسكران","أداة","سكران","unrelated","word","word",0.100824520242553,-0.506158828779314,0.317046117960513,0.141787334352425,5,5,5,0,1,5,5,0,1,FALSE,FALSE,FALSE
"أداةمصبا","أداة","مصبا","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أداسثوال","أداس","ثوال","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أداسحالة طوارئ","أداس","حالة طوارئ","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أدخلاذهب","أدخل","اذهب","related","word","word",0.3726893093689,-1.25256981395734,NA,NA,1,1,2,0,0.5,1,2,0,0.5,FALSE,FALSE,FALSE
"أدخلرقبة","أدخل","رقبة","unrelated","word","word",0.0569635758189667,-0.533227895574799,0.31611689887389,0.091255088330115,12,16,17,0,0.941176470588235,16,17,0,0.941176470588235,FALSE,FALSE,FALSE
"أدخلمهتحم","أدخل","مهتحم","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أدطفعبالة","أدطف","عبالة","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أدطفمجنون","أدطف","مجنون","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أدغالإصابة","أدغال","إصابة","unrelated","word","word",0.136705677712781,-0.394026994198639,NA,NA,1,2,2,0,1,1,2,0,0.5,FALSE,FALSE,FALSE
"أدغالغابة","أدغال","غابة","related","word","word",0.486799106017984,-0.183528566107639,0.712700529048116,0.31872936611033,5,5,6,3,0.833333333333333,5,7,2,0.714285714285714,FALSE,FALSE,FALSE
"أدغالموسيغي","أدغال","موسيغي","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أديراقتلالة","أديراق","تلالة","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أديراقصوت","أديراق","صوت","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أراضةالمونن","أراضة","المونن","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أراضةواسع","أراضة","واسع","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أرضيةالمبمر","أرضية","المبمر","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أرضيةاليونانية","أرضية","اليونانية","unrelated","word","word",0.146780038131025,0.0480051426622381,0.676447691186837,0.155187743498675,19,20,22,3,0.909090909090909,21,22,3,0.954545454545455,FALSE,FALSE,FALSE
"أرضيةسجادة","أرضية","سجادة","related","word","word",0.464220720272646,-0.168462267898842,0.955021571710677,0.225100743178685,18,22,22,1,1,22,22,1,1,FALSE,FALSE,FALSE
"أرعبوةإضار","أرعبوة","إضار","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أرعبوةخائن","أرعبوة","خائن","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أرملةامرأة","أرملة","امرأة","related","word","word",0.347166999851639,-0.525946943688338,0.543752178742022,0.313935466769152,3,3,3,1,1,3,3,1,1,FALSE,FALSE,FALSE
"أرملةتحقك","أرملة","تحقك","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أرملةشاحنة صغيرة","أرملة","شاحنة صغيرة","unrelated","word","word",NA,-0.535553524122864,0.275140490723457,0.158852436384153,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"أزئدإرجاع","أزئد","إرجاع","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أزئداصيل","أزئد","اصيل","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أزاددماتل","أزاد","دماتل","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أزاديحظر","أزاد","يحظر","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أسابفشل","أساب","فشل","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أسابمبشي","أساب","مبشي","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أساقينبيتيار","أساقين","بيتيار","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أساقينمبكرا","أساقين","مبكرا","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أسبرينسجص","أسبرين","سجص","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أسبرينمورفين","أسبرين","مورفين","related","word","word",0.534130464157335,0.916133609211179,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"أسبرينيدور في مدار","أسبرين","يدور في مدار","unrelated","word","word",NA,0.710914934953151,0.620196234170907,0.196123269623922,10,11,11,1,1,5,11,1,0.454545454545455,FALSE,FALSE,FALSE
"أستجاجالشيلس","أستجاج","الشيلس","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أستجاجتقرير","أستجاج","تقرير","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أسقفالحضارة","أسقف","الحضارة","unrelated","word","word",0.131497770592475,-0.536744368744335,0.327947692259239,0.231894037070987,2,2,3,0,0.666666666666667,3,3,0,1,FALSE,FALSE,FALSE
"أسقفالمحترون","أسقف","المحترون","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أسقفكاردينال","أسقف","كاردينال","related","word","word",0.416703966663534,-0.340964737917382,0.992612113518029,0.701882756556509,2,3,10,0,0.3,8,10,0,0.8,FALSE,FALSE,FALSE
"أشمياءيجورع","أشمياء","يجورع","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أشمياءيقترح","أشمياء","يقترح","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أصابافتراض","أصاب","افتراض","unrelated","word","word",0.0770815693525113,-0.288306984623023,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"أصاباوام","أصاب","اوام","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أصابيضرب","أصاب","يضرب","related","word","word",0.325327861161187,0.846085832795977,2.35859621187254,0.96289287139151,6,7,7,0,1,6,7,0,0.857142857142857,FALSE,FALSE,FALSE
"أصرةيتذكر","أصرة","يتذكر","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أصرةيقتقم","أصرة","يقتقم","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أصليخلور","أصلي","خلور","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أصلينسخة","أصلي","نسخة","related","word","word",0.215636344865524,-0.207030066339111,1.39253282317241,0.803979200313982,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"أصلييعِد","أصلي","يعِد","unrelated","word","word",NA,0.124100572297528,0.0201951363254908,0.0142801178427413,2,2,3,0,0.666666666666667,3,3,0,1,FALSE,FALSE,FALSE
"أعجوخحوب","أعجوخ","حوب","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أعجوخسلاح المدفعية","أعجوخ","سلاح المدفعية","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أعدنغالخرصر","أعدنغ","الخرصر","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أعدنغمنديل","أعدنغ","منديل","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أعلىامرأة","أعلى","امرأة","unrelated","word","word",0.136048352194361,-0.668405307673227,0.401788133271157,0.0876773587642897,21,25,25,1,1,24,25,1,0.96,FALSE,FALSE,FALSE
"أعلىراظمة","أعلى","راظمة","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أعلىسفلي","أعلى","سفلي","related","word","word",0.287196792996347,NA,NA,NA,NA,0,1,1,0,0,1,1,0,FALSE,FALSE,NA
"أعمىاطرش","أعمى","اطرش","related","word","word",0.230354315687508,0.749059402388012,1.83993937188095,0.650516803414568,8,8,8,1,1,9,9,0,1,FALSE,FALSE,FALSE
"أعمىشخصية","أعمى","شخصية","unrelated","word","word",0.144992722619894,-0.59523791834345,0.251728467458874,0.0796035309073621,10,13,13,0,1,13,13,0,1,FALSE,FALSE,FALSE
"أعمىيعاش","أعمى","يعاش","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أفريقياأمريكا","أفريقيا","أمريكا","related","word","word",0.510120459466654,-0.4581038369367,0.811736083841001,0.363019412651589,5,5,5,0,1,5,5,0,1,FALSE,FALSE,FALSE
"أفريقياالأكسجين","أفريقيا","الأكسجين","unrelated","word","word",0.123506977132169,-0.62043171818539,0.518741732025313,0.366805796399554,2,3,3,0,1,2,3,0,0.666666666666667,FALSE,FALSE,FALSE
"أفريقياونر","أفريقيا","ونر","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أفنيزأنثى","أفنيز","أنثى","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أفنيزلذاغ","أفنيز","لذاغ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أقامرةتلاعب","أقامرة","تلاعب","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أقامرةورن","أقامرة","ورن","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أقفكابر","أقفك","ابر","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أقفكيسبح","أقفك","يسبح","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ألبومأغنية","ألبوم","أغنية","related","word","word",0.502718441613204,-0.505940517656627,0.653151173464444,0.139252298071127,22,24,24,1,1,20,24,1,0.833333333333333,FALSE,FALSE,FALSE
"ألبومالدوزاة","ألبوم","الدوزاة","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ألبومالسعر","ألبوم","السعر","unrelated","word","word",0.0775375646341686,-0.816205745161349,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"ألفعمل","ألف","عمل","unrelated","word","word",0.107113301671143,-0.549773964862035,0.675033609738898,0.203530291307557,11,12,12,0,1,11,12,0,0.916666666666667,FALSE,FALSE,FALSE
"ألفمائة","ألف","مائة","related","word","word",0.645240048351543,-0.691734741313348,0.0835228823107008,0.0590595964661424,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"ألفوجما","ألف","وجما","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ألملالبيسبول","ألمل","البيسبول","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ألملبيولبلي","ألمل","بيولبلي","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ألونمبوليا","ألونم","بوليا","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ألونمصحافي","ألونم","صحافي","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أمأب","أم","أب","related","word","word",0.331285586412614,-1.44469117331045,0.533982026952578,0.308294667003493,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"أماميحقا","أمامي","حقا","unrelated","word","word",0.113641784954162,-0.304062632015672,0.419331386897176,0.171191321838613,6,6,6,0,1,6,6,0,1,FALSE,FALSE,FALSE
"أماميفاروس","أمامي","فاروس","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أماميمؤخرة","أمامي","مؤخرة","related","word","word",0.175801822490423,-0.0645990063461695,0.988554419026046,0.264202281726916,14,14,14,2,1,14,14,2,1,FALSE,FALSE,FALSE
"أمرترتيب","أمر","ترتيب","related","word","word",0.205988244164694,-0.602094417213493,0.729463301838172,0.210577916840111,12,12,13,0,0.923076923076923,11,13,0,0.846153846153846,FALSE,FALSE,FALSE
"أمرداثي","أمر","داثي","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أمرعصفور","أمر","عصفور","unrelated","word","word",0.0828491673478306,-0.402193735209633,0.343437817454615,0.153590061174537,5,6,6,0,1,5,6,0,0.833333333333333,FALSE,FALSE,FALSE
"أمغضب","أم","غضب","unrelated","word","word",0.116612146090274,-0.0800922974086532,0.869069576792224,0.307262495536352,8,9,10,0,0.9,9,10,0,0.9,FALSE,FALSE,FALSE
"أملأزرق","أمل","أزرق","unrelated","word","word",0.120226714890095,-0.564091617113893,0.605720264134185,0.118791517176876,26,31,31,1,1,31,31,1,1,FALSE,FALSE,FALSE
"أملإيمان","أمل","إيمان","related","word","word",0.41081300465337,0.0909974399731506,1.58609797216586,1.12154063174471,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"أملثوركز","أمل","ثوركز","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أمواوتر","أم","واوتر","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أميرةأمير","أميرة","أمير","related","word","word",0.602433053691967,-0.95965201293687,0.359843264857106,0.119947754952369,9,11,11,1,1,10,11,1,0.909090909090909,FALSE,FALSE,FALSE
"أميرةاضور","أميرة","اضور","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أميرةيجتمع","أميرة","يجتمع","unrelated","word","word",0.0957446714093749,-0.253534714703537,0.708566312950064,0.196520936415994,13,15,16,1,0.9375,14,16,1,0.875,FALSE,FALSE,FALSE
"أنبونخوف","أنبون","خوف","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أنبونمدقبة","أنبون","مدقبة","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أنفلوناضجرذ","أنفلوناض","جرذ","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أنفلوناضمكانعرا","أنفلوناض","مكانعرا","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أنفلونزاانتخابات","أنفلونزا","انتخابات","unrelated","word","word",0.111261880727376,-0.0282579204876205,0.665265384297827,0.251446680387409,7,7,7,2,1,6,7,2,0.857142857142857,FALSE,FALSE,FALSE
"أنفلونزاتواصك","أنفلونزا","تواصك","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"أنفلونزامرض","أنفلونزا","مرض","related","word","word",0.499066116756579,-0.387648892101117,0.640622271569084,0.139795240539994,21,27,27,1,1,23,27,1,0.851851851851852,FALSE,FALSE,FALSE
