"sv_cue","sv_target","type","cue_type","target_type","sv_cosine"
"topp","botten","related","word","word",0.410858288215523
"washington","botton","related","word","word",NA
"excellent","bra","related","word","word",0.261750274893154
"gas","bränsle","related","word","word",0.334866928908392
"smal","bred","related","word","word",0.46635292055416
"telegram","brev","related","word","word",0.581062086546343
"engagemang","bröllop","related","word","word",0.148250176410028
"kille","bror","related","word","word",0.336302626546169
"syster","bror","related","word","word",0.619335082949319
"barnbarn","brorson","related","word","word",0.313474084602205
"mage","bröst","related","word","word",0.441309162141667
"synd","brottslighet","related","word","word",0.295733294194612
"brudgum","brud","related","word","word",0.544439203541028
"tåg","buss","related","word","word",0.584727541352264
"läger","by","related","word","word",0.322050790253035
"konstruktion","bygga","related","word","word",0.379181660338895
"torn","byggnad","related","word","word",0.336561020522029
"fast","byrå","related","word","word",0.0422068078918166
"picknick","camping","related","word","word",0.415180845130297
"tumör","cancer","related","word","word",0.510632765642404
"mile","centimeter","related","word","word",0.385369151937456
"hjärna","cerebral","related","word","word",0.309715948325815
"ritual","ceremoni","related","word","word",0.47156107343821
"vin","champagne","related","word","word",0.552523068236635
"attraktiv","charmig","related","word","word",0.448128008049801
"chef","chef","related","word","word",1
"socker","choklad","related","word","word",0.396407415505766
"tobak","cigarett","related","word","word",0.467478277898193
"rök","cigarr","related","word","word",0.34429602985306
"zoo","cirkus","related","word","word",0.456139086335436
"kultur","civilisation","related","word","word",0.476437700170398
"rom","cognac","related","word","word",0.210510902397072
"rodeo","cowboy","related","word","word",0.392685098306056
"naiv","cynisk","related","word","word",0.40791816654513
"stuga","däck","related","word","word",0.192339370534753
"öken","dal","related","word","word",0.366506348277138
"bra","dålig","related","word","word",0.576262153489273
"aska","damm","related","word","word",0.386827837949809
"rostig","dammig","related","word","word",0.311257459534832
"dansare","dansa","related","word","word",0.517747054207699
"här","där","related","word","word",0.762992942022591
"framtida","dåtid","related","word","word",0.359126591199198
"programvara","dator","related","word","word",0.577234293600911
"november","december","related","word","word",0.672883423170778
"begrepp","definition","related","word","word",0.26894868512801
"frihet","demokrati","related","word","word",0.505663285909862
"protest","demonstration","related","word","word",0.402776480653685
"vad","den där","related","word","word",NA
"ambassad","departement","related","word","word",0.342685978412203
"påfrestning","depression","related","word","word",0.357807435267368
"ombud","detektiv","related","word","word",0.253614578955532
"text","dikt","related","word","word",0.355636019761315
"moln","dimma","related","word","word",0.50441054577519
"ping","ding","related","word","word",0.498784697708136
"direkt","direkt","related","word","word",1
"producent","direktör","related","word","word",0.316188492080396
"konversation","diskussion","related","word","word",0.607540297161906
"grevskap","distrikt","related","word","word",0.232643061309845
"enhet","division","related","word","word",0.478506995943079
"fä","djur","related","word","word",0.207536460571751
"göra","do","related","word","word",0.160670706153175
"lida","dö","related","word","word",0.458493540596312
"levande","död","related","word","word",0.325125161136375
"förgifta","döda","related","word","word",0.429140741028701
"dödligt","dödlig","related","word","word",0.690540893786211
"fil","dokumentera","related","word","word",0.233206611326917
"omslag","dölj","related","word","word",0.147245432981598
"pund","dollar","related","word","word",0.617462583376188
"välgörenhet","donation","related","word","word",0.536634222551872
"fönster","dörr","related","word","word",0.511311606521783
"blind","döv","related","word","word",0.579790549670541
"måla","dra","related","word","word",0.156745562282732
"tryck","dra","related","word","word",0.185979726244404
"mardröm","dröm","related","word","word",0.683038867687558
"galenskap","dumhet","related","word","word",0.501500656205059
"krut","dynamit","related","word","word",0.457717445015154
"svära","ed","related","word","word",0.154942747811267
"inflytande","effekt","related","word","word",0.277805381103246
"användbar","effektiv","related","word","word",0.427444891538725
"smeknamn","efternamn","related","word","word",0.530406756962867
"fattigdom","elände","related","word","word",0.426663143831187
"modern","elegant","related","word","word",0.29187373840188
"nuvarande","elektricitet","related","word","word",0.126460941037476
"magnetisk","elektrisk","related","word","word",0.472370811089218
"faktor","element","related","word","word",0.287605399010943
"mental","emotionell","related","word","word",0.500403086083913
"kraft","energi","related","word","word",0.59968924095519
"chip","enhet","related","word","word",0.0854375984919964
"bricka","enhetlig","related","word","word",0.156893326937508
"helt enkelt","enkel","related","word","word",NA
"stor","enorm","related","word","word",0.601734935447982
"ensam","ensam","related","word","word",1
"person","enskild","related","word","word",0.285114011165312
"miljonär","entreprenör","related","word","word",0.337947670351168
"plåga","epidemi","related","word","word",0.270734386228051
"serier","episod","related","word","word",0.176972132064118
"orgasm","erektion","related","word","word",0.565100217524447
"byta ut","ersättning","related","word","word",NA
"evig","evigt","related","word","word",0.527625384986193
"brista","explodera","related","word","word",0.407973433678808
"jordbävning","explosion","related","word","word",0.516508301467254
"bomba","explosiv","related","word","word",0.182916824942986
"inre","extern","related","word","word",0.335207952854744
"fjäril","fågel","related","word","word",0.471513674698484
"falsk","falsk","related","word","word",1
"klan","familj","related","word","word",0.441834737482287
"hugg","fånga","related","word","word",0.102747289870745
"gisslan","fånge","related","word","word",0.400477965844488
"straff","fängelse","related","word","word",0.43178509336222
"cell","fängelse","related","word","word",0.478127065777393
"verklighet","fantasi","related","word","word",0.572952963300111
"imponerande","fantastisk","related","word","word",0.401175383120755
"underbar","fantastisk","related","word","word",0.777974547816639
"mor","far","related","word","word",0.760828560128551
"risk","fara","related","word","word",0.451677031908113
"riskabel","farlig","related","word","word",0.50997136144858
"besättning","fartyg","related","word","word",0.44743522446074
"post","fax","related","word","word",0.336408315769623
"hosta","feber","related","word","word",0.536833668615294
"koloni","federation","related","word","word",0.418675623809145
"framgång","fel","related","word","word",0.0936697010126327
"reception","fest","related","word","word",0.212724459275331
"karneval","festival","related","word","word",0.421066383432746
"porr","film","related","word","word",0.448374644889898
"bank","finansiell","related","word","word",0.325044443134904
"ekonomiskt","finansiering","related","word","word",0.384260452110759
"budget","finansiering","related","word","word",0.403677495025812
"dna","fingeravtryck","related","word","word",0.601994427858275
"haj","fisk","related","word","word",0.483933339860636
"jakt","fiske","related","word","word",0.328743145345044
"kulle","fjäll","related","word","word",0.310968746974416
"tredje","fjärde","related","word","word",0.719454950449221
"halv","fjärdedel","related","word","word",0.434746899019665
"brand","flamma","related","word","word",0.348532958642604
"glas","flaska","related","word","word",0.458946161318574
"pojkar","flickvän","related","word","word",0.125086492019634
"sjö","flotta","related","word","word",0.280235496176837
"fly","fly","related","word","word",1
"landning","flyg","related","word","word",0.34809079759873
"landa","flyga","related","word","word",0.51550522596487
"terminal","flygplats","related","word","word",0.359765480438695
"flykting","flykting","related","word","word",1
"årsdag","födelsedag","related","word","word",0.689413737694022
"eskort","följa","related","word","word",0.276260054908318
"vuxen","förälder","related","word","word",0.465340762680241
"passagerare","förare","related","word","word",0.46070524371513
"förändra","förbättring","related","word","word",0.340780307204506
"redo","förbereda","related","word","word",0.347379049353138
"kontakt","förbindelse","related","word","word",0.477338105545556
"förbjuden","förbjuda","related","word","word",0.754706964906077
"stanna kvar","förbli","related","word","word",NA
"seminarium","föreläsning","related","word","word",0.467820742415953
"föreslå","föreslå","related","word","word",1
"företag","företag","related","word","word",1
"industri","företag","related","word","word",0.396382483864138
"poet","författare","related","word","word",0.549188806940326
"kapacitet","förmåga","related","word","word",0.474472767028032
"kanske","förmodligen","related","word","word",0.540567471247877
"förolämpning","förolämpa","related","word","word",0.597628016223892
"spionera","förrädare","related","word","word",0.29758095703558
"auktion","försäljning","related","word","word",0.483100009938941
"gör det möjligt","förse","related","word","word",NA
"analytiker","forskare","related","word","word",0.381648465998634
"geni","forskare","related","word","word",0.26784202343379
"prova","försök","related","word","word",0.281693603037765
"inse","förstå","related","word","word",0.562094667866687
"skapande","förstörelse","related","word","word",0.434211550182436
"skydda","försvara","related","word","word",0.561812680926883
"död","försvinnande","related","word","word",0.417423941370225
"redan","fortfarande","related","word","word",0.421783120360343
"respekt","förtroende","related","word","word",0.48293512221004
"fortsätt","fortsätta","related","word","word",0.611727038918524
"vänta","förvänta","related","word","word",0.420440020377332
"kaos","förvirring","related","word","word",0.505420140134703
"basketboll","fotboll","related","word","word",0.67416431821845
"bild","foto","related","word","word",0.601227690575656
"autograf","fotograf","related","word","word",0.489802820122066
"fråga","fråga","related","word","word",1
"ladda","frakt","related","word","word",0.154922983064887
"engelsk","franska","related","word","word",0.392605508515037
"närvaro","frånvaro","related","word","word",0.478846344469668
"lexikon","fras","related","word","word",0.219431879908829
"fritt","fri","related","word","word",0.409295844190624
"volontär","frivilligt","related","word","word",0.386325242469837
"make","fru","related","word","word",0.482504128137672
"middag","frukost","related","word","word",0.565202851930179
"äpple","frukt","related","word","word",0.495022050890105
"fruktansvärd","fruktansvärd","related","word","word",1
"smälta","frysa","related","word","word",0.379370994370807
"digusting","ful","related","word","word",NA
"tömma","full","related","word","word",0.252828869365419
"nykter","full","related","word","word",0.354339321272368
"absolut","fullständigt","related","word","word",0.356371540072042
"operativ","funktionell","related","word","word",0.402145930488985
"två","fyra","related","word","word",0.719066718260627
"sexuell","fysisk","related","word","word",0.499013175041959
"stiga på","gå","related","word","word",NA
"sked","gaffel","related","word","word",0.524428519993288
"universum","galax","related","word","word",0.506214093315801
"paranoid","galen","related","word","word",0.563548300508257
"verkstad","garage","related","word","word",0.429045302528765
"skåp","garderob","related","word","word",0.433062874041332
"aveny","gata","related","word","word",0.46378202153363
"komplimang","gåva","related","word","word",0.420040712711294
"lesbisk","gay","related","word","word",0.479275276129495
"erbjudande","ge","related","word","word",0.238561905981272
"råd","ge råd","related","word","word",NA
"invasion","ge sig på","related","word","word",NA
"samhälle","gemenskap","related","word","word",0.415612518149526
"naturligtvis","generellt sett","related","word","word",NA
"medkännande","generös","related","word","word",0.367711649923676
"enda","gift","related","word","word",0.180516597463943
"piano","gitarr","related","word","word",0.497284955444819
"nöje","glädje","related","word","word",0.43686492226933
"nationell","global","related","word","word",0.435722363538627
"lov","godkännande","related","word","word",0.25111421331153
"apa","gorilla","related","word","word",0.448234855048318
"kilo","gram","related","word","word",0.557429346506041
"hörn","gränd","related","word","word",0.295224137979888
"födelse","graviditet","related","word","word",0.35189890301748
"romersk","grekisk","related","word","word",0.511112482474135
"baron","grevinna","related","word","word",0.421948755969151
"straffa","gripa","related","word","word",0.395077334081738
"ko","gris","related","word","word",0.456637355782002
"gäng","grupp","related","word","word",0.513012091185405
"brutal","grym","related","word","word",0.402049138967639
"ondska","grymhet","related","word","word",0.420442809046623
"solnedgång","gryning","related","word","word",0.446463351361613
"gud","gudomlig","related","word","word",0.366033236031499
"röd","gul","related","word","word",0.562184574464339
"håll","ha kvar","related","word","word",NA
"smash","ha sönder","related","word","word",NA
"värma","häftigt","related","word","word",0.0908460288339399
"spricka","hål","related","word","word",0.486931015836933
"illusion","hallucination","related","word","word",0.348218718970019
"gratulera","hälsa","related","word","word",0.348709286917586
"ringa","halsband","related","word","word",0.173454830452167
"smörgås","hamburgare","related","word","word",0.474364846676899
"pinne","hammare","related","word","word",0.386845031408225
"bukt","hamn","related","word","word",0.302687912844668
"inträffa","hända","related","word","word",0.554941149243878
"filt","handduk","related","word","word",0.516829079002949
"fenomen","händelse","related","word","word",0.271628246221761
"toalett","handfat","related","word","word",0.446669079291229
"ut","handla om","related","word","word",NA
"kommersiell","handlare","related","word","word",0.312934026420515
"trohet","hängivenhet","related","word","word",0.482611666596927
"tuff","hård","related","word","word",0.578039338219348
"trevlig","härlig","related","word","word",0.539078722165144
"balans","harmoni","related","word","word",0.44526504321227
"åsna","häst","related","word","word",0.531607604897647
"distans","hastighet","related","word","word",0.33440742983813
"hjälm","hatt","related","word","word",0.480104884694159
"hav","hav","related","word","word",1
"förbanna","häxa","related","word","word",0.384747036119629
"hallå","hejdå","related","word","word",0.514812102782734
"ambulans","helikopter","related","word","word",0.464097059969833
"paradis","helvete","related","word","word",0.238833239151709
"nanny","hembiträde","related","word","word",0.305104986390529
"kokain","heroin","related","word","word",0.684804204861682
"himmel","himmelskt","related","word","word",0.595818159823235
"sök","hitta","related","word","word",0.335371973285959
"aids","hiv","related","word","word",0.441654502000133
"hjälp","hjälpa","related","word","word",0.518315663089759
"låg","hög","related","word","word",0.366520059616279
"majestät","höghet","related","word","word",0.588382437633558
"vikt","höjd","related","word","word",0.283131557254826
"klättra","hoppa","related","word","word",0.526064798589093
"lyssna","höra","related","word","word",0.483212294817876
"vår","höst","related","word","word",0.201543316392082
"tonfisk","hummer","related","word","word",0.514246721249296
"tusen","hundra","related","word","word",0.687376189543933
"trött","hungrig","related","word","word",0.479415933725466
"bas","huvudkontor","related","word","word",0.235870324433253
"hyra","hyra","related","word","word",1
"hyresgäst","hyresvärd","related","word","word",0.630289106416808
"i dag","i går","related","word","word",NA
"lura","idiot","related","word","word",0.210464742791333
"diarre","illamående","related","word","word",0.320056346741332
"dynasti","imperium","related","word","word",0.404425651889768
"smickra","imponera på","related","word","word",NA
"virus","infektion","related","word","word",0.519804855670494
"källa","informant","related","word","word",0.347812471460723
"data","information","related","word","word",0.539983085411005
"utgång","ingång","related","word","word",0.50751593235134
"dos","injektion","related","word","word",0.468017973266901
"vinst","inkomst","related","word","word",0.472845181127409
"innehålla","innehåll","related","word","word",0.875888141015418
"spindel","insekt","related","word","word",0.488289528032137
"undersökning","inspektion","related","word","word",0.490569530106658
"spela in","inspelning","related","word","word",NA
"inspirera","inspiration","related","word","word",0.576046995868437
"verktyg","instrument","related","word","word",0.465450366826604
"privat","integritet","related","word","word",0.244505766601008
"smart","intelligent","related","word","word",0.553583375508951
"personlig","intim","related","word","word",0.339817941475068
"spännande","intressant","related","word","word",0.619979513444211
"instinkt","intuition","related","word","word",0.620711058687293
"utanför","inuti","related","word","word",0.269352489271273
"finansiera","investera","related","word","word",0.448743905998053
"bankman","investerare","related","word","word",0.416583284902291
"ironi","ironisk","related","word","word",0.620924523813091
"okej","ja","related","word","word",0.678795380423772
"skjorta","jacka","related","word","word",0.619752032487094
"följ","jaga","related","word","word",0.173765729263095
"ängel","jäkel","related","word","word",0.16965228403211
"banan","jordgubbe","related","word","word",0.341216083490191
"reporter","journalist","related","word","word",0.603827462695997
"mjölk","juice","related","word","word",0.514369528127406
"juni","juli","related","word","word",0.529025950006102
"romeo","juliet","related","word","word",0.401154345566338
"senior","junior","related","word","word",0.464104729505516
"diamant","juvel","related","word","word",0.509560642654616
"kopp","kaffe","related","word","word",0.547605522651019
"efterrätt","kaka","related","word","word",0.515077563073039
"kyckling","kalkon","related","word","word",0.605378378865754
"varm","kall","related","word","word",0.595866552825269
"mästare","kämpe","related","word","word",0.311765308668627
"populär","känd","related","word","word",0.407368702164483
"diplom","kandidat","related","word","word",0.166556609926988
"räv","kanin","related","word","word",0.41805786356627
"nu","känna till","related","word","word",NA
"intryck","känsla","related","word","word",0.252273943854657
"delikat","känslig","related","word","word",0.296523119870436
"kyrka","kapell","related","word","word",0.503872903455643
"anarki","kapitalism","related","word","word",0.391913165823031
"befälhavare","kapten","related","word","word",0.445612505730606
"biskop","kardinal","related","word","word",0.455604093486998
"hata","kärlek","related","word","word",0.221102825177754
"atom","kärn","related","word","word",0.156901595394422
"kompass","karta","related","word","word",0.469272016639972
"mafia","kartell","related","word","word",0.310604741043555
"hund","katt","related","word","word",0.611329223751315
"kejserlig","kejsare","related","word","word",0.457167246573566
"glasögon","keps","related","word","word",0.469214807077205
"läpp","kind","related","word","word",0.398666979275598
"fungera","kirurgi","related","word","word",0.17940533038709
"kjol","klänning","related","word","word",0.552882255218897
"typisk","klassisk","related","word","word",0.397194888654228
"patient","klient","related","word","word",0.457936343765406
"sjukhus","klinik","related","word","word",0.514945625538535
"barnhem","kloster","related","word","word",0.425551147341213
"tempel","kloster","related","word","word",0.439092329213705
"axel","knä","related","word","word",0.405031714575804
"svärd","kniv","related","word","word",0.516790145780465
"laga mat","kock","related","word","word",NA
"se","kolla på","related","word","word",NA
"falla","kollaps","related","word","word",0.224348473299062
"glömma bort","kom ihåg","related","word","word",NA
"drama","komedi","related","word","word",0.442355367695124
"anlända","komma","related","word","word",0.302973920225155
"inspektör","kommissarie","related","word","word",0.605465906673434
"navigering","kommunikation","related","word","word",0.463848321802419
"rasist","kommunist","related","word","word",0.490183859799785
"total","komplett","related","word","word",0.394305446497984
"fokus","koncentrera","related","word","word",0.410975338718474
"turné","konsert","related","word","word",0.499815286694649
"ovanlig","konstig","related","word","word",0.48266873647402
"lag","konstitution","related","word","word",0.404793200099811
"skrivbord","kontor","related","word","word",0.543124958158974
"kolla upp","kontrollera","related","word","word",NA
"säljare","köpare","related","word","word",0.622895300927427
"original","kopiera","related","word","word",0.361822252438466
"naiv","korkad","related","word","word",0.514392952232984
"fel","korrekt","related","word","word",0.351019660722353
"fläsk","kött","related","word","word",0.506354055883631
"tung","kraftigt","related","word","word",0.21142551058044
"kyss","kram","related","word","word",0.532269882664003
"fantasi","kreativitet","related","word","word",0.40647445422952
"soldat","krigare","related","word","word",0.470798367846572
"tjuv","kriminell","related","word","word",0.351227774628893
"situation","kris","related","word","word",0.399303354067472
"katolsk","kristen","related","word","word",0.507438095586817
"kaliber","kula","related","word","word",0.435410859021728
"drottning","kung","related","word","word",0.633547896630915
"erfarenhet","kunskap","related","word","word",0.508410861302531
"släkting","kusin","related","word","word",0.340788437701272
"skrämmande","kuslig","related","word","word",0.409134816966097
"strand","kust","related","word","word",0.387647575643347
"kvantitet","kvalitet","related","word","word",0.527174453424027
"natt","kväll","related","word","word",0.589361989262492
"änka","kvinna","related","word","word",0.367560345258099
"manlig","kvinna","related","word","word",0.334479336024412
"grav","kyrkogård","related","word","word",0.510584824016145
"stålman","läderlappen","related","word","word",0.304132608925668
"herre","lady","related","word","word",0.175513855891368
"hus","lägenhet","related","word","word",0.535436537961874
"affär","lagra","related","word","word",0.100233994430791
"ta igen sig","läka","related","word","word",NA
"kirurg","läkare","related","word","word",0.62956145854132
"alkohol","läkemedel","related","word","word",0.32737750448682
"tillbaka","lämna tillbaka","related","word","word",NA
"kreditera","lån","related","word","word",0.301455535038523
"kort","lång","related","word","word",0.379270125393207
"ming","långa","related","word","word",0.0332431191065373
"storlek","längd","related","word","word",0.486570040700524
"nära","långt","related","word","word",0.327292805398584
"lära sig","lära","related","word","word",NA
"studerande","lärare","related","word","word",0.431902726622165
"varna","larm","related","word","word",0.226096906045015
"nyckel","låsa","related","word","word",0.379894747613591
"jeep","lastbil","related","word","word",0.509381132601937
"album","låt","related","word","word",0.109537544485059
"tillåta","låta","related","word","word",0.478815041205706
"omöjlig","lätt","related","word","word",0.429494939066652
"medlem","ledare","related","word","word",0.416103893739308
"myt","legend","related","word","word",0.433837115151497
"drake","lejon","related","word","word",0.26329332313521
"docka","leksak","related","word","word",0.463960273614002
"njure","lever","related","word","word",0.263726008714953
"konservativ","liberal","related","word","word",0.520036020742623
"kropp","lik","related","word","word",0.417487059821261
"taxi","limousine","related","word","word",0.544332836113835
"konst","litteratur","related","word","word",0.537833718514209
"ljud","ljud","related","word","word",1
"mörker","ljus","related","word","word",0.531194176766419
"glans","ljus","related","word","word",0.363362537711
"lampa","ljus","related","word","word",0.446700155610557
"uppmärksamhet","locka till sig","related","word","word",NA
"garanti","löfte","related","word","word",0.374433319149283
"lögn","lögnare","related","word","word",0.510837555997507
"sergeant","löjtnant","related","word","word",0.472599775412581
"vitlök","lök","related","word","word",0.618417437548953
"regional","lokal","related","word","word",0.305160281688071
"pension","lön","related","word","word",0.497866917041279
"maraton","lopp","related","word","word",0.384121939435539
"kidnappare","lösen","related","word","word",0.369578160396662
"koda","lösenord","related","word","word",0.430531345473188
"tyst","lugna","related","word","word",0.452124757263498
"smak","lukt","related","word","word",0.48869841098694
"mellanmål","lunch","related","word","word",0.442275890883869
"hantera","lyckas","related","word","word",0.175462666536816
"nöjd","lycklig","related","word","word",0.491830166535699
"ketchup","majonnäs","related","word","word",0.561725352122398
"hjälplös","maktlös","related","word","word",0.59912955422504
"konstnär","målare","related","word","word",0.621181353825011
"mat","måltid","related","word","word",0.454534061269067
"pappa","mamma","related","word","word",0.884568063117
"kontrollera","manipulera","related","word","word",0.485394566974809
"befolkning","människor","related","word","word",0.383912549295961
"man","mänsklig","related","word","word",0.187161944269166
"marin","marin","related","word","word",1
"reklam","marknadsföring","related","word","word",0.485895515972259
"robot","maskin","related","word","word",0.454669921453264
"yoga","massage","related","word","word",0.429835151720596
"konkurrens","mästerskap","related","word","word",0.209855778848637
"turnering","match","related","word","word",0.455672250127221
"fysik","matematik","related","word","word",0.578017281916115
"golv","matta","related","word","word",0.442953401871193
"minimum","maximal","related","word","word",0.3709446156417
"trofé","medalj","related","word","word",0.341942388452401
"artefakt","medaljong","related","word","word",0.365066740474283
"varning","meddelande","related","word","word",0.360078912348171
"tålamod","medkänsla","related","word","word",0.428846790599452
"teknisk","mekanisk","related","word","word",0.454441345956797
"ord","mening","related","word","word",0.320048081134603
"järn","metall","related","word","word",0.443096968192677
"kilometer","meter","related","word","word",0.679505599546615
"metod","metod","related","word","word",1
"midnatt","middag","related","word","word",0.286721834393215
"kamera","mikrofon","related","word","word",0.508638143092517
"teleskop","mikroskop","related","word","word",0.541271172773573
"mjuk","mild","related","word","word",0.374509872529871
"civil","militär","related","word","word",0.440339465939924
"miljon","miljard","related","word","word",0.688431620071543
"ambassadör","minister","related","word","word",0.474811441645195
"öka","minska","related","word","word",0.634856003084793
"plus","minus","related","word","word",0.489406140884308
"andra","minut","related","word","word",0.114425669697609
"raket","missil","related","word","word",0.472053095448761
"fel","misstag","related","word","word",0.440756813677624
"tvivel","misstänka","related","word","word",0.270965150329208
"spannmål","mjöl","related","word","word",0.445680075668177
"ädel","modig","related","word","word",0.439995488677511
"chans","möjlighet","related","word","word",0.635579319837124
"självmord","mörda","related","word","word",0.30531376132893
"legosoldat","mördare","related","word","word",0.393904726883329
"mördare","mördare","related","word","word",1
"aspirin","morfin","related","word","word",0.492953051650418
"i morgon","morgon","related","word","word",NA
"skugga","mörk","related","word","word",0.314152658450076
"farfar","mormor","related","word","word",0.556610182208381
"konferens","möte","related","word","word",0.480791405279807
"hotell","motell","related","word","word",0.717369434227086
"tank","motor","related","word","word",0.400970272818439
"väg","motorväg","related","word","word",0.384649689795329
"motsatt","motsats","related","word","word",0.737491538536359
"fiende","motståndare","related","word","word",0.493204971073233
"bibliotek","museum","related","word","word",0.43041531919852
"jazz","musik","related","word","word",0.550478897434436
"sångare","musiker","related","word","word",0.594454290227973
"nerv","muskel","related","word","word",0.513551554658252
"evolution","mutation","related","word","word",0.454840909810585
"ytterst","mycket","related","word","word",0.321429138316226
"bi","myra","related","word","word",0.261851055172068
"hemlighet","mysterium","related","word","word",0.349271733382684
"hals","nacke","related","word","word",0.575212477638385
"aldrig","någonsin","related","word","word",0.509375888535054
"någon annanstans","någonstans","related","word","word",NA
"ingenting","något","related","word","word",0.465994399210666
"naken","naken","related","word","word",1
"mun","näsa","related","word","word",0.504170094118306
"trasa","näsduk","related","word","word",0.472880259160501
