"sv_target","sv_cue","sv_fake_cue","sv_fake_target","en_cue","en_target"
"avtal","kontrakt","kontvätt","avlos","contract","agreement"
"bacon","rostat bröd","rakvat bröd","barfn","toast","bacon"
"badrum","dusch","dunnh","funrum","shower","bathroom"
"bak","främre","härsre","msk","front","rear"
"bana","planet","skonet","rorna","planet","orbit"
"band","orkester","orscouter","baha","orchestra","band"
"bar","klubb","byubb","ldr","club","bar"
"barmhärtighet","förlåtelse","bandslåtelse","olyckhärtighet","forgiveness","mercy"
"barn","bebis","besex","baot","baby","child"
"barndom","ungdom","candom","barnpas","youth","childhood"
"baseboll","stadion","missdion","basegift","stadium","baseball"
"båt","ubåt","yxåt","ârt","submarine","boat"
"bataljon","regemente","regeraldste","batalkniv","regiment","battalion"
"bedöma","domstol","palstol","bekräfma","court","judge"
"bedrägeri","konspiration","konspiraments","beslutsgeri","conspiracy","fraud"
"begäran","efterfrågan","efföljdfrågan","begäters","demand","request"
"begrava","gräv","grxi","belastva","dig","bury"
"begravning","kista","hänta","besäljning","coffin","funeral"
"behandling","terapi","terasatt","begravling","therapy","treatment"
"behöver","nödvändig","kortvändig","behötisk","necessary","need"
"bekämpa","bekämpa","befolkpa","befolkpa","combat","fight"
"bekänna","erkänna","erjourna","befolkna","admit","confess"
"bekräfta","bekräftelse","bepiscatelse","beutrota","confirmation","confirm"
"belopp","belopp","bekorv","bekorv","sum","amount"
"beräkna","räkna","bibna","beskydna","count","calculate"
"beskrivning","profil","projad","beforskning","profile","description"
"beställa","kommando","komsjukdo","beklagla","command","order"
"bestämning","mod","oud","beverkning","courage","determination"
"besvikelse","överraskning","övertändning","behärskkelse","surprise","disappointment"
"bete","fälla","janla","berät","trap","bait"
"betydelse","menande","menandeståndskrav","betypisktse","meaning","importance"
"bevis","bevis","bejer","bejer","evidence","proof"
"bil","fordon","forgad","rul","vehicle","car"
"billig","dyr","cer","bilkon","expensive","cheap"
"biologi","kemi","kerar","biolofullt","chemistry","biology"
"biologisk","kemisk","kesjuk","biolotroll","chemical","biological"
"bistånd","stöd","stof","bianskt","support","assistance"
"bit","fragment","fighment","måt","fragment","piece"
"blå","brun","brho","nyå","brown","blue"
"blåmärke","repa","reret","rättmärke","scratch","bruise"
"blandning","kombination","kombinavårds","flingning","combination","mixture"
"blomma","växt","väui","framma","plant","flower"
"blygsam","ödmjuka","ödbricka","skägsam","humble","modest"
"bok","bibel","biens","yrk","bible","book"
"bomull","silke","vägke","bopols","silk","cotton"
"borgmästare","sheriff","sheself","skilsmästare","sheriff","mayor"
"botten","topp","toza","vacten","top","bottom"
"botton","washington","helsington","janton","washington","boston"
"bra","excellent","excelsorn","cía","excellent","great"
"bränsle","gas","vts","klassle","gas","fuel"
"bred","smal","thal","sted","narrow","wide"
"brev","telegram","telejobb","brzi","telegram","letter"
"bröllop","engagemang","engagegrepp","brölbak","engagement","wedding"
"bror","kille","hämle","rior","dude","bro"
"bror","syster","camter","rior","sister","brother"
"brorson","barnbarn","barnpass","grupson","grandson","nephew"
"bröst","mage","agge","ruöst","stomach","chest"
"brottslighet","synd","drnd","stjärnlighet","sin","crime"
"brud","brudgum","brudmac","breg","groom","bride"
"buss","tåg","lyg","sass","train","bus"
"by","läger","lälan","sö","camp","village"
"bygga","konstruktion","kongresstion","longa","construction","build"
"byggnad","torn","tond","sparnad","tower","building"
"byrå","fast","fata","byday","firm","agency"
"camping","picknick","pickneys","rusping","picnic","camping"
"cancer","tumör","tuart","cankig","tumor","cancer"
"centimeter","mile","kolle","hjärttimeter","mile","centimeter"
"cerebral","hjärna","halsna","cerestog","brain","cerebral"
"ceremoni","ritual","rikansal","cereställni","ritual","ceremony"
"champagne","vin","oon","chambabwe","wine","champagne"
"charmig","attraktiv","atlanttiv","charlev","attractive","charming"
"chef","chef","guef","chlu","manager","boss"
"choklad","socker","palker","cholärd","sugar","chocolate"
"cigarett","tobak","tocon","cigatill","tobacco","cigarette"
"cigarr","rök","ölk","cigean","smoke","cigar"
"cirkus","zoo","nxo","cirmot","zoo","circus"
"civilisation","kultur","chetur","civilisaperste","culture","civilization"
"cognac","rom","eam","hytnac","rum","cognac"
"cowboy","rodeo","ronic","saxboy","rodeo","cowboy"
"cynisk","naiv","naboy","cystol","naive","cynical"
"däck","stuga","burga","ypck","cabin","deck"
"dal","öken","ämen","uil","desert","valley"
"dålig","bra","ova","dåhet","good","bad"
"damm","aska","botka","dajd","ash","dust"
"dammig","rostig","kyltig","damgal","rusty","dusty"
"dansa","dansare","guldsare","chisa","dancer","dance"
"där","här","tãr","éer","here","there"
"dåtid","framtida","konstida","dårum","future","past"
"dator","programvara","proskuggvara","dades","software","computer"
"december","november","noblueber","dekaanber","november","december"
"definition","begrepp","beträff","defininotch","concept","definition"
"demokrati","frihet","barhet","demostinkti","freedom","democracy"
"demonstration","protest","promiss","demonjuicetion","protest","demonstration"
"den där","vad","idd","dendour","what","that"
"departement","ambassad","ambaskern","departeborgs","embassy","ministry"
"depression","påfrestning","påkränkning","depresfull","stress","depression"
"detektiv","ombud","omsku","deteksons","agent","detective"
"dikt","text","mixt","rskt","text","poem"
"dimma","moln","mohh","hosma","cloud","fog"
"ding","ping","pida","digs","ping","ding"
"direkt","direkt","divart","divell","direct","directly"
"direktör","producent","produnick","direksens","producer","director"
"diskussion","konversation","konversabotör","diskusdjur","conversation","discussion"
"distrikt","grevskap","glouskap","distängd","county","district"
"division","enhet","enfor","divifall","unit","division"
"djur","fä","pn","djgt","beast","animal"
"do","göra","ferra","rn","make","do"
"dö","lida","funda","äa","suffer","die"
"död","levande","levandeståndskrav","ygd","alive","dead"
"döda","förgifta","förtrakta","garda","poison","kill"
"dödlig","dödligt","sysligt","orelig","deadly","fatal"
"dokumentera","fil","eml","dokumenteravenscroft","file","document"
"dölj","omslag","omstör","döfs","cover","hide"
"dollar","pund","kend","körlar","pound","dollar"
"donation","välgörenhet","välgöskildhet","donadens","charity","donation"
"dörr","fönster","fackter","döie","window","door"
"döv","blind","stind","fuv","blind","deaf"
"dra","måla","norla","sya","paint","draw"
"dra","tryck","trotk","sya","push","pull"
"dröm","mardröm","mardäck","drdâ","nightmare","dream"
"dumhet","galenskap","galennons","dummas","madness","stupidity"
"dynamit","krut","kröv","dynafrån","gunpowder","dynamite"
"ed","svära","hotra","bö","swear","oath"
"effekt","inflytande","inflytandeståndskrav","eftant","influence","effect"
"effektiv","användbar","anryktbar","effeksons","useful","effective"
"efternamn","smeknamn","traknamn","eftercolt","nickname","surname"
"elände","fattigdom","fattigdomstolstrots","drägde","poverty","misery"
"elegant","modern","moplan","hitgant","fashionable","elegant"
"elektricitet","nuvarande","nuvarandeståndskrav","hjälpricitet","current","electricity"
"elektrisk","magnetisk","magnerats","elektting","magnetic","electric"
"element","faktor","alitor","outment","factor","element"
"emotionell","mental","dartal","emotiojobb","mental","emotional"
"energi","kraft","krimt","drömgi","power","energy"
"enhet","chip","guip","enfor","chip","device"
"enhetlig","bricka","olivka","enstrulig","badge","uniform"
"enkel","helt enkelt","helt eplexa","ensas","simply","simple"
"enorm","stor","stce","enyam","big","huge"
"ensam","ensam","enhus","enhus","alone","lonely"
"enskild","person","jätson","enskatt","person","individual"
"entreprenör","miljonär","miljohans","entreprefläck","millionaire","entrepreneur"
"epidemi","plåga","tävga","flotdemi","plague","epidemic"
"episod","serier","tillrier","epicup","series","episode"
"erektion","orgasm","orcape","säcktion","orgasm","erection"
"ersättning","byta ut","byrallt","erlingning","replace","substitute"
"evigt","evig","ålig","evont","eternal","forever"
"explodera","brista","tredta","exploderavenscroft","burst","explode"
"explosion","jordbävning","luftbävning","explofall","earthquake","explosion"
"explosiv","bomba","ledba","exgressiv","bomb","explosive"
"extern","inre","korre","extrak","internal","external"
"fågel","fjäril","guiril","fåvor","butterfly","bird"
"falsk","falsk","fanck","facik","fake","FALSE"
"familj","klan","byan","fagels","clan","family"
"fånga","hugg","hufe","singa","grab","catch"
"fånge","gisslan","lilllan","tynge","hostage","prisoner"
"fängelse","straff","straku","drömelse","penalty","imprisonment"
"fängelse","cell","cero","drömelse","cell","prison"
"fantasi","verklighet","spellighet","guldtasi","reality","fantasy"
"fantastisk","imponerande","imponerandeståndskrav","fantasland","impressive","amazing"
"fantastisk","underbar","untaktbar","fantasland","wonderful","fantastic"
"far","mor","otr","tãr","mother","father"
"fara","risk","ripo","stera","risk","danger"
"farlig","riskabel","slagkabel","litlig","risky","dangerous"
"fartyg","besättning","befordning","fargie","crew","ship"
"fax","post","pote","yzx","mail","fax"
"feber","hosta","vävta","fesas","cough","fever"
"federation","koloni","koloween","federaments","colony","federation"
"fel","framgång","framstäl","ual","success","failure"
"fest","reception","recepland","ndst","reception","party"
"festival","karneval","karnetivt","festimens","carnival","festival"
"film","porr","pohe","fiör","porn","movie"
"finansiell","bank","bals","finansistånd","banking","financial"
"finansiering","ekonomiskt","ekonodrift","finansiefullt","financially","financing"
"finansiering","budget","hitget","finansiefullt","budget","funding"
"fingeravtryck","dna","gâa","fingrupptryck","dna","fingerprint"
"fisk","haj","joj","fian","shark","fish"
"fiske","jakt","pekt","andke","hunting","fishing"
"fjäll","kulle","rible","dväll","hill","mountain"
"fjärde","tredje","grinje","norrde","third","fourth"
"fjärdedel","halv","haab","skindedel","half","quarter"
"flamma","brand","nyand","släkma","fire","flame"
"flaska","glas","sias","busska","glass","bottle"
"flickvän","pojkar","lifkar","flicknio","boys","girls"
"flotta","sjö","piö","bortta","naval","fleet"
"fly","fly","ssy","nsy","flee","escape"
"flyg","landning","fastning","pryg","landing","flight"
"flyga","landa","krada","amaga","land","fly"
"flygplats","terminal","termision","pingplats","terminal","airport"
"flykting","flykting","fristing","klipting","refugee","fugitive"
"födelsedag","årsdag","amedag","födelsekvens","anniversary","birthday"
"följa","eskort","eskobe","looja","escort","accompany"
"förälder","vuxen","tigen","förälligt","adult","parent"
"förare","passagerare","passagerareklamsnub","återrare","passenger","driver"
"förbättring","förändra","förfostra","förvandring","change","improvement"
"förbereda","redo","rekry","självbereda","ready","prepare"
"förbindelse","kontakt","konmang","förflyttdelse","contact","connection"
"förbjuda","förbjuden","förverkden","förverkda","forbidden","prohibit"
"förbli","stanna kvar","stannavevar","försec","stay","remain"
"föreläsning","seminarium","övertrasseminarium","föreläsfullt","seminar","lecture"
"föreslå","föreslå","föreljud","föredard","propose","suggest"
"företag","företag","förekort","föregens","company","corporation"
"företag","industri","indudiak","föregens","industry","business"
"författare","poet","polin","förstärktare","poet","writer"
"förmåga","kapacitet","kapacivilin","smekmåga","capacity","ability"
"förmodligen","kanske","kamcke","förohyggligen","maybe","probably"
"förolämpa","förolämpning","föroskattning","föroningspa","insult","offend"
"förrädare","spionera","spioneravenscroft","självrädare","spy","traitor"
"försäljning","auktion","rastion","förröstning","auction","sale"
"förse","gör det möjligt","gör det mmostat","lanse","enable","provide"
"forskare","analytiker","hjärtlytiker","maktkare","analyst","investigator"
"forskare","geni","gepet","maktkare","genius","scientist"
"försök","prova","likva","förlys","try","attempt"
"förstå","inse","inqui","förmot","realize","understand"
"förstörelse","skapande","skapandeståndskrav","förvrängrelse","creation","destruction"
"försvara","skydda","släkda","förhandra","protect","defend"
"försvinnande","död","fud","försvinnandeståndskrav","death","disappearance"
"fortfarande","redan","repro","fortfarandeståndskrav","already","still"
"förtroende","respekt","rebiskt","förtroendeståndskrav","respect","confidence"
"fortsätta","fortsätt","bombsätt","kungsätta","proceed","continue"
"förvänta","vänta","krata","förplatta","wait","expect"
"förvirring","kaos","karie","förvirveln","chaos","confusion"
"fotboll","basketboll","basketmark","galboll","basketball","football"
"foto","bild","bius","fonan","picture","photo"
"fotograf","autograf","autohopp","fotolern","autograph","photographer"
"fråga","fråga","aliga","rumga","question","ask"
"frakt","ladda","rysda","spakt","load","cargo"
"franska","engelsk","engreks","fruktka","english","french"
"frånvaro","närvaro","rymdvaro","hästvaro","presence","absence"
"fras","lexikon","godsikon","ptas","dictionary","phrase"
"fri","fritt","freyt","msi","freely","free"
"frivilligt","volontär","volonvakt","friviljong","volunteer","voluntarily"
"fru","make","matio","iku","husband","wife"
"frukost","middag","häldag","frukräm","dinner","breakfast"
"frukt","äpple","bocle","blukt","apple","fruit"
"fruktansvärd","fruktansvärd","fruktansgans","fruktanskans","terrible","horrible"
"frysa","smälta","hållta","kudsa","melt","freeze"
"ful","digusting","digussamt","ryl","digusting","ugly"
"full","tömma","scoma","fuby","empty","full"
"full","nykter","kålter","fuby","sober","drunk"
"fullständigt","absolut","absomarn","fullpropdigt","absolutely","completely"
"funktionell","operativ","ljusrativ","stoltionell","operational","functional"
"fyra","två","eaå","krera","two","four"
"fysisk","sexuell","sexujobb","fybild","sexual","physical"
"gå","stiga på","visga på","lk","enter","go"
"gaffel","sked","skjo","hösfel","spoon","fork"
"galax","universum","univerhäst","gadul","universe","galaxy"
"galen","paranoid","parahögt","gatio","paranoid","crazy"
"garage","verkstad","verktakt","gabyte","workshop","garage"
"garderob","skåp","skkk","gardestör","cabinet","closet"
"gata","aveny","nikny","gabri","avenue","street"
"gåva","komplimang","komplitogs","hatva","compliment","gift"
"gay","lesbisk","vadbisk","msy","lesbian","gay"
"ge","erbjudande","erbjudandeståndskrav","rn","offer","give"
"ge råd","råd","lgd","geblån","advice","advise"
"ge sig på","invasion","invarett","ge siikru","invasion","attack"
"gemenskap","samhälle","samlittle","gemenlöst","society","community"
"generellt sett","naturligtvis","naturvårdsvis","generelltspädd","naturally","generally"
"generös","medkännande","medkännandeståndskrav","genevitt","compassionate","generous"
"gift","enda","enhör","gias","single","married"
"gitarr","piano","kungano","ginatt","piano","guitar"
"glädje","nöje","nönik","flagje","pleasure","joy"
"global","nationell","natiogram","hårbal","national","global"
"godkännande","lov","ärv","godkännandeståndskrav","permission","approval"
"gorilla","apa","iya","gosyssla","monkey","gorilla"
"gram","kilo","kitek","sham","kilo","gram"
"gränd","hörn","höfe","greed","corner","alley"
"graviditet","födelse","föringse","gravidiscjoc","birth","pregnancy"
"grekisk","romersk","roleski","grelits","roman","greek"
"grevinna","baron","baher","greslagna","baron","countess"
"gripa","straffa","stockfa","lekpa","punish","arrest"
"gris","ko","rn","grkt","cow","pig"
"grupp","gäng","wyng","groop","gang","group"
"grym","brutal","rantal","grlb","brutal","cruel"
"grymhet","ondska","hisska","preshet","evil","cruelty"
"gryning","solnedgång","solnedtivt","båtning","sunset","dawn"
"gudomlig","gud","owd","guskaplig","god","divine"
"gul","röd","mnd","chl","red","yellow"
"ha kvar","håll","håby","ha kmĺr","hold","keep"
"ha sönder","smash","ägash","ha söbaek","smash","break"
"häftigt","värma","krima","vektigt","warm","cool"
"hål","spricka","strunka","töl","crack","hole"
"hallucination","illusion","illumets","hallucinakensce","illusion","hallucination"
"hälsa","gratulera","gratuleravenscroft","lapsa","congratulate","greet"
"halsband","ringa","riusa","halsting","ring","necklace"
"hamburgare","smörgås","smörduk","konstburgare","sandwich","hamburger"
"hammare","pinne","hrine","stigmare","stick","hammer"
"hamn","bukt","busk","hagd","bay","harbor"
"hända","inträffa","infångfa","porda","occur","happen"
"handduk","filt","fies","handlee","blanket","towel"
"händelse","fenomen","fenograf","filmdelse","phenomenon","event"
"handfat","toalett","toagnos","handsig","toilet","sink"
"handla om","ut","gy","storla om","out","about"
"handlare","kommersiell","komassassiell","storlare","commercial","merchant"
"hängivenhet","trohet","kenhet","dragsgivenhet","fidelity","devotion"
"hård","tuff","chff","törd","tough","hard"
"härlig","trevlig","frällig","fotlig","nice","lovely"
"harmoni","balans","bagast","toppmoni","balance","harmony"
"häst","åsna","genna","häro","donkey","horse"
"hastighet","distans","diklass","topptighet","distance","speed"
"hatt","hjälm","twälm","havi","helmet","hat"
"hav","hav","ruv","cov","sea","ocean"
"häxa","förbanna","förhållna","häts","curse","witch"
"hejdå","hallå","cinlå","blydå","hello","bye"
"helikopter","ambulans","ambufilm","helitjänster","ambulance","helicopter"
"helvete","paradis","parabatt","storvete","paradise","hell"
"hembiträde","nanny","vålny","hembiträdeståndskrav","nanny","maid"
"heroin","kokain","kokainbrottslarm","heroinbrottslarm","cocaine","heroin"
"himmelskt","himmel","tänmel","himtriskt","sky","heavenly"
"hitta","sök","åck","budta","search","find"
"hiv","aids","aigh","pov","aids","hiv"
"hjälpa","hjälp","ibälp","svärpa","help","assist"
"hög","låg","emg","acg","low","high"
"höghet","majestät","majecyon","högkva","majesty","highness"
"höjd","vikt","viil","hötu","weight","height"
"hoppa","klättra","fläskra","kelpa","climb","jump"
"höra","lyssna","fyllna","grera","listen","hear"
"höst","vår","târ","höba","spring","autumn"
"hummer","tonfisk","hårfisk","taxmer","tuna","lobster"
"hundra","tusen","tutio","filmra","thousand","hundred"
"hungrig","trött","trckt","tändrig","tired","hungry"
"huvudkontor","bas","vts","hugränskontor","base","headquarters"
"hyra","hyra","nedra","patra","hire","rent"
"hyresvärd","hyresgäst","hyresrymd","hytesvårt","tenant","landlord"
"i går","i dag","dxdag","rvgår","today","yesterday"
"idiot","lura","grera","molot","fool","idiot"
"illamående","diarre","dicinsre","illamåendeståndskrav","diarrhea","nausea"
"imperium","dynasti","dyzarts","imperitiskt","dynasty","empire"
"imponera på","smickra","michera","imponeknull","flatter","impress"
"infektion","virus","vinel","infekland","virus","infection"
"informant","källa","bönla","inforsked","source","informant"
"information","data","dades","informaracas","data","information"
"ingång","utgång","uttryc","inkräk","exit","entrance"
"injektion","dos","nus","injekland","dose","injection"
"inkomst","vinst","viert","inmatch","profit","income"
"innehåll","innehålla","innetisktla","innegent","contain","content"
"insekt","spindel","brändel","inveau","spider","insect"
"inspektion","undersökning","undersökfullt","ineruption","examination","inspection"
"inspelning","spela in","speclair","infattning","record","recording"
"inspiration","inspirera","inspireravenscroft","inspiraments","inspire","inspiration"
"instrument","verktyg","verkkey","instrufull","tool","instrument"
"integritet","privat","prilog","inträngtet","private","privacy"
"intelligent","smart","âgart","intellitroll","smart","intelligent"
"intim","personlig","perverklig","inflö","personal","intimate"
"intressant","spännande","bondnande","intresvitj","exciting","interesting"
"intuition","instinkt","innastin","intuiland","instinct","intuition"
"inuti","utanför","utanplan","massuti","outside","inside"
"investera","finansiera","finansieravenscroft","investeravenscroft","finance","invest"
"investerare","bankman","täckman","investerareklamsnub","banker","investor"
"ironisk","ironi","namni","lyknisk","irony","ironic"
"ja","okej","okvy","sö","okay","yeah"
"jacka","skjorta","skrävta","feska","shirt","jacket"
"jaga","följ","föue","terga","follow","chase"
"jäkel","ängel","rekel","jäsas","angel","devil"
"jordgubbe","banan","baley","luftgubbe","banana","strawberry"
"journalist","reporter","refönster","slaknalist","reporter","journalist"
"juice","mjölk","mjpik","knice","milk","juice"
"juli","juni","magni","telli","june","july"
"juliet","romeo","rocus","verkliet","romeo","juliet"
"junior","senior","seratsor","junitivt","senior","junior"
"juvel","diamant","dialits","junie","diamond","jewel"
"kaffe","kopp","komj","redfe","cup","coffee"
"kaka","efterrätt","efterstol","kalyp","dessert","cake"
"kalkon","kyckling","tankling","kalnel","chicken","turkey"
"kall","varm","vago","kamu","hot","cold"
"kämpe","mästare","kryptare","bråpe","champion","fighter"
"känd","populär","poputown","kämö","popular","famous"
"kandidat","diplom","diloth","byggdidat","diploma","graduate"
"kanin","räv","pyv","kafat","fox","rabbit"
"känna till","nu","öt","kännamiljs","now","know"
"känsla","intryck","inträng","prinla","impression","feeling"
"känslig","delikat","delitisk","tacklig","delicate","sensitive"
"kapell","kyrka","mumka","kapark","church","chapel"
"kapitalism","anarki","anläggki","kapitatouil","anarchy","capitalism"
"kapten","befälhavare","befälhavareklamsnub","nycten","commander","captain"
"kardinal","biskop","bisjär","kardicins","bishop","cardinal"
"kärlek","hata","retta","kärski","hate","love"
"kärn","atom","atgs","kägg","atomic","nuclear"
"karta","kompass","komneys","fälta","compass","map"
"kartell","mafia","makah","kartrum","mafia","cartel"
"katt","hund","hurs","kabi","dog","cat"
"kejsare","kejserlig","ouppserlig","brotsare","imperial","emperor"
"keps","glasögon","trädögon","kehr","glasses","cap"
"kind","läpp","åupp","tond","lip","cheek"
"kirurgi","fungera","räddgera","kitillgi","operate","surgery"
"klänning","kjol","zsol","tvärning","skirt","dress"
"klassisk","typisk","tytics","skansisk","typical","classic"
"klient","patient","patikräm","klicos","patient","client"
"klinik","sjukhus","sjukgat","skånik","hospital","clinic"
"kloster","barnhem","barnför","kvälter","orphanage","convent"
"kloster","tempel","soppel","kvälter","temple","monastery"
"knä","axel","isoel","emä","shoulder","knee"
"kniv","svärd","svind","knäp","sword","knife"
"kock","laga mat","lagaelsk","kory","cook","chef"
"kolla på","se","bö","kollagts","look","watch"
"kollaps","falla","senla","kolvigs","fall","collapse"
"kom ihåg","glömma bort","glömma nulom","kom fice","forget","remember"
"komedi","drama","chima","kometorn","drama","comedy"
"komma","anlända","andersda","ploma","arrive","come"
"kommissarie","inspektör","inflamtör","kommissabotör","inspector","commissioner"
"kommunikation","navigering","navigestalt","kommunikalaspuf","navigation","communication"
"kommunist","rasist","ragott","kommumark","racist","communist"
"komplett","total","tonov","kommellt","total","complete"
"koncentrera","fokus","fomot","koncentreravenscroft","focus","concentrate"
"konsert","turné","monné","konläst","tour","concert"
"konstig","ovanlig","claulig","skentig","unusual","strange"
"konstitution","lag","ygg","konstiturellt","law","constitution"
"kontor","skrivbord","skrivlock","konfis","desk","office"
"kontrollera","kolla upp","korda upp","konningslera","check","verify"
"köpare","säljare","tranjare","filmpare","seller","buyer"
"kopiera","original","skärginal","kopieravenscroft","original","copy"
"korkad","naiv","naboy","stakad","naïve","stupid"
"korrekt","fel","ndl","korrand","wrong","correct"
"kött","fläsk","fllak","edtt","pork","meat"
"kraftigt","tung","efng","dristigt","heavy","heavily"
"kram","kyss","cuss","sham","kiss","hug"
"kreativitet","fantasi","guldtasi","pacquiativitet","imagination","creativity"
"krigare","soldat","kärdat","stargare","soldier","warrior"
"kriminell","tjuv","tjii","krimiklos","thief","criminal"
"kris","situation","situadress","krkt","situation","crisis"
"kristen","katolsk","katress","smitten","catholic","christian"
"kula","kaliber","kalitisk","hemla","caliber","bullet"
"kung","drottning","skrotning","mäng","queen","king"
"kunskap","erfarenhet","erfastolthet","segskap","experience","knowledge"
"kusin","släkting","sponting","kulös","relative","cousin"
"kuslig","skrämmande","klättmande","hailig","scary","creepy"
"kust","strand","strafi","kuös","beach","coast"
"kvalitet","kvantitet","skägtitet","hästlitet","quantity","quality"
"kväll","natt","naby","inäll","night","evening"
"kvinna","änka","zooka","klasna","widow","woman"
"kvinna","manlig","manför","klasna","male","female"
"kyrkogård","grav","grou","kyrkobish","grave","cemetery"
"läderlappen","stålman","skamman","läderbirdspen","superman","batman"
"lady","herre","synre","lamin","lord","lady"
"lägenhet","hus","iós","lägengång","house","apartment"
"lagra","affär","aflys","värra","shop","store"
"läka","ta igen sig","ta igefling","siska","recover","heal"
"läkare","kirurg","kitarm","framkare","surgeon","doctor"
"läkemedel","alkohol","alkohollingsworth","läkemetiskt","alcohol","drug"
"lämna tillbaka","tillbaka","klubbaka","lämnatashaslbaka","back","return"
"lån","kreditera","krediteravenscroft","myn","credit","loan"
"lång","kort","kote","tyng","short","long"
"långa","ming","mits","mynga","ming","ling"
"längd","storlek","sånglek","läadd","size","length"
"långt","nära","porra","knngt","near","far"
"lära","lära sig","lärajord","prera","learn","teach"
"lärare","studerande","studerandeståndskrav","framrare","student","teacher"
"larm","varna","helna","lant","alert","alarm"
"låsa","nyckel","topkel","hobsa","key","lock"
"lastbil","jeep","jete","köttbil","jeep","truck"
"låt","album","alrir","ykt","album","song"
"låta","tillåta","mordåta","rekta","allow","let"
"lätt","omöjlig","ofrelig","läer","impossible","easy"
"ledare","medlem","meddia","leringre","member","leader"
"legend","myt","pât","lesard","myth","legend"
"lejon","drake","colke","lehår","dragon","lion"
"leksak","docka","sadka","lekmit","doll","toy"
"lever","njure","losre","lenat","kidney","liver"
"liberal","konservativ","konservanaugh","libetism","conservative","liberal"
"lik","kropp","krämp","alk","body","corpse"
"limousine","taxi","taur","likristne","taxi","limousine"
"litteratur","konst","kotet","trassteratur","art","literature"
"ljud","ljud","ljic","ljön","noise","sound"
"ljus","mörker","sydker","sâus","darkness","light"
"ljus","glans","myans","sâus","shine","bright"
