observation,duration_demographics,time_run_demographics,time_render_demographics,time_show_demographics,time_end_demographics,time_commit_demographics,timestamp_demographics,time_switch_demographics,please_tell_us_your_gender,which_year_were_you_born,please_tell_us_your_education_level,native_language,duration_consent,time_run_consent,time_render_consent,time_show_consent,time_end_consent,time_commit_consent,timestamp_consent,time_switch_consent,url_lab,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit,keep,n_trials,correct
34f95,32896.7629999285,89086.7999999523,89071.314,89087.937,121984.699999928,121985.299999952,2022-01-28T09:55:23.765Z,121994.098,female,1996,high school,norsk,87302.08,1745.79999995232,1427.144,1777.42,89079.5,89086.2999999523,2022-01-28T09:54:50.866Z,89087.937,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",Win32,nb-NO,nb,Europe/Oslo,-60,1368,912,1368,753,1368,801,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.928571428571429
38122,30514.5040000011,494820.9,494807.695,494857.696,525372.200000001,525373.100000001,2022-01-31T08:18:11.879Z,525376.936,female,1998,high school,Dari (afghanistan),492462.136,2316.20000000112,2240.862,2340.864,494803,494820.4,2022-01-31T08:17:41.325Z,494857.696,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",MacIntel,nb-NO,nb,Europe/Oslo,-60,1440,900,1030,742,1030,790,1,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.827242524916944
3aa9e,73392.4129999881,17620.8999999762,17602.445,17618.787,91011.1999999881,91011.5999999642,2022-01-28T13:02:11.909Z,91105.37,female,1999,high school,norsk,14210.5289999881,2579.09999996424,2014.482,3398.671,17609.1999999881,17620.5,2022-01-28T13:00:58.518Z,17618.787,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",Win32,nb-NO,nb,Europe/Oslo,-60,1280,720,1280,600,1280,648,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.870431893687708
3b998,33351.4610000954,71745,71725.601,71741.939,105093.400000095,105093.900000095,2022-01-28T13:52:19.157Z,105092.124,male,1997,college,German,69966.028,1731.30000019073,1724.979,1774.972,71741,71744.8000001907,2022-01-28T13:51:45.808Z,71741.939,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 OPR/82.0.4227.58",Win32,de-DE,de,Europe/Oslo,-60,1707,960,1667,771,1667,819,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.913621262458472
42b7e,38239.706,33859.7000000179,33835.68,33868.794,72108.5,72108.8000000119,2022-01-28T09:57:44.130Z,72110.44,female,1984,college,Sinhalease,30939.467000006,2787.20000001788,2758.889,2908.933,33848.400000006,33858.599999994,2022-01-28T09:57:05.880Z,33868.794,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",Win32,nb-NO,nb,Europe/Oslo,-60,1280,720,1280,520,1280,520,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.921926910299003
4367d,63592.6559999523,124485.799999952,124470.929,124504.144,188096.799999952,188097.299999952,2022-01-28T09:27:20.400Z,188095.196,male,1997,high school,Norwegian,123009.361999952,1428.69999992847,1421.468,1471.438,124480.799999952,124485.299999952,2022-01-28T09:26:16.788Z,124504.144,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 Edg/97.0.1072.62",Win32,nb,nb,Europe/Oslo,-60,1536,864,1536,706,1536,754,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.887043189368771
4532c,46837.3520005722,235443.199999809,235430.887,235465.048,282302.400000572,282303,2022-01-28T12:30:48.155Z,282315.737,female,2001,high school,norwegian,232356.076000191,2989.60000038147,2976.722,3076.724,235432.800000191,235442.300000191,2022-01-28T12:30:01.294Z,235465.048,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",Win32,nb-NO,nb,Europe/Oslo,-60,1280,720,1280,577,1280,577,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.945182724252492
46299,20664.504999997,15942.5999999978,15941.129,15957.795,36622.299999997,36622.5,2022-01-28T10:01:44.315Z,36644.909,female,2000,college,Norsk,14031.0919999978,1898.59999999776,1521.19,1904.508,15935.5999999978,15942.299999997,2022-01-28T10:01:23.634Z,15957.795,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",MacIntel,nb-NO,nb,Europe/Oslo,-60,1440,900,1222,706,1222,754,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.903654485049834
474f6,36153,75290,75331,75581,111734,111735,2022-01-28T09:07:15.991Z,111755,female,,high school,Norwegian,73183,1885,1915,1980,75098,75289,2022-01-28T09:06:39.544Z,75581,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15",MacIntel,en-gb,en-GB,Europe/Oslo,-60,1440,900,1307,683,1307,731,1,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.882059800664452
49265,42783.912,167809.600000024,167796.424,167829.588,210613.5,210614.300000072,2022-01-28T14:09:53.449Z,210618.979,female,1998,college,Norwegian,164282.039000024,3414,3400.934,3517.561,167799.600000024,167809,2022-01-28T14:09:10.644Z,167829.588,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",Win32,nb-NO,en-US,Europe/Berlin,-60,1280,720,1280,577,1280,577,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.867109634551495
499e8,31150,55044,55044.62,55055,86205,86206,2022-01-28T09:11:49.605Z,86212.62,female,2000,high school,Norwegian,52877.54,2115,2131.8,2148.46,55026,55043,2022-01-28T09:11:18.441Z,55055,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:96.0) Gecko/20100101 Firefox/96.0,Win32,nn-NO,nn-NO,Europe/Paris,-60,1280,720,1280,595,1280,595,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.928571428571429
49c71,68618.4689999986,110506.995000003,110504.372,110537.691,179156.159999999,179156.560000003,2022-01-28T09:25:23.242Z,179178.829,male,1981,master,Norwegian,109234.444000003,1232.95499999949,1218.349,1268.186,110502.630000003,110506.560000009,2022-01-28T09:24:14.592Z,110537.691,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",Win32,nb-NO,nb,Europe/Oslo,-60,1280,720,1246,586,1246,586,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.945182724252492
50339,48530.1930000179,12394,12371.6,12421.507,60951.7000000179,60952.5,2022-01-28T12:00:12.962Z,60957.351,female,2001,high school,Norwegian,9504.35800001788,2735.09999999404,2148.522,2880.842,12385.2000000179,12393.400000006,2022-01-28T11:59:24.402Z,12421.507,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",Win32,nb-NO,nb,Europe/Oslo,-60,1366,768,1366,609,1366,657,1,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.943521594684385
51118,50633.966,42365.7,42346.411,42379.634,93013.6,93014.1,2022-02-01T11:00:29.637Z,93039.185,female,2000,high school,Bosnian,40637.69,1675.19999999995,1552.005,1718.91,42356.6,42364.9,2022-02-01T10:59:38.988Z,42379.634,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",Win32,nb-NO,nb,Europe/Oslo,-60,1536,864,1536,674,1536,722,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.930232558139535
51f93,35230.485,11755.2999999998,11734.863,11767.515,46998,46998.5999999996,2022-01-28T09:24:10.105Z,46995.887,female,1997,high school,norwegian,9061.69800000019,2603.09999999963,2602.193,2685.502,11747.2000000002,11754.5999999996,2022-01-28T09:23:34.862Z,11767.515,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69",Win32,nb,nb,Europe/Oslo,-60,1280,720,1280,553,1280,601,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef,exclude,602,0.772425249169435
527a8,103797,97561,97596,97636,201433,201434,2022-01-28T11:05:06.315Z,201455,female,2000,high school,Norwegian,95708,1716,1752,1832,97460,97560,2022-01-28T11:03:22.439Z,97636,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",MacIntel,nb-NO,nb-NO,Europe/Oslo,-60,1440,900,1440,664,1440,712,1,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.931893687707641
56788,40120.305999857,100572,100557.901,100574.094,140694.399999857,140694.599999905,2022-01-28T10:30:44.703Z,140706.665,male,1999,college,Norwegian,98709.0159999523,1849.29999995232,1842.915,1859.284,100568.299999952,100571.700000048,2022-01-28T10:30:04.580Z,100574.094,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69",Win32,nb,nb,Europe/Oslo,-60,1280,720,1280,553,1280,601,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.880398671096346
5806b,30003,175706,175733,175756,205759,205759,2022-01-28T09:19:38.795Z,205791,female,1983,high school,Norwegian,174211,1702,1711,1764,175922,175705,2022-01-28T09:19:08.743Z,175756,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",MacIntel,nb-no,nb-NO,Europe/Oslo,-60,1440,900,1264,676,1264,724,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.853820598006645
58250,77717.1939999985,44685.700000003,44673.755,44690.706,122407.899999999,122408.399999999,2022-01-28T12:23:39.733Z,122423.503,female,2000,high school,Georgisk,41505.549,3101.29999999702,3109.315,3175.951,44681.5,44685.299999997,2022-01-28T12:22:22.005Z,44690.706,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",Win32,nb-NO,nb,Europe/Oslo,-60,1366,768,1366,609,1366,657,1,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.938538205980066
5a390,115623.077,7422,7403.266,7469.923,123093,123094.199999809,2022-01-28T10:29:19.679Z,123093.574,female,2000,high school,norwegian,5436.28500019073,1893,1719.498,1969.515,7405.80000019073,7421.30000019073,2022-01-28T10:27:24.007Z,7469.923,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",Win32,nb-NO,nb,Europe/Oslo,-60,1280,720,1280,561,1280,609,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.92358803986711
5c80a,38613,690544,690663,690689,729302,729302,2022-01-28T09:34:58.865Z,729339,female,1996,high school,Norwegian,688186,1828,2184,2194,690370,690543,2022-01-28T09:34:20.105Z,690689,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Safari/605.1.15",MacIntel,nb-NO,nb-NO,Europe/Oslo,-60,1440,900,1440,837,1440,837,1,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.915282392026578
5c824,18591.066000006,58297.599999994,58279.667,58296.334,76887.400000006,76887.900000006,2022-01-28T09:03:16.450Z,76898.9,female,2000,high school,Norwegian,56291.362,1955.40000000596,1826.968,1993.638,58285,58296.5,2022-01-28T09:02:57.858Z,58296.334,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",MacIntel,en-GB,en-GB,Europe/Oslo,-60,1440,900,1440,773,1440,821,1,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.945182724252492
654ac,30808.5440000954,25603.9000000954,25592.965,25609.856,56418.4000000954,56418.600000143,2022-01-28T09:51:02.297Z,56426.2,female,1984,college,norwegian,21990.5480001907,3542.10000014305,3443.194,3609.752,25600.3000001907,25603.7000000477,2022-01-28T09:50:31.479Z,25609.856,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",Win32,nb-NO,nb,Europe/Oslo,-60,1920,1080,1758,884,1758,932,1,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.93687707641196
65d71,32820.7810002861,73741.5999999046,73737.587,73770.419,106591.200000286,106593.599999905,2022-01-28T11:48:03.853Z,106595.703,female,1997,high school,Norwegian,69596.7300002861,4083.90000009537,4070.807,4137.47,73734.2000002861,73740.9000000954,2022-01-28T11:47:31Z,73770.419,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69",Win32,nb,nb,Europe/Oslo,-60,1280,720,1280,561,1280,609,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.925249169435216
6c4ba,19393.5720000119,56271.900000006,56255.554,56272.228,75665.8000000119,75666.2000000179,2022-01-28T09:47:46.499Z,75664.772,female,2001,high school,Norwegian,54843.808000006,1388.09999999404,1313.048,1413.092,56256.900000006,56271.099999994,2022-01-28T09:47:27.103Z,56272.228,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",MacIntel,nb-NO,nb,Europe/Oslo,-60,1280,800,1280,640,1280,688,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.930232558139535
6c72d,70687.262,294685,294663.567,294680.238,365367.5,365367.699999928,2022-01-28T09:32:52.066Z,365366.608,female,2001,college,Norwegian,292936.432999976,1711.5,1724.363,1740.967,294677.399999976,294684.799999952,2022-01-28T09:31:41.383Z,294680.238,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",Win32,nb-NO,nb,Europe/Oslo,-60,1280,720,1280,553,1280,601,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.950166112956811
6cf31,27974.029,100555.300000191,100546.317,100562.971,128537,128537.5,2022-01-28T09:17:16.782Z,128547.045,female,2000,college,Norwegian,98985.5080001907,1502.90000009537,1493.587,1560.292,100545.800000191,100554.5,2022-01-28T09:16:48.799Z,100562.971,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",Win32,en-GB,nb,Europe/Oslo,-60,1366,768,1366,577,1366,625,1,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.933554817275748
