Language,Language_Name,Exclude,Keep,Exclude_Rescored,Keep_Rescored,Female,Male,Other,Not_Say,Gender_Missing,Less_High_School,High_School,Some_College,College,Masters,Doctorate,Education_Missing,Elementary,M_Age,SD_Age,Min_Age,Max_Age,M_Age_Keep,SD_Age_Keep,Min_Age_Keep,Max_Age_Keep,M_Trials,M_Answered,M_Correct,M_Time,Med_Time,Total_Stimuli_Completed,Related_Completed,Unrelated_Completed
no,Norwegian,17,85,17,85,39,52,5,4,2,2,37,3,46,10,,4,,24.84,6.27,19,54,24.61,6.11,19,54,783.79,779.29,0.93,20.47,20.08,0,0,0
pl,Polish,318,1188,273,1233,915,484,84,7,16,51,734,,221,401,23,76,,34.28,14.98,18,103,33.49,14.7,18,103,755.83,749.55,0.94,52.39,19.15,1000,1000,1000
pt,Portuguese,332,1178,302,1208,833,558,89,9,21,20,119,630,399,212,41,89,,27.06,10.52,18,103,26.93,10.24,18,94,774.39,769.62,0.93,28.03,18.25,1000,1000,1000
ro,Romanian,174,741,139,776,603,264,33,9,6,21,592,,196,68,9,29,,29.7,14.35,18,83,29.24,14.25,18,83,750.84,744.42,0.94,23.52,19.65,1000,1000,1000
ru,Russian,956,1806,719,2043,1167,1430,149,12,4,39,681,292,1167,410,50,123,,40.34,13.46,18,102,39.99,13.28,18,83,722.37,712.88,0.94,21.36,19.68,1000,1000,1000
sk,Slovak,391,381,302,470,626,104,37,3,2,8,4,476,183,43,22,36,,23.46,7.29,18,103,23.11,7.4,18,103,764.27,760.32,0.94,19.42,18.68,2,51,48
sl,Slovenian,10,31,10,31,20,16,4,1,,,9,3,18,3,2,5,1,27.43,6.13,20,43,26.81,5.89,20,43,735.45,732.9,0.95,19.77,18.89,0,0,0
sr,Serbian,109,681,82,708,242,519,21,6,2,5,419,39,268,34,6,19,,29.03,14.31,18,69,28.7,14.27,18,69,771.4,764.12,0.94,62.12,21.01,1000,1000,1000
th,Thai,20,65,19,66,54,14,5,7,5,,6,2,69,,2,6,,21.48,2.18,18,32,21.08,1.36,18,25,742.28,739.38,0.95,18.74,18.34,0,0,0
tr,Turkish,790,2218,690,2318,1467,1351,169,12,9,21,740,27,1631,345,81,163,,29.03,10.05,18,103,28.75,9.86,18,103,710.83,705.24,0.93,34.7,17.83,1000,1000,1000
ur,Urdu,381,315,343,353,468,154,62,5,7,5,12,89,486,27,12,65,,22.8,8.4,18,103,22.85,8.36,18,103,741.32,733.13,0.88,53.69,22.15,38,230,195
zh,Simplified Chinese,291,729,254,766,570,354,79,9,8,12,151,145,453,157,27,75,,23.38,8.75,18,103,22.94,6.7,18,103,753.75,749.52,0.93,24.85,17.75,1000,1000,1000
zh_hk,Traditional Chinese,67,174,61,180,161,61,16,2,1,,26,,190,10,1,14,,21.39,6.25,18,103,21.04,3.1,18,40,787.53,781.74,0.92,21.98,18.05,0,0,0
br_pt,Brazilian Portuguese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000
